county,GEOID,vap_white.pre_24_dem_har,vap_white.pre_24_rep_tru,vap_black.pre_24_dem_har,vap_black.pre_24_rep_tru,vap_hisp.pre_24_dem_har,vap_hisp.pre_24_rep_tru,vap_asian.pre_24_dem_har,vap_asian.pre_24_rep_tru,vap_aian.pre_24_dem_har,vap_aian.pre_24_rep_tru,vap_oth_b.pre_24_dem_har,vap_oth_b.pre_24_rep_tru
003,38003967900,0.2523368299022889,0.7476631700977111,0.5054688135810157,0.4945311864189843,0.49996151177536646,0.5000384882246336,0.5026660813189296,0.49733391868107035,0.5011232280659941,0.4988767719340059,0.5021538720350557,0.4978461279649444
003,38003968000,0.2252302589565372,0.7747697410434629,0.5105247974005799,0.4894752025994201,0.5036958758366393,0.4963041241633607,0.49440633075332846,0.5055936692466716,0.5000790494626183,0.4999209505373817,0.5021646738766736,0.49783532612332637
003,38003968200,0.36059414787583205,0.639405852124168,0.51210181698550294,0.48789818301449706,0.5052780946128193,0.4947219053871806,0.5025422381796939,0.4974577618203061,0.4973114182290386,0.5026885817709614,0.5000127655798916,0.4999872344201084
003,38003968300,0.3719016192465119,0.6280983807534881,0.5071830884195063,0.4928169115804936,0.5006024194762559,0.49939758052374406,0.49967591261832606,0.5003240873816739,0.49625159102387234,0.5037484089761276,0.5041835249295827,0.49581647507041726
005,38005940100,0.4434322895578536,0.5565677104421465,0.4964536994702882,0.5035463005297117,0.5007036150724606,0.4992963849275393,0.5069422606368753,0.49305773936312464,0.5790369976849246,0.4209630023150754,0.5032886041423865,0.4967113958576135
005,38005940200,0.4255610973292859,0.5744389026707141,0.5023199152109803,0.49768008478901976,0.5011711890091441,0.49882881099085585,0.5053064083937853,0.4946935916062147,0.5322006263925936,0.4677993736074064,0.5019265865165778,0.4980734134834222
005,38005956700,0.28047142242406486,0.7195285775759351,0.49084865457433574,0.5091513454256643,0.5022219475273706,0.49777805247262924,0.5023021969309717,0.49769780306902833,0.532781551495941,0.467218448504059,0.5047444474472659,0.4952555525527341
009,38009952300,0.16852416640198348,0.8314758335980166,0.4992921961071936,0.5007078038928063,0.4947751250711164,0.5052248749288836,0.507017460931982,0.49298253906801803,0.5149064375818369,0.4850935624181632,0.5023097415212503,0.4976902584787497
009,38009952400,0.23178980449369158,0.7682101955063084,0.5035437414948126,0.4964562585051873,0.5001244732632766,0.4998755267367234,0.5047077382380287,0.4952922617619713,0.5092777914460037,0.49072220855399634,0.5061386695916453,0.4938613304083547
009,38009952500,0.1626386196133908,0.8373613803866092,0.5010087705693795,0.49899122943062046,0.49509195471434053,0.5049080452856592,0.5048966792221281,0.49510332077787195,0.5173473118822098,0.4826526881177901,0.4992892427085286,0.5007107572914714
