county,GEOID,vap_white.pre_24_dem_har,vap_white.pre_24_rep_tru,vap_black.pre_24_dem_har,vap_black.pre_24_rep_tru,vap_hisp.pre_24_dem_har,vap_hisp.pre_24_rep_tru,vap_asian.pre_24_dem_har,vap_asian.pre_24_rep_tru,vap_aian.pre_24_dem_har,vap_aian.pre_24_rep_tru,vap_oth_b.pre_24_dem_har,vap_oth_b.pre_24_rep_tru
001,37001000001,0.11843563900636545,0.8815643609936346,0.8136141264663125,0.18638587353368757,0.7433349320939998,0.25666506790600024,0.5454048335482604,0.45459516645173953,0.5041206601995781,0.4958793398004219,0.5243530217012828,0.47564697829871716
001,37001000002,0.14697395982700454,0.8530260401729954,0.8124229049006472,0.18757709509935286,0.7446665131640143,0.2553334868359857,0.5380865418706081,0.46191345812939194,0.5061125339916162,0.4938874660083839,0.5320755196820592,0.4679244803179407
001,37001000004,0.12582980576086983,0.8741701942391301,0.7920075940147043,0.20799240598529573,0.7321481886563336,0.26785181134366626,0.5440740141679328,0.4559259858320672,0.5043835673106518,0.49561643268934813,0.5219845706083943,0.47801542939160563
001,37001000005,0.13726213745670038,0.8627378625432996,0.8060187391617506,0.19398126083824935,0.7352760204352299,0.2647239795647701,0.5448332334550575,0.4551667665449425,0.5038392351264871,0.4961607648735129,0.529870369820771,0.47012963017922904
001,37001000007,0.15253134698210954,0.8474686530178904,0.8067395102729702,0.1932604897270298,0.7379504757777426,0.2620495242222574,0.5403812713335518,0.4596187286664482,0.5077950604722865,0.49220493952771355,0.5283871038926811,0.47161289610731866
001,37001000011,0.21579058881109917,0.7842094111889011,0.7891716402104019,0.21082835978959819,0.7450641159418897,0.2549358840581103,0.5356364397258309,0.46436356027416914,0.5054849737381865,0.49451502626181354,0.5259079351705492,0.47409206482945077
001,37001000013,0.24221647002790386,0.7577835299720962,0.8307295637364055,0.1692704362635945,0.729636775274842,0.270363224725158,0.5366222466529474,0.46337775334705256,0.5007850448588053,0.49921495514119474,0.5256066270347282,0.4743933729652719
001,37001000035,0.3764262864322076,0.6235737135677923,0.8175954117980905,0.18240458820190955,0.7527986492171573,0.24720135078284267,0.5385744254378168,0.46142557456218325,0.5025954578111536,0.49740454218884644,0.5372796851717995,0.4627203148282003
001,3700100003C,0.379456209735136,0.620543790264864,0.8249795435020102,0.17502045649798983,0.7529193349593533,0.2470806650406467,0.5424641794917034,0.4575358205082966,0.5088584659399251,0.4911415340600751,0.5355038906272673,0.46449610937273267
001,3700100003N,0.5192307942340654,0.4807692057659346,0.8368005350120485,0.1631994649879515,0.7591936259451115,0.24080637405488853,0.5489878122621729,0.45101218773782714,0.5062067605577537,0.4937932394422463,0.5507529871375828,0.44924701286241714
001,3700100003S,0.397297827711556,0.602702172288444,0.857717888239184,0.14228211176081595,0.7713214994072447,0.22867850059275532,0.5567625820576064,0.4432374179423935,0.5127257164825725,0.48727428351742724,0.544365083769722,0.4556349162302779
001,3700100003W,0.3399837340126971,0.6600162659873029,0.8333540012713285,0.16664599872867145,0.756528757177054,0.2434712428229459,0.5410785558103335,0.4589214441896663,0.5071518767916419,0.4928481232083581,0.5453901510119594,0.4546098489880406
001,37001000063,0.2937742456365866,0.7062257543634134,0.85868479388548,0.14131520611451995,0.8021051390690778,0.1978948609309223,0.5329205634832435,0.46707943651675654,0.504900658931294,0.49509934106870596,0.5345878589096198,0.46541214109038026
001,37001000064,0.26328942753194756,0.7367105724680524,0.8315540423280318,0.16844595767196818,0.7661179556766292,0.2338820443233708,0.5395283402204902,0.46047165977950977,0.5020605540348794,0.4979394459651207,0.5383941761763055,0.46160582382369453
001,3700100006E,0.2877060912448577,0.7122939087551423,0.8509323503251833,0.14906764967481667,0.7677659101195481,0.23223408988045185,0.5453328538340622,0.45466714616593784,0.5075198471315255,0.49248015286847446,0.533816666385632,0.466183333614368
001,3700100006N,0.3241237889197873,0.6758762110802127,0.8673422000943584,0.13265779990564167,0.7930785721363574,0.20692142786364262,0.5391672731049029,0.4608327268950971,0.5069686754179256,0.4930313245820744,0.5447450814558805,0.45525491854411954
001,3700100006S,0.28566034934189893,0.714339650658101,0.8590492403912362,0.14095075960876385,0.7591011488092013,0.24089885119079865,0.5423363473630367,0.45766365263696307,0.5039390992081847,0.4960609007918153,0.536468320204149,0.463531679795851
001,3700100006W,0.25318315424284615,0.7468168457571536,0.8112335953572355,0.18876640464276453,0.7322548108419927,0.26774518915800727,0.5350164831280667,0.46498351687193334,0.5007699150574549,0.49923008494254506,0.5303897360878055,0.46961026391219457
001,3700100008N,0.260610737479833,0.739389262520167,0.8245873518419121,0.17541264815808788,0.7648591492052291,0.23514085079477082,0.539681214544044,0.4603187854559559,0.5073240934836815,0.49267590651631854,0.5461821939697843,0.4538178060302157
001,3700100008S,0.2319592792913023,0.7680407207086977,0.8179623721576462,0.18203762784235375,0.7510236197033932,0.24897638029660682,0.541697769550533,0.45830223044946705,0.5068006999700233,0.4931993000299764,0.5285167738160177,0.47148322618398236
001,3700100009N,0.32708473096969903,0.672915269030301,0.8482299715153151,0.1517700284846849,0.7591477184829248,0.24085228151707516,0.5453059269669407,0.45469407303305936,0.5010899164941824,0.4989100835058175,0.5370461999679815,0.46295380003201825
001,3700100009S,0.29354625985052896,0.706453740149471,0.8205697235996222,0.17943027640037779,0.7590604799521071,0.24093952004789282,0.5428237741902407,0.4571762258097593,0.5112980834677232,0.4887019165322768,0.5398865333490873,0.4601134666509127
001,37001000103,0.3362228733852531,0.663777126614747,0.8281416222428772,0.17185837775712282,0.7734194490000822,0.2265805509999178,0.5415028115958979,0.45849718840410214,0.5096588919075634,0.4903411080924366,0.5371882833483272,0.4628117166516728
001,3700100010N,0.3188757220784518,0.6811242779215483,0.8335069932443543,0.16649300675564577,0.7742079722329556,0.2257920277670445,0.5439667795892061,0.4560332204107938,0.5121814794715541,0.4878185205284459,0.5453366824722166,0.45466331752778344
001,3700100010S,0.4386525387219595,0.5613474612780406,0.86644931835177,0.13355068164823,0.7661945413853006,0.2338054586146994,0.546630639420351,0.45336936057964905,0.5090196268467331,0.49098037315326687,0.5449304328719948,0.45506956712800517
001,37001000124,0.35067264744259574,0.6493273525574043,0.8342726819006517,0.16572731809934824,0.7750644478183006,0.2249355521816994,0.5360697543941193,0.4639302456058807,0.5097200097974048,0.49027999020259516,0.5412138878325043,0.45878611216749565
001,37001000125,0.30990850569557715,0.6900914943044228,0.8276287432853787,0.17237125671462125,0.767977510603607,0.23202248939639306,0.5410840098488533,0.4589159901511467,0.5053593466952335,0.4946406533047665,0.5382661852769399,0.46173381472306013
001,37001000126,0.4206745411094314,0.5793254588905685,0.8222204748906394,0.1777795251093606,0.7558567452673066,0.2441432547326934,0.5479698599952165,0.4520301400047834,0.5052010993448963,0.4947989006551037,0.5378380862754866,0.4621619137245134
001,37001000127,0.32248618384647987,0.6775138161535201,0.9020237410936478,0.09797625890635218,0.8124267082407279,0.187573291759272,0.5451096629861367,0.4548903370138632,0.5061055236934016,0.4938944763065985,0.5377777319609944,0.46222226803900557
001,37001000128,0.363112723881949,0.6368872761180511,0.9016498807433407,0.09835011925665922,0.8003316907991783,0.19966830920082168,0.5395255122956479,0.4604744877043521,0.5091009988046699,0.4908990011953301,0.546599509893623,0.453400490106377
001,37001000129,0.24941622301932753,0.7505837769806725,0.8199701534600167,0.18002984653998333,0.743212671474505,0.256787328525495,0.5370614395837441,0.462938560416256,0.5091856947166739,0.49081430528332615,0.5387593070888931,0.4612406929111069
001,3700100012E,0.3326987164903604,0.6673012835096396,0.8689713455201341,0.13102865447986592,0.8207788051910433,0.17922119480895674,0.5382430821033023,0.46175691789669776,0.509572528128335,0.4904274718716648,0.5387263311493237,0.46127366885067633
