county,GEOID,vap_white.pre_24_dem_har,vap_white.pre_24_rep_tru,vap_black.pre_24_dem_har,vap_black.pre_24_rep_tru,vap_hisp.pre_24_dem_har,vap_hisp.pre_24_rep_tru,vap_asian.pre_24_dem_har,vap_asian.pre_24_rep_tru,vap_aian.pre_24_dem_har,vap_aian.pre_24_rep_tru,vap_oth_b.pre_24_dem_har,vap_oth_b.pre_24_rep_tru
001,13001000002,0.26587076083748107,0.7341292391625189,0.823582223329719,0.17641777667028097,0.5209270232073596,0.4790729767926404,0.4967096181959584,0.5032903818040416,0.5009847940313967,0.4990152059686032,0.5160362902748857,0.4839637097251142
001,1300100001B,0.04330772829767205,0.956692271702328,0.6393120024873693,0.3606879975126307,0.4664723699392611,0.5335276300607389,0.4895474779685573,0.5104525220314428,0.5059508799834995,0.4940491200165005,0.5431273468219128,0.4568726531780872
001,1300100001C,0.012286867045253438,0.9877131329547466,0.4938395304534438,0.5061604695465562,0.38159876344958016,0.6184012365504198,0.4906625687529865,0.5093374312470135,0.5024590313045234,0.49754096869547654,0.4948212200147273,0.5051787799852727
001,1300100003C,0.04120478076427379,0.9587952192357262,0.561488615054152,0.43851138494584796,0.409880590489498,0.590119409510502,0.49272768155018853,0.5072723184498115,0.5030604332677545,0.4969395667322455,0.498037300508488,0.501962699491512
001,1300100004B,0.0037982753328518583,0.9962017246671482,0.4540591416684328,0.5459408583315672,0.30890568766838755,0.6910943123316124,0.4721178811152553,0.5278821188847445,0.49200207371204946,0.5079979262879505,0.44706570991857564,0.5529342900814241
001,1300100004D,0.022760232695560784,0.9772397673044394,0.5913633526471274,0.4086366473528727,0.43721872017455,0.56278127982545,0.48600699785979506,0.5139930021402049,0.49110896016483946,0.5088910398351606,0.5003692127337996,0.49963078726620036
001,1300100005A,0.02128281455335646,0.9787171854466435,0.555244514594257,0.44475548540574295,0.3375249758510386,0.6624750241489614,0.4869952481243219,0.5130047518756781,0.4972778606056004,0.5027221393943996,0.49494154090156317,0.5050584590984368
001,1300100005B,0.01892749819503816,0.9810725018049619,0.6329127689640621,0.3670872310359379,0.42605435251626816,0.5739456474837318,0.4887478240001836,0.5112521759998164,0.5064104460524756,0.49358955394752435,0.5003643449910348,0.499635655008965
001,130010003A1,0.016953933114286238,0.9830460668857137,0.6345773492707844,0.3654226507292157,0.46432999230560384,0.5356700076943962,0.49307267666201277,0.5069273233379873,0.5145512797334855,0.4854487202665147,0.5370402216432235,0.46295977835677643
003,13003000001,0.035588258249815326,0.9644117417501846,0.5446930950703542,0.4553069049296457,0.2390480147922309,0.7609519852077691,0.49520028188291404,0.504799718117086,0.49077361945700787,0.5092263805429921,0.4760575716018479,0.5239424283981521
003,13003000002,0.02639871250968447,0.9736012874903155,0.5737301283279204,0.42626987167207964,0.288041766880649,0.711958233119351,0.49259801132271924,0.5074019886772808,0.4891192887095601,0.5108807112904399,0.47489026535169815,0.5251097346483019
