state,county,race,cand,mean,sd,ci_95_lower,ci_95_upper
AK,016,vap_white,pre_24_dem_har,0.5841423377565915,0.16340955010783847,0.2662640388858795,0.8929910972666802
AK,016,vap_white,pre_24_rep_tru,0.4158576622434086,0.16340955010783847,0.10700890273331946,0.7337359611141204
AK,016,vap_black,pre_24_dem_har,0.5024857423562219,0.22585913378984598,0.08237717593791306,0.9244093727186772
AK,016,vap_black,pre_24_rep_tru,0.49751425764377805,0.22585913378984598,0.07559062728132293,0.9176228240620871
AK,016,vap_hisp,pre_24_dem_har,0.4968498820415913,0.22865675198507696,0.0746465529808261,0.9172774084346036
AK,016,vap_hisp,pre_24_rep_tru,0.5031501179584086,0.22865675198507696,0.08272259156539624,0.925353447019174
AK,016,vap_asian,pre_24_dem_har,0.3758059092374202,0.217702922505781,0.03646220075516621,0.8322551619827793
AK,016,vap_asian,pre_24_rep_tru,0.6241940907625799,0.217702922505781,0.16774483801722073,0.9635377992448335
AK,016,vap_aian,pre_24_dem_har,0.8167314147210997,0.11131415953439686,0.5793898642847287,0.9878973191973807
AK,016,vap_aian,pre_24_rep_tru,0.1832685852789004,0.11131415953439686,0.012102680802619415,0.4206101357152712
AK,016,vap_oth_b,pre_24_dem_har,0.5118247213870234,0.2279352244335527,0.08033250815696465,0.9290287427632591
AK,016,vap_oth_b,pre_24_rep_tru,0.4881752786129766,0.2279352244335527,0.070971257236741,0.9196674918430352
AK,020,vap_white,pre_24_dem_har,0.48685744538406667,0.03411077753669479,0.4262457083198978,0.5537212447340656
AK,020,vap_white,pre_24_rep_tru,0.5131425546159334,0.03411077753669479,0.4462787552659343,0.5737542916801025
AK,020,vap_black,pre_24_dem_har,0.5963430065125965,0.1478988101715812,0.2691910747712964,0.8553801691643136
AK,020,vap_black,pre_24_rep_tru,0.4036569934874037,0.1478988101715812,0.1446198308356862,0.7308089252287036
AK,020,vap_hisp,pre_24_dem_har,0.43800671265995117,0.16275729411342038,0.15990190630492612,0.7886349418791616
AK,020,vap_hisp,pre_24_rep_tru,0.5619932873400489,0.16275729411342038,0.2113650581208381,0.8400980936950742
