county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_white.pre_24_dem_har,vap_white.pre_24_rep_tru,vap_black.pre_24_dem_har,vap_black.pre_24_rep_tru,vap_hisp.pre_24_dem_har,vap_hisp.pre_24_rep_tru,vap_asian.pre_24_dem_har,vap_asian.pre_24_rep_tru,vap_aian.pre_24_dem_har,vap_aian.pre_24_rep_tru,vap_oth_b.pre_24_dem_har,vap_oth_b.pre_24_rep_tru
Alameda County,06001400100,0.9515299728258324,0.04847002717416771,0.9594259044666658,0.0405740955333343,0.9475656210254974,0.05243437897450261,0.7064668781526459,0.2935331218473541,0.5786743686534049,0.421325631346595,0.9187241507535848,0.08127584924641505,0.968223684964153,0.031776315035847,0.953673915755928,0.04632608424407208,0.8595297945337219,0.14047020546627811,0.6797508634911615,0.32024913650883846,0.6305564208072131,0.3694435791927869,0.9217251927043434,0.07827480729565664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda County,06001400200,0.9830739865997709,0.01692601340022925,0.9534343340590532,0.04656566594094692,0.9461822395950976,0.05381776040490228,0.7468403390046827,0.2531596609953172,0.5784012377911639,0.4215987622088361,0.9220052218546416,0.07799477814535839,0.989828893776575,0.01017110622342502,0.960173842641534,0.03982615735846597,0.8894576572790621,0.11054234272093784,0.7490950306044135,0.2509049693955865,0.6309858698763431,0.36901413012365697,0.9373152140119736,0.06268478598802625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda County,06001400300,0.9926219587763128,0.0073780412236873,0.9734495069039452,0.02655049309605483,0.9669124084321707,0.03308759156782909,0.8148420395004771,0.18515796049952288,0.5857876813933168,0.4142123186066832,0.9503377806941452,0.04966221930585465,0.9936163843150816,0.0063836156849183,0.9738173204239328,0.02618267957606726,0.9169354283028516,0.08306457169714826,0.8070259529516431,0.1929740470483568,0.6359160966562432,0.3640839033437569,0.9614379476327908,0.03856205236720926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda County,06001400400,0.9960712658560056,0.00392873414399439,0.975608001473224,0.02439199852677589,0.9772438795171944,0.02275612048280568,0.862943057598348,0.137056942401652,0.576805060662079,0.42319493933792096,0.9635211849806244,0.03647881501937553,0.9969057316411096,0.00309426835889037,0.9810611081044812,0.01893889189551874,0.941267879523138,0.05873212047686196,0.8687567944237687,0.13124320557623131,0.6255819237545331,0.3744180762454668,0.9731272193523652,0.02687278064763468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda County,06001400500,0.9967613084027188,0.00323869159728133,0.9916125758124408,0.00838742418755911,0.9874678544682756,0.01253214553172444,0.8972095267709703,0.10279047322902957,0.5949995566009323,0.4050004433990677,0.979775839190853,0.02022416080914696,0.9980739280478008,0.00192607195219907,0.9852074121998096,0.01479258780019059,0.9385737674771684,0.0614262325228317,0.8235265053337953,0.1764734946662046,0.6314540151338499,0.36854598486615,0.9706055833054552,0.02939441669454463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda County,06001400600,0.9954919533961868,0.00450804660381342,0.9916229499885172,0.00837705001148279,0.9832350719154294,0.01676492808457062,0.8623022520240704,0.13769774797592954,0.5907006043481975,0.4092993956518025,0.9803847770215508,0.01961522297844917,0.9940782284088466,0.00592177159115355,0.9880737238558532,0.01192627614414661,0.9300393493995058,0.06996065060049415,0.7985801153998255,0.20141988460017443,0.6388968028028542,0.3611031971971458,0.9746128730352318,0.02538712696476823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda County,06001400700,0.9960318487869866,0.00396815121301342,0.9931153160251732,0.00688468397482672,0.9878033357355382,0.01219666426446178,0.8923056893823805,0.1076943106176195,0.5859562836716704,0.4140437163283296,0.9740171037326856,0.02598289626731427,0.9949719199183858,0.0050280800816141,0.9923799837644578,0.00762001623554215,0.9572909650715212,0.04270903492847885,0.8692143191422441,0.13078568085775585,0.6391028669616607,0.3608971330383392,0.97627640310924,0.02372359689076008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda County,06001400800,0.9928563325360168,0.00714366746398336,0.988229523122755,0.01177047687724499,0.978711535102606,0.02128846489739393,0.8917236907462607,0.10827630925373928,0.5831920190159104,0.4168079809840895,0.9664586071233852,0.03354139287661459,0.9908865697023814,0.00911343029761854,0.985316820700634,0.01468317929936589,0.9282946295274916,0.0717053704725084,0.8436200391358882,0.15637996086411177,0.6257387899476604,0.3742612100523397,0.960299195122142,0.03970080487785792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda County,06001400900,0.994232950478692,0.00576704952130789,0.9896628938639984,0.01033710613600142,0.9855592671658788,0.01444073283412106,0.8676990498081036,0.1323009501918963,0.5906373286625991,0.4093626713374012,0.9724520934945186,0.02754790650548146,0.9916971989019716,0.00830280109802836,0.9854906049061064,0.01450939509389349,0.9325926198351282,0.06740738016487179,0.7991636970655184,0.2008363029344816,0.6312143039073733,0.3687856960926269,0.9649583014524068,0.03504169854759324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda County,06001401000,0.99486719799557,0.00513280200443003,0.9927621533164694,0.00723784668353061,0.9861445875191246,0.01385541248087545,0.8798312445531171,0.12016875544688292,0.5892037613148957,0.41079623868510434,0.971151943065959,0.02884805693404102,0.993220122552306,0.00677987744769388,0.990944401370524,0.00905559862947591,0.949936121440334,0.05006387855966584,0.8414157305454184,0.15858426945458154,0.629307169925889,0.370692830074111,0.9753226839692936,0.02467731603070645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
