county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.uss_18_rep_new,vap_white.uss_18_dem_klo,vap_black.uss_18_rep_new,vap_black.uss_18_dem_klo,vap_hisp.uss_18_rep_new,vap_hisp.uss_18_dem_klo,vap_asian.uss_18_rep_new,vap_asian.uss_18_dem_klo,vap_aian.uss_18_rep_new,vap_aian.uss_18_dem_klo,vap_oth_b.uss_18_rep_new,vap_oth_b.uss_18_dem_klo,vap_white.gov_18_rep_joh,vap_white.gov_18_dem_wal,vap_black.gov_18_rep_joh,vap_black.gov_18_dem_wal,vap_hisp.gov_18_rep_joh,vap_hisp.gov_18_dem_wal,vap_asian.gov_18_rep_joh,vap_asian.gov_18_dem_wal,vap_aian.gov_18_rep_joh,vap_aian.gov_18_dem_wal,vap_oth_b.gov_18_rep_joh,vap_oth_b.gov_18_dem_wal,vap_white.atg_18_rep_war,vap_white.atg_18_dem_ell,vap_black.atg_18_rep_war,vap_black.atg_18_dem_ell,vap_hisp.atg_18_rep_war,vap_hisp.atg_18_dem_ell,vap_asian.atg_18_rep_war,vap_asian.atg_18_dem_ell,vap_aian.atg_18_rep_war,vap_aian.atg_18_dem_ell,vap_oth_b.atg_18_rep_war,vap_oth_b.atg_18_dem_ell,vap_white.sos_18_rep_how,vap_white.sos_18_dem_sim,vap_black.sos_18_rep_how,vap_black.sos_18_dem_sim,vap_hisp.sos_18_rep_how,vap_hisp.sos_18_dem_sim,vap_asian.sos_18_rep_how,vap_asian.sos_18_dem_sim,vap_aian.sos_18_rep_how,vap_aian.sos_18_dem_sim,vap_oth_b.sos_18_rep_how,vap_oth_b.sos_18_dem_sim,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_white.uss_20_dem_smi,vap_white.uss_20_rep_lew,vap_black.uss_20_dem_smi,vap_black.uss_20_rep_lew,vap_hisp.uss_20_dem_smi,vap_hisp.uss_20_rep_lew,vap_asian.uss_20_dem_smi,vap_asian.uss_20_rep_lew,vap_aian.uss_20_dem_smi,vap_aian.uss_20_rep_lew,vap_oth_b.uss_20_dem_smi,vap_oth_b.uss_20_rep_lew,vap_white.pre_24_dem_har,vap_white.pre_24_rep_tru,vap_black.pre_24_dem_har,vap_black.pre_24_rep_tru,vap_hisp.pre_24_dem_har,vap_hisp.pre_24_rep_tru,vap_asian.pre_24_dem_har,vap_asian.pre_24_rep_tru,vap_aian.pre_24_dem_har,vap_aian.pre_24_rep_tru,vap_oth_b.pre_24_dem_har,vap_oth_b.pre_24_rep_tru
Aitkin County,27001000005,0.6197940516505832,0.3802059483494168,0.4694871760973472,0.5305128239026529,0.4836548543523943,0.5163451456476057,0.5208673208899854,0.4791326791100146,0.5007683264330601,0.4992316735669399,0.4231546053705766,0.5768453946294234,0.42822292424766345,0.5717770757523365,0.5147760876833982,0.48522391231660184,0.4891259496872282,0.5108740503127718,0.5147256148661161,0.4852743851338838,0.46548718662713057,0.5345128133728695,0.4447911758602241,0.5552088241397759,0.5190630187109542,0.4809369812890458,0.5009624110950163,0.4990375889049838,0.5265035589641982,0.4734964410358018,0.5003402497189404,0.4996597502810596,0.4880608573338918,0.5119391426661082,0.4191650854848517,0.5808349145151483,0.5731646565994009,0.4268353434005991,0.482817303738137,0.517182696261863,0.4820412710257342,0.5179587289742659,0.5110828967752784,0.4889171032247216,0.47785255529164367,0.5221474447083564,0.44208309876940904,0.557916901230591,0.5332289936156102,0.46677100638438984,0.5060721496168764,0.4939278503831236,0.4855899976085136,0.5144100023914864,0.4897384334879517,0.5102615665120483,0.4831641155194615,0.5168358844805385,0.4353219885456588,0.5646780114543412,0.4030944638776511,0.5969055361223489,0.46531879336088894,0.534681206639111,0.5195428117923268,0.4804571882076733,0.4818252649798907,0.5181747350201092,0.6072237741408885,0.39277622585911154,0.5501794736080328,0.4498205263919672,0.4233709576004991,0.5766290423995009,0.4769563207619871,0.5230436792380129,0.4765257040498835,0.5234742959501165,0.47685014725822866,0.5231498527417713,0.5706560062526439,0.4293439937473561,0.5607600413933911,0.43923995860660886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aitkin County,27001000010,0.7018964036558099,0.2981035963441901,0.4771422778140137,0.5228577221859864,0.4938679167885302,0.5061320832114699,0.5213348987712353,0.4786651012287647,0.4959939513311702,0.5040060486688298,0.42736400011267167,0.5726359998873284,0.5263839509272977,0.4736160490727022,0.5181867205861788,0.4818132794138213,0.48569281544242254,0.5143071845575774,0.5185310370056079,0.4814689629943921,0.46200452920066065,0.5379954707993393,0.448945753462409,0.551054246537591,0.629501420076372,0.370498579923628,0.5077814132609804,0.4922185867390197,0.5307774726583043,0.46922252734169567,0.5043215171490713,0.4956784828509288,0.48691537453782247,0.5130846254621775,0.42097131921667535,0.5790286807833246,0.6928349924259593,0.3071650075740407,0.47917245139118086,0.5208275486088191,0.48866499417799714,0.5113350058220029,0.5035662651472659,0.4964337348527341,0.47727096851324646,0.5227290314867535,0.4525773573934336,0.5474226426065664,0.656855129072816,0.343144870927184,0.5074463399581943,0.4925536600418058,0.47934980031367974,0.5206501996863202,0.47979022361109136,0.5202097763889086,0.484126955639374,0.515873044360626,0.4321258542589175,0.5678741457410825,0.3274333603895585,0.6725666396104415,0.4605223240129479,0.5394776759870521,0.5213862961059794,0.4786137038940206,0.4878926484285545,0.5121073515714455,0.6065822749727732,0.3934177250272268,0.5535989917333941,0.44640100826660584,0.3217171252468692,0.6782828747531308,0.48497690464733906,0.5150230953526609,0.4778078550243169,0.5221921449756831,0.4791000381484483,0.5208999618515517,0.5688390312918834,0.43116096870811654,0.5565511923495932,0.4434488076504069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aitkin County,27001000015,0.6328602756950912,0.3671397243049088,0.47292116885021873,0.5270788311497813,0.4945025474023882,0.5054974525976116,0.5244057222926143,0.4755942777073857,0.4964145813315318,0.5035854186684682,0.43432015595798984,0.5656798440420102,0.44100780462291744,0.5589921953770826,0.5146523367848249,0.48534766321517514,0.4881236986377509,0.5118763013622492,0.5267879147974366,0.4732120852025634,0.4688018781205205,0.5311981218794796,0.449091949205698,0.5509080507943019,0.5388523369230224,0.4611476630769777,0.5035719223414017,0.4964280776585983,0.5294936611000886,0.4705063388999112,0.5031836298376688,0.4968163701623312,0.48753725346867954,0.5124627465313205,0.41517184243932576,0.5848281575606742,0.5531527601186963,0.4468472398813037,0.4901922677397647,0.5098077322602353,0.48091969445313487,0.5190803055468649,0.5106533146953126,0.48934668530468733,0.4751199537129828,0.5248800462870172,0.4455039487962083,0.5544960512037918,0.5362802737947089,0.4637197262052912,0.5122619449773625,0.4877380550226374,0.48400344118448974,0.51599655881551,0.4937114052934366,0.5062885947065634,0.4829206757303151,0.517079324269685,0.43815397443909576,0.5618460255609042,0.4037994186171214,0.5962005813828786,0.4614458455022278,0.5385541544977722,0.523327685560967,0.476672314439033,0.4864508867031002,0.5135491132968998,0.611475215248731,0.3885247847512689,0.5500168912806405,0.44998310871935954,0.44683529448629433,0.5531647055137057,0.4826541492741528,0.5173458507258472,0.4780438244858665,0.5219561755141335,0.4724902245359922,0.5275097754640078,0.5608419691776831,0.43915803082231686,0.5505829318530747,0.4494170681469253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aitkin County,27001000020,0.5936155088593197,0.4063844911406803,0.46515086565986735,0.5348491343401327,0.48706596536735774,0.5129340346326423,0.523003308613764,0.476996691386236,0.5006973458799273,0.4993026541200727,0.4174408261441206,0.5825591738558794,0.393114979737914,0.606885020262086,0.5179414417256725,0.4820585582743275,0.4880712775843026,0.5119287224156974,0.5193906930851862,0.4806093069148139,0.46563801585091874,0.5343619841490812,0.414947085421274,0.585052914578726,0.5093883899291208,0.4906116100708792,0.5006408386174362,0.4993591613825638,0.5318215924636901,0.4681784075363099,0.5020736328893081,0.4979263671106919,0.4925031311730821,0.5074968688269179,0.3959468514528375,0.6040531485471625,0.5595809500007584,0.4404190499992417,0.4872825342832908,0.5127174657167093,0.48485339773245456,0.5151466022675455,0.5061896223515903,0.4938103776484097,0.482607854713892,0.517392145286108,0.4299598816181433,0.5700401183818568,0.5304841979102357,0.46951580208976434,0.5129996240096947,0.4870003759903053,0.4848955186505903,0.5151044813494098,0.4846073490514241,0.5153926509485759,0.47922555057533095,0.5207744494246691,0.4146251524006918,0.5853748475993082,0.41826379966534144,0.5817362003346586,0.467409989983109,0.532590010016891,0.518272485087864,0.48172751491213595,0.48446465837003144,0.5155353416299685,0.610888221093437,0.38911177890656296,0.5763025773868488,0.4236974226131512,0.40938116255920015,0.5906188374407998,0.481750477586481,0.5182495224135191,0.4756302427270805,0.5243697572729196,0.48003390279105834,0.5199660972089417,0.5620333215858057,0.43796667841419434,0.5703402360917932,0.4296597639082068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aitkin County,27001000025,0.508804700616445,0.49119529938355505,0.47055600106503426,0.5294439989349657,0.4923220942327008,0.5076779057672992,0.5187304441120881,0.4812695558879117,0.4999700669303596,0.5000299330696404,0.4127437053117446,0.5872562946882555,0.3698755107253366,0.6301244892746635,0.5116151060674677,0.4883848939325323,0.4921063139149518,0.5078936860850481,0.5172730513045861,0.4827269486954137,0.46849720173774334,0.5315027982622567,0.4325264636136773,0.5674735363863227,0.4661389836963726,0.5338610163036275,0.5031881543218174,0.4968118456781826,0.5344035239501638,0.4655964760498363,0.5041207911572134,0.4958792088427864,0.49112328067335537,0.5088767193266447,0.4083991773040994,0.5916008226959003,0.4327741889662395,0.5672258110337605,0.48707360841248654,0.5129263915875134,0.48756977233292575,0.5124302276670742,0.506202029862239,0.4937979701377608,0.4751892711800197,0.5248107288199803,0.42376747407792714,0.5762325259220726,0.4049222774311792,0.5950777225688209,0.5173312189870639,0.48266878101293614,0.48369729914556303,0.516302700854437,0.4895913968901831,0.5104086031098166,0.4894682311337664,0.5105317688662335,0.4048476375177839,0.5951523624822158,0.49100311716997247,0.5089968828300275,0.4619461105273117,0.5380538894726883,0.5216201713557114,0.47837982864428863,0.4878241717807165,0.5121758282192835,0.6003516607133695,0.39964833928663046,0.5714655721786511,0.42853442782134865,0.504514370947263,0.49548562905273696,0.4814303492766288,0.5185696507233712,0.4758026905978885,0.5241973094021115,0.46500859907542424,0.5349914009245755,0.5671034813896821,0.43289651861031786,0.5734360566104889,0.42656394338951104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aitkin County,27001000030,0.6178253939201144,0.38217460607988585,0.47268949713727854,0.5273105028627215,0.48706981396264926,0.5129301860373507,0.5229212847528154,0.47707871524718454,0.49829633087040104,0.501703669129599,0.4287362494025899,0.5712637505974101,0.4229543277563907,0.5770456722436095,0.5150622561229197,0.4849377438770804,0.4937695554786112,0.5062304445213888,0.5153609952966522,0.4846390047033477,0.46563095643326896,0.5343690435667311,0.45038785538630854,0.5496121446136915,0.5255329939772201,0.47446700602278014,0.5033894683655332,0.4966105316344668,0.5238320497464498,0.4761679502535502,0.5030742959738894,0.4969257040261105,0.4907368167245256,0.5092631832754744,0.42163910436413815,0.5783608956358618,0.534274548508795,0.4657254514912052,0.48891454324174743,0.5110854567582526,0.48511386857815136,0.5148861314218486,0.5099253146828318,0.4900746853171682,0.4823858552360468,0.5176141447639532,0.4483401161574496,0.5516598838425504,0.5336263720350202,0.46637362796498005,0.5060443352716502,0.4939556647283498,0.49226835322406354,0.5077316467759365,0.4921203402112487,0.5078796597887514,0.48368649991725104,0.5163135000827489,0.4301260903701544,0.5698739096298456,0.4752834252994976,0.5247165747005027,0.46787361042581577,0.5321263895741842,0.5197275034649764,0.4802724965350236,0.4850488813905357,0.5149511186094643,0.6063119467721465,0.3936880532278535,0.5504151563161395,0.4495848436838605,0.461783770174656,0.5382162298253442,0.4761305775086337,0.5238694224913663,0.4752601885085028,0.5247398114914973,0.4700896635024211,0.5299103364975789,0.5663387756167548,0.4336612243832451,0.5503499611560975,0.4496500388439026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aitkin County,27001000035,0.6140110331210096,0.3859889668789904,0.4717915382114967,0.5282084617885033,0.4916690527695431,0.5083309472304569,0.5151282809118061,0.48487171908819393,0.4963788504520766,0.5036211495479234,0.4138870289526797,0.5861129710473203,0.41044679181477783,0.5895532081852222,0.5128628797127207,0.4871371202872792,0.4863540004989701,0.51364599950103,0.5147752401984842,0.48522475980151575,0.4619446008487332,0.5380553991512668,0.4175675554462937,0.5824324445537064,0.4678840027056331,0.532115997294367,0.4995953735322347,0.5004046264677653,0.5237824986869869,0.4762175013130131,0.5061910916730483,0.4938089083269517,0.49050533774964017,0.5094946622503599,0.37508838134124434,0.6249116186587557,0.5848846210915589,0.4151153789084411,0.48451221631831665,0.5154877836816834,0.4830381216458905,0.5169618783541094,0.5042150178731042,0.4957849821268958,0.480743041595572,0.519256958404428,0.4314319928424051,0.5685680071575949,0.45629703502305696,0.543702964976943,0.5157942771345394,0.48420572286546054,0.47089958987161007,0.5291004101283899,0.4816722100070206,0.5183277899929795,0.4817663364781701,0.51823366352183,0.3806500351411049,0.619349964858895,0.4672129553640158,0.5327870446359843,0.4628069194864211,0.5371930805135788,0.5333949413778665,0.46660505862213353,0.4802714148953811,0.519728585104619,0.6088011938695796,0.3911988061304203,0.6002109910442851,0.3997890089557149,0.44991917903090933,0.5500808209690907,0.4835397430586668,0.5164602569413332,0.47959170864737066,0.5204082913526293,0.47245880237245214,0.5275411976275478,0.5641277840689384,0.4358722159310616,0.5928354962464677,0.4071645037535323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aitkin County,27001000038,0.6473523999483849,0.35264760005161505,0.4753606503475558,0.5246393496524441,0.4946801768902605,0.5053198231097396,0.5187492103606157,0.4812507896393842,0.497679448037357,0.502320551962643,0.42696391607828355,0.5730360839217165,0.4539333177746012,0.5460666822253988,0.5107769741740203,0.4892230258259797,0.4863595635296044,0.5136404364703956,0.5240756264324596,0.4759243735675403,0.467715397642592,0.532284602357408,0.4438132833397463,0.5561867166602535,0.44514251254642767,0.5548574874535723,0.5003002069799928,0.4996997930200073,0.5332988126421342,0.4667011873578658,0.5049443125273567,0.4950556874726432,0.4910221458450199,0.5089778541549801,0.3941996325774624,0.6058003674225376,0.6065694241894908,0.3934305758105091,0.4815905426623725,0.5184094573376276,0.4856094901679357,0.5143905098320644,0.5017503204704234,0.4982496795295765,0.484256180310993,0.5157438196890071,0.4431637199962712,0.5568362800037289,0.5588605284419188,0.4411394715580812,0.5111135248477122,0.48888647515228784,0.4812505606394888,0.5187494393605111,0.48335564814150805,0.5166443518584919,0.4876056489768853,0.5123943510231147,0.4275350517980314,0.5724649482019686,0.41746070149796055,0.5825392985020394,0.4617282630480654,0.5382717369519346,0.5208928937308667,0.4791071062691334,0.4855186891371156,0.5144813108628844,0.6092977137670557,0.39070228623294434,0.5752928516411367,0.424707148358863,0.37518184356949313,0.6248181564305069,0.4844642876981243,0.5155357123018757,0.48035521219564975,0.5196447878043502,0.4735170285514992,0.5264829714485008,0.5582991689013107,0.4417008310986893,0.5640285643350526,0.4359714356649472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aitkin County,27001000040,0.6242057890222918,0.37579421097770815,0.4696077114533008,0.5303922885466992,0.4874350345073237,0.5125649654926764,0.5226023378653025,0.4773976621346974,0.4916612814972187,0.5083387185027815,0.4195098516558992,0.5804901483441007,0.4589306623363723,0.5410693376636276,0.5185415262430333,0.48145847375696665,0.4895102217759131,0.5104897782240869,0.516032912533337,0.483967087466663,0.4627148196870495,0.5372851803129507,0.44554020869999794,0.5544597913000021,0.5603671815293753,0.43963281847062474,0.5019224798536007,0.49807752014639933,0.5255051223093535,0.4744948776906465,0.5064204074238549,0.4935795925761452,0.4858890831632016,0.5141109168367987,0.4147721237624303,0.5852278762375697,0.6062132965275815,0.39378670347241856,0.4814573407260815,0.5185426592739185,0.4887163618767535,0.5112836381232465,0.5076842412980459,0.4923157587019541,0.4763829085116271,0.5236170914883731,0.44017051479687586,0.5598294852031241,0.5770764785635072,0.4229235214364928,0.5092738290431071,0.4907261709568928,0.4816218568917787,0.5183781431082213,0.4899760539277518,0.5100239460722483,0.4822145087604736,0.5177854912395267,0.4306374059029788,0.5693625940970213,0.3658851968937155,0.6341148031062845,0.4611539198447875,0.5388460801552125,0.5225755738547018,0.4774244261452983,0.4851589365117436,0.5148410634882564,0.6035323756623087,0.3964676243376915,0.5508922759020737,0.4491077240979263,0.3690801818288997,0.6309198181711003,0.4852870743735402,0.5147129256264599,0.48143033867035306,0.5185696613296469,0.4784226352893761,0.5215773647106239,0.565861683978555,0.43413831602144526,0.5509621745993157,0.44903782540068427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aitkin County,27001000045,0.6586820922441963,0.34131790775580373,0.4730795220300472,0.5269204779699528,0.4897750043588551,0.5102249956411449,0.5209313824179416,0.4790686175820584,0.4911648042495107,0.5088351957504893,0.438473737045784,0.5615262629542159,0.5321947695480469,0.4678052304519531,0.510764862504087,0.489235137495913,0.4908643740712119,0.5091356259287881,0.5233045931968099,0.47669540680319017,0.4602806990093608,0.5397193009906393,0.4523577016938634,0.5476422983061366,0.6270813468027883,0.37291865319721174,0.503774558715693,0.49622544128430707,0.5267873362011688,0.4732126637988312,0.5098780024138062,0.49012199758619385,0.489887937813428,0.510112062186572,0.4291050907693135,0.5708949092306865,0.6908008098660342,0.3091991901339658,0.48917739960971535,0.5108226003902847,0.48667298145535653,0.5133270185446435,0.5083882288169388,0.4916117711830612,0.47825110256384734,0.5217488974361527,0.4514037627637426,0.5485962372362574,0.6200433109844157,0.3799566890155844,0.5048360351485115,0.4951639648514885,0.4905709796569422,0.5094290203430578,0.4931177745242325,0.5068822254757676,0.48088014986251865,0.5191198501374814,0.43479834117919824,0.5652016588208018,0.3252511443061445,0.6747488556938556,0.4608801715254446,0.5391198284745554,0.5220401887023993,0.4779598112976006,0.48978982007094457,0.5102101799290554,0.6031594807168668,0.3968405192831332,0.5534157168922026,0.4465842831077974,0.3268265177011894,0.6731734822988106,0.4806528124500422,0.5193471875499578,0.4794668545083072,0.5205331454916928,0.47640617839356314,0.5235938216064369,0.5659558806080327,0.4340441193919672,0.5531794677037415,0.4468205322962585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
