county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_white.uss_16_dem_wyd,vap_white.uss_16_rep_cal,vap_black.uss_16_dem_wyd,vap_black.uss_16_rep_cal,vap_hisp.uss_16_dem_wyd,vap_hisp.uss_16_rep_cal,vap_oth.uss_16_dem_wyd,vap_oth.uss_16_rep_cal,vap_white.gov_16_dem_bro,vap_white.gov_16_rep_pie,vap_black.gov_16_dem_bro,vap_black.gov_16_rep_pie,vap_hisp.gov_16_dem_bro,vap_hisp.gov_16_rep_pie,vap_oth.gov_16_dem_bro,vap_oth.gov_16_rep_pie,vap_white.atg_16_dem_ros,vap_white.atg_16_rep_cro,vap_black.atg_16_dem_ros,vap_black.atg_16_rep_cro,vap_hisp.atg_16_dem_ros,vap_hisp.atg_16_rep_cro,vap_oth.atg_16_dem_ros,vap_oth.atg_16_rep_cro,vap_white.sos_16_dem_ava,vap_white.sos_16_rep_ric,vap_black.sos_16_dem_ava,vap_black.sos_16_rep_ric,vap_hisp.sos_16_dem_ava,vap_hisp.sos_16_rep_ric,vap_oth.sos_16_dem_ava,vap_oth.sos_16_rep_ric,vap_white.gov_18_dem_bro,vap_white.gov_18_rep_bue,vap_black.gov_18_dem_bro,vap_black.gov_18_rep_bue,vap_hisp.gov_18_dem_bro,vap_hisp.gov_18_rep_bue,vap_oth.gov_18_dem_bro,vap_oth.gov_18_rep_bue,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_white.uss_20_dem_mer,vap_white.uss_20_rep_per,vap_black.uss_20_dem_mer,vap_black.uss_20_rep_per,vap_hisp.uss_20_dem_mer,vap_hisp.uss_20_rep_per,vap_oth.uss_20_dem_mer,vap_oth.uss_20_rep_per,vap_white.atg_20_dem_ros,vap_white.atg_20_rep_cro,vap_black.atg_20_dem_ros,vap_black.atg_20_rep_cro,vap_hisp.atg_20_dem_ros,vap_hisp.atg_20_rep_cro,vap_oth.atg_20_dem_ros,vap_oth.atg_20_rep_cro,vap_white.sos_20_dem_fag,vap_white.sos_20_rep_tha,vap_black.sos_20_dem_fag,vap_black.sos_20_rep_tha,vap_hisp.sos_20_dem_fag,vap_hisp.sos_20_rep_tha,vap_oth.sos_20_dem_fag,vap_oth.sos_20_rep_tha
Baker County,41001950100,0.16894198466576776,0.8310580153342322,0.5068545615148498,0.4931454384851503,0.5010763367626754,0.4989236632373247,0.5238030590018409,0.4761969409981591,0.36621822176475327,0.6337817782352467,0.49729973842794584,0.5027002615720542,0.49004338904483996,0.5099566109551601,0.49453336795372294,0.5054666320462771,0.17771771871564926,0.8222822812843508,0.5064091317896025,0.49359086821039755,0.52076593381039,0.47923406618961,0.521463443134121,0.4785365568658791,0.2058339996181886,0.7941660003818114,0.5049419107789859,0.49505808922101413,0.49459098136837687,0.5054090186316231,0.5199884505692178,0.4800115494307822,0.13444000667600628,0.8655599933239937,0.5013822775664915,0.4986177224335086,0.5020834318204043,0.49791656817959573,0.4998454391319828,0.5001545608680172,0.13667832638468397,0.8633216736153161,0.5031600696921116,0.4968399303078884,0.5189928183203886,0.4810071816796114,0.518938404172563,0.481061595827437,0.1858564800985292,0.8141435199014708,0.5026313559331375,0.49736864406686254,0.49682669350740083,0.5031733064925992,0.5347973886657347,0.4652026113342653,0.21370073298959086,0.7862992670104092,0.5028955430843912,0.4971044569156088,0.5043347480995319,0.49566525190046806,0.5025241482530571,0.49747585174694287,0.19027048721050044,0.8097295127894996,0.49300296724312476,0.5069970327568752,0.49838677772126033,0.5016132222787396,0.5040158009788497,0.4959841990211503,0.15846535291748892,0.8415346470825111,0.49702531782517567,0.5029746821748243,0.5052697992969761,0.4947302007030239,0.5102732425717253,0.4897267574282747
Baker County,41001950200,0.20955029688638915,0.7904497031136108,0.5047909167323904,0.49520908326760965,0.49792432942496395,0.502075670575036,0.5320127173150545,0.4679872826849455,0.43541754244999725,0.5645824575500027,0.5000613984527599,0.4999386015472402,0.49366946661605565,0.5063305333839443,0.4983370330882356,0.5016629669117644,0.2508274040108547,0.7491725959891453,0.5005817536952846,0.49941824630471543,0.5274391602143564,0.4725608397856435,0.5107641126567306,0.4892358873432694,0.3064050652830507,0.6935949347169492,0.5019925423746654,0.49800745762533455,0.4960712202080577,0.5039287797919423,0.5201274425905154,0.4798725574094847,0.21397747189641153,0.7860225281035885,0.5091236214684485,0.4908763785315516,0.5221434061826008,0.4778565938173992,0.5051780616871188,0.4948219383128813,0.1849601991905636,0.8150398008094364,0.5037227149019963,0.49627728509800373,0.5222308853476558,0.4777691146523442,0.522139593693323,0.477860406306677,0.22315106786175934,0.7768489321382407,0.5061145637834558,0.4938854362165443,0.49091917060274387,0.5090808293972562,0.5268884775619282,0.47311152243807175,0.2739646118325607,0.7260353881674393,0.5007443530904756,0.4992556469095244,0.5017825764469531,0.49821742355304693,0.5045943071178904,0.49540569288210956,0.24783486656728143,0.7521651334327185,0.49615045422974613,0.5038495457702539,0.49137679191335654,0.5086232080866434,0.5154505527836809,0.4845494472163191,0.19828376027287264,0.8017162397271274,0.5003013007932463,0.4996986992067537,0.5049262869322043,0.4950737130677957,0.5240151926691876,0.47598480733081244
Baker County,41001950300,0.14874374249635186,0.8512562575036482,0.5141672546875626,0.4858327453124374,0.49660020252216736,0.5033997974778327,0.5259068926806291,0.4740931073193709,0.4045862268678631,0.595413773132137,0.49683414300656853,0.5031658569934315,0.4875076877602978,0.5124923122397022,0.49946765396331444,0.5005323460366856,0.199328830517256,0.800671169482744,0.5085748587509703,0.49142514124902975,0.525842952439043,0.47415704756095706,0.5169104439426393,0.48308955605736065,0.25089530053841724,0.7491046994615828,0.5057773571874181,0.4942226428125819,0.5049462357024397,0.4950537642975603,0.5125319995779474,0.4874680004220526,0.1574851650277827,0.8425148349722174,0.5024698845800615,0.4975301154199386,0.516816906876561,0.48318309312343904,0.48724025042968006,0.5127597495703199,0.13216245390845702,0.867837546091543,0.5042322657822064,0.49576773421779363,0.5202830084219002,0.47971699157809977,0.5132951248779012,0.4867048751220988,0.1758083811658213,0.8241916188341787,0.5078028769255938,0.49219712307440616,0.4916934021374344,0.5083065978625656,0.5225263557774792,0.4774736442225208,0.2235691007321997,0.7764308992678003,0.500803848674271,0.4991961513257291,0.5011580449504488,0.4988419550495512,0.5028521846028917,0.4971478153971083,0.1949794494132314,0.8050205505867686,0.4961029565927253,0.5038970434072747,0.49162263106735754,0.5083773689326425,0.49861788952177605,0.5013821104782239,0.15811893647904982,0.8418810635209502,0.5038368847468371,0.496163115253163,0.5035397672025758,0.4964602327974242,0.5193121812043253,0.48068781879567474
Baker County,41001950400,0.1913765990160419,0.8086234009839581,0.5061503354110222,0.4938496645889778,0.5004514785634594,0.4995485214365406,0.524077812051113,0.47592218794888697,0.4189466106838205,0.5810533893161796,0.5023701331495982,0.49762986685040184,0.4926040679837326,0.5073959320162674,0.499405337106129,0.500594662893871,0.23639570428766854,0.7636042957123315,0.5013435234402283,0.49865647655977174,0.5214490383976923,0.47855096160230776,0.5136406136059599,0.48635938639404014,0.29014866155525887,0.7098513384447411,0.500741291531607,0.499258708468393,0.49993840870746314,0.5000615912925368,0.5186798488310629,0.4813201511689371,0.19129547780830378,0.8087045221916962,0.508776989433018,0.49122301056698203,0.5123548284847909,0.48764517151520914,0.5056586255910719,0.49434137440892806,0.17251575802742217,0.8274842419725779,0.5066849473447725,0.4933150526552274,0.5206028024210241,0.4793971975789759,0.517335341075448,0.48266465892455196,0.23228570065596735,0.7677142993440327,0.5016834358663909,0.4983165641336092,0.4945585388236705,0.5054414611763295,0.5276151311861719,0.4723848688138282,0.27588519875862755,0.7241148012413724,0.5060148446342653,0.4939851553657348,0.5053475030817361,0.49465249691826385,0.5076216538002076,0.4923783461997924,0.24501240248182615,0.7549875975181738,0.5000248872766542,0.4999751127233458,0.5020893038328943,0.49791069616710576,0.5185849444999774,0.48141505550002267,0.21199434150040952,0.7880056584995905,0.5010075977072845,0.49899240229271546,0.503109170041119,0.496890829958881,0.5133580448617155,0.4866419551382844
Baker County,41001950500,0.22523480895563225,0.7747651910443675,0.5062928567192634,0.49370714328073656,0.5123878269080825,0.48761217309191746,0.521339321743894,0.478660678256106,0.4474233237355796,0.5525766762644204,0.5067730090538209,0.49322699094617906,0.4992050987048298,0.5007949012951702,0.5055188231986155,0.4944811768013845,0.25259965096136755,0.7474003490386324,0.5090389096146114,0.4909610903853886,0.5237389518625548,0.4762610481374452,0.518429351740621,0.48157064825937895,0.3051634517511855,0.6948365482488145,0.5075631086576443,0.49243689134235563,0.5010096290747043,0.49899037092529575,0.5149162719497831,0.48508372805021693,0.20440906389251717,0.7955909361074829,0.5019450988085576,0.49805490119144236,0.518187303040689,0.48181269695931095,0.4988206414287487,0.5011793585712513,0.1918849435904293,0.8081150564095707,0.5065981382918934,0.4934018617081066,0.5249831821645958,0.4750168178354042,0.5173387323238224,0.4826612676761776,0.24640213434320557,0.7535978656567944,0.5011404415184384,0.4988595584815616,0.48376092763925715,0.5162390723607428,0.529031282643783,0.470968717356217,0.2810795954191523,0.7189204045808477,0.5084872504377015,0.49151274956229857,0.5078814495901324,0.4921185504098677,0.5091717211323138,0.4908282788676862,0.2595014293288327,0.7404985706711671,0.4987621995049255,0.5012378004950745,0.50119436134413,0.4988056386558701,0.511870467912021,0.48812953208797905,0.21998808639286482,0.7800119136071352,0.49850696272936684,0.5014930372706331,0.5031135139182251,0.4968864860817749,0.5123106337933553,0.4876893662066447
Baker County,41001950600,0.20216440906804983,0.7978355909319501,0.5162430463637877,0.4837569536362123,0.49258780818270836,0.5074121918172917,0.5154837747879069,0.4845162252120931,0.3885386410798,0.6114613589201999,0.49630634883829255,0.5036936511617074,0.49182476839706224,0.5081752316029378,0.4977231817667125,0.5022768182332875,0.22340369365600068,0.7765963063439993,0.5078171349774286,0.49218286502257136,0.5245811034399277,0.47541889656007225,0.5189070204352341,0.4810929795647659,0.28198678770227137,0.7180132122977286,0.5071177264764218,0.49288227352357816,0.5019233204383161,0.4980766795616839,0.5140131486136607,0.48598685138633935,0.21566430072413043,0.7843356992758695,0.5029439504869112,0.49705604951308874,0.5120705920236811,0.48792940797631884,0.5023443991934916,0.49765560080650845,0.22011969125170122,0.7798803087482987,0.5050279789207022,0.49497202107929783,0.5171442696830173,0.4828557303169827,0.5164770916102623,0.48352290838973766,0.21511713539372476,0.7848828646062752,0.5056568718593165,0.4943431281406835,0.4989454014928743,0.5010545985071257,0.5304352996990367,0.46956470030096326,0.2553309943817094,0.7446690056182906,0.5054716693657585,0.4945283306342415,0.503051214794454,0.49694878520554603,0.4991869202146056,0.5008130797853944,0.2465844271216565,0.7534155728783435,0.49613575475973376,0.5038642452402662,0.5027593708394672,0.4972406291605328,0.5165505269430445,0.4834494730569555,0.2014011665394382,0.7985988334605618,0.5034996377131263,0.49650036228687366,0.5000739816566556,0.4999260183433444,0.5142994211464649,0.48570057885353507
Benton County,41003000101,0.8530210656853994,0.14697893431460063,0.513959561130567,0.48604043886943304,0.4834547082384544,0.5165452917615456,0.6151115253933532,0.38488847460664677,0.832866540057125,0.16713345994287496,0.5032005359788573,0.4967994640211427,0.5051821396857601,0.4948178603142399,0.6103081136209443,0.38969188637905566,0.7835406549968199,0.21645934500318012,0.5219744969236628,0.4780255030763372,0.5319122101567375,0.46808778984326255,0.5820062159922875,0.41799378400771253,0.8006375901316644,0.19936240986833567,0.4882846619416803,0.5117153380583197,0.49597368507887163,0.5040263149211284,0.588730515695423,0.411269484304577,0.7166924988401289,0.28330750115987113,0.5236349743441813,0.47636502565581873,0.543942378645508,0.45605762135449207,0.5744020437569575,0.4255979562430426,0.811627013452949,0.18837298654705106,0.5023512083643484,0.49764879163565157,0.52844414109095,0.47155585890905005,0.6425408245655481,0.35745917543445194,0.8766827918698994,0.1233172081301006,0.4970723682111259,0.5029276317888741,0.4946720990436389,0.505327900956361,0.6451189783249024,0.35488102167509766,0.872455101487025,0.12754489851297496,0.5230604644734173,0.4769395355265827,0.4839857768039993,0.5160142231960007,0.6300177997987784,0.3699822002012216,0.8457066044591198,0.15429339554088015,0.5144580238752748,0.48554197612472516,0.5632552550556934,0.4367447449443066,0.636928747151377,0.36307125284862296,0.8005854014543154,0.19941459854568455,0.5061002507848633,0.4938997492151367,0.5403679154488678,0.45963208455113225,0.6079004234489899,0.39209957655101013
Benton County,41003000102,0.852566288732304,0.14743371126769603,0.5111294328931039,0.4888705671068961,0.48474905798363166,0.5152509420163683,0.6226076031013036,0.3773923968986964,0.8304598029721497,0.16954019702785025,0.5058961625176345,0.4941038374823656,0.5137357905887673,0.4862642094112328,0.6254744607083808,0.37452553929161925,0.7810321702621497,0.21896782973785028,0.5069702745051663,0.49302972549483365,0.5383934584062078,0.46160654159379216,0.5873338646958471,0.41266613530415286,0.8009475382610658,0.1990524617389342,0.49081169521120127,0.5091883047887987,0.5019414171245333,0.4980585828754666,0.5985785387400172,0.4014214612599828,0.7133298492472595,0.2866701507527405,0.514455491202249,0.485544508797751,0.5421659677439606,0.4578340322560394,0.5766602061591202,0.42333979384087983,0.8137008233714282,0.1862991766285717,0.503199952858732,0.496800047141268,0.5207632588795341,0.4792367411204659,0.641843584061875,0.35815641593812503,0.8783261899604407,0.12167381003955939,0.4938386420071781,0.5061613579928219,0.5014714176937575,0.49852858230624253,0.649054544345937,0.350945455654063,0.8689103494064979,0.13108965059350214,0.5208855452443537,0.4791144547556463,0.5089982164471838,0.4910017835528162,0.6431165971644187,0.35688340283558123,0.8481192334418353,0.1518807665581647,0.512899305642861,0.487100694357139,0.5562838290877453,0.44371617091225474,0.6364562419779736,0.3635437580220264,0.8008183000463097,0.19918169995369028,0.5045159086067579,0.4954840913932421,0.5385904431693046,0.4614095568306954,0.6103100660812891,0.38968993391871093
Benton County,41003000202,0.7433811327322665,0.25661886726773353,0.5116495045469407,0.4883504954530593,0.4851929766147733,0.5148070233852267,0.6288969025575695,0.3711030974424306,0.7475287195361192,0.25247128046388073,0.5011435656410406,0.49885643435895943,0.5091150714389019,0.4908849285610981,0.6183039152969517,0.38169608470304833,0.6637831662203404,0.33621683377965966,0.50968990459391,0.49031009540609,0.5285376663201342,0.47146233367986584,0.5761255857340424,0.4238744142659576,0.6896615172445275,0.31033848275547254,0.48536389509944905,0.514636104900551,0.4924323924712787,0.5075676075287213,0.5748646371311357,0.4251353628688643,0.6102739235368354,0.3897260764631646,0.5138730012756809,0.48612699872431914,0.5367537762356077,0.46324622376439223,0.574231835776576,0.425768164223424,0.6746833600801491,0.32531663991985094,0.49920798945464906,0.5007920105453509,0.5168826677293502,0.4831173322706498,0.6174962548468205,0.3825037451531795,0.7857159039824796,0.21428409601752038,0.49991575812562933,0.5000842418743707,0.5028193792674048,0.4971806207325952,0.6392799810903195,0.3607200189096805,0.770812015736823,0.22918798426317696,0.516921163892057,0.48307883610794305,0.49299455076594895,0.507005449234051,0.6464324113611354,0.3535675886388646,0.7508656529187843,0.24913434708121573,0.5076633780886491,0.49233662191135086,0.5384686800847892,0.4615313199152108,0.6275446784232045,0.37245532157679545,0.6953123957472376,0.3046876042527624,0.5029017294725691,0.497098270527431,0.5340912303651357,0.4659087696348643,0.6115771138067919,0.3884228861932081
Benton County,41003000401,0.9024709563837132,0.09752904361628682,0.5151280840045169,0.48487191599548307,0.4867152199337097,0.5132847800662903,0.6227291891980247,0.37727081080197533,0.891211908489387,0.108788091510613,0.5096581036878948,0.49034189631210523,0.5080861364069368,0.4919138635930632,0.6195080840053031,0.3804919159946969,0.8372514974538084,0.16274850254619155,0.5157004338899431,0.4842995661100568,0.539864813589357,0.460135186410643,0.5948163346819978,0.4051836653180022,0.844816567771281,0.15518343222871894,0.49314529722333594,0.5068547027766641,0.49969822295124894,0.5003017770487511,0.5945190169157868,0.4054809830842132,0.7705229835761321,0.22947701642386784,0.5159400853356199,0.4840599146643801,0.5518959695343559,0.44810403046564407,0.6007338437175186,0.39926615628248147,0.8466238550138063,0.15337614498619362,0.495801716109026,0.504198283890974,0.5295565865795585,0.4704434134204415,0.638050110007209,0.361949889992791,0.9228596998962653,0.07714030010373477,0.5032853292081064,0.4967146707918936,0.5027494134149415,0.4972505865850585,0.6604280905938165,0.33957190940618354,0.9228811240004295,0.07711887599957044,0.5243115972542521,0.47568840274574786,0.4878303208246298,0.5121696791753702,0.6455551068908875,0.3544448931091126,0.8998619655594993,0.1001380344405007,0.5166059172771166,0.4833940827228834,0.5552100256053462,0.4447899743946539,0.635920249498859,0.36407975050114105,0.868463257841879,0.13153674215812097,0.5029457230283213,0.49705427697167875,0.5322071184887154,0.4677928815112846,0.5999269931636605,0.4000730068363395
