county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.uss_16_rep_she,vap_white.uss_16_dem_cru,vap_black.uss_16_rep_she,vap_black.uss_16_dem_cru,vap_hisp.uss_16_rep_she,vap_hisp.uss_16_dem_cru,vap_asian.uss_16_rep_she,vap_asian.uss_16_dem_cru,vap_aian.uss_16_rep_she,vap_aian.uss_16_dem_cru,vap_oth_b.uss_16_rep_she,vap_oth_b.uss_16_dem_cru,vap_white.gov_18_rep_ive,vap_white.gov_18_dem_mad,vap_black.gov_18_rep_ive,vap_black.gov_18_dem_mad,vap_hisp.gov_18_rep_ive,vap_hisp.gov_18_dem_mad,vap_asian.gov_18_rep_ive,vap_asian.gov_18_dem_mad,vap_aian.gov_18_rep_ive,vap_aian.gov_18_dem_mad,vap_oth_b.gov_18_rep_ive,vap_oth_b.gov_18_dem_mad,vap_white.atg_18_rep_mar,vap_white.atg_18_dem_sie,vap_black.atg_18_rep_mar,vap_black.atg_18_dem_sie,vap_hisp.atg_18_rep_mar,vap_hisp.atg_18_dem_sie,vap_asian.atg_18_rep_mar,vap_asian.atg_18_dem_sie,vap_aian.atg_18_rep_mar,vap_aian.atg_18_dem_sie,vap_oth_b.atg_18_rep_mar,vap_oth_b.atg_18_dem_sie,vap_white.sos_18_rep_mer,vap_white.sos_18_dem_mil,vap_black.sos_18_rep_mer,vap_black.sos_18_dem_mil,vap_hisp.sos_18_rep_mer,vap_hisp.sos_18_dem_mil,vap_asian.sos_18_rep_mer,vap_asian.sos_18_dem_mil,vap_aian.sos_18_rep_mer,vap_aian.sos_18_dem_mil,vap_oth_b.sos_18_rep_mer,vap_oth_b.sos_18_dem_mil,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_white.uss_20_rep_tub,vap_white.uss_20_dem_jon,vap_black.uss_20_rep_tub,vap_black.uss_20_dem_jon,vap_hisp.uss_20_rep_tub,vap_hisp.uss_20_dem_jon,vap_asian.uss_20_rep_tub,vap_asian.uss_20_dem_jon,vap_aian.uss_20_rep_tub,vap_aian.uss_20_dem_jon,vap_oth_b.uss_20_rep_tub,vap_oth_b.uss_20_dem_jon
Autauga County,01001000001,0.9624346596730644,0.03756534032693562,0.057878996079594826,0.9421210039204052,0.4158627371287101,0.58413726287129,0.5236683012556004,0.4763316987443996,0.4765615807809629,0.5234384192190371,0.37672297822357553,0.6232770217764245,0.9370711556930329,0.0629288443069671,0.07814921487007845,0.9218507851299216,0.44126703778134335,0.5587329622186566,0.4978951653257645,0.5021048346742355,0.4822650229512141,0.5177349770487859,0.39643575016501176,0.6035642498349882,0.8910179008808005,0.1089820991191995,0.15365233437696615,0.8463476656230339,0.43767292612126574,0.5623270738787343,0.4727482244135935,0.5272517755864066,0.48663255122878,0.51336744877122,0.40715142035290935,0.5928485796470906,0.8399274829518341,0.160072517048166,0.14128643929939952,0.8587135607006005,0.4422702359181415,0.5577297640818585,0.47976232405069447,0.5202376759493055,0.47579563598359903,0.524204364016401,0.45076165199527807,0.5492383480047219,0.9020194654420156,0.09798053455798443,0.11155759460353946,0.8884424053964606,0.4366699739119167,0.5633300260880832,0.4899675119564567,0.5100324880435433,0.4882600257743297,0.5117399742256703,0.3983709431442163,0.6016290568557837,0.8783781636138777,0.1216218363861224,0.08903074930255592,0.910969250697444,0.39674871922222466,0.6032512807777753,0.52816959309927,0.47183040690072997,0.4969984105996843,0.5030015894003157,0.3674425253021371,0.6325574746978628,0.8248106224464015,0.17518937755359856,0.0972888584826144,0.9027111415173856,0.41316637117293414,0.5868336288270658,0.4844676816710197,0.5155323183289803,0.41788049690224355,0.5821195030977564,0.40755606844817466,0.5924439315518253
Autauga County,01001000002,0.9891884513022332,0.010811548697766751,0.12662625975135275,0.8733737402486472,0.4470853114072145,0.5529146885927855,0.5506988305999628,0.44930116940003717,0.4864831435234694,0.5135168564765306,0.4258814836180064,0.5741185163819936,0.9770129724869884,0.022987027513011668,0.13120875202014515,0.8687912479798549,0.45301930889745257,0.5469806911025474,0.4992534191805375,0.50074658081946255,0.4869329795759796,0.5130670204240204,0.4174689223047253,0.5825310776952747,0.8936598258784022,0.10634017412159785,0.1747401499246339,0.8252598500753661,0.4260214660826653,0.5739785339173347,0.4666543581626552,0.5333456418373448,0.484119348356175,0.515880651643825,0.3994678814687395,0.6005321185312604,0.8506373081975305,0.14936269180246953,0.16402728242170064,0.8359727175782994,0.4364170846268534,0.5635829153731466,0.4775285828980859,0.522471417101914,0.4698509850236621,0.5301490149763378,0.43905594864355163,0.5609440513564484,0.9240589985141916,0.07594100148580846,0.1491342970840912,0.8508657029159088,0.42311631446094167,0.5768836855390583,0.49213906667050505,0.507860933329495,0.493263904745602,0.506736095254398,0.381777676467809,0.618222323532191,0.9136971328907448,0.0863028671092552,0.13193223824550188,0.8680677617544981,0.39501886292437755,0.6049811370756225,0.5218291223348847,0.4781708776651154,0.4926719790337588,0.5073280209662412,0.35826050993358877,0.6417394900664112,0.8732624272604044,0.12673757273959566,0.14038182320168055,0.8596181767983194,0.40604503578106954,0.5939549642189305,0.4800286482825863,0.5199713517174137,0.41752255324219273,0.5824774467578073,0.40742907848056376,0.5925709215194362
Autauga County,01001000003,0.9918589982646272,0.00814100173537282,0.11563498994180484,0.8843650100581951,0.43343360320976076,0.566566396790239,0.5257541300170607,0.4742458699829392,0.4829908789711005,0.5170091210288995,0.4036275443704134,0.5963724556295866,0.9861799552576778,0.01382004474232223,0.1438741680355009,0.8561258319644991,0.45237548816801093,0.547624511831989,0.49182987228140435,0.5081701277185957,0.48938897530803904,0.510611024691961,0.4237925996885936,0.5762074003114064,0.9644399393073302,0.035560060692669836,0.19354252507442798,0.806457474925572,0.4370746609176721,0.5629253390823279,0.47950270892944397,0.5204972910705561,0.48835754671910614,0.5116424532808939,0.4175712214569928,0.5824287785430072,0.9378623489659792,0.06213765103402081,0.18581261537426857,0.8141873846257314,0.4416085390178268,0.558391460982173,0.4793940865942491,0.5206059134057509,0.47440894790250676,0.5255910520974932,0.4604403246147334,0.5395596753852666,0.9668833659968271,0.03311663400317284,0.15886826764446527,0.8411317323555347,0.43237925389581966,0.5676207461041803,0.49104536433592,0.50895463566408,0.4962857435313706,0.5037142564686294,0.4041314031724462,0.5958685968275538,0.9548531895966513,0.045146810403348635,0.13691973360039347,0.8630802663996066,0.39919911238581496,0.600800887614185,0.5231677003351365,0.47683229966486346,0.4910826678591248,0.5089173321408752,0.3687038911760888,0.6312961088239112,0.9234604507031448,0.07653954929685519,0.15608659406476472,0.8439134059352352,0.41490102996727,0.5850989700327299,0.4848578692142072,0.5151421307857929,0.42633478608780706,0.5736652139121929,0.41213371108197744,0.5878662889180225
Autauga County,01001000004,0.9808351351449067,0.01916486485509326,0.13498453749548558,0.8650154625045144,0.4660949774764299,0.5339050225235701,0.5920523076843001,0.4079476923156999,0.4847443664639808,0.5152556335360192,0.42052913521370905,0.579470864786291,0.9706106614003827,0.02938933859961739,0.15082109118207906,0.8491789088179209,0.479238680198282,0.520761319801718,0.5589583703855037,0.4410416296144964,0.48343142053375643,0.5165685794662436,0.4417629354546942,0.5582370645453059,0.8851788629335201,0.11482113706647992,0.15251102239737596,0.847488977602624,0.4140890966989911,0.5859109033010089,0.44969844583304347,0.5503015541669565,0.49042696227443167,0.5095730377255684,0.38586206381014376,0.6141379361898562,0.86435812020823,0.13564187979176998,0.15277267720356957,0.8472273227964304,0.4409394315186439,0.5590605684813561,0.46451338357713196,0.535486616422868,0.473591200951442,0.526408799048558,0.44614158340025045,0.5538584165997495,0.9152274795489237,0.08477252045107629,0.13787564902782978,0.8621243509721702,0.4208405661821158,0.5791594338178843,0.48266634015007476,0.5173336598499252,0.49650550119056275,0.5034944988094372,0.387038595498426,0.612961404501574,0.9217392581808852,0.07826074181911484,0.09861103103964007,0.9013889689603599,0.3855533907980451,0.6144466092019549,0.4855859597116984,0.5144140402883016,0.4884513515748431,0.5115486484251569,0.3795639780083006,0.6204360219916994,0.871149733787684,0.12885026621231602,0.13130857199039378,0.8686914280096062,0.4013040624640178,0.5986959375359822,0.4666136326666957,0.5333863673333044,0.42050564941596447,0.5794943505840355,0.40330087185911506,0.596699128140885
Autauga County,01001000005,0.9323988286579116,0.06760117134208844,0.06985795876127904,0.9301420412387209,0.3945522641237458,0.6054477358762542,0.5308700616294699,0.46912993837053,0.47245123422638297,0.527548765773617,0.3623261381448718,0.637673861855128,0.9263531678794331,0.07364683212056691,0.09633164338249375,0.9036683566175062,0.43279244448777904,0.5672075555122209,0.49374924087598937,0.5062507591240106,0.478884348089106,0.5211156519108939,0.39074570481000465,0.6092542951899951,0.8866696693641033,0.11333033063589666,0.16680377209524774,0.8331962279047522,0.43221823356217265,0.5677817664378273,0.4753271636476649,0.5246728363523349,0.48542953586993,0.51457046413007,0.40387571657158833,0.5961242834284117,0.8199733458942838,0.18002665410571617,0.15615883012765525,0.8438411698723448,0.44032979905994707,0.5596702009400529,0.4760362031350075,0.5239637968649925,0.4733946378269327,0.5266053621730673,0.4404566518110116,0.5595433481889883,0.87622147977865394,0.12377852022134604,0.13692933693226247,0.8630706630677375,0.42335220244927196,0.576647797550728,0.49255998091928493,0.507440019080715,0.49867793957204726,0.5013220604279527,0.3929857549723692,0.6070142450276308,0.9177574727992214,0.08224252720077867,0.12134448193972246,0.8786555180602775,0.39818232787861313,0.6018176721213869,0.5420822002696511,0.4579177997303486,0.49050469813160796,0.509495301868392,0.3683098628015074,0.6316901371984927,0.8871795882609207,0.11282041173907932,0.13570624850496538,0.8642937514950346,0.4123272691890752,0.5876727308109247,0.481812329770919,0.5181876702290811,0.4225278577334389,0.5774721422665611,0.4154868866688347,0.5845131133311651
Autauga County,01001000006,0.9852619742881656,0.014738025711834591,0.10959639695890389,0.8904036030410961,0.37792248094891917,0.6220775190510809,0.5269687393954885,0.47303126060451156,0.4759958612183169,0.5240041387816832,0.3385756526916141,0.661424347308386,0.9462724695503116,0.053727530449688615,0.12700936531868068,0.8729906346813193,0.41784714243125287,0.5821528575687471,0.4988764391818521,0.5011235608181479,0.4736176860135485,0.5263823139864515,0.3901026186745077,0.6098973813254923,0.9063077916741782,0.09369220832582205,0.1830745786436431,0.8169254213563569,0.42663861786205476,0.5733613821379453,0.4649448810103164,0.5350551189896836,0.4889844349075049,0.5110155650924951,0.3923291450587604,0.6076708549412396,0.8669497820980687,0.13305021790193147,0.18192415699098224,0.8180758430090177,0.4327690980605393,0.5672309019394607,0.4842892017590924,0.5157107982409076,0.4737635206775379,0.5262364793224621,0.44668598851704117,0.5533140114829588,0.9089046551750268,0.09109534482497342,0.15886051083809288,0.8411394891619072,0.4224854158127657,0.5775145841872342,0.4900272002081962,0.5099727997918039,0.4962845259129382,0.5037154740870619,0.38929745457926945,0.6107025454207305,0.9765443979553035,0.023455602044696808,0.1506412592074214,0.8493587407925786,0.41216686483539183,0.5878331351646081,0.5208754227409451,0.47912457725905483,0.49818638413520466,0.5018136158647953,0.39471031679820295,0.6052896832017971,0.9335520668936851,0.06644793310631514,0.15143696202570947,0.8485630379742906,0.4137996487207186,0.5862003512792814,0.49160652395224086,0.5083934760477592,0.42331072544912646,0.5766892745508735,0.4163473522864831,0.5836526477135169
Autauga County,01001000007,0.9883216437457185,0.011678356254281522,0.08547631866829904,0.9145236813317009,0.3972199703537909,0.6027800296462091,0.5268923000900295,0.4731076999099705,0.4729975481542987,0.5270024518457013,0.36237084681801435,0.6376291531819857,0.9507755473883193,0.04922445261168071,0.12205864824432686,0.8779413517556731,0.42427492944686007,0.5757250705531399,0.49150001963453593,0.5084999803654641,0.47979985660795116,0.5202001433920489,0.38629656062098644,0.6137034393790136,0.902769997419254,0.09723000258074599,0.17939316724152915,0.8206068327584708,0.42813782678967766,0.5718621732103223,0.46791599206822493,0.5320840079317751,0.4857998466480561,0.5142001533519439,0.39615742029742346,0.6038425797025766,0.8672434041473933,0.13275659585260668,0.17443255648472963,0.8255674435152703,0.43900279013880045,0.5609972098611995,0.4781907122622247,0.5218092877377752,0.47558677053472237,0.5244132294652777,0.4465176044592154,0.5534823955407846,0.9170814803243282,0.08291851967567174,0.16649694234182486,0.8335030576581751,0.4240467170721345,0.5759532829278655,0.4881026658618891,0.5118973341381109,0.5003190616646769,0.4996809383353232,0.3884725821558461,0.6115274178441539,0.9501770799306393,0.04982292006936077,0.1198155969606609,0.8801844030393391,0.395143973474347,0.604856026525653,0.5522304554834487,0.44776954451655127,0.48881112816911676,0.5111888718308832,0.3644712250486298,0.6355287749513702,0.9239511819999948,0.07604881800000521,0.1513500671444022,0.8486499328555978,0.4121824966537005,0.5878175033462996,0.4855859306287868,0.5144140693712131,0.42862200485767166,0.5713779951423283,0.41419803867508165,0.5858019613249184
Autauga County,01001000008,0.8781927851085443,0.1218072148914558,0.05547993398769564,0.9445200660123043,0.39227660756670474,0.6077233924332952,0.5247048530983346,0.4752951469016654,0.4757297154939167,0.5242702845060833,0.35053284863466466,0.6494671513653351,0.8827802822581671,0.1172197177418329,0.06895041506335997,0.93104958493664,0.42324203492067664,0.5767579650793234,0.4964795486165549,0.5035204513834451,0.4683124445027301,0.53168755549727,0.38437777433936915,0.6156222256606306,0.8004481189479318,0.19955188105206828,0.11482439725924679,0.8851756027407532,0.4234397761439722,0.5765602238560278,0.47281004965384976,0.5271899503461502,0.4870394378561346,0.5129605621438654,0.391900410038555,0.6080995899614448,0.698149995999846,0.30185000400015405,0.10127192343593612,0.8987280765640638,0.4396898127132307,0.5603101872867693,0.47853426012252925,0.5214657398774707,0.4782195031471316,0.5217804968528684,0.4361871999372986,0.5638128000627014,0.7928322940609683,0.20716770593903164,0.09063283510452681,0.9093671648954732,0.42320930746035523,0.5767906925396448,0.48559333100408497,0.514406668995915,0.49544330416219723,0.5045566958378027,0.3790186568120303,0.6209813431879697,0.8704107295948563,0.12958927040514368,0.08211753618913252,0.9178824638108675,0.3996255347085733,0.6003744652914267,0.5280119407416046,0.4719880592583954,0.49262919722821147,0.5073708027717886,0.35855446812989,0.64144553187011,0.8247737289865603,0.1752262710134397,0.09047638761808385,0.9095236123819161,0.4098461784960532,0.5901538215039468,0.4822178604427793,0.5177821395572206,0.4156761156196942,0.5843238843803058,0.410578873818458,0.5894211261815417
Autauga County,01001000009,0.9829550751581004,0.01704492484189952,0.08656455953845163,0.9134354404615483,0.4274700253547273,0.5725299746452728,0.5286928308447914,0.47130716915520865,0.4901932243194553,0.5098067756805449,0.390474645621755,0.609525354378245,0.9529425339506081,0.04705746604939186,0.09367485029979056,0.9063251497002095,0.4261984707270912,0.5738015292729087,0.49444573373034717,0.5055542662696528,0.47518918745288197,0.5248108125471183,0.38147975251370314,0.6185202474862969,0.9082749449758589,0.09172505502414105,0.1703073185022548,0.8296926814977452,0.4214925704388355,0.5785074295611645,0.46821906945687725,0.5317809305431227,0.48307173667340464,0.5169282633265956,0.3934057805018771,0.6065942194981229,0.8338769467310081,0.1661230532689919,0.15987559809240148,0.8401244019075985,0.4411821701164429,0.5588178298835571,0.4777348123298115,0.5222651876701885,0.47090630025155167,0.5290936997484486,0.44579439537071147,0.5542056046292885,0.9098827043688411,0.09011729563115889,0.13278076933601402,0.867219230663986,0.42638351209864106,0.5736164879013589,0.4938910773689503,0.5061089226310497,0.48774284710325044,0.5122571528967498,0.38345692704635287,0.6165430729536471,0.9647345156854227,0.03526548431457727,0.14348912705353484,0.8565108729464652,0.42998497532178404,0.570015024678216,0.5231353613618964,0.47686463863810363,0.5040981537062689,0.4959018462937313,0.40914822169322507,0.5908517783067749,0.940692288386557,0.05930771161344292,0.1694667832271198,0.8305332167728802,0.42632791184688623,0.5736720881531138,0.4820453138396692,0.5179546861603308,0.39695923967522506,0.6030407603247752,0.43006428397606633,0.5699357160239337
Autauga County,01001000010,0.9911790803754065,0.008820919624593467,0.1171609800366713,0.8828390199633287,0.4531254953331342,0.5468745046668658,0.5520291988062803,0.4479708011937197,0.48181151015225315,0.5181884898477468,0.42544507686377775,0.5745549231362223,0.9711844172305363,0.028815582769463742,0.11478688697828404,0.8852131130217159,0.4248525162487197,0.5751474837512802,0.48951421250352267,0.5104857874964773,0.4781879329451147,0.5218120670548854,0.383119270021951,0.616880729978049,0.928148112740089,0.07185188725991096,0.17433877939669457,0.8256612206033054,0.42783874130297606,0.57216125869702394,0.4665047009647391,0.5334952990352608,0.4863791022351098,0.5136208977648902,0.4043754103234327,0.5956245896765673,0.8953448494137571,0.10465515058624292,0.16269336814338406,0.8373066318566159,0.44158565283864315,0.5584143471613568,0.4752459172783371,0.5247540827216629,0.48013334839592486,0.5198666516040752,0.4493975711017873,0.5506024288982126,0.9517114923412752,0.04828850765872483,0.14766336110032743,0.8523366388996726,0.4225341034756688,0.5774658965243312,0.4794553140006364,0.5205446859993637,0.4986835946676547,0.5013164053323452,0.37841273657675606,0.6215872634232439,0.9433932682377112,0.05660673176228881,0.13127331776498874,0.8687266822350113,0.39539496764817905,0.604605032351821,0.5223778952628636,0.4776221047371364,0.49291013888291685,0.5070898611170832,0.3587671388305033,0.6412328611694966,0.9079717482923324,0.09202825170766758,0.14930934818001748,0.8506906518199825,0.40411778213439187,0.5958822178656081,0.4816747464324347,0.5183252535675653,0.4288465077234153,0.5711534922765847,0.41124871286674486,0.5887512871332552
