county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.uss_16_rep_hoe,vap_white.uss_16_dem_gla,vap_black.uss_16_rep_hoe,vap_black.uss_16_dem_gla,vap_hisp.uss_16_rep_hoe,vap_hisp.uss_16_dem_gla,vap_asian.uss_16_rep_hoe,vap_asian.uss_16_dem_gla,vap_aian.uss_16_rep_hoe,vap_aian.uss_16_dem_gla,vap_oth_b.uss_16_rep_hoe,vap_oth_b.uss_16_dem_gla,vap_white.gov_16_rep_bur,vap_white.gov_16_dem_nel,vap_black.gov_16_rep_bur,vap_black.gov_16_dem_nel,vap_hisp.gov_16_rep_bur,vap_hisp.gov_16_dem_nel,vap_asian.gov_16_rep_bur,vap_asian.gov_16_dem_nel,vap_aian.gov_16_rep_bur,vap_aian.gov_16_dem_nel,vap_oth_b.gov_16_rep_bur,vap_oth_b.gov_16_dem_nel,vap_white.uss_18_rep_cra,vap_white.uss_18_dem_hei,vap_black.uss_18_rep_cra,vap_black.uss_18_dem_hei,vap_hisp.uss_18_rep_cra,vap_hisp.uss_18_dem_hei,vap_asian.uss_18_rep_cra,vap_asian.uss_18_dem_hei,vap_aian.uss_18_rep_cra,vap_aian.uss_18_dem_hei,vap_oth_b.uss_18_rep_cra,vap_oth_b.uss_18_dem_hei,vap_white.atg_18_rep_ste,vap_white.atg_18_dem_tho,vap_black.atg_18_rep_ste,vap_black.atg_18_dem_tho,vap_hisp.atg_18_rep_ste,vap_hisp.atg_18_dem_tho,vap_asian.atg_18_rep_ste,vap_asian.atg_18_dem_tho,vap_aian.atg_18_rep_ste,vap_aian.atg_18_dem_tho,vap_oth_b.atg_18_rep_ste,vap_oth_b.atg_18_dem_tho,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_white.gov_20_rep_bur,vap_white.gov_20_dem_len,vap_black.gov_20_rep_bur,vap_black.gov_20_dem_len,vap_hisp.gov_20_rep_bur,vap_hisp.gov_20_dem_len,vap_asian.gov_20_rep_bur,vap_asian.gov_20_dem_len,vap_aian.gov_20_rep_bur,vap_aian.gov_20_dem_len,vap_oth_b.gov_20_rep_bur,vap_oth_b.gov_20_dem_len
Morton County,38059003303,0.9188386490169248,0.08116135098307514,0.479470804606195,0.520529195393805,0.44850148853189964,0.5514985114681004,0.4761524277647242,0.5238475722352758,0.45213803892616566,0.5478619610738346,0.4707198918525926,0.5292801081474074,0.9517229966408296,0.048277003359170394,0.5707177626839245,0.42928223731607557,0.38875411854226877,0.6112458814577313,0.4780220486365055,0.5219779513634945,0.4209289206916846,0.5790710793083156,0.3962755430940919,0.6037244569059081,0.8903799177222617,0.1096200822777383,0.470510539281384,0.529489460718616,0.4318476324599378,0.5681523675400623,0.47440771036341994,0.5255922896365801,0.4280406671393021,0.5719593328606981,0.4402690971445581,0.5597309028554419,0.8195425396242657,0.1804574603757343,0.5129614999636926,0.4870385000363075,0.4788684350820644,0.5211315649179356,0.4826898833274367,0.5173101166725633,0.4804684540392345,0.5195315459607658,0.4690352607685924,0.5309647392314076,0.8452221422503571,0.15477785774964292,0.490434008277568,0.509565991722432,0.4547784296959363,0.5452215703040637,0.49635262733884705,0.503647372661153,0.45715585247571816,0.5428441475242821,0.46973229891839835,0.5302677010816016,0.9976011610398269,0.0023988389601731397,0.577408415950326,0.422591584049674,0.677732791514004,0.32226720848599605,0.49483489615798737,0.5051651038420126,0.45470094777324066,0.5452990522267596,0.9101457095890277,0.08985429041097225,0.8605576431249085,0.1394423568750915,0.4820440131521136,0.5179559868478865,0.44555088625237244,0.5544491137476275,0.4886839417457552,0.5113160582542448,0.4677515910561123,0.5322484089438879,0.47501572704353434,0.5249842729564657
Morton County,38059003401,0.8215161953807038,0.17848380461929628,0.4924597256615897,0.5075402743384103,0.44704572949591787,0.5529542705040821,0.47395137739184384,0.5260486226081562,0.44345479839206287,0.5565452016079372,0.45897616326041124,0.5410238367395888,0.9207963679555912,0.07920363204440879,0.5606834533374995,0.4393165466625006,0.38068930181393984,0.6193106981860601,0.4760120131666952,0.5239879868333048,0.3917356317949898,0.6082643682050102,0.40123820621650574,0.5987617937834943,0.8871156527317111,0.11288434726828891,0.4708272846479719,0.529172715352028,0.4293336855246399,0.5706663144753601,0.47726537398067204,0.522734626019328,0.4168202728896138,0.5831797271103862,0.4307563884436448,0.5692436115563552,0.6529767220781021,0.3470232779218979,0.5166362123870528,0.4833637876129471,0.47848096911297616,0.5215190308870238,0.48186830218477483,0.5181316978152252,0.4738875236444009,0.5261124763555991,0.4574851920973399,0.54251480790266,0.7725169073630942,0.22748309263690583,0.4909275937563845,0.5090724062436155,0.4451985845910347,0.5548014154089653,0.4949958807075528,0.5050041192924473,0.45724096635483724,0.5427590336451628,0.47150253746482906,0.5284974625351709,0.4919714252262171,0.5080285747737829,0.5084841672082702,0.49151583279172983,0.5355784274555384,0.46442157254446165,0.4969839489874865,0.5030160510125136,0.4462634387447423,0.5537365612552577,0.6099761774332068,0.3900238225667933,0.7904817184434,0.20951828155660002,0.4830677267418309,0.5169322732581692,0.43948778171203035,0.5605122182879696,0.49442484317077734,0.5055751568292227,0.4548629146170794,0.5451370853829206,0.4745677320941244,0.5254322679058756
Morton County,38059003402,0.8079265430975846,0.19207345690241545,0.4780213043815163,0.5219786956184838,0.442010064628004,0.5579899353719959,0.4665929871412457,0.5334070128587544,0.4412110064091525,0.5587889935908474,0.4523465013695679,0.5476534986304321,0.9304762191559198,0.06952378084408019,0.5538277698909323,0.44617223010906765,0.37747807283497287,0.6225219271650272,0.4725487131846543,0.5274512868153457,0.3971640604457945,0.6028359395542053,0.40171635739298744,0.5982836426070125,0.9107365500973573,0.08926344990264264,0.46871683948713666,0.5312831605128633,0.4329096918094,0.5670903081906,0.4756163662578659,0.5243836337421341,0.41525409980647676,0.5847459001935232,0.43752276257707895,0.5624772374229211,0.6603633888385405,0.3396366111614595,0.5090092148787959,0.4909907851212041,0.4735147359823208,0.5264852640176793,0.4818846228140703,0.5181153771859297,0.4846908596213483,0.5153091403786517,0.4594961009433933,0.5405038990566067,0.7772322003818167,0.22276779961818324,0.490811842422048,0.509188157577952,0.4497623024787786,0.5502376975212214,0.4955851752505628,0.5044148247494372,0.45036033274220827,0.5496396672577918,0.46670325669327123,0.5332967433067287,0.21319399711699305,0.786806002883007,0.49910253967257195,0.5008974603274281,0.537158007275554,0.46284199272444604,0.5039542195034666,0.49604578049653336,0.4369047407248068,0.563095259275193,0.6067180101413486,0.39328198985865137,0.8011717657747912,0.19882823422520876,0.4850345564113865,0.5149654435886135,0.44477396635946886,0.5552260336405311,0.48536267139462147,0.5146373286053786,0.4659850082012757,0.5340149917987241,0.4733912352855184,0.5266087647144816
Morton County,38059003403,0.7375165253961521,0.2624834746038479,0.48412670353956666,0.5158732964604333,0.44588097500896123,0.5541190249910387,0.4664599201551308,0.533540079844869,0.4451609869246691,0.5548390130753309,0.4587799566131202,0.5412200433868798,0.8348340552512794,0.16516594474872057,0.5608799540123064,0.4391200459876936,0.371880741067269,0.628119258932731,0.4805814141845261,0.5194185858154737,0.3973481824398724,0.6026518175601275,0.3971668370619352,0.6028331629380648,0.7982267809762357,0.20177321902376427,0.4700631387489587,0.5299368612510413,0.42444976064388684,0.5755502393561132,0.4713572883670533,0.5286427116329465,0.4230792601494358,0.5769207398505641,0.4370254728987714,0.5629745271012285,0.5351673843052488,0.4648326156947512,0.5130748379322705,0.48692516206772957,0.47428635479850106,0.525713645201499,0.480897838411974,0.519102161588026,0.46506738480027354,0.5349326151997265,0.4547125636098935,0.5452874363901066,0.6344753913774572,0.36552460862254277,0.49271660048342564,0.5072833995165743,0.44492950679345933,0.5550704932065407,0.48984133507603583,0.5101586649239642,0.44748765514136063,0.5525123448586394,0.46161917572748234,0.5383808242725177,0.38324484440997175,0.6167551555900282,0.5108251436865286,0.4891748563134713,0.5335752783007154,0.4664247216992846,0.4946963627864578,0.5053036372135422,0.44484875915128524,0.5551512408487147,0.60981510807591,0.39018489192408995,0.6627292358673699,0.33727076413263013,0.48284012211752836,0.5171598778824716,0.44567301445534774,0.5543269855446522,0.490732438631083,0.5092675613689167,0.4578363729959571,0.5421636270040429,0.47041552800250624,0.5295844719974937
Morton County,38059003404,0.7811440248460007,0.2188559751539994,0.4836608134843937,0.5163391865156063,0.4486423596952653,0.5513576403047347,0.4636441475430594,0.5363558524569406,0.4496301883092388,0.5503698116907613,0.4585743797647019,0.541425620235298,0.9130235502330737,0.08697644976692628,0.561469678386472,0.438530321613528,0.37316899451978136,0.6268310054802186,0.4820524700686795,0.5179475299313205,0.40028870042439346,0.5997112995756065,0.39632752864865495,0.603672471351345,0.88658469943703,0.11341530056297006,0.46887329287542984,0.5311267071245701,0.41972469724265116,0.5802753027573488,0.4760643872362688,0.5239356127637312,0.4154860080380734,0.5845139919619265,0.4388204670499269,0.5611795329500732,0.6123510526354049,0.38764894736459515,0.5153274204116883,0.48467257958831167,0.4662229976544521,0.5337770023455479,0.4766259960534794,0.5233740039465207,0.4765641605597528,0.5234358394402472,0.454218474716228,0.545781525283772,0.7407718760385017,0.2592281239614983,0.49512474184566696,0.504875258154333,0.45291584537077834,0.5470841546292217,0.4927419350170096,0.5072580649829904,0.45408715798377164,0.5459128420162284,0.4706139861768531,0.5293860138231469,0.7772890305233354,0.22271096947666455,0.508449938626655,0.49155006137334495,0.5326019163865585,0.46739808361344154,0.4936029320674069,0.5063970679325931,0.4482123673914387,0.5517876326085612,0.6107062861903025,0.38929371380969746,0.7347383293271866,0.2652616706728134,0.4816552605878388,0.5183447394121612,0.4340465058423812,0.5659534941576189,0.488755870014201,0.511244129985799,0.46130859860056567,0.5386914013994343,0.47207175691017195,0.5279282430898281
Morton County,38059003405,0.7384882259797736,0.26151177402022646,0.47764509346433676,0.5223549065356632,0.4447417280602409,0.5552582719397591,0.4681643974460312,0.5318356025539688,0.44662128599142764,0.5533787140085723,0.4589605538613395,0.5410394461386605,0.8607288507874864,0.13927114921251357,0.5757273532049746,0.42427264679502547,0.3737311305965965,0.6262688694034034,0.47003245073684263,0.5299675492631574,0.39567792410414715,0.6043220758958529,0.40869499080001065,0.5913050091999894,0.8219466021010037,0.1780533978989963,0.47263158938712196,0.5273684106128781,0.4253831708142493,0.5746168291857507,0.4770247461071867,0.5229752538928133,0.4208965728628484,0.5791034271371516,0.43476817244601307,0.5652318275539869,0.563428114427058,0.436571885572942,0.5156527690375903,0.4843472309624097,0.4693971014180339,0.5306028985819661,0.484848193587602,0.515151806412398,0.4720944015782713,0.5279055984217287,0.45136219065861344,0.5486378093413866,0.7127904968753892,0.28720950312461074,0.49059144853830533,0.5094085514616946,0.45257300907024295,0.5474269909297571,0.4912107728432358,0.5087892271567642,0.45045619070237025,0.5495438092976297,0.4623089263442141,0.537691073655786,0.8548286163021902,0.1451713836978098,0.5073307204497316,0.4926692795502684,0.5290196392909733,0.47098036070902677,0.4964673687188755,0.5035326312811245,0.4522935830022049,0.5477064169977951,0.6047853379327954,0.3952146620672045,0.7102043088002437,0.28979569119975634,0.47408403951915856,0.5259159604808414,0.4410555445687091,0.5589444554312909,0.49226913440719916,0.5077308655928009,0.4654882870274691,0.534511712972531,0.46691346889486174,0.5330865311051383
Morton County,38059003406,0.7424525313699049,0.2575474686300952,0.4833839969768924,0.5166160030231076,0.4357541203676873,0.5642458796323128,0.47495063403663607,0.5250493659633639,0.45280002385528223,0.5471999761447178,0.45651156105417,0.54348843894583,0.8566312321004542,0.14336876789954578,0.6026620499064469,0.39733795009355305,0.37224010463207313,0.6277598953679269,0.4774185861841536,0.5225814138158464,0.40034416410706625,0.5996558358929337,0.402190846087533,0.597809153912467,0.8441016684230754,0.1558983315769246,0.46200293728758807,0.5379970627124119,0.4117054054098858,0.5882945945901141,0.4678252901775061,0.5321747098224939,0.42287723450579945,0.5771227654942006,0.43768131038466973,0.5623186896153303,0.5455642493470948,0.45443575065290526,0.5126579545570235,0.4873420454429766,0.4721416512079301,0.5278583487920698,0.4808040129178202,0.5191959870821798,0.47526264051414185,0.5247373594858581,0.4609846268017003,0.5390153731982997,0.6727044492991837,0.32729555070081623,0.4862773480265412,0.5137226519734588,0.4400267642831477,0.5599732357168523,0.49053810654096847,0.5094618934590315,0.4506631133707451,0.549336886629255,0.4635262288369831,0.5364737711630169,0.8133771498003524,0.18662285019964767,0.5053133341898453,0.4946866658101547,0.539239205646684,0.46076079435331596,0.4960231357856247,0.5039768642143753,0.4505474361462544,0.5494525638537456,0.6220990817955245,0.37790091820447547,0.7302508472890296,0.2697491527109704,0.47597835275904726,0.5240216472409527,0.4377241100791187,0.5622758899208813,0.48745672996946693,0.5125432700305331,0.46562767043409753,0.5343723295659024,0.47380718608791383,0.5261928139120862
Morton County,38059003407,0.8063719284811004,0.19362807151889955,0.47881469659749143,0.5211853034025086,0.4497772812124521,0.5502227187875479,0.4759526189806777,0.5240473810193222,0.4379977792580471,0.5620022207419529,0.46938853784189233,0.5306114621581076,0.89403007664996,0.10596992335003994,0.5702112105125033,0.4297887894874967,0.38555481830532984,0.6144451816946701,0.47821721005735784,0.5217827899426422,0.3985559536065388,0.6014440463934612,0.3966623589356703,0.6033376410643297,0.8353585594875336,0.16464144051246643,0.4762435652094802,0.5237564347905198,0.42954067279867864,0.5704593272013213,0.47921944831964175,0.5207805516803583,0.4215066213117001,0.5784933786883,0.4317405241416289,0.5682594758583711,0.6138840432100303,0.38611595678996963,0.5132401257658993,0.4867598742341007,0.46754344416030513,0.5324565558396949,0.479413212741845,0.520586787258155,0.47294589956305266,0.5270541004369473,0.45445543643457875,0.5455445635654212,0.6925201342294313,0.30747986577056874,0.4868213381707964,0.5131786618292036,0.45776341354169003,0.54223658645831,0.49483893703847737,0.5051610629615226,0.4463333899967765,0.5536666100032235,0.46125723186871714,0.5387427681312829,0.43850379193595856,0.5614962080640414,0.5096488870470666,0.4903511129529334,0.5355680094501867,0.46443199054981327,0.4977178374295935,0.5022821625704065,0.44433498542271593,0.5556650145772841,0.6118785562004015,0.3881214437995984,0.7272418391515659,0.2727581608484341,0.4828996996768933,0.5171003003231067,0.4407242272901589,0.5592757727098411,0.49292351179620947,0.5070764882037906,0.45846351747343084,0.5415364825265692,0.47772933893029085,0.5222706610697091
Morton County,38059003601,0.9361583197899012,0.0638416802100988,0.48953191444313054,0.5104680855568695,0.45273489144303797,0.5472651085569621,0.4702921236743832,0.5297078763256166,0.4549297361635141,0.5450702638364858,0.4726625833258122,0.5273374166741878,0.9643323463660286,0.035667653633971425,0.5673344524348568,0.43266554756514314,0.37268299954743284,0.6273170004525671,0.47908482110899436,0.5209151788910057,0.4101945660207791,0.5898054339792209,0.39505311920600833,0.6049468807939917,0.9549220030234721,0.04507799697652793,0.4797525515601757,0.5202474484398243,0.4325313977892822,0.5674686022107178,0.47692770405254536,0.5230722959474544,0.43436152563154506,0.5656384743684549,0.44076625454782953,0.5592337454521705,0.8015437822755491,0.1984562177244509,0.5180873771116475,0.4819126228883525,0.48316504533651977,0.5168349546634802,0.4784868088971428,0.521513191102857,0.4798872879115141,0.520112712088486,0.46792947768133786,0.5320705223186621,0.8459164777740759,0.15408352222592409,0.48769980829242116,0.5123001917075789,0.45277137040291926,0.5472286295970807,0.49317939454346993,0.5068206054565298,0.45565061546860763,0.5443493845313924,0.47186477791410014,0.5281352220858999,0.8922017175495276,0.10779828245047236,0.5110927556630216,0.48890724433697846,0.5269835787093409,0.47301642129065913,0.4946422972692165,0.5053577027307833,0.4614214984603268,0.5385785015396732,0.6119045078247264,0.38809549217527367,0.8807940214585994,0.11920597854140057,0.48191397793468316,0.5180860220653168,0.45459819639997234,0.5454018036000277,0.4940205915692279,0.5059794084307719,0.468833954481689,0.5311660455183109,0.4800059355273669,0.5199940644726331
Morton County,38059003602,0.9436015015375978,0.05639849846240206,0.48645643731435273,0.5135435626856473,0.4470374338059129,0.5529625661940871,0.4747755020977352,0.5252244979022648,0.45365263423863134,0.5463473657613687,0.4636317828121553,0.5363682171878448,0.989734152627212,0.010265847372787887,0.5863499187979535,0.41365008120204655,0.4175159142352822,0.5824840857647178,0.48036242266440077,0.5196375773355992,0.43240575828834427,0.5675942417116557,0.46974247878337605,0.530257521216624,0.9667953176277069,0.033204682372293015,0.47552935545488423,0.5244706445451158,0.43752070388139563,0.5624792961186044,0.4820566489411459,0.517943351058854,0.43213247951296124,0.5678675204870388,0.44353299947754055,0.5564670005224595,0.842186556022109,0.1578134439778909,0.5196932465284708,0.48030675347152924,0.48272948478378397,0.517270515216216,0.48807898403923156,0.5119210159607684,0.4850133671530038,0.5149866328469962,0.46466974205464495,0.535330257945355,0.9173829427076065,0.0826170572923934,0.48929552317436714,0.5107044768256328,0.4574081447287164,0.5425918552712836,0.4998658098875,0.5001341901124999,0.4578079128020863,0.5421920871979137,0.47689215027777726,0.5231078497222227,0.9311813990333508,0.06881860096664909,0.5050508937939935,0.4949491062060066,0.5426202891273267,0.4573797108726733,0.4892858824850469,0.5107141175149531,0.4535301545322586,0.5464698454677414,0.6121520969873632,0.38784790301263683,0.9005384589763954,0.09946154102360447,0.48282056456352257,0.5171794354364774,0.45331002433436046,0.5466899756656396,0.48745877409238747,0.5125412259076125,0.4601445627060012,0.5398554372939989,0.47465368513876033,0.5253463148612396
