county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_white.uss_16_dem_cor,vap_white.uss_16_rep_hec,vap_black.uss_16_dem_cor,vap_black.uss_16_rep_hec,vap_hisp.uss_16_dem_cor,vap_hisp.uss_16_rep_hec,vap_asian.uss_16_dem_cor,vap_asian.uss_16_rep_hec,vap_aian.uss_16_dem_cor,vap_aian.uss_16_rep_hec,vap_oth_b.uss_16_dem_cor,vap_oth_b.uss_16_rep_hec,vap_white.uss_18_dem_ros,vap_white.uss_18_rep_hel,vap_black.uss_18_dem_ros,vap_black.uss_18_rep_hel,vap_hisp.uss_18_dem_ros,vap_hisp.uss_18_rep_hel,vap_asian.uss_18_dem_ros,vap_asian.uss_18_rep_hel,vap_aian.uss_18_dem_ros,vap_aian.uss_18_rep_hel,vap_oth_b.uss_18_dem_ros,vap_oth_b.uss_18_rep_hel,vap_white.gov_18_dem_sis,vap_white.gov_18_rep_lax,vap_black.gov_18_dem_sis,vap_black.gov_18_rep_lax,vap_hisp.gov_18_dem_sis,vap_hisp.gov_18_rep_lax,vap_asian.gov_18_dem_sis,vap_asian.gov_18_rep_lax,vap_aian.gov_18_dem_sis,vap_aian.gov_18_rep_lax,vap_oth_b.gov_18_dem_sis,vap_oth_b.gov_18_rep_lax,vap_white.atg_18_dem_for,vap_white.atg_18_rep_dun,vap_black.atg_18_dem_for,vap_black.atg_18_rep_dun,vap_hisp.atg_18_dem_for,vap_hisp.atg_18_rep_dun,vap_asian.atg_18_dem_for,vap_asian.atg_18_rep_dun,vap_aian.atg_18_dem_for,vap_aian.atg_18_rep_dun,vap_oth_b.atg_18_dem_for,vap_oth_b.atg_18_rep_dun,vap_white.sos_18_dem_ara,vap_white.sos_18_rep_ceg,vap_black.sos_18_dem_ara,vap_black.sos_18_rep_ceg,vap_hisp.sos_18_dem_ara,vap_hisp.sos_18_rep_ceg,vap_asian.sos_18_dem_ara,vap_asian.sos_18_rep_ceg,vap_aian.sos_18_dem_ara,vap_aian.sos_18_rep_ceg,vap_oth_b.sos_18_dem_ara,vap_oth_b.sos_18_rep_ceg,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru
Carson City,32510000101,0.40860804192275924,0.5913919580772408,0.47473222580494595,0.525267774195054,0.6391417940426245,0.3608582059573755,0.5223497362417437,0.47765026375825625,0.48309390857970913,0.5169060914202909,0.5333228801709994,0.4666771198290006,0.4118795238141891,0.588120476185811,0.4961699582038409,0.5038300417961591,0.604002240526249,0.39599775947375104,0.5141793945846393,0.4858206054153606,0.48835425162962387,0.5116457483703761,0.5358789393716089,0.46412106062839104,0.43146371440295755,0.5685362855970424,0.48202009579315697,0.517979904206843,0.6601135937825989,0.33988640621740107,0.5081585923729491,0.4918414076270509,0.5385733887690827,0.4614266112309173,0.5355130652044962,0.46448693479550385,0.4555557468119052,0.5444442531880949,0.4867335738975614,0.5132664261024387,0.6078814511992154,0.3921185488007846,0.4937840790997326,0.5062159209002675,0.5260296458309545,0.47397035416904554,0.5180792492025407,0.48192075079745933,0.3995536003421162,0.6004463996578838,0.47553918661527245,0.5244608133847276,0.6844474314019321,0.3155525685980679,0.4962519732544293,0.5037480267455707,0.48952152204117616,0.5104784779588238,0.5452063761599134,0.4547936238400866,0.4089235338411259,0.5910764661588741,0.4608577112796168,0.5391422887203832,0.6177350451058279,0.38226495489417206,0.5363144793023813,0.4636855206976187,0.49883717199652167,0.5011628280034783,0.5523001555638317,0.4476998444361683,0.46723101414086127,0.5327689858591388,0.5034733941920821,0.4965266058079179,0.6017030709394324,0.3982969290605675,0.48183893848051934,0.5181610615194807,0.5281763744014099,0.4718236255985902,0.5045025781693923,0.49549742183060774
Carson City,32510000103,0.43445519098336893,0.5655448090166311,0.4716826941042318,0.5283173058957682,0.6230691441125749,0.3769308558874251,0.5276097440700879,0.47239025592991213,0.4797487659465672,0.5202512340534328,0.5317614300564945,0.4682385699435056,0.4178219533006372,0.5821780466993628,0.4979066804241286,0.5020933195758714,0.5936883366990362,0.4063116633009638,0.5183684347256708,0.48163156527432915,0.4894712439811255,0.5105287560188745,0.5316612159430467,0.46833878405695334,0.43747718674328756,0.5625228132567124,0.48057879203414666,0.5194212079658533,0.6317775920242376,0.3682224079757625,0.511573438150167,0.488426561849833,0.5411138705903146,0.4588861294096854,0.5227586963007205,0.4772413036992795,0.440257969465722,0.5597420305342781,0.487563196212995,0.5124368037870051,0.5943202633263552,0.4056797366736447,0.49877316540744165,0.5012268345925583,0.5215831834803932,0.4784168165196068,0.5168217934509708,0.48317820654902915,0.38209611480781935,0.6179038851921806,0.4648046883128402,0.5351953116871597,0.6591249772476464,0.34087502275235365,0.49858185411931616,0.5014181458806839,0.49250271014850333,0.5074972898514967,0.5352488336779699,0.4647511663220301,0.3827783192902307,0.6172216807097692,0.4592998639381541,0.540700136061846,0.607714308970587,0.3922856910294131,0.5356424285987629,0.46435757140123707,0.49444990675059153,0.5055500932494085,0.5401448518456438,0.45985514815435624,0.45760760358109476,0.5423923964189052,0.4998396484732838,0.5001603515267161,0.5899345386834483,0.41006546131655175,0.48161268825290904,0.518387311747091,0.5251745716012158,0.4748254283987841,0.5085331224185001,0.4914668775814999
Carson City,32510000105,0.3587185399733421,0.6412814600266579,0.46688823879128516,0.5331117612087148,0.6216184293687594,0.3783815706312406,0.521117250791931,0.478882749208069,0.47680046237409246,0.5231995376259075,0.5251022315536631,0.47489776844633697,0.3357444597398279,0.6642555402601721,0.49476634531443786,0.5052336546855621,0.5860819458754013,0.41391805412459853,0.5096753380308593,0.4903246619691407,0.4852284642149649,0.5147715357850351,0.5216017761878542,0.4783982238121458,0.3509327826377268,0.6490672173622731,0.4845280093730615,0.5154719906269385,0.6381890098513102,0.3618109901486898,0.5033449260964241,0.4966550739035759,0.5372389132211607,0.46276108677883937,0.5203685171407465,0.47963148285925344,0.3639948211776537,0.6360051788223463,0.485711434671057,0.5142885653289431,0.5873011529128843,0.41269884708711546,0.4899519785060792,0.5100480214939208,0.519532837439655,0.4804671625603451,0.5128916524196396,0.4871083475803604,0.296756388781098,0.703243611218902,0.4701015480459814,0.5298984519540185,0.6475081315177614,0.3524918684822386,0.493918810283265,0.506081189716735,0.48821442729040343,0.5117855727095966,0.531754722105557,0.4682452778944431,0.30343004717269983,0.6965699528273002,0.4561073872544106,0.5438926127455894,0.6035702846377919,0.39642971536220784,0.5315631152228503,0.4684368847771497,0.49527786676869856,0.5047221332313014,0.5352349257276552,0.46476507427234476,0.420318974102219,0.579681025897781,0.498258148026047,0.5017418519739529,0.5871176999286333,0.4128823000713665,0.48538222674153764,0.5146177732584624,0.5241574265996056,0.4758425734003943,0.5069220978142033,0.4930779021857967
Carson City,32510000107,0.35528703690196156,0.6447129630980384,0.46404986436876433,0.5359501356312357,0.6173912748932259,0.38260872510677413,0.5214788430001053,0.4785211569998947,0.4769786220781066,0.5230213779218934,0.5276530035052054,0.47234699649479467,0.3607600487021664,0.6392399512978336,0.4989836850108779,0.501016314989122,0.5888810744804021,0.411118925519598,0.5161070142849242,0.4838929857150758,0.4843534983712851,0.5156465016287148,0.525308594751469,0.47469140524853104,0.3554605803173454,0.6445394196826546,0.48321463771615913,0.5167853622838409,0.634636967264836,0.3653630327351641,0.4996751669880874,0.5003248330119126,0.5386139227548585,0.4613860772451415,0.5160510096077784,0.48394899039222156,0.3684269740517339,0.631573025948266,0.49198605993703715,0.5080139400629629,0.5877178910022559,0.4122821089977441,0.4921006313317288,0.5078993686682711,0.5158547211974945,0.4841452788025054,0.5139365408171301,0.48606345918286986,0.3255382758465539,0.6744617241534461,0.459620592759577,0.540379407240423,0.6557492162729979,0.3442507837270022,0.5006935514886186,0.49930644851138134,0.492970632992956,0.5070293670070439,0.540779655676563,0.45922034432343695,0.3314417811885274,0.6685582188114726,0.45788385054626474,0.5421161494537352,0.5967374389614349,0.4032625610385651,0.5271752328315648,0.47282476716843524,0.49437930174772626,0.5056206982522737,0.5340001780703083,0.4659998219296917,0.3969786551014762,0.6030213448985239,0.4974112389207562,0.5025887610792438,0.5869634127410948,0.4130365872589053,0.483184444442413,0.5168155555575871,0.5238444223256704,0.47615557767432964,0.4934966941395668,0.5065033058604332
Carson City,32510000109,0.37988804839908263,0.6201119516009174,0.4739330788651031,0.5260669211348968,0.6378764759112252,0.3621235240887748,0.5168868450247877,0.4831131549752122,0.46913042130382593,0.5308695786961741,0.5268475029470359,0.4731524970529642,0.36580165249607594,0.634198347503924,0.49969828820891316,0.5003017117910868,0.6203439570522035,0.3796560429477966,0.5210559458012466,0.4789440541987532,0.47867325325505655,0.5213267467449435,0.5291046672418697,0.47089533275813034,0.35721756758419315,0.6427824324158069,0.4838715005539651,0.5161284994460349,0.6381274890741837,0.36187251092581624,0.5024244571186949,0.4975755428813051,0.53873387352176,0.46126612647824,0.5212778512886294,0.4787221487113704,0.3786928717792697,0.6213071282207303,0.4884766838670112,0.5115233161329888,0.6033726315067605,0.39662736849323954,0.4863112080144889,0.5136887919855109,0.5264359686058883,0.4735640313941118,0.5123798279304874,0.48762017206951264,0.30644568640784053,0.6935543135921595,0.4659659857362069,0.534034014263793,0.6442276881946585,0.35577231180534147,0.4912517010945656,0.5087482989054342,0.49012762730683856,0.5098723726931614,0.5288923700764211,0.4711076299235789,0.31184527772544074,0.6881547222745592,0.45744381412807084,0.5425561858719291,0.6082383384629173,0.39176166153708275,0.5208002498970824,0.47919975010291754,0.493395689541662,0.506604310458338,0.5315046647141811,0.46849533528581894,0.41827380249742113,0.5817261975025789,0.4945495489165365,0.5054504510834635,0.5958326623863387,0.4041673376136613,0.481439271579686,0.5185607284203138,0.5150058815646975,0.4849941184353025,0.4960249354872571,0.5039750645127429
Carson City,32510000111,0.4315889395293657,0.5684110604706345,0.47776691608658245,0.5222330839134175,0.6601994290420349,0.3398005709579651,0.5329482417886474,0.46705175821135264,0.4723026856005277,0.5276973143994723,0.5354792977806986,0.4645207022193014,0.45566847407144395,0.5443315259285563,0.5010669000902259,0.49893309990977414,0.623006185021839,0.37699381497816103,0.5262731993262232,0.47372680067377676,0.48986702136132926,0.5101329786386707,0.5367349865119506,0.4632650134880494,0.46663735384913263,0.5333626461508676,0.4851334654611661,0.5148665345388339,0.67216924722591,0.32783075277409,0.5056609196924542,0.49433908030754586,0.5471803310680743,0.4528196689319257,0.5270551168422076,0.47294488315779243,0.47618740301408014,0.5238125969859201,0.49527324384486204,0.504726756155138,0.6389591045971236,0.3610408954028764,0.5052229460367866,0.49477705396321336,0.5191136742151613,0.48088632578483875,0.5112785132529961,0.48872148674700383,0.4034217245100326,0.5965782754899676,0.4711829101127578,0.5288170898872422,0.6979510994971053,0.3020489005028947,0.5002402122739468,0.4997597877260532,0.4942448773080462,0.5057551226919538,0.5385612898450868,0.4614387101549132,0.43502777664320813,0.5649722233567921,0.4638845651850049,0.5361154348149951,0.6503504563514141,0.3496495436485859,0.5448797413993403,0.45512025860065974,0.4918374309246507,0.5081625690753493,0.5446797394968719,0.45532026050312807,0.4392044261270882,0.560795573872912,0.49704772977989303,0.502952270220107,0.6229063109939448,0.3770936890060552,0.48599958078114247,0.5140004192188575,0.5255846142193336,0.47441538578066644,0.5050534457230628,0.4949465542769372
Carson City,32510000113,0.30301670681753184,0.6969832931824681,0.46709961207314654,0.5329003879268535,0.6057304827104742,0.39426951728952575,0.5164455818815741,0.4835544181184259,0.4704099792778407,0.5295900207221593,0.5202078057251817,0.4797921942748184,0.3210363739693267,0.6789636260306733,0.5000684727652872,0.49993152723471274,0.5834138728184287,0.41658612718157134,0.5197123892108103,0.4802876107891897,0.482738761625315,0.517261238374685,0.5212742175935964,0.4787257824064037,0.31662789777628164,0.6833721022237184,0.4810880127154412,0.5189119872845588,0.6291373919682619,0.3708626080317381,0.4972377758952789,0.502762224104721,0.5356039270263303,0.46439607297366975,0.512853851819131,0.48714614818086893,0.3273504974182,0.6726495025818,0.49229883212834696,0.507701167871653,0.587891489536493,0.4121085104635071,0.49318988350940096,0.506810116490599,0.5143949339731416,0.4856050660268584,0.5075247065694906,0.4924752934305094,0.2783778450461133,0.7216221549538867,0.46615699970745367,0.5338430002925464,0.6589129009548645,0.3410870990451355,0.4941295000380084,0.5058704999619916,0.4913269126623615,0.5086730873376385,0.5366344546484804,0.46336554535151964,0.3071103495201578,0.6928896504798422,0.46288391185608657,0.5371160881439134,0.6021266487987904,0.39787335120120965,0.5270218408000035,0.4729781591999966,0.49082170475022446,0.5091782952497755,0.5311126931021276,0.4688873068978724,0.3582187802034591,0.6417812197965409,0.500577532271014,0.499422467728986,0.5720786304035271,0.42792136959647287,0.47822019130080845,0.5217798086991915,0.5182907979584118,0.48170920204158824,0.491132441648684,0.5088675583513159
Carson City,32510000201,0.39394050188838403,0.606059498111616,0.4671256745744216,0.5328743254255784,0.6477988608665872,0.35220113913341283,0.5212092268652369,0.47879077313476315,0.4750390466273867,0.5249609533726133,0.5239519617055846,0.4760480382944153,0.3960419522819569,0.6039580477180431,0.4970665054878212,0.5029334945121787,0.6063353132648786,0.3936646867351215,0.5182556800190268,0.4817443199809732,0.48732212100294625,0.5126778789970537,0.5323190119124879,0.46768098808751213,0.43843952220508825,0.5615604777949117,0.4838644609550741,0.5161355390449259,0.6637404254741593,0.3362595745258407,0.5070586861974121,0.49294131380258793,0.5418100784418566,0.45818992155814336,0.5327152879804681,0.4672847120195319,0.43878519851708503,0.5612148014829149,0.4924361304771721,0.5075638695228278,0.6125353388923308,0.38746466110766914,0.5000066991491099,0.49999330085089017,0.5198621646685271,0.48013783533147286,0.5151421313640557,0.4848578686359443,0.3678957330536739,0.6321042669463262,0.4702110672412175,0.5297889327587825,0.6839785008949925,0.31602149910500754,0.4960904612708723,0.5039095387291277,0.4948764588657803,0.5051235411342198,0.5345654992993855,0.4654345007006143,0.4194198973870948,0.5805801026129053,0.45705336677026615,0.5429466332297339,0.645664108992749,0.35433589100725105,0.5332362511833043,0.4667637488166957,0.49974091830861633,0.5002590816913837,0.55027257591376455,0.44972742408623523,0.40137380076542223,0.5986261992345777,0.4998328488950246,0.5001671511049753,0.5990835986885875,0.40091640131141243,0.477665992553441,0.522334007446559,0.5203765114731836,0.4796234885268164,0.5050947200958656,0.4949052799041343
Carson City,32510000203,0.3902455773625501,0.6097544226374499,0.4693859312794661,0.5306140687205338,0.670006082062283,0.329993917937717,0.5194667273727305,0.4805332726272696,0.47520852895900306,0.5247914710409972,0.5253237855338581,0.474676214466142,0.4300427523538656,0.5699572476461344,0.4978489090594942,0.5021510909405058,0.6252172058156982,0.3747827941843018,0.5178851440150487,0.48211485598495124,0.48366703120772286,0.5163329687922773,0.5272178454237115,0.47278215457628847,0.40669325585257515,0.5933067441474248,0.48089573679156344,0.5191042632084366,0.6651750688526286,0.33482493114737144,0.5065368931693633,0.4934631068306367,0.5415176864215668,0.45848231357843344,0.5226829859553701,0.47731701404462995,0.44033545065750335,0.5596645493424967,0.4958881587181206,0.5041118412818794,0.6243895754299936,0.3756104245700063,0.49564718619713266,0.5043528138028673,0.5209437007819282,0.479056299218072,0.5150906467447821,0.48490935325521795,0.3464567871562228,0.6535432128437773,0.4696818861663969,0.53031811383360306,0.6886629385465215,0.31133706145347856,0.498429946088918,0.501570053911082,0.49465004118767986,0.5053499588123204,0.5330165887629992,0.4669834112370008,0.40387826259698617,0.5961217374030138,0.46069413732496334,0.5393058626750367,0.6627991098119905,0.33720089018800947,0.5306517642258554,0.46934823577414464,0.49065518130452446,0.5093448186954758,0.5448298687187578,0.4551701312812422,0.428124166340281,0.571875833659719,0.5032618178756726,0.49673818212432747,0.6201879932034916,0.37981200679650845,0.481351441355082,0.518648558644918,0.524067013634766,0.4759329863652342,0.4981364888677731,0.5018635111322269
Carson City,32510000205,0.3737286344770297,0.6262713655229702,0.4710937520413209,0.528906247958679,0.6528755465420117,0.34712445345798826,0.5215040728845979,0.4784959271154022,0.4769529086786526,0.5230470913213474,0.525207657412316,0.47479234258768405,0.3897016022035943,0.6102983977964057,0.4966608695839712,0.5033391304160287,0.5921324102186704,0.40786758978132964,0.5218182988726784,0.4781817011273216,0.4857955201107407,0.5142044798892593,0.5406558167032912,0.45934418329670873,0.3867110318520959,0.6132889681479041,0.47772244239411527,0.5222775576058848,0.6819520610191679,0.31804793898083206,0.5022914388509137,0.4977085611490864,0.5375606916894294,0.46243930831057056,0.5191416533704518,0.48085834662954824,0.4081240668234728,0.5918759331765272,0.4890481929135863,0.5109518070864136,0.598848479506751,0.401151520493249,0.49081894663669,0.50918105336331,0.5181594251878608,0.48184057481213916,0.502921694796543,0.4970783052034569,0.3144288201634561,0.6855711798365439,0.46819000586184045,0.5318099941381595,0.671545918390647,0.3284540816093529,0.49661908351185396,0.5033809164881461,0.49450343177608286,0.5054965682239172,0.5351164219172373,0.4648835780827627,0.35039502281708906,0.6496049771829109,0.4649631310823476,0.5350368689176525,0.6312324465996456,0.3687675534003544,0.535791501896971,0.464208498103029,0.4880221138417413,0.5119778861582587,0.5437966399125715,0.45620336008742846,0.402028796089339,0.5979712039106609,0.4939034580593561,0.5060965419406439,0.6265669552931926,0.37343304470680744,0.47807091734814255,0.5219290826518574,0.5244161012684009,0.47558389873159906,0.4998494056221267,0.5001505943778733
