county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.uss_16_rep_sze,vap_white.uss_16_dem_van,vap_black.uss_16_rep_sze,vap_black.uss_16_dem_van,vap_hisp.uss_16_rep_sze,vap_hisp.uss_16_dem_van,vap_asian.uss_16_rep_sze,vap_asian.uss_16_dem_van,vap_aian.uss_16_rep_sze,vap_aian.uss_16_dem_van,vap_oth_b.uss_16_rep_sze,vap_oth_b.uss_16_dem_van,vap_white.uss_18_rep_cam,vap_white.uss_18_dem_car,vap_black.uss_18_rep_cam,vap_black.uss_18_dem_car,vap_hisp.uss_18_rep_cam,vap_hisp.uss_18_dem_car,vap_asian.uss_18_rep_cam,vap_asian.uss_18_dem_car,vap_aian.uss_18_rep_cam,vap_aian.uss_18_dem_car,vap_oth_b.uss_18_rep_cam,vap_oth_b.uss_18_dem_car,vap_white.gov_18_rep_hog,vap_white.gov_18_dem_jea,vap_black.gov_18_rep_hog,vap_black.gov_18_dem_jea,vap_hisp.gov_18_rep_hog,vap_hisp.gov_18_dem_jea,vap_asian.gov_18_rep_hog,vap_asian.gov_18_dem_jea,vap_aian.gov_18_rep_hog,vap_aian.gov_18_dem_jea,vap_oth_b.gov_18_rep_hog,vap_oth_b.gov_18_dem_jea,vap_white.atg_18_rep_wol,vap_white.atg_18_dem_fro,vap_black.atg_18_rep_wol,vap_black.atg_18_dem_fro,vap_hisp.atg_18_rep_wol,vap_hisp.atg_18_dem_fro,vap_asian.atg_18_rep_wol,vap_asian.atg_18_dem_fro,vap_aian.atg_18_rep_wol,vap_aian.atg_18_dem_fro,vap_oth_b.atg_18_rep_wol,vap_oth_b.atg_18_dem_fro,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru
Allegany County,2400101-000,0.8847294434326353,0.11527055656736472,0.5431586877185995,0.45684131228140046,0.4814442754362186,0.5185557245637814,0.45184584779991355,0.5481541522000865,0.47986242082045355,0.5201375791795465,0.4412884453349796,0.5587115546650204,0.824112044142595,0.17588795585740508,0.4996162499066681,0.5003837500933319,0.49251326158732633,0.5074867384126737,0.48853572591427685,0.5114642740857231,0.5098352614706921,0.4901647385293079,0.47583856063330504,0.5241614393666949,0.8080653307210327,0.19193466927896732,0.5261088445280139,0.47389115547198607,0.49866620218333885,0.5013337978166611,0.47179440945762446,0.5282055905423755,0.48404820265207626,0.5159517973479237,0.4506588159148215,0.5493411840851785,0.9301866903619463,0.06981330963805363,0.5893417841415307,0.41065821585846934,0.4950279092251665,0.5049720907748335,0.44727429770408494,0.552725702295915,0.463229167560849,0.536770832439151,0.3718120748744262,0.6281879251255738,0.8383430049177875,0.16165699508221254,0.5337584687367352,0.4662415312632649,0.5088146232184684,0.4911853767815317,0.46440792532787184,0.5355920746721281,0.47966074174163964,0.5203392582583604,0.4338542532638934,0.5661457467361066,0.13920536484156693,0.8607946351584331,0.4382919353645563,0.5617080646354438,0.5296146176692682,0.47038538233073185,0.56430268712754,0.4356973128724601,0.4895937622362953,0.5104062377637048,0.5684753632184817,0.43152463678151837
Allegany County,2400102-000,0.8682231774018686,0.13177682259813134,0.5437505619931661,0.4562494380068339,0.48391649024780586,0.5160835097521942,0.4499816019214631,0.5500183980785369,0.4719300869559031,0.5280699130440969,0.44380918894883536,0.5561908110511646,0.7836397753045128,0.2163602246954872,0.505840049710161,0.49415995028983895,0.4951392472540106,0.5048607527459894,0.48812694713912674,0.5118730528608733,0.5198909642008634,0.48010903579913655,0.4720580448933545,0.5279419551066455,0.7522002075284814,0.24779979247151862,0.5326882031131617,0.4673117968868384,0.49201688762910517,0.5079831123708949,0.46999019303620787,0.5300098069637921,0.4832350346257454,0.5167649653742545,0.4525333968458592,0.5474666031541408,0.9331660721153431,0.06683392788465689,0.5935157565892961,0.4064842434107038,0.49343081228471647,0.5065691877152835,0.44337382266265546,0.5566261773373445,0.46216574669890287,0.5378342533010971,0.37574219470670683,0.6242578052932931,0.8296787768405679,0.17032122315943207,0.5437807505976113,0.45621924940238867,0.5128961170220748,0.4871038829779252,0.4665625347058802,0.5334374652941197,0.4856114739482368,0.5143885260517632,0.41949038978780934,0.5805096102121907,0.14500530755190355,0.8549946924480964,0.43484327449590854,0.5651567255040915,0.5280784511718285,0.4719215488281715,0.5701217487154084,0.42987825128459156,0.48532750001324476,0.5146724999867552,0.5754938314890525,0.4245061685109475
Allegany County,2400103-000,0.8603093432638335,0.1396906567361666,0.543647859996383,0.45635214000361707,0.4777576936657862,0.5222423063342136,0.453500868425307,0.546499131574693,0.48319470892103455,0.5168052910789654,0.44518856892062664,0.5548114310793734,0.7966209646681406,0.2033790353318594,0.505040606621636,0.49495939337836403,0.49517202639529,0.5048279736047098,0.4954955352329687,0.5045044647670314,0.512923723536964,0.48707627646303603,0.4683803790832159,0.5316196209167842,0.821806844690619,0.17819315530938096,0.5322776484545606,0.4677223515454394,0.49555991433504426,0.5044400856649556,0.47388151927097916,0.5261184807290208,0.48314689053806503,0.516853109461935,0.45364626648931805,0.546353733510682,0.9559152616801584,0.044084738319841624,0.5869443561522573,0.41305564384774274,0.5000204318320827,0.4999795681679173,0.44217965260073616,0.5578203473992639,0.46624230553536267,0.5337576944646374,0.37978563845599533,0.6202143615440047,0.8657651933069207,0.1342348066930793,0.5401035653084583,0.4598964346915418,0.5089392146688182,0.4910607853311815,0.4658641656206293,0.5341358343793706,0.48190278226452044,0.5180972177354796,0.4368284270801132,0.5631715729198867,0.1331460020504831,0.8668539979495169,0.43734904296667787,0.5626509570333221,0.5309381578324537,0.4690618421675461,0.5628581300259898,0.4371418699740102,0.49053877927964445,0.5094612207203556,0.5726620867081946,0.42733791329180537
Allegany County,2400104-002,0.6377946386891861,0.362205361310814,0.523432809910802,0.47656719008919807,0.4807844073138711,0.5192155926861289,0.4468991783507545,0.5531008216492455,0.47551726708205583,0.5244827329179441,0.43644680032768624,0.5635531996723138,0.49720377598226057,0.5027962240177394,0.4829320438134923,0.5170679561865077,0.4896842815806725,0.5103157184193275,0.4844505078825093,0.5155494921174907,0.5133101107109049,0.4866898892890951,0.4472541672002153,0.5527458327997847,0.5444089963872452,0.4555910036127548,0.5190135387348431,0.48098646126515693,0.4964547777536515,0.5035452222463485,0.4693642325823449,0.5306357674176552,0.48286843821657294,0.517131561783427,0.43319599385811414,0.5668040061418859,0.7934423758233599,0.20655762417664014,0.5629000914614504,0.4370999085385496,0.49034272719341643,0.5096572728065836,0.4498272005079298,0.5501727994920702,0.4563820502367454,0.5436179497632546,0.35717694787902654,0.6428230521209735,0.6133987942371586,0.38660120576284135,0.5237178820237599,0.47628211797624004,0.51040237174857,0.48959762825143005,0.46720897559965474,0.5327910244003453,0.4815707426289676,0.5184292573710324,0.4066451645837511,0.5933548354162489,0.36471239686689827,0.6352876031331017,0.44642186154802704,0.553578138451973,0.5362298573248645,0.46377014267513544,0.5632519543411955,0.43674804565880454,0.49388167424329554,0.5061183257567045,0.5925003083281594,0.40749969167184064
Allegany County,2400104-003,0.6630141471941234,0.3369858528058765,0.5353720188913071,0.4646279811086929,0.479593066122368,0.5204069338776319,0.4572000450459741,0.5427999549540257,0.47561186047436405,0.5243881395256359,0.42337621315209484,0.5766237868479052,0.5158043457065083,0.4841956542934916,0.4885274789390345,0.5114725210609655,0.4885012794386088,0.5114987205613911,0.4878053991537528,0.512194600846247,0.5139683511107844,0.4860316488892155,0.4545141705605238,0.545485829439476,0.5213746507895953,0.47862534921040467,0.5156371516067269,0.4843628483932731,0.49396191542128853,0.5060380845787115,0.4691407362919688,0.530859263708031,0.48565146363465145,0.5143485363653485,0.430439783896888,0.5695602161031118,0.8135032117182566,0.18649678828174346,0.5691218350169018,0.4308781649830982,0.4909396340867352,0.5090603659132648,0.44454632025308993,0.5554536797469098,0.46742406692315625,0.5325759330768438,0.3593745473673339,0.6406254526326661,0.5751352142894777,0.4248647857105224,0.5213463851682985,0.4786536148317015,0.5021076299569496,0.49789237004305037,0.4632208032395876,0.5367791967604122,0.4794841197942928,0.5205158802057073,0.4078177307695791,0.5921822692304206,0.36587264463642327,0.6341273553635768,0.4525447474546616,0.5474552525453384,0.5315421794826513,0.4684578205173488,0.5605657844026463,0.4394342155973536,0.48466851090729396,0.5153314890927061,0.5874992505342915,0.4125007494657083
Allegany County,2400104-004,0.7161605041672923,0.28383949583270796,0.5327251148050173,0.4672748851949827,0.48436188592095664,0.5156381140790434,0.45827922226346185,0.5417207777365382,0.4710865529429969,0.528913447057003,0.4367745553463135,0.5632254446536865,0.5875775951664813,0.41242240483351894,0.4922320664606339,0.5077679335393661,0.48937474982675655,0.5106252501732435,0.48273732092248867,0.5172626790775113,0.5168160932849282,0.48318390671507183,0.4630391518335296,0.5369608481664704,0.5304768528169942,0.46952314718300603,0.5232758657746197,0.4767241342253803,0.4914570236399763,0.5085429763600237,0.46736210091455405,0.532637899085446,0.48700061346537304,0.512999386534627,0.44160767938819995,0.5583923206118,0.8411803785305807,0.15881962146941955,0.5755947687111735,0.4244052312888264,0.48558956441163414,0.5144104355883659,0.44388975245361667,0.5561102475463834,0.47052419866543016,0.5294758013345698,0.3625583047867462,0.6374416952132538,0.6520493000101524,0.3479506999898479,0.5298539638417258,0.4701460361582742,0.5067435670003322,0.4932564329996678,0.4680850170046666,0.5319149829953334,0.47815248630299884,0.5218475136970012,0.4122843985000225,0.5877156014999775,0.3857275937625,0.6142724062375002,0.4455643090989811,0.554435690901019,0.5343547418897241,0.4656452581102759,0.5588059858208696,0.44119401417913046,0.49019948023767823,0.5098005197623218,0.5825945864943274,0.41740541350567256
Allegany County,2400104-005,0.6938387303191366,0.3061612696808634,0.534341089299428,0.46565891070057197,0.4839958537439436,0.5160041462560564,0.45511749102209925,0.5448825089779008,0.478004503669907,0.521995496330093,0.428604023201074,0.571395976798926,0.5699483376759947,0.4300516623240052,0.4927981461318337,0.5072018538681663,0.4914246956881938,0.5085753043118062,0.49334538010329965,0.5066546198967004,0.5129594418514544,0.4870405581485457,0.45600830490907485,0.5439916950909252,0.6042635487002386,0.3957364512997614,0.525466569247411,0.474533430752589,0.4965728695599378,0.5034271304400622,0.46655575221531864,0.5334442477846814,0.4860900856504567,0.5139099143495433,0.43652945568854584,0.5634705443114542,0.8675715823100041,0.13242841768999591,0.5818717905836723,0.41812820941632767,0.4892265793935063,0.5107734206064938,0.4381163662873201,0.5618836337126799,0.467230857452184,0.5327691425478159,0.3590870266983102,0.6409129733016897,0.6494741667361003,0.3505258332638998,0.5382624390993753,0.46173756090062473,0.5062871000315203,0.4937128999684796,0.4677583065205111,0.5322416934794889,0.49203012540471947,0.5079698745952805,0.41518861838317067,0.5848113816168293,0.30497229626949046,0.6950277037305095,0.44191592859983336,0.5580840714001666,0.5228659418539742,0.47713405814602583,0.5689312748518064,0.4310687251481936,0.49305416340786523,0.5069458365921348,0.5882560148329206,0.41174398516707944
Allegany County,2400104-008,0.7138854824684999,0.2861145175315001,0.5364769041010797,0.46352309589892027,0.4840948000687574,0.5159051999312426,0.4521239483002692,0.5478760516997307,0.4765408917703205,0.5234591082296794,0.4327205570594096,0.5672794429405902,0.565077303766057,0.434922696233943,0.4944341219235611,0.5055658780764389,0.4885566611352169,0.5114433388647831,0.49231349147322634,0.5076865085267737,0.5241321939998504,0.4758678060001496,0.45788171727202864,0.5421182827279714,0.5354227029551741,0.46457729704482587,0.5226156924754348,0.4773843075245652,0.4958465244025854,0.5041534755974146,0.4724871643210979,0.5275128356789022,0.4805338663147458,0.5194661336852542,0.43188861242202325,0.5681113875779765,0.8550531662980558,0.14494683370194417,0.5792491153717684,0.4207508846282317,0.4928634157113754,0.5071365842886246,0.4436009098736849,0.556399090126315,0.4667415309739325,0.5332584690260674,0.3643315727717517,0.6356684272282482,0.6233723514470119,0.3766276485529882,0.5303807161540266,0.4696192838459734,0.5064480181518823,0.49355198184811766,0.46506993857357,0.5349300614264301,0.48051162136575926,0.5194883786342407,0.41181214993389237,0.5881878500661074,0.3296772252209586,0.6703227747790413,0.43871854112342257,0.5612814588765774,0.5365947165797582,0.4634052834202418,0.5636414171097036,0.4363585828902964,0.48230602000045436,0.5176939799995456,0.5824443699021237,0.41755563009787605
Allegany County,2400105-004,0.6796109785858022,0.3203890214141978,0.526512246833112,0.47348775316688796,0.4791054959412056,0.5208945040587944,0.45187326842082004,0.54812673157918,0.47377395359054225,0.526226046409458,0.43035268324466974,0.5696473167553303,0.575341343984377,0.4246586560156231,0.49073778716438465,0.5092622128356153,0.48551672890663494,0.5144832710933651,0.49058534947306226,0.5094146505269378,0.5148616191009111,0.4851383808990891,0.4537951854371279,0.5462048145628722,0.49189042340950123,0.5081095765904988,0.5238022467704787,0.47619775322952124,0.48861670366157356,0.5113832963384264,0.47108076735359494,0.5289192326464051,0.48354194293940955,0.5164580570605907,0.4311222594610867,0.5688777405389133,0.7687766582391778,0.2312233417608221,0.5719108486514327,0.42808915134856723,0.48596647252803193,0.5140335274719681,0.43977959430718583,0.5602204056928142,0.4641833831164536,0.5358166168835466,0.36067929850364416,0.6393207014963559,0.5859500901950782,0.41404990980492185,0.52071876098701,0.47928123901298997,0.5055094184336116,0.49449058156638837,0.46859953072487015,0.5314004692751298,0.4820109282698041,0.5179890717301961,0.41524353117271556,0.5847564688272845,0.38170319806819925,0.6182968019318008,0.4529152004685272,0.5470847995314728,0.5348211537215283,0.4651788462784717,0.5712095053002181,0.42879049469978187,0.49407250007237385,0.5059274999276263,0.5921922952864964,0.4078077047135035
Allegany County,2400105-006,0.8265449297117047,0.17345507028829535,0.5413975291194109,0.4586024708805891,0.47905927144381644,0.5209407285561836,0.45600725492264077,0.5439927450773593,0.4711067397142753,0.5288932602857247,0.4397405947094324,0.5602594052905676,0.6608026106704157,0.3391973893295844,0.501357564316847,0.49864243568315303,0.4958150165498358,0.5041849834501642,0.48735707403352163,0.5126429259664783,0.5115170482019621,0.48848295179803786,0.46172416863420407,0.5382758313657959,0.6588836522031929,0.3411163477968071,0.5264611091354607,0.4735388908645392,0.4951822918611982,0.5048177081388018,0.4799167189562268,0.5200832810437732,0.485011401409209,0.5149885985907909,0.44126314177083686,0.5587368582291632,0.8448759484036931,0.15512405159630688,0.5820049626918462,0.41799503730815385,0.4954906617271752,0.5045093382728247,0.4442476284441019,0.5557523715558981,0.4670603583360261,0.5329396416639739,0.3661835136475894,0.6338164863524106,0.7157090111723581,0.28429098882764187,0.5329665666613607,0.4670334333386393,0.5028354558898406,0.4971645441101594,0.4658796953563942,0.5341203046436058,0.484362262891634,0.515637737108366,0.42749967758004087,0.5725003224199591,0.1842084570742311,0.8157915429257688,0.4350722000283719,0.5649277999716281,0.5323936625889275,0.46760633741107244,0.5595795145342043,0.4404204854657957,0.4873574935384963,0.5126425064615037,0.5741556845134363,0.4258443154865636
