state,county,race,cand,mean,sd,ci_95_lower,ci_95_upper
AK,Aleutians East Borough,vap_white,pre_16_rep_tru,0.7858158437231454,0.11240046359819238,0.5531405761583721,0.9740335338172154
AK,Aleutians East Borough,vap_white,pre_16_dem_cli,0.21418415627685464,0.11240046359819238,0.02596646618278424,0.44685942384162813
AK,Aleutians East Borough,vap_black,pre_16_rep_tru,0.4213993427554183,0.21452104168663153,0.07064363366309066,0.8767685297956017
AK,Aleutians East Borough,vap_black,pre_16_dem_cli,0.578600657244582,0.21452104168663153,0.12323147020439806,0.9293563663369092
AK,Aleutians East Borough,vap_hisp,pre_16_rep_tru,0.3181748964709735,0.1410006349603319,0.07849600448865209,0.6177449593613502
AK,Aleutians East Borough,vap_hisp,pre_16_dem_cli,0.6818251035290266,0.1410006349603319,0.3822550406386498,0.9215039955113478
AK,Aleutians East Borough,vap_oth,pre_16_rep_tru,0.6863204741033228,0.062286082021219893,0.5711520712018501,0.8106516935062904
AK,Aleutians East Borough,vap_oth,pre_16_dem_cli,0.3136795258966773,0.062286082021219893,0.18934830649370976,0.4288479287981501
AK,Aleutians East Borough,vap_white,uss_16_rep_mur,0.8004714948541354,0.10471103904130533,0.5729125077916392,0.9670020239765708
AK,Aleutians East Borough,vap_white,uss_16_dem_met,0.19952850514586476,0.10471103904130534,0.03299797602342904,0.4270874922083608
AK,Aleutians East Borough,vap_black,uss_16_rep_mur,0.5035454494479307,0.2314782313796565,0.07880866271276084,0.9202579356673624
AK,Aleutians East Borough,vap_black,uss_16_dem_met,0.4964545505520691,0.2314782313796565,0.07974206433263735,0.921191337287239
AK,Aleutians East Borough,vap_hisp,uss_16_rep_mur,0.5766989154099947,0.1788968760721834,0.2216891460593389,0.9102743470389856
AK,Aleutians East Borough,vap_hisp,uss_16_dem_met,0.4233010845900056,0.1788968760721834,0.08972565296101465,0.778310853940661
AK,Aleutians East Borough,vap_oth,uss_16_rep_mur,0.8934050627131311,0.05854832088636694,0.7653227703494507,0.984223668946847
AK,Aleutians East Borough,vap_oth,uss_16_dem_met,0.10659493728686896,0.05854832088636694,0.01577633105315285,0.2346772296505493
AK,Aleutians East Borough,vap_white,gov_18_rep_dun,0.49300774269286257,0.18909309875662064,0.13239558516909905,0.8533699731780394
AK,Aleutians East Borough,vap_white,gov_18_dem_beg,0.5069922573071376,0.18909309875662064,0.14663002682196055,0.8676044148309011
AK,Aleutians East Borough,vap_black,gov_18_rep_dun,0.4882429219862763,0.23143864471945252,0.07910455991254604,0.9224061221115624
