county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.uss_18_rep_cru,vap_white.uss_18_dem_oro,vap_black.uss_18_rep_cru,vap_black.uss_18_dem_oro,vap_hisp.uss_18_rep_cru,vap_hisp.uss_18_dem_oro,vap_asian.uss_18_rep_cru,vap_asian.uss_18_dem_oro,vap_aian.uss_18_rep_cru,vap_aian.uss_18_dem_oro,vap_oth_b.uss_18_rep_cru,vap_oth_b.uss_18_dem_oro,vap_white.gov_18_rep_abb,vap_white.gov_18_dem_val,vap_black.gov_18_rep_abb,vap_black.gov_18_dem_val,vap_hisp.gov_18_rep_abb,vap_hisp.gov_18_dem_val,vap_asian.gov_18_rep_abb,vap_asian.gov_18_dem_val,vap_aian.gov_18_rep_abb,vap_aian.gov_18_dem_val,vap_oth_b.gov_18_rep_abb,vap_oth_b.gov_18_dem_val,vap_white.atg_18_rep_pax,vap_white.atg_18_dem_nel,vap_black.atg_18_rep_pax,vap_black.atg_18_dem_nel,vap_hisp.atg_18_rep_pax,vap_hisp.atg_18_dem_nel,vap_asian.atg_18_rep_pax,vap_asian.atg_18_dem_nel,vap_aian.atg_18_rep_pax,vap_aian.atg_18_dem_nel,vap_oth_b.atg_18_rep_pax,vap_oth_b.atg_18_dem_nel,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_white.uss_20_rep_cor,vap_white.uss_20_dem_heg,vap_black.uss_20_rep_cor,vap_black.uss_20_dem_heg,vap_hisp.uss_20_rep_cor,vap_hisp.uss_20_dem_heg,vap_asian.uss_20_rep_cor,vap_asian.uss_20_dem_heg,vap_aian.uss_20_rep_cor,vap_aian.uss_20_dem_heg,vap_oth_b.uss_20_rep_cor,vap_oth_b.uss_20_dem_heg,vap_white.pre_24_dem_har,vap_white.pre_24_rep_tru,vap_black.pre_24_dem_har,vap_black.pre_24_rep_tru,vap_hisp.pre_24_dem_har,vap_hisp.pre_24_rep_tru,vap_asian.pre_24_dem_har,vap_asian.pre_24_rep_tru,vap_aian.pre_24_dem_har,vap_aian.pre_24_rep_tru,vap_oth_b.pre_24_dem_har,vap_oth_b.pre_24_rep_tru
Anderson County,48001000001,0.9610224114121466,0.03897758858785345,0.47307944836362553,0.5269205516363744,0.4420481515272855,0.5579518484727145,0.4979547783756965,0.5020452216243034,0.49011527701202223,0.5098847229879778,0.4422705212512894,0.5577294787487106,0.9450775535121128,0.05492244648788712,0.4264479627071445,0.5735520372928554,0.42996149922969495,0.570038500770305,0.48404415374703413,0.5159558462529659,0.5002636178939294,0.4997363821060706,0.4381935159813548,0.5618064840186452,0.9593050611092414,0.0406949388907586,0.5205041966263917,0.4794958033736083,0.545939550151148,0.4540604498488519,0.4678993356171152,0.5321006643828848,0.47519774653851565,0.5248022534614843,0.474201589699713,0.5257984103002871,0.9399066117125432,0.06009338828745671,0.4414687841752509,0.5585312158247492,0.41456314081137,0.58543685918863,0.496825755331569,0.503174244668431,0.48231888448140464,0.5176811155185953,0.4244758439087463,0.5755241560912537,0.9531673588460076,0.04683264115399235,0.3106863254427711,0.6893136745572289,0.44703127253116054,0.5529687274688395,0.4861517127052686,0.5138482872947314,0.49780688199920026,0.5021931180007997,0.4403843420078266,0.5596156579921734,0.9736413807041484,0.02635861929585168,0.31056186366432004,0.68943813633568,0.4527967141178276,0.5472032858821724,0.4862425922306083,0.5137574077693917,0.4947798576316463,0.5052201423683538,0.4193500415372019,0.5806499584627981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson County,48001000002,0.973299316720054,0.02670068327994593,0.3178423390439365,0.6821576609560636,0.32394630194053464,0.6760536980594654,0.4932759017137726,0.5067240982862273,0.48475689300938224,0.5152431069906178,0.41026690473612143,0.5897330952638785,0.9552445890827672,0.04475541091723294,0.3340604723979565,0.6659395276020434,0.318961927844843,0.681038072155157,0.47868762989545455,0.5213123701045455,0.48408337389381706,0.5159166261061829,0.39984370454327706,0.600156295456723,0.9743802352404136,0.02561976475958643,0.3649830702897008,0.6350169297102992,0.4304404938438654,0.5695595061561346,0.47026509267322447,0.5297349073267755,0.4692615621290638,0.5307384378709362,0.45073432672382263,0.5492656732761774,0.9624609136228828,0.03753908637711714,0.32193011937367766,0.6780698806263223,0.30907409531631624,0.6909259046836838,0.48933807387458866,0.5106619261254113,0.4816090536299951,0.5183909463700049,0.39618444789743856,0.6038155521025614,0.9790322841728508,0.02096771582714902,0.2863464618932394,0.7136535381067606,0.33378615638966846,0.6662138436103315,0.47918094407665474,0.5208190559233452,0.4902245920592185,0.5097754079407816,0.4037850177386394,0.5962149822613606,0.983993068989036,0.01600693101096394,0.2574816251824897,0.7425183748175103,0.3206640639647352,0.6793359360352649,0.4803489492485216,0.5196510507514784,0.4787786925885257,0.5212213074114743,0.38650607082585353,0.6134939291741465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson County,48001000003,0.982802181422834,0.01719781857716598,0.44454463760948504,0.555455362390515,0.46406042931836194,0.535939570681638,0.5055248201289073,0.4944751798710927,0.4892589638930397,0.5107410361069603,0.44996739987265266,0.5500326001273473,0.9716526740222142,0.02834732597778577,0.41227719334326435,0.5877228066567356,0.3650756770598308,0.6349243229401692,0.4789466283693173,0.5210533716306828,0.4982735402302279,0.501726459769772,0.42751796033192657,0.5724820396680734,0.981779643947245,0.018220356052755,0.4399886449915676,0.5600113550084324,0.5323381000159267,0.4676618999840733,0.4633553248978701,0.5366446751021299,0.4770797097073731,0.5229202902926269,0.477510309966401,0.522489690033599,0.9670382787635948,0.03296172123640506,0.3636888581029639,0.6363111418970361,0.32919174056503553,0.6708082594349642,0.497064135308686,0.502935864691314,0.4753011199012667,0.5246988800987332,0.4167255256896986,0.5832744743103013,0.9831204904794484,0.01687950952055159,0.35705609870496186,0.6429439012950382,0.4051476768464294,0.5948523231535706,0.4890591567124556,0.5109408432875444,0.5021998019664747,0.49780019803352527,0.4357231123953016,0.5642768876046984,0.987470352493846,0.01252964750615399,0.3527524356544136,0.6472475643455864,0.37262882853619633,0.6273711714638034,0.48169708658427607,0.5183029134157239,0.4921647476535501,0.5078352523464499,0.4128416989522467,0.5871583010477532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson County,48001000004,0.974613030916594,0.0253869690834059,0.33281292411842045,0.6671870758815795,0.341075222749239,0.658924777250761,0.4981200553245904,0.5018799446754096,0.4780379323820874,0.5219620676179126,0.3851809172461011,0.6148190827538988,0.9575904586511516,0.04240954134884836,0.3571483098955932,0.6428516901044068,0.33220890181267415,0.6677910981873258,0.4811624029332458,0.5188375970667541,0.4863906740114786,0.5136093259885214,0.392480830735187,0.607519169264813,0.9776669790810436,0.02233302091895642,0.366120603371316,0.633879396628684,0.4182126951752263,0.5817873048247737,0.4638781967296875,0.5361218032703124,0.4552170194274153,0.5447829805725847,0.43382622175144225,0.5661737782485577,0.945472040929514,0.05452795907048616,0.3617236534302473,0.6382763465697526,0.3292008402485049,0.6707991597514952,0.4913768375762981,0.5086231624237019,0.48094351253034445,0.5190564874696555,0.39260826250435976,0.6073917374956402,0.9737598172119332,0.02624018278806679,0.29997047667994925,0.7000295233200508,0.3424548838470861,0.6575451161529139,0.48468530306856594,0.5153146969314341,0.48314317346322055,0.5168568265367794,0.37288904825835983,0.6271109517416402,0.9824082644388076,0.01759173556119255,0.2769369080608656,0.7230630919391343,0.30153633312672096,0.6984636668732791,0.48012112743428287,0.5198788725657172,0.4679742844211297,0.5320257155788702,0.3378560627715982,0.6621439372284018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson County,48001000005,0.9945831407641588,0.00541685923584133,0.5042880084286477,0.49571199157135226,0.6640610138614949,0.3359389861385052,0.5091040396332105,0.4908959603667893,0.49976118553943033,0.5002388144605697,0.5519462806207219,0.44805371937927785,0.9911404888878622,0.00885951111213782,0.493239607801151,0.5067603921988489,0.6172647434150808,0.3827352565849193,0.4882134830117802,0.5117865169882195,0.5132968308744777,0.48670316912552225,0.5216787430589532,0.4783212569410467,0.9934123483479274,0.00658765165207264,0.548985106934799,0.4510148930652011,0.744193687249429,0.25580631275057103,0.47689022983155954,0.5231097701684405,0.4868088872085838,0.5131911127914163,0.5868779539455603,0.41312204605443975,0.9870323920772262,0.01296760792277383,0.44056808227856775,0.5594319177214322,0.4825762844920507,0.5174237155079493,0.507347676383667,0.4926523236163329,0.4870006294974319,0.5129993705025682,0.4722130381345617,0.5277869618654383,0.9941295595436233,0.00587044045637677,0.4511577402385615,0.5488422597614385,0.6340874961574036,0.3659125038425965,0.49328670922007384,0.506713290779926,0.5172441215800463,0.4827558784199537,0.5328288527636201,0.4671711472363799,0.9998118513618214,1.8814863817865867e-4,0.4719505644172867,0.5280494355827133,0.689935254179745,0.31006474582025495,0.4915198912341017,0.508480108765898,0.50254308354471,0.49745691645529,0.5593237858563079,0.44067621414369185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson County,48001000006,0.89580706032999,0.10419293967001016,0.1915179812671589,0.8084820187328411,0.29854725767825124,0.7014527423217488,0.4956000369982078,0.5043999630017922,0.48630403428223823,0.5136959657177618,0.42531497452113143,0.5746850254788686,0.6885119329131325,0.31148806708686766,0.1873901243154896,0.8126098756845104,0.2402110362667359,0.7597889637332641,0.4873045601713545,0.5126954398286455,0.4964818388325976,0.5035181611674024,0.4086362294281955,0.5913637705718044,0.744606698153995,0.2553933018460051,0.18244985121892776,0.8175501487810722,0.3207841248208251,0.6792158751791749,0.46900433817516,0.53099566182484,0.473270984125478,0.526729015874522,0.4522859893797967,0.5477140106202033,0.7282052307756083,0.27179476922439194,0.16187505192475238,0.8381249480752476,0.2230753935787848,0.7769246064212152,0.4962583733405122,0.5037416266594879,0.48465009672004145,0.5153499032799586,0.4023512691927296,0.5976487308072704,0.9026491011112155,0.09735089888878463,0.15925531331961157,0.8407446866803884,0.2886879568880576,0.7113120431119424,0.4777164543774127,0.5222835456225873,0.4957863392494581,0.5042136607505419,0.4218922532413724,0.5781077467586275,0.928168851864648,0.07183114813535206,0.1721145730444237,0.8278854269555763,0.3171201375397647,0.6828798624602354,0.4818223264088856,0.5181776735911144,0.4907806034591457,0.5092193965408544,0.4086666982641912,0.5913333017358088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson County,48001000007,0.8157027446772528,0.1842972553227472,0.07545547370392543,0.9245445262960744,0.08411576467648452,0.9158842353235156,0.4861079397967062,0.5138920602032938,0.4855644523972813,0.5144355476027187,0.3929495085572955,0.6070504914427045,0.5461720509304929,0.4538279490695071,0.07547318884999044,0.9245268111500096,0.07601786634040482,0.9239821336595953,0.45854186480858206,0.5414581351914179,0.4863128938449073,0.5136871061550927,0.3767901341210955,0.6232098658789045,0.6613852646295609,0.33861473537043907,0.08216333144466353,0.9178366685553364,0.09318230330010144,0.9068176966998984,0.4501343958929181,0.549865604107082,0.4621450344783574,0.5378549655216426,0.41914687577153087,0.5808531242284691,0.5660158133558449,0.433984186644155,0.07232911548280557,0.9276708845171944,0.0698344936455877,0.9301655063544124,0.4774422739783318,0.5225577260216682,0.4769828943978046,0.5230171056021953,0.3721463100505356,0.6278536899494643,0.8772568894700309,0.12274311052996915,0.10791139492935392,0.892088605070646,0.12707972554745475,0.8729202744525453,0.4787358751377737,0.5212641248622263,0.4949142085717995,0.5050857914282005,0.4198377080103115,0.5801622919896885,0.8447265966229353,0.15527340337706474,0.1087632813521456,0.8912367186478544,0.12239675455152953,0.8776032454484705,0.4724835923382044,0.5275164076617955,0.4783424456128087,0.5216575543871913,0.3837493808132882,0.6162506191867119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson County,48001000008,0.7374535810550473,0.26254641894495273,0.14538252838897686,0.8546174716110231,0.1687760429462645,0.8312239570537355,0.4975510826285465,0.5024489173714535,0.48470209616039966,0.5152979038396004,0.415564187959023,0.5844358120409767,0.5907541342301474,0.4092458657698526,0.16712902571683627,0.8328709742831637,0.1701362834636584,0.8298637165363416,0.4730943515599862,0.5269056484400139,0.49345692480559544,0.5065430751944046,0.4186473655098564,0.5813526344901436,0.6709815876458829,0.3290184123541171,0.1681227141612043,0.8318772858387957,0.21027542836351573,0.7897245716364842,0.4650263725718602,0.5349736274281398,0.4671895251964317,0.5328104748035684,0.4575374863649437,0.5424625136350562,0.6549414900550159,0.34505850994498405,0.14631692771781424,0.8536830722821858,0.15440307722505145,0.8455969227749486,0.4947759256150737,0.5052240743849262,0.4812064113986085,0.5187935886013915,0.410512896921169,0.589487103078831,0.8915490182028641,0.10845098179713585,0.19874824917733389,0.8012517508226661,0.24562897307256548,0.7543710269274345,0.4846054807319285,0.5153945192680716,0.49903616333497064,0.5009638366650293,0.4289985315586793,0.5710014684413207,0.8897751714997919,0.11022482850020808,0.16667248536001136,0.8333275146399887,0.21798379175029609,0.7820162082497039,0.4830875456253459,0.5169124543746542,0.48482972007102854,0.5151702799289715,0.402251035900332,0.5977489640996678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson County,48001000009,0.9605601007617072,0.03943989923829293,0.30708895315253304,0.692911046847467,0.3534808418987247,0.6465191581012754,0.4989737130354901,0.5010262869645099,0.47952888900334767,0.5204711109966526,0.4192887154597338,0.5807112845402662,0.9579679733435952,0.04203202665640492,0.337699403783862,0.662300596216138,0.35808501902731793,0.6419149809726821,0.4794671046834106,0.5205328953165894,0.5017686765429629,0.49823132345703736,0.4252190109127077,0.5747809890872924,0.9661005180601284,0.03389948193987156,0.36341677376292114,0.6365832262370789,0.45831138265806126,0.5416886173419387,0.4672063199343031,0.5327936800656969,0.4744454427244064,0.5255545572755939,0.458494004929336,0.541505995070664,0.9621542808391136,0.03784571916088625,0.3284003665843264,0.6715996334156736,0.3435588749109221,0.6564411250890779,0.48753751817462193,0.512462481825378,0.4799926579286553,0.5200073420713449,0.4157050884363592,0.5842949115636408,0.9738317349210152,0.0261682650789848,0.29211885201119,0.7078811479888101,0.3967056288632173,0.6032943711367827,0.4874886676655006,0.5125113323344994,0.4970228067182398,0.5029771932817605,0.4269749925561177,0.5730250074438824,0.9965747350150446,0.0034252649849553,0.2198211950262133,0.7801788049737867,0.33804257833211176,0.6619574216678883,0.478129446133432,0.521870553866568,0.4778985524993871,0.5221014475006132,0.38780816506476873,0.6121918349352313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson County,48001000010,0.976875852587048,0.02312414741295182,0.8544163374733135,0.14558366252668653,0.7912471821653718,0.2087528178346282,0.5067890275485998,0.4932109724514002,0.4921800529728445,0.5078199470271555,0.44604248214234166,0.5539575178576583,0.9672062454583724,0.03279375454162775,0.8661498055542844,0.13385019444571558,0.8104036056329478,0.18959639436705217,0.487684682797755,0.512315317202245,0.501870794564054,0.498129205435946,0.43838715367278897,0.5616128463272111,0.980687642055241,0.01931235794475901,0.9020620260227044,0.09793797397729564,0.8813163164824425,0.11868368351755758,0.47408574071151954,0.5259142592884805,0.4738633085964926,0.5261366914035074,0.47726254493812986,0.5227374550618701,0.9699736157692918,0.03002638423070819,0.8697246448434746,0.1302753551565254,0.798082255418779,0.20191774458122108,0.5030636435265431,0.49693635647345696,0.48243118169404464,0.5175688183059554,0.42463812126596984,0.5753618787340302,0.979922262075351,0.02007773792464891,0.8425800614123669,0.15741993858763312,0.7885451184152523,0.21145488158474768,0.4932380918318424,0.5067619081681576,0.4978036387752836,0.5021963612247164,0.44306914413450627,0.5569308558654937,0.984541004432332,0.01545899556766798,0.8556517728958871,0.14434822710411294,0.8140012433189215,0.18599875668107843,0.4830838139524256,0.5169161860475744,0.48192544708192514,0.5180745529180749,0.42003014656971627,0.5799698534302837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
