county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_white.uss_16_dem_blu,vap_white.uss_16_rep_car,vap_black.uss_16_dem_blu,vap_black.uss_16_rep_car,vap_hisp.uss_16_dem_blu,vap_hisp.uss_16_rep_car,vap_oth.uss_16_dem_blu,vap_oth.uss_16_rep_car,vap_white.uss_18_dem_mur,vap_white.uss_18_rep_cor,vap_black.uss_18_dem_mur,vap_black.uss_18_rep_cor,vap_hisp.uss_18_dem_mur,vap_hisp.uss_18_rep_cor,vap_oth.uss_18_dem_mur,vap_oth.uss_18_rep_cor,vap_white.gov_18_dem_lam,vap_white.gov_18_rep_ste,vap_black.gov_18_dem_lam,vap_black.gov_18_rep_ste,vap_hisp.gov_18_dem_lam,vap_hisp.gov_18_rep_ste,vap_oth.gov_18_dem_lam,vap_oth.gov_18_rep_ste,vap_white.atg_18_dem_ton,vap_white.atg_18_rep_hat,vap_black.atg_18_dem_ton,vap_black.atg_18_rep_hat,vap_hisp.atg_18_dem_ton,vap_hisp.atg_18_rep_hat,vap_oth.atg_18_dem_ton,vap_oth.atg_18_rep_hat,vap_white.sos_18_dem_mer,vap_white.sos_18_rep_cha,vap_black.sos_18_dem_mer,vap_black.sos_18_rep_cha,vap_hisp.sos_18_dem_mer,vap_hisp.sos_18_rep_cha,vap_oth.sos_18_dem_mer,vap_oth.sos_18_rep_cha,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru
Hartford County,0900303-042,0.3588322853186841,0.641167714681316,0.939223440213015,0.06077655978698502,0.9412834130667708,0.05871658693322926,0.8838153535012968,0.11618464649870322,0.5501028764063332,0.44989712359366685,0.9395238076920419,0.060476192307958136,0.9500523934684709,0.04994760653152906,0.8864410804256372,0.11355891957436284,0.4842906372443592,0.5157093627556407,0.927706167606887,0.07229383239311304,0.9241820218900988,0.07581797810990118,0.8698433482810767,0.1301566517189233,0.3669995388267746,0.6330004611732254,0.9245900425948183,0.07540995740518178,0.9162379440614545,0.08376205593854542,0.8713820032669426,0.12861799673305743,0.3894040126783724,0.6105959873216276,0.9164342200524092,0.0835657799475909,0.9279237474267767,0.07207625257322323,0.8531008076161637,0.1468991923838363,0.45306756763338657,0.5469324323666135,0.9352128639551418,0.06478713604485817,0.9355646104053982,0.06443538959460182,0.8735617901506721,0.1264382098493279,0.4583978262531268,0.54160217374687325,0.9340698623098207,0.06593013769017927,0.8300701617701323,0.16992983822986768,0.8806661821719689,0.11933381782803106
Hartford County,0900303-043,0.5377418623398786,0.4622581376601213,0.9408822976711592,0.05911770232884079,0.9498704494912422,0.05012955050875781,0.8992639190185152,0.1007360809814848,0.5321477934589953,0.4678522065410047,0.947755759103944,0.05224424089605591,0.9444766137916717,0.05552338620832827,0.8955812231015917,0.10441877689840831,0.5558058386333382,0.44419416136666173,0.9353506985528055,0.06464930144719445,0.9292939173186784,0.07070608268132159,0.8861312266508212,0.11386877334917875,0.43537488915526174,0.5646251108447383,0.9209132025074844,0.07908679749251561,0.926302029279839,0.07369797072016107,0.8820005543542717,0.11799944564572828,0.474302182194795,0.525697817805205,0.9298829438775109,0.07011705612248904,0.9321470321931518,0.06785296780684827,0.8774344470868519,0.12256555291314805,0.5098136207135536,0.49018637928644637,0.9264009802808311,0.07359901971916889,0.9320492881727535,0.06795071182724657,0.8853927504727552,0.11460724952724478,0.5815928291207348,0.41840717087926516,0.9299890099129892,0.07001099008701087,0.8299582195551115,0.17004178044488846,0.8973460219842646,0.10265397801573536
Hartford County,0900303-044,0.4942508481226504,0.5057491518773496,0.9411651681080564,0.05883483189194356,0.9550553911971401,0.044944608802859914,0.9028052253050697,0.09719477469493035,0.603377168545146,0.39662283145485394,0.9473676898262114,0.05263231017378852,0.9435325091964498,0.05646749080355021,0.9059715204235762,0.09402847957642381,0.5601953285031875,0.43980467149681246,0.9343924911645279,0.06560750883547205,0.9351646239336359,0.06483537606636418,0.8834177070982158,0.11658229290178425,0.42795345111908095,0.572046548880919,0.9171461993851489,0.08285380061485112,0.9258631125777932,0.07413688742220682,0.870567828999425,0.129432171000575,0.4479516853003084,0.5520483146996916,0.9175000243561586,0.08249997564384141,0.9290072870464585,0.07099271295354145,0.8751865858112539,0.12481341418874613,0.5007703132297061,0.49922968677029395,0.9323618005769085,0.06763819942309147,0.9391241409670724,0.06087585903292761,0.8828032079294875,0.11719679207051249,0.5650788598016905,0.4349211401983095,0.9369112161086605,0.06308878389133953,0.8323088616264435,0.1676911383735565,0.896476335872319,0.10352366412768095
Hartford County,0900303-045,0.4446143012961905,0.5553856987038095,0.9501910119445607,0.049808988055439304,0.9396420662147117,0.06035793378528836,0.886020329792032,0.11397967020796793,0.5071605877532078,0.4928394122467921,0.9398606068499181,0.06013939315008185,0.9457852688902835,0.054214731109716564,0.8693970385636184,0.13060296143638167,0.4689092918117208,0.5310907081882792,0.936894387859623,0.06310561214037708,0.9289460771699679,0.07105392283003209,0.8650602648132107,0.13493973518678926,0.37102828926831194,0.628971710731688,0.928374238921378,0.07162576107862192,0.9206080279408859,0.07939197205911408,0.8752502877389942,0.12474971226100588,0.3982978325519624,0.6017021674480376,0.9162183080996292,0.0837816919003708,0.9236593536980591,0.07634064630194094,0.8663087886913766,0.1336912113086234,0.4939594299961043,0.5060405700038957,0.9296544249443676,0.07034557505563241,0.9462010035673681,0.05379899643263188,0.8886131442548679,0.11138685574513212,0.5253837313962266,0.4746162686037734,0.9362785795795001,0.06372142042049983,0.8268794133149421,0.1731205866850579,0.8934296602090397,0.10657033979096028
Hartford County,0900303-046,0.4135785885411391,0.5864214114588608,0.9335418426189923,0.06645815738100766,0.9463547136793943,0.053645286320605695,0.8895306911312065,0.11046930886879351,0.4834726484075043,0.5165273515924957,0.931174100317769,0.06882589968223096,0.9495918925152759,0.05040810748472409,0.8721204044990287,0.1278795955009713,0.4435084097726698,0.5564915902273302,0.9271114912083719,0.07288850879162811,0.9259305225503252,0.07406947744967486,0.8577638474135765,0.14223615258642358,0.3304794424646844,0.6695205575353154,0.9224097185384462,0.07759028146155374,0.9265025884224535,0.07349741157754654,0.8682219391183396,0.13177806088166044,0.37004537441118895,0.6299546255888108,0.9165603378189362,0.08343966218106383,0.9256406681772271,0.07435933182277289,0.8564459963412615,0.1435540036587385,0.40580866816285627,0.5941913318371437,0.9328657599995608,0.06713424000043923,0.9369206883792507,0.06307931162074933,0.8640545044168991,0.13594549558310087,0.46906109519333977,0.5309389048066603,0.9330488761526855,0.0669511238473145,0.8254057308186956,0.17459426918130436,0.8879452750830854,0.11205472491691462
Hartford County,0900303-047,0.4350652415985226,0.5649347584014774,0.948121066643783,0.051878933356216864,0.9428670428911802,0.05713295710881986,0.8936333574352672,0.10636664256473286,0.5204290030733587,0.47957099692664124,0.9376559990504659,0.062344000949534115,0.9495487907309591,0.05045120926904091,0.8913120799055604,0.10868792009443964,0.4896489348882637,0.5103510651117363,0.9412767647744468,0.05872323522555327,0.931658837048354,0.06834116295164604,0.8868937121618502,0.11310628783814983,0.33084537406120124,0.6691546259387988,0.9355189708333825,0.06448102916661744,0.9198786327843717,0.08012136721562835,0.8694230079727786,0.1305769920272214,0.36715321753580693,0.632846782464193,0.9158133048788022,0.08418669512119785,0.9231183441497302,0.07688165585026989,0.8729012411447842,0.1270987588552158,0.422230861845084,0.5777691381549159,0.9263241104371187,0.0736758895628813,0.9349803041103227,0.06501969588967732,0.8805467203878824,0.11945327961211759,0.49332875972691503,0.506671240273085,0.9274418082680954,0.07255819173190453,0.8245249220982628,0.1754750779017372,0.8864374672356689,0.11356253276433119
Hartford County,0900303-048,0.42188629757491214,0.5781137024250879,0.9343424388621994,0.06565756113780068,0.9545635869279807,0.045436413072019316,0.8818323766072899,0.11816762339271016,0.4911529044698394,0.5088470955301606,0.9387107110464004,0.06128928895359938,0.9523926085337994,0.04760739146620068,0.8671322338452699,0.13286776615473012,0.47940252238042474,0.5205974776195753,0.9354738553662572,0.06452614463374264,0.9359135086151252,0.06408649138487477,0.8589065876724089,0.14109341232759104,0.3451128214246307,0.6548871785753693,0.9210661502274616,0.07893384977253838,0.9188799079391179,0.08112009206088215,0.8754522026901479,0.12454779730985209,0.3862612906482039,0.6137387093517961,0.9096893451836087,0.09031065481639138,0.9250447528090391,0.07495524719096086,0.8518736416046689,0.14812635839533106,0.4324021574237945,0.5675978425762055,0.919369819207252,0.08063018079274778,0.9363577828493942,0.06364221715060583,0.8703340866455292,0.12966591335447075,0.5079744376792374,0.49202556232076256,0.9276956542511209,0.07230434574887909,0.829473620290889,0.170526379709111,0.8891343947433585,0.11086560525664152
Hartford County,0900303-049,0.45067323440254503,0.5493267655974547,0.9354598996935095,0.06454010030649047,0.9514441130437044,0.048555886956295695,0.8946663255002975,0.10533367449970256,0.48641976140446214,0.5135802385955376,0.9344864591287979,0.06551354087120205,0.9474598744343942,0.052540125565605826,0.8793348997682188,0.12066510023178126,0.4807888066734707,0.5192111933265291,0.9492747873245266,0.05072521267547338,0.9273672274544461,0.07263277254555386,0.8622288465048228,0.137771153495177,0.37441903293971296,0.6255809670602868,0.9229953206390981,0.07700467936090193,0.9186146492685958,0.08138535073140414,0.8693560236587059,0.1306439763412939,0.40441454694667356,0.5955854530533264,0.919842114440014,0.08015788555998608,0.932709891162591,0.067290108837409,0.8693496792552138,0.13065032074478627,0.44067868322173825,0.5593213167782618,0.9270105874907518,0.0729894125092482,0.935590722227669,0.06440927777233095,0.869114026215589,0.130885973784411,0.5306495010714275,0.46935049892857234,0.9314141020889917,0.06858589791100834,0.8270364514848187,0.1729635485151813,0.9037653596867465,0.0962346403132533
Hartford County,0900303-050,0.5243910469734304,0.4756089530265696,0.9412914355098695,0.05870856449013052,0.9505384371458985,0.049461562854101526,0.9130880727479475,0.08691192725205257,0.5912968269886085,0.4087031730113915,0.9421516893886853,0.057848310611314714,0.9528951346397265,0.047104865360273515,0.9026940071926104,0.09730599280738958,0.5559342432570585,0.4440657567429415,0.9437319985851337,0.0562680014148663,0.9344935071854854,0.06550649281451455,0.8860709241094261,0.11392907589057384,0.44075138606876535,0.5592486139312347,0.9272570848573637,0.07274291514263631,0.925380096655717,0.07461990334428306,0.8848740017203517,0.11512599827964834,0.43912503697060107,0.5608749630293989,0.9203094678375233,0.07969053216247671,0.9341476762295284,0.0658523237704716,0.8762778527196176,0.12372214728038242,0.49260017688754193,0.5073998231124581,0.9337388599059467,0.06626114009405328,0.9434481102772124,0.056551889722787574,0.8914284175846634,0.10857158241533656,0.5760040734342343,0.4239959265657656,0.9281506262486452,0.07184937375135478,0.8309388764207932,0.16906112357920683,0.9009846173737538,0.0990153826262462
Hartford County,0900303-051,0.40098629168841166,0.5990137083115884,0.9317236965542376,0.06827630344576245,0.9497688989943948,0.05023110100560525,0.8750991597289599,0.12490084027104013,0.43218874389352724,0.5678112561064728,0.9312007696761506,0.06879923032384942,0.951669630315546,0.04833036968445404,0.8549733588753713,0.14502664112462874,0.4101896030635421,0.5898103969364579,0.9359649575706342,0.06403504242936581,0.9399200595664988,0.06007994043350121,0.854301313004087,0.14569868699591298,0.29536348025064907,0.7046365197493509,0.9201043848379906,0.07989561516200934,0.9181607724488283,0.08183922755117165,0.8460599906273912,0.15394000937260874,0.33770571345200057,0.6622942865479994,0.9169710712775359,0.08302892872246415,0.9225560179947268,0.07744398200527321,0.8555149488959735,0.14448505110402649,0.33803597378595135,0.6619640262140486,0.9220401116318713,0.07795988836812871,0.9336937020553652,0.06630629794463479,0.8335750413385532,0.16642495866144674,0.47898231516072787,0.5210176848392721,0.9225144992583126,0.07748550074168732,0.824647141496902,0.17535285850309798,0.8837294954358488,0.11627050456415124
