county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.uss_18_rep_bar,vap_white.uss_18_dem_tra,vap_black.uss_18_rep_bar,vap_black.uss_18_dem_tra,vap_hisp.uss_18_rep_bar,vap_hisp.uss_18_dem_tra,vap_asian.uss_18_rep_bar,vap_asian.uss_18_dem_tra,vap_aian.uss_18_rep_bar,vap_aian.uss_18_dem_tra,vap_oth_b.uss_18_rep_bar,vap_oth_b.uss_18_dem_tra,vap_white.gov_18_rep_gor,vap_white.gov_18_dem_thr,vap_black.gov_18_rep_gor,vap_black.gov_18_dem_thr,vap_hisp.gov_18_rep_gor,vap_hisp.gov_18_dem_thr,vap_asian.gov_18_rep_gor,vap_asian.gov_18_dem_thr,vap_aian.gov_18_rep_gor,vap_aian.gov_18_dem_thr,vap_oth_b.gov_18_rep_gor,vap_oth_b.gov_18_dem_thr,vap_white.sos_18_rep_buc,vap_white.sos_18_dem_byr,vap_black.sos_18_rep_buc,vap_black.sos_18_dem_byr,vap_hisp.sos_18_rep_buc,vap_hisp.sos_18_dem_byr,vap_asian.sos_18_rep_buc,vap_asian.sos_18_dem_byr,vap_aian.sos_18_rep_buc,vap_aian.sos_18_dem_byr,vap_oth_b.sos_18_rep_buc,vap_oth_b.sos_18_dem_byr,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_white.uss_20_rep_lum,vap_white.uss_20_dem_dav,vap_black.uss_20_rep_lum,vap_black.uss_20_dem_dav,vap_hisp.uss_20_rep_lum,vap_hisp.uss_20_dem_dav,vap_asian.uss_20_rep_lum,vap_asian.uss_20_dem_dav,vap_aian.uss_20_rep_lum,vap_aian.uss_20_dem_dav,vap_oth_b.uss_20_rep_lum,vap_oth_b.uss_20_dem_dav
Fremont County,56013000105,0.6395016075144384,0.3604983924855616,0.4698867253012883,0.5301132746987117,0.6030316796262319,0.39696832037376806,0.47251579917198816,0.5274842008280116,0.3788849618284316,0.6211150381715684,0.5836830789371814,0.41631692106281837,0.5530346663395194,0.44696533366048063,0.4759755307405271,0.5240244692594729,0.5738120977580022,0.4261879022419977,0.4895765099499128,0.5104234900500869,0.39701330393961837,0.6029866960603816,0.5367276565830315,0.4632723434169684,0.6343217001070907,0.3656782998929093,0.46552086581561125,0.5344791341843887,0.5815209148300569,0.41847908516994314,0.5179672464610904,0.4820327535389094,0.3425924800473772,0.6574075199526228,0.5451681468665779,0.45483185313342195,0.6192320440617205,0.3807679559382795,0.4802394722839731,0.5197605277160269,0.5792326688327443,0.42076733116725573,0.4732771973424037,0.5267228026575961,0.3459119299411088,0.6540880700588912,0.5259726720730351,0.47402732792696467,0.5648819620720827,0.4351180379279173,0.4708928823752648,0.5291071176247352,0.5718385031671297,0.4281614968328703,0.4711345769734422,0.5288654230265576,0.36242883237398965,0.6375711676260104,0.5323569964593361,0.4676430035406637,0.5802825804081877,0.4197174195918123,0.4685220062036396,0.5314779937963604,0.5560420302985948,0.4439579697014053,0.49392767209005767,0.5060723279099422,0.4152278688856605,0.5847721311143396,0.5276473315373006,0.47235266846269924
Fremont County,56013000106,0.5219963494513588,0.4780036505486414,0.4729969892373912,0.5270030107626088,0.6022143919040227,0.3977856080959773,0.4814997777638507,0.5185002222361493,0.3795566560632414,0.6204433439367586,0.5789279986180994,0.4210720013819006,0.5294978104037196,0.4705021895962806,0.47458288578040186,0.5254171142195981,0.5883447183521515,0.4116552816478485,0.493040966737028,0.506959033262972,0.39020628452114714,0.6097937154788529,0.5371294704160204,0.4628705295839795,0.5689203350322278,0.4310796649677724,0.47066979164560097,0.529330208354399,0.5840188174257983,0.41598118257420175,0.5145736303758766,0.4854263696241235,0.3377838799581392,0.6622161200418608,0.5413581422520183,0.45864185774798166,0.577497974190845,0.42250202580915525,0.4845180997236901,0.5154819002763099,0.5857907603464008,0.4142092396535993,0.47532088462532723,0.5246791153746728,0.3447072347399123,0.6552927652600877,0.5249410324984559,0.475058967501544,0.48796263780345284,0.5120373621965474,0.46459605178223745,0.5354039482177625,0.5769627493758016,0.4230372506241984,0.4760172164848421,0.5239827835151579,0.3636531724717971,0.6363468275282028,0.5352382100152436,0.4647617899847563,0.5081981671633099,0.4918018328366903,0.47274457506731254,0.5272554249326875,0.565809460326346,0.43419053967365395,0.4958631894288656,0.5041368105711344,0.4136753764714927,0.5863246235285073,0.5259328103077616,0.47406718969223843
Fremont County,56013000201,0.8799973688741906,0.12000263112580949,0.4754036270465545,0.5245963729534455,0.6135898633183885,0.38641013668161145,0.47862584771445127,0.5213741522855487,0.3784774440689541,0.6215225559310459,0.5774144461749766,0.4225855538250234,0.7542820713275291,0.2457179286724709,0.4774426034238207,0.5225573965761793,0.5765926920255926,0.42340730797440745,0.48810217575412695,0.511897824245873,0.38533025586941194,0.6146697441305881,0.5407625928020319,0.45923740719796813,0.7769912315484252,0.22300876845157486,0.4642715427141493,0.5357284572858507,0.589997266536896,0.410002733463104,0.5132800518858939,0.48671994811410607,0.3335800726396476,0.6664199273603524,0.5442087522206761,0.45579124777932384,0.7888338842247057,0.21116611577529434,0.4901432638451922,0.5098567361548078,0.5893432780053056,0.4106567219946944,0.4699408968319872,0.5300591031680129,0.33834893942656213,0.6616510605734379,0.5315326664681939,0.46846733353180614,0.8479199433253071,0.15208005667469296,0.47353675374500753,0.5264632462549925,0.5772005066838152,0.4227994933161849,0.47511597621629664,0.5248840237837034,0.35519586103672623,0.6448041389632738,0.5273749569738858,0.4726250430261142,0.8382730917277189,0.16172690827228106,0.4686374433179361,0.5313625566820639,0.5731989588991089,0.4268010411008911,0.5040689908305241,0.4959310091694758,0.41665185493554996,0.58334814506445,0.5390971135173708,0.46090288648262917
Fremont County,56013000301,0.9207008248391542,0.07929917516084581,0.4747899228417007,0.5252100771582993,0.5969390558679953,0.40306094413200466,0.4777702521794009,0.522229747820599,0.3750595889883159,0.6249404110116841,0.5822075226489744,0.41779247735102565,0.8254707435429939,0.1745292564570061,0.4778999877243048,0.5221000122756952,0.5883609267636969,0.4116390732363031,0.49159538860450513,0.5084046113954949,0.3954592509785269,0.6045407490214731,0.5494274581203527,0.45057254187964735,0.8520160433875521,0.1479839566124479,0.47279062579825787,0.5272093742017422,0.5745817729268609,0.4254182270731392,0.5204562143078302,0.4795437856921698,0.33884078978706056,0.6611592102129394,0.546950927571947,0.453049072428053,0.8630319995806808,0.13696800041931917,0.4842076754055102,0.5157923245944899,0.5753843317012117,0.4246156682987883,0.47682500460731925,0.5231749953926808,0.33421930053130133,0.6657806994686987,0.529018361332671,0.47098163866732884,0.8816290734844114,0.11837092651558856,0.47471344917301095,0.525286550826989,0.5577496093322305,0.4422503906677695,0.473460299028628,0.526539700971372,0.359041458404229,0.640958541595771,0.5369863558911189,0.46301364410888113,0.8715515682162165,0.1284484317837835,0.4685403209294625,0.5314596790705375,0.5541939502359488,0.44580604976405125,0.4968984242437856,0.5031015757562144,0.4009320054319385,0.5990679945680615,0.5368637904749154,0.46313620952508433
Fremont County,56013000302,0.9308134494365471,0.06918655056345295,0.4782398406268463,0.5217601593731537,0.6279828955161214,0.3720171044838786,0.4752220959209977,0.5247779040790024,0.3884476837030769,0.6115523162969233,0.5933103082221782,0.4066896917778217,0.7948543809375964,0.2051456190624036,0.47405076880110186,0.5259492311988981,0.5745007203825895,0.42549927961741046,0.48387627394322896,0.516123726056771,0.37509185004366785,0.6249081499563324,0.5442397828930571,0.45576021710694287,0.8473371670393043,0.1526628329606957,0.46679471246650833,0.5332052875334916,0.5833584759902259,0.416641524009774,0.517507711521025,0.4824922884789749,0.3322319562801917,0.6677680437198086,0.5530957614761483,0.4469042385238518,0.8510259650965722,0.1489740349034277,0.48704699245731936,0.5129530075426806,0.5901174779938319,0.40988252200616815,0.47571623467824825,0.5242837653217518,0.3327399414059024,0.6672600585940979,0.5347304262481807,0.4652695737518194,0.889689254656661,0.11031074534333897,0.47570080609401044,0.5242991939059896,0.5772789810506485,0.4227210189493516,0.47934871787439826,0.5206512821256017,0.34121646430922276,0.6587835356907774,0.5375320152104194,0.4624679847895806,0.875586309629904,0.12441369037009593,0.4693430103430175,0.5306569896569825,0.5566483608135862,0.4433516391864138,0.5014903804708628,0.4985096195291372,0.4041433183574081,0.5958566816425922,0.5331069649435377,0.4668930350564623
Fremont County,56013000303,0.9243357054056971,0.07566429459430295,0.47179462055077,0.5282053794492301,0.6003395358466559,0.39966046415334405,0.4765925075262577,0.5234074924737423,0.3753697326708647,0.6246302673291353,0.5825499635744297,0.4174500364255704,0.8241399017748183,0.17586009822518164,0.4780541260966551,0.5219458739033449,0.5749212218138171,0.42507877818618284,0.4900216995953893,0.5099783004046107,0.3816124430536905,0.6183875569463094,0.5404658369030192,0.4595341630969808,0.848244547065905,0.151755452934095,0.46261040122017194,0.5373895987798281,0.5820837246787648,0.41791627532123515,0.5154987983657657,0.4845012016342342,0.3409551735372811,0.6590448264627189,0.5493657494878006,0.4506342505121994,0.8724562964974588,0.12754370350254118,0.49018890391992376,0.5098110960800762,0.5859538604015251,0.4140461395984749,0.4716433861551749,0.528356613844825,0.34086450427293463,0.6591354957270654,0.5258081841185005,0.47419181588149945,0.8848089125496671,0.11519108745033292,0.4626035135050325,0.5373964864949675,0.5670402832943495,0.4329597167056505,0.4754232197789131,0.5245767802210869,0.33877799590051544,0.6612220040994846,0.5364853380946222,0.4635146619053779,0.8647373594821457,0.13526264051785425,0.4722238374413269,0.5277761625586731,0.5659885191596576,0.4340114808403424,0.5014068129042276,0.4985931870957724,0.39927144913052964,0.6007285508694703,0.5294107771598805,0.47058922284011956
Fremont County,56013000304,0.8884646932085865,0.1115353067914135,0.473636389886636,0.5263636101133641,0.5920853852932433,0.4079146147067567,0.4832698039087167,0.5167301960912833,0.3455663131530114,0.6544336868469887,0.5783154680124457,0.42168453198755423,0.7858633557546686,0.2141366442453314,0.47389696663488945,0.5261030333651106,0.5769922000567212,0.4230077999432787,0.49244376999307005,0.50755623000693,0.36727901239775784,0.6327209876022419,0.5523565692513746,0.44764343074862545,0.8013449809881701,0.19865501901182997,0.4660919845248156,0.5339080154751844,0.5820182402795487,0.4179817597204512,0.515115012183671,0.484884987816329,0.3248942725735285,0.6751057274264716,0.5522306889943094,0.4477693110056906,0.8251675897397358,0.17483241026026425,0.48985616840609403,0.510143831593906,0.5811267141377723,0.4188732858622277,0.47283716432784745,0.5271628356721525,0.3244406301999773,0.6755593698000225,0.5331897449501964,0.4668102550498036,0.8504017533388039,0.14959824666119612,0.47522433998826275,0.5247756600117373,0.5662202798125745,0.4337797201874255,0.48135989240417426,0.5186401075958258,0.33673284122379715,0.6632671587762026,0.5411323010801945,0.45886769891980544,0.8464449073648961,0.15355509263510392,0.465558941451713,0.5344410585482869,0.5582392670373795,0.44176073296262053,0.5027468908337016,0.4972531091662984,0.39499762818993134,0.6050023718100684,0.5331859631149694,0.4668140368850307
Fremont County,56013000305,0.8586652801642253,0.14133471983577478,0.4695739794103391,0.5304260205896609,0.5845666604884578,0.41543333951154215,0.4702002695068986,0.5297997304931011,0.3427490912515137,0.6572509087484862,0.578109630819424,0.42189036918057593,0.8026101259748458,0.19738987402515412,0.47567934288211045,0.5243206571178896,0.5766945069735944,0.4233054930264056,0.4856201911005434,0.5143798088994564,0.38740060474565713,0.6125993952543429,0.5421928038954315,0.45780719610456855,0.8321507677350798,0.16784923226492024,0.47619253338166684,0.5238074666183331,0.5801237515692019,0.41987624843079807,0.5201734997749724,0.4798265002250274,0.3314245031502128,0.6685754968497871,0.5523834175984124,0.44761658240158764,0.8468378973008139,0.153162102699186,0.48534588527890676,0.5146541147210932,0.5837766470615066,0.41622335293849344,0.4754174046111307,0.5245825953888691,0.3352512341926486,0.6647487658073514,0.5318242017511716,0.46817579824882843,0.799956966055978,0.20004303394402206,0.47381513530150005,0.5261848646985,0.5591267079821776,0.4408732920178224,0.4800582537670012,0.5199417462329986,0.34258663508346765,0.65741336491653235,0.5347792064548544,0.4652207935451455,0.8155686612225883,0.1844313387774117,0.47017320556177855,0.5298267944382214,0.5589914627435433,0.44100853725645667,0.5003994074313003,0.49960059256869954,0.405294478771677,0.594705521228323,0.5383365690469704,0.4616634309530296
Fremont County,56013000306,0.8487298836345176,0.1512701163654824,0.4759146192059735,0.5240853807940266,0.5884064854066983,0.41159351459330173,0.4783661865318852,0.5216338134681148,0.3778128389203207,0.6221871610796793,0.5765941573422244,0.4234058426577756,0.7946892845968264,0.20531071540317358,0.4726416478875056,0.5273583521124944,0.5856781784882674,0.4143218215117325,0.4929161948883784,0.5070838051116215,0.3973372045923814,0.6026627954076186,0.5529453425580084,0.4470546574419916,0.821538915427842,0.17846108457215806,0.471981018507209,0.528018981492791,0.5726900932262688,0.42730990677373115,0.5209669023612588,0.47903309763874125,0.3367783679254968,0.6632216320745031,0.5512263804457378,0.4487736195542622,0.8357273072974809,0.16427269270251915,0.48671672129510934,0.5132832787048907,0.5697574691058759,0.4302425308941242,0.46906344808762,0.53093655191238,0.3478070562716703,0.6521929437283297,0.5271038524119676,0.4728961475880324,0.8368420471944908,0.16315795280550915,0.47622280362504626,0.5237771963749537,0.5684633379895806,0.43153666201041946,0.4765637487915726,0.5234362512084274,0.35693148985780476,0.6430685101421952,0.5358123473583941,0.4641876526416059,0.8485375291493318,0.1514624708506682,0.46643303488252913,0.5335669651174709,0.5527457993895774,0.44725420061042265,0.499425608788262,0.500574391211738,0.4085039491286814,0.5914960508713186,0.5388975792158932,0.46110242078410674
Fremont County,56013000401,0.8156795302076849,0.18432046979231506,0.4750012215701485,0.5249987784298514,0.6083663149013783,0.39163368509862173,0.47516259015766155,0.5248374098423385,0.20134179519740655,0.7986582048025934,0.5865883897624493,0.4134116102375507,0.7486957568028663,0.2513042431971337,0.47141233933237625,0.5285876606676237,0.5935246742529706,0.4064753257470293,0.48922305306724295,0.510776946932757,0.22204695909963182,0.7779530409003682,0.5485322930845518,0.45146770691544824,0.7765002026216333,0.22349979737836664,0.47093233406619733,0.5290676659338026,0.5942264439689618,0.4057735560310381,0.5148212020062705,0.48517879799372954,0.1685331959132706,0.8314668040867295,0.5500537481966642,0.4499462518033358,0.7839951117620547,0.21600488823794525,0.4865550842250093,0.5134449157749906,0.5875490947198705,0.41245090528012945,0.47079152180824063,0.5292084781917593,0.14902887078775828,0.8509711292122417,0.5419410359062047,0.4580589640937953,0.7895762464321032,0.21042375356789683,0.4756943594004282,0.5243056405995717,0.5854165234167371,0.4145834765832629,0.4790276414617007,0.5209723585382994,0.17521032275598064,0.8247896772440194,0.5376022795159554,0.46239772048404465,0.775136970030198,0.22486302996980206,0.4766059910038484,0.5233940089961516,0.5672168265428188,0.4327831734571812,0.5038671526230745,0.49613284737692553,0.2439452463638776,0.7560547536361224,0.5385608137919176,0.46143918620808244
