county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_white.uss_18_dem_rin,vap_white.uss_18_rep_bra,vap_black.uss_18_dem_rin,vap_black.uss_18_rep_bra,vap_hisp.uss_18_dem_rin,vap_hisp.uss_18_rep_bra,vap_asian.uss_18_dem_rin,vap_asian.uss_18_rep_bra,vap_aian.uss_18_dem_rin,vap_aian.uss_18_rep_bra,vap_oth_b.uss_18_dem_rin,vap_oth_b.uss_18_rep_bra,vap_white.gov_18_dem_mil,vap_white.gov_18_rep_moo,vap_black.gov_18_dem_mil,vap_black.gov_18_rep_moo,vap_hisp.gov_18_dem_mil,vap_hisp.gov_18_rep_moo,vap_asian.gov_18_dem_mil,vap_asian.gov_18_rep_moo,vap_aian.gov_18_dem_mil,vap_aian.gov_18_rep_moo,vap_oth_b.gov_18_dem_mil,vap_oth_b.gov_18_rep_moo,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_white.uss_20_dem_gid,vap_white.uss_20_rep_col,vap_black.uss_20_dem_gid,vap_black.uss_20_rep_col,vap_hisp.uss_20_dem_gid,vap_hisp.uss_20_rep_col,vap_asian.uss_20_dem_gid,vap_asian.uss_20_rep_col,vap_aian.uss_20_dem_gid,vap_aian.uss_20_rep_col,vap_oth_b.uss_20_dem_gid,vap_oth_b.uss_20_rep_col
Androscoggin County,23001019105,0.4613911908981547,0.5386088091018453,0.6194827275918964,0.3805172724081036,0.5212635484513687,0.47873645154863137,0.5116466088547299,0.48835339114527004,0.5110126664007887,0.48898733359921126,0.5360873325447997,0.4639126674552004,0.13777048980565867,0.8622295101943414,0.6378987116700086,0.36210128832999144,0.553722870728762,0.44627712927123797,0.5370001536062693,0.4629998463937307,0.48316295907502066,0.5168370409249793,0.5873931308336053,0.41260686916639466,0.44818862664365583,0.5518113733563442,0.6990813413513017,0.3009186586486982,0.5263918480903855,0.47360815190961447,0.516136224010156,0.48386377598984404,0.45825576536352675,0.5417442346364733,0.5209008678265115,0.4790991321734886,0.5078601974672872,0.49213980253271283,0.6155671167739843,0.3844328832260157,0.5314170025080946,0.46858299749190535,0.5357434747468007,0.4642565252531993,0.5172386444226506,0.4827613555773495,0.5276753603815894,0.4723246396184107,0.39406534466358745,0.6059346553364126,0.6133417111179785,0.3866582888820215,0.5339389163602563,0.46606108363974375,0.5168552099006993,0.4831447900993006,0.5049289790811445,0.4950710209188555,0.5206482266752097,0.4793517733247903
Androscoggin County,23001020601,0.5058914776301272,0.4941085223698728,0.6328806690182684,0.36711933098173155,0.5224561970856932,0.4775438029143067,0.5152602500206827,0.4847397499793173,0.5049155547745847,0.4950844452254152,0.53709902653667,0.4629009734633301,0.15609225519321168,0.8439077448067883,0.6496347258170764,0.35036527418292357,0.5579779605080136,0.4420220394919863,0.5407876406755174,0.45921235932448257,0.47900738801853937,0.5209926119814606,0.5905244096923509,0.40947559030764913,0.5127618255709726,0.4872381744290274,0.7028598641476804,0.2971401358523195,0.5360345939719812,0.46396540602801883,0.508426272702115,0.4915737272978849,0.46323736519370373,0.5367626348062963,0.5296668848151889,0.47033311518481113,0.585069385985309,0.41493061401469095,0.6167715549775598,0.3832284450224403,0.5362509951079337,0.46374900489206633,0.5273268946145864,0.47267310538541357,0.5159699297151961,0.484030070284804,0.5323455147893386,0.46765448521066144,0.4837610886321003,0.5162389113678997,0.6163463828924698,0.38365361710753026,0.5475121465043719,0.4524878534956281,0.5231550487712315,0.47684495122876847,0.5024022366279961,0.4975977633720039,0.5314959201390431,0.4685040798609569
Androscoggin County,23001020602,0.5562550666229414,0.4437449333770585,0.628844726086188,0.371155273913812,0.522969569149812,0.47703043085018804,0.5109388811427616,0.48906111885723835,0.5131840674096648,0.4868159325903351,0.5462623671201269,0.4537376328798731,0.17924402067366732,0.8207559793263327,0.6471137648836265,0.3528862351163735,0.5579182065306707,0.4420817934693291,0.5360311883580268,0.4639688116419732,0.4779785337464411,0.5220214662535588,0.585743396485095,0.41425660351490495,0.5979057041228525,0.4020942958771475,0.7007690826380945,0.29923091736190555,0.5309169350422381,0.4690830649577616,0.5032148103155488,0.4967851896844512,0.4630465321010692,0.5369534678989307,0.5204166641321658,0.4795833358678342,0.5854402257855776,0.41455977421442236,0.6180461364716245,0.38195386352837546,0.5290439006805696,0.4709560993194302,0.5216824246255984,0.4783175753744015,0.5165603504819299,0.4834396495180701,0.534114032334641,0.465885967665359,0.48696811895930286,0.5130318810406972,0.609350529362572,0.39064947063742805,0.5383956422415275,0.4616043577584723,0.516197720781731,0.48380227921826896,0.5038597763208941,0.4961402236791059,0.5361309470104003,0.4638690529895997
Androscoggin County,23001020603,0.4471220383914667,0.5528779616085333,0.6183601215158822,0.38163987848411784,0.5180048108351158,0.48199518916488415,0.5155712125938442,0.48442878740615586,0.5073681266395959,0.49263187336040415,0.5275242556737672,0.4724757443262329,0.10337951283293689,0.8966204871670631,0.6531194958453521,0.3468805041546479,0.5571641532648631,0.4428358467351369,0.5343180348177612,0.46568196518223876,0.4849347322608403,0.5150652677391597,0.5827804388579115,0.4172195611420885,0.45879933031956976,0.5412006696804302,0.7302433274651737,0.2697566725348263,0.5260133076013689,0.4739866923986311,0.5112195544904037,0.4887804455095963,0.46055054759452646,0.5394494524054736,0.5253084567037741,0.47469154329622587,0.5105464963878382,0.48945350361216183,0.6132257068179302,0.3867742931820698,0.5276537652848895,0.47234623471511045,0.5354450908920224,0.4645549091079776,0.5166256724561752,0.48337432754382476,0.5242624365064884,0.4757375634935116,0.40818350232253925,0.5918164976774608,0.6179547851902674,0.3820452148097326,0.5350282521209735,0.46497174787902645,0.5244254926772841,0.47557450732271583,0.49994203598257303,0.500057964017427,0.5296300751181446,0.4703699248818553
Androscoggin County,23001020604,0.4661870365206048,0.5338129634793952,0.6282736772476398,0.37172632275236017,0.5175425512939403,0.48245744870605967,0.515740183867661,0.484259816132339,0.5047516139234884,0.49524838607651156,0.5365239647625649,0.4634760352374351,0.11703459902702588,0.8829654009729742,0.6461089380239164,0.35389106197608355,0.5640239418859112,0.43597605811408885,0.5353364984211927,0.4646635015788073,0.4849148930158409,0.5150851069841591,0.5817431506467398,0.41825684935326024,0.48697068761961637,0.5130293123803836,0.7047878703051105,0.2952121296948896,0.5304410307946219,0.4695589692053781,0.5065453024552656,0.4934546975447344,0.46149736918476914,0.5385026308152309,0.5188546555065011,0.48114534449349866,0.5127795225765163,0.4872204774234837,0.6132574341661612,0.3867425658338388,0.5328559785297795,0.46714402147022044,0.5341974868602555,0.4658025131397446,0.5226154554713387,0.47738454452866125,0.5216987803946613,0.4783012196053385,0.41224231173215226,0.5877576882678478,0.5996646392222994,0.4003353607777006,0.5322253322765516,0.46777466772344845,0.5172042039739091,0.4827957960260909,0.506107359940604,0.4938926400593961,0.5192865598218844,0.48071344017811557
Androscoggin County,23001020605,0.4758088051639334,0.5241911948360668,0.6200595644476228,0.3799404355523772,0.5196179827630772,0.4803820172369228,0.5100925659704908,0.48990743402950915,0.5106273226866614,0.48937267731333856,0.5329438677347342,0.4670561322652657,0.13394080145366186,0.8660591985463384,0.6435053502125847,0.3564946497874153,0.5569459848679109,0.4430540151320891,0.5310053483060029,0.4689946516939971,0.48134256190290897,0.5186574380970911,0.5809294388709955,0.4190705611290045,0.49460998522940447,0.5053900147705958,0.7061976264359657,0.2938023735640342,0.5217001544438153,0.4782998455561846,0.5147976267693672,0.4852023732306328,0.4593360168107166,0.5406639831892833,0.5175577461468708,0.4824422538531292,0.5235735606479247,0.47642643935207546,0.6133443214651089,0.3866556785348912,0.5270005208637755,0.47299947913622453,0.5309982234121808,0.46900177658781916,0.5127926593669674,0.48720734063303267,0.5279332508884238,0.47206674911157614,0.42449228721456017,0.5755077127854401,0.608563688316102,0.39143631168389803,0.5369695290864227,0.4630304709135773,0.5152442056503403,0.4847557943496597,0.5009951579095421,0.4990048420904579,0.5224214454595264,0.4775785545404736
Androscoggin County,23001029255,0.3362172257263637,0.6637827742736363,0.6190327978187293,0.38096720218127067,0.5128565802369341,0.48714341976306585,0.5129821618248622,0.4870178381751377,0.5062286042755616,0.4937713957244384,0.5265401295576649,0.47345987044233506,0.07250530533333781,0.9274946946666622,0.6359855164878778,0.3640144835121222,0.5517931749053968,0.4482068250946032,0.5370515195327341,0.46294848046726594,0.4832480133854152,0.5167519866145848,0.5889415894469553,0.41105841055304465,0.3227105992027678,0.6772894007972322,0.7027213539051603,0.2972786460948396,0.5287799945689388,0.47122000543106124,0.5139158261601953,0.48608417383980473,0.46170956475836517,0.5382904352416348,0.5142240250260366,0.48577597497396335,0.347646126440721,0.652353873559279,0.6093187157685195,0.39068128423148046,0.5259327356331218,0.4740672643668782,0.5286593667154096,0.47134063328459047,0.51260734411188,0.48739265588812,0.5206261238965777,0.4793738761034223,0.2601937825852066,0.7398062174147934,0.6063659962545941,0.3936340037454059,0.5351014017648363,0.46489859823516366,0.5138251436608331,0.4861748563391669,0.49853352034733983,0.5014664796526602,0.5179775466952312,0.4820224533047688
Androscoggin County,23001038565,0.34478337643394685,0.6552166235660531,0.6200711088910227,0.37992889110897726,0.5202655614399296,0.4797344385600704,0.5110614329635024,0.48893856703649763,0.5085590360129043,0.4914409639870957,0.5258513515209563,0.4741486484790435,0.10351114682478534,0.8964888531752147,0.6395398195582792,0.3604601804417208,0.5605012599071985,0.43949874009280154,0.5327157961977618,0.4672842038022383,0.4811217039578744,0.5188782960421257,0.5882548338788576,0.41174516612114226,0.3889140362441565,0.6110859637558435,0.6976307666139531,0.3023692333860469,0.5258883004831963,0.47411169951680365,0.5121962810376931,0.4878037189623069,0.4596522307326461,0.540347769267354,0.5133572563324617,0.4866427436675381,0.3731819266000477,0.6268180733999523,0.6111995010978443,0.38880049890215573,0.5300995316875903,0.4699004683124098,0.5283705914414765,0.4716294085585236,0.5135862411813595,0.4864137588186404,0.519256960579905,0.4807430394200948,0.29092183723865767,0.7090781627613423,0.6021699530648423,0.3978300469351577,0.5348462713827097,0.4651537286172903,0.5165488341825089,0.4834511658174911,0.5004254920057025,0.4995745079942975,0.5194344210965476,0.4805655789034522
Androscoggin County,23001040035,0.37618116475261526,0.6238188352473848,0.6189343239165773,0.3810656760834226,0.5161674543239957,0.4838325456760043,0.5151600158117011,0.4848399841882988,0.5087672843780235,0.4912327156219767,0.539701418109061,0.460298581890939,0.12008931837867926,0.8799106816213208,0.6435172316711741,0.3564827683288259,0.558658774528008,0.44134122547199195,0.5364710149205127,0.46352898507948725,0.4750088624091675,0.5249911375908327,0.5831915435933039,0.41680845640669606,0.42509175604120736,0.5749082439587927,0.6995102325243725,0.3004897674756275,0.529973150147904,0.47002684985209603,0.5096282707354526,0.4903717292645474,0.46751136674432936,0.5324886332556709,0.5201654760445925,0.47983452395540743,0.4340687922841083,0.5659312077158917,0.6175069870004863,0.3824930129995136,0.5304125635858857,0.4695874364141142,0.5311348676216419,0.46886513237835814,0.5128105247071316,0.4871894752928686,0.5202894209494359,0.47971057905056413,0.3501049360049734,0.6498950639950266,0.6062685327415626,0.3937314672584375,0.5324418519054823,0.4675581480945176,0.5200780147853372,0.4799219852146627,0.4970249553539582,0.502975044646042,0.5243900673524504,0.4756099326475495
Androscoggin County,23001040665,0.39517665090364124,0.6048233490963587,0.6201644128827133,0.37983558711728665,0.511268724160294,0.488731275839706,0.5128588184852286,0.4871411815147713,0.5089782924798494,0.49102170752015056,0.530151477022012,0.46984852297798796,0.11088414050636954,0.8891158594936305,0.6405662801294205,0.3594337198705795,0.5483150149157241,0.4516849850842759,0.5332708613113024,0.4667291386886976,0.48466378335022553,0.5153362166497745,0.575448280849727,0.42455171915027307,0.4234902937162038,0.5765097062837962,0.7027909476681486,0.29720905233185135,0.5301399506311562,0.46986004936884385,0.5022701890396833,0.4977298109603166,0.4635504033034143,0.5364495966965857,0.5220524079590656,0.4779475920409344,0.41843125118395735,0.5815687488160426,0.61157339412705225,0.3884266058729477,0.530287645517368,0.46971235448263204,0.5253929342810367,0.47460706571896333,0.5137997547144776,0.4862002452855224,0.5223375063103721,0.47766249368962793,0.3276180361997537,0.6723819638002463,0.6134580854661722,0.38654191453382775,0.5363997045765082,0.46360029542349185,0.5203376010742491,0.47966239892575085,0.5036355037089035,0.4963644962910965,0.5265504062157111,0.47344959378428886
