county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_white.uss_20_rep_hag,vap_white.uss_20_dem_bra,vap_black.uss_20_rep_hag,vap_black.uss_20_dem_bra,vap_hisp.uss_20_rep_hag,vap_hisp.uss_20_dem_bra,vap_asian.uss_20_rep_hag,vap_asian.uss_20_dem_bra,vap_aian.uss_20_rep_hag,vap_aian.uss_20_dem_bra,vap_oth_b.uss_20_rep_hag,vap_oth_b.uss_20_dem_bra,vap_white.pre_24_dem_har,vap_white.pre_24_rep_tru,vap_black.pre_24_dem_har,vap_black.pre_24_rep_tru,vap_hisp.pre_24_dem_har,vap_hisp.pre_24_rep_tru,vap_asian.pre_24_dem_har,vap_asian.pre_24_rep_tru,vap_aian.pre_24_dem_har,vap_aian.pre_24_rep_tru,vap_oth_b.pre_24_dem_har,vap_oth_b.pre_24_rep_tru
Anderson County,47001000001,0.8613970382874238,0.13860296171257627,0.35939038326453027,0.6406096167354697,0.438601081100514,0.561398918899486,0.4438088335422189,0.5561911664577812,0.5060620861479318,0.4939379138520682,0.45660150110846515,0.5433984988915349,0.8522929696641828,0.14770703033581725,0.381876824458642,0.618123175541358,0.4348292449388664,0.5651707550611337,0.46297498063048903,0.537025019369511,0.4876371656965746,0.5123628343034253,0.4636286433043037,0.5363713566956962,0.8703728683987101,0.12962713160128989,0.375216316575711,0.624783683424289,0.4414347189987003,0.5585652810012997,0.45900581900997856,0.5409941809900215,0.4949757262503201,0.50502427374968,0.42720995482819585,0.5727900451718041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson County,47001000002,0.875120393700025,0.12487960629997494,0.3554841226671689,0.6445158773328311,0.4381027641387431,0.5618972358612568,0.44614531901599774,0.5538546809840023,0.5033919347492197,0.49660806525078033,0.46111145459855074,0.5388885454014493,0.8627156979845383,0.1372843020154617,0.3910080023863377,0.6089919976136623,0.4372459740387243,0.5627540259612758,0.46355826442422926,0.5364417355757708,0.4913135718780457,0.5086864281219543,0.457004991194051,0.542995008805949,0.8700813635566567,0.12991863644334328,0.3738838872735482,0.6261161127264517,0.43984536746269154,0.5601546325373085,0.4559915084025852,0.5440084915974148,0.4900211718346715,0.5099788281653286,0.434456790668538,0.5655432093314621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson County,47001000003,0.8010762138074314,0.19892378619256856,0.35789351360646915,0.6421064863935309,0.4295812412654659,0.5704187587345341,0.4504911808388212,0.5495088191611789,0.5022992775513069,0.4977007224486932,0.4574054486221248,0.5425945513778752,0.7802778594611641,0.2197221405388359,0.39102703490846846,0.6089729650915315,0.4321917687033284,0.5678082312966714,0.4665526282216918,0.5334473717783083,0.4871455205321932,0.5128544794678067,0.4571836256857792,0.5428163743142208,0.7949320890370382,0.20506791096296184,0.38386658549990826,0.6161334145000917,0.4439250892166727,0.556074910783327,0.46754537823883713,0.5324546217611629,0.488406371658666,0.5115936283413339,0.43253591034661903,0.567464089653381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson County,47001000004,0.8020214261917509,0.19797857380824913,0.35758967560897037,0.6424103243910296,0.4359082005057797,0.5640917994942203,0.452218846341645,0.547781153658355,0.5047840242197811,0.4952159757802189,0.4565030460057886,0.5434969539942114,0.7872060340702037,0.2127939659297963,0.3850917411920936,0.6149082588079064,0.4351533118910773,0.5648466881089227,0.4628676946135743,0.5371323053864258,0.4855448731679757,0.5144551268320243,0.4499932306604366,0.5500067693395633,0.8004751141973675,0.19952488580263247,0.3707890847635305,0.6292109152364695,0.4389562377354864,0.5610437622645136,0.46132257836367657,0.5386774216363234,0.49048026366438263,0.5095197363356174,0.4334804889485549,0.5665195110514452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson County,47001000005,0.7295313801361089,0.2704686198638912,0.35493238190128584,0.6450676180987142,0.43172152480525017,0.5682784751947498,0.44655036526958863,0.5534496347304111,0.5022538015869322,0.4977461984130677,0.44967746358728833,0.5503225364127114,0.7280869545248402,0.2719130454751599,0.3854133030408083,0.6145866969591918,0.4260955685655932,0.5739044314344067,0.4621935498855656,0.5378064501144342,0.4831873572425139,0.5168126427574862,0.4514219500790875,0.5485780499209123,0.7423625434183331,0.2576374565816669,0.3749622937840062,0.6250377062159937,0.4446795963088376,0.5553204036911624,0.4577735880101469,0.5422264119898532,0.4946605456794358,0.5053394543205643,0.4254891715704113,0.5745108284295887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson County,47001000006,0.7761550315448774,0.22384496845512283,0.3579473613653665,0.6420526386346335,0.43044398044518334,0.5695560195548167,0.4486389879288943,0.5513610120711057,0.5030439449331225,0.4969560550668775,0.4530673846522841,0.546932615347716,0.7582205648788556,0.24177943512114464,0.385384178777623,0.614615821222377,0.4300027896867983,0.5699972103132017,0.4646634110202257,0.5353365889797743,0.4846059835810907,0.5153940164189093,0.4534414484432144,0.5465585515567856,0.7798268199847237,0.2201731800152765,0.3712438028312256,0.6287561971687744,0.44089190497914793,0.5591080950208521,0.4562857262342983,0.5437142737657017,0.4856856954196818,0.5143143045803181,0.4213907932830868,0.5786092067169132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson County,47001000007,0.8627214638240556,0.1372785361759444,0.3587462360056459,0.6412537639943541,0.4350985170156037,0.5649014829843964,0.4537338337101892,0.5462661662898107,0.503194831920851,0.49680516807914904,0.4492786867426581,0.5507213132573419,0.8338612560696589,0.16613874393034114,0.3882601070860487,0.6117398929139513,0.427293405702571,0.572706594297429,0.4648941778697528,0.5351058221302472,0.4860623798930068,0.5139376201069932,0.46493451795495094,0.5350654820450491,0.8623922622196791,0.13760773778032087,0.3790863308951237,0.6209136691048762,0.4414126939767334,0.5585873060232666,0.4599810512081632,0.5400189487918368,0.49115100663494293,0.5088489933650571,0.4257350871591137,0.5742649128408863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson County,47001000008,0.8014525984868125,0.19854740151318753,0.35767678713990825,0.6423232128600918,0.4326231002147123,0.5673768997852877,0.451531680262749,0.548468319737251,0.5017245992828177,0.4982754007171823,0.45038017234930944,0.5496198276506905,0.8458302330070037,0.15416976699299637,0.3871883243781133,0.6128116756218868,0.4349037564050723,0.5650962435949277,0.46796778141943074,0.5320322185805693,0.492979942121737,0.507020057878263,0.4586552949829894,0.5413447050170106,0.8387833895591872,0.16121661044081284,0.3762884431880846,0.6237115568119154,0.4347263547140043,0.5652736452859958,0.4651183299433962,0.5348816700566038,0.4919757085952148,0.5080242914047852,0.4324850275166578,0.5675149724833423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson County,47001000009,0.5541793188714135,0.4458206811285865,0.347606097765834,0.6523939022341659,0.4313353549572293,0.5686646450427707,0.4419996115041752,0.5580003884958248,0.4981955003731092,0.501804499626891,0.4441429558174713,0.5558570441825287,0.4912570799847445,0.5087429200152555,0.38442662781351267,0.6155733721864873,0.4240074411526348,0.5759925588473652,0.4598027863135247,0.5401972136864753,0.4879373484474171,0.5120626515525831,0.4478160184571526,0.5521839815428474,0.542142231549419,0.45785776845058096,0.36725594112153154,0.6327440588784684,0.431206167903956,0.5687938320960441,0.4500111589843486,0.5499888410156514,0.4922145991429456,0.5077854008570546,0.4287968576272475,0.5712031423727524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson County,47001000010,0.8542566712542613,0.1457433287457387,0.3576378081246172,0.6423621918753828,0.43656215108906127,0.5634378489109387,0.4483493565205429,0.5516506434794571,0.5049503140720151,0.495049685927985,0.4579768095027192,0.5420231904972809,0.866627387156059,0.13337261284394095,0.3879293936682836,0.6120706063317164,0.43540153035302576,0.5645984696469742,0.469402411021688,0.530597588978312,0.4841596946357994,0.5158403053642007,0.4740058938873109,0.525994106112689,0.8703643944177577,0.12963560558224232,0.3780954306405256,0.6219045693594744,0.44599822009658185,0.5540017799034181,0.4646671848437251,0.535332815156275,0.4932467464772897,0.5067532535227103,0.440903727758281,0.559096272241719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
