county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid
Acadia Parish,220010001-1,0.9771156444223893,0.022884355577610746,0.1384043798894495,0.8615956201105505,0.3245610962039193,0.6754389037960807,0.4770739252110067,0.5229260747889932,0.4871440777164715,0.5128559222835285,0.31165617961968994,0.6883438203803101,0.9929329233992941,0.007067076600705912,0.16115863126675387,0.8388413687332461,0.4777733916497067,0.5222266083502932,0.48770029104583557,0.5122997089541644,0.4956726725764679,0.5043273274235321,0.36493084148679855,0.6350691585132014
Acadia Parish,220010001-2,0.9674542845224502,0.032545715477549864,0.06919209465240132,0.9308079053475987,0.380367730278362,0.619632269721638,0.48121894340272114,0.5187810565972789,0.48967852348110896,0.510321476518891,0.32618777129293614,0.6738122287070638,0.9667147276108903,0.03328527238910975,0.07246680249239587,0.9275331975076041,0.43868478274280887,0.5613152172571911,0.4810684732759436,0.5189315267240564,0.5040712455043962,0.49592875449560386,0.3379466441058662,0.6620533558941338
Acadia Parish,220010001-3,0.9853653995951615,0.014634600404838589,0.2871498889188718,0.7128501110811282,0.4022456459199246,0.5977543540800754,0.495500957237851,0.5044990427621491,0.4925093562303919,0.5074906437696082,0.37337333213069673,0.6266266678693032,0.986173304700382,0.013826695299617952,0.17304694706043064,0.8269530529395693,0.47445155049639864,0.5255484495036014,0.4955029428252323,0.5044970571747678,0.4983129085449651,0.5016870914550349,0.38662492488398775,0.6133750751160122
Acadia Parish,220010001-4,0.9856822884976578,0.01431771150234214,0.09355700877915475,0.9064429912208453,0.390040927476979,0.609959072523021,0.4860791649637698,0.5139208350362302,0.4884267068543417,0.5115732931456582,0.3571218664300555,0.6428781335699445,0.985712118051151,0.014287881948848979,0.07954797596517264,0.9204520240348274,0.46155048428591616,0.5384495157140838,0.48656280421625475,0.5134371957837452,0.5005333929089072,0.4994666070910928,0.3598979285219176,0.6401020714780824
Acadia Parish,220010001-5,0.8620076328501448,0.13799236714985522,0.09743937944200032,0.9025606205579997,0.3823165177082742,0.6176834822917259,0.4834278043735109,0.5165721956264889,0.48168778231445264,0.5183122176855474,0.34028038089419604,0.6597196191058038,0.828398136756298,0.17160186324370194,0.08886242272575132,0.9111375772742487,0.44840915024569444,0.5515908497543056,0.4844253489611199,0.5155746510388801,0.4984527670458028,0.5015472329541971,0.347489540838262,0.6525104591617378
Acadia Parish,220010001-6,0.45065930199009313,0.549340698009907,0.019168088900892003,0.980831911099108,0.3532410535270561,0.646758946472944,0.47643773305082276,0.5235622669491772,0.4785735897997832,0.52142641020021685,0.312516973062498,0.6874830269375021,0.5216250713871051,0.47837492861289505,0.020822757690705563,0.9791772423092945,0.4247399731328154,0.5752600268671846,0.4782989638364592,0.5217010361635408,0.49630476223307074,0.5036952377669293,0.3212457527835012,0.6787542472164988
Acadia Parish,220010001-8,0.9830648687528556,0.01693513124714446,0.10454504088216687,0.8954549591178331,0.4069996195510483,0.5930003804489516,0.48232210870662634,0.5176778912933736,0.4934798449376843,0.5065201550623156,0.35773354051240047,0.6422664594875995,0.9821377724282561,0.017862227571743907,0.15343645864712424,0.8465635413528757,0.4824176839609931,0.5175823160390068,0.4811499726623025,0.5188500273376975,0.5140264299546125,0.48597357004538755,0.3776088113704505,0.6223911886295496
Acadia Parish,220010001-9,0.9924733762484458,0.0075266237515542005,0.1435675782010381,0.8564324217989618,0.39698267502040024,0.6030173249795998,0.4795866690745925,0.5204133309254075,0.4932700127636872,0.5067299872363128,0.36326097296746707,0.6367390270325329,0.9906748893092264,0.009325110690773623,0.12278154404753001,0.8772184559524699,0.4536919053534091,0.5463080946465909,0.4860503999263865,0.5139496000736135,0.5071109157242543,0.49288908427574574,0.35055384759372743,0.6494461524062726
Acadia Parish,220010002-1,0.9713679443934337,0.028632055606566387,0.12701458825872913,0.8729854117412709,0.35574169081012225,0.6442583091898778,0.48023091152616226,0.5197690884738377,0.4935811322941007,0.5064188677058995,0.3300232594578909,0.6699767405421091,0.9956482775814876,0.004351722418512485,0.30746830515151197,0.6925316948484881,0.533007603646797,0.46699239635320294,0.49381446658488315,0.5061855334151169,0.5081406446184593,0.4918593553815409,0.4134637207894273,0.5865362792105727
Acadia Parish,220010002-2,0.9854517329104878,0.014548267089512167,0.13989286502376277,0.8601071349762373,0.35330789477109453,0.6466921052289055,0.4788349565621096,0.5211650434378904,0.4804493344620123,0.5195506655379877,0.3137668730182873,0.6862331269817127,0.9953577474113421,0.004642252588657855,0.16854900553043403,0.8314509944695659,0.4455837187969898,0.5544162812030102,0.4816156841253624,0.5183843158746376,0.4990659430003814,0.5009340569996187,0.359823702663641,0.6401762973363591
