county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.gov_16_rep_gia,vap_white.gov_16_dem_bul,vap_black.gov_16_rep_gia,vap_black.gov_16_dem_bul,vap_hisp.gov_16_rep_gia,vap_hisp.gov_16_dem_bul,vap_oth.gov_16_rep_gia,vap_oth.gov_16_dem_bul,vap_white.atg_16_rep_fox,vap_white.atg_16_dem_jen,vap_black.atg_16_rep_fox,vap_black.atg_16_dem_jen,vap_hisp.atg_16_rep_fox,vap_hisp.atg_16_dem_jen,vap_oth.atg_16_rep_fox,vap_oth.atg_16_dem_jen,vap_white.sos_16_rep_sta,vap_white.sos_16_dem_lin,vap_black.sos_16_rep_sta,vap_black.sos_16_dem_lin,vap_hisp.sos_16_rep_sta,vap_hisp.sos_16_dem_lin,vap_oth.sos_16_rep_sta,vap_oth.sos_16_dem_lin,vap_white.uss_18_rep_ros,vap_white.uss_18_dem_tes,vap_black.uss_18_rep_ros,vap_black.uss_18_dem_tes,vap_hisp.uss_18_rep_ros,vap_hisp.uss_18_dem_tes,vap_oth.uss_18_rep_ros,vap_oth.uss_18_dem_tes,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_dai,vap_white.uss_20_dem_bul,vap_black.uss_20_rep_dai,vap_black.uss_20_dem_bul,vap_hisp.uss_20_rep_dai,vap_hisp.uss_20_dem_bul,vap_oth.uss_20_rep_dai,vap_oth.uss_20_dem_bul,vap_white.gov_20_rep_gia,vap_white.gov_20_dem_coo,vap_black.gov_20_rep_gia,vap_black.gov_20_dem_coo,vap_hisp.gov_20_rep_gia,vap_hisp.gov_20_dem_coo,vap_oth.gov_20_rep_gia,vap_oth.gov_20_dem_coo,vap_white.atg_20_rep_knu,vap_white.atg_20_dem_gra,vap_black.atg_20_rep_knu,vap_black.atg_20_dem_gra,vap_hisp.atg_20_rep_knu,vap_hisp.atg_20_dem_gra,vap_oth.atg_20_rep_knu,vap_oth.atg_20_dem_gra,vap_white.sos_20_rep_jac,vap_white.sos_20_dem_ben,vap_black.sos_20_rep_jac,vap_black.sos_20_dem_ben,vap_hisp.sos_20_rep_jac,vap_hisp.sos_20_dem_ben,vap_oth.sos_20_rep_jac,vap_oth.sos_20_dem_ben
Gallatin County,3003100062A,0.15959108050493181,0.8404089194950681,0.4928331955267166,0.5071668044732833,0.45191453417318617,0.5480854658268138,0.46815564895413614,0.5318443510458638,0.14197913633691067,0.8580208636630893,0.467196695370597,0.5328033046294031,0.4681427174022715,0.5318572825977285,0.4632721248655829,0.5367278751344171,0.2844339483581264,0.7155660516418736,0.48887519402466384,0.5111248059753362,0.4617179134119769,0.5382820865880231,0.457748795242617,0.542251204757383,0.21907203308590312,0.7809279669140969,0.5104018779956331,0.48959812200436686,0.4387598990688933,0.5612401009311067,0.4705463083523863,0.5294536916476137,0.10583528640805666,0.8941647135919434,0.4833586953138,0.5166413046862,0.47590370426326317,0.5240962957367368,0.4588605863862348,0.5411394136137653,0.13386574222478592,0.866134257775214,0.5219789054407005,0.47802109455929953,0.4948481012068791,0.5051518987931208,0.452812427311642,0.547187572688358,0.13949395874367237,0.8605060412563276,0.4758976572748261,0.524102342725174,0.46147954698388766,0.5385204530161124,0.4800278354797475,0.5199721645202525,0.1395149947603789,0.8604850052396211,0.4977237439765209,0.502276256023479,0.45053982584536123,0.5494601741546388,0.4625418526512505,0.5374581473487495,0.1563651277816114,0.8436348722183886,0.49570904879071365,0.5042909512092864,0.48609060851251334,0.5139093914874867,0.4693309105266917,0.5306690894733083,0.17140774259087685,0.8285922574091231,0.5043402264049882,0.4956597735950118,0.4893536579536548,0.5106463420463452,0.44085655479009433,0.5591434452099057
Gallatin County,3003100062B,0.2128670408792709,0.7871329591207291,0.4942516127817572,0.5057483872182428,0.4494379216364069,0.5505620783635932,0.45967405310847165,0.5403259468915284,0.1904068979749458,0.8095931020250542,0.46922385373778835,0.5307761462622117,0.48590578214789215,0.5140942178521078,0.4656438875322351,0.5343561124677649,0.34480621957799784,0.6551937804220022,0.49383135072665085,0.5061686492733491,0.4697753601747469,0.530224639825253,0.47278675504996176,0.5272132449500382,0.27955493743012194,0.7204450625698781,0.5071430101286153,0.4928569898713847,0.44316760253477955,0.5568323974652205,0.4795369874975448,0.5204630125024552,0.15464640007031125,0.8453535999296887,0.4841721746582234,0.5158278253417766,0.47059513475969483,0.5294048652403052,0.47439245070980673,0.5256075492901933,0.19661040551412648,0.8033895944858735,0.5295607473522685,0.47043925264773145,0.5029838725739307,0.49701612742606927,0.45468654561416494,0.5453134543858351,0.18919570000960578,0.8108042999903942,0.4814649326298581,0.5185350673701419,0.4757417004493171,0.5242582995506829,0.48706842950736307,0.5129315704926369,0.19133760696582344,0.8086623930341765,0.49248083786355,0.50751916213645,0.461639472277457,0.5383605277225431,0.46446434023412925,0.5355356597658708,0.20459687435137014,0.7954031256486298,0.4984876010518851,0.5015123989481148,0.4885416159555707,0.5114583840444293,0.478100519001944,0.521899480998056,0.22665779478540746,0.7733422052145925,0.5021763149190668,0.4978236850809333,0.488260844511223,0.511739155488777,0.4426274720763607,0.5573725279236392
Gallatin County,3003100062C,0.32252367527346715,0.6774763247265329,0.5026689378124973,0.4973310621875027,0.4672051358228862,0.5327948641771137,0.4831929889364672,0.5168070110635328,0.2991910030226681,0.7008089969773319,0.469872237475363,0.530127762524637,0.4911618694717943,0.5088381305282057,0.47499286059885903,0.525007139401141,0.43948142065153933,0.5605185793484606,0.4929063981149032,0.5070936018850968,0.475480864927623,0.524519135072377,0.4710895186763798,0.5289104813236202,0.3812099561379258,0.6187900438620741,0.5133787496120037,0.48662125038799614,0.45732008511004185,0.5426799148899581,0.4953345700858109,0.504665429914189,0.24852093971165035,0.7514790602883497,0.48626590374945444,0.5137340962505453,0.49012273108137394,0.5098772689186261,0.4887498152077382,0.5112501847922618,0.28962604418828036,0.7103739558117196,0.5320454400118151,0.46795455998818475,0.5128281376538907,0.4871718623461093,0.4741145522162565,0.5258854477837435,0.28613157743537276,0.7138684225646272,0.4793802170863549,0.5206197829136449,0.4815151165008525,0.5184848834991475,0.4889367453448455,0.5110632546551543,0.3087560206641886,0.6912439793358114,0.49521654448336366,0.5047834555166364,0.46111671581402985,0.5388832841859701,0.48298063026714927,0.5170193697328508,0.3059990226422837,0.6940009773577163,0.5019498979341246,0.49805010206587513,0.4989821218575718,0.5010178781424282,0.48562182927318415,0.5143781707268156,0.32894150006869877,0.6710584999313012,0.5032852154591777,0.4967147845408221,0.5063069121996466,0.4936930878003534,0.4494120411241816,0.5505879588758181
Gallatin County,3003100062D,0.4234634821344844,0.5765365178655159,0.49987234867575636,0.5001276513242436,0.4731412398619515,0.5268587601380484,0.4939530411046596,0.5060469588953403,0.4045423649257395,0.5954576350742607,0.4682618492057756,0.5317381507942244,0.4864832477202006,0.5135167522797994,0.4831223337084173,0.5168776662915827,0.5685877805182071,0.43141221948179315,0.49839274528261607,0.5016072547173839,0.4819347708681614,0.5180652291318386,0.47336315966073456,0.5266368403392654,0.49114394019195473,0.5088560598080455,0.5060701665887686,0.4939298334112315,0.45660815793591053,0.5433918420640894,0.49653086737147145,0.5034691326285285,0.3423671190406169,0.6576328809593833,0.48626178477885557,0.5137382152211445,0.4873244729541702,0.5126755270458297,0.48435605261213066,0.5156439473878693,0.3879949909988134,0.6120050090011868,0.5348967096661323,0.4651032903338676,0.5158328110292554,0.4841671889707446,0.4875637395727831,0.5124362604272169,0.3934565318902564,0.6065434681097438,0.48449302316075105,0.515506976839249,0.4782803127732267,0.5217196872267733,0.5153078182066841,0.4846921817933158,0.41350564983141846,0.5864943501685818,0.4975101382852978,0.5024898617147022,0.47511572492871174,0.5248842750712882,0.4783236854325155,0.5216763145674845,0.42989238881401487,0.5701076111859853,0.4988447150116602,0.5011552849883398,0.5016137700088784,0.49838622999112164,0.484339054477007,0.515660945522993,0.443124198130215,0.5568758018697852,0.5028486377203452,0.4971513622796549,0.502289434117132,0.497710565882868,0.4659859255360159,0.5340140744639841
Gallatin County,3003100063A,0.46990259970176756,0.5300974002982324,0.5037413537710682,0.49625864622893184,0.46718304974238317,0.5328169502576169,0.4911012171083374,0.5088987828916626,0.40731366444714295,0.5926863355528571,0.4655555218957012,0.5344444781042988,0.48614806091785867,0.5138519390821413,0.4877561206675105,0.5122438793324895,0.5704991781138261,0.4295008218861739,0.48973666929268284,0.5102633307073172,0.4718814069766997,0.5281185930233003,0.475493049091435,0.524506950908565,0.5129249193125833,0.48707508068741673,0.5129877106065529,0.48701228939344704,0.46761925881376276,0.5323807411862372,0.4846948809761946,0.5153051190238054,0.38196944934235394,0.6180305506576461,0.49217091469720414,0.5078290853027958,0.4874086719413947,0.5125913280586053,0.49384990567866044,0.5061500943213396,0.4373981269442889,0.5626018730557111,0.528751259891278,0.471248740108722,0.5170821721651316,0.4829178278348684,0.4855865412024144,0.5144134587975856,0.41819476672160016,0.5818052332783998,0.47652234028913376,0.5234776597108662,0.47408810754034675,0.5259118924596533,0.5109265434565081,0.4890734565434919,0.4421640075035945,0.5578359924964055,0.49838824644787333,0.5016117535521266,0.45614656813304816,0.5438534318669519,0.4724936527157452,0.5275063472842548,0.4454850935530004,0.5545149064469996,0.4963897444361813,0.5036102555638188,0.5016002925501453,0.4983997074498548,0.4924515045450552,0.5075484954549447,0.4843940592907164,0.5156059407092837,0.5046036429553598,0.49539635704464025,0.5076837707706221,0.4923162292293779,0.44894833699792214,0.5510516630020779
Gallatin County,3003100063B,0.399268255640584,0.600731744359416,0.5050085113438451,0.49499148865615494,0.4594419160841872,0.5405580839158127,0.47860949663918156,0.5213905033608184,0.3163355790543227,0.6836644209456773,0.4671117169425753,0.5328882830574246,0.48447195600879606,0.515528043991204,0.47549236167805853,0.5245076383219415,0.5126381066515419,0.4873618933484581,0.49753997840866865,0.5024600215913314,0.4717703179288603,0.5282296820711397,0.479714525336654,0.5202854746633461,0.44493612245596126,0.5550638775440387,0.5145084279001785,0.4854915720998215,0.4609527545087143,0.5390472454912857,0.4911830688448452,0.5088169311551548,0.20647058865686374,0.7935294113431363,0.4925604516070026,0.5074395483929974,0.4823380959887718,0.5176619040112281,0.48014524501792505,0.5198547549820749,0.2754554469944665,0.7245445530055336,0.5265519647410667,0.4734480352589333,0.5197413897095587,0.48025861029044126,0.4721972690918181,0.527802730908182,0.2419653452465178,0.7580346547534822,0.479962228859734,0.520037771140266,0.47280390201190065,0.5271960979880994,0.49509010129476605,0.504909898705234,0.2648698095134605,0.7351301904865395,0.49870813665544783,0.5012918633445522,0.455933493086463,0.544066506913537,0.4734352513262718,0.5265647486737283,0.2837417497333854,0.7162582502666146,0.49845621546770913,0.5015437845322909,0.4990155824013276,0.5009844175986724,0.4762750827906048,0.5237249172093952,0.2984324227306936,0.7015675772693064,0.4969511293098519,0.503048870690148,0.48980001699485914,0.5101999830051408,0.4554031537627473,0.5445968462372527
Gallatin County,3003100063C,0.3739807135285628,0.6260192864714372,0.5024211399417599,0.4975788600582401,0.4573378244694734,0.5426621755305265,0.4773494279037436,0.5226505720962564,0.31101718040593646,0.6889828195940636,0.4660445614893843,0.5339554385106158,0.4856563040944291,0.5143436959055708,0.48356860538186375,0.5164313946181363,0.4682092467553897,0.5317907532446102,0.49124410741963537,0.5087558925803646,0.45520141951415255,0.5447985804858474,0.47353820819535974,0.5264617918046403,0.4118887471524077,0.5881112528475924,0.5118095805935262,0.4881904194064738,0.4428379518679108,0.5571620481320892,0.49221821942675487,0.5077817805732451,0.2918343760633323,0.7081656239366677,0.48508829088603234,0.5149117091139677,0.47596928412127876,0.5240307158787212,0.5007877798254534,0.49921222017454653,0.35392680961935435,0.6460731903806456,0.52503117181685,0.47496882818315006,0.5134867117076996,0.48651328829230045,0.47353812887140434,0.5264618711285957,0.3517378636808598,0.6482621363191402,0.48583892744425317,0.5141610725557468,0.47937957441811613,0.5206204255818839,0.5055446896959094,0.4944553103040907,0.36245537590871607,0.6375446240912839,0.496134752295774,0.503865247704226,0.4693231339983309,0.5306768660016691,0.486701769592857,0.513298230407143,0.3679678011437179,0.6320321988562821,0.5013581170050373,0.49864188299496265,0.5089610372581647,0.4910389627418354,0.491927229955682,0.508072770044318,0.386819632859814,0.613180367140186,0.5027649403227593,0.49723505967724074,0.49663363905959856,0.5033663609404014,0.4649172335532646,0.5350827664467355
Gallatin County,3003100064A,0.5677094661288936,0.4322905338711064,0.5007584041851232,0.49924159581487676,0.48099715884157235,0.5190028411584277,0.49154690111524413,0.5084530988847559,0.469605598266488,0.530394401733512,0.4666468276210372,0.5333531723789627,0.504188084259792,0.495811915740208,0.48708236562376517,0.5129176343762348,0.5600139329991551,0.43998606700084486,0.5019541485621063,0.4980458514378937,0.4697740692235126,0.5302259307764874,0.4769403384168758,0.5230596615831242,0.585673553917497,0.4143264460825031,0.5086000021446638,0.49139999785533617,0.4669666909263718,0.5330333090736282,0.5029841830688533,0.4970158169311467,0.43303184242693965,0.5669681575730603,0.4851373799891113,0.5148626200108887,0.4961453255819547,0.5038546744180453,0.4942808098814646,0.5057191901185354,0.5119972682597144,0.4880027317402856,0.5265160230726338,0.4734839769273662,0.5274660199379465,0.4725339800620535,0.48322081089786123,0.5167791891021388,0.5042760063450601,0.4957239936549399,0.4825287015292562,0.5174712984707438,0.4891342263596966,0.5108657736403034,0.5031245332098481,0.496875466790152,0.5306946385711175,0.4693053614288825,0.498233140108439,0.501766859891561,0.4696817014306146,0.5303182985693854,0.4916130459365272,0.5083869540634728,0.538149543482155,0.4618504565178449,0.4961474970322074,0.5038525029677926,0.5095359919911243,0.49046400800887563,0.4952479530092616,0.5047520469907384,0.5577203494751647,0.4422796505248353,0.5041216976301234,0.4958783023698767,0.511593188879383,0.48840681112061696,0.4704720496436871,0.529527950356313
Gallatin County,3003100064B,0.407613011125074,0.592386988874926,0.49581224285474806,0.5041877571452519,0.4675283046416615,0.5324716953583387,0.48740562023526524,0.5125943797647348,0.32540421621732873,0.6745957837826713,0.46811667794679457,0.5318833220532054,0.48274177969914994,0.5172582203008502,0.47368930293311373,0.5263106970668863,0.4899410795370194,0.5100589204629806,0.4955270268982823,0.5044729731017177,0.47128161724007944,0.5287183827599208,0.47070231348893826,0.5292976865110618,0.47656961033865114,0.5234303896613488,0.5086806479254671,0.491319352074533,0.45996736519076126,0.5400326348092389,0.4856971324785597,0.5143028675214403,0.2935085229437618,0.7064914770562382,0.49043850721081167,0.5095614927891884,0.4857185874091937,0.5142814125908065,0.4908494147494745,0.5091505852505255,0.3387309853065046,0.6612690146934954,0.5308267762823031,0.4691732237176969,0.5200925416769543,0.4799074583230459,0.48174737741753704,0.518252622582463,0.33399822252953465,0.6660017774704654,0.4748488037702756,0.5251511962297244,0.48286371846635934,0.5171362815336409,0.5061086112122726,0.4938913887877275,0.3464887730455425,0.6535112269544575,0.49370124439075763,0.5062987556092424,0.46153721447223933,0.538462785527761,0.4908078134771618,0.5091921865228382,0.35178593410374615,0.6482140658962539,0.4987561021077818,0.5012438978922181,0.4959533143776465,0.5040466856223538,0.4798702072089903,0.5201297927910097,0.38337387450939747,0.6166261254906026,0.5046274081670443,0.4953725918329556,0.4997264245698223,0.5002735754301779,0.45787038860253276,0.5421296113974673
Gallatin County,3003100064C,0.6165841699047906,0.38341583009520935,0.49832997370745574,0.5016700262925442,0.46849391277497476,0.5315060872250252,0.4818809432999982,0.5181190567000018,0.5493397630760849,0.4506602369239151,0.4660899091856423,0.5339100908143577,0.49822093410286633,0.5017790658971337,0.4927458037716518,0.5072541962283482,0.693546946483259,0.30645305351674096,0.49394360217433597,0.506056397825664,0.4727584651840874,0.5272415348159126,0.48032944350537665,0.5196705564946233,0.6557453114139483,0.3442546885860517,0.5136116801904711,0.48638831980952885,0.46448377727761386,0.5355162227223862,0.4965424180572131,0.5034575819427869,0.5141125481808774,0.4858874518191226,0.4894557566550143,0.5105442433449857,0.48539861887536623,0.5146013811246337,0.49810382398454484,0.5018961760154552,0.5745613799547691,0.4254386200452309,0.5297370239898823,0.47026297601011763,0.5178749162207553,0.48212508377924473,0.483211883109185,0.516788116890815,0.5616694425645303,0.4383305574354696,0.48059540598796685,0.5194045940120331,0.48603852030392425,0.5139614796960758,0.5044895933535425,0.49551040664645757,0.5701191734337755,0.42988082656622445,0.5004703783094427,0.49952962169055726,0.4651560204943288,0.5348439795056712,0.4912411651770215,0.5087588348229786,0.5870475911898491,0.412952408810151,0.4984874485114891,0.5015125514885109,0.5085353238393586,0.4914646761606414,0.4869015970302317,0.5130984029697683,0.6009592665407983,0.3990407334592017,0.5060027308311488,0.4939972691688512,0.5096531508254669,0.49034684917453314,0.45447534039340165,0.54552465960659835
