county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_white.uss_16_dem_wie,vap_white.uss_16_rep_mor,vap_black.uss_16_dem_wie,vap_black.uss_16_rep_mor,vap_hisp.uss_16_dem_wie,vap_hisp.uss_16_rep_mor,vap_asian.uss_16_dem_wie,vap_asian.uss_16_rep_mor,vap_aian.uss_16_dem_wie,vap_aian.uss_16_rep_mor,vap_oth_b.uss_16_dem_wie,vap_oth_b.uss_16_rep_mor,vap_white.gov_18_dem_kel,vap_white.gov_18_rep_kob,vap_black.gov_18_dem_kel,vap_black.gov_18_rep_kob,vap_hisp.gov_18_dem_kel,vap_hisp.gov_18_rep_kob,vap_asian.gov_18_dem_kel,vap_asian.gov_18_rep_kob,vap_aian.gov_18_dem_kel,vap_aian.gov_18_rep_kob,vap_oth_b.gov_18_dem_kel,vap_oth_b.gov_18_rep_kob,vap_white.atg_18_rep_sch,vap_white.atg_18_dem_swa,vap_black.atg_18_rep_sch,vap_black.atg_18_dem_swa,vap_hisp.atg_18_rep_sch,vap_hisp.atg_18_dem_swa,vap_asian.atg_18_rep_sch,vap_asian.atg_18_dem_swa,vap_aian.atg_18_rep_sch,vap_aian.atg_18_dem_swa,vap_oth_b.atg_18_rep_sch,vap_oth_b.atg_18_dem_swa,vap_white.sos_18_rep_sch,vap_white.sos_18_dem_mcc,vap_black.sos_18_rep_sch,vap_black.sos_18_dem_mcc,vap_hisp.sos_18_rep_sch,vap_hisp.sos_18_dem_mcc,vap_asian.sos_18_rep_sch,vap_asian.sos_18_dem_mcc,vap_aian.sos_18_rep_sch,vap_aian.sos_18_dem_mcc,vap_oth_b.sos_18_rep_sch,vap_oth_b.sos_18_dem_mcc,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_white.uss_20_dem_bol,vap_white.uss_20_rep_mar,vap_black.uss_20_dem_bol,vap_black.uss_20_rep_mar,vap_hisp.uss_20_dem_bol,vap_hisp.uss_20_rep_mar,vap_asian.uss_20_dem_bol,vap_asian.uss_20_rep_mar,vap_aian.uss_20_dem_bol,vap_aian.uss_20_rep_mar,vap_oth_b.uss_20_dem_bol,vap_oth_b.uss_20_rep_mar,vap_white.pre_24_dem_har,vap_white.pre_24_rep_tru,vap_black.pre_24_dem_har,vap_black.pre_24_rep_tru,vap_hisp.pre_24_dem_har,vap_hisp.pre_24_rep_tru,vap_asian.pre_24_dem_har,vap_asian.pre_24_rep_tru,vap_aian.pre_24_dem_har,vap_aian.pre_24_rep_tru,vap_oth_b.pre_24_dem_har,vap_oth_b.pre_24_rep_tru
Allen County,20001000010,0.23289768583401843,0.7671023141659816,0.48779806849746826,0.5122019315025318,0.6003838183739859,0.3996161816260141,0.6216408321295612,0.3783591678704388,0.5089889313884941,0.4910110686115059,0.4088361573602148,0.5911638426397853,0.1573364151657839,0.8426635848342161,0.4952757113287938,0.5047242886712062,0.593430198129164,0.4065698018708361,0.6393166056630328,0.3606833943369672,0.4379534746539175,0.5620465253460825,0.4170124987578304,0.5829875012421696,0.3302523672485166,0.6697476327514834,0.5017970280087221,0.498202971991278,0.6070053676472846,0.39299463235271537,0.6308951472760173,0.36910485272398275,0.5027633661041608,0.4972366338958391,0.3854210083326162,0.6145789916673837,0.8121847528122392,0.18781524718776085,0.4832065690026285,0.5167934309973715,0.5863057408828675,0.41369425911713253,0.6183180368913177,0.3816819631086823,0.4926303872549344,0.5073696127450655,0.3765974207305447,0.6234025792694553,0.777559809571599,0.22244019042840105,0.46942976475332937,0.5305702352466707,0.5670632014006148,0.4329367985993852,0.6261936083168272,0.3738063916831728,0.4933183161849637,0.5066816838150363,0.389954276449631,0.610045723550369,0.1862385156550675,0.8137614843449326,0.4973602876114874,0.5026397123885126,0.606145155761886,0.393854844238114,0.6190306277583764,0.3809693722416236,0.510167363878139,0.48983263612186095,0.412264053222986,0.587735946777014,0.20383320319795403,0.7961667968020459,0.4912659307081859,0.5087340692918141,0.600952661020724,0.399047338979276,0.6224136037291932,0.3775863962708068,0.4982359572151998,0.5017640427848001,0.4077596893423075,0.5922403106576926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen County,20001000020,0.13023522675711255,0.8697647732428875,0.4822485428686533,0.5177514571313467,0.5946838574167893,0.4053161425832107,0.6193186969782375,0.38068130302176256,0.5062688553402486,0.4937311446597514,0.3950378292362854,0.6049621707637146,0.09238742307508926,0.9076125769249108,0.48865780130287106,0.5113421986971289,0.5906781737893342,0.4093218262106659,0.6387224412624758,0.3612775587375242,0.4341102321129689,0.5658897678870312,0.41836848613005617,0.5816315138699438,0.40445819760832186,0.5955418023916782,0.4997559608539369,0.5002440391460631,0.59947805433408,0.40052194566592,0.6246399139269937,0.3753600860730063,0.5014072367895246,0.4985927632104754,0.3956652535333028,0.6043347464666972,0.7822514226211347,0.21774857737886535,0.4784760295114311,0.5215239704885689,0.5830872421125466,0.41691275788745347,0.6180995563027029,0.3819004436972972,0.4995056941418488,0.5004943058581512,0.3765268211089049,0.6234731788910951,0.7322236393012975,0.26777636069870253,0.4676282179025678,0.5323717820974322,0.5655989558309766,0.4344010441690234,0.6289006337437265,0.37109936625627354,0.4986833949710322,0.5013166050289678,0.3884813233302917,0.6115186766697083,0.13225433128629566,0.8677456687137044,0.49699465901534423,0.5030053409846558,0.5969084542844919,0.403091545715508,0.6288587916371352,0.3711412083628648,0.5088086233512463,0.4911913766487537,0.40732886979773225,0.5926711302022677,0.20202859633488723,0.7979714036651128,0.49559976922629606,0.5044002307737039,0.5970026670917512,0.4029973329082489,0.6214227536665141,0.3785772463334859,0.4859882507171122,0.5140117492828877,0.403587400981413,0.596412599018587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen County,20001000030,0.15743382251712393,0.8425661774828761,0.4851780037270435,0.5148219962729564,0.6059589053295109,0.3940410946704891,0.6202266941446914,0.37977330585530855,0.49867742243086893,0.5013225775691311,0.39911285583310535,0.6008871441668947,0.13709108729256125,0.8629089127074387,0.497640202733382,0.5023597972666181,0.6016651416299142,0.3983348583700856,0.6420532562425594,0.3579467437574406,0.4308123829335556,0.5691876170664444,0.4183863253149229,0.5816136746850771,0.36091464107305127,0.6390853589269487,0.5001566663327406,0.4998433336672594,0.5997236488661751,0.4002763511338247,0.6331057236930124,0.3668942763069876,0.5071759234614432,0.4928240765385568,0.3935121865574744,0.6064878134425256,0.8487423492586885,0.15125765074131145,0.4872513403751832,0.5127486596248169,0.5883369286278629,0.4116630713721371,0.6183707145329457,0.3816292854670543,0.5055438581928224,0.4944561418071775,0.385839167106396,0.614160832893604,0.8188246097205488,0.1811753902794512,0.47611140185347073,0.5238885981465293,0.5681298029086712,0.4318701970913285,0.6264197891876665,0.3735802108123336,0.5111049721543517,0.4888950278456483,0.39890898558699583,0.6010910144130042,0.14217529700788226,0.8578247029921178,0.4956562349123042,0.50434376508769585,0.6061991106258767,0.39380088937412305,0.6256580074056328,0.3743419925943672,0.5033058275683193,0.4966941724316806,0.39672431517884,0.60327568482116,0.15662689223695866,0.8433731077630413,0.4996370602501595,0.5003629397498405,0.6006993641468652,0.3993006358531348,0.6257268046987656,0.3742731953012343,0.49148141243077886,0.5085185875692212,0.39714643222336954,0.6028535677766305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen County,20001000040,0.21503079151571955,0.7849692084842804,0.4870456341077141,0.5129543658922859,0.6004783123414243,0.39952168765857565,0.6204137540708886,0.3795862459291114,0.5030976883633131,0.4969023116366868,0.4060074372525765,0.5939925627474235,0.19931721785057757,0.8006827821494225,0.5010096919762723,0.4989903080237277,0.6015988435408405,0.3984011564591595,0.6367823706399895,0.3632176293600105,0.4426896409951703,0.5573103590048297,0.4191083508093884,0.5808916491906115,0.3351163625445586,0.6648836374554414,0.49844308231753776,0.5015569176824622,0.600439302419171,0.39956069758082896,0.6330746858470319,0.36692531415296814,0.5015753368613401,0.4984246631386599,0.39541327234480395,0.604586727655196,0.7980459124479529,0.2019540875520471,0.478991106872556,0.521008893127444,0.5809188280234614,0.41908117197653855,0.6204027928371353,0.3795972071628647,0.5038449580264664,0.4961550419735335,0.3774328787489547,0.6225671212510452,0.7373018153700281,0.2626981846299719,0.4621707389894153,0.5378292610105847,0.5692285205588297,0.4307714794411703,0.6295020593164973,0.3704979406835027,0.49944273134147527,0.5005572686585247,0.39160964391075215,0.6083903560892479,0.14396653593823608,0.856033464061764,0.4978193284878112,0.5021806715121888,0.6060957087600337,0.3939042912399663,0.6236481749471181,0.3763518250528819,0.5051393145157332,0.4948606854842667,0.40548994775461544,0.5945100522453846,0.1842682826399164,0.8157317173600837,0.48987232856643576,0.5101276714335642,0.6027253343390756,0.3972746656609244,0.6238344074513591,0.3761655925486409,0.498228011833654,0.5017719881663459,0.4077155208842216,0.5922844791157783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen County,20001000050,0.16803321738267432,0.8319667826173257,0.4860837910624676,0.5139162089375324,0.6063297294027842,0.39367027059721577,0.6146825832832059,0.3853174167167941,0.497421066716049,0.502578933283951,0.3945269519299455,0.6054730480700542,0.16399946905307333,0.8360005309469266,0.49920999430787455,0.5007900056921254,0.5969269102432726,0.4030730897567274,0.6401173294360845,0.3598826705639156,0.4412339547395195,0.5587660452604805,0.4141372662950045,0.5858627337049952,0.2639034244864839,0.7360965755135161,0.5098913471048862,0.4901086528951138,0.5993562459731419,0.4006437540268582,0.6308025444459531,0.3691974555540467,0.49803812267210146,0.5019618773278985,0.3717480770137811,0.6282519229862187,0.8453720762441979,0.15462792375580212,0.4812667585452052,0.5187332414547947,0.5796433361177735,0.4203566638822265,0.6203785052643763,0.37962149473562345,0.5060064268859773,0.49399357311402264,0.39132638785670865,0.6086736121432912,0.809903729098702,0.1900962709012979,0.4695250183043216,0.5304749816956784,0.5712844410374938,0.42871555896250624,0.6270061657883752,0.3729938342116248,0.5064074389697587,0.4935925610302413,0.4048778211545175,0.5951221788454824,0.1313649645538281,0.8686350354461719,0.49902347570433286,0.5009765242956671,0.6045783613773046,0.3954216386226954,0.6263013659245911,0.3736986340754089,0.5019200247933333,0.4980799752066667,0.3833648816619802,0.6166351183380196,0.15772972387151313,0.8422702761284868,0.4927992107729702,0.5072007892270298,0.5990045202884733,0.4009954797115268,0.6276535970915876,0.3723464029084121,0.4920926810845018,0.5079073189154982,0.38669276754270027,0.6133072324572996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen County,2000100006A,0.20759450066491805,0.7924054993350822,0.4827766530139565,0.5172233469860436,0.6097746741848202,0.39022532581517977,0.6146732782313743,0.3853267217686257,0.5081587626386705,0.4918412373613295,0.4054939268883151,0.5945060731116849,0.14642696202093505,0.8535730379790651,0.5014182528638769,0.4985817471361232,0.5957232683691429,0.40427673163085703,0.6386944446743504,0.3613055553256495,0.4360390948158519,0.5639609051841481,0.4113298450902339,0.588670154909766,0.3731801725399563,0.6268198274600439,0.4990165946333203,0.5009834053666797,0.6040821189703451,0.3959178810296549,0.637343854795346,0.36265614520465395,0.5051295979911348,0.4948704020088652,0.398865656155256,0.601134343844744,0.7837556028815468,0.21624439711845345,0.48447912173525104,0.5155208782647489,0.5859026730000215,0.4140973269999785,0.6212791647556088,0.3787208352443911,0.49341170619222585,0.5065882938077741,0.37975019036290536,0.6202498096370946,0.7478493987672618,0.2521506012327385,0.4695010248945699,0.5304989751054301,0.5669651225549708,0.4330348774450292,0.6320049615636264,0.36799503843637366,0.4996168227119638,0.5003831772880362,0.389498632932496,0.610501367067504,0.1602371118084552,0.839762888191545,0.5064729892668499,0.4935270107331501,0.6062627277582705,0.39373727224172944,0.6260422212463137,0.37395777875368624,0.5062340805290239,0.4937659194709762,0.4082792689221343,0.5917207310778657,0.18435459306818844,0.8156454069318118,0.48942945176310154,0.5105705482368985,0.5940294901536814,0.4059705098463186,0.6198586954781766,0.38014130452182343,0.4922321277129735,0.5077678722870265,0.4046990096901183,0.5953009903098816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen County,2000100006D,0.48047488657082144,0.5195251134291785,0.4532411669997391,0.5467588330002608,0.7833183547739249,0.21668164522607505,0.8758108841217398,0.12418911587826025,0.505960677208656,0.49403932279134394,0.1729474648473518,0.8270525351526481,0.48047488657082144,0.5195251134291785,0.4532411669997391,0.5467588330002608,0.7833183547739249,0.21668164522607505,0.8758108841217398,0.12418911587826025,0.505960677208656,0.49403932279134394,0.1729474648473518,0.8270525351526481,0.48047488657082144,0.5195251134291785,0.4532411669997391,0.5467588330002608,0.7833183547739249,0.21668164522607505,0.8758108841217398,0.12418911587826025,0.505960677208656,0.49403932279134394,0.1729474648473518,0.8270525351526481,0.48047488657082144,0.5195251134291785,0.4532411669997391,0.5467588330002608,0.7833183547739249,0.21668164522607505,0.8758108841217398,0.12418911587826025,0.505960677208656,0.49403932279134394,0.1729474648473518,0.8270525351526481,0.48047488657082144,0.5195251134291785,0.4532411669997391,0.5467588330002608,0.7833183547739249,0.21668164522607505,0.8758108841217398,0.12418911587826025,0.505960677208656,0.49403932279134394,0.1729474648473518,0.8270525351526481,0.48047488657082144,0.5195251134291785,0.4532411669997391,0.5467588330002608,0.7833183547739249,0.21668164522607505,0.8758108841217398,0.12418911587826025,0.505960677208656,0.49403932279134394,0.1729474648473518,0.8270525351526481,0.48047488657082144,0.5195251134291785,0.4532411669997391,0.5467588330002608,0.7833183547739249,0.21668164522607505,0.8758108841217398,0.12418911587826025,0.505960677208656,0.49403932279134394,0.1729474648473518,0.8270525351526481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen County,20001000070,0.3152501280754859,0.6847498719245141,0.4903183571161377,0.5096816428838623,0.6193685011956321,0.3806314988043679,0.6192576248183452,0.3807423751816548,0.5121411689415853,0.4878588310584147,0.406988332150463,0.5930116678495371,0.2706810117332032,0.7293189882667969,0.4991910173735419,0.5008089826264581,0.6181890397562807,0.38181096024371936,0.6310059247958082,0.36899407520419186,0.4419933982431948,0.5580066017568053,0.41531145037068207,0.5846885496293177,0.5045050216791045,0.49549497832089545,0.5090852140815907,0.49091478591840926,0.6182502814534948,0.38174971854650513,0.624865580697353,0.375134419302647,0.5058727256410636,0.4941272743589365,0.3969810452533298,0.60301895474667,0.6445836113435274,0.3554163886564727,0.4773559033900833,0.5226440966099166,0.5728956114008583,0.4271043885991416,0.617144891980052,0.382855108019948,0.49934166271625585,0.5006583372837441,0.37244600289751767,0.627553997102482,0.6252534918878796,0.37474650811212035,0.4618135544131042,0.5381864455868958,0.5546676024445292,0.4453323975554708,0.6264549448992761,0.3735450551007239,0.4963884594026278,0.5036115405973722,0.3817691905414876,0.6182308094585122,0.2969886551238837,0.7030113448761163,0.5032439452236694,0.49675605477633056,0.6211389671099157,0.3788610328900844,0.621298909426758,0.3787010905732419,0.505935480967656,0.494064519032344,0.4145204125554498,0.58547958744455,0.349874452495543,0.650125547504457,0.49682175973523496,0.5031782402647651,0.6168964683072397,0.3831035316927604,0.6251502399817062,0.3748497600182939,0.5003909176697463,0.4996090823302537,0.4101395804589166,0.5898604195410834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen County,20001000080,0.3052534547357452,0.6947465452642547,0.4836748466950995,0.5163251533049005,0.6107468941079287,0.3892531058920713,0.6234474822051439,0.3765525177948561,0.50749332137724,0.49250667862276015,0.4038165097533545,0.5961834902466455,0.21384447736013132,0.7861555226398687,0.4918439176212224,0.5081560823787776,0.6094119941982803,0.3905880058017197,0.6368363462890512,0.3631636537109489,0.4367278339505337,0.5632721660494665,0.42581752243013926,0.5741824775698607,0.4597393556270422,0.5402606443729578,0.5031128202526806,0.49688717974731944,0.6064052484497102,0.3935947515502897,0.6277346363697275,0.37226536363027246,0.5013707724494184,0.4986292275505818,0.39647764029174704,0.603522359708253,0.7613198280061477,0.23868017199385225,0.4749319237250663,0.5250680762749337,0.5829437211758902,0.4170562788241098,0.6210015315547924,0.3789984684452076,0.49543558430023094,0.5045644156997693,0.3723653650450763,0.6276346349549237,0.6773348018128912,0.32266519818710876,0.470932822478147,0.529067177521853,0.5609363440779356,0.4390636559220645,0.6242934223936721,0.37570657760632786,0.4984305001402906,0.5015694998597097,0.38494789962616294,0.6150521003738371,0.300138928305541,0.699861071694459,0.4988075689386372,0.5011924310613628,0.6110935910636729,0.3889064089363272,0.6267203674416855,0.37327963255831453,0.5065437254188209,0.4934562745811794,0.4155907369300806,0.5844092630699195,0.3288734644861192,0.6711265355138808,0.4913561271612816,0.5086438728387184,0.6075695446261073,0.3924304553738927,0.6276240511739415,0.37237594882605857,0.4934504997794998,0.5065495002205004,0.416340052449622,0.583659947550378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen County,20001000130,0.24766089304280756,0.7523391069571924,0.4849365858255564,0.5150634141744436,0.6062197716449714,0.39378022835502857,0.6233501068312588,0.3766498931687412,0.50995311484511,0.49004688515489,0.4097808136156409,0.5902191863843591,0.14828450333878015,0.8517154966612198,0.49644582859310366,0.5035541714068963,0.6001409507685833,0.39985904923141674,0.6339933265906764,0.3660066734093236,0.44131098340387415,0.5586890165961258,0.41301429095242864,0.5869857090475713,0.3899193042153361,0.610080695784664,0.496177527103509,0.5038224728964911,0.5987449182395651,0.4012550817604349,0.6354700932362028,0.3645299067637971,0.5011122712112751,0.4988877287887249,0.3985691898025692,0.6014308101974308,0.8185669112581122,0.18143308874188777,0.48301664213699647,0.5169833578630035,0.5911280989249149,0.40887190107508514,0.6200149376340163,0.3799850623659838,0.5030388038344615,0.49696119616553847,0.37916125470834944,0.6208387452916505,0.7739025190960879,0.22609748090391213,0.46367572902932175,0.5363242709706783,0.5665327974840318,0.4334672025159682,0.6201846407641486,0.3798153592358514,0.5023792873888666,0.4976207126111334,0.39246238335513817,0.6075376166448618,0.19922978465962185,0.8007702153403782,0.5018192834651707,0.4981807165348293,0.6087044079750645,0.3912955920249354,0.6223859093919151,0.377614090608085,0.5031694072198417,0.49683059278015834,0.4048729274838246,0.5951270725161754,0.2512699855967732,0.7487300144032268,0.4910599565170772,0.5089400434829229,0.5998958131475745,0.40010418685242555,0.6289936156656858,0.3710063843343142,0.5004271168400597,0.4995728831599403,0.4152222128339782,0.5847777871660218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
