county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.uss_16_rep_mur,vap_white.uss_16_dem_met,vap_black.uss_16_rep_mur,vap_black.uss_16_dem_met,vap_hisp.uss_16_rep_mur,vap_hisp.uss_16_dem_met,vap_asian.uss_16_rep_mur,vap_asian.uss_16_dem_met,vap_aian.uss_16_rep_mur,vap_aian.uss_16_dem_met,vap_oth_b.uss_16_rep_mur,vap_oth_b.uss_16_dem_met,vap_white.gov_18_rep_dun,vap_white.gov_18_dem_beg,vap_black.gov_18_rep_dun,vap_black.gov_18_dem_beg,vap_hisp.gov_18_rep_dun,vap_hisp.gov_18_dem_beg,vap_asian.gov_18_rep_dun,vap_asian.gov_18_dem_beg,vap_aian.gov_18_rep_dun,vap_aian.gov_18_dem_beg,vap_oth_b.gov_18_rep_dun,vap_oth_b.gov_18_dem_beg,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_white.uss_20_rep_sul,vap_white.uss_20_dem_gro,vap_black.uss_20_rep_sul,vap_black.uss_20_dem_gro,vap_hisp.uss_20_rep_sul,vap_hisp.uss_20_dem_gro,vap_asian.uss_20_rep_sul,vap_asian.uss_20_dem_gro,vap_aian.uss_20_rep_sul,vap_aian.uss_20_dem_gro,vap_oth_b.uss_20_rep_sul,vap_oth_b.uss_20_dem_gro
22,0219835-740,0.7491921452689044,0.2508078547310956,0.4866792203534781,0.5133207796465219,0.494340971125825,0.505659028874175,0.5061398485798598,0.49386015142014017,0.35191422570652525,0.6480857742934748,0.5183094189927562,0.4816905810072438,0.8614351270753664,0.13856487292463363,0.5070843974784135,0.49291560252158645,0.5116541103497085,0.48834588965029146,0.5191315581356022,0.48086844186439787,0.8460792833114497,0.15392071668855037,0.5476927345191146,0.45230726548088546,0.6941733091748256,0.30582669082517444,0.49714966481514455,0.5028503351848554,0.4954650969151432,0.5045349030848568,0.5075211666940685,0.4924788333059315,0.3215211014800876,0.6784788985199124,0.49415998226629326,0.5058400177337068,0.7027520004655774,0.29724799953442266,0.4944655255493415,0.5055344744506585,0.5033857547052984,0.4966142452947015,0.49800639119722456,0.5019936088027754,0.22163881801209873,0.7783611819879013,0.5060893293115787,0.4939106706884213,0.60611633614668,0.39388366385331997,0.5093704077893023,0.4906295922106977,0.5054487883872939,0.49455121161270615,0.4996559788725501,0.5003440211274499,0.24622217358098894,0.753777826419011,0.500990979588088,0.499009020411912
22,0219835-745,0.6925006860940857,0.30749931390591434,0.48197050169963285,0.5180294983003672,0.4933636861621601,0.5066363138378399,0.5006490219024033,0.49935097809759643,0.3595396684202602,0.6404603315797398,0.5033083560357458,0.4966916439642543,0.7103967974039043,0.28960320259609573,0.504440559081501,0.49555944091849896,0.49886683385279174,0.5011331661472083,0.5105081729191171,0.48949182708088274,0.7090536338876539,0.29094636611234614,0.5085213193828039,0.4914786806171962,0.6850138195163687,0.31498618048363125,0.48910527279003563,0.5108947272099644,0.49134441053193123,0.5086555894680688,0.5027492764278564,0.4972507235721434,0.31036056658764377,0.6896394334123562,0.49246785814135596,0.5075321418586438,0.7324541291213583,0.26754587087864173,0.49281875385684615,0.5071812461431539,0.5059839054867746,0.49401609451322537,0.4933738611006535,0.5066261388993463,0.2621199539036185,0.7378800460963816,0.5003391665265314,0.49966083347346835,0.7189462873526985,0.2810537126473015,0.5078404675989137,0.49215953240108634,0.5074980044443839,0.4925019955556161,0.502380919078506,0.4976190809214938,0.29452442004403084,0.7054755799559691,0.5030744604320869,0.49692553956791286
22,0219835-760,0.6513315994622253,0.3486684005377749,0.48288466763847726,0.5171153323615227,0.49569075916593114,0.5043092408340689,0.4978239081515618,0.5021760918484383,0.3551932086335207,0.6448067913664792,0.4936326666288581,0.5063673333711419,0.6642061504208551,0.33579384957914515,0.5044437520094568,0.4955562479905432,0.5033187039172575,0.4966812960827425,0.5131725358313565,0.48682746416864353,0.7005871166804609,0.29941288331953914,0.5014767713179411,0.4985232286820589,0.4258098662333484,0.5741901337666518,0.49462724403860864,0.5053727559613914,0.4864874720501537,0.5135125279498463,0.5071186891393288,0.4928813108606712,0.3103296920936393,0.6896703079063607,0.47966253347331944,0.5203374665266806,0.4531265727431518,0.5468734272568484,0.49276646956038944,0.5072335304396106,0.5067924844250705,0.4932075155749295,0.49642860771087804,0.503571392289122,0.2544303394424839,0.7455696605575161,0.4811207460461011,0.5188792539538989,0.4111453207437071,0.5888546792562932,0.5072692231495249,0.49273077685047506,0.5068555077055034,0.4931444922944966,0.5065611855685502,0.4934388144314498,0.2913336817599759,0.7086663182400241,0.4863997909009415,0.5136002090990585
22,0219835-780,0.9421785319398066,0.057821468060193344,0.48135402711166586,0.5186459728883341,0.5030369027302747,0.4969630972697253,0.5035552520982037,0.4964447479017962,0.38037409366214314,0.6196259063378569,0.5448921834564694,0.45510781654353066,0.9061189458255529,0.09388105417444717,0.5002356016243846,0.4997643983756153,0.5054925570733754,0.4945074429266246,0.5085067175050997,0.4914932824949003,0.7078097441384595,0.29219025586154046,0.5210886214994451,0.47891137850055493,0.8417927020599038,0.15820729794009625,0.4955405551512476,0.5044594448487524,0.49949360242325375,0.5005063975767462,0.5075230539799591,0.4924769460200409,0.32281428749068863,0.6771857125093114,0.4946938368952496,0.5053061631047504,0.875776842020104,0.12422315797989605,0.4883681625545943,0.5116318374454057,0.5129589868564208,0.4870410131435792,0.4938585468079047,0.5061414531920954,0.2698265937551404,0.7301734062448596,0.5073142225973837,0.4926857774026163,0.8769175304039099,0.12308246959609011,0.5080896340151039,0.49191036598489607,0.5072833507940278,0.4927166492059722,0.5095201521601185,0.49047984783988147,0.3190149964434031,0.680985003556597,0.5180650237189193,0.4819349762810807
22,0219836-670,0.6825897914024267,0.3174102085975733,0.4827609768524229,0.5172390231475771,0.49689067595012426,0.5031093240498757,0.4998652564689939,0.5001347435310061,0.36302349642957416,0.6369765035704259,0.49749117142852334,0.5025088285714764,0.8588791395550297,0.14112086044497027,0.5057281629633896,0.49427183703661043,0.5056085932835566,0.49439140671644344,0.5095633940515895,0.49043660594841054,0.70631811612751,0.29368188387249,0.5210407569073083,0.4789592430926916,0.6198185629801124,0.38018143701988766,0.4951457605348202,0.5048542394651798,0.4902115422209319,0.5097884577790681,0.5052805905321984,0.4947194094678015,0.3160856648924762,0.6839143351075239,0.4881262841463108,0.511873715853689,0.6644051497724374,0.33559485022756264,0.48691811621900194,0.5130818837809981,0.5112344331153994,0.4887655668846006,0.4960630655090901,0.5039369344909099,0.26288707281771556,0.7371129271822844,0.498845228577872,0.5011547714221279,0.6511671494381507,0.3488328505618494,0.4984096765448081,0.5015903234551918,0.5069190306451702,0.49308096935482987,0.5039192051080577,0.49608079489194234,0.28996628905159993,0.7100337109484001,0.5046955773162983,0.4953044226837015
22,0219836-675,0.6553295785783199,0.3446704214216802,0.48260231336878406,0.517397686631216,0.48489939820235345,0.5151006017976466,0.5019552453610813,0.4980447546389188,0.08890306816029983,0.9110969318397004,0.48561388409506473,0.5143861159049352,0.7209934832827589,0.279006516717241,0.5011283221099335,0.4988716778900665,0.49752143068840676,0.5024785693115933,0.514447600261736,0.48555239973826403,0.6100051798057174,0.3899948201942828,0.5073480962338395,0.4926519037661605,0.6137554360397957,0.3862445639602044,0.4947829124905479,0.5052170875094522,0.4908776767731529,0.5091223232268471,0.510986264974361,0.489013735025639,0.10957829041012301,0.8904217095898772,0.48786572816328655,0.5121342718367135,0.5867896251308111,0.41321037486918893,0.48781890263931726,0.5121810973606827,0.49379155038556044,0.5062084496144396,0.4920569626018459,0.507943037398154,0.04568169115262876,0.9543183088473715,0.4688990241317669,0.5311009758682331,0.5593805847405757,0.4406194152594243,0.507850192719854,0.49214980728014607,0.5001869492622276,0.4998130507377724,0.5026431432343225,0.49735685676567754,0.07210671283823993,0.9278932871617603,0.48414552346083894,0.51585447653916106
22,0219836-680,0.683511646719666,0.316488353280334,0.482647850611566,0.517352149388434,0.49601673016137215,0.5039832698386278,0.5034849949953166,0.4965150050046834,0.3271757550509145,0.6728242449490855,0.5201090051664362,0.47989099483356384,0.7518571827135738,0.24814281728642623,0.5042145419910569,0.4957854580089431,0.5061743032341318,0.4938256967658682,0.5077896033644792,0.49221039663552085,0.9133362342401812,0.0866637657598188,0.5308349855522342,0.46916501444776576,0.6357762052487317,0.36422379475126837,0.4953990892171672,0.5046009107828328,0.4956772582103475,0.5043227417896524,0.4999738318129003,0.5000261681870997,0.34562472139499545,0.6543752786050046,0.5084561205953433,0.49154387940465666,0.6439261838475437,0.3560738161524562,0.48707571627547475,0.5129242837245253,0.5084242600511382,0.4915757399488618,0.48805497050250607,0.511945029497494,0.15445756246332829,0.8455424375366717,0.5149501729524395,0.48504982704756044,0.5974966546092553,0.4025033453907448,0.505218617750317,0.49478138224968304,0.5079811863463003,0.49201881365369965,0.5069437691346659,0.49305623086533407,0.20967825085185182,0.7903217491481482,0.5154976707010033,0.4845023292989967
23,0222035-765,0.4960803703134876,0.5039196296865124,0.49864824661466295,0.501351753385337,0.5025371715338617,0.49746282846613826,0.49920775021571673,0.5007922497842833,0.5230319348178812,0.47696806518211876,0.5079508870455766,0.4920491129544235,0.8446907524575065,0.15530924754249348,0.5062714495313814,0.4937285504686186,0.5026157456596648,0.4973842543403352,0.514026776215734,0.485973223784266,0.5254744739520534,0.4745255260479466,0.534471813095012,0.465528186904988,0.3735389506996198,0.6264610493003802,0.4966319467875134,0.5033680532124866,0.4998159581076234,0.5001840418923765,0.49896649630599893,0.501033503694001,0.47526636476030815,0.5247336352396919,0.4821742623539128,0.5178257376460872,0.4270553923467474,0.5729446076532526,0.48831758288421445,0.5116824171157855,0.49082025240502225,0.5091797475949777,0.486125382376108,0.513874617623892,0.5312430769201593,0.4687569230798407,0.5158422797243455,0.4841577202756545,0.3892525774735754,0.6107474225264247,0.4978882300720044,0.5021117699279956,0.4949166572008566,0.5050833427991435,0.5098355964452779,0.49016440355472213,0.4969167879061159,0.5030832120938842,0.4952839107392288,0.5047160892607712
23,0222035-770,0.3672433842537795,0.6327566157462206,0.509298585882381,0.49070141411761903,0.5057634499760988,0.4942365500239012,0.49227809930216754,0.5077219006978325,0.5123627916501775,0.48763720834982244,0.4964863738407138,0.5035136261592862,0.8076169826793465,0.19238301732065358,0.504455315594731,0.49554468440526894,0.5012265079231512,0.49877349207684885,0.5209375409034308,0.47906245909656925,0.5085477370163498,0.4914522629836502,0.5160134542635825,0.48398654573641753,0.295111961342855,0.704888038657145,0.4900291890573764,0.5099708109426236,0.49142959191452584,0.5085704080854742,0.4981782676306527,0.5018217323693472,0.4637834234519909,0.536216576548009,0.4922490554484742,0.5077509445515258,0.405955098819027,0.594044901180973,0.49534880635282763,0.5046511936471724,0.4867685476231662,0.5132314523768338,0.49004003429072635,0.5099599657092736,0.5176213591444436,0.4823786408555563,0.5041955966587274,0.4958044033412726,0.38373547515547723,0.6162645248445228,0.4995697800623577,0.5004302199376423,0.4985193625242701,0.5014806374757299,0.5080826539152618,0.49191734608473825,0.5060047987873265,0.4939952012126735,0.5068150502479304,0.49318494975206956
24,0224006-015,0.8057649718577609,0.1942350281422392,0.49456108644347424,0.5054389135565258,0.49000107818044436,0.5099989218195556,0.5024001896171361,0.4975998103828639,0.31200637748626614,0.6879936225137339,0.49972198067929297,0.500278019320707,0.9153170362828739,0.08468296371712614,0.4922736189671303,0.5077263810328697,0.5295583836270421,0.47044161637295784,0.49620643958842,0.50379356041158,0.7449949940508744,0.2550050059491256,0.5310766006508433,0.4689233993491567,0.8009692688841744,0.1990307311158256,0.49496441264545027,0.5050355873545498,0.507060139503791,0.492939860496209,0.50596569807505,0.49403430192495,0.316369035256213,0.6836309647437869,0.4909283282281127,0.5090716717718873,0.7785922827248423,0.2214077172751577,0.4812365734435917,0.5187634265564083,0.5451717494444714,0.45482825055552856,0.48127079937900696,0.518729200620993,0.424186161828457,0.5758138381715431,0.5468561359769045,0.4531438640230955,0.8113387723106102,0.18866122768938978,0.5059944276526368,0.4940055723473632,0.5173449898241306,0.4826550101758694,0.497089719950263,0.5029102800497369,0.442833091558208,0.5571669084417921,0.5177561279997834,0.4822438720002165
