county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_white.uss_16_dem_sch,vap_white.uss_16_rep_car,vap_black.uss_16_dem_sch,vap_black.uss_16_rep_car,vap_hisp.uss_16_dem_sch,vap_hisp.uss_16_rep_car,vap_asian.uss_16_dem_sch,vap_asian.uss_16_rep_car,vap_aian.uss_16_dem_sch,vap_aian.uss_16_rep_car,vap_oth_b.uss_16_dem_sch,vap_oth_b.uss_16_rep_car,vap_white.uss_18_dem_hir,vap_white.uss_18_rep_cur,vap_black.uss_18_dem_hir,vap_black.uss_18_rep_cur,vap_hisp.uss_18_dem_hir,vap_hisp.uss_18_rep_cur,vap_asian.uss_18_dem_hir,vap_asian.uss_18_rep_cur,vap_aian.uss_18_dem_hir,vap_aian.uss_18_rep_cur,vap_oth_b.uss_18_dem_hir,vap_oth_b.uss_18_rep_cur,vap_white.gov_18_dem_ige,vap_white.gov_18_rep_tup,vap_black.gov_18_dem_ige,vap_black.gov_18_rep_tup,vap_hisp.gov_18_dem_ige,vap_hisp.gov_18_rep_tup,vap_asian.gov_18_dem_ige,vap_asian.gov_18_rep_tup,vap_aian.gov_18_dem_ige,vap_aian.gov_18_rep_tup,vap_oth_b.gov_18_dem_ige,vap_oth_b.gov_18_rep_tup,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru
Hawaii County,15001020100,0.6226373298785498,0.3773626701214502,0.5210059354775799,0.4789940645224201,0.5209494473140347,0.47905055268596525,0.8274698707083328,0.1725301292916672,0.5048129682404907,0.4951870317595093,0.837899574741932,0.162100425258068,0.7401288827083645,0.2598711172916355,0.500086854751608,0.4999131452483921,0.5545671810591123,0.4454328189408877,0.89193838118962,0.10806161881037998,0.5072086415146396,0.4927913584853603,0.9284542771448023,0.07154572285519771,0.7038291603613502,0.2961708396386497,0.5132337485867939,0.486766251413206,0.4577416463881855,0.5422583536118145,0.8720027004674646,0.12799729953253539,0.5040893376492436,0.49591066235075637,0.8640376533509092,0.1359623466490908,0.6886513246164836,0.31134867538351646,0.4927160044533377,0.5072839955466624,0.48931535413532284,0.5106846458646771,0.8442796044523281,0.15572039554767195,0.4960103910767255,0.5039896089232745,0.7419152200431401,0.25808477995685986,0.6660289827985159,0.3339710172014842,0.48383860878429313,0.5161613912157069,0.45999674178851196,0.5400032582114881,0.8224330192843341,0.1775669807156659,0.47461828798008887,0.5253817120199111,0.8151524214268467,0.18484757857315323
Hawaii County,15001020202,0.597198699429309,0.40280130057069097,0.5163774443746788,0.48362255562532114,0.5089975837590132,0.4910024162409868,0.827642616389004,0.17235738361099595,0.5079021173377808,0.49209788266221915,0.8598600542751311,0.14013994572486893,0.7490066678721516,0.2509933321278483,0.5033886322294029,0.49661136777059717,0.5543178443350917,0.44568215566490826,0.8977939916939609,0.10220600830603911,0.5062606866436196,0.4937393133563804,0.9426696259096635,0.05733037409033649,0.6937432293014343,0.3062567706985657,0.5078714123914797,0.49212858760852035,0.44789481141619125,0.5521051885838087,0.8671640324427398,0.13283596755726024,0.5108262744093655,0.48917372559063454,0.8861060098517527,0.11389399014824726,0.691112900597206,0.308887099402794,0.49561739721845205,0.5043826027815479,0.4927292049305159,0.5072707950694841,0.8437579581779429,0.15624204182205714,0.4896065388527732,0.5103934611472267,0.7317628944506384,0.2682371055493617,0.6342186320031872,0.3657813679968129,0.48735802500413145,0.5126419749958686,0.44159039531465216,0.5584096046853478,0.8290200147306297,0.17097998526937028,0.4803091478389122,0.5196908521610878,0.818473259675949,0.18152674032405103
Hawaii County,15001020300,0.6592964608195155,0.34070353918048446,0.520749746609868,0.4792502533901321,0.5373270446440044,0.46267295535599556,0.824852930959594,0.17514706904040597,0.5037811412694534,0.4962188587305466,0.8692968016590203,0.13070319834097968,0.777110130445645,0.222889869554355,0.5045789531548871,0.49542104684511296,0.5794630980641424,0.4205369019358574,0.8948478986551354,0.10515210134486462,0.5078326401815708,0.49216735981842924,0.9444930252918159,0.05550697470818409,0.7389407540910204,0.2610592459089795,0.5074692141653772,0.49253078583462284,0.4743624472516525,0.5256375527483473,0.8627453230101192,0.13725467698988086,0.509554326724685,0.490445673275315,0.8941819307847688,0.10581806921523114,0.725999884666815,0.274000115333185,0.5014591044450722,0.4985408955549277,0.5108187697565971,0.48918123024340293,0.8409864797564968,0.15901352024350324,0.4993778061582811,0.5006221938417189,0.7875228387656429,0.2124771612343571,0.6801448413067384,0.3198551586932616,0.4882744503619216,0.5117255496380785,0.4742928239690743,0.5257071760309255,0.8209925558630741,0.17900744413692588,0.47874608299563004,0.52125391700437,0.8407867597525718,0.1592132402474282
Hawaii County,15001020400,0.6259477480164045,0.3740522519835955,0.521742862442973,0.478257137557027,0.5351477566675598,0.4648522433324402,0.8480867470749749,0.1519132529250251,0.5013944389929429,0.4986055610070571,0.8830491860237879,0.11695081397621207,0.7447626803103548,0.25523731968964525,0.5025998188153431,0.4974001811846569,0.6007238931693812,0.39927610683061876,0.9067500296395196,0.09324997036048048,0.5097383982326906,0.4902616017673094,0.949050023849906,0.05094997615009395,0.7275258511206808,0.27247414887931926,0.5145415104115555,0.4854584895884445,0.48683074372195234,0.5131692562780477,0.8790879830280995,0.1209120169719004,0.4953502621425852,0.5046497378574148,0.9045906237284983,0.09540937627150169,0.715530075658928,0.28446992434107193,0.4925859672460044,0.5074140327539955,0.5189406897669089,0.4810593102330911,0.8576991333323964,0.14230086666760358,0.4902527674058815,0.5097472325941186,0.8000390069813739,0.19996099301862613,0.6599233435162726,0.3400766564837274,0.48588891518472116,0.5141110848152788,0.47463486070485955,0.5253651392951405,0.8276817346908617,0.17231826530913827,0.47616393576947225,0.5238360642305278,0.8440324012228154,0.15596759877718455
Hawaii County,15001020500,0.6145761917492957,0.38542380825070427,0.5180530541317534,0.48194694586824655,0.5166301132679726,0.48336988673202747,0.8342997307858386,0.16570026921416142,0.5116351534530726,0.4883648465469273,0.8760539466010356,0.12394605339896418,0.7137411984272658,0.28625880157273415,0.5042628984549691,0.4957371015450309,0.5671766501542163,0.4328233498457837,0.8955157876078419,0.10448421239215804,0.5042578040475937,0.4957421959524063,0.9511364140637564,0.048863585936243494,0.6912385981892055,0.3087614018107944,0.505060952774705,0.4949390472252951,0.4617082175536758,0.5382917824463241,0.8613347657963766,0.13866523420362323,0.5028898233296938,0.49711017667030627,0.8987940673778777,0.10120593262212219,0.6801784343414399,0.31982156565856007,0.4966941757003043,0.5033058242996957,0.49307163910066837,0.5069283608993317,0.8300975404055382,0.16990245959446182,0.4898585288233878,0.5101414711766122,0.7640406026418397,0.2359593973581601,0.620720551562017,0.37927944843798306,0.48738954878250285,0.5126104512174972,0.44171389225933877,0.5582861077406612,0.7907236322967099,0.2092763677032899,0.48249630124249726,0.5175036987575027,0.8168199017434313,0.1831800982565686
Hawaii County,15001020600,0.5682722369552288,0.4317277630447714,0.5170874613287345,0.48291253867126543,0.4912666642892832,0.5087333357107168,0.7512521562238116,0.24874784377618842,0.5043082836078783,0.4956917163921218,0.8331124024965532,0.16688759750344678,0.6624424864168177,0.33755751358318253,0.5006766450550607,0.4993233549449393,0.5306224756808615,0.46937752431913843,0.8316479107006844,0.1683520892993155,0.5048563492083958,0.49514365079160416,0.9466867903665838,0.05331320963341623,0.6508965145516926,0.34910348544830766,0.5087880110713687,0.4912119889286312,0.4389493333918312,0.5610506666081688,0.7990843355743179,0.20091566442568207,0.5087720634094192,0.49122793659058084,0.8849464285774434,0.11505357142255658,0.6414733038880671,0.35852669611193316,0.4908015692351882,0.5091984307648119,0.47803737638726135,0.5219626236127386,0.749168640665608,0.2508313593343921,0.4923439351056245,0.5076560648943754,0.705391664078982,0.294608335921018,0.5927090919840734,0.4072909080159268,0.48462057109421225,0.5153794289057878,0.4194919066679872,0.5805080933320128,0.7568791595119703,0.24312084048802976,0.47472638309197573,0.5252736169080242,0.7810856094743347,0.21891439052566533
Hawaii County,15001020701,0.5796890782127144,0.4203109217872855,0.5186662303556725,0.4813337696443275,0.4796074830881375,0.5203925169118625,0.8048455813013472,0.1951544186986528,0.5015848723858215,0.49841512761417844,0.808083477899094,0.1919165221009061,0.6808166854608155,0.3191833145391845,0.49938363581149486,0.5006163641885051,0.5387853185183956,0.4612146814816044,0.9088014663306389,0.09119853366936113,0.5099738059141554,0.4900261940858446,0.9198029489904355,0.08019705100956459,0.6504259144073055,0.34957408559269454,0.5043840133956946,0.49561598660430545,0.43006170349331796,0.569938296506682,0.8643246735631946,0.13567532643680535,0.49991942868076694,0.500080571319233,0.8370207864395435,0.16297921356045647,0.6514806679415185,0.34851933205848157,0.49788616364541116,0.5021138363545888,0.4559853670408497,0.5440146329591503,0.8142692005240807,0.18573079947591928,0.4910056918346421,0.5089943081653578,0.673980621586421,0.326019378413579,0.6039628654365141,0.3960371345634859,0.4733313979933212,0.5266686020066788,0.42811598106554283,0.5718840189344572,0.7833478436097754,0.21665215639022464,0.4766921280192528,0.5233078719807472,0.7305198218127188,0.26948017818728126
Hawaii County,15001020702,0.5815681010534756,0.4184318989465245,0.5206363015283595,0.4793636984716405,0.5067860469536031,0.49321395304639687,0.8669306938905179,0.13306930610948214,0.5101884800321369,0.4898115199678631,0.8352550680120344,0.1647449319879654,0.6978985353476939,0.30210146465230614,0.502628661831757,0.497371338168243,0.5507665492415341,0.44923345075846594,0.9373582172494486,0.06264178275055149,0.5135405033253188,0.48645949667468125,0.9396879070227211,0.06031209297727878,0.6625499307847685,0.3374500692152314,0.508975480488438,0.491024519511562,0.44206253962860637,0.5579374603713937,0.8978236497071618,0.10217635029283825,0.5040830283880452,0.49591697161195486,0.8627379145503933,0.1372620854496067,0.6562128403330576,0.34378715966694234,0.4877994375224192,0.5122005624775807,0.4837929394549612,0.5162070605450387,0.8748579090020523,0.1251420909979477,0.49311561602455545,0.5068843839754446,0.7158111396726359,0.2841888603273639,0.6179908464627906,0.38200915353720943,0.48362842089959907,0.516371579100401,0.44283299536298176,0.5571670046370182,0.8592379394156122,0.14076206058438775,0.4810600038560855,0.5189399961439145,0.778192830725942,0.22180716927405772
Hawaii County,15001020801,0.5912455596200354,0.40875444037996456,0.5229666754935577,0.4770333245064423,0.5130502273939012,0.4869497726060988,0.8508757015072432,0.1491242984927568,0.504562239611188,0.4954377603888123,0.8567096071658908,0.1432903928341092,0.7344938689099508,0.26550613109004917,0.5079559940579812,0.49204400594201875,0.5771439502951445,0.42285604970485546,0.9288111802279911,0.07118881977200886,0.5099734422060793,0.4900265577939209,0.9490810404681139,0.05091895953188609,0.6824625432454318,0.31753745675456824,0.5057562557535499,0.4942437442464502,0.45838243848971616,0.5416175615102838,0.8801795289580903,0.11982047104190975,0.5071050424197074,0.4928949575802928,0.8804052199130535,0.11959478008694652,0.662003240345396,0.33799675965460396,0.49317136586855814,0.5068286341314419,0.48309009112479534,0.5169099088752047,0.8439643345187068,0.15603566548129327,0.49446580681873303,0.5055341931812671,0.7282274823817187,0.27177251761828125,0.6285350726962045,0.37146492730379554,0.4795548998947398,0.5204451001052602,0.4502585322640564,0.5497414677359437,0.8380579891125354,0.16194201088746463,0.47902586341650266,0.5209741365834976,0.8109175286142902,0.1890824713857098
Hawaii County,15001020802,0.57497865987859,0.4250213401214101,0.518243987454467,0.48175601254553296,0.4946650258187071,0.5053349741812929,0.8174895709833567,0.18251042901664327,0.500986863209965,0.499013136790035,0.8249121438090533,0.17508785619094674,0.7079513879159651,0.2920486120840349,0.49425228999839566,0.5057477100016043,0.5460025104252829,0.4539974895747171,0.9074662046720054,0.09253379532799456,0.5107936567518659,0.489206343248134,0.9264042520659196,0.07359574793408043,0.6641964348070252,0.3358035651929749,0.5051605940663233,0.4948394059336767,0.43825764198517086,0.5617423580148291,0.8542071381784689,0.145792861821531,0.5047022095873763,0.4952977904126236,0.8498659184545667,0.1501340815454333,0.6502042338092412,0.3497957661907588,0.49400493414718794,0.5059950658528121,0.4680956548446848,0.5319043451553152,0.8210308654575861,0.1789691345424139,0.4886358841489977,0.5113641158510023,0.6817427807575375,0.31825721924246253,0.6157931297600617,0.38420687023993827,0.49029916646672866,0.5097008335332713,0.4385073045157106,0.5614926954842894,0.8169293649815608,0.18307063501843923,0.4778490134481197,0.5221509865518803,0.7713095735724566,0.22869042642754345
