county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_white.uss_18_dem_men,vap_white.uss_18_rep_hug,vap_black.uss_18_dem_men,vap_black.uss_18_rep_hug,vap_hisp.uss_18_dem_men,vap_hisp.uss_18_rep_hug,vap_asian.uss_18_dem_men,vap_asian.uss_18_rep_hug,vap_aian.uss_18_dem_men,vap_aian.uss_18_rep_hug,vap_oth_b.uss_18_dem_men,vap_oth_b.uss_18_rep_hug,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_white.uss_20_dem_boo,vap_white.uss_20_rep_meh,vap_black.uss_20_dem_boo,vap_black.uss_20_rep_meh,vap_hisp.uss_20_dem_boo,vap_hisp.uss_20_rep_meh,vap_asian.uss_20_dem_boo,vap_asian.uss_20_rep_meh,vap_aian.uss_20_dem_boo,vap_aian.uss_20_rep_meh,vap_oth_b.uss_20_dem_boo,vap_oth_b.uss_20_rep_meh,vap_white.pre_24_dem_har,vap_white.pre_24_rep_tru,vap_black.pre_24_dem_har,vap_black.pre_24_rep_tru,vap_hisp.pre_24_dem_har,vap_hisp.pre_24_rep_tru,vap_asian.pre_24_dem_har,vap_asian.pre_24_rep_tru,vap_aian.pre_24_dem_har,vap_aian.pre_24_rep_tru,vap_oth_b.pre_24_dem_har,vap_oth_b.pre_24_rep_tru
Atlantic County,34001005101,0.31758432645235135,0.6824156735476486,0.9306033908739751,0.0693966091260247,0.9261412227566772,0.07385877724332277,0.7480956479281922,0.25190435207180784,0.5537243758839666,0.4462756241160334,0.8395508694352573,0.1604491305647428,0.27309567750895847,0.7269043224910415,0.9210067527613884,0.07899324723861156,0.89304675897831165,0.1069532410216883,0.6363130333229183,0.3636869666770817,0.5707849531171761,0.42921504688282386,0.7315624402080191,0.2684375597919809,0.41026810291592375,0.5897318970840763,0.8136744296107186,0.1863255703892815,0.7501047736656541,0.24989522633434597,0.6955078463690089,0.3044921536309912,0.49410410030602336,0.5058958996939766,0.5011290510205738,0.4988709489794262,0.4245373493088592,0.5754626506911408,0.8407173234649834,0.15928267653501663,0.7242083022340549,0.2757916977659451,0.7184110859063393,0.28158891409366077,0.48101066984282687,0.5189893301571731,0.5362104546346286,0.4637895453653714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic County,34001005102,0.30781507042306394,0.6921849295769361,0.937569103838904,0.06243089616109592,0.9281120471320884,0.07188795286791176,0.7485599236887819,0.2514400763112181,0.5503851962078452,0.4496148037921548,0.8506708803716009,0.14932911962839915,0.33534617407127565,0.6646538259287244,0.9341969618262104,0.06580303817378959,0.8969666645973167,0.10303333540268338,0.6450966821773333,0.35490331782266676,0.5729150356340661,0.4270849643659339,0.7381374226673633,0.2618625773326367,0.37340339512878135,0.6265966048712186,0.799432710542141,0.20056728945785893,0.7287865225646459,0.27121347743535407,0.6853476274355657,0.31465237256443435,0.4980868854898055,0.5019131145101945,0.48821265416915416,0.5117873458308458,0.3823039695156176,0.6176960304843825,0.8395278012966768,0.16047219870332313,0.7110989750907196,0.2889010249092804,0.7098459223007069,0.29015407769929313,0.48216501601203254,0.5178349839879675,0.529464357511635,0.47053564248836494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic County,34001005103,0.2859445732197766,0.7140554267802234,0.931278148458174,0.06872185154182585,0.925170669255746,0.07482933074425395,0.7373683627647116,0.2626316372352884,0.5546306333070912,0.4453693666929088,0.8408046388545861,0.15919536114541386,0.24389970566902677,0.7561002943309733,0.9232685849744808,0.07673141502551908,0.88941425712758,0.1105857428724198,0.6304876472631719,0.3695123527368282,0.5654180339892197,0.4345819660107803,0.7241646438322552,0.27583535616774485,0.4086702706444256,0.5913297293555744,0.8132897346067749,0.18671026539322513,0.752309507010486,0.24769049298951373,0.6908824817341293,0.3091175182658707,0.493146552041588,0.506853447958412,0.5001054653745529,0.4998945346254471,0.4205861750051982,0.5794138249948019,0.8409543997576158,0.15904560024238426,0.725164793026207,0.274835206973793,0.7223103577976137,0.27768964220238634,0.47950559786215374,0.5204944021378463,0.5318396130493906,0.4681603869506093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic County,34001005201,0.27900416515190146,0.7209958348480985,0.9267326636656285,0.0732673363343717,0.9286412456379624,0.0713587543620375,0.7424249768251193,0.2575750231748807,0.5534139004396625,0.4465860995603374,0.8397007718978531,0.16029922810214697,0.21863877893437864,0.7813612210656213,0.9159505481743734,0.08404945182562665,0.8804551217260128,0.11954487827398716,0.6281014772566983,0.37189852274330176,0.5741477987445831,0.4258522012554169,0.7130003291477218,0.2869996708522782,0.4352205343953385,0.5647794656046615,0.8226109558429655,0.17738904415703452,0.7575020835788792,0.2424979164211208,0.6897429344470587,0.31025706555294136,0.5015638325488342,0.4984361674511658,0.5030714291687813,0.49692857083121866,0.4359533868085442,0.5640466131914558,0.8522492804469647,0.14775071955303534,0.7356179817799245,0.26438201822007545,0.7223566680539643,0.27764333194603574,0.48107886051545706,0.518921139484543,0.5405638321374777,0.4594361678625223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic County,34001005202,0.2999213169854999,0.7000786830145,0.9214399786344526,0.07856002136554746,0.9138014405995208,0.08619855940047923,0.714007185909865,0.28599281409013483,0.5504694823884873,0.44953051761151275,0.8352035054694759,0.1647964945305239,0.3013106804150577,0.6986893195849423,0.9363582403863824,0.06364175961361772,0.8964337155695893,0.1035662844304107,0.6500140979480499,0.34998590205194985,0.5713148279253882,0.4286851720746118,0.73389394660268,0.26610605339732,0.35863369273867984,0.6413663072613202,0.6761173158027491,0.32388268419725086,0.629731381406394,0.3702686185936061,0.5097067132720716,0.4902932867279284,0.5027117795259086,0.49728822047409144,0.4734397969783576,0.5265602030216424,0.3542900425906357,0.6457099574093643,0.6955433212982529,0.3044566787017471,0.5716276424204814,0.4283723575795186,0.5455315529224768,0.454468447077523,0.48021174420804386,0.5197882557919562,0.5106342811823328,0.4893657188176672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic County,34001005203,0.35901226433063665,0.6409877356693636,0.9343731057247064,0.06562689427529356,0.939287084098996,0.06071291590100404,0.7511756191353287,0.2488243808646713,0.5523086301413267,0.4476913698586733,0.8435419584917632,0.15645804150823678,0.3353080824662461,0.6646919175337541,0.9264009545615534,0.07359904543844664,0.8983026923480701,0.10169730765192984,0.6443856179727172,0.3556143820272828,0.5646823092976849,0.43531769070231513,0.7395421561769386,0.26045784382306136,0.484656026223684,0.5153439737763162,0.8248523884081812,0.17514761159181882,0.7534209177251292,0.24657908227487077,0.6880511151181308,0.3119488848818693,0.5000200708888167,0.4999799291111833,0.5109907395700662,0.48900926042993376,0.4873221831006617,0.5126778168993384,0.8445237049424665,0.15547629505753344,0.7444518223049994,0.2555481776950006,0.7164301853969421,0.28356981460305786,0.4763592666165499,0.5236407333834501,0.550543685854056,0.449456314145944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic County,34001010101,0.45715756227284565,0.5428424377271543,0.9867913834808996,0.0132086165191004,0.9718446519506198,0.02815534804938021,0.81932300942137,0.1806769905786299,0.5513862015731559,0.4486137984268441,0.87521994170521,0.12478005829479004,0.34804101012142263,0.6519589898785774,0.980425919756048,0.01957408024395205,0.9354641783479736,0.06453582165202636,0.6825925138826087,0.31740748611739134,0.5729808162877846,0.42701918371221537,0.7594485328987267,0.24055146710127331,0.4492146518621491,0.5507853481378508,0.9364222542021368,0.06357774579786334,0.8143436947605321,0.18565630523946783,0.7141078694759083,0.2858921305240917,0.5034213857332039,0.4965786142667961,0.5090536593416775,0.4909463406583226,0.46624716179146064,0.5337528382085394,0.952960381953366,0.04703961804663419,0.8324429195792089,0.1675570804207911,0.7587967111715296,0.24120328882847045,0.47959460584480457,0.5204053941551954,0.5589863437658384,0.4410136562341616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic County,34001010102,0.4230877688788464,0.5769122311211536,0.9892364462283438,0.01076355377165615,0.9779546066310548,0.02204539336894506,0.7881578561293626,0.21184214387063735,0.5517639736161396,0.44823602638386045,0.8905376452500322,0.1094623547499678,0.3832267539262992,0.6167732460737008,0.9864802493713992,0.01351975062860075,0.9694960835972114,0.03050391640278858,0.6779031021086221,0.3220968978913778,0.5668749531950135,0.4331250468049865,0.7962087618964735,0.2037912381035265,0.4191411354359766,0.5808588645640234,0.9030144474957672,0.09698555250423284,0.793197994674487,0.20680200532551304,0.685504383975695,0.31449561602430504,0.4959846768173168,0.5040153231826832,0.490949297905794,0.5090507020942058,0.42481232745109027,0.5751876725489098,0.9338607499959788,0.06613925000402125,0.8073208658319085,0.1926791341680914,0.7187385362392962,0.2812614637607039,0.47662429138815327,0.5233757086118468,0.5376155168399684,0.46238448316003133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic County,34001010103,0.5052169137930876,0.4947830862069123,0.9885992202543212,0.01140077974567872,0.9754593266252046,0.02454067337479536,0.8521172984844584,0.14788270151554164,0.5675020735679377,0.4324979264320626,0.9057171959617412,0.0942828040382587,0.5379481372028581,0.46205186279714194,0.9888534988578124,0.01114650114218765,0.9710790688346836,0.02892093116531641,0.8057367073565261,0.19426329264347383,0.590022251591345,0.4099777484086552,0.8503747484222403,0.1496252515777598,0.46763727246414327,0.5323627275358568,0.9329586455824694,0.0670413544175306,0.870687686279494,0.12931231372050597,0.7608435268416017,0.2391564731583983,0.5080151513390503,0.49198484866094994,0.5381623264466477,0.46183767355335226,0.489971605644259,0.510028394355741,0.9557704094827818,0.04422959051721823,0.8919072370638473,0.10809276293615264,0.7942414933607201,0.2057585066392798,0.48655013306771133,0.5134498669322889,0.5926320384007698,0.4073679615992302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic County,34001010104,0.49076099362836706,0.5092390063716329,0.9935224724370102,0.00647752756298985,0.9854381540490106,0.01456184595098943,0.8160653890406576,0.18393461095934235,0.5644183984477569,0.4355816015522431,0.8957489362119528,0.10425106378804716,0.3228132169648025,0.6771867830351975,0.9811669934534204,0.01883300654657972,0.949109003557527,0.05089099644247301,0.656541625538957,0.343458374461043,0.5654086355032051,0.434591364496795,0.7461323912730139,0.2538676087269861,0.4152426111369913,0.5847573888630088,0.88703777418831,0.11296222581169,0.7483761087354581,0.25162389126454193,0.6862204155746252,0.3137795844253748,0.4905043839667586,0.5094956160332413,0.48997442275194064,0.5100255772480593,0.4151868784080492,0.5848131215919508,0.9158621732794716,0.08413782672052837,0.7685961286059388,0.2314038713940612,0.7078150125461449,0.2921849874538551,0.4824089453195864,0.5175910546804137,0.5336592862457834,0.46634071375421654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
