county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_white.uss_16_dem_mcg,vap_white.uss_16_rep_too,vap_black.uss_16_dem_mcg,vap_black.uss_16_rep_too,vap_hisp.uss_16_dem_mcg,vap_hisp.uss_16_rep_too,vap_asian.uss_16_dem_mcg,vap_asian.uss_16_rep_too,vap_aian.uss_16_dem_mcg,vap_aian.uss_16_rep_too,vap_oth_b.uss_16_dem_mcg,vap_oth_b.uss_16_rep_too,vap_white.atg_16_dem_sha,vap_white.atg_16_rep_raf,vap_black.atg_16_dem_sha,vap_black.atg_16_rep_raf,vap_hisp.atg_16_dem_sha,vap_hisp.atg_16_rep_raf,vap_asian.atg_16_dem_sha,vap_asian.atg_16_rep_raf,vap_aian.atg_16_dem_sha,vap_aian.atg_16_rep_raf,vap_oth_b.atg_16_dem_sha,vap_oth_b.atg_16_rep_raf,vap_white.uss_18_dem_cas,vap_white.uss_18_rep_bar,vap_black.uss_18_dem_cas,vap_black.uss_18_rep_bar,vap_hisp.uss_18_dem_cas,vap_hisp.uss_18_rep_bar,vap_asian.uss_18_dem_cas,vap_asian.uss_18_rep_bar,vap_aian.uss_18_dem_cas,vap_aian.uss_18_rep_bar,vap_oth_b.uss_18_dem_cas,vap_oth_b.uss_18_rep_bar,vap_white.gov_18_dem_wol,vap_white.gov_18_rep_wag,vap_black.gov_18_dem_wol,vap_black.gov_18_rep_wag,vap_hisp.gov_18_dem_wol,vap_hisp.gov_18_rep_wag,vap_asian.gov_18_dem_wol,vap_asian.gov_18_rep_wag,vap_aian.gov_18_dem_wol,vap_aian.gov_18_rep_wag,vap_oth_b.gov_18_dem_wol,vap_oth_b.gov_18_rep_wag,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_white.atg_20_dem_sha,vap_white.atg_20_rep_hei,vap_black.atg_20_dem_sha,vap_black.atg_20_rep_hei,vap_hisp.atg_20_dem_sha,vap_hisp.atg_20_rep_hei,vap_asian.atg_20_dem_sha,vap_asian.atg_20_rep_hei,vap_aian.atg_20_dem_sha,vap_aian.atg_20_rep_hei,vap_oth_b.atg_20_dem_sha,vap_oth_b.atg_20_rep_hei,vap_white.pre_24_dem_har,vap_white.pre_24_rep_tru,vap_black.pre_24_dem_har,vap_black.pre_24_rep_tru,vap_hisp.pre_24_dem_har,vap_hisp.pre_24_rep_tru,vap_asian.pre_24_dem_har,vap_asian.pre_24_rep_tru,vap_aian.pre_24_dem_har,vap_aian.pre_24_rep_tru,vap_oth_b.pre_24_dem_har,vap_oth_b.pre_24_rep_tru
Adams County,42001000010,0.2546229478218113,0.7453770521781887,0.5658139810445862,0.43418601895541376,0.5962311340651721,0.4037688659348279,0.5573497837773429,0.4426502162226571,0.52138934062215,0.47861065937785,0.5589395038787103,0.44106049612128967,0.2890700691860147,0.7109299308139853,0.5707229693804005,0.4292770306195995,0.5909076211102596,0.4090923788897404,0.5489369649905317,0.4510630350094683,0.5320012680402785,0.4679987319597214,0.5581247381897781,0.4418752618102218,0.3118001032935562,0.6881998967064439,0.5799423768895405,0.4200576231104595,0.5838146899268606,0.4161853100731394,0.5522237357025914,0.4477762642974086,0.5236784233850496,0.4763215766149505,0.5475742512105557,0.4524257487894443,0.3616598289617477,0.6383401710382524,0.5827020646636428,0.4172979353363572,0.5901618428453833,0.4098381571546167,0.5441090499011986,0.45589095009880143,0.5151997237666006,0.4848002762333994,0.5562479607323436,0.44375203926765633,0.35608108450653353,0.6439189154934665,0.5740897024464925,0.4259102975535075,0.628841643338654,0.37115835666134595,0.5497673361324866,0.4502326638675134,0.5007194258975776,0.4992805741024225,0.5563183259305872,0.4436816740694128,0.24200612542399597,0.7579938745760041,0.5733925477950442,0.4266074522049557,0.5481608236128888,0.4518391763871113,0.5758236133086377,0.42417638669136226,0.5226857185172209,0.4773142814827791,0.5528954772372395,0.4471045227627604,0.2407571763791066,0.7592428236208935,0.5707088731280414,0.4292911268719586,0.5770585589486638,0.4229414410513363,0.5635396466837936,0.4364603533162064,0.4724396478818877,0.5275603521181124,0.5522864945123113,0.4477135054876888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County,42001000020,0.32693313954318787,0.6730668604568122,0.5673779259899137,0.43262207401008634,0.6176076420362645,0.3823923579637355,0.5571410619937444,0.4428589380062557,0.5258156228835514,0.47418437711644856,0.5608225938638719,0.43917740613612816,0.32631288257955793,0.6736871174204421,0.5731541102472789,0.4268458897527211,0.6158697405566111,0.38413025944338886,0.5532728431410098,0.4467271568589902,0.5237247089884365,0.4762752910115636,0.5561928272720287,0.4438071727279714,0.34543829427306316,0.6545617057269368,0.5788520475842751,0.4211479524157248,0.599786938191163,0.400213061808837,0.551132283692283,0.44886771630771705,0.5215554700153674,0.47844452998463266,0.5426979516683132,0.4573020483316867,0.4255588840362795,0.5744411159637205,0.5817224680327833,0.41827753196721673,0.6100407767736927,0.38995922322630727,0.5478074529048783,0.4521925470951217,0.5103679263758198,0.4896320736241801,0.5528562997786871,0.4471437002213129,0.4471003769042339,0.5528996230957661,0.5790939091771727,0.4209060908228273,0.6462828670873164,0.3537171329126836,0.5516595538559679,0.44834044614403207,0.505020254627153,0.4949797453728469,0.5546707562766258,0.4453292437233742,0.3474926500338119,0.6525073499661881,0.5699331153103324,0.4300668846896676,0.5746634913095222,0.42533650869047784,0.5769867844612518,0.42301321553874816,0.5207836722555811,0.47921632774441886,0.5510760403357955,0.44892395966420445,0.34962701800131246,0.6503729819986875,0.569686813366282,0.4303131866337181,0.60388538637401,0.39611461362598993,0.5663103275405662,0.43368967245943385,0.47864151734092114,0.5213584826590788,0.558907834592052,0.441092165407948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County,42001000030,0.24134214682284905,0.758657853177151,0.5670572660812291,0.4329427339187709,0.5626669847621801,0.4373330152378199,0.5567999775977749,0.44320002240222506,0.5257010463074799,0.47429895369252006,0.5536335214808965,0.4463664785191035,0.24727063657786233,0.7527293634221377,0.5646330822162289,0.435366917783771,0.5266115678518564,0.4733884321481436,0.5594178502686173,0.4405821497313826,0.5312492904922909,0.4687507095077091,0.5502265914832537,0.4497734085167463,0.2793008504785309,0.7206991495214691,0.5728305496448093,0.4271694503551908,0.5634524257185914,0.43654757428140856,0.5517247765103906,0.4482752234896093,0.5279072584726779,0.4720927415273221,0.5409467003357792,0.45905329966422087,0.3384332824149663,0.6615667175850337,0.5793409056548636,0.4206590943451364,0.5710800352416132,0.4289199647583866,0.5490752998388132,0.45092470016118674,0.5129549295168969,0.487045070483103,0.5576232902987645,0.4423767097012355,0.3502459548031145,0.6497540451968855,0.576742984188128,0.423257015811872,0.6114618756006478,0.38853812439935226,0.5453790847606124,0.4546209152393877,0.5031856671941731,0.496814332805827,0.5541956022005865,0.4458043977994135,0.24951648436263335,0.7504835156373667,0.5572800825140786,0.44271991748592143,0.481916191233415,0.518083808766585,0.5762075758445356,0.4237924241554644,0.5301011768588453,0.4698988231411548,0.5477345479860058,0.4522654520139941,0.2486690933591901,0.7513309066408099,0.5708889235998862,0.42911107640011376,0.5431813487594771,0.4568186512405229,0.5683832874143483,0.4316167125856517,0.476761556637977,0.523238443362023,0.5516069881849506,0.4483930118150494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County,42001000040,0.20490123107112232,0.7950987689288777,0.5675929017124831,0.4324070982875169,0.5986051628083295,0.4013948371916704,0.5515303257296399,0.44846967427036005,0.5261640705119035,0.4738359294880965,0.5606599383020223,0.43934006169797774,0.24974955878413496,0.750250441215865,0.5653339654934505,0.43466603450654945,0.5917666959347427,0.40823330406525726,0.5475405780354065,0.4524594219645936,0.5349917598573534,0.46500824014264663,0.55082427518557,0.4491757248144301,0.24930807819409692,0.750691921805903,0.5785001347659399,0.42149986523406013,0.5736061715266054,0.4263938284733946,0.547593698913815,0.452406301086185,0.5227888614223203,0.4772111385776797,0.542444116791297,0.45755588320870294,0.31097608871338533,0.6890239112866147,0.57509242464544,0.4249075753545601,0.5860523775674291,0.4139476224325708,0.5488644595744296,0.4511355404255703,0.5214281821147937,0.47857181788520625,0.549302585852043,0.45069741414795705,0.3425600175654992,0.6574399824345007,0.5771020037532197,0.42289799624678026,0.6270948735899217,0.37290512641007834,0.5507691500000212,0.4492308499999787,0.4999386424723377,0.5000613575276623,0.5465380040177609,0.4534619959822391,0.25285958945693254,0.7471404105430675,0.559565131530761,0.44043486846923896,0.5533553917298645,0.4466446082701355,0.5810114598498392,0.4189885401501609,0.5200410180050091,0.4799589819949909,0.5539706544733092,0.4460293455266909,0.24965630147762655,0.7503436985223735,0.57102793957292175,0.4289720604270783,0.5885347465050519,0.4114652534949481,0.5647441771232891,0.43525582287671094,0.4823284730628415,0.5176715269371585,0.5545759092715165,0.44542409072848355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County,42001000050,0.25525833763806527,0.7447416623619347,0.5634072579248738,0.4365927420751262,0.5948856679334537,0.4051143320665464,0.5568050820525529,0.4431949179474469,0.5295285517166461,0.47047144828335385,0.5600831176922645,0.4399168823077353,0.2655983217822559,0.7344016782177442,0.5699895259030678,0.4300104740969322,0.597644581940363,0.40235541805963704,0.5508856901428526,0.44911430985714745,0.5290842739250247,0.4709157260749754,0.5537144606330074,0.44628553936699256,0.2829216887064109,0.7170783112935891,0.576488552224439,0.42351144777556105,0.5729947070306568,0.42700529296934314,0.5520365016164516,0.4479634983835482,0.5261896691314063,0.4738103308685937,0.5409108740591697,0.45908912594083007,0.35165509949293516,0.6483449005070648,0.5815531553405606,0.4184468446594394,0.5884812949636509,0.41151870503634913,0.5478250023434458,0.4521749976565542,0.5097168812467385,0.4902831187532614,0.5546171134934585,0.44538288650654145,0.39434800572993745,0.6056519942700626,0.580504884173144,0.41949511582685595,0.6357918433656141,0.36420815663438594,0.5497029156982453,0.4502970843017545,0.49848233603750475,0.5015176639624952,0.5542926828065958,0.445707317193404,0.28573998461527755,0.7142600153847225,0.566724191586303,0.43327580841369695,0.5683335203390916,0.4316664796609084,0.5860870005978297,0.4139129994021703,0.5212940849011477,0.4787059150988523,0.5491918641216761,0.450808135878324,0.3071596002286791,0.6928403997713208,0.5744485128098628,0.4255514871901372,0.5990454549497639,0.4009545450502361,0.565764709433376,0.4342352905666238,0.4776184044614487,0.5223815955385512,0.5571667005930803,0.44283329940691946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County,42001000060,0.23622140108461737,0.7637785989153828,0.5612605465810949,0.4387394534189051,0.5949131556467159,0.4050868443532842,0.5567213993011261,0.4432786006988739,0.5297739846683365,0.4702260153316634,0.5548007270795705,0.44519927292042955,0.28139432971803074,0.7186056702819695,0.5713764025032014,0.4286235974967986,0.5972523532347284,0.4027476467652717,0.5546192026409844,0.4453807973590156,0.5254230701816915,0.47457692981830846,0.5603182689200276,0.4396817310799725,0.2892986259029365,0.7107013740970638,0.5742346233212681,0.42576537667873193,0.5735183995720693,0.4264816004279307,0.5469145658984285,0.4530854341015715,0.5229277616203685,0.4770722383796315,0.5518783916929817,0.4481216083070184,0.3503781214857736,0.6496218785142267,0.5788076587834551,0.42119234121654486,0.5895658662327634,0.4104341337672366,0.5438488325069702,0.4561511674930297,0.5118665145188777,0.4881334854811223,0.5558060671359366,0.4441939328640634,0.3642827888634877,0.6357172111365126,0.5829091346035585,0.4170908653964414,0.6325604969900445,0.36743950300995554,0.5510531285223312,0.4489468714776688,0.5035314806681243,0.49646851933187575,0.5521668484799186,0.44783315152008135,0.2673158996218249,0.7326841003781753,0.5624462102831722,0.4375537897168278,0.5572609236813981,0.4427390763186019,0.5793250449326405,0.4206749550673596,0.5163868972525223,0.4836131027474777,0.5529646887264433,0.4470353112735566,0.28248848178393676,0.7175115182160634,0.574122185813891,0.42587781418610904,0.5905989064729762,0.40940109352702375,0.5630954326410889,0.43690456735891114,0.47776005238806146,0.5222399476119386,0.564275628986659,0.4357243710133411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County,42001000070,0.22221508219251648,0.7777849178074836,0.5716335802606687,0.42836641973933126,0.5912334976939698,0.4087665023060302,0.5526943483313834,0.4473056516686165,0.5211505571527864,0.4788494428472136,0.5598105801072247,0.44018941989277527,0.22116067004199808,0.778839329958002,0.5670899583521577,0.43291004164784225,0.5876308251831658,0.4123691748168342,0.5527487654013667,0.4472512345986333,0.5303991057290767,0.4696008942709233,0.5509153552079815,0.44908464479201854,0.22357123438801557,0.7764287656119845,0.5698061798548401,0.43019382014516,0.5546171646098453,0.44538283539015466,0.5499571278572276,0.4500428721427724,0.5225232900746903,0.47747670992530966,0.5326845296909177,0.4673154703090822,0.2925876826705469,0.7074123173294531,0.5789665240049282,0.42103347599507174,0.5908749240381929,0.4091250759618071,0.5429310241056129,0.4570689758943872,0.5166338333244974,0.4833661666755026,0.5567426362573064,0.4432573637426937,0.32699000952062385,0.6730099904793762,0.5696383282384223,0.43036167176157775,0.6313204596384895,0.36867954036151057,0.5411381812982254,0.45886181870177456,0.5011138894528008,0.4988861105471992,0.5529847460577589,0.44701525394224106,0.22765262377134948,0.7723473762286506,0.5627022650790293,0.4372977349209707,0.5563121651096578,0.4436878348903422,0.5749038545563735,0.4250961454436265,0.5192431300820585,0.48075686991794153,0.5527608022375399,0.4472391977624602,0.24402881965588744,0.7559711803441126,0.5770992806770188,0.4229007193229812,0.5876326426901924,0.4123673573098075,0.564691073737568,0.435308926262432,0.4848876090258307,0.5151123909741693,0.5533357202392262,0.4466642797607738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County,42001000078,0.28225374153839733,0.7177462584616027,0.5648246281788724,0.4351753718211276,0.5969095352978117,0.40309046470218834,0.5507344319680659,0.449265568031934,0.5254102122693429,0.47458978773065713,0.5597228187767873,0.44027718122321247,0.30812876682790374,0.6918712331720962,0.5640027124567558,0.43599728754324424,0.5989079733874689,0.401092026612531,0.5495527600693983,0.4504472399306017,0.5360476006319974,0.4639523993680026,0.5553071857642319,0.4446928142357679,0.3003834882855758,0.6996165117144242,0.5753185158121303,0.4246814841878697,0.5758048437189106,0.4241951562810894,0.5518014696488652,0.4481985303511348,0.5229171831698831,0.4770828168301169,0.5487146706293797,0.4512853293706201,0.3452294760306278,0.6547705239693722,0.5816112252857847,0.41838877471421526,0.592912686608381,0.407087313391619,0.5404304415322047,0.4595695584677953,0.518088483274143,0.48191151672585697,0.5532289943794498,0.44677100562055017,0.34307878119442253,0.6569212188055774,0.578664490909881,0.42133550909011896,0.6330617868677825,0.3669382131322176,0.5462219618139365,0.4537780381860635,0.5040442761049122,0.49595572389508785,0.549142606574316,0.45085739342568376,0.3138057151656982,0.6861942848343018,0.5609350904696985,0.43906490953030153,0.5551922034980777,0.4448077965019223,0.5807771807925106,0.4192228192074894,0.5187113810511546,0.48128861894884545,0.5645684770957922,0.4354315229042079,0.3080131309675838,0.6919868690324162,0.5708223331137064,0.4291776668862935,0.5917089761579569,0.408291023842043,0.5697946080469224,0.4302053919530775,0.47571488437228543,0.5242851156277145,0.5617606789123113,0.43823932108768854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County,42001000082,0.29095468648666395,0.709045313513336,0.5654750632225376,0.43452493677746235,0.6047701217819704,0.3952298782180296,0.5546652268640996,0.4453347731359003,0.532676293819116,0.46732370618088426,0.5626739264621462,0.43732607353785385,0.2885774228647254,0.7114225771352747,0.563955316476669,0.436044683523331,0.5954341730469705,0.4045658269530295,0.5466732815610409,0.4533267184389591,0.5341927384180333,0.46580726158196695,0.5527360501847915,0.4472639498152085,0.29954724870427707,0.7004527512957229,0.578456627731282,0.4215433722687179,0.572491930003855,0.427508069996145,0.5516278968715455,0.4483721031284545,0.522257242411632,0.47774275758836826,0.5441005540086994,0.4558994459913006,0.3653823042704089,0.6346176957295911,0.5811107076497812,0.4188892923502188,0.5938127001268759,0.4061872998731241,0.5416224520884926,0.45837754791150737,0.5108431084641837,0.4891568915358165,0.5582982842673743,0.4417017157326258,0.38317624622158225,0.6168237537784177,0.5770380014313543,0.42296199856864575,0.633813866113471,0.366186133886529,0.5486711062710111,0.4513288937289888,0.5036542597773571,0.4963457402226432,0.5500548938050542,0.4499451061949458,0.319284577964366,0.6807154220356341,0.5683292505592934,0.43167074944070655,0.5569071623453183,0.4430928376546817,0.576428586355574,0.4235714136444259,0.5275462965883978,0.4724537034116024,0.5544801860216952,0.4455198139783048,0.31030800863553365,0.6896919913644664,0.5744785380783115,0.4255214619216885,0.5902459860451595,0.4097540139548405,0.5688308704749342,0.4311691295250658,0.4770416309979957,0.5229583690020045,0.5523737407175646,0.4476262592824354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County,42001000090,0.27604412870881156,0.7239558712911884,0.5671015716480113,0.43289842835198866,0.592318044146722,0.407681955853278,0.5576643817535921,0.4423356182464079,0.5261617818361725,0.47383821816382754,0.5628675603212376,0.4371324396787624,0.29414300845013786,0.7058569915498621,0.5617935696574152,0.4382064303425848,0.5936393911782096,0.4063606088217904,0.54838928418003,0.45161071581997,0.5286695960294807,0.47133040397051934,0.5541464567755595,0.4458535432244404,0.31102102956128774,0.6889789704387123,0.5835153100764006,0.41648468992359944,0.5801947277322783,0.4198052722677216,0.5483168883230176,0.4516831116769824,0.5252217781917877,0.4747782218082123,0.5489487683488625,0.45105123165113753,0.3934420838510927,0.6065579161489073,0.5783886962042122,0.4216113037957878,0.5928791266416954,0.40712087335830466,0.5496009994749128,0.4503990005250872,0.5145354766276852,0.4854645233723148,0.5623537048805587,0.43764629511944136,0.4234184291962739,0.5765815708037261,0.5793738136119596,0.4206261863880404,0.6372046873455169,0.36279531265448306,0.546574757052119,0.45342524294788095,0.5071471708777381,0.4928528291222619,0.5551456592881117,0.44485434071188834,0.30580610296145444,0.6941938970385456,0.5637428115305441,0.43625718846945594,0.5563837401283472,0.4436162598716528,0.5752245970846381,0.4247754029153618,0.5151048993131275,0.48489510068687247,0.5616332762430215,0.43836672375697855,0.3036974025076585,0.6963025974923415,0.5654336678473342,0.4345663321526658,0.5997373594295621,0.4002626405704379,0.5664988104129972,0.4335011895870029,0.4816130948201738,0.5183869051798262,0.5646524413933183,0.4353475586066818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
