county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_16_rep_mur,vap_white.uss_16_dem_met,vap_black.uss_16_rep_mur,vap_black.uss_16_dem_met,vap_hisp.uss_16_rep_mur,vap_hisp.uss_16_dem_met,vap_oth.uss_16_rep_mur,vap_oth.uss_16_dem_met,vap_white.gov_18_rep_dun,vap_white.gov_18_dem_beg,vap_black.gov_18_rep_dun,vap_black.gov_18_dem_beg,vap_hisp.gov_18_rep_dun,vap_hisp.gov_18_dem_beg,vap_oth.gov_18_rep_dun,vap_oth.gov_18_dem_beg,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_sul,vap_white.uss_20_dem_gro,vap_black.uss_20_rep_sul,vap_black.uss_20_dem_gro,vap_hisp.uss_20_rep_sul,vap_hisp.uss_20_dem_gro,vap_oth.uss_20_rep_sul,vap_oth.uss_20_dem_gro
3,0202023-755,0.6883223952726601,0.3116776047273398,0.5014644647125265,0.4985355352874735,0.6948606212983026,0.30513937870169733,0.22268855726839518,0.7773114427316048,0.9624096356367612,0.03759036436323876,0.3730203878595014,0.6269796121404986,0.5331633023285146,0.46683669767148545,0.6793007824324664,0.32069921756753356,0.6975076180015968,0.3024923819984032,0.5094980890199731,0.4905019109800269,0.6568700430154202,0.3431299569845798,0.25706127583267996,0.74293872416732,0.610150883542536,0.389849116457464,0.4891652696830186,0.5108347303169815,0.633935744769087,0.366064255230913,0.14357364694551547,0.8564263530544846,0.7091962955803399,0.2908037044196601,0.36312566769525145,0.6368743323047485,0.5939621118671212,0.4060378881328788,0.1395145809878,0.8604854190122
3,0202023-760,0.6447717826240253,0.35522821737597465,0.49699714280085544,0.5030028571991446,0.6868709752893459,0.31312902471065407,0.20155230109779568,0.7984476989022044,0.95621928705826,0.043780712941739984,0.3689302435737522,0.6310697564262479,0.48537917576670603,0.514620824233294,0.6163022629689151,0.38369773703108495,0.6532895345745595,0.34671046542544054,0.5108239946453275,0.48917600535467254,0.642232685561397,0.357767314438603,0.2256008488701251,0.7743991511298749,0.7473092138296638,0.2526907861703362,0.522607387442279,0.477392612557721,0.6725288658949052,0.3274711341050947,0.1920816875380775,0.8079183124619225,0.7939316521520454,0.2060683478479546,0.396522403619023,0.603477596380977,0.6225110536483488,0.37748894635165114,0.17312904793052522,0.8268709520694748
3,0202023-765,0.652407313353839,0.3475926866461611,0.5084588931677311,0.491541106832269,0.6920092921574522,0.30799070784254773,0.21997231403054465,0.7800276859694554,0.9305333295568624,0.06946667044313758,0.3485214921090766,0.6514785078909233,0.4286460665061486,0.5713539334938514,0.5240366221322748,0.4759633778677253,0.6203369756104921,0.379663024389508,0.501006182952826,0.498993817047174,0.6288045653888079,0.3711954346111921,0.2263685145797209,0.7736314854202792,0.6575360780957571,0.34246392190424285,0.4960756821158662,0.5039243178841337,0.6415534454366945,0.35844655456330554,0.1536376483097063,0.8463623516902937,0.720185700380912,0.27981429961908794,0.3733201165410994,0.6266798834589006,0.5917529236127821,0.40824707638721797,0.13582968267797832,0.8641703173220217
3,0202023-770,0.6914528678687913,0.30854713213120866,0.5114584147420311,0.4885415852579689,0.7533758383800618,0.2466241616199382,0.25418623223138676,0.7458137677686132,0.9438490443410524,0.0561509556589476,0.36896271441855305,0.6310372855814469,0.6391308585629155,0.36086914143708454,0.7079914247234353,0.2920085752765647,0.658792768188293,0.341207231811707,0.5161383536171099,0.48386164638289014,0.7250656714461728,0.2749343285538272,0.2891198454590377,0.7108801545409623,0.6440360639378317,0.35596393606216825,0.5000738169470988,0.4999261830529012,0.6970163012557746,0.3029836987442253,0.1445312641288496,0.8554687358711505,0.7294762322073238,0.2705237677926762,0.38220816507196426,0.6177918349280357,0.6996099801593786,0.3003900198406214,0.1674834152337634,0.8325165847662366
3,0202024-700,0.740576487453854,0.25942351254614604,0.5032868771242114,0.49671312287578856,0.6983521641926773,0.30164783580732263,0.23303898930510417,0.7669610106948959,0.9298174687800064,0.07018253121999359,0.34410151044263015,0.6558984895573698,0.42813152195156523,0.5718684780484348,0.5148151029702047,0.4851848970297952,0.6678064467012284,0.3321935532987717,0.5100335860876106,0.4899664139123893,0.6406551485411729,0.35934485145882705,0.2302416836065323,0.7697583163934677,0.595583573045328,0.40441642695467195,0.48441444583126086,0.5155855541687391,0.6357632709191363,0.36423672908086363,0.13803594466795724,0.8619640553320428,0.6296023705000866,0.37039762949991345,0.3690102236326043,0.6309897763673957,0.5751342813903284,0.42486571860967165,0.11594220966750345,0.8840577903324965
3,0202024-705,0.7040395131425324,0.2959604868574674,0.5037757786002665,0.4962242213997336,0.6935700493838215,0.3064299506161785,0.23629675032098996,0.76370324967901,0.9507394821979279,0.049260517802072,0.3523790974316782,0.6476209025683218,0.4681242034322372,0.5318757965677627,0.5890261161804697,0.41097388381953026,0.6476409165486103,0.35235908345138944,0.5093855081456897,0.49061449185431033,0.6471253994689202,0.3528746005310798,0.23206997992552006,0.76793002007448,0.6520643358016561,0.34793566419834365,0.489200097073885,0.510799902926115,0.6482634534487882,0.35173654655121184,0.15277489894646062,0.8472251010535394,0.7376364092040093,0.26236359079599075,0.375050775155073,0.624949224844927,0.6018582528482824,0.3981417471517176,0.15569805800992284,0.8443019419900771
3,0202024-710,0.678163077291954,0.321836922708046,0.5080248523862076,0.49197514761379235,0.6860942697005795,0.3139057302994205,0.21124929496502554,0.7887507050349745,0.9641277999413151,0.03587220005868487,0.36319344743600496,0.6368065525639951,0.4700342609535568,0.5299657390464432,0.6139310660834463,0.3860689339165535,0.6828677916618235,0.31713220833817646,0.5111386669769582,0.4888613330230418,0.6460005308477609,0.3539994691522391,0.23707544347956305,0.7629245565204368,0.660642955925825,0.33935704407417505,0.49661385812723985,0.5033861418727601,0.6309113617973715,0.36908863820262844,0.15129907233769876,0.8487009276623012,0.7302365057607688,0.2697634942392311,0.36897349762629483,0.6310265023737052,0.5889045102106403,0.4110954897893597,0.14293922361983363,0.8570607763801664
3,0202024-715,0.6387122796301661,0.36128772036983414,0.5042002158786667,0.4957997841213333,0.6978168745523089,0.3021831254476911,0.21007685599023762,0.7899231440097624,0.9667607671049294,0.033239232895070844,0.38035420355467037,0.6196457964453297,0.5015691365699487,0.49843086343005133,0.6788742635181456,0.3211257364818544,0.6615400097863935,0.3384599902136067,0.5132742308907225,0.4867257691092775,0.6395089679658631,0.3604910320341369,0.2334901518851974,0.7665098481148026,0.7115199941073597,0.2884800058926405,0.500937162846063,0.49906283715393696,0.6536166223381836,0.34638337766181637,0.17772820522889374,0.8222717947711062,0.8090296024159914,0.19097039758400886,0.37706066423591633,0.6229393357640837,0.6243512459142753,0.3756487540857248,0.18500971094381274,0.8149902890561872
3,0202024-720,0.7438488739996542,0.25615112600034584,0.5118457237592501,0.4881542762407499,0.7145943871404636,0.2854056128595363,0.24824748961495546,0.7517525103850445,0.9612893065917497,0.03871069340825031,0.3578767868228739,0.6421232131771262,0.4893719229842584,0.5106280770157415,0.632492423778434,0.36750757622156605,0.6504521552783028,0.3495478447216972,0.5087678724547532,0.4912321275452468,0.6367627035330162,0.36323729646698383,0.2412949370267602,0.7587050629732398,0.7130984302607213,0.28690156973927877,0.5062122782243249,0.49378772177567504,0.6527917924682782,0.3472082075317218,0.1667495332537075,0.8332504667462926,0.7840347902765288,0.2159652097234712,0.3764413767981184,0.6235586232018816,0.6029784691666485,0.3970215308333515,0.14963165607033582,0.8503683439296642
3,0202024-725,0.6234192115831796,0.37658078841682047,0.5037686864028329,0.49623131359716716,0.6864278238700819,0.31357217612991806,0.22170862205555236,0.7782913779444477,0.9633374682906056,0.03666253170939441,0.34338920963300634,0.6566107903669937,0.4413265809145395,0.5586734190854605,0.5407190853978137,0.4592809146021863,0.589769662824486,0.41023033717551405,0.5059230314883898,0.4940769685116102,0.6358034150065847,0.3641965849934153,0.21174872607953538,0.7882512739204647,0.6002103050766732,0.39978969492332683,0.4935128822150409,0.5064871177849591,0.6328154175190305,0.3671845824809695,0.1468895953646311,0.8531104046353689,0.67336005947598,0.32663994052402,0.3754003694725834,0.6245996305274166,0.585142731851293,0.41485726814870705,0.1401915919305525,0.8598084080694475
