county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.uss_16_rep_joh,vap_white.uss_16_dem_fei,vap_black.uss_16_rep_joh,vap_black.uss_16_dem_fei,vap_hisp.uss_16_rep_joh,vap_hisp.uss_16_dem_fei,vap_asian.uss_16_rep_joh,vap_asian.uss_16_dem_fei,vap_aian.uss_16_rep_joh,vap_aian.uss_16_dem_fei,vap_oth_b.uss_16_rep_joh,vap_oth_b.uss_16_dem_fei,vap_white.uss_18_rep_vuk,vap_white.uss_18_dem_bal,vap_black.uss_18_rep_vuk,vap_black.uss_18_dem_bal,vap_hisp.uss_18_rep_vuk,vap_hisp.uss_18_dem_bal,vap_asian.uss_18_rep_vuk,vap_asian.uss_18_dem_bal,vap_aian.uss_18_rep_vuk,vap_aian.uss_18_dem_bal,vap_oth_b.uss_18_rep_vuk,vap_oth_b.uss_18_dem_bal,vap_white.gov_18_rep_wal,vap_white.gov_18_dem_eve,vap_black.gov_18_rep_wal,vap_black.gov_18_dem_eve,vap_hisp.gov_18_rep_wal,vap_hisp.gov_18_dem_eve,vap_asian.gov_18_rep_wal,vap_asian.gov_18_dem_eve,vap_aian.gov_18_rep_wal,vap_aian.gov_18_dem_eve,vap_oth_b.gov_18_rep_wal,vap_oth_b.gov_18_dem_eve,vap_white.atg_18_rep_sch,vap_white.atg_18_dem_kau,vap_black.atg_18_rep_sch,vap_black.atg_18_dem_kau,vap_hisp.atg_18_rep_sch,vap_hisp.atg_18_dem_kau,vap_asian.atg_18_rep_sch,vap_asian.atg_18_dem_kau,vap_aian.atg_18_rep_sch,vap_aian.atg_18_dem_kau,vap_oth_b.atg_18_rep_sch,vap_oth_b.atg_18_dem_kau,vap_white.sos_18_rep_sch,vap_white.sos_18_dem_laf,vap_black.sos_18_rep_sch,vap_black.sos_18_dem_laf,vap_hisp.sos_18_rep_sch,vap_hisp.sos_18_dem_laf,vap_asian.sos_18_rep_sch,vap_asian.sos_18_dem_laf,vap_aian.sos_18_rep_sch,vap_aian.sos_18_dem_laf,vap_oth_b.sos_18_rep_sch,vap_oth_b.sos_18_dem_laf,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_white.pre_24_dem_har,vap_white.pre_24_rep_tru,vap_black.pre_24_dem_har,vap_black.pre_24_rep_tru,vap_hisp.pre_24_dem_har,vap_hisp.pre_24_rep_tru,vap_asian.pre_24_dem_har,vap_asian.pre_24_rep_tru,vap_aian.pre_24_dem_har,vap_aian.pre_24_rep_tru,vap_oth_b.pre_24_dem_har,vap_oth_b.pre_24_rep_tru
Adams County,55001000001,0.5411199385058642,0.45888006149413585,0.5577523689505225,0.4422476310494775,0.5368856698278686,0.4631143301721314,0.5152246281595221,0.4847753718404779,0.5142363578983147,0.4857636421016853,0.5231850437521075,0.47681495624789255,0.5161410432451721,0.48385895675482793,0.5143232166520468,0.4856767833479532,0.49694745432485393,0.503052545675146,0.47720828030531265,0.5227917196946874,0.4846939785920437,0.5153060214079563,0.4977072551290867,0.5022927448709132,0.464052610715973,0.535947389284027,0.4958032534566305,0.5041967465433694,0.4722031145999541,0.5277968854000459,0.4732158669583219,0.526784133041678,0.505177184442811,0.49482281555718893,0.5048361202703808,0.4951638797296192,0.5570494090402981,0.4429505909597019,0.5166975898044718,0.4833024101955283,0.4626775654889429,0.5373224345110572,0.5059288469815236,0.49407115301847643,0.49304114807411736,0.5069588519258826,0.49875193403132995,0.5012480659686701,0.5340126321708087,0.4659873678291912,0.5336128772862418,0.46638712271375815,0.4835303592861537,0.5164696407138464,0.4765874882137184,0.5234125117862816,0.4967563107099784,0.5032436892900216,0.5217443547087749,0.4782556452912251,0.5088056659594976,0.4911943340405024,0.51745286332753615,0.48254713667246385,0.4841032773391127,0.5158967226608873,0.47593089844745506,0.5240691015525449,0.49304027561373925,0.5069597243862608,0.4938958469756733,0.5061041530243268,0.4028821295555738,0.5971178704444263,0.4379352077366986,0.5620647922633014,0.4751913308758095,0.5248086691241906,0.4671327740980204,0.5328672259019795,0.488402848587024,0.511597151412976,0.5221128215385201,0.4778871784614799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County,55001000002,0.5410548881374525,0.4589451118625475,0.5568299550068437,0.44317004499315626,0.5438536339043184,0.4561463660956816,0.5100394798851082,0.48996052011489183,0.5165442555278263,0.48345574447217365,0.5260966718878994,0.4739033281121006,0.5136182329765433,0.4863817670234567,0.5200787160015236,0.4799212839984765,0.4968754823825712,0.5031245176174288,0.47600100801859113,0.5239989919814089,0.4905325342100745,0.5094674657899255,0.5009549327534952,0.4990450672465048,0.4640278214711054,0.5359721785288947,0.49980195524312304,0.500198044756877,0.47413036749628057,0.5258696325037194,0.4778462476313812,0.5221537523686188,0.49866377023665465,0.5013362297633454,0.507940473165761,0.492059526834239,0.5547351850782559,0.4452648149217441,0.5118120754195034,0.4881879245804966,0.4660975652458139,0.5339024347541861,0.5126239092501077,0.4873760907498923,0.4901438270911141,0.509856172908886,0.5027262957728809,0.49727370422711914,0.5344678892656798,0.4655321107343202,0.5413997827914029,0.45860021720859706,0.4859768699813325,0.5140231300186676,0.4799964704782914,0.5200035295217086,0.4961093088036717,0.5038906911963283,0.5208001205326176,0.47919987946738246,0.5081543610703261,0.4918456389296739,0.5216727909318616,0.4783272090681384,0.49081228011177297,0.5091877198882271,0.4738454665717145,0.5261545334282856,0.4939654980588471,0.5060345019411528,0.4931509983110268,0.5068490016889732,0.4042672912787348,0.5957327087212653,0.4307147388146258,0.5692852611853741,0.4662271780857431,0.5337728219142569,0.4722857237586335,0.5277142762413666,0.4862264698370312,0.5137735301629688,0.5224520782655732,0.4775479217344269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County,55001000003,0.5471991768672616,0.4528008231327385,0.5600303906553667,0.4399696093446333,0.5338705255187794,0.46612947448122055,0.5134958631953529,0.4865041368046472,0.5141132359301535,0.4858867640698466,0.5323313684440619,0.4676686315559381,0.5220596787185952,0.4779403212814049,0.5103488011127776,0.4896511988872224,0.5021676549452706,0.4978323450547294,0.4791295980177967,0.5208704019822032,0.4862925476857788,0.5137074523142212,0.511348658625838,0.4886513413741621,0.46963743122907614,0.5303625687709239,0.5007512113782011,0.4992487886217989,0.470487342952899,0.5295126570471009,0.4785262337289984,0.5214737662710016,0.49693251989923,0.5030674801007701,0.518084498942253,0.481915501057747,0.548045065677276,0.451954934322724,0.5007614023539332,0.4992385976460668,0.46157235900638105,0.538427640993619,0.5068969508733162,0.49310304912668385,0.4955167489353006,0.5044832510646994,0.4962682974746264,0.5037317025253736,0.538855908305067,0.461144091694933,0.5405145002787924,0.4594854997212075,0.48552830406610514,0.5144716959338949,0.4751850681301178,0.5248149318698823,0.49400942315788143,0.5059905768421186,0.525962457562788,0.474037542437212,0.5120411355908709,0.4879588644091291,0.5200295548443584,0.4799704451556415,0.4846910826062224,0.5153089173937776,0.47616750344936465,0.5238324965506354,0.4975429209832779,0.5024570790167221,0.49815506344321314,0.5018449365567869,0.40731338002901174,0.5926866199709883,0.4345499917026406,0.5654500082973595,0.47239632044953,0.5276036795504699,0.4698779157702699,0.5301220842297301,0.4821098820709605,0.5178901179290395,0.519862345321179,0.480137654678821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County,55001000004,0.5449924384676477,0.4550075615323523,0.5608364536511754,0.43916354634882465,0.5372555541181667,0.4627444458818332,0.5109534021351086,0.48904659786489135,0.5162243454931111,0.48377565450688886,0.5362166077240382,0.4637833922759617,0.5145897942121616,0.4854102057878384,0.5183651156632207,0.48163488433677926,0.493904391788383,0.506095608211617,0.4774552597174364,0.5225447402825636,0.4831968317754845,0.5168031682245156,0.5027668407338528,0.4972331592661472,0.46734675169736295,0.532653248302637,0.4960750050303712,0.5039249949696288,0.4734562660872149,0.5265437339127851,0.47519637394452946,0.5248036260554705,0.5003651399964096,0.4996348600035904,0.5096181622772331,0.4903818377227669,0.5567419858052514,0.44325801419474864,0.5037714221606459,0.4962285778393541,0.4558713722483656,0.5441286277516344,0.5037633966568402,0.4962366033431598,0.4904751329076713,0.5095248670923287,0.500918971486675,0.49908102851332503,0.5322728646836175,0.46772713531638255,0.5389984866873896,0.4610015133126104,0.48733001570487294,0.512669984295127,0.47940720846670415,0.5205927915332959,0.492595321552852,0.507404678447148,0.5228968477653333,0.4771031522346667,0.5096462593970364,0.4903537406029636,0.5181857650727304,0.48181423492726955,0.4885755957022717,0.5114244042977283,0.4697037040330678,0.5302962959669322,0.4969016019027969,0.5030983980972031,0.498707810785757,0.501292189214243,0.4021024681044989,0.5978975318955012,0.42925777402072945,0.5707422259792706,0.4710921820629376,0.5289078179370623,0.472496280006936,0.527503719993064,0.4829845854030821,0.5170154145969179,0.5170440662076571,0.4829559337923429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County,55001000005,0.6509113938064232,0.3490886061935768,0.5615223516783765,0.4384776483216235,0.5422947032159161,0.4577052967840839,0.5119149466150931,0.4880850533849067,0.5178637027421363,0.4821362972578637,0.5298051616904621,0.47019483830953773,0.5765170145072795,0.42348298549272045,0.5163989997909364,0.4836010002090636,0.503597848775584,0.496402151224416,0.4767280813321661,0.523271918667834,0.4896811952642922,0.5103188047357078,0.5063104978158945,0.4936895021841052,0.5281519609408292,0.4718480390591708,0.4977238446242538,0.5022761553757463,0.4768189639104219,0.5231810360895781,0.47424722110406486,0.525752778895935,0.4939641680128367,0.5060358319871633,0.5158938048252285,0.48410619517477144,0.6106026043363032,0.38939739566369674,0.5056072957146726,0.49439270428532744,0.4626573963017559,0.537342603698244,0.504122189209635,0.4958778107903647,0.49197736234347295,0.5080226376565271,0.49764663775446055,0.5023533622455393,0.6029547812669247,0.39704521873307536,0.5413050126743991,0.4586949873256009,0.4945994412985988,0.5054005587014012,0.477167886663015,0.522832113336985,0.4934579698328621,0.506542030167138,0.5245255305584616,0.47547446944153843,0.5790052661659628,0.4209947338340373,0.5239586306665454,0.47604136933345464,0.494559304203587,0.505440695796413,0.478551190237962,0.5214488097620378,0.5012063148680376,0.49879368513196243,0.4979278415025545,0.5020721584974455,0.3549311507325542,0.6450688492674458,0.4289632940264785,0.5710367059735215,0.4682659249468849,0.5317340750531151,0.4642345893288448,0.5357654106711552,0.4846850823613173,0.5153149176386828,0.5149966935741475,0.48500330642585227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County,55001000006,0.6513747092972574,0.34862529070274284,0.563815265008359,0.43618473499164107,0.5457044624899149,0.45429553751008506,0.5063208054356586,0.4936791945643414,0.516597352326786,0.4834026476732139,0.5293019585165041,0.47069804148349587,0.5742968571237953,0.4257031428762049,0.5155571368091414,0.48444286319085866,0.5022072870216818,0.49779271297831823,0.48104246169267606,0.5189575383073239,0.489811150117637,0.510188849882363,0.5089125106526905,0.4910874893473095,0.5275125270634293,0.4724874729365709,0.5024368765638078,0.49756312343619225,0.4823512081675837,0.5176487918324163,0.4769683763080376,0.5230316236919624,0.4971806958178247,0.5028193041821752,0.5186341053212263,0.4813658946787736,0.6120362650461902,0.38796373495381,0.5071809078746965,0.4928190921253035,0.4704018468479813,0.5295981531520187,0.5103319109327266,0.48966808906727344,0.4919773207798462,0.5080226792201539,0.50289733635574,0.49710266364426,0.6046373710532991,0.3953626289467011,0.5405894511536372,0.4594105488463628,0.4944518199798744,0.5055481800201256,0.47360116426085413,0.5263988357391459,0.4933597129424887,0.5066402870575113,0.5202612508530976,0.47973874914690234,0.5778609966215055,0.4221390033784947,0.5224230753318397,0.47757692466816026,0.49258880019982426,0.5074111998001757,0.4800203505426089,0.5199796494573911,0.4948135878686278,0.5051864121313722,0.500385545168349,0.49961445483165096,0.34924876036310454,0.6507512396368957,0.4320448440639112,0.5679551559360888,0.4680729968131737,0.5319270031868263,0.4702938030880269,0.5297061969119732,0.484517732494568,0.515482267505432,0.5188144190316394,0.48118558096836056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County,55001000007,0.6417334552289865,0.35826654477101344,0.558793303928775,0.4412066960712249,0.5463055162538716,0.4536944837461285,0.5120055281708303,0.4879944718291696,0.5165455344814079,0.4834544655185921,0.5334757934279779,0.46652420657202215,0.5759638817642927,0.4240361182357073,0.5153100413172818,0.4846899586827182,0.49988300570538674,0.5001169942946132,0.47924950259096455,0.5207504974090355,0.4849050519085379,0.5150949480914622,0.5043468098732437,0.4956531901267564,0.527497394208475,0.4725026057915251,0.5007445388873903,0.49925546111260966,0.48229856534690563,0.5177014346530944,0.4764180140463498,0.5235819859536501,0.49416179975682206,0.5058382002431779,0.5174243856718476,0.4825756143281525,0.6015857851461186,0.39841421485388145,0.5056286378124484,0.4943713621875516,0.4641343418552832,0.5358656581447168,0.5063256397906277,0.49367436020937233,0.4951073815446677,0.5048926184553323,0.4989776737563724,0.5010223262436275,0.5951423386471442,0.4048576613528559,0.535688295280327,0.4643117047196729,0.4949369537559465,0.5050630462440535,0.47812203605639464,0.5218779639436053,0.4896692980995374,0.5103307019004626,0.522124707763468,0.477875292236532,0.5715618412425709,0.4284381587574291,0.517952157472335,0.482047842527665,0.48861085207479626,0.5113891479252037,0.4759962968936792,0.5240037031063208,0.4952700328152124,0.5047299671847876,0.5016553742532428,0.4983446257467572,0.3553901809540304,0.6446098190459696,0.4340242015104935,0.5659757984895065,0.4673730870750163,0.5326269129249838,0.4711002976615146,0.5288997023384854,0.483129212808313,0.516870787191687,0.515050975069818,0.484949024930182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County,55001000008,0.6465307794765212,0.3534692205234788,0.5582662842571909,0.4417337157428091,0.5433005682351953,0.45669943176480465,0.5133800878707865,0.48661991212921346,0.5171141061828128,0.4828858938171872,0.5293727349531546,0.47062726504684543,0.5770640934548373,0.42293590654516267,0.5157477158389602,0.4842522841610398,0.4944534106932985,0.5055465893067015,0.4879844665271899,0.51201553347281,0.4915385765874149,0.5084614234125852,0.501610147215542,0.4983898527844578,0.5389245211038995,0.4610754788961004,0.5004446549428921,0.49955534505710786,0.47626381967823145,0.5237361803217686,0.4765939858594128,0.5234060141405872,0.5001248427690463,0.4998751572309537,0.5201011849040422,0.4798988150959578,0.6279854772356025,0.3720145227643976,0.5030245254106867,0.4969754745893134,0.46660142680337263,0.5333985731966274,0.5125376408815908,0.4874623591184092,0.4927394109488823,0.5072605890511176,0.49795209295613513,0.5020479070438648,0.6252089851176691,0.37479101488233085,0.5421625109629069,0.45783748903709304,0.5042996279411432,0.4957003720588567,0.486331316442509,0.5136686835574911,0.4971495662803353,0.5028504337196646,0.5298013114878655,0.4701986885121345,0.5814549507678285,0.4185450492321715,0.5258849282670984,0.4741150717329015,0.4924819281455674,0.5075180718544327,0.4818375483645339,0.518162451635466,0.4931579512394594,0.5068420487605406,0.5025638329100552,0.4974361670899448,0.3353773905066477,0.6646226094933523,0.4336717291977662,0.5663282708022338,0.46742762407899335,0.5325723759210067,0.47210344458798575,0.5278965554120143,0.48900265179150926,0.5109973482084907,0.508381467820467,0.4916185321795328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County,55001000009,0.6425541586265937,0.35744584137340624,0.557543890037445,0.4424561099625551,0.549122567124652,0.450877432875348,0.5084212526443127,0.4915787473556873,0.5234688292357517,0.47653117076424856,0.534988393377981,0.465011606622019,0.5727031308864738,0.4272968691135261,0.5148111400694281,0.4851888599305719,0.5000492807968674,0.49995071920313267,0.4821851626491388,0.5178148373508612,0.4925977978076661,0.5074022021923342,0.5078862737211528,0.4921137262788473,0.5410772934201069,0.4589227065798931,0.49735752855586635,0.5026424714441337,0.48291976989542845,0.5170802301045716,0.47533761747087466,0.5246623825291253,0.4963148330311518,0.5036851669688485,0.5134719299807661,0.4865280700192339,0.6199829014750613,0.3800170985249387,0.5092995807423962,0.49070041925760377,0.4642410230217251,0.5357589769782749,0.5019871485625255,0.49801285143747454,0.49424760828367253,0.5057523917163277,0.5003102337779122,0.49968976622208783,0.6185037171252614,0.3814962828747386,0.5417161933053454,0.45828380669465457,0.4942507227383114,0.5057492772616886,0.4799789991487262,0.5200210008512738,0.5029295096776056,0.4970704903223946,0.5254726455499916,0.4745273544500084,0.5753016354014018,0.42469836459859817,0.5233783453387525,0.4766216546612475,0.4850663483295563,0.5149336516704437,0.4713277371927628,0.5286722628072372,0.495862582695163,0.5041374173048372,0.5019602509588117,0.4980397490411883,0.3429585672927229,0.6570414327072771,0.4398128385771124,0.5601871614228876,0.46994808963494944,0.5300519103650505,0.4786386172731504,0.5213613827268496,0.4836577299952481,0.5163422700047521,0.5139659964374318,0.4860340035625682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County,55001000010,0.6696869111262549,0.3303130888737451,0.5644353295683616,0.4355646704316383,0.5491136522428794,0.4508863477571205,0.5126589753660267,0.4873410246339734,0.5122130393573376,0.4877869606426624,0.5352807080961758,0.46471929190382416,0.6817644495758753,0.31823555042412466,0.51880688325777,0.48119311674223,0.5090097257750259,0.4909902742249741,0.4812597103694034,0.5187402896305966,0.4870671276752276,0.5129328723247724,0.5141378515351418,0.48586214846485826,0.526185807277698,0.4738141927223019,0.4988673878898515,0.5011326121101485,0.47699274049448304,0.523007259505517,0.4695889221397629,0.5304110778602371,0.49304930254927715,0.5069506974507229,0.5209524355254916,0.4790475644745083,0.6138330336059709,0.38616696639402914,0.5067588295972676,0.49324117040273247,0.46512583697429305,0.5348741630257069,0.5128194413112445,0.4871805586887555,0.4940527461132603,0.5059472538867397,0.4956354565148484,0.5043645434851516,0.5830034457263084,0.4169965542736917,0.5422296762415636,0.4577703237584364,0.4911161320757903,0.5088838679242097,0.4807949178336248,0.5192050821663752,0.49718291227061434,0.5028170877293856,0.5182110898513571,0.4817889101486429,0.5572860340179062,0.4427139659820937,0.5160831062560159,0.48391689374398406,0.4953348444748385,0.5046651555251614,0.4734616751566507,0.5265383248433493,0.4961028077749053,0.5038971922250947,0.5014351533806913,0.49856484661930867,0.3083813187248134,0.6916186812751867,0.4256151213934896,0.5743848786065104,0.4640888046426169,0.5359111953573831,0.47422741628210646,0.5257725837178935,0.4853971320981604,0.5146028679018395,0.508905208268822,0.491094791731178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
