county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_16_rep_she,vap_white.uss_16_dem_cru,vap_black.uss_16_rep_she,vap_black.uss_16_dem_cru,vap_hisp.uss_16_rep_she,vap_hisp.uss_16_dem_cru,vap_oth.uss_16_rep_she,vap_oth.uss_16_dem_cru,vap_white.gov_18_rep_ive,vap_white.gov_18_dem_mad,vap_black.gov_18_rep_ive,vap_black.gov_18_dem_mad,vap_hisp.gov_18_rep_ive,vap_hisp.gov_18_dem_mad,vap_oth.gov_18_rep_ive,vap_oth.gov_18_dem_mad,vap_white.atg_18_rep_mar,vap_white.atg_18_dem_sie,vap_black.atg_18_rep_mar,vap_black.atg_18_dem_sie,vap_hisp.atg_18_rep_mar,vap_hisp.atg_18_dem_sie,vap_oth.atg_18_rep_mar,vap_oth.atg_18_dem_sie,vap_white.sos_18_rep_mer,vap_white.sos_18_dem_mil,vap_black.sos_18_rep_mer,vap_black.sos_18_dem_mil,vap_hisp.sos_18_rep_mer,vap_hisp.sos_18_dem_mil,vap_oth.sos_18_rep_mer,vap_oth.sos_18_dem_mil,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_tub,vap_white.uss_20_dem_jon,vap_black.uss_20_rep_tub,vap_black.uss_20_dem_jon,vap_hisp.uss_20_rep_tub,vap_hisp.uss_20_dem_jon,vap_oth.uss_20_rep_tub,vap_oth.uss_20_dem_jon
Autauga County,01001000001,0.9483843662594779,0.05161563374052216,0.07326840639522383,0.9267315936047762,0.41982079358057367,0.5801792064194263,0.43741528412085273,0.5625847158791473,0.9334899623384285,0.06651003766157144,0.08584441361522961,0.9141555863847703,0.4465247154800099,0.5534752845199902,0.39080870836571485,0.6091912916342852,0.8853460157735973,0.1146539842264027,0.16251970696437423,0.8374802930356258,0.4483601121033672,0.5516398878966328,0.4135299794900048,0.5864700205099952,0.8321127515912047,0.16788724840879538,0.1531781560586372,0.8468218439413628,0.4755906834911261,0.5244093165088739,0.4350505831075792,0.5649494168924208,0.9171010570202605,0.08289894297973956,0.08878139649742521,0.9112186035025748,0.4467182458034796,0.5532817541965205,0.36334024604558607,0.636659753954414,0.8913264529008578,0.1086735470991422,0.07255124543591983,0.9274487545640802,0.3972660569319054,0.6027339430680946,0.3241582295714475,0.6758417704285524,0.8220541060700771,0.17794589392992288,0.10228948314357873,0.8977105168564212,0.42439683301975906,0.5756031669802409,0.40504323372892975,0.5949567662710703
Autauga County,01001000002,0.9843546093864524,0.015645390613547607,0.1410176918483806,0.8589823081516195,0.4522310851118785,0.5477689148881215,0.5026551390012656,0.4973448609987344,0.9758489150429253,0.02415108495707475,0.13976927106094958,0.8602307289390504,0.4667739169738146,0.5332260830261853,0.4334276224240372,0.5665723775759628,0.8939670000930129,0.10603299990698707,0.18509957971198668,0.8149004202880133,0.4416706857956381,0.5583293142043619,0.3953357944805164,0.6046642055194836,0.8481307058599153,0.1518692941400846,0.18624953123759852,0.8137504687624015,0.4748532774215627,0.5251467225784373,0.42586047098421853,0.5741395290157815,0.934759163235943,0.06524083676405695,0.11714129938752543,0.8828587006124745,0.4312568694454003,0.5687431305545997,0.3427008392977943,0.6572991607022056,0.9254760659850604,0.07452393401493962,0.11059385967602002,0.88940614032398,0.37301064594310934,0.6269893540568906,0.31559139459417934,0.6844086054058206,0.8746104537245024,0.1253895462754976,0.14250095207016264,0.8574990479298373,0.41869540144754047,0.5813045985524595,0.3992538762004737,0.6007461237995263
Autauga County,01001000003,0.9889207978140714,0.011079202185928602,0.14838984967401322,0.8516101503259867,0.4406025093014561,0.5593974906985438,0.4688441314360161,0.5311558685639839,0.9862041642636917,0.013795835736308274,0.14707485701285972,0.8529251429871403,0.4564467904695657,0.5435532095304343,0.42165484665027814,0.5783451533497219,0.9641656573018875,0.03583434269811251,0.19739015214347397,0.802609847856526,0.45391404700188137,0.5460859529981187,0.4186893734738586,0.5813106265261414,0.9348510519284481,0.06514894807155189,0.21560937378696116,0.7843906262130388,0.4843733021810607,0.5156266978189393,0.4460938171115997,0.5539061828884003,0.9711314311526911,0.028868568847308963,0.12986350936463903,0.8701364906353609,0.451963674356589,0.548036325643411,0.3675620557176656,0.6324379442823345,0.9584515072057059,0.041548492794294054,0.11699915608710973,0.8830008439128902,0.3913290760264994,0.6086709239735006,0.325038263855977,0.674961736144023,0.9228103129081869,0.0771896870918131,0.16330757005913749,0.8366924299408625,0.43511092256595174,0.5648890774340483,0.4073945477476176,0.5926054522523824
Autauga County,01001000004,0.9713101784974104,0.028689821502589564,0.15880649455195486,0.8411935054480452,0.45316447231033286,0.5468355276896671,0.5382261415987328,0.4617738584012672,0.9659316209869246,0.03406837901307538,0.16568230282564797,0.834317697174352,0.47992761980578974,0.5200723801942102,0.5063198772519897,0.49368012274801026,0.8865670444145147,0.11343295558548531,0.16497835879070408,0.8350216412092959,0.4409894701203095,0.5590105298796905,0.3778148915757141,0.622185108424286,0.8565435903355987,0.1434564096644013,0.1820551783272884,0.8179448216727117,0.46801370627185496,0.531986293728145,0.433519761057123,0.566480238942877,0.9363129570712576,0.06368704292874242,0.11171866791195466,0.8882813320880454,0.44729327027460675,0.5527067297253933,0.3465309868399205,0.6534690131600794,0.9377537776396125,0.06224622236038747,0.10748331532474281,0.8925166846752572,0.3951995854326654,0.6048004145673346,0.31099858457109014,0.6890014154289098,0.8830765401454818,0.1169234598545182,0.11667042888335495,0.883329571116645,0.4203633293166963,0.5796366706833037,0.3839595178683985,0.6160404821316016
Autauga County,01001000005,0.9248516689083196,0.07514833109168026,0.08586040794569905,0.914139592054301,0.41463236855492563,0.5853676314450744,0.4239390610785464,0.5760609389214536,0.9266904740030034,0.0733095259969966,0.10052451591716707,0.899475484082833,0.4413927169864248,0.5586072830135752,0.37940050654122875,0.6205994934587713,0.8842874195895775,0.11571258041042246,0.17591462729624405,0.8240853727037559,0.44355395564427663,0.5564460443557234,0.40076522857449803,0.599234771425502,0.814340051289004,0.18565994871099598,0.1760479336212847,0.8239520663787153,0.4736379169619268,0.5263620830380732,0.43435959700637006,0.5656404029936299,0.8861214044005408,0.11387859559945923,0.1110141694136139,0.8889858305863861,0.44649494455046146,0.5535050554495385,0.3572713901567844,0.6427286098432157,0.9303773901469647,0.06962260985303509,0.09071895620963405,0.9092810437903659,0.39342460302436094,0.6065753969756391,0.32822060896615385,0.6717793910338462,0.8866037425500706,0.11339625744992943,0.1382086869031307,0.8617913130968693,0.4277552631235281,0.5722447368764719,0.4052970676643341,0.594702932335666
Autauga County,01001000006,0.9798922730190828,0.020107726980917198,0.11949500719246861,0.8805049928075314,0.4090820660674205,0.5909179339325795,0.41452306601055544,0.5854769339894446,0.9485319759239896,0.051468024076010394,0.13366784824500483,0.8663321517549951,0.42930764847255615,0.5706923515274439,0.3614068977668946,0.6385931022331054,0.9050017676373037,0.09499823236269635,0.19190946289385624,0.8080905371061438,0.44246196096233464,0.5575380390376653,0.4056506580147047,0.5943493419852953,0.8646661502413007,0.13533384975869933,0.20138321945178406,0.7986167805482159,0.4776723166246265,0.5223276833753735,0.4389100637357424,0.5610899362642576,0.9135696631937784,0.08643033680622159,0.13419203371478539,0.8658079662852146,0.43467227515068674,0.5653277248493133,0.34611859054981203,0.6538814094501879,0.9804686461906422,0.019531353809357815,0.12430920075117069,0.8756907992488293,0.41476934777233765,0.5852306522276624,0.3499272871506201,0.65007271284938,0.9347251996629939,0.06527480033700601,0.15318830128616195,0.846811698713838,0.4172733572464778,0.5827266427535223,0.4031760881751066,0.5968239118248934
Autauga County,01001000007,0.9834094941193471,0.016590505880652872,0.10517352453763476,0.8948264754623653,0.4251058512279535,0.5748941487720465,0.4305538336140618,0.5694461663859383,0.9530763312236576,0.04692366877634236,0.12233671782846182,0.8776632821715382,0.4339472189158563,0.5660527810841437,0.3640292655149015,0.6359707344850986,0.9031875228504945,0.09681247714950551,0.17639974753823293,0.823600252461767,0.4503683345669507,0.5496316654330493,0.3971185156139405,0.6028814843860595,0.8656374502031811,0.13436254979681891,0.18836394499572795,0.811636055004272,0.4758010529916978,0.5241989470083023,0.43493402475089843,0.5650659752491016,0.9231537220239038,0.07684627797609621,0.13080113011676917,0.8691988698832308,0.44207758595095753,0.5579224140490425,0.35377834658345175,0.6462216534165482,0.9552676115730475,0.04473238842695248,0.11273691560058399,0.887263084399416,0.38371345097959436,0.6162865490204056,0.3138767137581017,0.6861232862418983,0.9249566605189706,0.07504333948102933,0.15022517574937144,0.8497748242506286,0.43226026884941976,0.5677397311505803,0.3947749551804029,0.605225044819597
Autauga County,01001000008,0.8634586127795835,0.1365413872204166,0.06639353378551091,0.9336064662144891,0.41039345521390935,0.5896065447860906,0.4171319865468277,0.5828680134531721,0.8833123758574827,0.11668762414251731,0.0688384658756382,0.9311615341243618,0.4356354802041933,0.5643645197958067,0.37551870942818105,0.6244812905718189,0.8001619628327133,0.19983803716728665,0.11397779035614362,0.8860222096438564,0.4427933852811191,0.5572066147188809,0.3939485143082699,0.6060514856917302,0.6889746064527636,0.3110253935472363,0.11239080188807977,0.88760919811192,0.47423922173796784,0.5257607782620322,0.4240756576969225,0.5759243423030775,0.8114040521343616,0.18859594786563844,0.06832246969566275,0.9316775303043373,0.4412933878226587,0.5587066121773413,0.3465568127957176,0.6534431872042822,0.8927882036830748,0.10721179631692528,0.05952093023035222,0.9404790697696478,0.38497781965330974,0.6150221803466902,0.32095669232347823,0.6790433076765218,0.8323386897943065,0.16766131020569353,0.07796771197213012,0.9220322880278699,0.42392197330920744,0.5760780266907926,0.4047238841895033,0.5952761158104964
Autauga County,01001000009,0.9759432724120134,0.02405672758798686,0.10265303313921614,0.8973469668607839,0.44145550928297905,0.558544490717021,0.46653846831299073,0.5334615316870093,0.9535071988452536,0.046492801154746646,0.09737859100157292,0.902621408998427,0.43596109002203204,0.5640389099779679,0.3703817709432503,0.6296182290567497,0.9086018479034351,0.09139815209656513,0.16887227741687508,0.831127722583125,0.44122233796126226,0.5587776620387378,0.40325415627069455,0.5967458437293054,0.8297769927748903,0.1702230072251099,0.1763324132012903,0.8236675867987097,0.4778339614939753,0.5221660385060247,0.43145172793573555,0.5685482720642645,0.9178279178230488,0.08217208217695143,0.11565544632386582,0.8843445536761342,0.4423063406757795,0.5576936593242205,0.35193550889078545,0.6480644911092146,0.9727154971586488,0.027284502841351387,0.12105622285070579,0.8789437771492942,0.427755893570315,0.572244106429685,0.3825131134014128,0.6174868865985872,0.939688937753646,0.06031106224635421,0.16958334494708724,0.8304166550529127,0.4499654973454053,0.5500345026545946,0.42979221977363774,0.5702077802263622
Autauga County,01001000010,0.9864262021688094,0.013573797831190613,0.13816802765703987,0.8618319723429602,0.45077527649708193,0.5492247235029181,0.4968911148438063,0.5031088851561937,0.9730001954021524,0.026999804597847527,0.11940280140123168,0.8805971985987683,0.4405730352932699,0.5594269647067301,0.36611114323169536,0.6338888567683046,0.9281553414468586,0.07184465855314139,0.17812733126103036,0.8218726687389696,0.4451598741408734,0.5548401258591266,0.40532805648658926,0.5946719435134107,0.8922227366314566,0.10777726336854344,0.1890246083011658,0.8109753916988343,0.4765130169871668,0.5234869830128331,0.437880361177477,0.562119638822523,0.9596826241482884,0.04031737585171159,0.12186297735872582,0.8781370226412741,0.4364350926398299,0.5635649073601702,0.3259691486810644,0.6740308513189356,0.9542741773540059,0.04572582264599412,0.10588991337846239,0.8941100866215376,0.3791433829605765,0.6208566170394235,0.2980619586596116,0.7019380413403884,0.9074567980218938,0.09254320197810616,0.16266841534245852,0.8373315846575414,0.42869413259852235,0.5713058674014777,0.3991192317580674,0.6008807682419326
