county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_16_rep_ayo,vap_white.uss_16_dem_has,vap_black.uss_16_rep_ayo,vap_black.uss_16_dem_has,vap_hisp.uss_16_rep_ayo,vap_hisp.uss_16_dem_has,vap_oth.uss_16_rep_ayo,vap_oth.uss_16_dem_has,vap_white.gov_16_rep_sun,vap_white.gov_16_dem_van,vap_black.gov_16_rep_sun,vap_black.gov_16_dem_van,vap_hisp.gov_16_rep_sun,vap_hisp.gov_16_dem_van,vap_oth.gov_16_rep_sun,vap_oth.gov_16_dem_van,vap_white.gov_18_rep_sun,vap_white.gov_18_dem_kel,vap_black.gov_18_rep_sun,vap_black.gov_18_dem_kel,vap_hisp.gov_18_rep_sun,vap_hisp.gov_18_dem_kel,vap_oth.gov_18_rep_sun,vap_oth.gov_18_dem_kel,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_white.uss_20_dem_sha,vap_white.uss_20_rep_mes,vap_black.uss_20_dem_sha,vap_black.uss_20_rep_mes,vap_hisp.uss_20_dem_sha,vap_hisp.uss_20_rep_mes,vap_oth.uss_20_dem_sha,vap_oth.uss_20_rep_mes,vap_white.gov_20_dem_fel,vap_white.gov_20_rep_sun,vap_black.gov_20_dem_fel,vap_black.gov_20_rep_sun,vap_hisp.gov_20_dem_fel,vap_hisp.gov_20_rep_sun,vap_oth.gov_20_dem_fel,vap_oth.gov_20_rep_sun
Belknap County,33001ALTO01,0.6638146317994588,0.33618536820054123,0.5103123457038188,0.4896876542961813,0.5034285197915115,0.4965714802084885,0.5139359002902314,0.4860640997097686,0.6561852396846255,0.3438147603153745,0.5007286843296427,0.4992713156703573,0.47946709804758214,0.5205329019524179,0.5122818781741048,0.4877181218258953,0.6582432544074707,0.3417567455925293,0.5110424175052528,0.48895758249474724,0.5144012119008408,0.4855987880991593,0.49824811494435134,0.5017518850556486,0.7328553390632732,0.26714466093672684,0.5088359572940492,0.49116404270595077,0.49726144962093916,0.5027385503790609,0.5035196303947589,0.4964803696052411,0.3663835993423559,0.6336164006576441,0.48789117241901453,0.5121088275809855,0.5148504940299821,0.4851495059700179,0.48932918394036234,0.5106708160596377,0.41491020218614644,0.5850897978138535,0.49679631163087073,0.5032036883691292,0.4990827308294888,0.5009172691705112,0.4999450979783927,0.5000549020216073,0.1790465376731577,0.8209534623268423,0.5039150676267614,0.49608493237323864,0.5006596286288295,0.4993403713711705,0.5330110962716939,0.46698890372830615
Belknap County,33001BARN01,0.6281345315482539,0.37186546845174606,0.5085231905676552,0.4914768094323449,0.4999950877226425,0.5000049122773575,0.5162008562403667,0.48379914375963323,0.5896826520666987,0.41031734793330127,0.5017796881073902,0.49822031189260985,0.4749530668721503,0.5250469331278498,0.5113711479197692,0.4886288520802308,0.5933350027898013,0.40666499721019866,0.5077696782256338,0.49223032177436626,0.5124307466064775,0.4875692533935225,0.5044191028620771,0.4955808971379228,0.6497290665820425,0.35027093341795745,0.5092452761470864,0.4907547238529136,0.4987682428881133,0.5012317571118867,0.4995685954635025,0.5004314045364975,0.39868744005923396,0.601312559940766,0.48097567081293413,0.5190243291870659,0.5050745195654671,0.4949254804345329,0.4895099609346227,0.5104900390653774,0.459587587999242,0.5404124120007581,0.49317343587408785,0.5068265641259121,0.4982815540796844,0.5017184459203157,0.5011102771541506,0.4988897228458494,0.21311368098695518,0.7868863190130448,0.5051237472175756,0.4948762527824244,0.5087750033945511,0.49122499660544894,0.5480558585337545,0.45194414146624556
Belknap County,33001BELM01,0.6409609065545818,0.3590390934454181,0.5066288353976904,0.4933711646023096,0.5031198350762807,0.4968801649237194,0.5130552460399881,0.48694475396001197,0.5763391385854038,0.42366086141459625,0.5078004677889337,0.49219953221106627,0.48479994445605523,0.5152000555439448,0.5093675427508365,0.49063245724916343,0.5968659191083171,0.40313408089168296,0.512433718389744,0.487566281610256,0.5146384593195876,0.48536154068041243,0.5068333995062858,0.4931666004937142,0.6909929197560025,0.3090070802439974,0.5105024927990643,0.48949750720093566,0.4995221395733931,0.5004778604266069,0.5046419062642247,0.4953580937357753,0.3986399297531645,0.6013600702468356,0.4822839307722224,0.5177160692277776,0.5090494819281581,0.49095051807184187,0.49937788945449896,0.5006221105455011,0.47983835410832326,0.5201616458916767,0.48835644124352523,0.5116435587564748,0.49319877971439047,0.5068012202856096,0.5100153845350459,0.4899846154649541,0.1835031651344994,0.8164968348655006,0.5049898029227,0.4950101970773,0.504796381068178,0.495203618931822,0.546229914474355,0.453770085525645
Belknap County,33001CENT01,0.5328923975405366,0.4671076024594633,0.5042803936718451,0.49571960632815487,0.5035619938890157,0.4964380061109844,0.5026928070499205,0.4973071929500795,0.5360003460834972,0.4639996539165028,0.5127895379215739,0.48721046207842605,0.475548787106294,0.524451212893706,0.5133790363486436,0.4866209636513565,0.5633178985529272,0.43668210144707276,0.5095094119253449,0.490490588074655,0.5146657776844481,0.4853342223155519,0.49960245633951533,0.5003975436604847,0.6311587248093747,0.36884127519062526,0.5075740298024437,0.4924259701975563,0.5011154414241243,0.4988845585758756,0.49555287876877613,0.5044471212312238,0.47842668790116444,0.5215733120988355,0.478671792697534,0.521328207302466,0.5132137668370328,0.48678623316296726,0.5023535927491235,0.4976464072508765,0.5074449417316507,0.49255505826834933,0.48817874861639593,0.511821251383604,0.49537425921182787,0.5046257407881721,0.5081112455585806,0.4918887544414195,0.27514315857848537,0.7248568414215146,0.5076235690373546,0.4923764309626454,0.5102224203001872,0.4897775796998128,0.5459069898662359,0.4540930101337642
Belknap County,33001GILF01,0.5637908130175896,0.43620918698241046,0.5089345503282302,0.4910654496717698,0.4988207683285461,0.5011792316714538,0.5019374819720089,0.49806251802799106,0.5497748385327682,0.4502251614672316,0.5077075083966888,0.49229249160331123,0.47657449821497966,0.5234255017850203,0.5149089885125231,0.4850910114874769,0.5760103915294918,0.42398960847050793,0.5059743676813431,0.4940256323186569,0.5128156147786926,0.48718438522130736,0.5021448891482323,0.49785511085176765,0.6290319161159036,0.37096808388409647,0.5156805916458617,0.48431940835413834,0.5000174986485612,0.4999825013514388,0.4997313406881453,0.5002686593118547,0.47520283442710615,0.5247971655728939,0.4881356265302372,0.5118643734697628,0.513734449520419,0.4862655504795809,0.49007188967647547,0.5099281103235245,0.5238560200813754,0.47614397991862456,0.486784857945995,0.513215142054005,0.49342078584585797,0.5065792141541421,0.5156306026428297,0.4843693973571703,0.24954571932397238,0.7504542806760276,0.5040978246561963,0.4959021753438037,0.5069683727992471,0.49303162720075283,0.543481070740217,0.45651892925978294
Belknap County,33001GILM01,0.6362782421718782,0.3637217578281217,0.5089691635060893,0.49103083649391066,0.49771712961263803,0.502282870387362,0.5092471653675948,0.49075283463240515,0.5852380425507506,0.4147619574492494,0.5037825231565674,0.49621747684343265,0.4753871081237952,0.5246128918762049,0.5039852232245314,0.4960147767754686,0.5946972285015022,0.4053027714984978,0.5066770618282153,0.49332293817178474,0.5172925641210425,0.4827074358789574,0.4963778513397124,0.5036221486602876,0.6626786591738578,0.3373213408261422,0.5116665192737814,0.4883334807262186,0.5005169943708968,0.4994830056291032,0.5015763059130949,0.49842369408690507,0.41226415955292145,0.5877358404470785,0.4852580245915728,0.5147419754084271,0.510017518033201,0.4899824819667991,0.4988449617096713,0.5011550382903287,0.4752726114653309,0.524727388534669,0.48850277976850287,0.5114972202314971,0.49157232549282737,0.5084276745071726,0.5109923225920311,0.48900767740796885,0.2370214150073692,0.7629785849926308,0.5055630599400684,0.49443694005993155,0.5053265425541846,0.49467345744581537,0.5483649022507379,0.4516350977492622
Belknap County,33001LACO01,0.579200601242333,0.42079939875766703,0.512119743447987,0.4878802565520129,0.5065235665091578,0.4934764334908423,0.5044510064042781,0.49554899359572185,0.5674939182794104,0.4325060817205896,0.5054056414729949,0.49459435852700506,0.475839700106571,0.5241602998934289,0.5126894689617785,0.4873105310382215,0.5883975186420496,0.4116024813579504,0.5151255887261545,0.4848744112738454,0.5152886458837665,0.48471135411623345,0.5047809273172005,0.49521907268279947,0.654711892921238,0.345288107078762,0.5051763814737289,0.49482361852627105,0.5010210662030595,0.4989789337969405,0.5003894094583335,0.4996105905416664,0.4369912968083691,0.5630087031916309,0.4824820945280369,0.5175179054719631,0.518252374236289,0.48174762576371094,0.49737290638083403,0.5026270936191659,0.49883118368127605,0.5011688163187239,0.49133745255594347,0.5086625474440566,0.4954397898602674,0.5045602101397326,0.5149128388328528,0.4850871611671472,0.21852951455364364,0.7814704854463563,0.5013768925545289,0.49862310744547117,0.5036835032528181,0.4963164967471819,0.5476424921802738,0.45235750781972617
Belknap County,33001LACO02,0.5721947343787844,0.4278052656212155,0.5093362550351387,0.49066374496486137,0.5024747217524581,0.49752527824754195,0.511404581147953,0.4885954188520468,0.5277189241492264,0.4722810758507736,0.5046532726463888,0.495346727353611,0.47573220470571087,0.5242677952942891,0.5003402365743759,0.4996597634256239,0.5586407461830015,0.4413592538169985,0.5039236561392016,0.4960763438607982,0.5144003436656838,0.4855996563343163,0.502871869997492,0.49712813000250783,0.6060213452192683,0.3939786547807317,0.5107085506065171,0.4892914493934829,0.4966349741146837,0.5033650258853163,0.496797309795597,0.503202690204403,0.4641702232109129,0.5358297767890872,0.4870310507686676,0.5129689492313324,0.5166515834218182,0.48334841657818184,0.4983710895658312,0.5016289104341686,0.5280776057203248,0.47192239427967525,0.49332341049851464,0.5066765895014853,0.49564274049698737,0.5043572595030127,0.5099198671738906,0.49008013282610935,0.24457281691976568,0.7554271830802344,0.5036649631490066,0.4963350368509932,0.5127593993029482,0.4872406006970518,0.5525416827206929,0.44745831727930685
Belknap County,33001LACO03,0.4867463560455104,0.5132536439544898,0.5053281183196573,0.49467188168034265,0.49313256164669417,0.5068674383533058,0.4964624161931161,0.503537583806884,0.4879913645108831,0.5120086354891171,0.5050193534535449,0.4949806465464551,0.47726036705880487,0.5227396329411951,0.5060564188858594,0.4939435811141406,0.49912200089155967,0.5008779991084406,0.5078371416420993,0.4921628583579007,0.5150443220477183,0.48495567795228167,0.4927960382369289,0.507203961763071,0.5633638128010537,0.4366361871989464,0.5060889735873257,0.4939110264126742,0.4987907677350392,0.5012092322649608,0.4906109302631046,0.5093890697368954,0.5768996133355662,0.423100386664434,0.4859332509382624,0.5140667490617375,0.5136752501054668,0.4863247498945332,0.5079852325440914,0.4920147674559085,0.6080954290124386,0.3919045709875616,0.4909496813816578,0.5090503186183423,0.49835262718368756,0.5016473728163124,0.5268739989286939,0.47312600107130603,0.30692660308647224,0.693073396913528,0.5120849256172328,0.4879150743827671,0.5043401807120215,0.4956598192879786,0.5630821733638314,0.4369178266361686
Belknap County,33001LACO04,0.5696472439520236,0.43035275604797635,0.5101790091683643,0.48982099083163566,0.5019245164025387,0.4980754835974614,0.5052275082522726,0.4947724917477274,0.4787867741243039,0.5212132258756961,0.5086717970812991,0.4913282029187009,0.4810940483535857,0.5189059516464143,0.5048012905172969,0.4951987094827031,0.5208890718735201,0.47911092812647993,0.5068266866568356,0.4931733133431644,0.5176234354826199,0.48237656451738004,0.490568237644,0.509431762356,0.5926267464778032,0.40737325352219683,0.5051688776009484,0.4948311223990516,0.5010468889360391,0.4989531110639609,0.4890692656280754,0.5109307343719246,0.4950735828281004,0.5049264171718997,0.4896878703772705,0.5103121296227295,0.5168460761777995,0.4831539238222004,0.5004033439733278,0.4995966560266722,0.5612483401491183,0.4387516598508817,0.4939420099567741,0.5060579900432259,0.4945933745622996,0.5054066254377004,0.5100027319596511,0.48999726804034893,0.26313019880803484,0.7368698011919652,0.5016020933736742,0.4983979066263258,0.5039088503546831,0.4960911496453169,0.5442735265491093,0.4557264734508906
