county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru
Alameda County,06001400100,0.9512666239472088,0.048733376052791204,0.9603518466709484,0.039648153329051576,0.939509553362238,0.06049044663776199,0.7692918672065486,0.23070813279345137,0.969151470794486,0.030848529205513932,0.9546321711132439,0.04536782888675607,0.8695990068220941,0.13040099317790585,0.7444655948736235,0.2555344051263765
Alameda County,06001400200,0.981578138223942,0.01842186177605797,0.9603804772137525,0.039619522786247516,0.9447108733993077,0.055289126600692254,0.8111534413248852,0.1888465586751148,0.991019268632999,0.008980731367000944,0.9585882391228334,0.041411760877166616,0.8920903674676316,0.10790963253236835,0.80686130580836,0.19313869419164004
Alameda County,06001400300,0.9914694218280494,0.008530578171950553,0.9747522609321282,0.025247739067871772,0.9618397279259638,0.03816027207403619,0.8738851145155099,0.12611488548449015,0.9937826400987249,0.006217359901275165,0.9735348940048768,0.02646510599512322,0.9108918563587804,0.08910814364121959,0.8714934288667937,0.12850657113320635
Alameda County,06001400400,0.9950052893784498,0.004994710621550186,0.9757822985079155,0.024217701492084482,0.9734046645584941,0.026595335441505934,0.9101462515801292,0.08985374841987083,0.9969631520100004,0.003036847989999573,0.9787409297966431,0.021259070203356892,0.9370542135148574,0.06294578648514254,0.9156602915381631,0.08433970846183694
Alameda County,06001400500,0.9961022548272385,0.003897745172761487,0.9906006109027368,0.009399389097263185,0.9836590780798165,0.016340921920183556,0.939313244906524,0.060686755093476034,0.9944148093777807,0.0055851906222190335,0.9857180119760883,0.014281988023911675,0.9405123867823034,0.05948761321769658,0.900558045618067,0.09944195438193305
Alameda County,06001400600,0.9948504735854918,0.005149526414508131,0.9910013485437834,0.008998651456216627,0.9783311072522279,0.021668892747772072,0.9318974754943276,0.06810252450567249,0.9933476836198487,0.006652316380151342,0.9878871468424174,0.012112853157582587,0.9319811421265066,0.06801885787349342,0.9007062120536439,0.09929378794635614
Alameda County,06001400700,0.9946304307471564,0.005369569252843556,0.9921481529681458,0.007851847031854145,0.9832865536503488,0.01671344634965124,0.9315392244571686,0.06846077554283139,0.9959427966642552,0.004057203335744743,0.9916911661906094,0.008308833809390627,0.9531605197389621,0.04683948026103791,0.9150799752360032,0.08492002476399681
Alameda County,06001400800,0.9923995688768219,0.007600431123178059,0.9875140910674484,0.012485908932551689,0.9785957673661706,0.02140423263382938,0.9162492242181689,0.083750775781831,0.9896991189735876,0.010300881026412393,0.9849668214992853,0.015033178500714594,0.9230597627755472,0.0769402372244527,0.885466389112603,0.11453361088739684
Alameda County,06001400900,0.9930522389129288,0.006947761087071411,0.9894097527462399,0.010590247253760107,0.9827074225813125,0.017292577418687477,0.9184422633696397,0.08155773663036027,0.9910800664424225,0.008919933557577652,0.9858999316780864,0.014100068321913573,0.9317817218046155,0.06821827819538451,0.8754781360753972,0.12452186392460289
Alameda County,06001401000,0.9923810037545125,0.007618996245487503,0.9920580552312664,0.00794194476873352,0.9844123206196774,0.015587679380322584,0.9228759349436293,0.07712406505637075,0.9950179708754191,0.004982029124580911,0.9898097696424834,0.010190230357516655,0.9491838539335579,0.05081614606644209,0.8934955161619371,0.10650448383806287
Alameda County,06001401100,0.9915974733319478,0.008402526668052216,0.9809038146417726,0.019096185358227415,0.9747674677858573,0.02523253221414273,0.9034547856628059,0.09654521433719405,0.9930741104835589,0.0069258895164411435,0.9823091070100692,0.01769089298993077,0.9323951339987719,0.067604866001228,0.8859122475404343,0.11408775245956566
Alameda County,06001401200,0.9951461154758522,0.004853884524147796,0.9811083231844382,0.018891676815561812,0.981747970110552,0.018252029889447966,0.930348356455404,0.06965164354459602,0.9945892836795334,0.005410716320466581,0.9734685438615454,0.02653145613845467,0.9245048142476222,0.07549518575237776,0.8748319174155532,0.12516808258444684
Alameda County,06001401300,0.9871012027807489,0.012898797219251103,0.9825074643743481,0.01749253562565183,0.9804662452967489,0.019533754703251104,0.9156761648981463,0.08432383510185376,0.9842140905248355,0.015785909475164447,0.9790914380325906,0.020908561967409322,0.9311011695700894,0.06889883042991063,0.8653038256010631,0.13469617439893686
Alameda County,06001401400,0.9827649891950929,0.017235010804907074,0.9872521871015039,0.01274781289849612,0.9817409025483858,0.018259097451614487,0.8922378027748694,0.1077621972251306,0.9773114416714918,0.022688558328508267,0.9845885532968629,0.015411446703137056,0.9391147015957593,0.06088529840424099,0.8510830999323327,0.14891690006766736
Alameda County,06001401500,0.9819740416039344,0.01802595839606552,0.9851525939096395,0.014847406090360464,0.9755387033639956,0.024461296636004413,0.8688790181206367,0.13112098187936325,0.9800538419632678,0.019946158036732192,0.9842592814197946,0.015740718580205395,0.9204472650986205,0.07955273490137953,0.8160548780285928,0.18394512197140722
Alameda County,06001401600,0.987628116581142,0.012371883418857924,0.9879393168176024,0.012060683182397629,0.986821505356463,0.013178494643537068,0.9089363855503366,0.09106361444966332,0.9847103094268363,0.015289690573163636,0.9826483525808655,0.01735164741913457,0.946894159612049,0.05310584038795095,0.8564072223975876,0.1435927776024124
