county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_16_rep_hoe,vap_white.uss_16_dem_gla,vap_black.uss_16_rep_hoe,vap_black.uss_16_dem_gla,vap_hisp.uss_16_rep_hoe,vap_hisp.uss_16_dem_gla,vap_oth.uss_16_rep_hoe,vap_oth.uss_16_dem_gla,vap_white.gov_16_rep_bur,vap_white.gov_16_dem_nel,vap_black.gov_16_rep_bur,vap_black.gov_16_dem_nel,vap_hisp.gov_16_rep_bur,vap_hisp.gov_16_dem_nel,vap_oth.gov_16_rep_bur,vap_oth.gov_16_dem_nel,vap_white.uss_18_rep_cra,vap_white.uss_18_dem_hei,vap_black.uss_18_rep_cra,vap_black.uss_18_dem_hei,vap_hisp.uss_18_rep_cra,vap_hisp.uss_18_dem_hei,vap_oth.uss_18_rep_cra,vap_oth.uss_18_dem_hei,vap_white.atg_18_rep_ste,vap_white.atg_18_dem_tho,vap_black.atg_18_rep_ste,vap_black.atg_18_dem_tho,vap_hisp.atg_18_rep_ste,vap_hisp.atg_18_dem_tho,vap_oth.atg_18_rep_ste,vap_oth.atg_18_dem_tho,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.gov_20_rep_bur,vap_white.gov_20_dem_len,vap_black.gov_20_rep_bur,vap_black.gov_20_dem_len,vap_hisp.gov_20_rep_bur,vap_hisp.gov_20_dem_len,vap_oth.gov_20_rep_bur,vap_oth.gov_20_dem_len
Benson County,38005001401,0.6753096382654732,0.3246903617345268,0.5083606467547311,0.49163935324526886,0.5037717138000924,0.49622828619990755,0.3954688280027623,0.6045311719972377,0.8139005086857557,0.18609949131424425,0.5090125988603357,0.4909874011396644,0.5102797144984891,0.4897202855015109,0.5604312166864432,0.43956878331355675,0.7068987421474717,0.2931012578525283,0.4986569476874788,0.5013430523125212,0.5123961438781777,0.48760385612182233,0.44009123814222073,0.5599087618577793,0.5396311498772364,0.4603688501227637,0.5151470057073269,0.4848529942926731,0.5035284221755136,0.4964715778244863,0.32206596152066047,0.6779340384793395,0.7155291912476736,0.28447080875232644,0.49582053175644125,0.5041794682435587,0.4983618763218002,0.5016381236781998,0.3858615356310182,0.6141384643689818,0.6989219216858232,0.30107807831417677,0.5000995265341182,0.49990047346588184,0.4981905015722534,0.5018094984277466,0.42929769431581766,0.5707023056841823,0.7294459731552537,0.27055402684474633,0.5011969713887018,0.4988030286112982,0.49206050100695264,0.5079394989930474,0.47468775261303375,0.5253122473869662
Benson County,38005002301,0.7719316045745697,0.2280683954254303,0.5017246564297511,0.49827534357024894,0.5087022715923537,0.4912977284076463,0.42095493980137344,0.5790450601986266,0.8616433266029851,0.13835667339701488,0.5046770968613168,0.49532290313868316,0.5094314437499187,0.4905685562500813,0.68985152266192,0.31014847733808004,0.7633896352980238,0.23661036470197613,0.49420451584070946,0.5057954841592905,0.5206290681254537,0.4793709318745463,0.4683326731956692,0.5316673268043308,0.5874999249586655,0.41250007504133446,0.5163097046208719,0.4836902953791281,0.5187846990429877,0.48121530095701226,0.3329290618139567,0.6670709381860432,0.7931612979077103,0.20683870209228974,0.4966657192626097,0.5033342807373903,0.4991105233948742,0.5008894766051258,0.4087614931719647,0.5912385068280352,0.8048609271178189,0.19513907288218116,0.5020222915404383,0.49797770845956163,0.5082975010483858,0.49170249895161416,0.5103924044403653,0.4896075955596347,0.7717838329835196,0.2282161670164804,0.5056190911343194,0.49438090886568065,0.49791997107223135,0.5020800289277687,0.5063175505402563,0.49368244945974377
Benson County,38005002302,0.6028979736901695,0.3971020263098305,0.5079975799933139,0.49200242000668615,0.505775433339902,0.494224566660098,0.1435880687979087,0.8564119312020912,0.6668945390179164,0.33310546098208355,0.5071099266299962,0.49289007337000385,0.5098148488771862,0.4901851511228138,0.4103216505440356,0.5896783494559644,0.6115101170943275,0.3884898829056726,0.4975982196192541,0.5024017803807459,0.512399563389617,0.48760043661038305,0.25747733718428395,0.742522662815716,0.5285029764204945,0.47149702357950557,0.5185924084437181,0.4814075915562819,0.5126473535292932,0.48735264647070675,0.058756489536781524,0.9412435104632185,0.6261739080586136,0.3738260919413864,0.5031849254369204,0.49681507456307955,0.5004791156308159,0.499520884369184,0.13741604667948107,0.862583953320519,0.6189818773743583,0.3810181226256417,0.5016449437307053,0.49835505626929466,0.5024331455103292,0.49756685448967075,0.16540646054790312,0.8345935394520969,0.6188949660343108,0.3811050339656892,0.5064195054477176,0.49358049455228237,0.49997283583772584,0.5000271641622741,0.2604333968840302,0.7395666031159698
Benson County,38005002303,0.6563355690670463,0.3436644309329538,0.5039143498187283,0.4960856501812717,0.5024244916881593,0.49757550831184066,0.39665356674759217,0.6033464332524078,0.707661207750484,0.29233879224951603,0.5038635883105448,0.49613641168945516,0.513629559706349,0.48637044029365095,0.6568407159953779,0.3431592840046221,0.652107673213957,0.347892326786043,0.4960015844001901,0.50399841559981,0.5181653122769426,0.4818346877230574,0.4524991429512613,0.5475008570487386,0.5666418464979464,0.43335815350205364,0.5187147317947263,0.4812852682052738,0.5073931489171364,0.4926068510828636,0.2796835384769893,0.7203164615230108,0.6691934371412974,0.3308065628587025,0.500988274410744,0.49901172558925594,0.5028290409019235,0.4971709590980765,0.3877604453427804,0.6122395546572196,0.6713153178561506,0.3286846821438493,0.5005288271235615,0.49947117287643844,0.5038230010612275,0.4961769989387725,0.4746005258771516,0.5253994741228484,0.6664321368414683,0.33356786315853176,0.5099601502446842,0.4900398497553158,0.4999747315402673,0.5000252684597327,0.5964478397171635,0.4035521602828364
Billings County,38007003901,0.8275178536944628,0.17248214630553718,0.4915851797904078,0.5084148202095922,0.4966768630261472,0.5033231369738528,0.48888905833484175,0.5111109416651582,0.8970120179101035,0.10298798208989642,0.5108122855345044,0.48918771446549564,0.4861178756644877,0.5138821243355123,0.49011555569867976,0.5098844443013202,0.9293911882493581,0.0706088117506419,0.4970904579087585,0.5029095420912415,0.49108615401104244,0.5089138459889576,0.49542406852284443,0.5045759314771555,0.7075581529551649,0.29244184704483517,0.5036544270377047,0.4963455729622953,0.4995636328552812,0.5004363671447188,0.4964550534779487,0.5035449465220513,0.8192059978544682,0.1807940021455318,0.5004647589970311,0.49953524100296887,0.5011080732193763,0.4988919267806237,0.5073715165752324,0.4926284834247676,0.7558425947296062,0.2441574052703937,0.5009178287484002,0.4990821712515998,0.4793404694868416,0.5206595305131584,0.47993448941889544,0.5200655105811045,0.8462638801229695,0.15373611987703048,0.4959530287431389,0.504046971256861,0.484655354975219,0.515344645024781,0.5033321203846349,0.496667879615365
Billings County,38007003902,0.9372600139296176,0.06273998607038245,0.49388322369213267,0.5061167763078673,0.49969200731386493,0.5003079926861351,0.4895057191110923,0.5104942808889077,0.951870791629041,0.048129208370958985,0.507702310751526,0.492297689248474,0.4986258559454665,0.5013741440545335,0.4802889100819171,0.5197110899180829,0.9336956952114341,0.06630430478856589,0.49718969115364947,0.5028103088463506,0.5020517682116074,0.49794823178839265,0.4992032345949095,0.5007967654050904,0.8687210906467033,0.1312789093532967,0.507874191246461,0.4921258087535389,0.4993339249675643,0.5006660750324357,0.48501816654049135,0.5149818334595087,0.9051132706211807,0.09488672937881922,0.4989846227399082,0.5010153772600918,0.5008809381797551,0.4991190618202449,0.5044046639712184,0.4955953360287816,0.9578300769711081,0.04216992302889188,0.4991830105172105,0.5008169894827895,0.48533085937218995,0.51466914062781,0.47898690660909155,0.5210130933909085,0.9152417116727235,0.0847582883272765,0.49461882442661687,0.5053811755733831,0.4948817992106658,0.5051182007893342,0.4995225753177058,0.5004774246822942
Billings County,38007003903,0.9376354426836401,0.0623645573163599,0.49284166198717505,0.507158338012825,0.49747389229559785,0.5025261077044021,0.501375781784202,0.498624218215798,0.9786875067201477,0.021312493279852313,0.5123790363460401,0.4876209636539599,0.5021434586880411,0.49785654131195883,0.49629688092411406,0.5037031190758859,0.9230939477060477,0.0769060522939523,0.49719370262052626,0.5028062973794738,0.4909180867317127,0.5090819132682872,0.5003511094491434,0.4996488905508566,0.7832923718892576,0.21670762811074243,0.5025898231681485,0.4974101768318515,0.5014132939445712,0.49858670605542876,0.487044195038728,0.512955804961272,0.8686742285618899,0.13132577143811008,0.49643008884216694,0.503569911157833,0.4982825766210765,0.5017174233789236,0.5032765425888269,0.496723457411173,0.9362763576924034,0.06372364230759664,0.4995685444089244,0.5004314555910756,0.47736203408159605,0.522637965918404,0.4842308258202616,0.5157691741797383,0.9423124118011497,0.05768758819885036,0.4923691340418425,0.5076308659581574,0.4874721431518349,0.5125278568481652,0.5016347139384941,0.49836528606150593
Bottineau County,38009000601,0.8470647079886567,0.15293529201134323,0.5140770215028863,0.48592297849711374,0.48435455238820363,0.5156454476117964,0.4945719717350803,0.5054280282649197,0.9202632617353207,0.07973673826467934,0.5102232607368756,0.48977673926312437,0.48490264465889693,0.515097355341103,0.43929451632493166,0.5607054836750683,0.8726307487055617,0.12736925129443835,0.513905056248882,0.486094943751118,0.49246490651625296,0.507535093483747,0.47160740852348704,0.528392591476513,0.7329821523281788,0.26701784767182124,0.5134970361010642,0.4865029638989357,0.5084998153065139,0.4915001846934861,0.49725705523487324,0.5027429447651267,0.8229570473641927,0.1770429526358073,0.5006706679333489,0.49932933206665114,0.49628585245359297,0.503714147546407,0.4951639977847522,0.5048360022152478,0.8452002392373823,0.15479976076261764,0.503022512770849,0.496977487229151,0.49121095135140713,0.5087890486485929,0.4913887336468855,0.5086112663531145,0.8785789776859912,0.12142102231400877,0.5022416129678187,0.49775838703218134,0.5003675480841457,0.4996324519158542,0.48111515225007273,0.5188848477499273
Bottineau County,38009000602,0.7991115160663562,0.2008884839336438,0.5079292008841271,0.4920707991158729,0.483553459362491,0.516446540637509,0.4943699023066475,0.5056300976933525,0.9281917551549725,0.0718082448450275,0.5005070382763012,0.4994929617236989,0.47819793935370175,0.5218020606462982,0.4287973042790805,0.5712026957209194,0.8415668545083727,0.15843314549162735,0.5091233036000835,0.49087669639991643,0.4886338005580755,0.5113661994419245,0.4662249283714484,0.5337750716285515,0.6660796019819872,0.33392039801801277,0.5143734800132644,0.4856265199867355,0.5097374966652216,0.49026250333477844,0.48854203608488966,0.5114579639151103,0.8049251393385607,0.19507486066143925,0.498989108413847,0.501010891586153,0.4959384417058246,0.5040615582941754,0.48737821089699473,0.5126217891030053,0.7643912181744154,0.23560878182558465,0.5058164528640801,0.49418354713591994,0.49681932160234293,0.503180678397657,0.48734123769216614,0.5126587623078339,0.8403004410318348,0.1596995589681652,0.5014412714143136,0.4985587285856864,0.5021648260393912,0.4978351739606088,0.4694162153115063,0.5305837846884937
Bottineau County,38009000603,0.8247553492004496,0.17524465079955048,0.5089189699293983,0.4910810300706017,0.4912248060478787,0.5087751939521213,0.49495989272581914,0.5050401072741809,0.9494489584123146,0.050551041587685454,0.4985098701910333,0.5014901298089667,0.4759241157720191,0.5240758842279809,0.3994683880767995,0.6005316119232005,0.8728147633675775,0.1271852366324225,0.5161654002728966,0.4838345997271034,0.48491294988934625,0.5150870501106537,0.4599758304870565,0.5400241695129435,0.6562568819215168,0.3437431180784833,0.5102054566735059,0.4897945433264941,0.5068467385083296,0.4931532614916704,0.49024578167011873,0.5097542183298812,0.7849804095854159,0.2150195904145841,0.5014578055936683,0.4985421944063317,0.4965756825487154,0.5034243174512846,0.4798879665914611,0.5201120334085388,0.7859822963342338,0.21401770366576622,0.5116249732498905,0.4883750267501094,0.49351040995598855,0.5064895900440114,0.4771647665572219,0.5228352334427782,0.8447688567967544,0.15523114320324555,0.4932483477559198,0.5067516522440801,0.5071863882287334,0.4928136117712666,0.4784398984854764,0.5215601015145236
