county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_16_rep_joh,vap_white.uss_16_dem_fei,vap_black.uss_16_rep_joh,vap_black.uss_16_dem_fei,vap_hisp.uss_16_rep_joh,vap_hisp.uss_16_dem_fei,vap_oth.uss_16_rep_joh,vap_oth.uss_16_dem_fei,vap_white.uss_18_rep_vuk,vap_white.uss_18_dem_bal,vap_black.uss_18_rep_vuk,vap_black.uss_18_dem_bal,vap_hisp.uss_18_rep_vuk,vap_hisp.uss_18_dem_bal,vap_oth.uss_18_rep_vuk,vap_oth.uss_18_dem_bal,vap_white.gov_18_rep_wal,vap_white.gov_18_dem_eve,vap_black.gov_18_rep_wal,vap_black.gov_18_dem_eve,vap_hisp.gov_18_rep_wal,vap_hisp.gov_18_dem_eve,vap_oth.gov_18_rep_wal,vap_oth.gov_18_dem_eve,vap_white.atg_18_rep_sch,vap_white.atg_18_dem_kau,vap_black.atg_18_rep_sch,vap_black.atg_18_dem_kau,vap_hisp.atg_18_rep_sch,vap_hisp.atg_18_dem_kau,vap_oth.atg_18_rep_sch,vap_oth.atg_18_dem_kau,vap_white.sos_18_rep_sch,vap_white.sos_18_dem_laf,vap_black.sos_18_rep_sch,vap_black.sos_18_dem_laf,vap_hisp.sos_18_rep_sch,vap_hisp.sos_18_dem_laf,vap_oth.sos_18_rep_sch,vap_oth.sos_18_dem_laf,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru
Adams County,55001000001,0.5425333772405317,0.4574666227594683,0.5670715436435803,0.4329284563564198,0.5239372552727497,0.4760627447272503,0.4970523433399336,0.5029476566600665,0.5147195605657603,0.4852804394342397,0.5021538763489222,0.49784612365107783,0.5242046960057218,0.4757953039942782,0.49791101532467974,0.5020889846753203,0.46537535604179375,0.5346246439582062,0.49207459136555987,0.5079254086344401,0.46401870040760246,0.5359812995923976,0.5092179881590139,0.4907820118409862,0.5587013553100425,0.4412986446899575,0.528813568801299,0.47118643119870096,0.4416824916078333,0.5583175083921668,0.4858610956651737,0.5141389043348262,0.5340672445092705,0.46593275549072954,0.5280568532906478,0.4719431467093522,0.4673275488207752,0.5326724511792248,0.5254213420395001,0.47457865796049986,0.5111620510871191,0.4888379489128809,0.5038816760704263,0.4961183239295737,0.451529735914851,0.548470264085149,0.4996514911346526,0.5003485088653474,0.4048020315448546,0.5951979684551454,0.4056921804506984,0.5943078195493016,0.47034125194475135,0.5296587480552486,0.48612647928777314,0.5138735207122269
Adams County,55001000002,0.5429814768124614,0.45701852318753855,0.5758130833163494,0.42418691668365055,0.5175746850183386,0.4824253149816614,0.4954117349579073,0.5045882650420928,0.5124268222045661,0.4875731777954338,0.5042066387572063,0.4957933612427937,0.5237835906590258,0.47621640934097426,0.5050509723921489,0.49494902760785103,0.4656195732182166,0.5343804267817833,0.4912285886100682,0.5087714113899319,0.47400697691815663,0.5259930230818434,0.5051336411464158,0.4948663588535842,0.5558068068308774,0.44419319316912265,0.5277603807658143,0.4722396192341857,0.4504507315626179,0.549549268437382,0.494736112592358,0.505263887407642,0.5330074056791078,0.4669925943208922,0.5316162475968348,0.46838375240316527,0.4678644661530401,0.5321355338469599,0.531908203804136,0.468091796195864,0.5093184206241538,0.4906815793758462,0.5022805772335177,0.49771942276648223,0.4530608896246877,0.5469391103753123,0.5003337955823683,0.4996662044176316,0.40594105893734234,0.5940589410626577,0.40141572726522606,0.5985842727347739,0.4703890293786474,0.5296109706213525,0.4731656602809779,0.526834339719022
Adams County,55001000003,0.5471592883975905,0.4528407116024095,0.5657908291789008,0.4342091708210992,0.5141329191952386,0.4858670808047614,0.5018381127836434,0.49816188721635657,0.520632814008288,0.479367185991712,0.498655914001795,0.501344085998205,0.5253259036293585,0.47467409637064145,0.5039735913032911,0.4960264086967089,0.46944950241419614,0.5305504975858039,0.4867421294697277,0.5132578705302723,0.4699817199607948,0.5300182800392051,0.5135924597377574,0.4864075402622427,0.5488197098491506,0.4511802901508494,0.5255374127714201,0.4744625872285798,0.4400047103451815,0.5599952896548185,0.5008566420502419,0.499143357949758,0.539501879428206,0.4604981205717939,0.5385395935442021,0.46146040645579783,0.47286489426271294,0.5271351057372871,0.5388389109447844,0.4611610890552156,0.5130007621574065,0.4869992378425934,0.5075533002747905,0.4924466997252095,0.45509942905740974,0.5449005709425903,0.4984221939782778,0.5015778060217222,0.4076149530143698,0.5923850469856302,0.4013366708260074,0.5986633291739926,0.4728408410989716,0.5271591589010284,0.47077437620201074,0.5292256237979892
Adams County,55001000004,0.5475863468524239,0.4524136531475761,0.5687423350828674,0.4312576649171325,0.5172036314462053,0.4827963685537947,0.5047111924988504,0.4952888075011495,0.5124659837217705,0.4875340162782294,0.5002876875319814,0.4997123124680186,0.525761962269328,0.474238037730672,0.5130262098486114,0.4869737901513887,0.4676345357931982,0.5323654642068019,0.49346164506583967,0.5065383549341603,0.4643543006780496,0.5356456993219505,0.5056922257517149,0.49430777424828504,0.5564028109432637,0.4435971890567363,0.5299667131160424,0.4700332868839576,0.4447809348165847,0.5552190651834152,0.49261957427980096,0.507380425720199,0.5339324960306511,0.4660675039693489,0.5371404094802779,0.4628595905197222,0.46688154130591353,0.5331184586940865,0.5272642005317166,0.4727357994682833,0.5115262051820106,0.48847379481798936,0.5034949435298918,0.4965050564701082,0.45072390788679134,0.5492760921132087,0.49822234034117263,0.5017776596588274,0.40278406882856616,0.5972159311714338,0.4014488488396686,0.5985511511603314,0.46798225376650093,0.5320177462334991,0.4788248354983361,0.5211751645016639
Adams County,55001000005,0.652034975495701,0.3479650245042988,0.5668079292894153,0.4331920707105848,0.5273203000586616,0.4726796999413384,0.5059911854216371,0.4940088145783628,0.5758534351316527,0.42414656486834734,0.5055118590893819,0.4944881409106181,0.5356149003093875,0.4643850996906125,0.5047779840886557,0.4952220159113443,0.5282722171115605,0.4717277828884393,0.4909348708855998,0.5090651291144003,0.4794336660301477,0.5205663339698523,0.5109569825043739,0.4890430174956261,0.6109227185891452,0.3890772814108546,0.527626336918248,0.4723736630817521,0.451913485489967,0.5480865145100329,0.4897725292279157,0.5102274707720843,0.6030847218620367,0.3969152781379633,0.537432858935877,0.462567141064123,0.4695669610318894,0.5304330389681107,0.5342861337796521,0.465713866220348,0.5798542626147747,0.4201457373852251,0.5073293368026536,0.4926706631973464,0.4610241400782808,0.5389758599217191,0.5022412026723463,0.4977587973276537,0.35649333517242643,0.6435066648275736,0.4053520039823449,0.5946479960176551,0.4641763987575651,0.5358236012424349,0.4681143998866367,0.5318856001133633
Adams County,55001000006,0.6532608598995914,0.3467391401004087,0.5670333169238658,0.43296668307613423,0.5234661402708338,0.4765338597291661,0.503340051003294,0.496659948996706,0.5733342675745369,0.4266657324254631,0.49935517215076736,0.5006448278492326,0.5289455459558888,0.4710544540441112,0.507061920471276,0.4929380795287241,0.528212576117766,0.4717874238822341,0.4909321340746848,0.5090678659253152,0.4697510172436632,0.5302489827563368,0.5161666094815552,0.4838333905184448,0.6127793076910218,0.3872206923089781,0.5216373242568163,0.47836267574318375,0.45067538323297474,0.5493246167670253,0.4963693870476104,0.5036306129523896,0.6057564072822093,0.39424359271779075,0.5307024744309009,0.4692975255690991,0.46990637154971165,0.5300936284502883,0.5300445203371256,0.4699554796628744,0.5806896615571617,0.4193103384428382,0.507416456934438,0.492583543065562,0.4603007219240128,0.5396992780759872,0.5006837445822291,0.49931625541777086,0.3524142259114388,0.6475857740885612,0.4076686613541281,0.592331338645872,0.4648542595667097,0.5351457404332902,0.47231120851680136,0.5276887914831986
Adams County,55001000007,0.6428008326620247,0.3571991673379753,0.5687247682286158,0.43127523177138416,0.5257181698849512,0.4742818301150487,0.5000031003392759,0.4999968996607242,0.5741341417533606,0.42586585824663936,0.5029104374199327,0.4970895625800673,0.5288976442534588,0.4711023557465413,0.5119960554737008,0.4880039445262992,0.5287787016220331,0.4712212983779669,0.4959765873010889,0.504023412698911,0.4727960654884241,0.5272039345115759,0.51352506360498,0.48647493639502,0.6033620567816406,0.39663794321835943,0.5239600101220903,0.47603998987790974,0.44662719450885585,0.5533728054911441,0.4965658289109476,0.5034341710890524,0.5950116735300477,0.4049883264699523,0.5344633559641008,0.4655366440358992,0.472756986980968,0.527243013019032,0.5421154652124737,0.45788453478752633,0.5728456241041728,0.4271543758958272,0.5063942417481251,0.49360575825187486,0.45730147672359306,0.542698523276407,0.4978720055408656,0.5021279944591345,0.35737869255846516,0.6426213074415348,0.3947810175776094,0.6052189824223905,0.4703870109857439,0.529612989014256,0.4721277606625454,0.5278722393374545
Adams County,55001000008,0.6477628565896937,0.3522371434103064,0.5725065918889811,0.42749340811101866,0.5224901855066173,0.47750981449338264,0.5034486159604247,0.4965513840395754,0.5751276305373844,0.4248723694626157,0.4995422907796499,0.5004577092203498,0.5340761348981313,0.46592386510186873,0.5053730117472168,0.4946269882527832,0.5398927710831174,0.4601072289168826,0.49537327798151287,0.5046267220184869,0.4759076359792045,0.5240923640207955,0.5181261212335582,0.4818738787664418,0.6289491469185191,0.3710508530814809,0.5266827593938603,0.47331724060613944,0.447247728285885,0.552752271714115,0.5035234749360139,0.4964765250639861,0.6264647988832475,0.3735352011167525,0.5326932874912632,0.46730671250873657,0.47373666297470574,0.5262633370252943,0.53457316240266906,0.4654268375973309,0.583921503982989,0.4160784960170109,0.50185224767239,0.49814775232760977,0.4556480974191341,0.544351902580866,0.5052560729019961,0.4947439270980039,0.33727835482000074,0.6627216451799992,0.4022804528802264,0.5977195471197736,0.46511617205642214,0.5348838279435779,0.46526064499400954,0.5347393550059905
Adams County,55001000009,0.6428326927801231,0.3571673072198771,0.569492065416413,0.430507934583587,0.529034433610229,0.47096556638977105,0.5043969965048536,0.4956030034951464,0.5716171250745333,0.42838287492546695,0.4995630641469515,0.5004369358530484,0.5324374216286697,0.4675625783713304,0.5108910363975885,0.4891089636024115,0.541041359483129,0.4589586405168712,0.486834777346127,0.513165222653873,0.4679665988902176,0.5320334011097824,0.5167224618610817,0.48327753813891833,0.6198010846566492,0.380198915343351,0.5302322545311244,0.4697677454688755,0.4458595476989892,0.5541404523010108,0.5004572966682101,0.4995427033317899,0.6189258772760933,0.38107412272390695,0.5335462101198843,0.4664537898801157,0.4687313546756177,0.5312686453243822,0.5345723333198148,0.4654276666801852,0.5745921359733592,0.42540786402664105,0.5037860305127295,0.49621396948727053,0.45805756207419607,0.541942437925804,0.5048861327316541,0.49511386726834594,0.3443913376837386,0.6556086623162617,0.40720358389444133,0.5927964161055587,0.4674221174626116,0.5325778825373885,0.4693005841148096,0.5306994158851903
Adams County,55001000010,0.6713653833449141,0.32863461665508586,0.5669224522986979,0.4330775477013022,0.5263148728776174,0.4736851271223827,0.5052126471374193,0.4947873528625807,0.6803206032085651,0.3196793967914348,0.5015422408890295,0.4984577591109704,0.5333481859987849,0.46665181400121514,0.5116557477722495,0.48834425222775046,0.5254429889942736,0.4745570110057264,0.4915979264190119,0.5084020735809881,0.4763022918045594,0.5236977081954406,0.5198400285085791,0.4801599714914208,0.6147053239124417,0.38529467608755824,0.5288240481152576,0.47117595188474243,0.44612019758943944,0.5538798024105606,0.4934176978317763,0.5065823021682236,0.5826924689142745,0.4173075310857255,0.5311669503455064,0.46883304965449363,0.470446084767161,0.529553915232839,0.5318772639024297,0.4681227360975703,0.5586681494173099,0.44133185058269,0.5052319682237145,0.4947680317762854,0.453951055724595,0.5460489442754051,0.5047691797730578,0.49523082022694215,0.310756258464486,0.6892437415355139,0.4039237643000323,0.5960762356999676,0.4629207499155979,0.537079250084402,0.463033642893776,0.5369663571062241
