county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_white.uss_18_dem_rin,vap_white.uss_18_rep_bra,vap_black.uss_18_dem_rin,vap_black.uss_18_rep_bra,vap_hisp.uss_18_dem_rin,vap_hisp.uss_18_rep_bra,vap_oth.uss_18_dem_rin,vap_oth.uss_18_rep_bra,vap_white.gov_18_dem_mil,vap_white.gov_18_rep_moo,vap_black.gov_18_dem_mil,vap_black.gov_18_rep_moo,vap_hisp.gov_18_dem_mil,vap_hisp.gov_18_rep_moo,vap_oth.gov_18_dem_mil,vap_oth.gov_18_rep_moo,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_white.uss_20_dem_gid,vap_white.uss_20_rep_col,vap_black.uss_20_dem_gid,vap_black.uss_20_rep_col,vap_hisp.uss_20_dem_gid,vap_hisp.uss_20_rep_col,vap_oth.uss_20_dem_gid,vap_oth.uss_20_rep_col
Androscoggin County,23001019105,0.46048516780645316,0.5395148321935468,0.6282844993614365,0.37171550063856357,0.5659717392979565,0.4340282607020434,0.5415059533183005,0.4584940466816995,0.13445373632711385,0.8655462636728861,0.6709697328345839,0.32903026716541606,0.5363834507758843,0.4636165492241157,0.6598159386636111,0.3401840613363889,0.44745099182773473,0.5525490081722653,0.6642992647526376,0.33570073524736244,0.5105919818756466,0.48940801812435347,0.5343074903515859,0.46569250964841413,0.5084839971665899,0.4915160028334101,0.6118244637791393,0.3881755362208607,0.5290483152682648,0.4709516847317352,0.5207780672515329,0.4792219327484672,0.3935529346858407,0.6064470653141594,0.6043212677407394,0.3956787322592606,0.5121609462041793,0.48783905379582077,0.5356056494322913,0.4643943505677088
Androscoggin County,23001020601,0.5041644662907745,0.49583553370922556,0.6228925077325264,0.37710749226747364,0.5613507297330894,0.43864927026691053,0.5556784391757974,0.44432156082420265,0.14893380019396874,0.8510661998060313,0.6801071213467444,0.31989287865325555,0.5464485928223787,0.4535514071776213,0.6578471670267978,0.34215283297320215,0.5156543942712906,0.4843456057287095,0.6670832417902848,0.3329167582097152,0.511381808033011,0.48861819196698897,0.5275737688647892,0.4724262311352108,0.5857353048815245,0.4142646951184756,0.612885327540405,0.38711467245959497,0.525409754537557,0.47459024546244305,0.5249598410036868,0.4750401589963132,0.4832686152588248,0.5167313847411752,0.6060147262958478,0.3939852737041522,0.5187483530741174,0.48125164692588257,0.5541847602635885,0.4458152397364115
Androscoggin County,23001020602,0.5538138576054344,0.44618614239456555,0.6341191814641197,0.3658808185358802,0.5668273728105689,0.433172627189431,0.5575728250567206,0.44242717494327943,0.1726135000589016,0.8273864999410984,0.6779179789894147,0.32208202101058525,0.5473881971313571,0.45261180286864283,0.6573201542437408,0.3426798457562592,0.597694321868816,0.40230567813118395,0.6660390962830683,0.3339609037169316,0.5114802661172577,0.4885197338827423,0.5407560998483372,0.45924390015166283,0.58434296869243,0.41565703130757,0.6226049835441967,0.3773950164558033,0.5464762626031434,0.45352373739685664,0.5323062760422176,0.4676937239577824,0.48662921295422873,0.5133707870457713,0.6128891693831057,0.38711083061689433,0.5154709060768279,0.4845290939231721,0.5463739232521704,0.4536260767478296
Androscoggin County,23001020603,0.4446580111663895,0.5553419888336105,0.6298144345105207,0.37018556548947934,0.5579744669708114,0.4420255330291886,0.5463566619635274,0.4536433380364726,0.09863629548264087,0.9013637045173591,0.6764284728674201,0.32357152713257986,0.5418189412561291,0.4581810587438709,0.6535544438447131,0.34644555615528694,0.46117350116361555,0.5388264988363844,0.6596970071240228,0.3403029928759772,0.5047539393515847,0.4952460606484153,0.527058000636604,0.47294199936339604,0.5108395033671417,0.48916049663285827,0.6176211366146684,0.38237886338533156,0.528598409987705,0.471401590012295,0.5201367791935121,0.4798632208064879,0.4079071412725184,0.5920928587274815,0.6096855213924137,0.3903144786075863,0.5153681854599059,0.48463181454009413,0.5491346850744544,0.45086531492554555
Androscoggin County,23001020604,0.4646728364645381,0.5353271635354617,0.6307431521780996,0.3692568478219003,0.5560908824007721,0.4439091175992279,0.5486207256002253,0.4513792743997746,0.11289567299525052,0.8871043270047495,0.6657470555870134,0.33425294441298664,0.5451554455186398,0.45484455448136013,0.6519964622907553,0.3480035377092448,0.4879139145856245,0.5120860854143753,0.6583268406869597,0.3416731593130403,0.5042148113074789,0.4957851886925211,0.5314701040737949,0.46852989592620503,0.5126305577446194,0.48736944225538037,0.612776065625347,0.38722393437465297,0.536613701514531,0.46338629848546903,0.5249463768541042,0.4750536231458959,0.4111253391859501,0.5888746608140498,0.6049393210494255,0.3950606789505745,0.5201030134172784,0.47989698658272156,0.5408350801164445,0.4591649198835555
Androscoggin County,23001020605,0.4734430339209012,0.5265569660790989,0.626863615910096,0.373136384089904,0.5616384854131458,0.4383615145868543,0.55120373629964,0.44879626370035997,0.12801928183246236,0.8719807181675376,0.6750863667552636,0.3249136332447365,0.544535374400934,0.455464625599066,0.659789613903338,0.34021038609666204,0.49569971230523446,0.5043002876947655,0.646790685635046,0.35320931436495395,0.5079634395973246,0.49203656040267546,0.5268410259153407,0.4731589740846594,0.5236373681297798,0.47636263187022027,0.6178095441215218,0.3821904558784782,0.5267626024458953,0.4732373975541046,0.5233747250534544,0.47662527494654555,0.42312490489619775,0.5768750951038022,0.6044584221756168,0.39554157782438315,0.5167062945640922,0.48329370543590777,0.5513641802717503,0.4486358197282498
Androscoggin County,23001029255,0.33519824250961444,0.6648017574903856,0.6261060043624069,0.37389399563759307,0.5601081448436105,0.4398918551563895,0.538016448791945,0.46198355120805507,0.0698006650010569,0.9301993349989431,0.6659129013655041,0.334087098634496,0.5386374905709661,0.4613625094290339,0.643935415723363,0.35606458427663695,0.3230926913384781,0.6769073086615219,0.6501594087705215,0.3498405912294785,0.50880483812312,0.4911951618768799,0.5168854847756655,0.4831145152243344,0.3479312107541081,0.652068789245892,0.6090756825230568,0.39092431747694323,0.5248585026935751,0.47514149730642485,0.5149163501610223,0.4850836498389776,0.2602403382276284,0.7397596617723716,0.6022214827230126,0.39777851727698743,0.5107345521160588,0.4892654478839412,0.5287007681213662,0.4712992318786338
Androscoggin County,23001038565,0.3427349192875554,0.6572650807124446,0.6271641962299627,0.3728358037700371,0.5583059895046762,0.44169401049532375,0.54761190687949,0.4523880931205099,0.09868883444980994,0.9013111655501901,0.6730348121755916,0.32696518782440814,0.5440770197182797,0.4559229802817203,0.6623075443810639,0.3376924556189361,0.38833584488404105,0.611664155115959,0.6570084261794094,0.34299157382059065,0.5058153168510081,0.49418468314899183,0.5272902930831657,0.4727097069168344,0.37362327435936543,0.6263767256406345,0.609392205187601,0.39060779481239877,0.5276303212536211,0.4723696787463789,0.5123014365014565,0.48769856349854324,0.28967705470027755,0.7103229452997225,0.6089692393523527,0.39103076064764725,0.516457316690029,0.4835426833099709,0.5361955592055939,0.46380444079440614
Androscoggin County,23001040035,0.3752667990315547,0.6247332009684455,0.6277684796442634,0.3722315203557366,0.5604317745310388,0.4395682254689613,0.5362878749453693,0.4637121250546307,0.11488102133232578,0.8851189786676744,0.6607898927448843,0.3392101072551157,0.5462122833635344,0.45378771663646555,0.6664522260878308,0.3335477739121691,0.4254045570501243,0.5745954429498759,0.6535703513000078,0.34642964869999215,0.5146924113726743,0.48530758862732576,0.5213290572640481,0.4786709427359519,0.43409006181441456,0.5659099381855857,0.6119152159476682,0.3880847840523319,0.5273298318441361,0.47267016815586393,0.5218987623353772,0.47810123766462276,0.3501113479106496,0.6498886520893506,0.6035995848664424,0.3964004151335576,0.5107230130604518,0.4892769869395482,0.5282727047518558,0.4717272952481442
Androscoggin County,23001040665,0.3936695578442544,0.6063304421557456,0.6228222025087725,0.3771777974912275,0.5711706018423955,0.4288293981576045,0.5453971453047973,0.4546028546952026,0.10717914477811731,0.8928208552218827,0.6633537979655694,0.33664620203443063,0.5434931152212386,0.4565068847787614,0.65114264947742,0.34885735052258,0.4237352657624126,0.5762647342375874,0.6607732692989784,0.3392267307010216,0.5097942837488595,0.49020571625114046,0.5239693653522263,0.47603063464777373,0.41845944750123565,0.5815405524987644,0.6092739983454619,0.39072600165453814,0.5285237759738941,0.4714762240261059,0.5235448633891151,0.47645513661088496,0.32776559698778496,0.672234403012215,0.6050788998425427,0.39492110015745735,0.515309832188612,0.48469016781138796,0.5337240254517391,0.46627597454826086
