county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_white.uss_16_dem_sch,vap_white.uss_16_rep_car,vap_black.uss_16_dem_sch,vap_black.uss_16_rep_car,vap_hisp.uss_16_dem_sch,vap_hisp.uss_16_rep_car,vap_oth.uss_16_dem_sch,vap_oth.uss_16_rep_car,vap_white.uss_18_dem_hir,vap_white.uss_18_rep_cur,vap_black.uss_18_dem_hir,vap_black.uss_18_rep_cur,vap_hisp.uss_18_dem_hir,vap_hisp.uss_18_rep_cur,vap_oth.uss_18_dem_hir,vap_oth.uss_18_rep_cur,vap_white.gov_18_dem_ige,vap_white.gov_18_rep_tup,vap_black.gov_18_dem_ige,vap_black.gov_18_rep_tup,vap_hisp.gov_18_dem_ige,vap_hisp.gov_18_rep_tup,vap_oth.gov_18_dem_ige,vap_oth.gov_18_rep_tup,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru
Hawaii County,15001020100,0.5184187687521464,0.4815812312478535,0.5147490692654972,0.4852509307345027,0.43407242756807496,0.565927572431925,0.8945640692239609,0.10543593077603908,0.684377227951857,0.3156227720481431,0.4768885483272601,0.5231114516727399,0.3669658943713778,0.6330341056286222,0.9600087557137682,0.039991244286231756,0.5925104870205296,0.4074895129794705,0.4506242189792646,0.5493757810207354,0.3455744088424141,0.6544255911575859,0.9366800576372795,0.06331994236272055,0.59211731990705,0.40788268009295,0.4836628900990404,0.5163371099009596,0.4400199905754216,0.5599800094245784,0.8478313957461974,0.15216860425380258,0.5916675010731829,0.40833249892681706,0.5038723917290886,0.49612760827091135,0.4291298181878577,0.5708701818121422,0.8586892569954296,0.14131074300457036
Hawaii County,15001020202,0.5390675190490324,0.46093248095096767,0.5146579599383739,0.4853420400616261,0.43108866365596843,0.5689113363440316,0.8801629446208565,0.11983705537914342,0.6992122206010827,0.3007877793989173,0.47537956747500903,0.524620432524991,0.3770938847990412,0.6229061152009587,0.9679701613694665,0.03202983863053359,0.5805391414256086,0.4194608585743914,0.44630959744458787,0.5536904025554121,0.349196257716632,0.650803742283368,0.9388295026401386,0.06117049735986131,0.5740917132048954,0.42590828679510456,0.49334748882345836,0.5066525111765416,0.4265968581311073,0.5734031418688927,0.8386695569818009,0.1613304430181991,0.5469177873033317,0.45308221269666826,0.5029706374530506,0.4970293625469494,0.4175481158459057,0.5824518841540943,0.8617057981619946,0.13829420183800545
Hawaii County,15001020300,0.5800900797177239,0.4199099202822761,0.5226452400865856,0.4773547599134144,0.45436057437888894,0.5456394256211111,0.9064816826743464,0.09351831732565362,0.7460038639484782,0.2539961360515218,0.47654637439923614,0.5234536256007639,0.3966263308623068,0.6033736691376932,0.9703121846831051,0.029687815316894947,0.6480441161699427,0.3519558838300572,0.452466679921595,0.5475333200784049,0.3727307717400435,0.6272692282599566,0.9467326486349315,0.0532673513650686,0.6419191990361611,0.35808080096383893,0.48776539150386217,0.5122346084961378,0.45130876307345363,0.5486912369265463,0.8621466220027781,0.1378533779972219,0.6107392608956408,0.3892607391043592,0.49802469169464375,0.5019753083053562,0.43839454545380807,0.5616054545461919,0.8746261386613479,0.1253738613386522
Hawaii County,15001020400,0.5491334317330573,0.4508665682669427,0.5153043068052128,0.48469569319478717,0.4454352059861723,0.5545647940138277,0.9126444529161698,0.08735554708383021,0.7237028283092112,0.2762971716907888,0.4771138760917009,0.522886123908299,0.40695385527869743,0.5930461447213026,0.9748404366855424,0.025159563314457557,0.6241130036516608,0.3758869963483392,0.4499656271067725,0.5500343728932275,0.3739823385527315,0.6260176614472686,0.9532387282714828,0.046761271728517184,0.6121186336551434,0.38788136634485654,0.4865846687592215,0.5134153312407784,0.456276295880862,0.5437237041191381,0.8723900512997601,0.12760994870023984,0.5756087308118598,0.4243912691881402,0.5023034055631309,0.49769659443686903,0.43503342520484306,0.5649665747951569,0.8741478681881503,0.1258521318118497
Hawaii County,15001020500,0.5288497774246799,0.47115022257532013,0.5171694919385947,0.48283050806140526,0.42305646432328425,0.5769435356767157,0.8997992897818519,0.10020071021814812,0.6820021813997065,0.31799781860029325,0.4710507909356307,0.5289492090643694,0.3692265888133903,0.6307734111866097,0.9681887349087338,0.031811265091266236,0.5775857161036522,0.42241428389634783,0.45671863108145405,0.543281368918546,0.34205073046925644,0.6579492695307436,0.9387068898067158,0.0612931101932842,0.5712997755936917,0.4287002244063081,0.4836969644234061,0.5163030355765938,0.42685533475624304,0.573144665243757,0.8343712346816279,0.1656287653183721,0.5367084130731751,0.4632915869268247,0.4925451913728355,0.5074548086271645,0.4096183725766108,0.5903816274233892,0.8368929377930424,0.16310706220695756
Hawaii County,15001020600,0.5116914156821473,0.48830858431785273,0.5153839443227324,0.4846160556772676,0.4135259203697308,0.5864740796302692,0.8314224203274941,0.1685775796725058,0.5839682567590332,0.41603174324096676,0.47378112753235807,0.5262188724676419,0.32264156073229094,0.6773584392677091,0.9541103977289845,0.04588960227101548,0.5453203628167601,0.45467963718323995,0.4434059520121749,0.5565940479878251,0.33016376394819424,0.6698362360518058,0.8939728867973489,0.10602711320265107,0.5658861397066391,0.43411386029336085,0.4853613923446787,0.5146386076553213,0.42209341131197853,0.5779065886880215,0.7326723193012419,0.2673276806987581,0.5628962012177511,0.4371037987822489,0.4940489299651635,0.5059510700348365,0.4100914956125217,0.5899085043874783,0.7811352813237642,0.2188647186762358
Hawaii County,15001020701,0.5112674840272482,0.4887325159727518,0.5212403697907881,0.4787596302092119,0.40314318617743405,0.596856813822566,0.8235107085922503,0.17648929140774974,0.5749607577858019,0.42503924221419814,0.46924615699813044,0.5307538430018696,0.3047528654325849,0.6952471345674152,0.9530368464654189,0.046963153534581095,0.5591179015122193,0.4408820984877807,0.44780588415595907,0.552194115844041,0.3170278021674167,0.6829721978325832,0.8781202742234245,0.12187972577657545,0.563078709899938,0.4369212901000619,0.4839177581547761,0.5160822418452239,0.411214966368226,0.588785033631774,0.7748065746186982,0.22519342538130183,0.5499103205216443,0.45008967947835565,0.49891553559494384,0.5010844644050562,0.4083548767685365,0.5916451232314635,0.7712606322546682,0.22873936774533177
Hawaii County,15001020702,0.5164985500079758,0.4835014499920241,0.5085321525513702,0.4914678474486296,0.4217438599031581,0.5782561400968419,0.8732428814944052,0.1267571185055947,0.6251109807853006,0.37488901921469936,0.47575722689678096,0.5242427731032191,0.3246092608676328,0.6753907391323672,0.9706609022770765,0.029339097722923438,0.5393290187708774,0.46067098122912264,0.454882018661365,0.545117981338635,0.3153473454090192,0.6846526545909808,0.9157602150075091,0.08423978499249077,0.5752721900952686,0.4247278099047313,0.48407544860474494,0.5159245513952548,0.4269554934853292,0.5730445065146708,0.8345785356949663,0.16542146430503352,0.5503550382860374,0.4496449617139627,0.4938430088089856,0.5061569911910144,0.4100158998498355,0.5899841001501644,0.842822754328666,0.15717724567133384
Hawaii County,15001020801,0.508617332128603,0.4913826678713972,0.5134168788262978,0.48658312117370217,0.4167738120189765,0.5832261879810234,0.8874611235242055,0.11253887647579454,0.68874315876954,0.3112568412304603,0.4721722259414301,0.52782777405857,0.3807834233480582,0.6192165766519417,0.9772540292071421,0.022745970792857884,0.555680635984747,0.4443193640152532,0.45473590577515965,0.5452640942248403,0.3095950596243706,0.6904049403756294,0.9321075977027672,0.06789240229723281,0.5640693384713459,0.43593066152865434,0.4875380933878031,0.5124619066121969,0.4200666668925592,0.5799333331074408,0.820519377372197,0.1794806226278029,0.5468066009109727,0.4531933990890275,0.5018759845799524,0.4981240154200476,0.41867898981210405,0.581321010187896,0.8481605957809792,0.15183940421902078
Hawaii County,15001020802,0.49136264796764745,0.5086373520323526,0.5122361029668604,0.48776389703313966,0.40947988060773766,0.5905201193922623,0.8566085368528489,0.14339146314715112,0.6288794714105649,0.3711205285894352,0.4766586732475705,0.5233413267524295,0.3522089410145657,0.6477910589854343,0.9627444107080029,0.037255589291997175,0.5261441650162585,0.4738558349837415,0.44765112772048726,0.5523488722795127,0.3148915935037676,0.6851084064962324,0.9095777909818843,0.09042220901811575,0.5546667360932517,0.4453332639067483,0.48681976842623986,0.5131802315737601,0.4200152909932008,0.5799847090067992,0.7934752633624643,0.2065247366375357,0.5357223317580168,0.46427766824198324,0.4934130082072021,0.506586991792798,0.40972583222940967,0.5902741677705904,0.8242182416428592,0.17578175835714083
