county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_white.uss_16_dem_mcg,vap_white.uss_16_rep_too,vap_black.uss_16_dem_mcg,vap_black.uss_16_rep_too,vap_hisp.uss_16_dem_mcg,vap_hisp.uss_16_rep_too,vap_oth.uss_16_dem_mcg,vap_oth.uss_16_rep_too,vap_white.atg_16_dem_sha,vap_white.atg_16_rep_raf,vap_black.atg_16_dem_sha,vap_black.atg_16_rep_raf,vap_hisp.atg_16_dem_sha,vap_hisp.atg_16_rep_raf,vap_oth.atg_16_dem_sha,vap_oth.atg_16_rep_raf,vap_white.uss_18_dem_cas,vap_white.uss_18_rep_bar,vap_black.uss_18_dem_cas,vap_black.uss_18_rep_bar,vap_hisp.uss_18_dem_cas,vap_hisp.uss_18_rep_bar,vap_oth.uss_18_dem_cas,vap_oth.uss_18_rep_bar,vap_white.gov_18_dem_wol,vap_white.gov_18_rep_wag,vap_black.gov_18_dem_wol,vap_black.gov_18_rep_wag,vap_hisp.gov_18_dem_wol,vap_hisp.gov_18_rep_wag,vap_oth.gov_18_dem_wol,vap_oth.gov_18_rep_wag,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_white.atg_20_dem_sha,vap_white.atg_20_rep_hei,vap_black.atg_20_dem_sha,vap_black.atg_20_rep_hei,vap_hisp.atg_20_dem_sha,vap_hisp.atg_20_rep_hei,vap_oth.atg_20_dem_sha,vap_oth.atg_20_rep_hei
Adams County,42001000010,0.2531539092441931,0.7468460907558069,0.5820124887607696,0.4179875112392304,0.6037883528376624,0.39621164716233753,0.5560910052449244,0.44390899475507567,0.2898585306417855,0.7101414693582144,0.5760331275252002,0.42396687247479986,0.5842767315809838,0.4157232684190162,0.5584201711214317,0.44157982887856834,0.31178954234316913,0.6882104576568309,0.5816406384108171,0.4183593615891829,0.5773787764825352,0.42262122351746473,0.5783840443828059,0.4216159556171941,0.3560829596518833,0.6439170403481167,0.5942573286956404,0.40574267130435954,0.6254348766946347,0.3745651233053653,0.5879852730817458,0.4120147269182542,0.3346701024890233,0.6653298975109767,0.5528438407337873,0.4471561592662126,0.7845290818818299,0.21547091811817015,0.5775996601904956,0.4224003398095045,0.2367596026263002,0.7632403973736998,0.5731115556963389,0.42688844430366113,0.5712690284625247,0.42873097153747536,0.6053311362862718,0.3946688637137282,0.2377373288396895,0.7622626711603105,0.6087729346169855,0.39122706538301455,0.583022617245697,0.4169773827543029,0.6140548531693335,0.3859451468306665
Adams County,42001000020,0.32910108004785654,0.6708989199521435,0.5876279842701778,0.4123720157298222,0.6025014670262808,0.3974985329737192,0.5560317454392826,0.44396825456071737,0.3326612781225427,0.6673387218774572,0.5824994565918551,0.41750054340814496,0.5821832534670214,0.4178167465329787,0.5592710508129733,0.4407289491870266,0.34560416743904476,0.6543958325609552,0.577655616588595,0.42234438341140507,0.5994098836255601,0.4005901163744399,0.5737405409569697,0.4262594590430303,0.41848573361451197,0.5815142663854881,0.596172156350307,0.40382784364969304,0.6431626939680161,0.35683730603198394,0.5928635023853552,0.4071364976146447,0.41722867627316756,0.5827713237268324,0.5458171350441461,0.4541828649558539,0.811411480781817,0.18858851921818295,0.5855706834955979,0.41442931650440207,0.3406830633507172,0.6593169366492828,0.5718843667789492,0.42811563322105084,0.6106713453003499,0.3893286546996501,0.600609884779233,0.39939011522076695,0.34706572590772766,0.6529342740922723,0.6057511375025126,0.3942488624974874,0.609180267078561,0.39081973292143896,0.6149809383308295,0.38501906166917055
Adams County,42001000030,0.23573374231875147,0.7642662576812486,0.5820507846206125,0.4179492153793875,0.5735209589518395,0.4264790410481605,0.5480168595162047,0.45198314048379534,0.2514043780512444,0.7485956219487556,0.5750439326762407,0.42495606732375935,0.5191760974362725,0.4808239025637275,0.552006267884815,0.447993732115185,0.2799457658946039,0.720054234105396,0.5786162841332989,0.42138371586670104,0.5598317033108221,0.4401682966891779,0.5705059314657602,0.42949406853423977,0.3229094331106579,0.6770905668893421,0.5954248927338589,0.40457510726614104,0.6042872565165214,0.3957127434834786,0.5837336633856426,0.41626633661435736,0.2898906187531454,0.7101093812468545,0.5466304878700495,0.45336951212995047,0.7495440942695933,0.25045590573040666,0.5693910302082111,0.4306089697917889,0.23975948139980682,0.7602405186001931,0.5804468791212041,0.4195531208787959,0.49818795023451473,0.5018120497654853,0.5917215350094065,0.4082784649905935,0.2438378219802139,0.7561621780197861,0.5998937390862926,0.4001062609137074,0.5456231340008808,0.4543768659991192,0.6056394055386843,0.3943605944613157
Adams County,42001000040,0.2058921105915134,0.7941078894084865,0.5856905820350696,0.41430941796493037,0.5855228861260813,0.41447711387391867,0.5426236419726994,0.4573763580273006,0.2496804296900337,0.7503195703099663,0.5733011946907556,0.4266988053092444,0.5708584514503365,0.42914154854966347,0.5581737398412542,0.4418262601587458,0.24861504443544744,0.7513849555645525,0.5741863522118151,0.4258136477881849,0.5656370102465872,0.4343629897534128,0.5679711275324555,0.43202887246754446,0.3072584599574056,0.6927415400425945,0.5965464057318807,0.4034535942681193,0.618252384197372,0.381747615802628,0.5840484372297466,0.41595156277025336,0.3344776993014805,0.6655223006985195,0.5518802065030105,0.44811979349698944,0.7980777048315171,0.2019222951684829,0.5782139058099572,0.4217860941900428,0.25030338773497085,0.7496966122650291,0.5754810622333533,0.42451893776664673,0.5715090663594247,0.4284909336405753,0.5916948096775506,0.4083051903224494,0.2465480020609905,0.7534519979390095,0.6130270707829424,0.3869729292170576,0.5943028976304778,0.40569710236952217,0.6016560205121466,0.39834397948785333
Adams County,42001000050,0.25466129859034664,0.7453387014096531,0.5889959087056486,0.41100409129435145,0.5948453938418083,0.4051546061581917,0.551752606532431,0.4482473934675691,0.269948287818587,0.730051712181413,0.5686928856375516,0.43130711436244834,0.5745385679384993,0.4254614320615007,0.5533442264996052,0.44665577350039476,0.2813856047654314,0.7186143952345686,0.5826263821372213,0.4173736178627787,0.5701177178291303,0.42988228217086966,0.5674299242425235,0.4325700757574766,0.34246527693369366,0.6575347230663063,0.603954086726356,0.396045913273644,0.6258818208285766,0.3741181791714234,0.5869670584185284,0.4130329415814716,0.3640660106394435,0.6359339893605565,0.5558697761024181,0.444130223897582,0.7894361570035373,0.21056384299646272,0.5837754896672287,0.41622451033277125,0.27897063867905,0.7210293613209497,0.5736245431607772,0.4263754568392229,0.5896874158812607,0.4103125841187392,0.6041960217834719,0.39580397821652813,0.3017952197466686,0.6982047802533314,0.6056824175963786,0.39431758240362136,0.6070253750448651,0.3929746249551349,0.6172281529102438,0.38277184708975626
Adams County,42001000060,0.23598458193977778,0.7640154180602222,0.5894819118103816,0.4105180881896185,0.5977217888391645,0.4022782111608355,0.5554380579050405,0.44456194209495953,0.28220801208680935,0.7177919879131907,0.5854983338377653,0.41450166616223477,0.5711694682247502,0.42883053177524977,0.5614160113114347,0.4385839886885653,0.2882058136966496,0.7117941863033503,0.5788932962937345,0.42110670370626546,0.5768221200230826,0.42317787997691736,0.5724916643782064,0.4275083356217935,0.3470628764321306,0.6529371235678695,0.5963027838703439,0.4036972161296562,0.6195424691310276,0.3804575308689724,0.5904942151664366,0.4095057848335633,0.3568303693185522,0.6431696306814477,0.5452845942858318,0.4547154057141683,0.7890403632014698,0.2109596367985302,0.5795119312988193,0.4204880687011807,0.26439735511739376,0.7356026448826062,0.574267101265246,0.4257328987347539,0.583164661829879,0.4168353381701209,0.5962874150225201,0.4037125849774798,0.2787707436136277,0.7212292563863724,0.606454089300826,0.39354591069917405,0.5973287543492665,0.4026712456507336,0.6140779487080296,0.38592205129197044
Adams County,42001000070,0.22239369406362594,0.777606305936374,0.5824299771617958,0.4175700228382042,0.5866595237117509,0.4133404762882491,0.5476673679518309,0.45233263204816904,0.2227156057597194,0.7772843942402806,0.5877780795319556,0.4122219204680444,0.5617870302123595,0.43821296978764046,0.5524193325803721,0.4475806674196279,0.2216470553108147,0.7783529446891853,0.5746348218222054,0.4253651781777946,0.5602034631553988,0.4397965368446012,0.5719571531641096,0.42804284683589044,0.2896963461987933,0.7103036538012067,0.6003063397684599,0.3996936602315401,0.6137471524860906,0.38625284751390937,0.5846172248859941,0.41538277511400584,0.3138128574363744,0.6861871425636256,0.5535210875505587,0.44647891244944127,0.7850459025672171,0.21495409743278293,0.5843514569004119,0.41564854309958804,0.22407613923712777,0.7759238607628722,0.5730883753527812,0.42691162464721877,0.5781509729990626,0.4218490270009374,0.6021369053361599,0.39786309466384007,0.24334821717999486,0.7566517828200051,0.6056959642347244,0.39430403576527556,0.577181100742744,0.422818899257256,0.6066957825101368,0.39330421748986316
Adams County,42001000078,0.282488227540322,0.717511772459678,0.5899526742791589,0.41004732572084107,0.5978393585879161,0.40216064141208385,0.5536095555041158,0.44639044449588416,0.3081434930491924,0.6918565069508076,0.5769866247663796,0.42301337523362015,0.5787344024284149,0.42126559757158505,0.5652877472568126,0.4347122527431874,0.29897393246493753,0.7010260675350625,0.5762219841454055,0.4237780158545945,0.5724019991568824,0.4275980008431176,0.5804559201442984,0.41954407985570163,0.3431807410592332,0.6568192589407669,0.6009714052422281,0.39902859475777186,0.6168824367796845,0.3831175632203156,0.5826312244350453,0.4173687755649544,0.33856379113564294,0.6614362088643571,0.5463407692091821,0.45365923079081794,0.7845996915424761,0.21540030845752395,0.582189648838256,0.4178103511617438,0.3118421973813253,0.6881578026186748,0.5782382399176641,0.42176176008233585,0.5830272210348698,0.41697277896513024,0.5964003874535623,0.4035996125464375,0.3055079215443223,0.6944920784556776,0.6046626803774543,0.39533731962254565,0.5938048350883282,0.40619516491167185,0.6127093429227402,0.3872906570772596
Adams County,42001000082,0.29183124670501503,0.7081687532949852,0.583806477624541,0.41619352237545904,0.5898177252483975,0.41018227475160246,0.5549319439612024,0.4450680560387976,0.28905811652787117,0.710941883472129,0.5766314403898217,0.4233685596101783,0.5697589209000253,0.4302410790999747,0.5579648697786977,0.44203513022130225,0.2986095248343724,0.7013904751656278,0.5781193821106808,0.4218806178893192,0.5724855656092865,0.4275144343907135,0.5745170600226536,0.4254829399773465,0.3628733609346715,0.6371266390653287,0.5959583293689987,0.4040416706310012,0.6201926490703348,0.3798073509296653,0.5911835657642937,0.4088164342357064,0.3788024384309516,0.6211975615690486,0.5448967510037631,0.4551032489962369,0.7867964574361264,0.2132035425638736,0.5797386495535577,0.42026135044644236,0.31655078597627656,0.6834492140237236,0.5739337038944231,0.42606629610557684,0.5795248010125653,0.4204751989874347,0.6066514400005858,0.3933485599994142,0.30761690420846244,0.6923830957915378,0.6067048785133428,0.39329512148665724,0.5942256953187375,0.4057743046812625,0.6196808285353874,0.3803191714646125
Adams County,42001000090,0.2759786315882871,0.7240213684117128,0.5859936721583301,0.41400632784166985,0.5919227542260833,0.4080772457739167,0.5460942634282162,0.4539057365717838,0.2944080885562156,0.7055919114437844,0.5756011472837546,0.4243988527162455,0.575348024868686,0.424651975131314,0.5528143139875157,0.4471856860124843,0.3105407426587924,0.6894592573412076,0.5817272004024625,0.4182727995975375,0.575943519086748,0.424056480913252,0.5793839986155069,0.42061600138449307,0.3915459669928702,0.6084540330071297,0.5949118639818042,0.4050881360181959,0.6212799604168278,0.3787200395831723,0.589656003131631,0.41034399686836903,0.41557897738541505,0.584421022614585,0.5579478229644754,0.4420521770355246,0.796070003376005,0.20392999662399505,0.5861200583236968,0.41387994167630315,0.3027795903802025,0.6972204096197975,0.5759273162480719,0.4240726837519281,0.5860061348722425,0.41399386512775754,0.6069602601911291,0.39303973980887086,0.30178646575111767,0.6982135342488823,0.6048349420974595,0.39516505790254053,0.5932866941089402,0.4067133058910598,0.6155427607636943,0.3844572392363057
