county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_16_rep_lee,vap_white.uss_16_dem_sno,vap_black.uss_16_rep_lee,vap_black.uss_16_dem_sno,vap_hisp.uss_16_rep_lee,vap_hisp.uss_16_dem_sno,vap_oth.uss_16_rep_lee,vap_oth.uss_16_dem_sno,vap_white.gov_16_rep_her,vap_white.gov_16_dem_wei,vap_black.gov_16_rep_her,vap_black.gov_16_dem_wei,vap_hisp.gov_16_rep_her,vap_hisp.gov_16_dem_wei,vap_oth.gov_16_rep_her,vap_oth.gov_16_dem_wei,vap_white.atg_16_rep_rey,vap_white.atg_16_dem_har,vap_black.atg_16_rep_rey,vap_black.atg_16_dem_har,vap_hisp.atg_16_rep_rey,vap_hisp.atg_16_dem_har,vap_oth.atg_16_rep_rey,vap_oth.atg_16_dem_har,vap_white.uss_18_rep_rom,vap_white.uss_18_dem_wil,vap_black.uss_18_rep_rom,vap_black.uss_18_dem_wil,vap_hisp.uss_18_rep_rom,vap_hisp.uss_18_dem_wil,vap_oth.uss_18_rep_rom,vap_oth.uss_18_dem_wil,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.gov_20_rep_cox,vap_white.gov_20_dem_pet,vap_black.gov_20_rep_cox,vap_black.gov_20_dem_pet,vap_hisp.gov_20_rep_cox,vap_hisp.gov_20_dem_pet,vap_oth.gov_20_rep_cox,vap_oth.gov_20_dem_pet,vap_white.atg_20_rep_rey,vap_white.atg_20_dem_sko,vap_black.atg_20_rep_rey,vap_black.atg_20_dem_sko,vap_hisp.atg_20_rep_rey,vap_hisp.atg_20_dem_sko,vap_oth.atg_20_rep_rey,vap_oth.atg_20_dem_sko
Beaver County,49001BEA4UN,0.8751285554626255,0.12487144453737457,0.4987649257165111,0.5012350742834889,0.6516872288677288,0.3483127711322712,0.8467638494625295,0.15323615053747047,0.8886661472006864,0.11133385279931363,0.52122938669247,0.47877061330753,0.6638740297913358,0.33612597020866414,0.8872401042239755,0.11275989577602451,0.8579481662788853,0.1420518337211148,0.4998451389466135,0.5001548610533865,0.6276759223833108,0.3723240776166891,0.8305554090042421,0.16944459099575787,0.8542742184065251,0.1457257815934749,0.5037534234233708,0.4962465765766292,0.6024940964652394,0.39750590353476056,0.8000103614848528,0.1999896385151472,0.8555545942135279,0.14444540578647208,0.5043082599467988,0.49569174005320116,0.586169954506057,0.413830045493943,0.8465781819289551,0.15342181807104488,0.8842984356530939,0.1157015643469062,0.5046126810307736,0.4953873189692264,0.6377111778508437,0.3622888221491562,0.8407753724750254,0.15922462752497454,0.879539824639952,0.120460175360048,0.5153800437748051,0.48461995622519494,0.6299522987871331,0.3700477012128669,0.8435340445735673,0.15646595542643277,0.871131201007308,0.12886879899269205,0.48845013637976625,0.5115498636202338,0.5980349318080699,0.4019650681919302,0.8332034796044727,0.1667965203955273
Beaver County,49001BEV1I-,0.9531883124443272,0.04681168755567275,0.5008787367785563,0.4991212632214437,0.6108797497723815,0.38912025022761854,0.6027274934536355,0.39727250654636453,0.9571317819309556,0.042868218069044436,0.5150110692996239,0.4849889307003761,0.6229889474660044,0.3770110525339956,0.6396320029779174,0.3603679970220825,0.9527184912130255,0.04728150878697442,0.5037431429439905,0.4962568570560095,0.5944285252821593,0.4055714747178408,0.584305660932868,0.4156943390671321,0.9581752876267925,0.04182471237320755,0.5124983444555347,0.4875016555444654,0.5898372671067563,0.4101627328932437,0.5822115107506374,0.4177884892493627,0.943315926331552,0.056684073668448014,0.5031219955846332,0.4968780044153668,0.555508165501929,0.44449183449807095,0.5900897532707036,0.40991024672929643,0.9642465828220559,0.03575341717794416,0.5111864573770663,0.48881354262293375,0.6137424647249246,0.3862575352750755,0.5928173818323755,0.40718261816762447,0.9769934225528991,0.02300657744710086,0.5119903814831427,0.4880096185168573,0.6686776599564547,0.3313223400435453,0.63768553726565,0.3623144627343499,0.961950891046421,0.03804910895357907,0.4900154596433183,0.5099845403566817,0.5882628647920284,0.4117371352079716,0.6276777338124351,0.3723222661875649
Beaver County,49001BEV2I-,0.955411441662767,0.04458855833723299,0.5017572885659954,0.4982427114340046,0.7551951797050437,0.24480482029495637,0.6241127212908804,0.3758872787091197,0.950531908818352,0.04946809118164802,0.516557989551313,0.483442010448687,0.7291834803197045,0.27081651968029546,0.657084506770658,0.34291549322934206,0.9481922713526854,0.051807728647314644,0.5066875360434784,0.4933124639565217,0.7261338852619812,0.27386611473801886,0.6180375913668442,0.38196240863315584,0.9520213478627854,0.047978652137214584,0.5134439119916909,0.4865560880083091,0.6921623058366845,0.30783769416331547,0.6028185155266693,0.3971814844733307,0.9411976500278036,0.058802349972196355,0.5049500632419005,0.4950499367580995,0.6675943595414274,0.33240564045857257,0.6130421523638236,0.3869578476361764,0.9581740866034838,0.04182591339651618,0.5102630690777317,0.48973693092226833,0.7157696498526759,0.28423035014732406,0.6079191679959208,0.39208083200407917,0.9645554179183917,0.03544458208160832,0.5067717811312489,0.4932282188687512,0.7427571589806021,0.25724284101939787,0.647937097034426,0.3520629029655739,0.9445073500871123,0.05549264991288767,0.4900433728112667,0.5099566271887334,0.6663641020833412,0.33363589791665876,0.6316628716729326,0.36833712832706744
Beaver County,49001BEV3I-,0.9039837355144354,0.09601626448556454,0.5006900103522752,0.4993099896477248,0.650686472150948,0.34931352784905206,0.607236530040007,0.392763469959993,0.8980617389038034,0.10193826109619666,0.5116133532036024,0.4883866467963977,0.6611686361349938,0.3388313638650063,0.6391037672768247,0.3608962327231752,0.900285839391529,0.09971416060847106,0.5052394603632936,0.49476053963670646,0.6236408318339192,0.37635916816608084,0.5988845445959773,0.40111545540402266,0.8842924144798384,0.1157075855201616,0.49801671230942957,0.5019832876905704,0.597025772299808,0.40297422770019203,0.5851541776003828,0.41484582239961715,0.869433016577507,0.13056698342249293,0.5091876038568587,0.4908123961431413,0.5861146219289874,0.4138853780710126,0.6055784875425251,0.394421512457475,0.9200413078529804,0.07995869214701956,0.5010002620105802,0.49899973798941977,0.6326567741731941,0.3673432258268059,0.5973417676678955,0.40265823233210457,0.9115793506675318,0.0884206493324682,0.5058517649439851,0.49414823505601485,0.62779151197828,0.37220848802172,0.6223568592021995,0.3776431407978005,0.9033999327775336,0.0966000672224664,0.4943996001465654,0.5056003998534346,0.5954069444209051,0.4045930555790948,0.6257219958860368,0.37427800411396317
Beaver County,49001BEV3UE,0.9468385987178214,0.05316140128217859,0.49421329733231867,0.5057867026676813,0.8208816749546649,0.17911832504533506,0.6142345331268764,0.38576546687312363,0.9413155705675135,0.05868442943248657,0.5163114275430317,0.48368857245696834,0.8003085980998724,0.1996914019001276,0.643999371528854,0.35600062847114605,0.951873854404872,0.04812614559512777,0.5015591674138704,0.4984408325861296,0.8294751617219178,0.1705248382780822,0.5967778576717339,0.4032221423282662,0.9401113093878183,0.05988869061218152,0.5076640947500269,0.4923359052499731,0.7706315129299939,0.22936848707000615,0.5908967038841995,0.40910329611580054,0.9276158575954494,0.0723841424045506,0.5024708433302796,0.49752915666972036,0.7449577852504978,0.2550422147495022,0.6050596498939815,0.3949403501060185,0.9564607893489858,0.04353921065101413,0.5114861650667947,0.48851383493320527,0.8205967645455502,0.1794032354544498,0.5998111637025773,0.40018883629742275,0.9555936171542248,0.044406382845775194,0.5032722105149638,0.4967277894850361,0.8007844996515825,0.19921550034841745,0.6258773499131997,0.3741226500868004,0.9533220914335719,0.04667790856642779,0.49260203055235396,0.507397969447646,0.8120036388897344,0.1879963611102656,0.6290229423198372,0.3709770576801627
Beaver County,49001BEV3UN,0.9439443674229373,0.056055632577062704,0.49286059188841175,0.5071394081115883,0.6355345792928108,0.36446542070718924,0.5948411524393225,0.40515884756067755,0.9278856023723214,0.07211439762767856,0.5086526353886289,0.49134736461137113,0.6450585906258746,0.3549414093741254,0.6262360876876732,0.3737639123123268,0.9518618818530471,0.04813811814695289,0.5084411948880367,0.49155880511196326,0.6063373527913988,0.3936626472086013,0.5851102919545191,0.4148897080454808,0.9234699533320025,0.07653004666799748,0.5036051224271277,0.4963948775728723,0.5871395549565228,0.41286044504347713,0.5739048620217743,0.42609513797822574,0.9094479871726598,0.09055201282734016,0.5027993866170525,0.4972006133829475,0.5707464151916349,0.42925358480836506,0.5875196702320147,0.41248032976798527,0.9466833117726429,0.05331668822735712,0.5020797867453868,0.49792021325461316,0.6191564687169556,0.38084353128304443,0.5801446761289267,0.4198553238710733,0.9408723413746433,0.05912765862535669,0.5043602333295443,0.4956397666704558,0.6087553490527505,0.3912446509472495,0.6114245335154818,0.38857546648451824,0.9440992104362779,0.055900789563722124,0.4967268919160346,0.5032731080839654,0.584764574521343,0.415235425478657,0.6150469836752462,0.3849530163247538
Beaver County,49001BEV3US,0.9480764446861647,0.05192355531383533,0.500631037122281,0.49936896287771904,0.7701096833816353,0.22989031661836473,0.6392798939611889,0.3607201060388111,0.9442143634263226,0.05578563657367738,0.5088894864590208,0.49111051354097923,0.7641109917574775,0.23588900824252249,0.6626611120622649,0.33733888793773514,0.951020767822752,0.048979232177248026,0.5041061592136685,0.4958938407863315,0.7680252547610809,0.23197474523891912,0.6381756112950571,0.36182438870494293,0.9422679878396039,0.05773201216039616,0.5051058611977504,0.4948941388022497,0.7079280673225364,0.29207193267746356,0.6209043138869438,0.3790956861130562,0.9264918754345308,0.07350812456546917,0.5043186927050486,0.4956813072949514,0.6808116525324398,0.3191883474675602,0.6213344708679853,0.3786655291320147,0.9587766153421192,0.04122338465788077,0.5100216608356628,0.4899783391643372,0.7732773245317265,0.22672267546827352,0.6426763584906693,0.3573236415093307,0.9564857641603047,0.0435142358396953,0.5004414143104748,0.4995585856895251,0.7505058108856367,0.24949418911436325,0.6687156387989491,0.3312843612010508,0.9517916410524583,0.04820835894754168,0.49003083400921293,0.509969165990787,0.7432057416717602,0.2567942583282397,0.6670789249120842,0.3329210750879158
Beaver County,49001BEV3UW,0.9548911228883978,0.04510887711160214,0.5042152126601999,0.49578478733980014,0.6392662911662461,0.3607337088337539,0.6020282423906055,0.3979717576093945,0.9414866977393987,0.058513302260601224,0.5101131717903545,0.4898868282096455,0.6406208176181439,0.3593791823818561,0.6164496132978818,0.38355038670211794,0.9617983341249421,0.038201665875057945,0.4987584982936813,0.5012415017063185,0.6217961237599426,0.37820387624005736,0.5980473107012906,0.40195268929870914,0.9394205555983609,0.06057944440163905,0.505801886129827,0.49419811387017276,0.5827711938886028,0.41722880611139723,0.5780500543783383,0.4219499456216617,0.9237570501880957,0.07624294981190424,0.5033266285054039,0.4966733714945959,0.5677407758448104,0.43225922415518964,0.5886763044069161,0.41132369559308396,0.9606454911849347,0.03935450881506529,0.5049177907919207,0.4950822092080791,0.6085097585678683,0.39149024143213174,0.5774545367008495,0.4225454632991505,0.9561264850901582,0.043873514909841774,0.5038021430448135,0.4961978569551865,0.6060699646217083,0.39393003537829174,0.6155091300104283,0.3844908699895717,0.957261255796105,0.04273874420389505,0.4871332155581212,0.5128667844418785,0.5912454197755398,0.4087545802244602,0.6200747868475931,0.3799252131524067
Beaver County,49001BEV4UE,0.9075677585958458,0.0924322414041544,0.5017121158987156,0.4982878841012844,0.7298917098149037,0.27010829018509624,0.6351990976356023,0.36480090236439766,0.9221725635313963,0.07782743646860395,0.5129526861536041,0.4870473138463958,0.7710562997323622,0.22894370026763777,0.6777653305530069,0.32223466944699314,0.8999367742819167,0.10006322571808351,0.506666025090423,0.493333974909577,0.7117288983513004,0.2882711016486997,0.6283103018581235,0.37168969814187647,0.8934404900304733,0.10655950996952691,0.5040547799373054,0.4959452200626946,0.6667538283403989,0.33324617165960113,0.6099326361107229,0.3900673638892771,0.8917708617415888,0.10822913825841135,0.5055914774997221,0.4944085225002779,0.6810071697128574,0.31899283028714265,0.6327605469731601,0.36723945302683997,0.9247921080559529,0.07520789194404735,0.5077719827115291,0.4922280172884709,0.730962575877671,0.26903742412232906,0.6221325273434368,0.3778674726565631,0.9241469745229991,0.07585302547700115,0.5072068571069165,0.49279314289308357,0.7082323139152183,0.2917676860847817,0.65531445442925,0.3446855455707501,0.9038994167565894,0.0961005832434109,0.4940636792704527,0.5059363207295473,0.6921210288282696,0.3078789711717303,0.6505018472741888,0.3494981527258112
Beaver County,49001BEV4US,0.9406846885592852,0.059315311440714766,0.5013979868537115,0.49860201314628855,0.627193117512894,0.37280688248710603,0.5977929045485594,0.4022070954514406,0.9652287763265247,0.03477122367347532,0.5148611594462985,0.48513884055370154,0.6638482700137734,0.33615172998622656,0.6401615558153133,0.3598384441846867,0.9168457329915707,0.08315426700842928,0.5051859987724154,0.4948140012275846,0.5954441483428202,0.40455585165717983,0.581313695794992,0.418686304205008,0.8973516671633626,0.10264833283663743,0.504422566835326,0.49557743316467395,0.5829304488422874,0.4170695511577126,0.5721456021894433,0.42785439781055673,0.9470750601092234,0.05292493989077658,0.5024905539243223,0.4975094460756777,0.5789035570912799,0.4210964429087201,0.6014825314250004,0.39851746857499953,0.9225081293554539,0.07749187064454609,0.5030594606581309,0.4969405393418691,0.6006382245752113,0.3993617754247886,0.5799798348484438,0.42002016515155616,0.9235493641912559,0.07645063580874407,0.5058913981381291,0.49410860186187083,0.5983408971174112,0.40165910288258877,0.6076488544655545,0.3923511455344455,0.910752587881354,0.08924741211864591,0.48851326708095133,0.5114867329190487,0.5763685615258354,0.4236314384741646,0.601554436231915,0.39844556376808504
