county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_18_rep_new,vap_white.uss_18_dem_klo,vap_black.uss_18_rep_new,vap_black.uss_18_dem_klo,vap_hisp.uss_18_rep_new,vap_hisp.uss_18_dem_klo,vap_oth.uss_18_rep_new,vap_oth.uss_18_dem_klo,vap_white.gov_18_rep_joh,vap_white.gov_18_dem_wal,vap_black.gov_18_rep_joh,vap_black.gov_18_dem_wal,vap_hisp.gov_18_rep_joh,vap_hisp.gov_18_dem_wal,vap_oth.gov_18_rep_joh,vap_oth.gov_18_dem_wal,vap_white.atg_18_rep_war,vap_white.atg_18_dem_ell,vap_black.atg_18_rep_war,vap_black.atg_18_dem_ell,vap_hisp.atg_18_rep_war,vap_hisp.atg_18_dem_ell,vap_oth.atg_18_rep_war,vap_oth.atg_18_dem_ell,vap_white.sos_18_rep_how,vap_white.sos_18_dem_sim,vap_black.sos_18_rep_how,vap_black.sos_18_dem_sim,vap_hisp.sos_18_rep_how,vap_hisp.sos_18_dem_sim,vap_oth.sos_18_rep_how,vap_oth.sos_18_dem_sim,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_white.uss_20_dem_smi,vap_white.uss_20_rep_lew,vap_black.uss_20_dem_smi,vap_black.uss_20_rep_lew,vap_hisp.uss_20_dem_smi,vap_hisp.uss_20_rep_lew,vap_oth.uss_20_dem_smi,vap_oth.uss_20_rep_lew
Aitkin County,27001000005,0.6220005438027874,0.37799945619721265,0.5153809463146604,0.48461905368533964,0.4857000903122347,0.5142999096877653,0.41970713486445604,0.5802928651355439,0.4322001797409238,0.5677998202590762,0.5118937273883359,0.488106272611664,0.48929527219603103,0.5107047278039689,0.37860782847577157,0.6213921715242284,0.523917222197116,0.47608277780288394,0.4863762389096856,0.5136237610903144,0.48917822038113773,0.5108217796188622,0.36407845543391204,0.635921544566088,0.5746856785519445,0.4253143214480555,0.47822633020418964,0.5217736697958103,0.4836104673741687,0.5163895326258313,0.4318541014121532,0.5681458985878468,0.5350100612030768,0.46498993879692313,0.5013958378168022,0.4986041621831978,0.49296529069406314,0.5070347093059369,0.4197276003707052,0.5802723996292948,0.3998630542003689,0.6001369457996312,0.4913774487114141,0.5086225512885859,0.501521545672226,0.49847845432777405,0.6384847728195802,0.3615152271804198,0.42125846017519114,0.5787415398248088,0.4988454126874379,0.5011545873125621,0.49745610342416435,0.5025438965758356,0.5890184780894901,0.4109815219105099
Aitkin County,27001000010,0.701729273255764,0.2982707267442361,0.5159593011576128,0.48404069884238715,0.48775170135233353,0.5122482986476665,0.4280469953470491,0.5719530046529508,0.5299070906237922,0.4700929093762079,0.5140718052558024,0.4859281947441975,0.49060240864221893,0.5093975913577811,0.37372821500395587,0.6262717849960442,0.6333612387837452,0.3666387612162548,0.4817787336818477,0.5182212663181522,0.487889563940541,0.512110436059459,0.375259779832195,0.624740220167805,0.6937922754584052,0.30620772454159484,0.48407424981399644,0.5159257501860036,0.4925495061105116,0.5074504938894884,0.43419673963407257,0.5658032603659274,0.6567644695316925,0.3432355304683075,0.4962432338765977,0.5037567661234023,0.49626442524197456,0.5037355747580254,0.43720168969322576,0.5627983103067742,0.32500449045594443,0.6749955095440555,0.5045514580108309,0.49544854198916916,0.5024501875008704,0.49754981249912955,0.6310718177652056,0.36892818223479434,0.3204492199118141,0.6795507800881859,0.4945132693147129,0.5054867306852872,0.4874607353455974,0.5125392646544026,0.5746182992203384,0.4253817007796617
Aitkin County,27001000015,0.6333415102247197,0.36665848977528026,0.5136517373842366,0.48634826261576336,0.49395984533217946,0.5060401546678205,0.42417751228464234,0.5758224877153577,0.44243057128744534,0.5575694287125547,0.5175866980906534,0.4824133019093466,0.48615545297877405,0.513844547021226,0.37405273398814565,0.6259472660118544,0.5402721899269911,0.4597278100730089,0.48025838455350367,0.5197416154464963,0.485388504857459,0.514611495142541,0.3671546763503527,0.6328453236496473,0.5538914510878042,0.4461085489121958,0.47801457530315034,0.5219854246968496,0.47930109552186423,0.5206989044781358,0.43662020364823334,0.5633797963517667,0.5357055063244249,0.46429449367557507,0.49741325768778977,0.5025867423122102,0.4894833202039864,0.5105166797960137,0.43874498586721533,0.5612550141327847,0.4034365951909693,0.5965634048090307,0.4970233501413981,0.5029766498586019,0.5024651076782841,0.49753489232171594,0.6293426543194588,0.37065734568054126,0.4456795431934372,0.5543204568065627,0.5038492105953268,0.49615078940467316,0.49593747779832936,0.5040625222016706,0.5829212866611932,0.4170787133388067
Aitkin County,27001000020,0.5973231470105697,0.40267685298943034,0.5186384021767645,0.48136159782323557,0.4906109795865939,0.5093890204134062,0.4035198055588373,0.5964801944411626,0.4015925286459874,0.5984074713540126,0.5099395135818018,0.4900604864181982,0.48575980311262185,0.5142401968873782,0.3479648072712906,0.6520351927287094,0.5167343660916427,0.4832656339083573,0.48757298906747587,0.5124270109325241,0.4898047782830253,0.5101952217169746,0.34981882229764477,0.6501811777023552,0.5623755208020229,0.43762447919797703,0.48380093966082965,0.5161990603391704,0.47937358718651485,0.5206264128134852,0.4043675678904437,0.5956324321095563,0.5296918978620095,0.47030810213799046,0.496625583472585,0.503374416527415,0.49134461820324365,0.5086553817967563,0.4155590123911603,0.5844409876088397,0.4110070010986041,0.5889929989013959,0.496164393073498,0.503835606926502,0.49309145334442334,0.5069085466555767,0.6589897439438754,0.3410102560561246,0.4073155476910832,0.5926844523089169,0.4975974307458788,0.5024025692541212,0.49215896083052985,0.5078410391694701,0.5996615524843556,0.4003384475156444
Aitkin County,27001000025,0.5104798374883863,0.48952016251161345,0.5179807580323286,0.4820192419676714,0.4934701477761907,0.5065298522238093,0.4101806657099265,0.5898193342900735,0.3742257098251221,0.625774290174878,0.5139600702852593,0.4860399297147408,0.48191821651851224,0.5180817834814878,0.3670638328906246,0.6329361671093754,0.47083041461110586,0.5291695853888941,0.489064491791803,0.510935508208197,0.4859859584096245,0.5140140415903754,0.35545273485028633,0.6445472651497137,0.4341828700110735,0.5658171299889265,0.4742509522788943,0.5257490477211058,0.4860012298943423,0.5139987701056578,0.40998357220013654,0.5900164277998635,0.4038625548586287,0.5961374451413712,0.49938575421224807,0.5006142457877519,0.495793314123818,0.504206685876182,0.4090093367650691,0.5909906632349309,0.48658131147176226,0.5134186885282375,0.49793401152040984,0.5020659884795902,0.5009749251812665,0.4990250748187335,0.6450154186358421,0.35498458136415795,0.5034216895000937,0.4965783104999061,0.4985253281092165,0.5014746718907835,0.4936388297492706,0.5063611702507294,0.5975521564742399,0.40244784352576013
Aitkin County,27001000030,0.6184755705845094,0.3815244294154906,0.5125106971641922,0.4874893028358079,0.487384351681785,0.5126156483182149,0.4269629816370636,0.5730370183629364,0.4256280625615992,0.5743719374384009,0.5127246050564377,0.48727539494356226,0.4910899841852308,0.5089100158147691,0.3811667821636129,0.6188332178363871,0.5268938928265836,0.47310610717341645,0.48938585839794746,0.5106141416020525,0.4872828845326504,0.5127171154673495,0.3691479651311243,0.6308520348688756,0.5352091500034516,0.4647908499965484,0.4819553415000186,0.5180446584999814,0.48501632047313603,0.514983679526864,0.4254596137764522,0.5745403862235479,0.5352060439219075,0.4647939560780925,0.4969874016507266,0.5030125983492735,0.4930139425693012,0.5069860574306988,0.4278606048701561,0.5721393951298439,0.47437167357093574,0.5256283264290642,0.49269606156352885,0.5073039384364711,0.5033694161907254,0.49663058380927455,0.6385242518462462,0.36147574815375383,0.4606911117461429,0.5393088882538571,0.502596230516858,0.49740376948314197,0.4967428640858292,0.5032571359141708,0.5771983639308275,0.4228016360691725
Aitkin County,27001000035,0.6157862084353447,0.3842137915646553,0.5148763694146703,0.4851236305853297,0.4797888620770028,0.5202111379229972,0.4045045685218659,0.5954954314781341,0.42152489249131153,0.5784751075086885,0.5130361385538988,0.4869638614461011,0.4788785598277516,0.5211214401722484,0.3535797770491088,0.6464202229508912,0.4769748030960542,0.5230251969039458,0.48775172855139703,0.512248271448603,0.48207845716323866,0.5179215428367614,0.32892871455253664,0.6710712854474633,0.5879095849720323,0.4120904150279677,0.48061840232285846,0.5193815976771415,0.4793148162448483,0.5206851837551517,0.41732368566978784,0.5826763143302122,0.46097234143218624,0.5390276585678138,0.4954839850785327,0.5045160149214674,0.4898752597129794,0.5101247402870206,0.3752830119868453,0.6247169880131547,0.4588607874619436,0.5411392125380564,0.49288729374233037,0.5071127062576696,0.5019388090016866,0.49806119099831336,0.6774401111696688,0.3225598888303311,0.44391772928339873,0.5560822707166012,0.5026985184235575,0.4973014815764425,0.5007062524361845,0.4992937475638155,0.6149048962247113,0.38509510377528866
Aitkin County,27001000038,0.648977981179271,0.351022018820729,0.5154016811666243,0.4845983188333757,0.48430686164635633,0.5156931383536437,0.4208763776193204,0.5791236223806794,0.46275876276290656,0.5372412372370935,0.5164636036162712,0.48353639638372875,0.47919955483073773,0.5208004451692623,0.37174260659858654,0.6282573934014134,0.4488815582100746,0.5511184417899254,0.48878342900310473,0.5112165709968952,0.49002356466963043,0.5099764353303695,0.346456141134189,0.6535438588658108,0.607688097402334,0.3923119025976661,0.47906486538189674,0.5209351346181033,0.4802346023110784,0.5197653976889216,0.4255988811763601,0.5744011188236396,0.5577753055917034,0.44222469440829665,0.5006609805684668,0.4993390194315332,0.4924414958017878,0.5075585041982121,0.42126224091395653,0.5787377590860432,0.4118202480590248,0.5881797519409753,0.4937646844869571,0.5062353155130429,0.49633821359936675,0.5036617864006332,0.6512682591758124,0.3487317408241875,0.3750838545584012,0.6249161454415988,0.5007842404477622,0.49921575955223785,0.49512087470054106,0.504879125299459,0.5855288172529031,0.41447118274709666
Aitkin County,27001000040,0.6235039444750152,0.37649605552498494,0.5122970253461858,0.4877029746538142,0.4893002098791927,0.5106997901208072,0.42527892514729343,0.5747210748527065,0.4606807596096386,0.5393192403903616,0.5179461151884074,0.4820538848115926,0.4923929475419397,0.5076070524580603,0.3792234320613469,0.6207765679386531,0.5617021862700643,0.438297813729936,0.4878834927955744,0.5121165072044256,0.48268643111758014,0.5173135688824199,0.36931607624873697,0.630683923751263,0.6067575569988337,0.3932424430011665,0.47965839190805637,0.5203416080919436,0.47798833729921414,0.5220116627007859,0.4319528413780658,0.5680471586219342,0.5765463425530563,0.423453657446944,0.49848880440532434,0.5015111955946757,0.49569359397481566,0.5043064060251843,0.42657300533583237,0.5734269946641676,0.36444688858383684,0.6355531114161634,0.4901283644311523,0.5098716355688476,0.4961118470297984,0.5038881529702016,0.6277872864927213,0.3722127135072787,0.3684854623032716,0.6315145376967286,0.5055578979105428,0.4944421020894572,0.4961801925161996,0.5038198074838004,0.5777668870120656,0.4222331129879344
Aitkin County,27001000045,0.6605724196730345,0.33942758032696546,0.5111539911388878,0.4888460088611122,0.48856753265379094,0.5114324673462091,0.42282594369354115,0.5771740563064588,0.5362517735250626,0.4637482264749374,0.5124675008785254,0.48753249912147456,0.48460433847919493,0.5153956615208051,0.38360939754196266,0.6163906024580373,0.6313376427918507,0.36866235720814927,0.4856437268212781,0.5143562731787219,0.4910649283502768,0.5089350716497232,0.366364519700618,0.633635480299382,0.692599127381513,0.30740087261848703,0.4796196480492081,0.5203803519507919,0.4856583011073918,0.5143416988926082,0.4356947787216944,0.5643052212783056,0.6211233224224421,0.3788766775775579,0.49784783062497634,0.5021521693750236,0.4912431253602356,0.5087568746397644,0.4366705712535053,0.5633294287464947,0.32067034571802205,0.6793296542819779,0.4976928849763887,0.5023071150236114,0.4981748504337753,0.5018251495662247,0.6259600145452455,0.3740399854547545,0.32458836672057073,0.6754116332794293,0.5084695348848325,0.49153046511516746,0.49533731457830443,0.5046626854216956,0.5710332335262397,0.42896676647376036
Aitkin County,27001000050,0.6333340058139673,0.36666599418603274,0.5124567519621183,0.4875432480378817,0.4923582044058979,0.5076417955941022,0.41714744703321,0.5828525529667901,0.47702939183921994,0.52297060816078,0.5151068122403711,0.48489318775962886,0.4929139610384885,0.5070860389615115,0.37627458339936626,0.6237254166006337,0.5580374331982931,0.4419625668017068,0.48472961148085775,0.5152703885191422,0.4951228444286535,0.5048771555713465,0.36821871743174145,0.6317812825682586,0.6047991921510816,0.3952008078489185,0.4771219338237741,0.5228780661762259,0.48538126503251444,0.5146187349674856,0.4334885291804841,0.5665114708195159,0.571435921644278,0.42856407835572197,0.5090384136008721,0.49096158639912785,0.4950816119752939,0.5049183880247061,0.4331220498405195,0.5668779501594805,0.39921907192956146,0.6007809280704385,0.4923253661537475,0.5076746338462524,0.495101278288956,0.504898721711044,0.6357593546254371,0.3642406453745629,0.4106285800828833,0.5893714199171167,0.501846372889749,0.4981536271102511,0.4915982185520348,0.5084017814479652,0.5834664456582154,0.41653355434178463
Aitkin County,27001000055,0.622495509880117,0.37750449011988296,0.516108245764658,0.483891754235342,0.48957705595786905,0.510422944042131,0.42803325622608546,0.5719667437739145,0.4674720766237343,0.5325279233762658,0.5099233766727856,0.4900766233272144,0.48200053365893536,0.5179994663410646,0.37266994609687837,0.6273300539031216,0.5124122394925703,0.4875877605074297,0.4928447515186384,0.5071552484813616,0.48160449740743483,0.5183955025925652,0.36719422312579714,0.6328057768742028,0.593471708553033,0.40652829144696695,0.48032576832580937,0.5196742316741906,0.47843666721206085,0.5215633327879391,0.4344413671841689,0.5655586328158311,0.584479537275686,0.41552046272431403,0.49459431863039266,0.5054056813696073,0.491992456514063,0.508007543485937,0.4334546134609815,0.5665453865390185,0.43693297296233724,0.5630670270376628,0.49839423188990284,0.5016057681100972,0.5075927669015525,0.49240723309844747,0.6311125588769227,0.3688874411230773,0.4360283222294355,0.5639716777705646,0.5092187732795157,0.49078122672048424,0.49423045890369055,0.5057695410963094,0.5794267681138251,0.42057323188617485
Aitkin County,27001000060,0.6452742145518877,0.35472578544811234,0.5155764852347293,0.48442351476527074,0.48478978060241595,0.515210219397584,0.4274677637782305,0.5725322362217695,0.48183907142166393,0.5181609285783361,0.5176887798418965,0.4823112201581032,0.4843483935096061,0.5156516064903939,0.3764396934830851,0.6235603065169149,0.6082168037570854,0.3917831962429146,0.4899662853920626,0.5100337146079373,0.4814003832807738,0.5185996167192263,0.38109262624513046,0.6189073737548696,0.6318860127109248,0.3681139872890752,0.4821341315802479,0.517865868419752,0.48412256070458887,0.5158774392954111,0.4245949022623719,0.5754050977376282,0.6051735075399219,0.394826492460078,0.4978406909094934,0.5021593090905064,0.4945344730222636,0.5054655269777364,0.42855203668053976,0.5714479633194602,0.3530166618594278,0.6469833381405722,0.49606693171464283,0.5039330682853571,0.5070070526010225,0.4929929473989775,0.6317159309373389,0.3682840690626611,0.3578503991944916,0.6421496008055084,0.4977959680257479,0.5022040319742521,0.49780581631529386,0.5021941836847061,0.5783401399202727,0.42165986007972733
