county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_16_rep_cra,vap_white.uss_16_dem_stu,vap_black.uss_16_rep_cra,vap_black.uss_16_dem_stu,vap_hisp.uss_16_rep_cra,vap_hisp.uss_16_dem_stu,vap_oth.uss_16_rep_cra,vap_oth.uss_16_dem_stu,vap_white.gov_18_rep_lit,vap_white.gov_18_dem_jor,vap_black.gov_18_rep_lit,vap_black.gov_18_dem_jor,vap_hisp.gov_18_rep_lit,vap_hisp.gov_18_dem_jor,vap_oth.gov_18_rep_lit,vap_oth.gov_18_dem_jor,vap_white.atg_18_rep_was,vap_white.atg_18_dem_bis,vap_black.atg_18_rep_was,vap_black.atg_18_dem_bis,vap_hisp.atg_18_rep_was,vap_hisp.atg_18_dem_bis,vap_oth.atg_18_rep_was,vap_oth.atg_18_dem_bis,vap_white.sos_18_rep_den,vap_white.sos_18_dem_hum,vap_black.sos_18_rep_den,vap_black.sos_18_dem_hum,vap_hisp.sos_18_rep_den,vap_hisp.sos_18_dem_hum,vap_oth.sos_18_rep_den,vap_oth.sos_18_dem_hum,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_ris,vap_white.uss_20_dem_jor,vap_black.uss_20_rep_ris,vap_black.uss_20_dem_jor,vap_hisp.uss_20_rep_ris,vap_hisp.uss_20_dem_jor,vap_oth.uss_20_rep_ris,vap_oth.uss_20_dem_jor
Ada County,16001011401,0.8499187643522635,0.1500812356477365,0.44038900465056846,0.5596109953494315,0.6366593962720026,0.36334060372799737,0.33801638733665484,0.6619836126633452,0.8478780071960863,0.15212199280391372,0.4653617658033293,0.5346382341966708,0.5380876669169208,0.46191233308307916,0.3273235479767208,0.6726764520232792,0.7779194815351836,0.2220805184648164,0.35821826882935115,0.6417817311706489,0.5014392681639208,0.4985607318360792,0.3464205259311646,0.6535794740688353,0.8305266375659004,0.16947336243409958,0.3980765266574072,0.6019234733425928,0.5857119260414878,0.41428807395851214,0.40370725457233864,0.5962927454276613,0.7871393479581102,0.21286065204188975,0.42143251692004086,0.5785674830799592,0.5342362095856635,0.46576379041433646,0.391619616511549,0.608380383488451,0.8007139280384862,0.19928607196151385,0.4524704751064623,0.5475295248935377,0.546687517323964,0.4533124826760359,0.31487115035310353,0.6851288496468965,0.7967396931690935,0.2032603068309065,0.43293660537260364,0.5670633946273964,0.5891241846156128,0.41087581538438717,0.40607040517725235,0.5939295948227477
Ada County,16001011402,0.7540122066440884,0.24598779335591153,0.4345612843768693,0.5654387156231306,0.611558375273379,0.388441624726621,0.3241775106015771,0.6758224893984228,0.7991340823989079,0.20086591760109207,0.4685308844520608,0.5314691155479392,0.5066927405878436,0.49330725941215636,0.3077366910392344,0.6922633089607656,0.7229098696793296,0.2770901303206704,0.3613348879783646,0.6386651120216353,0.48656624362939327,0.5134337563706067,0.3339396589828057,0.6660603410171942,0.7757477740797838,0.22425222592021626,0.4020714494823719,0.597928550517628,0.5561550660036951,0.44384493399630487,0.3846020362415967,0.6153979637584033,0.7312000329341565,0.26879996706584347,0.4143584410010077,0.5856415589989923,0.5033959689264116,0.4966040310735884,0.3754924095175112,0.6245075904824887,0.7360356226863188,0.26396437731368116,0.45576339374280034,0.5442366062571997,0.5340279806985608,0.4659720193014391,0.306698018570041,0.693301981429959,0.7442406562125711,0.25575934378742893,0.4264788357098315,0.5735211642901685,0.5578471310453177,0.44215286895468225,0.39191081997863514,0.6080891800213649
Ada County,16001011403,0.7338190187768127,0.26618098122318734,0.44025468644035115,0.5597453135596488,0.6084216643988347,0.39157833560116534,0.3265867080760657,0.6734132919239343,0.7936004500584265,0.2063995499415735,0.4612318359759739,0.538768164024026,0.5183111501359747,0.4816888498640253,0.32309769465922433,0.6769023053407757,0.7301006023062301,0.26989939769376997,0.3621571051717621,0.6378428948282379,0.49507664457561507,0.5049233554243849,0.34058890327656133,0.6594110967234387,0.7815343200524277,0.2184656799475723,0.39476811698766595,0.6052318830123341,0.5628064541870027,0.43719354581299724,0.39249617997059033,0.6075038200294096,0.7388577767863652,0.2611422232136348,0.42010929437092526,0.5798907056290747,0.492765769050408,0.5072342309495921,0.37916126140478834,0.6208387385952117,0.7446056803575708,0.25539431964242915,0.4443063739922171,0.5556936260077828,0.5275080386253682,0.4724919613746318,0.3070975628902979,0.6929024371097021,0.7506456555299352,0.2493543444700648,0.42727200375705865,0.5727279962429414,0.5605207608037214,0.4394792391962787,0.39034757196452824,0.6096524280354717
Ada County,16001011404,0.8471711349405263,0.15282886505947363,0.4412285754945342,0.5587714245054658,0.6370567562593825,0.36294324374061754,0.3367017060141073,0.6632982939858927,0.8573708420807242,0.1426291579192758,0.4694882108649637,0.5305117891350364,0.5242527507838814,0.4757472492161185,0.3109198213339406,0.6890801786660594,0.7788172832944051,0.22118271670559486,0.3645685125549105,0.6354314874450895,0.5012407757388319,0.49875922426116814,0.358923097479707,0.6410769025202929,0.8016307066906454,0.1983692933093546,0.4038285577126934,0.5961714422873067,0.572627992743474,0.427372007256526,0.39643642902552806,0.603563570974472,0.7994739924331152,0.2005260075668848,0.4217735498383581,0.578226450161642,0.5200062570055438,0.4799937429944562,0.38758774067011686,0.6124122593298832,0.8389620543215938,0.16103794567840618,0.45785065760528626,0.5421493423947138,0.5429508985700877,0.4570491014299123,0.3220171120481167,0.6779828879518832,0.8274109662144313,0.1725890337855687,0.42342546667694037,0.5765745333230596,0.5685619764481608,0.4314380235518393,0.41138429074896304,0.588615709251037
Ada County,16001011405,0.7897027500131814,0.21029724998681842,0.44194237339836984,0.5580576266016302,0.6291728651769772,0.3708271348230228,0.33801517202907483,0.6619848279709252,0.8052559246490774,0.19474407535092245,0.47590797018643305,0.524092029813567,0.517659051195763,0.482340948804237,0.3160107839182298,0.6839892160817702,0.744314870275419,0.2556851297245808,0.3603287222635147,0.6396712777364854,0.4947439111179518,0.5052560888820482,0.34149719001161033,0.6585028099883896,0.7910046933282605,0.20899530667173946,0.40688019501382167,0.5931198049861783,0.5710294172118549,0.4289705827881451,0.39607094222276196,0.603929057777238,0.7641020233496026,0.23589797665039716,0.4261470599115311,0.5738529400884689,0.5221415582317712,0.4778584417682288,0.387314537041767,0.612685462958233,0.7825542322712279,0.21744576772877214,0.4596633441924812,0.5403366558075188,0.5399703936446956,0.4600296063553045,0.3317039408793678,0.6682960591206323,0.778270012626941,0.22172998737305905,0.4238066685862789,0.5761933314137211,0.5588383076853979,0.44116169231460217,0.40390112561841435,0.5960988743815857
Ada County,16001011406,0.7960725803257654,0.20392741967423453,0.44188321565905486,0.5581167843409451,0.6185976536263769,0.3814023463736231,0.3338499271323293,0.6661500728676707,0.8455844608297015,0.1544155391702985,0.4680214440788611,0.5319785559211389,0.5255739849703387,0.4744260150296613,0.31821817859739643,0.6817818214026036,0.8007735434111634,0.19922645658883667,0.36143643675512344,0.6385635632448765,0.49837173454876205,0.501628265451238,0.35479024901604933,0.6452097509839507,0.8286110262358637,0.17138897376413637,0.4019465652487358,0.5980534347512642,0.5722221547240821,0.4277778452759179,0.4055691764674695,0.5944308235325305,0.8000431898959074,0.19995681010409264,0.4263774498027247,0.5736225501972753,0.5102575598157014,0.4897424401842986,0.38536229126762,0.61463770873238,0.7978341176258144,0.2021658823741857,0.4532609948747248,0.5467390051252752,0.5513865008924608,0.4486134991075392,0.3195339313437354,0.6804660686562646,0.8167108433354726,0.1832891566645274,0.4276100929483067,0.5723899070516933,0.5791619675815358,0.4208380324184642,0.4038269617147786,0.5961730382852214
Ada County,16001011407,0.6994750848803865,0.30052491511961354,0.43756615501434765,0.5624338449856523,0.6102581303575036,0.3897418696424964,0.3224677567942017,0.6775322432057983,0.7290427949891733,0.27095720501082665,0.46824729447010416,0.5317527055298958,0.5160853394130182,0.4839146605869819,0.30558013277076246,0.6944198672292375,0.6475254167630893,0.3524745832369108,0.3602892617636051,0.6397107382363949,0.485851603998495,0.514148396001505,0.32656332841822994,0.67343667158177,0.7030485520495362,0.29695144795046374,0.40060379953566116,0.5993962004643388,0.5560504618630532,0.44394953813694676,0.3844031922976948,0.6155968077023052,0.6562436323251185,0.3437563676748815,0.4226370361664097,0.5773629638335903,0.5012144267679871,0.49878557323201284,0.3696654873130931,0.6303345126869069,0.6484029404703612,0.3515970595296388,0.45002150022753584,0.5499784997724642,0.5175789193193172,0.48242108068068273,0.30101322184337764,0.6989867781566224,0.6467797178207326,0.3532202821792674,0.43118458392271586,0.5688154160772841,0.5585010981308297,0.4414989018691703,0.3877609263786407,0.6122390736213593
Ada County,16001011408,0.6227038363462731,0.37729616365372687,0.4462324048374372,0.5537675951625626,0.6067546294318191,0.3932453705681808,0.3199154482852761,0.6800845517147239,0.6883414887643751,0.31165851123562494,0.46969274393617033,0.5303072560638297,0.5039043395075423,0.4960956604924577,0.2991365419169999,0.7008634580829999,0.6011144519762495,0.3988855480237505,0.35716030190523224,0.6428396980947678,0.4713478700111821,0.5286521299888178,0.3266480786169488,0.673351921383051,0.6679625500737357,0.33203744992626427,0.4047820168247484,0.5952179831752514,0.5531196046123176,0.4468803953876824,0.3709762553246768,0.629023744675323,0.6023699511365124,0.39763004886348763,0.42219066492513957,0.5778093350748604,0.4940677029569531,0.5059322970430469,0.3762405954437023,0.6237594045562974,0.5751504640686952,0.42484953593130487,0.4514651290548817,0.5485348709451181,0.5252724793108207,0.4747275206891793,0.30702366878469134,0.6929763312153087,0.6035245115859235,0.3964754884140766,0.4238759786845924,0.5761240213154074,0.5549245516405172,0.4450754483594827,0.3774386072449219,0.6225613927550782
Ada County,16001011409,0.6628537144705339,0.33714628552946635,0.4404335565570889,0.5595664434429112,0.6073656474600897,0.39263435253991036,0.32209147281342887,0.6779085271865711,0.7164721005903382,0.283527899409662,0.4633364915045008,0.5366635084954992,0.5139045303054752,0.4860954696945247,0.3132922282603132,0.6867077717396868,0.6450701957798552,0.35492980422014503,0.36159372499108444,0.6384062750089156,0.48417170441924945,0.5158282955807505,0.32848122279792585,0.6715187772020742,0.6859409233838777,0.3140590766161225,0.4041794188241872,0.5958205811758128,0.5504110857483917,0.4495889142516083,0.3838472469823193,0.6161527530176807,0.6566572962665626,0.3433427037334376,0.4202726875946612,0.5797273124053388,0.4991147305213966,0.5008852694786033,0.36403132544816685,0.6359686745518331,0.6164373183452223,0.3835626816547779,0.4479401930517482,0.5520598069482517,0.5299875945035102,0.47001240549648976,0.30234211602164085,0.6976578839783592,0.6339398685687962,0.36606013143120397,0.4300730883971815,0.5699269116028185,0.5521219299830746,0.4478780700169254,0.39732358281295516,0.6026764171870449
Ada County,16001011410,0.6011427149509458,0.39885728504905416,0.4485366866189637,0.5514633133810363,0.602536585226827,0.39746341477317304,0.3179763664636922,0.6820236335363078,0.6346116408290647,0.3653883591709352,0.4688778127514225,0.5311221872485775,0.5006799177619292,0.4993200822380708,0.2988704179438219,0.7011295820561781,0.5150564357305885,0.4849435642694116,0.3614609623437622,0.6385390376562379,0.4893214736688538,0.5106785263311462,0.3172792611673264,0.6827207388326736,0.5582206650609096,0.44177933493909033,0.40078224020377845,0.5992177597962215,0.5474291304464122,0.45257086955358783,0.373029900821919,0.626970099178081,0.5231208373331249,0.47687916266687513,0.4228961478114927,0.5771038521885073,0.4888557989962525,0.5111442010037476,0.3660992275858899,0.63390077241411,0.5781361262089858,0.42186387379101414,0.44659180730088505,0.553408192699115,0.5160377793879306,0.4839622206120694,0.2917730955264496,0.7082269044735504,0.5742735566471612,0.4257264433528389,0.4237204913629452,0.5762795086370548,0.5583792371037979,0.44162076289620206,0.39089926482031573,0.6091007351796842
