county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_16_rep_rub,vap_white.uss_16_dem_mur,vap_black.uss_16_rep_rub,vap_black.uss_16_dem_mur,vap_hisp.uss_16_rep_rub,vap_hisp.uss_16_dem_mur,vap_oth.uss_16_rep_rub,vap_oth.uss_16_dem_mur,vap_white.uss_18_rep_sco,vap_white.uss_18_dem_nel,vap_black.uss_18_rep_sco,vap_black.uss_18_dem_nel,vap_hisp.uss_18_rep_sco,vap_hisp.uss_18_dem_nel,vap_oth.uss_18_rep_sco,vap_oth.uss_18_dem_nel,vap_white.gov_18_rep_des,vap_white.gov_18_dem_gil,vap_black.gov_18_rep_des,vap_black.gov_18_dem_gil,vap_hisp.gov_18_rep_des,vap_hisp.gov_18_dem_gil,vap_oth.gov_18_rep_des,vap_oth.gov_18_dem_gil,vap_white.atg_18_rep_moo,vap_white.atg_18_dem_sha,vap_black.atg_18_rep_moo,vap_black.atg_18_dem_sha,vap_hisp.atg_18_rep_moo,vap_hisp.atg_18_dem_sha,vap_oth.atg_18_rep_moo,vap_oth.atg_18_dem_sha,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid
Alachua County,12001000001,0.6777929335863688,0.3222070664136312,0.1322709867691642,0.8677290132308358,0.20252268265664194,0.797477317343358,0.2597113531906598,0.7402886468093401,0.66111290734775,0.33888709265225,0.12149060099522077,0.8785093990047792,0.24665224126384885,0.7533477587361511,0.3195139366994363,0.6804860633005637,0.5867962021346718,0.4132037978653282,0.1276559157209575,0.8723440842790425,0.1903513391931003,0.8096486608068997,0.2095559456345822,0.7904440543654178,0.6260918192253332,0.37390818077466687,0.15240640192304028,0.8475935980769598,0.20672763989641188,0.7932723601035881,0.1718978136087958,0.8281021863912041,0.6570347739931711,0.3429652260068289,0.15227352892676407,0.847726471073236,0.2201398202252383,0.7798601797747617,0.21206625826861458,0.7879337417313854,0.6629822242558534,0.33701777574414654,0.12022031266097892,0.8797796873390211,0.22485353897663576,0.7751464610233643,0.2271046397229022,0.7728953602770978
Alachua County,12001000002,0.6920134298655892,0.3079865701344108,0.13619388264241644,0.8638061173575835,0.19490302624720177,0.8050969737527982,0.2624413186125757,0.7375586813874243,0.738079516143698,0.261920483856302,0.12335988830559487,0.8766401116944051,0.24449297993959926,0.7555070200604007,0.3304730384797401,0.6695269615202599,0.663203828663878,0.3367961713361221,0.14001728929141177,0.8599827107085882,0.19546294022697155,0.8045370597730285,0.22213000692080412,0.7778699930791959,0.6867735330755246,0.3132264669244754,0.14564135540235423,0.8543586445976458,0.20140307261891424,0.7985969273810858,0.17997605786038273,0.8200239421396173,0.7233408364610939,0.276659163538906,0.14568157835952306,0.8543184216404769,0.23929476993450421,0.7607052300654957,0.22948862561429986,0.7705113743857002,0.6885963959561486,0.3114036040438514,0.12782863048227552,0.8721713695177244,0.2190472216593601,0.7809527783406399,0.2161318156884037,0.7838681843115963
Alachua County,12001000003,0.5446301296333758,0.4553698703666243,0.12224265135164925,0.8777573486483508,0.19486390277773305,0.805136097222267,0.2539976941645556,0.7460023058354445,0.5610437690945321,0.4389562309054678,0.0504698561431251,0.9495301438568748,0.23080454182872776,0.7691954581712722,0.3137500994651892,0.6862499005348108,0.508798146705827,0.49120185329417293,0.12422612216393182,0.8757738778360682,0.19477153097162805,0.805228469028372,0.21016587619370472,0.7898341238062953,0.5322526833142202,0.4677473166857799,0.13770361972928163,0.8622963802707184,0.2003587000965189,0.7996412999034811,0.16901585434882008,0.83098414565118,0.5712913721279115,0.4287086278720886,0.1302473698170451,0.8697526301829549,0.21928876199139297,0.780711238008607,0.2094511749523593,0.7905488250476407,0.5482023525790235,0.45179764742097656,0.10843625584817745,0.8915637441518225,0.21388996333504795,0.786110036664952,0.21382288115937825,0.7861771188406217
Alachua County,12001000004,0.702301074291912,0.2976989257080879,0.13858756631881117,0.8614124336811888,0.1941525728240506,0.8058474271759494,0.26028323176205487,0.7397167682379451,0.7023648886272799,0.29763511137272014,0.1317139084408027,0.8682860915591973,0.23921553446047672,0.7607844655395233,0.31970158435698276,0.6802984156430172,0.6541154738327065,0.3458845261672935,0.14218220594515718,0.8578177940548428,0.19844626520185635,0.8015537347981436,0.21485557206833558,0.7851444279316644,0.6883701139467835,0.3116298860532165,0.15126431753195146,0.8487356824680485,0.20228953142119144,0.7977104685788086,0.17522034743539353,0.8247796525646065,0.7197803108929168,0.2802196891070832,0.13847396387980182,0.8615260361201982,0.22833693016035683,0.7716630698396432,0.22084734767036845,0.7791526523296316,0.6930057222975661,0.30699427770243387,0.11222671952810226,0.8877732804718977,0.21933200543487671,0.7806679945651233,0.21562123023649488,0.7843787697635051
Alachua County,12001000005,0.7674109457422507,0.23258905425774917,0.1256537607868804,0.8743462392131196,0.19647126812591773,0.8035287318740822,0.26646781819757964,0.7335321818024204,0.720224201289638,0.27977579871036196,0.11029412554342995,0.8897058744565701,0.2372312537951486,0.7627687462048514,0.3224422398875772,0.6775577601124227,0.6850099681210342,0.31499003187896574,0.12192903852731543,0.8780709614726846,0.18725285765413144,0.8127471423458685,0.216588174239585,0.783411825760415,0.7659685335606345,0.23403146643936534,0.13492566740601833,0.8650743325939817,0.19961205511572758,0.8003879448842725,0.18502789956602683,0.8149721004339732,0.780089412743472,0.21991058725652793,0.1358586559377577,0.8641413440622423,0.22241013531803364,0.7775898646819663,0.21088599714992126,0.7891140028500787,0.7795208356326455,0.22047916436735437,0.10708124675931957,0.8929187532406804,0.21801156584136314,0.7819884341586368,0.22099242697565416,0.7790075730243459
Alachua County,12001000006,0.7556265039504203,0.24437349604957975,0.12720575956072058,0.8727942404392794,0.18490660781503876,0.8150933921849612,0.2647767022974536,0.7352232977025464,0.7346552366960148,0.26534476330398515,0.13347786747842993,0.8665221325215701,0.23955022071894644,0.7604497792810536,0.3186678367653794,0.6813321632346205,0.6867738255536471,0.3132261744463529,0.13919361408673198,0.8608063859132681,0.19364314425231352,0.8063568557476865,0.20849353163256135,0.7915064683674387,0.7235868044370454,0.2764131955629547,0.14353102767257755,0.8564689723274225,0.20979379306997012,0.7902062069300299,0.16963571153554793,0.8303642884644521,0.7388886411801712,0.26111135881982883,0.11238573383802719,0.8876142661619728,0.22847447808068594,0.7715255219193141,0.2204586518051706,0.7795413481948295,0.7364830261471251,0.26351697385287487,0.11403484113085871,0.8859651588691413,0.22044289495512365,0.7795571050448764,0.2219752609879822,0.7780247390120177
Alachua County,12001000007,0.7171460689988071,0.282853931001193,0.14222079958844,0.85777920041156,0.2152222527973721,0.7847777472026279,0.26244371362550084,0.7375562863744992,0.7197461101390635,0.2802538898609364,0.11958383569357757,0.8804161643064224,0.25055060690365966,0.7494493930963404,0.3231663350985929,0.6768336649014071,0.6539587229095943,0.34604127709040566,0.15683283855520871,0.8431671614447913,0.20009991352982862,0.7999000864701714,0.22637613073738067,0.7736238692626193,0.6702889974015952,0.3297110025984048,0.16705099687378758,0.8329490031262125,0.21856623504998313,0.7814337649500169,0.1824921376353163,0.8175078623646836,0.7213768981631367,0.2786231018368634,0.1501310631526408,0.8498689368473592,0.24304022795058772,0.7569597720494123,0.22932126528167693,0.770678734718323,0.7085246138125334,0.29147538618746666,0.14118266133825316,0.8588173386617468,0.2226763310272531,0.777323668972747,0.22997691501685888,0.7700230849831411
Alachua County,12001000008,0.7656860831973742,0.23431391680262584,0.1325217540209122,0.8674782459790878,0.20499473717920697,0.795005262820793,0.26058383839688015,0.7394161616031196,0.7706728872046043,0.22932711279539572,0.123862658859731,0.8761373411402688,0.2682556680730585,0.7317443319269415,0.3354488045209323,0.6645511954790677,0.7067354776166225,0.2932645223833775,0.15272489778453277,0.8472751022154672,0.21182012647126594,0.7881798735287341,0.22595512788468447,0.7740448721153153,0.7426697843292425,0.25733021567075753,0.15141869888042758,0.8485813011195722,0.2185354039335795,0.7814645960664205,0.16968373339296877,0.830316266607031,0.7765965137693808,0.22340348623061926,0.14159865924726744,0.8584013407527326,0.24615666774606143,0.7538433322539386,0.23177192010156764,0.7682280798984323,0.7406206821775476,0.2593793178224524,0.11798775284616404,0.882012247153836,0.24081282000890664,0.7591871799910934,0.2264021108466561,0.7735978891533437
Alachua County,12001000009,0.7089550431859762,0.29104495681402404,0.12200471502170863,0.8779952849782914,0.2014738228286189,0.7985261771713811,0.2606607418952308,0.7393392581047692,0.7587423806150767,0.24125761938492352,0.11715665387546612,0.8828433461245339,0.2454542908525038,0.7545457091474962,0.3184574145851962,0.6815425854148038,0.6274708683857311,0.37252913161426915,0.12475685141664478,0.8752431485833553,0.1909768028052646,0.8090231971947354,0.21180073241075714,0.7881992675892429,0.657476830669506,0.34252316933049426,0.1454177058249196,0.8545822941750804,0.217279091521577,0.782720908478423,0.18694294767632944,0.8130570523236705,0.7123698086582679,0.28763019134173223,0.12978576545524884,0.8702142345447512,0.24602602764187873,0.7539739723581212,0.22141993432419463,0.7785800656758054,0.6054191151359228,0.39458088486407744,0.10583549965529376,0.8941645003447062,0.20845730860071077,0.7915426913992892,0.1976837368398106,0.8023162631601893
Alachua County,12001000010,0.6740037235375613,0.3259962764624386,0.14729929846971257,0.8527007015302874,0.1985899152507333,0.8014100847492667,0.24913239633950396,0.750867603660496,0.6889083960225044,0.3110916039774955,0.13480950614124695,0.865190493858753,0.25221396673522456,0.7477860332647754,0.32349167677817514,0.6765083232218249,0.6251736475159778,0.3748263524840222,0.14716157637570726,0.8528384236242927,0.2035987734416692,0.7964012265583308,0.22606517531615783,0.7739348246838422,0.6551486275982704,0.34485137240172953,0.15717915864741347,0.8428208413525865,0.20564676427341133,0.7943532357265887,0.17093091346160177,0.8290690865383982,0.7141874867506878,0.28581251324931223,0.13548692140580199,0.864513078594198,0.23245379122534704,0.767546208774653,0.20945711994138627,0.7905428800586137,0.6784224256560274,0.3215775743439726,0.13864681705354884,0.8613531829464511,0.22954809961269543,0.7704519003873046,0.22519920299822577,0.7748007970017742
