county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_white.uss_16_dem_sch,vap_white.uss_16_rep_lon,vap_black.uss_16_dem_sch,vap_black.uss_16_rep_lon,vap_hisp.uss_16_dem_sch,vap_hisp.uss_16_rep_lon,vap_asian.uss_16_dem_sch,vap_asian.uss_16_rep_lon,vap_aian.uss_16_dem_sch,vap_aian.uss_16_rep_lon,vap_oth_b.uss_16_dem_sch,vap_oth_b.uss_16_rep_lon,vap_white.uss_18_dem_gil,vap_white.uss_18_rep_far,vap_black.uss_18_dem_gil,vap_black.uss_18_rep_far,vap_hisp.uss_18_dem_gil,vap_hisp.uss_18_rep_far,vap_asian.uss_18_dem_gil,vap_asian.uss_18_rep_far,vap_aian.uss_18_dem_gil,vap_aian.uss_18_rep_far,vap_oth_b.uss_18_dem_gil,vap_oth_b.uss_18_rep_far,vap_white.gov_18_dem_cuo,vap_white.gov_18_rep_mol,vap_black.gov_18_dem_cuo,vap_black.gov_18_rep_mol,vap_hisp.gov_18_dem_cuo,vap_hisp.gov_18_rep_mol,vap_asian.gov_18_dem_cuo,vap_asian.gov_18_rep_mol,vap_aian.gov_18_dem_cuo,vap_aian.gov_18_rep_mol,vap_oth_b.gov_18_dem_cuo,vap_oth_b.gov_18_rep_mol,vap_white.atg_18_dem_jam,vap_white.atg_18_rep_wof,vap_black.atg_18_dem_jam,vap_black.atg_18_rep_wof,vap_hisp.atg_18_dem_jam,vap_hisp.atg_18_rep_wof,vap_asian.atg_18_dem_jam,vap_asian.atg_18_rep_wof,vap_aian.atg_18_dem_jam,vap_aian.atg_18_rep_wof,vap_oth_b.atg_18_dem_jam,vap_oth_b.atg_18_rep_wof,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru
Albany County,36001000001,0.5071376833140993,0.49286231668590075,0.9449961696759442,0.05500383032405575,0.92814712882439665,0.07185287117560335,0.897409410579319,0.10259058942068099,0.578344746093337,0.421655253906663,0.8824246496041928,0.11757535039580728,0.6382382936568781,0.36176170634312194,0.9521820464999694,0.04781795350003063,0.9337517038833252,0.06624829611667485,0.8772983846252566,0.1227016153747434,0.5575754508280463,0.4424245491719537,0.8825120628414883,0.11748793715851168,0.7489390881743179,0.25106091182568213,0.9595913246903816,0.04040867530961839,0.9392624076030709,0.06073759239692915,0.888975047396964,0.11102495260303596,0.6313659094784608,0.3686340905215392,0.893254951221446,0.1067450487785539,0.6722460259883979,0.32775397401160206,0.9590022590506075,0.040997740949392444,0.9270867732165686,0.07291322678343139,0.8925897109835992,0.10741028901640086,0.5787722725911385,0.42122772740886155,0.8790449052072026,0.12095509479279744,0.7525369135138308,0.24746308648616927,0.960445707926385,0.039554292073615,0.9321431052479291,0.06785689475207096,0.9163174161392739,0.08368258386072618,0.5774800789011068,0.42251992109889325,0.8778785033262831,0.12212149667371688,0.6440861138557626,0.3559138861442373,0.955413848908469,0.04458615109153098,0.9299627018076378,0.07003729819236217,0.8845144695921278,0.11548553040787225,0.5389063316449797,0.46109366835502025,0.8402284731209643,0.15977152687903576
Albany County,36001000002,0.6408803588788496,0.35911964112115036,0.9607850158550896,0.03921498414491042,0.9382358690497332,0.0617641309502668,0.9051204535015082,0.0948795464984918,0.5777448109640544,0.4222551890359456,0.892895839893524,0.10710416010647601,0.7830379307171303,0.21696206928286968,0.9738096466364474,0.026190353363552608,0.9455150878828441,0.054484912117155934,0.8939879959207662,0.10601200407923385,0.5596798261264081,0.44032017387359185,0.8919399726716084,0.10806002732839154,0.7751610113408063,0.22483898865919372,0.9777769873345379,0.02222301266546216,0.9382726363283321,0.06172736367166791,0.8852593812655338,0.11474061873446618,0.6230253248534753,0.3769746751465247,0.8995493742911758,0.1004506257088242,0.6012254653708229,0.3987745346291771,0.9670070727189273,0.03299292728107269,0.921506993505611,0.07849300649438896,0.8841319092010229,0.11586809079897704,0.566600371845743,0.433399628154257,0.8754650606033229,0.12453493939667719,0.7230191409989974,0.27698085900100256,0.9735644075665145,0.026435592433485443,0.9338335407968285,0.06616645920317159,0.908946012675877,0.09105398732412291,0.5769185436439902,0.4230814563560098,0.8835904898263512,0.11640951017364873,0.763826400638835,0.236173599361165,0.9745994666590095,0.025400533340990485,0.9462120498708875,0.05378795012911253,0.8902907305601819,0.10970926943981808,0.5359803903916552,0.4640196096083447,0.8488881460478026,0.15111185395219734
Albany County,36001000003,0.5960533542553832,0.4039466457446168,0.9607702917945172,0.03922970820548275,0.9365329528207716,0.06346704717922838,0.902787957494476,0.0972120425055239,0.5744471291367242,0.42555287086327576,0.8878204102767747,0.11217958972322532,0.7541108326999467,0.24588916730005325,0.9761558110835937,0.023844188916406286,0.9508810853954095,0.049118914604590516,0.8859161426620094,0.11408385733799065,0.5594839823374497,0.44051601766255033,0.8959647568359363,0.10403524316406361,0.6630127891594736,0.3369872108405264,0.9633554422302691,0.03664455776973087,0.938359517950616,0.06164048204938403,0.8856540340257272,0.11434596597427281,0.6259096737470963,0.3740903262529037,0.8880093754814904,0.11199062451850966,0.5265302237290916,0.47346977627090836,0.969552148812161,0.030447851187838992,0.924262099071194,0.07573790092880597,0.8917567529709958,0.10824324702900422,0.5746979709099616,0.4253020290900385,0.8809743456056544,0.11902565439434565,0.6239451527827271,0.37605484721727284,0.9628634219692918,0.03713657803070825,0.9302945778810784,0.06970542211892139,0.9103404197853558,0.08965958021464418,0.568892874999826,0.431107125000174,0.8726105686952351,0.12738943130476482,0.6786622123258946,0.3213377876741053,0.9683052547117145,0.031694745288285524,0.9534462838790759,0.046553716120923794,0.889247412018136,0.11075258798186403,0.530952478796918,0.469047521203082,0.8386716579705061,0.16132834202949392
Albany County,36001000004,0.6776094847510662,0.3223905152489338,0.9747707030689118,0.025229296931088233,0.954708908678721,0.04529109132127895,0.9090734521202906,0.0909265478797095,0.5869308779614677,0.41306912203853224,0.9055588241569227,0.09444117584307736,0.7861719208216761,0.21382807917832386,0.9806480696491825,0.019351930350817517,0.9675030195732037,0.03249698042679628,0.9065563002321516,0.09344369976784839,0.5575259872391403,0.44247401276085974,0.9225819880313845,0.0774180119686155,0.7933924526529208,0.20660754734707917,0.9832782749245425,0.016721725075457522,0.9679554387870298,0.03204456121297015,0.9009479205972313,0.09905207940276867,0.626748044445416,0.37325195555458396,0.939217855255418,0.06078214474458196,0.6585935732492733,0.3414064267507267,0.9783597199681077,0.021640280031892355,0.9477501786994939,0.05224982130050614,0.8965150949691645,0.10348490503083549,0.5760533926879186,0.4239466073120815,0.906801025998914,0.09319897400108605,0.8010913876436669,0.19890861235633311,0.9834562867485721,0.016543713251427897,0.9645647678276961,0.03543523217230396,0.9347609043177162,0.06523909568228384,0.5802470317744846,0.4197529682255155,0.9252728217969698,0.07472717820303017,0.6693690861627161,0.3306309138372839,0.9718768267438276,0.028123173256172414,0.9560919057754986,0.0439080942245014,0.8891698001175158,0.11083019988248426,0.5386361519924039,0.4613638480075961,0.8613688519669693,0.13863114803303062
Albany County,36001000005,0.6232890767130951,0.3767109232869049,0.9501079677117519,0.04989203228824808,0.9418193298699568,0.05818067013004329,0.9285369528051377,0.07146304719486204,0.582516400400396,0.41748359959960407,0.909636241015369,0.090363758984631,0.7401463999926385,0.25985360000736146,0.9622251424517703,0.03777485754822969,0.9538345067102911,0.04616549328970882,0.9133122904737951,0.08668770952620489,0.5661744906167817,0.4338255093832183,0.9130298745334927,0.08697012546650734,0.6663956897142689,0.3336043102857311,0.9490393197714798,0.05096068022852021,0.9382407723376831,0.061759227662316875,0.9037037786055067,0.09629622139449336,0.6222026047505758,0.3777973952494243,0.9028411117144384,0.09715888828556142,0.5183927169796019,0.4816072830203981,0.9553822280867026,0.04461777191329738,0.9238357405364873,0.0761642594635127,0.8969174197732129,0.10308258022678686,0.5695882154543231,0.43041178454567686,0.9040769072411344,0.09592309275886539,0.6214377976405818,0.3785622023594182,0.9547476231339106,0.04525237686608946,0.9321746828020173,0.06782531719798271,0.9223763190658547,0.0776236809341451,0.5722950294161835,0.4277049705838165,0.8866957718264376,0.1133042281735625,0.6480913760350719,0.35190862396492806,0.9517018464939643,0.04829815350603571,0.9593567234164729,0.04064327658352705,0.9082337282334746,0.09176627176652545,0.531775731301707,0.46822426869829303,0.8775792720606367,0.12242072793936332
Albany County,36001000006,0.75653669397567,0.24346330602433014,0.9828217846264764,0.017178215373523577,0.9626081610953676,0.037391838904632414,0.930578781174234,0.069421218825766,0.5817934408432168,0.4182065591567832,0.911255993839581,0.08874400616041898,0.863546516632875,0.13645348336712523,0.9928422546853922,0.007157745314607796,0.9795386507835461,0.020461349216453956,0.9358504015579114,0.06414959844208852,0.5625941074212242,0.43740589257877577,0.9271998620950448,0.0728001379049552,0.7975234341943263,0.202476565805674,0.9885811322838705,0.011418867716129544,0.9655103783761051,0.03448962162389493,0.915219068715386,0.08478093128461392,0.6246736756911645,0.37532632430883556,0.9204291439661858,0.07957085603381422,0.7629191097924414,0.23708089020755885,0.9888401230821786,0.011159876917821365,0.9574266613728839,0.04257333862711614,0.9297427078691523,0.07025729213084779,0.5819931716714059,0.4180068283285941,0.9176577700944621,0.08234222990553781,0.8191624354418016,0.18083756455819863,0.9900765506086538,0.009923449391346196,0.9677640720621156,0.03223592793788446,0.943379050667123,0.05662094933287698,0.5814820118204592,0.41851798817954083,0.9148805980321654,0.0851194019678346,0.6839989269782885,0.3160010730217117,0.9777812037971745,0.022218796202825495,0.9525676829515665,0.04743231704843356,0.8987539043966816,0.10124609560331843,0.5381846019896315,0.4618153980103685,0.845513484086946,0.1544865159130539
Albany County,36001000007,0.7153944213102256,0.28460557868977443,0.9841709601476545,0.015829039852345506,0.9507327309262998,0.0492672690737002,0.9159384428396914,0.08406155716030865,0.5824253348906824,0.4175746651093176,0.8995955047340465,0.10040449526595352,0.8151820129603268,0.18481798703967323,0.9901251296712043,0.009874870328795728,0.9633228798342239,0.036677120165776025,0.8995870119817448,0.10041298801825513,0.5573784174457314,0.4426215825542687,0.9140719360849444,0.0859280639150556,0.6852917772568006,0.31470822274319943,0.9816011748783566,0.018398825121643425,0.9410091707716078,0.05899082922839213,0.8834276709956744,0.11657232900432551,0.6231344888753808,0.3768655111246192,0.8936814582598928,0.1063185417401072,0.5530321859250149,0.4469678140749851,0.9776429140062949,0.022357085993705096,0.9249597857253802,0.07504021427461982,0.8938346670949763,0.10616533290502372,0.5749722580686755,0.42502774193132453,0.8867409395819404,0.11325906041805957,0.7178957973873161,0.2821042026126838,0.9853758649417125,0.014624135058287538,0.9430418782863376,0.05695812171366243,0.9127658357110754,0.08723416428892462,0.5699223692551284,0.43007763074487165,0.8898680341808416,0.11013196581915842,0.6506534366124963,0.3493465633875037,0.9781884984946431,0.021811501505356906,0.9431752109648857,0.05682478903511434,0.8866924372378048,0.11330756276219525,0.5316128445391369,0.46838715546086307,0.8423054462639908,0.15769455373600919
Albany County,36001000008,0.5496519841350744,0.45034801586492557,0.964785578562755,0.03521442143724496,0.9429796611693575,0.05702033883064249,0.8963328476035664,0.10366715239643363,0.5757703488528974,0.4242296511471027,0.8767258530938634,0.1232741469061366,0.7070728058391517,0.2929271941608483,0.9723916615943933,0.027608338405606704,0.9546755301132394,0.04532446988676066,0.8911712175239604,0.10882878247603954,0.5593367974008396,0.44066320259916036,0.8945545097023089,0.10544549029769112,0.6922553831624235,0.3077446168375765,0.9772140504247239,0.022785949575276153,0.9649755338929894,0.03502446610701065,0.8903402160910308,0.10965978390896929,0.6286745727952655,0.3713254272047345,0.9177170389557442,0.08228296104425563,0.5912677975575191,0.4087322024424809,0.9804783883786594,0.019521611621340577,0.9554525352845368,0.044547464715463225,0.8939836375720227,0.10601636242797732,0.580737042083726,0.419262957916274,0.9047058241346372,0.09529417586536257,0.6770271374295699,0.32297286257043006,0.9808080985488469,0.019191901451153126,0.9645411273518851,0.03545887264811489,0.9096917237572172,0.09030827624278277,0.5746896028832714,0.4253103971167286,0.902942696666493,0.09705730333350687,0.5770590641096361,0.4229409358903639,0.9663390563683469,0.03366094363165303,0.9386079995730909,0.06139200042690905,0.8879392514514518,0.11206074854854818,0.5310303258391499,0.4689696741608501,0.8260289021587625,0.17397109784123732
Albany County,36001000009,0.6324995015494014,0.3675004984505986,0.9729450526826832,0.02705494731731688,0.9560823148820435,0.04391768511795641,0.9150837577218661,0.0849162422781339,0.5802295504908149,0.41977044950918524,0.9074822050538077,0.09251779494619225,0.7889951755764472,0.2110048244235528,0.9832133796721348,0.01678662032786511,0.9836431527787944,0.016356847221205558,0.92270119949183,0.07729880050816991,0.5605566821259871,0.4394433178740131,0.9292365464500624,0.07076345354993759,0.6851939756256173,0.3148060243743827,0.9744047947864589,0.02559520521354104,0.9546964713482441,0.045303528651755895,0.8896196500253173,0.11038034997468277,0.6317145519583903,0.3682854480416099,0.9076378650625533,0.09236213493744673,0.5585512463523212,0.4414487536476787,0.9725309877574042,0.027469012242595753,0.9438372875694695,0.056162712430530524,0.9094885051844832,0.09051149481551682,0.5721935567444874,0.4278064432555129,0.9025735147934038,0.09742648520659626,0.5849025471503906,0.4150974528496094,0.967491417107411,0.032508582892589004,0.9384174363058462,0.061582563694153845,0.9054012752747574,0.09459872472524253,0.579354418018465,0.4206455819815353,0.875073264148343,0.12492673585165699,0.6382221882132821,0.3617778117867178,0.9735042537063568,0.026495746293643176,0.9565991096609455,0.04340089033905451,0.8958068867478953,0.10419311325210465,0.5306382840485082,0.46936171595149206,0.8577877062061281,0.1422122937938719
Albany County,36001000010,0.5224017472156798,0.47759825278432017,0.9532852118941263,0.046714788105873664,0.9252417095684352,0.07475829043156482,0.899697372689198,0.10030262731080195,0.5637459953463633,0.43625400465363673,0.8764107711846414,0.1235892288153586,0.6739740083954469,0.3260259916045531,0.9340602027701848,0.06593979722981527,0.9298009640154489,0.07019903598455116,0.8851196109593775,0.11488038904062248,0.530640672707989,0.46935932729201096,0.869907229466824,0.13009277053317597,0.6827732184393748,0.3172267815606252,0.9849982724894467,0.015001727510553252,0.9382147100920336,0.0617852899079664,0.8784800592625416,0.12151994073745846,0.6522793506169184,0.34772064938308156,0.9022462716003093,0.0977537283996907,0.5643844946727574,0.4356155053272426,0.9859057953942093,0.014094204605790655,0.9270985254788976,0.07290147452110245,0.8800861085262403,0.11991389147375975,0.6011666636734523,0.3988333363265477,0.9058241095773243,0.09417589042267573,0.6484128255787153,0.3515871744212848,0.9843451949933284,0.015654805006671626,0.9335056975983559,0.06649430240164408,0.902127334837054,0.097872665162946,0.6013429547964847,0.3986570452035153,0.8856837406652716,0.11431625933472848,0.5808504701636475,0.4191495298363525,0.9690711680600598,0.030928831939940206,0.9215312926499802,0.07846870735001978,0.8840237456362309,0.11597625436376914,0.5210605923495646,0.4789394076504354,0.8259097780103678,0.17409022198963217
