county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_white.uss_16_dem_mur,vap_white.uss_16_rep_van,vap_black.uss_16_dem_mur,vap_black.uss_16_rep_van,vap_hisp.uss_16_dem_mur,vap_hisp.uss_16_rep_van,vap_oth.uss_16_dem_mur,vap_oth.uss_16_rep_van,vap_white.gov_16_dem_ins,vap_white.gov_16_rep_bry,vap_black.gov_16_dem_ins,vap_black.gov_16_rep_bry,vap_hisp.gov_16_dem_ins,vap_hisp.gov_16_rep_bry,vap_oth.gov_16_dem_ins,vap_oth.gov_16_rep_bry,vap_white.atg_16_dem_fer,vap_white.atg_16_rep_tru,vap_black.atg_16_dem_fer,vap_black.atg_16_rep_tru,vap_hisp.atg_16_dem_fer,vap_hisp.atg_16_rep_tru,vap_oth.atg_16_dem_fer,vap_oth.atg_16_rep_tru,vap_white.sos_16_dem_pod,vap_white.sos_16_rep_wym,vap_black.sos_16_dem_pod,vap_black.sos_16_rep_wym,vap_hisp.sos_16_dem_pod,vap_hisp.sos_16_rep_wym,vap_oth.sos_16_dem_pod,vap_oth.sos_16_rep_wym,vap_white.uss_18_dem_can,vap_white.uss_18_rep_hut,vap_black.uss_18_dem_can,vap_black.uss_18_rep_hut,vap_hisp.uss_18_dem_can,vap_hisp.uss_18_rep_hut,vap_oth.uss_18_dem_can,vap_oth.uss_18_rep_hut,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_white.gov_20_dem_ins,vap_white.gov_20_rep_cul,vap_black.gov_20_dem_ins,vap_black.gov_20_rep_cul,vap_hisp.gov_20_dem_ins,vap_hisp.gov_20_rep_cul,vap_oth.gov_20_dem_ins,vap_oth.gov_20_rep_cul,vap_white.atg_20_dem_fer,vap_white.atg_20_rep_lar,vap_black.atg_20_dem_fer,vap_black.atg_20_rep_lar,vap_hisp.atg_20_dem_fer,vap_hisp.atg_20_rep_lar,vap_oth.atg_20_dem_fer,vap_oth.atg_20_rep_lar,vap_white.sos_20_dem_tar,vap_white.sos_20_rep_wym,vap_black.sos_20_dem_tar,vap_black.sos_20_rep_wym,vap_hisp.sos_20_dem_tar,vap_hisp.sos_20_rep_wym,vap_oth.sos_20_dem_tar,vap_oth.sos_20_rep_wym
Adams County,53001000111,0.10168320219303208,0.8983167978069679,0.5038990130161015,0.49610098698389854,0.43764095960616156,0.5623590403938384,0.5409124707933285,0.4590875292066715,0.3431555840304901,0.6568444159695098,0.4864013994541316,0.5135986005458685,0.5013453205608062,0.49865467943919384,0.5209857032818488,0.4790142967181512,0.23921271551383325,0.7607872844861667,0.4931708808009748,0.5068291191990252,0.48416168877116383,0.5158383112288362,0.5368261745681537,0.4631738254318463,0.43714322122542726,0.5628567787745727,0.49696046743050293,0.5030395325694971,0.6134534560176543,0.3865465439823456,0.49074805337737587,0.5092519466226242,0.12382966797979802,0.876170332020202,0.5078230297500533,0.49217697024994667,0.42339566500183323,0.5766043349981668,0.5701018824903353,0.4298981175096647,0.2453557589568882,0.7546442410431118,0.513831551480252,0.48616844851974805,0.42959031634442485,0.5704096836555752,0.538415383685066,0.461584616314934,0.23030635357624737,0.7696936464237526,0.5121587219729485,0.48784127802705146,0.43059157232751855,0.5694084276724815,0.5756393502726836,0.4243606497273163,0.18291889370053796,0.8170811062994621,0.5244998571942893,0.4755001428057108,0.42095784482723503,0.579042155172765,0.514049755553126,0.4859502444468739,0.2204999283978527,0.7795000716021473,0.5106475908928444,0.48935240910715555,0.4460473178413773,0.5539526821586227,0.5692100418053293,0.4307899581946707,0.16735146946625587,0.8326485305337441,0.506879454341233,0.493120545658767,0.4034060363591224,0.5965939636408776,0.544984313177072,0.45501568682292803
Adams County,53001000112,0.17196215276439134,0.8280378472356087,0.5079041198544243,0.49209588014557565,0.4330598717990001,0.5669401282009999,0.5405632131887754,0.4594367868112245,0.3269320549221304,0.6730679450778696,0.4853516342896703,0.5146483657103297,0.48704397274976613,0.5129560272502338,0.5047300617635234,0.4952699382364766,0.20663158422997535,0.7933684157700247,0.48997101907672114,0.5100289809232789,0.46103377902408355,0.5389662209759165,0.5226986956492548,0.4773013043507452,0.5557199288688909,0.4442800711311092,0.4993106212386407,0.5006893787613593,0.6159988098839722,0.3840011901160278,0.49882166813957224,0.5011783318604277,0.2279882501399573,0.7720117498600427,0.5115765651145338,0.4884234348854662,0.4060079564243068,0.5939920435756932,0.553189841326678,0.446810158673322,0.30037785734056976,0.6996221426594302,0.515442462057442,0.4845575379425579,0.42863751394981275,0.5713624860501872,0.5454686641865669,0.454531335813433,0.2173673517862135,0.7826326482137865,0.5067267741551148,0.4932732258448852,0.4257741407096685,0.5742258592903315,0.5608209140906151,0.4391790859093849,0.1989054748172226,0.8010945251827774,0.5207696854105481,0.4792303145894519,0.4037822706768483,0.5962177293231516,0.5050115991177718,0.4949884008822282,0.19556919058754255,0.8044308094124575,0.5042221039180302,0.4957778960819698,0.4348366416349736,0.5651633583650264,0.5600875749476389,0.43991242505236106,0.0825736725687695,0.9174263274312305,0.5087240788185701,0.49127592118142993,0.37855331900407213,0.6214466809959279,0.5394847580415073,0.46051524195849275
Adams County,53001000113,0.29447882053064023,0.7055211794693598,0.5125768903706868,0.4874231096293132,0.43419596261020926,0.5658040373897908,0.5465031965062124,0.4534968034937876,0.4307521555811185,0.5692478444188814,0.493876925719139,0.506123074280861,0.4933513247352393,0.5066486752647608,0.5159631152606509,0.4840368847393491,0.30177362376786354,0.6982263762321365,0.49641307785697014,0.5035869221430298,0.46160477112816556,0.5383952288718344,0.5230313989111317,0.47696860108886835,0.518284937810349,0.481715062189651,0.49926716351195266,0.5007328364880473,0.6039257373900341,0.39607426260996587,0.494863637693078,0.5051363623069219,0.14345893870221377,0.8565410612977863,0.5123009337451511,0.48769906625484893,0.3986634997976736,0.6013365002023264,0.554453931007799,0.44554606899220095,0.297234888389394,0.7027651116106061,0.5229747970252309,0.47702520297476914,0.42034812421733847,0.5796518757826615,0.5442554146627717,0.45574458533722834,0.2798663301216908,0.7201336698783092,0.5093813016898865,0.49061869831011345,0.4271586223140735,0.5728413776859265,0.5659126515402502,0.4340873484597498,0.2105368221894557,0.7894631778105443,0.5251196099382076,0.4748803900617924,0.4077146131752992,0.5922853868247008,0.5039216941055368,0.4960783058944632,0.24325223196457105,0.756747768035429,0.510327705134993,0.489672294865007,0.43316913965695414,0.5668308603430459,0.5506197248247373,0.44938027517526263,0.17457896422922767,0.8254210357707723,0.5143320252207007,0.4856679747792993,0.3697361123036696,0.6302638876963303,0.5281670319734334,0.4718329680265666
Adams County,53001000114,0.2785492026091446,0.7214507973908554,0.5074546936929825,0.4925453063070176,0.44690448737193983,0.5530955126280602,0.5509493366457432,0.44905066335425675,0.3383940277298174,0.6616059722701826,0.4879402978910305,0.51205970210896945,0.500455362663566,0.499544637336434,0.5146698977792504,0.48533010222074957,0.32607716741969656,0.6739228325803034,0.4965211248576944,0.5034788751423056,0.4711966105294115,0.5288033894705886,0.5329654348669152,0.46703456513308483,0.49574214742233014,0.5042578525776699,0.49544014932570196,0.504559850674298,0.6056236610912695,0.39437633890873053,0.5073100659797677,0.4926899340202323,0.16260049084966963,0.8373995091503303,0.5124950415692834,0.4875049584307167,0.41456995061854796,0.585430049381452,0.563088924731748,0.43691107526825207,0.30405275037089824,0.6959472496291018,0.5222023886384577,0.47779761136154236,0.4380946047215908,0.5619053952784092,0.549281086127721,0.450718913872279,0.20921090760349234,0.7907890923965076,0.5089915910067545,0.49100840899324544,0.4273485935106535,0.5726514064893465,0.5636752064460054,0.4363247935539945,0.17271824601746286,0.8272817539825371,0.5252220272552551,0.4747779727447448,0.41841890043189145,0.5815810995681086,0.5080176940390392,0.4919823059609608,0.21191374753992206,0.7880862524600779,0.507567138057242,0.4924328619427581,0.44179766707932466,0.5582023329206753,0.5561704569895224,0.4438295430104776,0.14113720014225714,0.8588627998577428,0.5131350121181902,0.48686498788180976,0.38988510951930483,0.6101148904806952,0.5410339901664991,0.4589660098335009
Adams County,53001000115,0.26290105757624443,0.7370989424237553,0.5112837598279427,0.4887162401720572,0.42569693452574464,0.5743030654742554,0.5364848753981148,0.4635151246018851,0.3497534287689665,0.6502465712310332,0.4822090616138445,0.5177909383861555,0.4855643099441222,0.5144356900558779,0.5109700877057903,0.48902991229420967,0.2540726143810214,0.7459273856189785,0.48588371859024493,0.5141162814097551,0.45754980925912075,0.5424501907408793,0.5072745530584186,0.4927254469415813,0.5389922047746131,0.4610077952253867,0.5011424304863572,0.49885756951364274,0.6081463215931814,0.3918536784068186,0.49324068463600007,0.5067593153639999,0.16123045093268445,0.8387695490673154,0.5163761914821612,0.48362380851783876,0.3945856474057934,0.6054143525942066,0.5410044215342175,0.45899557846578254,0.29205743376196397,0.7079425662380358,0.5200475808107936,0.4799524191892064,0.4169174828556531,0.5830825171443469,0.5324258131621804,0.4675741868378196,0.21927039645729304,0.7807296035427067,0.5091376095915181,0.49086239040848195,0.4171980429433795,0.5828019570566205,0.5596482206925172,0.44035177930748287,0.18057009259032078,0.8194299074096792,0.523596680533337,0.47640331946666303,0.40264688878015437,0.5973531112198456,0.49700150731853554,0.5029984926814645,0.26279764755946305,0.737202352440537,0.5028992800278154,0.49710071997218463,0.4248350166574846,0.5751649833425154,0.5456525107842987,0.45434748921570134,0.14061796892414197,0.8593820310758581,0.5067523129661959,0.4932476870338041,0.36497141257829796,0.6350285874217021,0.5166656213347095,0.48333437866529044
Adams County,53001000121,0.09911152376121345,0.9008884762387865,0.5077347721734414,0.49226522782655857,0.4256428301806711,0.5743571698193288,0.5375626588182035,0.4624373411817964,0.24843427404246618,0.7515657259575338,0.4870656055548304,0.5129343944451696,0.48910675182182617,0.5108932481781738,0.5031894550989815,0.49681054490101856,0.1415045756092491,0.8584954243907509,0.49428480028090854,0.5057151997190914,0.45689194069482697,0.543108059305173,0.5107425393012246,0.48925746069877546,0.44354815686807136,0.5564518431319286,0.5025372156340822,0.49746278436591784,0.6080609572551846,0.3919390427448154,0.49061443454745657,0.5093855654525434,0.08334606454216117,0.9166539354578388,0.5118278921747256,0.4881721078252744,0.39221042149837915,0.6077895785016209,0.5535635898422985,0.4464364101577015,0.16032506824303025,0.8396749317569697,0.5247970209433975,0.4752029790566025,0.4193403394055548,0.5806596605944452,0.5290964403287125,0.47090355967128755,0.149992264670509,0.850007735329491,0.510007362698346,0.48999263730165393,0.420696330692703,0.5793036693072969,0.5593814570395192,0.44061854296048075,0.11212768673014234,0.8878723132698577,0.5233026028378674,0.47669739716213255,0.40439389623137906,0.5956061037686209,0.4954867616091767,0.5045132383908233,0.15033920216625957,0.8496607978337404,0.5119098674629912,0.48809013253700884,0.42176735561149736,0.5782326443885026,0.539899369033234,0.46010063096676607,0.10779641585525954,0.8922035841447404,0.5069926879786546,0.49300731202134546,0.3699141261532252,0.6300858738467748,0.5227726371468241,0.4772273628531759
Adams County,53001000122,0.08755391117390252,0.9124460888260975,0.5078052082303949,0.4921947917696051,0.4247491107588065,0.5752508892411935,0.5332803323499354,0.46671966765006456,0.22041315556280647,0.7795868444371935,0.4885371629318306,0.5114628370681694,0.48507238752292275,0.5149276124770773,0.499074513126041,0.500925486873959,0.12667141354160166,0.8733285864583984,0.49267895225287994,0.5073210477471201,0.46125709345731636,0.5387429065426836,0.5149317891063013,0.48506821089369867,0.336121563210898,0.663878436789102,0.501642216251914,0.49835778374808604,0.6019390157154427,0.3980609842845573,0.49110761008009085,0.5088923899199091,0.04572852187371389,0.9542714781262861,0.5201772898117859,0.4798227101882141,0.39687515554061775,0.6031248444593823,0.55558343951619,0.44441656048380995,0.11716514684508948,0.8828348531549105,0.5154060586794493,0.4845939413205506,0.41196363955748544,0.5880363604425145,0.5286938094077743,0.47130619059222567,0.13107724229371948,0.8689227577062805,0.5108494311084045,0.48915056889159547,0.4159251011944966,0.5840748988055035,0.5514211713099278,0.4485788286900721,0.0843306460256106,0.9156693539743894,0.5187671940441019,0.4812328059558981,0.3968445672361903,0.6031554327638097,0.4930435281051985,0.5069564718948014,0.11654308264562156,0.8834569173543785,0.5103115732575292,0.4896884267424708,0.4264750575659684,0.5735249424340316,0.5417561100542078,0.4582438899457923,0.05761964576049656,0.9423803542395034,0.5093588831064468,0.4906411168935532,0.37042375287314333,0.6295762471268567,0.5183364858741125,0.4816635141258875
Adams County,53001000123,0.07301339639747244,0.9269866036025276,0.5074885805297681,0.49251141947023186,0.42903090727456306,0.5709690927254369,0.534483163599271,0.46551683640072883,0.21344874316359136,0.7865512568364086,0.49129223499558194,0.50870776500441806,0.488026766686113,0.511973233313887,0.4982583947753807,0.5017416052246191,0.09716368800577137,0.9028363119942286,0.48765405978847304,0.512345940211527,0.45870938856750865,0.5412906114324914,0.5119532739136249,0.4880467260863749,0.32459281328712497,0.675407186712875,0.5005307157223553,0.4994692842776445,0.5991599030737603,0.4008400969262397,0.4815234423966841,0.5184765576033157,0.015516350983223225,0.9844836490167768,0.5106234540669162,0.48937654593308355,0.3514909823575079,0.6485090176424921,0.5014481879623328,0.49855181203766696,0.11899138448282659,0.8810086155171734,0.5144749056669466,0.4855250943330534,0.41244055518294687,0.5875594448170531,0.5276250695528488,0.47237493044715095,0.1308533375221131,0.8691466624778869,0.506192084248642,0.49380791575135796,0.4195147753512437,0.5804852246487563,0.5537320041651957,0.4462679958348041,0.09720735784573228,0.9027926421542677,0.5205803671943947,0.47941963280560534,0.4034199187495519,0.596580081250448,0.49322847344302717,0.5067715265569727,0.10443188167044218,0.8955681183295578,0.5097304547916488,0.49026954520835125,0.4287181808977751,0.5712818191022249,0.5404208576182769,0.459579142381723,0.02270969016736387,0.9772903098326361,0.5055554396859572,0.4944445603140426,0.3567052031216253,0.6432947968783747,0.5022984095602072,0.49770159043979256
Adams County,53001000211,0.08012156914482234,0.9198784308551778,0.5098316314759785,0.4901683685240215,0.3970955475910841,0.6029044524089159,0.5213005330148326,0.47869946698516747,0.2340998374752698,0.7659001625247304,0.4904469628147141,0.5095530371852859,0.4857386427975431,0.5142613572024569,0.5000990161539574,0.49990098384604265,0.18120990459147046,0.8187900954085298,0.48813481464067243,0.5118651853593276,0.4718264682264167,0.5281735317735833,0.5093106202718334,0.49068937972816656,0.3366816705457004,0.6633183294542998,0.4983014594784583,0.5016985405215417,0.5909471283032004,0.4090528716967996,0.48384250248840477,0.5161574975115952,0.12064330562993918,0.879356694370061,0.5130083614804558,0.4869916385195442,0.42428001810881555,0.5757199818911845,0.5476265027962663,0.4523734972037336,0.17000425985026335,0.8299957401497369,0.5143250384039251,0.48567496159607493,0.4287550180912463,0.5712449819087537,0.5317272604562223,0.4682727395437776,0.1422341767631653,0.8577658232368349,0.506676172649646,0.4933238273503539,0.42501054485361345,0.5749894551463866,0.5450840103986385,0.4549159896013615,0.13429682858477676,0.8657031714152235,0.5207786798376045,0.4792213201623955,0.413916442765654,0.586083557234346,0.48807436056221687,0.5119256394377831,0.12772922404877374,0.8722707759512265,0.5040437392808987,0.49595626071910126,0.42655281191745453,0.5734471880825455,0.5375526106729872,0.46244738932701274,0.06756649846596212,0.9324335015340381,0.5122607337793192,0.48773926622068076,0.3591951135619004,0.6408048864380995,0.49952873224631616,0.5004712677536839
Adams County,53001000212,0.12402572450778612,0.8759742754922138,0.5137223154654367,0.4862776845345633,0.4308067482277938,0.5691932517722061,0.5322852447299268,0.46771475527007317,0.3123804123893723,0.6876195876106277,0.49560086015755633,0.5043991398424437,0.48840579341220297,0.511594206587797,0.5128476104648925,0.48715238953510753,0.20149609486792558,0.7985039051320745,0.49042447716175547,0.5095755228382446,0.46108325830512564,0.5389167416948744,0.5123064036767206,0.4876935963232793,0.44524385163199554,0.5547561483680045,0.4996218940374814,0.5003781059625185,0.6057322389534966,0.39426776104650346,0.49054468223146713,0.5094553177685329,0.1541010050508465,0.8458989949491534,0.5134415157940233,0.4865584842059767,0.39925624927639536,0.6007437507236046,0.5474841588142222,0.45251584118577787,0.1697913594008471,0.8302086405991529,0.5221829574456264,0.47781704255437363,0.4170412959560228,0.5829587040439772,0.5310795009037214,0.4689204990962787,0.21876089721843991,0.7812391027815601,0.5073029376782379,0.4926970623217621,0.42355255156099164,0.5764474484390083,0.5529847261432832,0.4470152738567168,0.172432986594022,0.8275670134059779,0.5223807260017055,0.47761927399829457,0.4064831340747437,0.5935168659252563,0.4942188407134988,0.5057811592865012,0.18961408798214752,0.8103859120178525,0.5095597151679472,0.4904402848320528,0.42138954093054565,0.5786104590694544,0.5460132916111852,0.4539867083888148,0.12264286525352168,0.8773571347464784,0.5162570429261425,0.48374295707385745,0.37345545176417183,0.6265445482358282,0.5186347151621944,0.48136528483780555
