county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_16_rep_boo,vap_white.uss_16_dem_eld,vap_black.uss_16_rep_boo,vap_black.uss_16_dem_eld,vap_hisp.uss_16_rep_boo,vap_hisp.uss_16_dem_eld,vap_oth.uss_16_rep_boo,vap_oth.uss_16_dem_eld,vap_white.gov_18_rep_hut,vap_white.gov_18_dem_hen,vap_black.gov_18_rep_hut,vap_black.gov_18_dem_hen,vap_hisp.gov_18_rep_hut,vap_hisp.gov_18_dem_hen,vap_oth.gov_18_rep_hut,vap_oth.gov_18_dem_hen,vap_white.atg_18_rep_rut,vap_white.atg_18_dem_lee,vap_black.atg_18_rep_rut,vap_black.atg_18_dem_lee,vap_hisp.atg_18_rep_rut,vap_hisp.atg_18_dem_lee,vap_oth.atg_18_rep_rut,vap_oth.atg_18_dem_lee,vap_white.sos_18_rep_thu,vap_white.sos_18_dem_inm,vap_black.sos_18_rep_thu,vap_black.sos_18_dem_inm,vap_hisp.sos_18_rep_thu,vap_hisp.sos_18_dem_inm,vap_oth.sos_18_rep_thu,vap_oth.sos_18_dem_inm,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_cot,vap_white.uss_20_dem_har,vap_black.uss_20_rep_cot,vap_black.uss_20_dem_har,vap_hisp.uss_20_rep_cot,vap_hisp.uss_20_dem_har,vap_oth.uss_20_rep_cot,vap_oth.uss_20_dem_har
Arkansas County,05001000011,0.766581454034053,0.23341854596594708,0.17071153501549974,0.8292884649845003,0.4882076930609249,0.5117923069390752,0.4334750891187852,0.5665249108812148,0.6780744396376385,0.32192556036236153,0.22259914290059898,0.777400857099401,0.48724147222664094,0.5127585277733591,0.48053926430922583,0.5194607356907742,0.7349594697703549,0.2650405302296452,0.250438553839895,0.749561446160105,0.48460894867039417,0.5153910513296058,0.4814449037463858,0.5185550962536142,0.7660804047550958,0.2339195952449043,0.19809084228195578,0.8019091577180443,0.4601361286737007,0.5398638713262993,0.4576002733204834,0.5423997266795165,0.7373003547821512,0.2626996452178489,0.1580066976523964,0.8419933023476036,0.4655284946477776,0.5344715053522223,0.4548113797508287,0.5451886202491713,0.8820372853222392,0.11796271467776076,0.17089611906966826,0.8291038809303317,0.4395292373493474,0.5604707626506525,0.4449066881716272,0.5550933118283727,0.8870886086107668,0.11291139138923321,0.28879020617323736,0.7112097938267626,0.4469400312565998,0.5530599687434002,0.42880200545837377,0.5711979945416262
Arkansas County,05001000012,0.8137435418931319,0.18625645810686814,0.15646033015882183,0.8435396698411782,0.4846479083020052,0.5153520916979948,0.4406235290903602,0.5593764709096398,0.7590324545741349,0.24096754542586502,0.22499362002961618,0.7750063799703838,0.49048190503723055,0.5095180949627695,0.47968360065204435,0.5203163993479557,0.8290543334086371,0.1709456665913629,0.2495233972298421,0.7504766027701579,0.4882151993541247,0.5117848006458753,0.48208573078699,0.51791426921301,0.8098944223164236,0.19010557768357642,0.1906359666448105,0.8093640333551895,0.4633427548334072,0.5366572451665929,0.457637801497935,0.542362198502065,0.7781590536664199,0.22184094633358004,0.16173128402411058,0.8382687159758895,0.46718814636247885,0.5328118536375211,0.4558664925909708,0.5441335074090292,0.8405363304777299,0.15946366952227004,0.1649150316852203,0.8350849683147797,0.442665244944186,0.557334755055814,0.44000734626722476,0.5599926537327752,0.9350731480500594,0.06492685194994068,0.3001209497700367,0.6998790502299633,0.4450178937225137,0.5549821062774863,0.4328223245429519,0.5671776754570481
Arkansas County,05001000013,0.7732451990971047,0.22675480090289532,0.1502454176474658,0.8497545823525342,0.48095776658029776,0.5190422334197022,0.4310340892269653,0.5689659107730347,0.6655283060887369,0.3344716939112631,0.21598041003892712,0.7840195899610729,0.4843581366991872,0.5156418633008127,0.4752623266869807,0.5247376733130193,0.8296539179869552,0.1703460820130448,0.23875857200629438,0.7612414279937056,0.4816232190467194,0.5183767809532805,0.4713480041357947,0.5286519958642053,0.8087880541550351,0.19121194584496487,0.18582226512048114,0.8141777348795188,0.4514223478097928,0.5485776521902073,0.45416783650273074,0.5458321634972693,0.7620062011096682,0.2379937988903318,0.1587442466534604,0.8412557533465396,0.4676246704411495,0.5323753295588505,0.45470067923388874,0.5452993207661112,0.8429670214788929,0.1570329785211071,0.16453093570424182,0.8354690642957582,0.4347014043875398,0.5652985956124602,0.4361235728910491,0.5638764271089509,0.8499214888255662,0.1500785111744338,0.2772775842260463,0.7227224157739537,0.4371032208209867,0.5628967791790134,0.4218191024646024,0.5781808975353976
Arkansas County,05001000014,0.9084993311334613,0.09150066886653875,0.16322780873096168,0.8367721912690383,0.48633656827411514,0.5136634317258849,0.4357919171179113,0.5642080828820887,0.7368168571838193,0.2631831428161807,0.21922432654594004,0.78077567345406,0.4878646663949652,0.5121353336050348,0.46904323603078873,0.5309567639692112,0.9004855547826219,0.09951444521737804,0.2582760584669475,0.7417239415330524,0.4847940804820616,0.5152059195179385,0.4750287389387481,0.5249712610612519,0.8529439849669386,0.14705601503306148,0.2033871802283191,0.7966128197716809,0.4632980526913238,0.5367019473086763,0.45225315130288957,0.5477468486971104,0.8718273036752107,0.12817269632478928,0.15790463365681007,0.8420953663431899,0.47034443119937397,0.529655568800626,0.4550131905627376,0.5449868094372624,0.899934289535402,0.10006571046459799,0.18632633899863518,0.8136736610013648,0.4423588227443811,0.5576411772556189,0.4345899159488404,0.5654100840511596,0.8833662525983368,0.1166337474016632,0.2909684526556821,0.7090315473443178,0.4464096361467995,0.5535903638532005,0.4184856533003593,0.5815143466996407
Arkansas County,05001000015,0.9330421245598337,0.06695787544016603,0.15993951428656664,0.8400604857134334,0.4861818145774128,0.5138181854225873,0.43337920954460657,0.5666207904553935,0.7799122658110169,0.2200877341889831,0.23000735509669154,0.7699926449033084,0.49220149063777086,0.5077985093622291,0.4792253934755171,0.5207746065244829,0.832354056113866,0.16764594388613394,0.26176944882024716,0.7382305511797528,0.48671694316538494,0.5132830568346151,0.47533830991785725,0.5246616900821427,0.8983603752288375,0.10163962477116242,0.20668308220217615,0.7933169177978239,0.45790110813363777,0.5420988918663622,0.45376470473008856,0.5462352952699114,0.8850135471421458,0.11498645285785423,0.17059772291385264,0.8294022770861473,0.46797734844362027,0.5320226515563797,0.4500636252661415,0.5499363747338585,0.9203846697360223,0.07961533026397774,0.18099700070310384,0.8190029992968961,0.4380002034540057,0.5619997965459943,0.43471662588469767,0.5652833741153024,0.9044932553623279,0.09550674463767184,0.30777171094351496,0.692228289056485,0.4471766189252099,0.5528233810747901,0.4249202164873989,0.575079783512601
Arkansas County,05001000021,0.8501228476919364,0.14987715230806367,0.16443496965089086,0.8355650303491091,0.48460426948634217,0.5153957305136578,0.42589270925324196,0.574107290746758,0.7412242105857836,0.25877578941421636,0.22143323098219186,0.7785667690178082,0.4914855123741594,0.5085144876258406,0.47778227513880545,0.5222177248611946,0.8727152464322219,0.12728475356777816,0.2502871888212256,0.7497128111787744,0.48463626717299196,0.5153637328270081,0.47450349394535746,0.5254965060546425,0.8854743578552896,0.11452564214471044,0.2004496964252207,0.7995503035747793,0.4558520128332297,0.5441479871667704,0.4473117085546888,0.5526882914453112,0.8675588365278698,0.1324411634721302,0.1711201141936952,0.8288798858063048,0.46721567004809583,0.5327843299519042,0.446196502292815,0.553803497707185,0.9067658992340727,0.09323410076592732,0.17729851397152668,0.8227014860284734,0.43894299952748145,0.5610570004725185,0.42874059450447605,0.571259405495524,0.9332624273822497,0.06673757261775023,0.293004397282292,0.706995602717708,0.44630329238971445,0.5536967076102856,0.4155221993587034,0.5844778006412966
Arkansas County,05001000022,0.8463893426486165,0.1536106573513834,0.16592239941736037,0.8340776005826396,0.49102625421671076,0.5089737457832892,0.43185697977640186,0.5681430202235982,0.7894444088933954,0.21055559110660457,0.2243770330708894,0.7756229669291106,0.4880417138101651,0.5119582861898349,0.4803508401565399,0.5196491598434602,0.9001795749413586,0.09982042505864144,0.25419311033724595,0.7458068896627541,0.48586531561908036,0.5141346843809196,0.4772061969190701,0.5227938030809299,0.8771923513889903,0.12280764861100962,0.20252390709637522,0.7974760929036248,0.4586320432533451,0.5413679567466548,0.4550748715129337,0.5449251284870663,0.8268712447579791,0.1731287552420209,0.17455913563890577,0.8254408643610942,0.4673714937059699,0.53262850629403,0.4555977292410487,0.5444022707589513,0.903691045410292,0.09630895458970795,0.1716136236275611,0.828386376372439,0.44358426818952695,0.556415731810473,0.4368557848093239,0.5631442151906761,0.9162933452343057,0.08370665476569428,0.2928731683682667,0.7071268316317333,0.44682395032815114,0.5531760496718489,0.42617083759149815,0.5738291624085019
Arkansas County,05001000023,0.8893286693403746,0.11067133065962541,0.15455115525567212,0.8454488447443279,0.48973886701010755,0.5102611329898925,0.4307988937752341,0.5692011062247657,0.8268746037622393,0.1731253962377607,0.22834580858319015,0.7716541914168098,0.4874827852083784,0.5125172147916216,0.4881904129737279,0.5118095870262721,0.9657142495652246,0.034285750434775476,0.2593834223109992,0.7406165776890008,0.48657274338426915,0.5134272566157309,0.5199099352903636,0.4800900647096363,0.9423722096847675,0.05762779031523247,0.20211240215563378,0.7978875978443662,0.45652355645852916,0.5434764435414708,0.4662490181855125,0.5337509818144872,0.9355224484337314,0.0644775515662686,0.16761949636900297,0.832380503630997,0.4765549285337185,0.5234450714662815,0.4714372311513237,0.528562768848676,0.9242790651193805,0.07572093488061954,0.17796997411113125,0.8220300258888688,0.44215360318149544,0.5578463968185046,0.4384396660159241,0.5615603339840759,0.94757341090175,0.05242658909825,0.3000613283376557,0.6999386716623441,0.4461527187842461,0.5538472812157539,0.4343931508836815,0.5656068491163185
Arkansas County,05001000031,0.8331232775926962,0.16687672240730406,0.1642901081369302,0.8357098918630698,0.48626882886376266,0.5137311711362373,0.4349567615354347,0.5650432384645653,0.7340248714174685,0.2659751285825317,0.22855867931370927,0.7714413206862908,0.48755322155959413,0.5124467784404059,0.4758028783242656,0.5241971216757344,0.9152974342559211,0.08470256574407907,0.25397769068925014,0.7460223093107499,0.4901832672591443,0.5098167327408557,0.4834998448131521,0.5165001551868479,0.8910860816797773,0.10891391832022286,0.19873052989214746,0.8012694701078525,0.45773348357981947,0.5422665164201805,0.46310735705024253,0.5368926429497575,0.8521424190489842,0.14785758095101598,0.16421410100907027,0.8357858989909297,0.471563114417781,0.528436885582219,0.45928159780429606,0.540718402195704,0.8380693972059013,0.16193060279409885,0.18102065783766888,0.8189793421623311,0.4409552264332398,0.5590447735667602,0.43945171829196417,0.5605482817080358,0.8882295912248112,0.11177040877518901,0.2988406645766867,0.7011593354233133,0.44775550227772914,0.5522444977222709,0.4200204820010118,0.5799795179989883
Arkansas County,05001000032,0.648049268070043,0.35195073192995696,0.16017208890724352,0.8398279110927565,0.4826896350033568,0.5173103649966432,0.4257544186992726,0.5742455813007274,0.5155236983379621,0.4844763016620379,0.22771991423001842,0.7722800857699815,0.4894681807501607,0.5105318192498393,0.47007468512598083,0.5299253148740192,0.6569488892168922,0.34305111078310785,0.2597166544077523,0.7402833455922476,0.4822692988627829,0.5177307011372171,0.47731139453121263,0.5226886054687874,0.6106902900426199,0.3893097099573801,0.19755673468939838,0.8024432653106016,0.4587651429392003,0.5412348570607997,0.4483941338702074,0.5516058661297926,0.6148031253348973,0.3851968746651027,0.17108186453636953,0.8289181354636305,0.46393819630712435,0.5360618036928757,0.45064185858859,0.54935814141141,0.7755684780914921,0.22443152190850787,0.187922500901173,0.812077499098827,0.4336159089613287,0.5663840910386713,0.43714321187597044,0.5628567881240296,0.8269953127667063,0.1730046872332936,0.2953551678683582,0.7046448321316418,0.44221349907020213,0.5577865009297979,0.424403316274453,0.575596683725547
