county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_18_rep_fis,vap_white.uss_18_dem_ray,vap_black.uss_18_rep_fis,vap_black.uss_18_dem_ray,vap_hisp.uss_18_rep_fis,vap_hisp.uss_18_dem_ray,vap_oth.uss_18_rep_fis,vap_oth.uss_18_dem_ray,vap_white.gov_18_rep_ric,vap_white.gov_18_dem_kri,vap_black.gov_18_rep_ric,vap_black.gov_18_dem_kri,vap_hisp.gov_18_rep_ric,vap_hisp.gov_18_dem_kri,vap_oth.gov_18_rep_ric,vap_oth.gov_18_dem_kri,vap_white.sos_18_rep_evn,vap_white.sos_18_dem_dan,vap_black.sos_18_rep_evn,vap_black.sos_18_dem_dan,vap_hisp.sos_18_rep_evn,vap_hisp.sos_18_dem_dan,vap_oth.sos_18_rep_evn,vap_oth.sos_18_dem_dan,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_sas,vap_white.uss_20_dem_jan,vap_black.uss_20_rep_sas,vap_black.uss_20_dem_jan,vap_hisp.uss_20_rep_sas,vap_hisp.uss_20_dem_jan,vap_oth.uss_20_rep_sas,vap_oth.uss_20_dem_jan
Adams County,3100100001P,0.9145210949436955,0.08547890505630455,0.4892235454728091,0.5107764545271909,0.41392760526968564,0.5860723947303144,0.4368251900871249,0.5631748099128752,0.8229263065392967,0.17707369346070337,0.4979457239776289,0.5020542760223712,0.3916831521365133,0.6083168478634867,0.474287353366966,0.5257126466330341,0.8563697073830215,0.14363029261697843,0.4732013972460695,0.5267986027539304,0.4153191605593924,0.5846808394406076,0.4554166287035225,0.5445833712964775,0.8522657807404086,0.14773421925959146,0.46654673397153923,0.5334532660284608,0.4251840245304972,0.5748159754695028,0.45679841740571875,0.5432015825942813,0.8827607991540629,0.11723920084593707,0.4990863692606552,0.5009136307393448,0.43475937615495497,0.565240623845045,0.44496132591131493,0.555038674088685,0.9211003298499285,0.0788996701500715,0.4810774894154183,0.5189225105845817,0.38938513947091213,0.6106148605290879,0.41226317708853283,0.5877368229114671
Adams County,3100100001W,0.8458583847229383,0.15414161527706177,0.4909304069119576,0.5090695930880424,0.41045937560710094,0.5895406243928991,0.433356170729269,0.566643829270731,0.7511741328496276,0.24882586715037242,0.503876039762947,0.4961239602370529,0.3909804818564227,0.6090195181435774,0.4693449464703116,0.5306550535296884,0.7926702332547458,0.2073297667452541,0.47256617806433,0.52743382193567,0.40545451066800314,0.5945454893319968,0.4507487663427748,0.5492512336572253,0.7849007825393025,0.21509921746069743,0.4621558764767253,0.5378441235232747,0.424037850517287,0.5759621494827131,0.45176573877911463,0.5482342612208854,0.7933784243081403,0.20662157569185974,0.49495656157118084,0.5050434384288192,0.4087428445150119,0.5912571554849881,0.43599946954994845,0.5640005304500515,0.879007400203648,0.12099259979635202,0.48927709969459654,0.5107229003054035,0.3490555732895554,0.6509444267104446,0.40614761095244883,0.5938523890475511
Adams County,3100100002E,0.7853300168104838,0.21466998318951624,0.48622162279003844,0.5137783772099616,0.39941489620250303,0.600585103797497,0.4269582745098608,0.5730417254901392,0.6974545799543106,0.3025454200456894,0.5017018361617731,0.49829816383822684,0.3752106881334626,0.6247893118665374,0.4659816492470066,0.5340183507529934,0.7288025629968091,0.27119743700319093,0.4740704804123549,0.5259295195876451,0.40276673736669544,0.5972332626333046,0.4458848839954855,0.5541151160045145,0.7202909693533748,0.2797090306466253,0.46742063522622723,0.5325793647737728,0.41973347642846004,0.58026652357154,0.4448762486353461,0.555123751364654,0.772854084903464,0.22714591509653598,0.4983300574420938,0.5016699425579062,0.42165616870753886,0.5783438312924611,0.4228053634219581,0.5771946365780418,0.8573067871158682,0.14269321288413178,0.484816583564973,0.5151834164350271,0.36896373981599534,0.6310362601840046,0.4026399508180021,0.5973600491819979
Adams County,3100100002P,0.9043681049996335,0.09563189500036656,0.4909619169379256,0.5090380830620744,0.42817428225288606,0.5718257177471139,0.4430945781966034,0.5569054218033965,0.8464354819702726,0.15356451802972734,0.5067201431352125,0.4932798568647874,0.394129930033228,0.6058700699667721,0.47558548170277865,0.5244145182972213,0.9124608405207663,0.08753915947923373,0.47153802950441914,0.5284619704955809,0.44546891069193034,0.5545310893080697,0.46436179344775175,0.5356382065522483,0.8922357863074935,0.10776421369250651,0.4681195874924662,0.5318804125075338,0.4570717670360778,0.5429282329639221,0.4641954727006614,0.5358045272993386,0.8829778853543335,0.11702211464566643,0.503158208925881,0.49684179107411897,0.44008880921513577,0.5599111907848643,0.43655926150422214,0.5634407384957779,0.9467343252202475,0.053265674779752484,0.4859630695543967,0.5140369304456033,0.408989232791519,0.591010767208481,0.42178376590857186,0.5782162340914282
Adams County,3100100002W,0.8186340851697486,0.18136591483025138,0.4860518904903803,0.5139481095096197,0.38735054676213493,0.612649453237865,0.4236643279304133,0.5763356720695867,0.671524941649604,0.3284750583503958,0.5035043742732689,0.49649562572673106,0.374013733912904,0.6259862660870961,0.46014021742654154,0.5398597825734585,0.7271511165549147,0.27284888344508507,0.46750201460873547,0.5324979853912645,0.393722196916944,0.606277803083056,0.4401923747124062,0.5598076252875939,0.7627559835419689,0.2372440164580308,0.461126116676851,0.538873883323149,0.41913564127169656,0.5808643587283034,0.4490168813158994,0.5509831186841005,0.7596009147789279,0.240399085221072,0.5049459184911689,0.4950540815088312,0.41964497469221823,0.5803550253077817,0.4344376980146604,0.5655623019853395,0.8640589785299503,0.1359410214700495,0.48053810147694187,0.5194618985230581,0.3526953303225813,0.6473046696774187,0.3961223700973565,0.6038776299026435
Adams County,3100100003P,0.8719780412425969,0.1280219587574031,0.49515549821403326,0.5048445017859667,0.4188871845032438,0.5811128154967562,0.43456855719555854,0.5654314428044415,0.7814957046927302,0.21850429530726972,0.5023870729752594,0.4976129270247406,0.38806031858884954,0.6119396814111505,0.474954675842248,0.525045324157752,0.8632970670361385,0.13670293296386155,0.4704393905402825,0.5295606094597175,0.418456453595078,0.581543546404922,0.4528266570313669,0.5471733429686331,0.8639299856786788,0.13607001432132118,0.4711629626502831,0.5288370373497169,0.4342101657888129,0.5657898342111871,0.4558837873886689,0.544116212611331,0.837862851702282,0.16213714829771803,0.5042851610351136,0.49571483896488644,0.42893333258409094,0.5710666674159091,0.43500212106061914,0.5649978789393809,0.9128058807194922,0.08719411928050777,0.47942638868394566,0.5205736113160544,0.3819649942130952,0.6180350057869047,0.4144985490127448,0.5855014509872553
Adams County,3100100003W,0.7270428265284927,0.2729571734715073,0.488355455224118,0.5116445447758821,0.34689522948719315,0.6531047705128069,0.4205771504064241,0.5794228495935758,0.6605165305742243,0.33948346942577573,0.5011639275730349,0.4988360724269651,0.3550261555545591,0.6449738444454409,0.46369968419140944,0.5363003158085905,0.7269360944781343,0.2730639055218656,0.4692851625228433,0.5307148374771566,0.3808109657131544,0.6191890342868456,0.4458851051243453,0.5541148948756547,0.7111738040092399,0.2888261959907601,0.4668757992750127,0.5331242007249872,0.39322459461355636,0.6067754053864436,0.4433956165518934,0.5566043834481066,0.6480642189840354,0.35193578101596457,0.4985997818530242,0.5014002181469758,0.36510295690336536,0.6348970430966346,0.423597003243906,0.5764029967560941,0.841750013432718,0.158249986567282,0.47630267929270365,0.5236973207072964,0.31430879738401635,0.6856912026159836,0.4082954313298113,0.5917045686701887
Adams County,3100100004P,0.8865244602065401,0.1134755397934599,0.48743649268148953,0.5125635073185103,0.4157164657506505,0.5842835342493495,0.44472747685145203,0.555272523148548,0.8303473616932516,0.16965263830674843,0.5022738541152343,0.49772614588476577,0.39440042625879773,0.6055995737412023,0.4764996408561459,0.5235003591438541,0.8501497940638721,0.1498502059361279,0.4704069013390168,0.5295930986609833,0.4145448621904817,0.5854551378095183,0.4602487613541691,0.539751238645831,0.8722849879930691,0.12771501200693092,0.4642144448640602,0.5357855551359396,0.42719047375429847,0.5728095262457015,0.460014548089681,0.5399854519103188,0.8525982297696466,0.1474017702303534,0.5032591220438927,0.4967408779561071,0.4339229468336064,0.5660770531663936,0.4375094587497004,0.5624905412502994,0.9090124331003605,0.09098756689963948,0.48340777723451056,0.5165922227654894,0.38182298460188274,0.6181770153981172,0.406458807794949,0.5935411922050509
Adams County,3100100005P,0.8437225585703592,0.15627744142964106,0.4896276065245649,0.5103723934754352,0.4046824359331338,0.5953175640668662,0.42557728692267427,0.5744227130773257,0.777350498790964,0.22264950120903623,0.5058403935998926,0.49415960640010737,0.3795166995920572,0.6204833004079429,0.4740714377204283,0.5259285622795717,0.812680148252133,0.18731985174786725,0.47354793795778755,0.5264520620422124,0.40811477048603356,0.5918852295139665,0.4543808582686797,0.5456191417313203,0.811179113382381,0.18882088661761923,0.4631508000797439,0.5368491999202561,0.42920413061737583,0.5707958693826242,0.45597499532023195,0.544025004679768,0.7951372068875657,0.20486279311243455,0.49986095900528055,0.5001390409947194,0.43072131121649526,0.5692786887835047,0.42512527548232365,0.5748747245176763,0.8883761489306452,0.11162385106935496,0.4841950033316111,0.515804996668389,0.38729235145395163,0.6127076485460484,0.41523386034234255,0.5847661396576574
Adams County,3100100005W,0.8776065440454626,0.12239345595453743,0.4962376048003969,0.5037623951996031,0.5660214924508167,0.4339785075491833,0.46527807772461494,0.5347219222753851,0.806507534911236,0.19349246508876403,0.5115858796422672,0.4884141203577328,0.48399567383531883,0.5160043261646812,0.5010256424665565,0.49897435753344355,0.8440126784369658,0.15598732156303413,0.48103453757885756,0.5189654624211425,0.5074750280281737,0.4925249719718263,0.47535202216928046,0.5246479778307196,0.8346641262098946,0.16533587379010536,0.46852725689582353,0.5314727431041765,0.5126663696611272,0.48733363033887284,0.48411929078566474,0.5158807092143353,0.8519578157696769,0.14804218423032314,0.5014865270181227,0.49851347298187737,0.5474496327227812,0.4525503672772187,0.4692674532031193,0.5307325467968806,0.9282242373233842,0.07177576267661574,0.49510033823913624,0.5048996617608638,0.6269175908859191,0.3730824091140808,0.4650369626969256,0.5349630373030744
