county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_white.uss_16_dem_lea,vap_white.uss_16_rep_mil,vap_black.uss_16_dem_lea,vap_black.uss_16_rep_mil,vap_hisp.uss_16_dem_lea,vap_hisp.uss_16_rep_mil,vap_oth.uss_16_dem_lea,vap_oth.uss_16_rep_mil,vap_white.gov_16_dem_min,vap_white.gov_16_rep_sco,vap_black.gov_16_dem_min,vap_black.gov_16_rep_sco,vap_hisp.gov_16_dem_min,vap_hisp.gov_16_rep_sco,vap_oth.gov_16_dem_min,vap_oth.gov_16_rep_sco,vap_white.atg_16_dem_don,vap_white.atg_16_rep_buc,vap_black.atg_16_dem_don,vap_black.atg_16_rep_buc,vap_hisp.atg_16_dem_don,vap_hisp.atg_16_rep_buc,vap_oth.atg_16_dem_don,vap_oth.atg_16_rep_buc,vap_white.gov_18_dem_hal,vap_white.gov_18_rep_sco,vap_black.gov_18_dem_hal,vap_black.gov_18_rep_sco,vap_hisp.gov_18_dem_hal,vap_hisp.gov_18_rep_sco,vap_oth.gov_18_dem_hal,vap_oth.gov_18_rep_sco,vap_white.atg_18_dem_don,vap_white.atg_18_rep_wil,vap_black.atg_18_dem_don,vap_black.atg_18_rep_wil,vap_hisp.atg_18_dem_don,vap_hisp.atg_18_rep_wil,vap_oth.atg_18_dem_don,vap_oth.atg_18_rep_wil,vap_white.sos_18_dem_con,vap_white.sos_18_rep_pai,vap_black.sos_18_dem_con,vap_black.sos_18_rep_pai,vap_hisp.sos_18_dem_con,vap_hisp.sos_18_rep_pai,vap_oth.sos_18_dem_con,vap_oth.sos_18_rep_pai,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_white.gov_20_dem_zuc,vap_white.gov_20_rep_sco,vap_black.gov_20_dem_zuc,vap_black.gov_20_rep_sco,vap_hisp.gov_20_dem_zuc,vap_hisp.gov_20_rep_sco,vap_oth.gov_20_dem_zuc,vap_oth.gov_20_rep_sco,vap_white.atg_20_dem_don,vap_white.atg_20_rep_pai,vap_black.atg_20_dem_don,vap_black.atg_20_rep_pai,vap_hisp.atg_20_dem_don,vap_hisp.atg_20_rep_pai,vap_oth.atg_20_dem_don,vap_oth.atg_20_rep_pai,vap_white.sos_20_dem_con,vap_white.sos_20_rep_pai,vap_black.sos_20_dem_con,vap_black.sos_20_rep_pai,vap_hisp.sos_20_dem_con,vap_hisp.sos_20_rep_pai,vap_oth.sos_20_dem_con,vap_oth.sos_20_rep_pai
Addison County,50001500101,0.49070733225656527,0.5092926677434347,0.49897882402668686,0.5010211759733131,0.4885553713443898,0.5114446286556101,0.5216010535696476,0.47839894643035236,0.474966697207841,0.525033302792159,0.4984788626277656,0.5015211373722344,0.5120385152028317,0.4879614847971682,0.4977395518979404,0.5022604481020596,0.2318770021729721,0.7681229978270279,0.5218896483549835,0.4781103516450164,0.5113036072276418,0.48869639277235827,0.5080234443532837,0.4919765556467162,0.5947627110907034,0.4052372889092965,0.4920178129393733,0.5079821870606267,0.49551605289872647,0.5044839471012735,0.508578866967131,0.491421133032869,0.22899641743623464,0.7710035825637653,0.5277372839460774,0.47226271605392256,0.5095811354540033,0.4904188645459967,0.4724739239906516,0.5275260760093484,0.6132722321307332,0.3867277678692667,0.5022502518009834,0.4977497481990167,0.47681541644819836,0.5231845835518016,0.5068554522568691,0.4931445477431309,0.5392820701768147,0.46071792982318527,0.5204605735345362,0.47953942646546377,0.500579774726724,0.49942022527327606,0.5154785164261725,0.48452148357382757,0.547407291515432,0.45259270848456806,0.4989816563412843,0.5010183436587157,0.473154081984854,0.526845918015146,0.4816538090656844,0.5183461909343157,0.1489589005748825,0.8510410994251175,0.5030634331855603,0.4969365668144397,0.4861304621337956,0.5138695378662044,0.48516971098602785,0.5148302890139722,0.625120284190081,0.374879715809919,0.4955729992250213,0.5044270007749787,0.48519796708007634,0.5148020329199237,0.48383049484975404,0.516169505150246,0.5469119369326203,0.45308806306737975,0.5172646859442824,0.4827353140557175,0.5158572537292833,0.4841427462707167,0.5197097969353586,0.4802902030646414
Addison County,50001500102,0.5160290431471258,0.4839709568528741,0.4984168262586604,0.5015831737413395,0.48085549111961284,0.5191445088803871,0.5184551154857292,0.4815448845142708,0.4899052435967952,0.5100947564032048,0.49652031384923523,0.5034796861507648,0.5100654043354175,0.48993459566458253,0.5025580926976141,0.4974419073023859,0.29978853601991273,0.7002114639800873,0.5165279618144061,0.4834720381855939,0.5168934754224094,0.4831065245775906,0.523135521024109,0.476864478975891,0.6020852732438752,0.3979147267561249,0.4872980104825454,0.5127019895174546,0.48866489065686203,0.511335109343138,0.512022298763559,0.4879777012364411,0.22483704105408023,0.7751629589459198,0.5185051380280881,0.48149486197191194,0.5104201586112814,0.48957984138871863,0.46861701933493705,0.531382980665063,0.6387038792337646,0.3612961207662354,0.48824174512683105,0.511758254873169,0.48185783024741446,0.5181421697525855,0.5084675836847584,0.4915324163152415,0.5812712157947241,0.418728784205276,0.512068391433249,0.48793160856675105,0.4981004475360693,0.5018995524639307,0.5183690635657283,0.48163093643427174,0.5566312925445416,0.44336870745545837,0.4977304502376711,0.502269549762329,0.48193862632216233,0.5180613736778377,0.4918539284503747,0.5081460715496253,0.16501457435807831,0.8349854256419217,0.5086875687227429,0.49131243127725716,0.4845080323914175,0.5154919676085825,0.4924851714200099,0.5075148285799901,0.6159211607268638,0.38407883927313624,0.5040146571340507,0.4959853428659493,0.4903926239961771,0.5096073760038229,0.4845020043124077,0.5154979956875922,0.5532770284876353,0.44672297151236473,0.5131648504243217,0.48683514957567825,0.5167516807549118,0.48324831924508815,0.5275223297664257,0.47247767023357434
Addison County,50001500103,0.6693941096416256,0.3306058903583744,0.49523931176839864,0.5047606882316014,0.49828993553386625,0.5017100644661338,0.5228373395107306,0.47716266048926936,0.6412061911894317,0.3587938088105684,0.49864128852400885,0.5013587114759912,0.5224960552662113,0.4775039447337887,0.5017278750769409,0.49827212492305906,0.45102740834737204,0.548972591652628,0.510786537628883,0.489213462371117,0.5262285652753137,0.47377143472468636,0.5193396112643041,0.4806603887356959,0.7221379343918924,0.2778620656081075,0.4865799665730502,0.5134200334269499,0.4986688009806479,0.5013311990193521,0.5230127240694521,0.47698727593054796,0.4158765321418544,0.5841234678581456,0.518470586868656,0.48152941313134406,0.5151775005954297,0.48482249940457034,0.492772638100539,0.507227361899461,0.7617919355902433,0.2382080644097567,0.49283688626072464,0.5071631137392754,0.4859336420932257,0.5140663579067744,0.5102589682591739,0.48974103174082606,0.7170794172385246,0.28292058276147536,0.5153284777564708,0.4846715222435291,0.5094938023905994,0.4905061976094007,0.5165974319949013,0.4834025680050987,0.6973422129168954,0.3026577870831046,0.4994265119621915,0.5005734880378084,0.485314081487239,0.514685918512761,0.492526104606662,0.507473895393338,0.2711276287676695,0.7288723712323305,0.5082508688536163,0.4917491311463837,0.49735408424949396,0.5026459157505061,0.5002615328031313,0.4997384671968687,0.7476376061927635,0.25236239380723646,0.5020529227664531,0.4979470772335469,0.4979082069454114,0.5020917930545886,0.48472726918913756,0.5152727308108624,0.6960652124276722,0.30393478757232784,0.5140482780070775,0.4859517219929224,0.5294164295236797,0.47058357047632027,0.5292513937950208,0.4707486062049792
Addison County,50001500104,0.7950839683591616,0.20491603164083838,0.4995124161991027,0.5004875838008973,0.4935346184768114,0.5064653815231887,0.5378321572193092,0.46216784278069073,0.756890761911044,0.243109238088956,0.49690485424939895,0.5030951457506011,0.528165595195411,0.4718344048045891,0.5024197269071204,0.49758027309287955,0.5229284048730239,0.4770715951269761,0.5124399550986704,0.48756004490132965,0.5217870385062263,0.47821296149377374,0.5253230458936111,0.4746769541063888,0.7849384988186258,0.2150615011813742,0.49700049948351105,0.5029995005164889,0.5023282124122428,0.49767178758775715,0.518653146738571,0.481346853261429,0.4899058525528714,0.5100941474471286,0.5295722407227254,0.47042775927727465,0.5144178581583018,0.48558214184169823,0.4822789118529626,0.5177210881470374,0.8370471200892224,0.16295287991077761,0.4954307040268123,0.5045692959731877,0.4944640662913652,0.5055359337086348,0.513105195934212,0.48689480406578806,0.802185643069674,0.19781435693032598,0.5198472823336189,0.4801527176663812,0.5098030132259203,0.4901969867740798,0.5220077605183736,0.47799223948162634,0.8407612011015607,0.15923879889843928,0.5114387198978677,0.4885612801021323,0.4954597501945284,0.5045402498054715,0.5091314013175358,0.49086859868246424,0.3065505248810352,0.6934494751189648,0.5054884971346544,0.49451150286534556,0.4980408651966618,0.5019591348033382,0.5037056772172008,0.4962943227827991,0.8389759445278258,0.16102405547217424,0.5055541122935716,0.49444588770642844,0.5052082820979957,0.49479171790200427,0.4918443077212467,0.5081556922787532,0.8135884979142586,0.1864115020857414,0.5146413763804984,0.4853586236195016,0.527181522834579,0.472818477165421,0.5458111140602634,0.4541888859397366
Addison County,50001500105,0.6506481188943909,0.34935188110560883,0.4969143076939846,0.5030856923060154,0.48602935753461557,0.5139706424653845,0.5259436810856619,0.4740563189143381,0.6295116848098755,0.3704883151901245,0.5029304572315628,0.4970695427684372,0.5144043167336784,0.4855956832663217,0.5030934116774832,0.4969065883225168,0.3793596157877935,0.6206403842122066,0.5157211941837011,0.4842788058162989,0.5173861230681813,0.48261387693181873,0.5193580935591364,0.4806419064408635,0.7080414529259964,0.29195854707400365,0.49622704072132284,0.5037729592786772,0.4997012358763929,0.5002987641236071,0.5179543643077134,0.4820456356922866,0.34793112567996604,0.6520688743200338,0.5193498725333935,0.4806501274666065,0.5213634071808758,0.4786365928191242,0.4814095571057015,0.5185904428942985,0.7251107700351953,0.2748892299648045,0.4993003305978706,0.5006996694021294,0.47735630093956244,0.5226436990604375,0.5091085040513685,0.49089149594863146,0.6714116797239864,0.3285883202760134,0.5128716265711504,0.4871283734288496,0.506138890404468,0.49386110959553203,0.52645194365476,0.47354805634523994,0.6960278099699946,0.3039721900300054,0.5030587202878953,0.49694127971210467,0.48726836538762963,0.5127316346123704,0.4899338083537761,0.5100661916462239,0.23380642258268483,0.766193577417315,0.5028631441499495,0.4971368558500506,0.4961931069896443,0.5038068930103557,0.5044019814371751,0.4955980185628249,0.7425282623832224,0.2574717376167774,0.5016990059538294,0.49830099404617056,0.4953689356429192,0.5046310643570808,0.49019229569240574,0.5098077043075943,0.6981472766745637,0.3018527233254364,0.5086232886949867,0.4913767113050133,0.5278115939018472,0.4721884060981528,0.5315710220344497,0.4684289779655503
Addison County,50001500106,0.7253347436765101,0.27466525632348987,0.4994022030926934,0.5005977969073065,0.4894567751994265,0.5105432248005736,0.5393801692616121,0.4606198307383878,0.6560849735639569,0.3439150264360431,0.4934125043720581,0.5065874956279419,0.5153873089552392,0.48461269104476073,0.505408929969471,0.49459107003052905,0.5478176044377776,0.45218239556222234,0.5186927815406388,0.4813072184593612,0.51348059905067,0.48651940094933,0.536655577512723,0.46334442248727703,0.6885395069263068,0.3114604930736932,0.4922369521792108,0.5077630478207892,0.5037558785366558,0.4962441214633442,0.5134380576019879,0.48656194239801204,0.522157995782082,0.477842004217918,0.5193886618697554,0.4806113381302446,0.5113946023200899,0.48860539767991007,0.4909500905795263,0.5090499094204737,0.8054134356640097,0.19458656433599034,0.4946011853949136,0.5053988146050864,0.4907742099861906,0.5092257900138094,0.5137242802363142,0.4862757197636858,0.7457298523536985,0.2542701476463015,0.5236620035527095,0.47633799644729047,0.5137793169580376,0.4862206830419624,0.5223864724033034,0.4776135275966966,0.7402728983502532,0.2597271016497467,0.5024138145578297,0.4975861854421702,0.4878873369455513,0.5121126630544487,0.4936971562431889,0.5063028437568111,0.3707167591369885,0.6292832408630115,0.510296081020835,0.48970391897916504,0.49088202062329417,0.5091179793767059,0.5108615867983882,0.4891384132016117,0.7528723864444726,0.24712761355552737,0.5041985753657982,0.4958014246342018,0.4967448855348743,0.5032551144651257,0.48102016104366785,0.5189798389563322,0.7136529312653687,0.28634706873463134,0.5092931109656205,0.4907068890343795,0.5245039260564176,0.4754960739435824,0.5291212719605567,0.47087872803944325
Addison County,50001500107,0.7532044298400522,0.2467955701599478,0.49605776642714067,0.5039422335728594,0.48610457208697405,0.513895427913026,0.5302008401757422,0.4697991598242578,0.7449392971056797,0.2550607028943203,0.4990206122759602,0.5009793877240398,0.5211354120775178,0.47886458792248215,0.5144724217158407,0.4855275782841592,0.5696597749620219,0.4303402250379781,0.5130957176340968,0.4869042823659032,0.5246076693762763,0.4753923306237236,0.5390817355931186,0.46091826440688144,0.828383109060595,0.17161689093940505,0.4912873616410295,0.5087126383589705,0.5000447264133784,0.4999552735866216,0.5344419674581016,0.4655580325418984,0.51056600202947,0.48943399797053005,0.5253646964818509,0.47463530351814914,0.5210016933829794,0.47899830661702064,0.49324625178063003,0.50675374821937,0.8663434767361355,0.13365652326386446,0.5025023922296705,0.49749760777032953,0.4954392756315875,0.5045607243684125,0.5266697645672154,0.4733302354327846,0.8419793698238582,0.15802063017614176,0.5190390743897308,0.48096092561026915,0.5116195314499355,0.4883804685500645,0.5432768642854161,0.45672313571458384,0.841731342873525,0.15826865712647503,0.5018451612345031,0.498154838765497,0.49303711011916423,0.5069628898808358,0.5077892818843424,0.4922107181156577,0.3314572111475176,0.6685427888524824,0.506398327308679,0.49360167269132105,0.4966632591639745,0.5033367408360255,0.509608477995282,0.49039152200471803,0.853668593125529,0.146331406874471,0.5021717242251345,0.4978282757748655,0.5026547701590787,0.4973452298409213,0.5018146050780765,0.49818539492192343,0.8345959417412173,0.16540405825878265,0.5158312356716295,0.4841687643283705,0.5326011255540254,0.46739887444597455,0.5462058738418849,0.45379412615811504
Addison County,50001500108,0.5884734894069792,0.41152651059302076,0.4968168182540953,0.5031831817459047,0.4905857636007476,0.5094142363992524,0.5214524209033125,0.47854757909668755,0.5740342044386154,0.42596579556138453,0.4990492602903626,0.5009507397096373,0.5176434541543115,0.4823565458456885,0.5035924921303181,0.4964075078696819,0.36975113418794725,0.6302488658120527,0.5158152949421603,0.4841847050578395,0.5171836365879785,0.48281636341202144,0.5218772325654172,0.4781227674345826,0.7078017787564892,0.29219822124351075,0.4917232669003964,0.5082767330996034,0.502865885579009,0.497134114420991,0.5159628997436455,0.48403710025635444,0.3298136673569387,0.6701863326430614,0.5286567429262924,0.4713432570737074,0.5140785700860399,0.48592142991396015,0.47688378386837454,0.5231162161316255,0.7138926560799564,0.2861073439200436,0.49655666245807256,0.5034433375419272,0.4957847080162091,0.5042152919837909,0.5082715718995909,0.491728428100409,0.6496180304110362,0.3503819695889639,0.5186928301469425,0.4813071698530574,0.510831641145003,0.489168358854997,0.516927779693181,0.48307222030681896,0.6506947427100097,0.3493052572899903,0.5058906273909248,0.49410937260907517,0.49385397483738264,0.5061460251626173,0.4910646273234942,0.5089353726765056,0.2807205899613421,0.7192794100386579,0.5089361518803314,0.49106384811966863,0.4981542917112655,0.5018457082887344,0.5009351419870817,0.49906485801291817,0.708178770307528,0.291821229692472,0.49464537755108645,0.5053546224489134,0.49045315076289747,0.5095468492371026,0.47848073636288835,0.5215192636371117,0.6589792485961402,0.3410207514038598,0.5133357388318404,0.4866642611681596,0.5382072575699459,0.461792742430054,0.5245895714301172,0.4754104285698828
Addison County,50001500109,0.5146744864720656,0.48532551352793457,0.4932891207716662,0.5067108792283338,0.4897052050914505,0.5102947949085496,0.5149100593885134,0.4850899406114865,0.5535269809111875,0.4464730190888127,0.49437367268309146,0.5056263273169086,0.522702405567155,0.4772975944328451,0.5063073446814714,0.4936926553185286,0.30652418254023234,0.6934758174597679,0.5180364563440649,0.4819635436559351,0.5098888851587746,0.4901111148412254,0.5196181974025916,0.48038180259740837,0.6117338441186336,0.38826615588136665,0.49260410385583714,0.5073958961441628,0.49509009757244277,0.5049099024275573,0.515518527062374,0.48448147293762595,0.2636381902493042,0.736361809750696,0.525554208518726,0.47444579148127397,0.5166164429644384,0.4833835570355616,0.4764787393658888,0.5235212606341112,0.6212478782527706,0.37875212174722966,0.4951476180001801,0.50485238199982,0.4944564549920703,0.5055435450079296,0.5080050069671894,0.4919949930328106,0.5646947031280648,0.43530529687193537,0.5196310516979324,0.48036894830206756,0.508761823211456,0.49123817678854403,0.5222543880556012,0.47774561194439885,0.5679934181814502,0.43200658181854995,0.5068031185058657,0.49319688149413426,0.48365534112029707,0.5163446588797029,0.4904777972425393,0.5095222027574607,0.19343372569394449,0.8065662743060558,0.5024960608557116,0.4975039391442883,0.4981448967357504,0.5018551032642496,0.49193196351325275,0.5080680364867473,0.6472607373237236,0.3527392626762767,0.5057000700210459,0.4942999299789541,0.4958840768370162,0.5041159231629838,0.4788504748648799,0.5211495251351201,0.5725891414660468,0.42741085853395344,0.5170025269142694,0.4829974730857306,0.5383061837305497,0.46169381626945033,0.5363496960907742,0.4636503039092258
Addison County,50001500110,0.7391114775734478,0.26088852242655225,0.5020459192795511,0.49795408072044894,0.4920190026319032,0.5079809973680968,0.5310859617087563,0.4689140382912437,0.7313058015028672,0.2686941984971329,0.5017862431969468,0.49821375680305324,0.5236647540967952,0.47633524590320475,0.5141287486189785,0.48587125138102144,0.5665317831135941,0.4334682168864059,0.513640198358617,0.4863598016413831,0.5269204995844776,0.4730795004155223,0.5424827210712106,0.45751727892878935,0.7874910794600862,0.2125089205399138,0.49259388257267,0.50740611742733,0.506672544686288,0.49332745531371197,0.5180881575340418,0.4819118424659582,0.5398193502427616,0.4601806497572384,0.5244553958964265,0.47554460410357347,0.52099387823624,0.47900612176376006,0.48872078030902794,0.511279219690972,0.8112774419771428,0.18872255802285723,0.49675318528523055,0.5032468147147694,0.49151342796212394,0.5084865720378761,0.5068677708758018,0.49313222912419813,0.7834206678929619,0.21657933210703809,0.5138528527457841,0.48614714725421593,0.5051292627994501,0.4948707372005498,0.527396727801978,0.472603272198022,0.7947895124822246,0.2052104875177754,0.5099083849676418,0.49009161503235826,0.48993214604094254,0.5100678539590574,0.5021632570649552,0.4978367429350448,0.3681777300259518,0.6318222699740482,0.5069381982862627,0.49306180171373726,0.49480859507767194,0.5051914049223281,0.5113005539777191,0.4886994460222809,0.8309995918216553,0.16900040817834472,0.5016718307303112,0.4983281692696888,0.5015893818238658,0.4984106181761342,0.4988493224080848,0.5011506775919152,0.7783460010874937,0.2216539989125063,0.514533709627175,0.485466290372825,0.5292594520247774,0.4707405479752226,0.5371270161548879,0.4628729838451121
