county,race,cand,mean,sd,ci_95_lower,ci_95_upper
Carson City,vap_white,pre_16_dem_cli,0.34924108495220085,0.04402859974774925,0.27158036875398156,0.4397217560066823
Carson City,vap_white,pre_16_rep_tru,0.650758915047799,0.044028599747749246,0.5602782439933176,0.7284196312460183
Carson City,vap_black,pre_16_dem_cli,0.45628478965471836,0.173875056532232,0.14674393735667848,0.7906220742264736
Carson City,vap_black,pre_16_rep_tru,0.5437152103452817,0.173875056532232,0.20937792577352649,0.8532560626433215
Carson City,vap_hisp,pre_16_dem_cli,0.6350427815333547,0.1507295968637451,0.32368041607877784,0.8778656672165221
Carson City,vap_hisp,pre_16_rep_tru,0.3649572184666453,0.1507295968637451,0.1221343327834778,0.676319583921222
Carson City,vap_asian,pre_16_dem_cli,0.5220237158091706,0.16932214274270005,0.19425898914093778,0.8308640336031967
Carson City,vap_asian,pre_16_rep_tru,0.47797628419082927,0.16932214274270005,0.16913596639680314,0.8057410108590621
Carson City,vap_aian,pre_16_dem_cli,0.477489376909949,0.1893355510870087,0.1084318857500975,0.8368652807719266
Carson City,vap_aian,pre_16_rep_tru,0.522510623090051,0.1893355510870087,0.16313471922807335,0.8915681142499025
Carson City,vap_oth_b,pre_16_dem_cli,0.5229875295385251,0.17490642132443698,0.19088951203950424,0.8569488405448679
Carson City,vap_oth_b,pre_16_rep_tru,0.4770124704614748,0.17490642132443698,0.14305115945513208,0.8091104879604957
Carson City,vap_white,uss_16_dem_cor,0.3662216669367393,0.04359766132843222,0.2886971690019896,0.45622346175312384
Carson City,vap_white,uss_16_rep_hec,0.6337783330632606,0.04359766132843222,0.5437765382468761,0.7113028309980102
Carson City,vap_black,uss_16_dem_cor,0.4872489563651605,0.1913563045920051,0.1413956549094741,0.8723492816799167
Carson City,vap_black,uss_16_rep_hec,0.5127510436348395,0.1913563045920051,0.12765071832008335,0.858604345090526
Carson City,vap_hisp,uss_16_dem_cor,0.599590694716722,0.1512813555068312,0.29832126263304093,0.8633270702177687
Carson City,vap_hisp,uss_16_rep_hec,0.400409305283278,0.1512813555068312,0.1366729297822312,0.701678737366959
Carson City,vap_asian,uss_16_dem_cor,0.5166080269065892,0.16340545316935046,0.1969098206845235,0.8135054611410265
Carson City,vap_asian,uss_16_rep_hec,0.4833919730934107,0.16340545316935046,0.1864945388589732,0.8030901793154762
Carson City,vap_aian,uss_16_dem_cor,0.4904911594737312,0.17784657372683083,0.15567450336702665,0.8207389690282781
Carson City,vap_aian,uss_16_rep_hec,0.5095088405262689,0.17784657372683083,0.179261030971722,0.8443254966329734
Carson City,vap_oth_b,uss_16_dem_cor,0.5277658668512658,0.17051494046990817,0.1875428661687269,0.826110352084394
Carson City,vap_oth_b,uss_16_rep_hec,0.47223413314873414,0.17051494046990817,0.17388964791560593,0.8124571338312729
Carson City,vap_white,uss_18_dem_ros,0.36155680053908285,0.04006849595362905,0.2917788797635399,0.4495297797968356
Carson City,vap_white,uss_18_rep_hel,0.6384431994609171,0.04006849595362905,0.5504702202031643,0.7082211202364599
Carson City,vap_black,uss_18_dem_ros,0.47163116652632675,0.18419654831522633,0.1386786661655461,0.8288857476771913
Carson City,vap_black,uss_18_rep_hel,0.5283688334736732,0.18419654831522633,0.1711142523228087,0.8613213338344539
Carson City,vap_hisp,uss_18_dem_ros,0.6429676434398834,0.13621946425015188,0.3328420678697271,0.8695658114598551
Carson City,vap_hisp,uss_18_rep_hel,0.35703235656011656,0.13621946425015188,0.1304341885401448,0.6671579321302727
Carson City,vap_asian,uss_18_dem_ros,0.5031191544044146,0.18407193256387208,0.1627209137134771,0.8769596405127502
