county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_16_rep_pau,vap_white.uss_16_dem_gra,vap_black.uss_16_rep_pau,vap_black.uss_16_dem_gra,vap_hisp.uss_16_rep_pau,vap_hisp.uss_16_dem_gra,vap_oth.uss_16_rep_pau,vap_oth.uss_16_dem_gra,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_mcc,vap_white.uss_20_dem_mcg,vap_black.uss_20_rep_mcc,vap_black.uss_20_dem_mcg,vap_hisp.uss_20_rep_mcc,vap_hisp.uss_20_dem_mcg,vap_oth.uss_20_rep_mcc,vap_oth.uss_20_dem_mcg
Adair County,2100100A102,0.9738481184949923,0.026151881505007652,0.435595421001029,0.564404578998971,0.5007955107583607,0.4992044892416393,0.4639893568893437,0.5360106431106564,0.8329235171325923,0.16707648286740773,0.48128429096500064,0.5187157090349993,0.481702871535634,0.5182971284643659,0.46772390164785804,0.532276098352142,0.8629316439600742,0.13706835603992581,0.5028193649584511,0.49718063504154886,0.47446241467771466,0.5255375853222853,0.4640712414673238,0.5359287585326762,0.8179368760855807,0.1820631239144193,0.4893574432575989,0.5106425567424011,0.49676323080132473,0.5032367691986752,0.47413212967164675,0.5258678703283532
Adair County,2100100A104,0.9505048714011712,0.04949512859882877,0.4372541671982818,0.5627458328017182,0.46783772509993976,0.5321622749000603,0.44877762256425835,0.5512223774357417,0.8020540369158601,0.19794596308413986,0.4757161242285896,0.5242838757714104,0.48441545673442715,0.5155845432655729,0.47304017147530075,0.5269598285246992,0.8640281558110757,0.13597184418892422,0.496806878728535,0.503193121271465,0.4807624118158509,0.5192375881841491,0.456300403540785,0.5436995964592151,0.8274764563677612,0.17252354363223874,0.4889226104296104,0.5110773895703896,0.5013029410646207,0.49869705893537936,0.47234723838056897,0.5276527616194311
Adair County,2100100A105,0.9111788324308167,0.08882116756918337,0.43798815807780545,0.5620118419221946,0.4738700836437852,0.5261299163562148,0.45608593799335223,0.5439140620066478,0.835769050481826,0.164230949518174,0.4730564929219014,0.5269435070780986,0.47758715551087666,0.5224128444891233,0.4674757362278395,0.5325242637721604,0.8602051424533398,0.1397948575466602,0.49887129038366473,0.5011287096163353,0.47385377561322695,0.526146224386773,0.4587474645786433,0.5412525354213568,0.8105091634982292,0.18949083650177082,0.493479611952956,0.506520388047044,0.49830039336940596,0.5016996066305941,0.4737649504347848,0.5262350495652152
Adair County,2100100B102,0.8097019753689954,0.19029802463100462,0.405576718328575,0.594423281671425,0.4641607393808762,0.5358392606191238,0.44164815706780824,0.5583518429321918,0.7727569519828725,0.2272430480171275,0.47710207184479386,0.5228979281552062,0.47465312225554457,0.5253468777444554,0.4599079336629611,0.5400920663370389,0.9142547007505535,0.0857452992494465,0.5034466441632768,0.4965533558367232,0.4815175142302464,0.5184824857697536,0.45958651971017905,0.540413480289821,0.8716452314149984,0.12835476858500167,0.4868960044956987,0.5131039955043013,0.5083449932191781,0.4916550067808219,0.4778095322562379,0.5221904677437621
Adair County,2100100B104,0.9383801601392725,0.06161983986072752,0.43503436621415253,0.5649656337858475,0.47221966863631326,0.5277803313636867,0.45203376633799625,0.5479662336620038,0.8209028559990518,0.17909714400094803,0.4769635108847883,0.5230364891152117,0.4722175726955979,0.5277824273044022,0.47351207312905147,0.5264879268709486,0.8836389540951876,0.11636104590481222,0.5023958522905055,0.49760414770949446,0.4703804549776598,0.5296195450223402,0.4584410621113906,0.5415589378886094,0.8417584934449115,0.15824150655508845,0.486869147874132,0.513130852125868,0.4978056601538846,0.5021943398461154,0.47132203711489684,0.5286779628851032
Adair County,2100100C102,0.8360747177161683,0.1639252822838317,0.43083155827400876,0.5691684417259912,0.4645459553423356,0.5354540446576643,0.45150533772603413,0.5484946622739659,0.7253737903929541,0.27462620960704587,0.4719654145509117,0.5280345854490883,0.4772236887034929,0.5227763112965071,0.45794482681995913,0.5420551731800409,0.890366706051949,0.10963329394805102,0.4971311568267497,0.5028688431732503,0.4792434871013565,0.5207565128986434,0.4587517972752115,0.5412482027247886,0.8545216582290088,0.14547834177099123,0.4818123605180654,0.5181876394819346,0.5090230949421486,0.49097690505785146,0.47189956654273174,0.5281004334572682
Adair County,2100100C104,0.8474149171163651,0.15258508288363495,0.4396008556656356,0.5603991443343643,0.47313678542933146,0.5268632145706685,0.448905880261925,0.551094119738075,0.7641314084889412,0.2358685915110588,0.47587574640039987,0.5241242535996001,0.4771821554266321,0.5228178445733679,0.46262799775550734,0.5373720022444927,0.8531426519460692,0.14685734805393083,0.5042385063986711,0.49576149360132893,0.4794768638910684,0.5205231361089315,0.45410175818564646,0.5458982418143535,0.8156917251709417,0.1843082748290583,0.4904502584993429,0.5095497415006571,0.502508347799814,0.497491652200186,0.4677852394030319,0.532214760596968
Adair County,2100100D101,0.9061079921636936,0.09389200783630637,0.44005789713562704,0.559942102864373,0.47052598281918,0.52947401718082,0.4481943218869826,0.5518056781130172,0.8450686693916939,0.15493133060830616,0.476683850281258,0.5233161497187419,0.4803986340877175,0.5196013659122826,0.46974261327192274,0.5302573867280772,0.8659154102927898,0.1340845897072102,0.5028800224917842,0.4971199775082158,0.47733652045652214,0.5226634795434779,0.45139127228856757,0.5486087277114324,0.8258220726749592,0.17417792732504073,0.4906870784004352,0.5093129215995646,0.494264025714501,0.505735974285499,0.4730012026775853,0.5269987973224147
Adair County,2100100D103,0.9182228604952158,0.08177713950478444,0.43264770419352644,0.5673522958064735,0.4773741661847635,0.5226258338152364,0.45309821377879195,0.5469017862212081,0.7775240053974349,0.2224759946025653,0.47763512019868876,0.5223648798013113,0.4799131659008985,0.5200868340991015,0.46266614928732125,0.5373338507126788,0.878405447854999,0.12159455214500121,0.4989605676444229,0.5010394323555771,0.4795526573050471,0.520447342694953,0.44856258300010127,0.5514374169998988,0.8427048588263476,0.15729514117365265,0.486020394177488,0.513979605822512,0.5004883108984404,0.49951168910155963,0.4666006759677266,0.5333993240322734
Adair County,2100100D104,0.7801434033578458,0.21985659664215415,0.41584148111632274,0.5841585188836773,0.46801657840868355,0.5319834215913164,0.4370066889200315,0.5629933110799684,0.6534063793745744,0.3465936206254257,0.4585118774263208,0.5414881225736792,0.4683594263760688,0.5316405736239312,0.4596536205341198,0.5403463794658803,0.9058132415216288,0.09418675847837127,0.49799121415618247,0.5020087858438176,0.4832280826710398,0.5167719173289602,0.46205702443625934,0.5379429755637407,0.8637057341632686,0.1362942658367314,0.4897615714775543,0.5102384285224457,0.5034488204110916,0.4965511795889084,0.47385606399160873,0.5261439360083913
