county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.uss_16_rep_rub,vap_white.uss_16_dem_mur,vap_black.uss_16_rep_rub,vap_black.uss_16_dem_mur,vap_hisp.uss_16_rep_rub,vap_hisp.uss_16_dem_mur,vap_asian.uss_16_rep_rub,vap_asian.uss_16_dem_mur,vap_aian.uss_16_rep_rub,vap_aian.uss_16_dem_mur,vap_oth_b.uss_16_rep_rub,vap_oth_b.uss_16_dem_mur,vap_white.uss_18_rep_sco,vap_white.uss_18_dem_nel,vap_black.uss_18_rep_sco,vap_black.uss_18_dem_nel,vap_hisp.uss_18_rep_sco,vap_hisp.uss_18_dem_nel,vap_asian.uss_18_rep_sco,vap_asian.uss_18_dem_nel,vap_aian.uss_18_rep_sco,vap_aian.uss_18_dem_nel,vap_oth_b.uss_18_rep_sco,vap_oth_b.uss_18_dem_nel,vap_white.gov_18_rep_des,vap_white.gov_18_dem_gil,vap_black.gov_18_rep_des,vap_black.gov_18_dem_gil,vap_hisp.gov_18_rep_des,vap_hisp.gov_18_dem_gil,vap_asian.gov_18_rep_des,vap_asian.gov_18_dem_gil,vap_aian.gov_18_rep_des,vap_aian.gov_18_dem_gil,vap_oth_b.gov_18_rep_des,vap_oth_b.gov_18_dem_gil,vap_white.atg_18_rep_moo,vap_white.atg_18_dem_sha,vap_black.atg_18_rep_moo,vap_black.atg_18_dem_sha,vap_hisp.atg_18_rep_moo,vap_hisp.atg_18_dem_sha,vap_asian.atg_18_rep_moo,vap_asian.atg_18_dem_sha,vap_aian.atg_18_rep_moo,vap_aian.atg_18_dem_sha,vap_oth_b.atg_18_rep_moo,vap_oth_b.atg_18_dem_sha,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid
Alachua County,12001000001,0.6665022265536529,0.3334977734463472,0.14083073021260983,0.8591692697873902,0.20885800500897403,0.791141994991026,0.30032764026083414,0.6996723597391659,0.477861266503972,0.522138733496028,0.37160611046289826,0.6283938895371017,0.6575797802227682,0.3424202197772318,0.12334315462470223,0.8766568453752978,0.2301308799733791,0.7698691200266209,0.39468520975684057,0.6053147902431595,0.5368786245726703,0.4631213754273296,0.3631814121313202,0.6368185878686797,0.5780352060985274,0.4219647939014726,0.10236201403822469,0.8976379859617754,0.18789398449317019,0.8121060155068298,0.2945452086828167,0.7054547913171832,0.4898820665912894,0.5101179334087106,0.38024950847117467,0.6197504915288253,0.6177757423659817,0.3822242576340183,0.14320056104252535,0.8567994389574747,0.14697955108171154,0.8530204489182884,0.31465202377178286,0.6853479762282171,0.5402225847063588,0.45977741529364125,0.3445978352265045,0.6554021647734956,0.6550314509854457,0.34496854901455437,0.12692368217319744,0.8730763178268026,0.2148428506845246,0.7851571493154754,0.28702112342645175,0.7129788765735482,0.4876822762816285,0.5123177237183715,0.30296728340670676,0.6970327165932932,0.6473809421642275,0.3526190578357725,0.13256353693565917,0.8674364630643409,0.212700601403303,0.787299398596697,0.27616904106324885,0.7238309589367512,0.4815881030477684,0.5184118969522316,0.4120677739776753,0.5879322260223246
Alachua County,12001000002,0.6811314757953281,0.318868524204672,0.1483181676738008,0.8516818323261992,0.2011516696375983,0.7988483303624017,0.3054577909227413,0.6945422090772587,0.484064813859684,0.5159351861403161,0.370783320140266,0.6292166798597341,0.7329995985504861,0.2670004014495139,0.12827427025977328,0.8717257297402268,0.23729998006878364,0.7627000199312164,0.3990907319259757,0.6009092680740243,0.5393725770008132,0.4606274229991868,0.3696821903569351,0.6303178096430649,0.6520235429016941,0.34797645709830594,0.1313693803798159,0.8686306196201841,0.19558276935186034,0.8044172306481396,0.29867801769248653,0.7013219823075135,0.5007701736464794,0.49922982635352064,0.38596882879862143,0.6140311712013786,0.6737439311241636,0.3262560688758363,0.15253575477737424,0.8474642452226258,0.16013592421820816,0.8398640757817919,0.3217145229986063,0.6782854770013936,0.5327941329522312,0.4672058670477688,0.35105676431539434,0.6489432356846057,0.7214615739660387,0.27853842603396123,0.12662104703672616,0.8733789529632738,0.21303231375241843,0.7869676862475815,0.29008043655879073,0.7099195634412092,0.48694716854711956,0.5130528314528805,0.3077362977157638,0.6922637022842362,0.6750444219234059,0.3249555780765941,0.13129020706446612,0.8687097929355339,0.2091949969078748,0.7908050030921252,0.27382834423651936,0.7261716557634806,0.4807841106383876,0.5192158893616123,0.4083520733280114,0.5916479266719886
Alachua County,12001000003,0.5342522928220304,0.4657477071779697,0.14555077170721994,0.85444922829278,0.1997432658135114,0.8002567341864883,0.3015437781408013,0.6984562218591986,0.48115540616959285,0.5188445938304072,0.36591184426124657,0.6340881557387534,0.5520203393655042,0.4479796606344958,0.10982983240606757,0.8901701675939324,0.22471463312032974,0.7752853668796702,0.39203827828914056,0.6079617217108595,0.5315036246813446,0.4684963753186554,0.3580450615731474,0.6419549384268526,0.5017369132748369,0.498263086725163,0.04834443025746176,0.9516555697425383,0.1873776255242009,0.8126223744757989,0.2971349266644679,0.702865073335532,0.49753729354090265,0.5024627064590973,0.37545817800436976,0.6245418219956302,0.5196976425028784,0.48030235749712163,0.1290177231977759,0.8709822768022241,0.15546996048690673,0.844530039513093,0.31253801124942127,0.6874619887505787,0.5357420272960621,0.4642579727039378,0.34511413599228624,0.6548858640077138,0.5644969239382983,0.43550307606170163,0.08930763895208296,0.9106923610479171,0.21384459415122184,0.786155405848778,0.2886651540772555,0.7113348459227444,0.4945677066695399,0.5054322933304601,0.30089960660455195,0.699100393395448,0.5344900759481225,0.4655099240518775,0.09898815406293988,0.9010118459370601,0.20870757200755152,0.7912924279924483,0.27774443529384135,0.7222555647061586,0.4804804248357901,0.5195195751642099,0.40395542316686833,0.5960445768331317
Alachua County,12001000004,0.6951413039367126,0.30485869606328736,0.13609834685993366,0.8639016531400663,0.1988734333185334,0.8011265666814665,0.30103116775325833,0.6989688322467417,0.47503696620671265,0.5249630337932873,0.37356621167491977,0.6264337883250802,0.7011915383827335,0.29880846161726654,0.1166846619346944,0.8833153380653056,0.23431331027188293,0.765686689728117,0.39994225533668437,0.6000577446633156,0.5365549264745323,0.4634450735254677,0.35898569348374404,0.6410143065162559,0.6498930468044581,0.35010695319554186,0.10331425654828162,0.8966857434517184,0.19254603338298626,0.8074539666170137,0.30085786039383255,0.6991421396061674,0.4943884320791859,0.5056115679208141,0.3903033001026284,0.6096966998973716,0.6803284645476328,0.31967153545236715,0.1386108949682901,0.86138910503171,0.1688893798465038,0.8311106201534962,0.32047422763552835,0.6795257723644716,0.5342257862963014,0.4657742137036986,0.35032572570100196,0.649674274298998,0.7162992573372877,0.2837007426627122,0.1306210177629064,0.8693789822370936,0.21362538807006698,0.7863746119299331,0.291156009324324,0.708843990675676,0.49437937727244274,0.5056206227275573,0.30503511065028455,0.6949648893497155,0.6773427695784635,0.3226572304215365,0.13432628141522368,0.8656737185847764,0.21425542599001043,0.7857445740099895,0.26927215980897934,0.7307278401910207,0.47692600773816285,0.5230739922618372,0.4064548553486611,0.5935451446513389
Alachua County,12001000005,0.7588791942821107,0.24112080571788927,0.13570430922313498,0.864295690776865,0.2010280994431865,0.7989719005568136,0.29807911559535616,0.7019208844046436,0.4734421318487091,0.5265578681512909,0.3752140202715023,0.6247859797284977,0.7155654001063669,0.2844345998936331,0.1209233686852619,0.8790766313147381,0.23113689128958503,0.768863108710415,0.400539773070307,0.5994602269296927,0.5357161017650344,0.4642838982349657,0.36145521035855466,0.6385447896414453,0.6727362072317639,0.3272637927682361,0.11003865647825654,0.8899613435217434,0.19051973679148043,0.8094802632085196,0.29356755929867495,0.706432440701325,0.5035721810301855,0.49642781896981447,0.3884793847218716,0.6115206152781284,0.7547425294802372,0.24525747051976282,0.1300798516066064,0.8699201483933936,0.1618453522802515,0.8381546477197485,0.31468483590141066,0.6853151640985891,0.5399037792732865,0.46009622072671347,0.3585791692066253,0.6414208307933748,0.7720871035488184,0.2279128964511816,0.12909542007718314,0.8709045799228169,0.21186805076968038,0.7881319492303196,0.29064064211088864,0.7093593578891113,0.49508690879584993,0.5049130912041501,0.31929220426349786,0.6807077957365022,0.7655135071334027,0.23448649286659726,0.11774593360386938,0.8822540663961306,0.20667121136693278,0.7933287886330672,0.26814097279178245,0.7318590272082174,0.4782950938383858,0.5217049061616141,0.4158675756176037,0.5841324243823963
Alachua County,12001000006,0.7471735534069481,0.2528264465930521,0.1379560109965939,0.8620439890034061,0.2108361224365385,0.7891638775634615,0.3039802476860836,0.6960197523139163,0.478913019094619,0.521086980905381,0.37881098414904524,0.6211890158509548,0.7327731914160981,0.2672268085839021,0.107656694589903,0.892343305410097,0.23385272863925904,0.766147271360741,0.3970475202635884,0.6029524797364116,0.5374607922255165,0.4625392077744835,0.3648668622271481,0.635133137772852,0.6792147674064335,0.3207852325935667,0.10971949253983077,0.8902805074601693,0.19180174034145095,0.8081982596585491,0.29577517792005104,0.704224822079949,0.49946954674385424,0.5005304532561458,0.38448871532558726,0.6155112846744127,0.7165417582458017,0.28345824175419854,0.1310779423807612,0.8689220576192388,0.158695790535936,0.841304209464064,0.3164046544107986,0.6835953455892013,0.5318348102939782,0.4681651897060218,0.3483365249279787,0.6516634750720213,0.735203100217798,0.2647968997822023,0.11008477388180352,0.8899152261181965,0.20957266321000165,0.7904273367899983,0.28856463561700446,0.7114353643829955,0.49094781280352867,0.5090521871964713,0.2987939006179565,0.7012060993820435,0.7273855260905229,0.27261447390947735,0.12157067681081889,0.8784293231891811,0.21278903661194787,0.7872109633880521,0.2685082110085401,0.7314917889914598,0.47835155618520475,0.5216484438147952,0.4071705819718438,0.5928294180281563
Alachua County,12001000007,0.7060905980055715,0.2939094019944285,0.14201173825155541,0.8579882617484446,0.21250796641618594,0.787492033583814,0.2985658916310366,0.7014341083689635,0.48056713918570604,0.519432860814294,0.37674794544825474,0.6232520545517453,0.711735595618083,0.2882644043819171,0.12099606410982679,0.8790039358901732,0.24853680253776392,0.7514631974622361,0.3965855101815746,0.6034144898184254,0.5356447269285679,0.4643552730714321,0.36686100107568986,0.6331389989243101,0.6444715258492071,0.3555284741507929,0.13936580567835466,0.8606341943216453,0.209314452970766,0.790685547029234,0.2976352879800635,0.7023647120199364,0.49925604857202815,0.5007439514279719,0.38775910288103627,0.6122408971189637,0.6585578169640819,0.34144218303591806,0.16050866998104424,0.8394913300189557,0.18268908960790944,0.8173109103920906,0.32423259657894926,0.6757674034210507,0.5529416128755242,0.4470583871244757,0.348581554839934,0.651418445160066,0.7195254096421938,0.2804745903578062,0.1403403623305362,0.8596596376694637,0.2248605305090075,0.7751394694909924,0.2874159058145792,0.7125840941854208,0.4959278156180215,0.5040721843819784,0.3081356693634176,0.6918643306365824,0.689610383421757,0.31038961657824304,0.14416968427268562,0.8558303157273144,0.2178812156296306,0.7821187843703694,0.2702945193254333,0.7297054806745668,0.4845341318872829,0.5154658681127171,0.4167241947097359,0.5832758052902641
Alachua County,12001000008,0.7543015786746962,0.2456984213253039,0.12853117896214428,0.8714688210378557,0.21895814885693762,0.7810418511430623,0.30719566620559696,0.692804333794403,0.47798966662207437,0.5220103333779256,0.38018904318081165,0.6198109568191881,0.7664845198931074,0.23351548010689263,0.12880202720085476,0.8711979727991452,0.25686556951537687,0.7431344304846231,0.4008263382849818,0.5991736617150182,0.5360551837065272,0.46394481629347284,0.37187262038193364,0.6281273796180662,0.6979547935941656,0.3020452064058345,0.10606494078556306,0.89393505921443694,0.21775440391647427,0.7822455960835257,0.3020727232110151,0.6979272767889849,0.5023133905453395,0.4976866094546604,0.40006874459712954,0.5999312554028703,0.7312124653554991,0.2687875346445009,0.14045085523212233,0.8595491447678777,0.1846237977072543,0.8153762022927457,0.3237446425919576,0.6762553574080424,0.5401192989883168,0.45988070101168327,0.3569185943756412,0.6430814056243588,0.7692891592475237,0.23071084075247628,0.14826782483085565,0.8517321751691443,0.2333055626272224,0.7666944373727775,0.2955443523036866,0.7044556476963134,0.49178624544174826,0.5082137545582517,0.3144410023794108,0.6855589976205889,0.7275833535083551,0.27241664649164493,0.13060119575729973,0.8693988042427003,0.21960417082950492,0.7803958291704951,0.27471260158578586,0.7252873984142142,0.48546261941351776,0.5145373805864822,0.4071316482387763,0.5928683517612234
Alachua County,12001000009,0.6986580256430004,0.30134197435699955,0.13879587530052717,0.8612041246994728,0.2130552396835741,0.7869447603164259,0.2956509510005377,0.7043490489994624,0.47390377600531225,0.526096223994688,0.3710239066398711,0.6289760933601289,0.7517496003078711,0.2482503996921289,0.120583191210262,0.879416808789738,0.24815320885300918,0.7518467911469908,0.4004820097724188,0.5995179902275811,0.5342088408642949,0.4657911591357053,0.3722466728496971,0.627753327150303,0.6211277948109655,0.37887220518903447,0.05783862752247,0.94216137247753,0.1954308142579634,0.8045691857420366,0.2995223824570117,0.7004776175429883,0.4953899589594676,0.5046100410405326,0.3853032747203749,0.6146967252796252,0.653995322319428,0.3460046776805719,0.13024024219660985,0.8697597578033901,0.1551575423893091,0.8448424576106909,0.3184087784018321,0.6815912215981679,0.5336052634143515,0.4663947365856487,0.34476755893001587,0.6552324410699841,0.7088899576696764,0.29111004233032356,0.1268385429276946,0.8731614570723054,0.2155523031908602,0.7844476968091398,0.2873407389279352,0.7126592610720648,0.48772503317129556,0.5122749668287047,0.3133503011886057,0.6866496988113943,0.5896417042119348,0.41035829578806515,0.11823287495089535,0.8817671250491047,0.21342134788916078,0.7865786521108392,0.27030058487158504,0.729699415128415,0.4806086463823806,0.5193913536176196,0.4017384072272237,0.5982615927727762
Alachua County,12001000010,0.6617012392569006,0.3382987607430994,0.14193897149973178,0.8580610285002682,0.20798790728507005,0.7920120927149299,0.3013626669933141,0.6986373330066858,0.480378370272252,0.5196216297277481,0.3754093909427114,0.6245906090572886,0.686603653256555,0.3133963467434449,0.13426267315608556,0.8657373268439145,0.22833110620284544,0.7716688937971545,0.393869082137049,0.606130917862951,0.5397972063626345,0.46020279363736544,0.35425614573944403,0.6457438542605559,0.6130953290821004,0.3869046709178996,0.13856229982905657,0.8614377001709435,0.19499692266135848,0.8050030773386415,0.29569221149771935,0.7043077885022806,0.5051383674521136,0.4948616325478864,0.38525032065834974,0.6147496793416503,0.6390438682143875,0.3609561317856125,0.15493693326116095,0.845063066738839,0.16238366633001772,0.8376163336699822,0.31853547021426554,0.6814645297857345,0.5383097980610362,0.4616902019389638,0.3648431265742451,0.6351568734257549,0.7069059491281867,0.2930940508718133,0.12815164968383425,0.8718483503161658,0.21609253446637883,0.7839074655336211,0.2914682953988009,0.7085317046011991,0.4913222149652,0.5086777850348,0.31356018560302007,0.6864398143969799,0.6583077761343321,0.3416922238656679,0.14929660845836132,0.8507033915416387,0.20755613269423145,0.7924438673057685,0.27730506969570373,0.7226949303042962,0.475588832939877,0.5244111670601229,0.40818380263520104,0.591816197364799
