county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_16_rep_isa,vap_white.uss_16_dem_bar,vap_black.uss_16_rep_isa,vap_black.uss_16_dem_bar,vap_hisp.uss_16_rep_isa,vap_hisp.uss_16_dem_bar,vap_oth.uss_16_rep_isa,vap_oth.uss_16_dem_bar,vap_white.gov_18_rep_kem,vap_white.gov_18_dem_abr,vap_black.gov_18_rep_kem,vap_black.gov_18_dem_abr,vap_hisp.gov_18_rep_kem,vap_hisp.gov_18_dem_abr,vap_oth.gov_18_rep_kem,vap_oth.gov_18_dem_abr,vap_white.atg_18_rep_car,vap_white.atg_18_dem_bai,vap_black.atg_18_rep_car,vap_black.atg_18_dem_bai,vap_hisp.atg_18_rep_car,vap_hisp.atg_18_dem_bai,vap_oth.atg_18_rep_car,vap_oth.atg_18_dem_bai,vap_white.sos_18_rep_raf,vap_white.sos_18_dem_bar,vap_black.sos_18_rep_raf,vap_black.sos_18_dem_bar,vap_hisp.sos_18_rep_raf,vap_hisp.sos_18_dem_bar,vap_oth.sos_18_rep_raf,vap_oth.sos_18_dem_bar,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_per,vap_white.uss_20_dem_oss,vap_black.uss_20_rep_per,vap_black.uss_20_dem_oss,vap_hisp.uss_20_rep_per,vap_hisp.uss_20_dem_oss,vap_oth.uss_20_rep_per,vap_oth.uss_20_dem_oss
Appling County,13001000002,0.6397782588301884,0.3602217411698116,0.14609096936661461,0.8539090306333854,0.5306070353412581,0.4693929646587419,0.49270713390861054,0.5072928660913895,0.7952044125867969,0.20479558741320314,0.16119570989234078,0.8388042901076592,0.5618312897678311,0.4381687102321689,0.5310419617887091,0.4689580382112909,0.5721759093396759,0.42782409066032406,0.14574554771950868,0.8542544522804913,0.5584705008037094,0.4415294991962906,0.5240765439394337,0.4759234560605663,0.6280934034231469,0.37190659657685315,0.14992078291110006,0.8500792170888999,0.5041170511879909,0.49588294881200906,0.48839791145621053,0.5116020885437894,0.5751077572732001,0.4248922427268,0.12855018040977034,0.8714498195902296,0.3982346541662069,0.6017653458337932,0.4617530274959865,0.5382469725040135,0.658473227149446,0.34152677285055405,0.15079386860424035,0.8492061313957596,0.4704690430009528,0.5295309569990472,0.49032524029216834,0.5096747597078317,0.6836476651135385,0.31635233488646153,0.14882071980783773,0.8511792801921623,0.4454279343953495,0.5545720656046504,0.4445186363511651,0.5554813636488348
Appling County,1300100001B,0.9393329868175522,0.060667013182447875,0.3384845331180058,0.6615154668819943,0.5787500610846235,0.4212499389153766,0.4891947154205024,0.5108052845794976,0.9420842769067578,0.057915723093242166,0.3733513610133148,0.6266486389866852,0.5970750081897941,0.40292499181020586,0.516760546277548,0.48323945372245203,0.9635047099021391,0.03649529009786087,0.3169046973986444,0.6830953026013555,0.5738500551585747,0.42614994484142527,0.4800147053270999,0.5199852946729001,0.936563656017055,0.06343634398294498,0.33328633042938033,0.6667136695706197,0.5460840135559941,0.4539159864440059,0.4775223437288017,0.5224776562711984,0.8703081396777801,0.12969186032221988,0.3149115640635473,0.6850884359364527,0.44808803528874547,0.5519119647112546,0.46832092792346436,0.5316790720765356,0.9426742545034004,0.057325745496599606,0.33900054783713823,0.6609994521628617,0.5254154581965096,0.47458454180349036,0.4810057088876241,0.5189942911123759,0.9188642296130932,0.08113577038690678,0.3622268298278328,0.6377731701721673,0.5190239053640743,0.48097609463592567,0.4253175243449204,0.5746824756550797
Appling County,1300100001C,0.9835074390437167,0.016492560956283264,0.4248553055641446,0.5751446944358555,0.65253703165052,0.34746296834948,0.5275980684218329,0.4724019315781672,0.9772800232185894,0.022719976781410554,0.4031958007950317,0.5968041992049683,0.6450249384495758,0.3549750615504243,0.5455296653598558,0.4544703346401442,0.9895870739174736,0.010412926082526388,0.4078185328090869,0.5921814671909131,0.6529469708999863,0.3470530291000137,0.5407987232197298,0.4592012767802702,0.9781307283903448,0.021869271609655235,0.36470239517693304,0.635297604823067,0.5952305917012946,0.40476940829870545,0.512736396303924,0.487263603696076,0.890639108638365,0.1093608913616349,0.29268995668826064,0.7073100433117394,0.4447344330089953,0.5552655669910047,0.4717396688061833,0.5282603311938167,0.988324776303494,0.011675223696505966,0.4819513932590157,0.5180486067409843,0.6163221235723437,0.3836778764276562,0.5344292125935816,0.4655707874064184,0.9864562441974211,0.013543755802578899,0.5085760730426491,0.49142392695735093,0.5979141269882774,0.40208587301172255,0.47061634951942266,0.5293836504805773
Appling County,1300100003C,0.941248748612297,0.05875125138770294,0.2954027433202322,0.7045972566797678,0.6120921522417936,0.38790784775820636,0.5097304009749634,0.4902695990250366,0.9523184990180695,0.04768150098193052,0.38735098973273235,0.6126490102672677,0.6340409199843624,0.36595908001563765,0.5456336402064577,0.4543663597935423,0.9663461893538379,0.033653810646162165,0.3240563247328288,0.6759436752671713,0.6312567446113063,0.3687432553886936,0.5464701176821358,0.4535298823178641,0.9516200787926624,0.04837992120733763,0.3421831852113572,0.6578168147886428,0.5906059088983208,0.40939409110167924,0.5145725314876988,0.4854274685123012,0.8978279202713626,0.10217207972863743,0.2860211079354788,0.7139788920645213,0.4534567988011174,0.5465432011988827,0.473706303077628,0.526293696922372,0.935812480803786,0.06418751919621404,0.29181539457373107,0.7081846054262689,0.5554463051831304,0.4445536948168696,0.5087424713889751,0.49125752861102495,0.9351428485086477,0.06485715149135231,0.3030279917391817,0.6969720082608183,0.5455395716201896,0.45446042837981043,0.4603567430748926,0.5396432569251074
Appling County,1300100004B,0.9947835111607756,0.005216488839224486,0.46185554614141155,0.5381444538585884,0.7018398814054692,0.29816011859453084,0.5829944509736538,0.4170055490263462,0.9963651167646551,0.0036348832353449113,0.594980483183889,0.40501951681611104,0.7788244402336832,0.22117555976631675,0.666631347626988,0.3333686523730121,0.9975722440247842,0.002427755975215798,0.5952326725303952,0.40476732746960475,0.7853340973059092,0.21466590269409086,0.6709249415778823,0.3290750584221177,0.9953668815586308,0.004633118441368915,0.48820746088261335,0.5117925391173866,0.6897256047095144,0.3102743952904856,0.5907167689592635,0.4092832310407365,0.9590247486632159,0.040975251336783876,0.309680315777319,0.690319684222681,0.4429468894425269,0.5570531105574731,0.47599883510976165,0.5240011648902384,0.9958214654390675,0.004178534560932578,0.4908278039273237,0.5091721960726763,0.6726725252472303,0.32732747475276963,0.6035245687336633,0.3964754312663366,0.9952769936632638,0.004723006336735926,0.4821736690895533,0.5178263309104467,0.6438864005997588,0.3561135994002413,0.5321489041388533,0.46785109586114665
Appling County,1300100004D,0.9833832403001149,0.016616759699885082,0.38875977839215664,0.6112402216078434,0.7135313317782565,0.2864686682217436,0.5306800084140438,0.4693199915859561,0.9771967737751396,0.022803226224860456,0.4239279753223679,0.5760720246776321,0.689133362471528,0.31086663752847205,0.5497513284138995,0.4502486715861005,0.9874112724128513,0.012588727587148697,0.4058776629073634,0.5941223370926366,0.7577691589409659,0.24223084105903409,0.5523713029904748,0.4476286970095252,0.9812274836546302,0.0187725163453698,0.38552350452711853,0.6144764954728815,0.6667951921506784,0.3332048078493216,0.5168436662936468,0.48315633370635325,0.9577090830106735,0.04229091698932648,0.3419571815747635,0.6580428184252365,0.49087531175403687,0.5091246882459631,0.49199509034969535,0.5080049096503046,0.9791659424808971,0.020834057519102934,0.39026183107259516,0.6097381689274048,0.5999754192567266,0.40002458074327335,0.5244565976998355,0.47554340230016445,0.9790711887445137,0.020928811255486263,0.3886815167584454,0.6113184832415546,0.6031095883692352,0.39689041163076477,0.4654851146544573,0.5345148853455427
Appling County,1300100005A,0.9802141341856017,0.019785865814398344,0.4153370146377135,0.5846629853622866,0.7382726644536212,0.26172733554637884,0.5237695779912961,0.4762304220087039,0.9819103140431606,0.018089685956839352,0.4820614162367418,0.5179385837632582,0.7782778824209643,0.2217221175790357,0.5582093397698542,0.44179066023014585,0.980988170639869,0.019011829360131044,0.3924671416997906,0.6075328583002094,0.7018463650864813,0.2981536349135186,0.5436481330515811,0.4563518669484189,0.9675952163021989,0.03240478369780106,0.37493908333457343,0.6250609166654265,0.6240753089434438,0.3759246910565563,0.5105493682269703,0.48945063177302967,0.9230931950531955,0.07690680494680452,0.3244854142476202,0.6755145857523799,0.4452176712979936,0.5547823287020064,0.47519358062541145,0.5248064193745886,0.9742364069693209,0.025763593030679075,0.3804758051125299,0.6195241948874701,0.5936496986059893,0.40635030139401074,0.5233175057287828,0.4766824942712172,0.971311001010664,0.028688998989336006,0.4009414179807345,0.5990585820192654,0.5833687246878906,0.4166312753121095,0.4495543723702832,0.5504456276297168
Appling County,1300100005B,0.9407734842701498,0.05922651572985014,0.31211549982321335,0.6878845001767864,0.5602621949638212,0.43973780503617876,0.4993640371150528,0.5006359628849472,0.9420577204375639,0.057942279562436125,0.34321704742537573,0.656782952574624,0.5742791069541094,0.4257208930458906,0.5232233485810557,0.4767766514189444,0.9596662345789934,0.04033376542100668,0.2924304711810797,0.7075695288189201,0.5631934210342814,0.4368065789657186,0.5180109434331419,0.4819890565668581,0.9345738790661452,0.06542612093385479,0.30821493183560716,0.6917850681643926,0.5179425729107129,0.48205742708928717,0.4926917731256914,0.5073082268743087,0.8666132503629128,0.1333867496370872,0.3013016091555316,0.6986983908444684,0.4347377977237419,0.5652622022762581,0.47562218314649113,0.5243778168535086,0.9372525812104721,0.06274741878952789,0.31286805279607066,0.6871319472039291,0.495266311856796,0.504733688143204,0.49759110806869483,0.5024088919313049,0.9239434335378119,0.0760565664621881,0.3278297349677894,0.6721702650322106,0.49584374714112234,0.5041562528588777,0.44551409436884626,0.5544859056311537
Appling County,130010003A1,0.9894212203410921,0.010578779658908074,0.353159907463757,0.646840092536243,0.5989452323633294,0.4010547676366706,0.48244729654175,0.51755270345825,0.9761270484102402,0.023872951589759994,0.384500253011331,0.6154997469886689,0.6000713066053686,0.3999286933946314,0.4982709670250831,0.5017290329749169,0.9942904274478426,0.005709572552157646,0.37324722075290884,0.6267527792470912,0.6225910744371888,0.3774089255628113,0.5339102538874485,0.4660897461125515,0.9845433572294271,0.01545664277057315,0.3392377582760181,0.6607622417239819,0.5489006438400874,0.45109935615991265,0.46913310689892884,0.5308668931010712,0.9265464793337458,0.07345352066625443,0.31281463963994655,0.6871853603600534,0.44896198052445085,0.5510380194755491,0.47711857876755953,0.5228814212324405,0.9922335351634564,0.007766464836543866,0.365013842508178,0.634986157491822,0.5534827421766784,0.44651725782332163,0.49608148956672915,0.5039185104332708,0.9869445518807274,0.013055448119272842,0.3568419306981855,0.6431580693018145,0.5197402744383611,0.4802597255616389,0.42586667158421887,0.5741333284157811
Atkinson County,13003000001,0.9507405633131508,0.049259436686849185,0.4346886853195513,0.5653113146804487,0.6892923254958767,0.31070767450412323,0.53981620834825,0.46018379165175005,0.9529198200991555,0.04708017990084448,0.4455280454403117,0.5544719545596883,0.697502899203583,0.302497100796417,0.5350979321599462,0.46490206784005383,0.9608613022710569,0.03913869772894308,0.4219759989493827,0.5780240010506174,0.7397831095106797,0.26021689048932023,0.5406101911034087,0.4593898088965913,0.9487622301079107,0.05123776989208924,0.43881127450736856,0.5611887254926314,0.686091563539213,0.3139084364607871,0.5181710664538071,0.48182893354619294,0.9418748421626951,0.058125157837304896,0.4334965501028567,0.5665034498971433,0.6087698388261569,0.39123016117384307,0.5115555352472831,0.48844446475271686,0.9502479619273182,0.0497520380726818,0.467647482737526,0.532352517262474,0.7006779703403635,0.29932202965963656,0.5217981442708303,0.47820185572916973,0.9469119037002144,0.053088096299785635,0.47136329419270123,0.5286367058072987,0.6855063089414147,0.31449369105858527,0.528031179480979,0.47196882051902095
