county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid
Acadia Parish,220010001-1,0.9810581708269458,0.01894182917305417,0.110768466384057,0.889231533615943,0.3193452413190322,0.6806547586809678,0.2494336584666097,0.7505663415333903,0.9926928854288061,0.007307114571193926,0.1863504077928628,0.8136495922071372,0.4714613170388107,0.5285386829611892,0.3686722792595686,0.6313277207404314
Acadia Parish,220010001-2,0.9732173233923966,0.026782676607603407,0.057539736846652735,0.9424602631533473,0.37819792403363556,0.6218020759663645,0.2692026358384442,0.7307973641615557,0.9648872902053733,0.035112709794626634,0.07931978884722488,0.9206802111527751,0.4556880433902061,0.5443119566097939,0.3430729947654562,0.6569270052345437
Acadia Parish,220010001-3,0.9873817378395364,0.012618262160463556,0.2878527860358818,0.7121472139641182,0.4124100504160998,0.5875899495839002,0.3296521767686464,0.6703478232313536,0.9849006880482386,0.015099311951761413,0.18155456545936038,0.8184454345406396,0.48052447168432627,0.5194755283156738,0.40568502996466205,0.594314970035338
Acadia Parish,220010001-4,0.9857944134124451,0.0142055865875549,0.09470095459961728,0.9052990454003828,0.3903357881596025,0.6096642118403975,0.2867952240223897,0.7132047759776103,0.9848668206274594,0.0151331793725405,0.08621634810363021,0.9137836518963698,0.45870781371527347,0.5412921862847265,0.36459926254436675,0.6354007374556333
Acadia Parish,220010001-5,0.8705315223408611,0.12946847765913888,0.0907035533883899,0.9092964466116101,0.38207686229436844,0.6179231377056316,0.2752808335581174,0.7247191664418826,0.8193091896762182,0.18069081032378173,0.11016393872576777,0.8898360612742322,0.4601248556507639,0.5398751443492361,0.3554319639220579,0.6445680360779421
Acadia Parish,220010001-6,0.4674319815331251,0.532568018466875,0.019471890896550312,0.9805281091034497,0.3600221991867522,0.6399778008132478,0.25296033985359984,0.7470396601464001,0.5266945357429657,0.47330546425703435,0.0210472917395717,0.9789527082604284,0.4407792046579667,0.5592207953420333,0.32223207738529436,0.6777679226147056
Acadia Parish,220010001-8,0.9818881051824645,0.0181118948175355,0.11521882812746291,0.8847811718725371,0.41215184493673224,0.5878481550632678,0.3090578368769273,0.6909421631230728,0.9781156993014812,0.02188430069851882,0.17425136744348887,0.8257486325565111,0.4906537192147954,0.5093462807852046,0.3935478725238374,0.6064521274761626
Acadia Parish,220010001-9,0.9927522148959129,0.007247785104087042,0.14729725229358703,0.8527027477064127,0.3989119950956756,0.6010880049043245,0.3098287814015785,0.6901712185984216,0.9898721954619852,0.010127804538014767,0.12884116077463875,0.871158839225361,0.46475328495228746,0.5352467150477125,0.3686334013254883,0.6313665986745115
Acadia Parish,220010002-1,0.9763502606177816,0.023649739382218562,0.10618685323234565,0.8938131467676543,0.3415104944178393,0.6584895055821607,0.26037455022554334,0.7396254497744567,0.995305121378709,0.004694878621291255,0.31385293216454585,0.6861470678354541,0.5378310644727254,0.4621689355272745,0.4375841926016974,0.5624158073983025
Acadia Parish,220010002-2,0.9881319084272558,0.011868091572744188,0.13544759385696675,0.8645524061430332,0.3488106642211387,0.6511893357788613,0.24998903333471503,0.750010966665285,0.9954450316307429,0.004554968369257041,0.17257072832741277,0.8274292716725872,0.4628655179845412,0.5371344820154589,0.36277114471432287,0.6372288552856771
Acadia Parish,220010002-3,0.9929436949012865,0.007056305098713498,0.2302933494976857,0.7697066505023143,0.4716432721416773,0.5283567278583228,0.3453573683034575,0.6546426316965425,0.9922667577929682,0.007733242207031744,0.23365302611193942,0.7663469738880606,0.5344423822939083,0.4655576177060918,0.4183021540375729,0.581697845962427
Acadia Parish,220010002-5,0.9864375558728238,0.013562444127176205,0.14126011411383094,0.8587398858861691,0.34516973420728764,0.6548302657927123,0.26175510164481197,0.738244898355188,0.9663338841868422,0.03366611581315785,0.1590960212690648,0.8409039787309351,0.42130284132095647,0.5786971586790436,0.33064617340583946,0.6693538265941605
Acadia Parish,220010003-1,0.9747345779416664,0.025265422058333556,0.48519071101626027,0.5148092889837395,0.41756273772548724,0.5824372622745128,0.32486075031935563,0.6751392496806444,0.973781984029126,0.026218015970874045,0.45712679900070124,0.5428732009992987,0.48868254156198476,0.5113174584380152,0.40467028993015863,0.5953297100698414
Acadia Parish,220010003-2,0.9972245867118182,0.002775413288181719,0.38217701188501113,0.6178229881149889,0.624126035646679,0.37587396435332115,0.4076750782837811,0.592324921716219,0.9963913550175184,0.0036086449824815616,0.2972334994421089,0.7027665005578911,0.599575597444343,0.40042440255565726,0.43700019045144783,0.5629998095485522
Acadia Parish,220010003-3,0.9798924339310603,0.02010756606893969,0.29583108822420867,0.7041689117757913,0.41710843356358956,0.5828915664364104,0.31098884517982694,0.689011154820173,0.9836812553871985,0.016318744612801486,0.1884888600372869,0.8115111399627131,0.4976959717742262,0.5023040282257738,0.39171744866678415,0.6082825513332158
Acadia Parish,220010003-4,0.7059407477508639,0.2940592522491361,0.07778762762835778,0.9222123723716422,0.38054445377549984,0.6194555462245002,0.28571143781985464,0.7142885621801454,0.7312855063770584,0.2687144936229416,0.08467280100806845,0.9153271989919316,0.4593474343188007,0.5406525656811993,0.37131012280281844,0.6286898771971816
Acadia Parish,220010003-5,0.9602291551466171,0.03977084485338284,0.08885219418327732,0.9111478058167227,0.34111290628389906,0.6588870937161009,0.2507694787479631,0.7492305212520368,0.9885279361235686,0.01147206387643135,0.11738424565246103,0.8826157543475389,0.45438033017768686,0.5456196698223129,0.35694166650779985,0.6430583334922002
Acadia Parish,220010003-7,0.9869871243909435,0.013012875609056465,0.09501474298576025,0.9049852570142397,0.37321417276588387,0.6267858272341161,0.27116811106187677,0.7288318889381232,0.9859236876970445,0.01407631230295546,0.10114926322083723,0.8988507367791627,0.4527779311355913,0.5472220688644087,0.34850808000301964,0.6514919199969801
Acadia Parish,220010004-1,0.9542271654796878,0.045772834520312236,0.1526423627703827,0.8473576372296173,0.36272869863764406,0.637271301362356,0.2698331092179128,0.7301668907820872,0.9774691450878852,0.02253085491211481,0.16617233893782124,0.8338276610621788,0.40103536423576075,0.5989646357642392,0.3233721532779159,0.6766278467220841
Acadia Parish,220010004-2,0.9333965800545251,0.0666034199454749,0.12563945189567358,0.8743605481043264,0.37773210595959267,0.6222678940404074,0.2813856979062454,0.7186143020937545,0.9537213690021424,0.04627863099785758,0.14402155376911727,0.8559784462308827,0.44499389660193,0.55500610339807,0.3416043568314405,0.6583956431685595
Acadia Parish,220010004-4,0.9487574012140024,0.0512425987859976,0.15845511137495327,0.8415448886250467,0.3828137957165366,0.6171862042834634,0.27810507215091046,0.7218949278490896,0.9555129730894775,0.0444870269105225,0.17824384249750477,0.8217561575024952,0.4566798857646683,0.5433201142353318,0.36123705149653607,0.6387629485034639
Acadia Parish,220010004-5,0.975899501051341,0.024100498948658948,0.14698619232116464,0.8530138076788354,0.33096960496073863,0.6690303950392614,0.24670321077447305,0.7532967892255269,0.9940936152874859,0.005906384712514092,0.17056800428356483,0.8294319957164351,0.4446216611219591,0.5553783388780409,0.3500913092236244,0.6499086907763756
Acadia Parish,220010004-6,0.9952164265040031,0.004783573495996924,0.17400519999156183,0.8259948000084382,0.4496800967682947,0.5503199032317053,0.31665854778284164,0.6833414522171584,0.9900440500139067,0.009955949986093279,0.1832354296994635,0.8167645703005365,0.4415610843939986,0.5584389156060013,0.35819178055871814,0.6418082194412819
Acadia Parish,220010005-1,0.9886901313115235,0.01130986868847644,0.21292001800411017,0.7870799819958898,0.4169734016531355,0.5830265983468645,0.3327546727663747,0.6672453272336253,0.9877007115357264,0.01229928846427361,0.2591823720545769,0.7408176279454232,0.48049502693536744,0.5195049730646325,0.4047568248533565,0.5952431751466435
Acadia Parish,220010005-2,0.9105990671734151,0.08940093282658486,0.13410661398766108,0.8658933860123389,0.3730686384234063,0.6269313615765937,0.283978979902015,0.716021020097985,0.9237615244181148,0.07623847558188528,0.14794964676654443,0.8520503532334556,0.44256521384527225,0.5574347861547277,0.35850843577865366,0.6414915642213463
Acadia Parish,220010005-3,0.9681445393011007,0.03185546069889933,0.1447782204049071,0.8552217795950929,0.39235574727180955,0.6076442527281904,0.2758729790130956,0.7241270209869044,0.9797139797302473,0.02028602026975272,0.17414913599434376,0.825850864005656,0.4591098213616498,0.5408901786383502,0.32977998834354305,0.670220011656457
Acadia Parish,220010005-4,0.913888291774232,0.08611170822576783,0.15985300808445402,0.840146991915546,0.3880146653602464,0.6119853346397536,0.29140990492837704,0.708590095071623,0.9346051767348953,0.06539482326510464,0.17337726396722655,0.8266227360327735,0.4671654712140398,0.5328345287859602,0.36144154716853216,0.6385584528314678
Acadia Parish,220010005-5,0.9657749699071669,0.03422503009283311,0.1536254228860038,0.8463745771139962,0.33576455985202447,0.6642354401479755,0.2555055982723815,0.7444944017276185,0.9567660866906926,0.04323391330930741,0.17851410248334326,0.8214858975166568,0.4181687071818614,0.5818312928181386,0.32258428140160766,0.6774157185983923
Acadia Parish,220010006-1,0.9331097944030011,0.06689020559699892,0.04873155836262271,0.9512684416373773,0.40323184134859025,0.5967681586514098,0.2987411247042138,0.7012588752957861,0.9402163767550605,0.05978362324493949,0.0467834067587433,0.9532165932412567,0.47449687362011234,0.5255031263798877,0.38328972263068856,0.6167102773693114
Acadia Parish,220010006-2,0.9479558948771887,0.05204410512281137,0.11669484130107922,0.8833051586989208,0.3690491058579559,0.6309508941420441,0.2665120927881376,0.7334879072118624,0.893648521381399,0.10635147861860099,0.14813312783552285,0.8518668721644771,0.4573158574439347,0.5426841425560652,0.34854683135326825,0.6514531686467318
Acadia Parish,220010006-3,0.7798241445110458,0.22017585548895396,0.08744188172967943,0.9125581182703206,0.3767900941204151,0.6232099058795849,0.27821374067646204,0.7217862593235379,0.7862992410146266,0.21370075898537347,0.09630502447412119,0.9036949755258789,0.45097604573142314,0.5490239542685769,0.3432414936145543,0.6567585063854455
Acadia Parish,220010006-4,0.9430504692997095,0.056949530700290546,0.06813836644782958,0.9318616335521704,0.36038763614085123,0.6396123638591488,0.2635834891303734,0.7364165108696263,0.911037252416237,0.08896274758376303,0.08670604537268335,0.9132939546273167,0.4426943604087447,0.5573056395912553,0.33931036089212113,0.6606896391078787
