county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.uss_16_rep_mcc,vap_white.uss_16_dem_kir,vap_black.uss_16_rep_mcc,vap_black.uss_16_dem_kir,vap_hisp.uss_16_rep_mcc,vap_hisp.uss_16_dem_kir,vap_asian.uss_16_rep_mcc,vap_asian.uss_16_dem_kir,vap_aian.uss_16_rep_mcc,vap_aian.uss_16_dem_kir,vap_oth_b.uss_16_rep_mcc,vap_oth_b.uss_16_dem_kir,vap_white.uss_18_rep_mcs,vap_white.uss_18_dem_sin,vap_black.uss_18_rep_mcs,vap_black.uss_18_dem_sin,vap_hisp.uss_18_rep_mcs,vap_hisp.uss_18_dem_sin,vap_asian.uss_18_rep_mcs,vap_asian.uss_18_dem_sin,vap_aian.uss_18_rep_mcs,vap_aian.uss_18_dem_sin,vap_oth_b.uss_18_rep_mcs,vap_oth_b.uss_18_dem_sin,vap_white.gov_18_rep_duc,vap_white.gov_18_dem_gar,vap_black.gov_18_rep_duc,vap_black.gov_18_dem_gar,vap_hisp.gov_18_rep_duc,vap_hisp.gov_18_dem_gar,vap_asian.gov_18_rep_duc,vap_asian.gov_18_dem_gar,vap_aian.gov_18_rep_duc,vap_aian.gov_18_dem_gar,vap_oth_b.gov_18_rep_duc,vap_oth_b.gov_18_dem_gar,vap_white.atg_18_rep_brn,vap_white.atg_18_dem_con,vap_black.atg_18_rep_brn,vap_black.atg_18_dem_con,vap_hisp.atg_18_rep_brn,vap_hisp.atg_18_dem_con,vap_asian.atg_18_rep_brn,vap_asian.atg_18_dem_con,vap_aian.atg_18_rep_brn,vap_aian.atg_18_dem_con,vap_oth_b.atg_18_rep_brn,vap_oth_b.atg_18_dem_con,vap_white.sos_18_rep_gay,vap_white.sos_18_dem_hob,vap_black.sos_18_rep_gay,vap_black.sos_18_dem_hob,vap_hisp.sos_18_rep_gay,vap_hisp.sos_18_dem_hob,vap_asian.sos_18_rep_gay,vap_asian.sos_18_dem_hob,vap_aian.sos_18_rep_gay,vap_aian.sos_18_dem_hob,vap_oth_b.sos_18_rep_gay,vap_oth_b.sos_18_dem_hob,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_white.uss_20_dem_kel,vap_white.uss_20_rep_mcs,vap_black.uss_20_dem_kel,vap_black.uss_20_rep_mcs,vap_hisp.uss_20_dem_kel,vap_hisp.uss_20_rep_mcs,vap_asian.uss_20_dem_kel,vap_asian.uss_20_rep_mcs,vap_aian.uss_20_dem_kel,vap_aian.uss_20_rep_mcs,vap_oth_b.uss_20_dem_kel,vap_oth_b.uss_20_rep_mcs
Apache County,04001000005,0.8278795950083165,0.1721204049916834,0.515849152810281,0.484150847189719,0.6068892328341918,0.3931107671658082,0.5062355075035022,0.49376449249649773,0.12561052683736945,0.8743894731626306,0.48724668250006736,0.5127533174999326,0.7972751231231494,0.20272487687685062,0.5313761432350939,0.4686238567649062,0.5695988567058031,0.4304011432941969,0.48908401481508906,0.5109159851849109,0.1541628928748532,0.8458371071251468,0.47222604916794186,0.5277739508320581,0.7568516312261386,0.24314836877386134,0.5207177693273561,0.4792822306726438,0.5515176296306825,0.4484823703693175,0.49396206373293305,0.506037936267067,0.157825254376939,0.842174745623061,0.4640453884848402,0.5359546115151598,0.8599378868202145,0.14006211317978545,0.5213971062634496,0.47860289373655035,0.6042856461825418,0.3957143538174583,0.4870285327046126,0.5129714672953875,0.19828285472693055,0.8017171452730695,0.4535977737326234,0.5464022262673767,0.8042609565779582,0.19573904342204188,0.508293409830613,0.491706590169387,0.5628944350258926,0.4371055649741074,0.48839493283111896,0.5116050671688811,0.16707466890744904,0.832925331092551,0.4694460998987739,0.5305539001012262,0.7651569944450024,0.2348430055549976,0.5167965328182245,0.4832034671817756,0.5379981314077945,0.4620018685922055,0.48931687270871377,0.5106831272912862,0.1433234473120058,0.8566765526879943,0.5332073648537411,0.4667926351462589,0.20462193260006595,0.795378067399934,0.490432078590592,0.509567921409408,0.42269193788236437,0.5773080621176356,0.5120962017989995,0.4879037982010005,0.8359202813148956,0.1640797186851044,0.544922217786226,0.45507778221377404,0.2117203600122345,0.7882796399877655,0.49226031020031785,0.5077396897996822,0.4490013472435552,0.5509986527564448,0.5254691264923178,0.47453087350768214,0.8463140499992816,0.15368595000071839,0.5225285450317596,0.4774714549682404
Apache County,04001000010,0.7897765397181901,0.2102234602818099,0.5180889473332423,0.48191105266675777,0.6194145262356314,0.3805854737643686,0.5049199327977485,0.4950800672022515,0.07151112608690129,0.9284888739130988,0.50436641313526,0.49563358686474,0.7548865733565224,0.24511342664347752,0.5312255266161313,0.46877447338386874,0.5877553159198888,0.4122446840801111,0.48602102498513616,0.5139789750148639,0.09140546163933466,0.9085945383606653,0.4822614158380209,0.517738584161979,0.7422216319518927,0.2577783680481072,0.5206480157397418,0.47935198426025816,0.5683735554487758,0.4316264445512243,0.49854311388329126,0.5014568861167087,0.12505932909954273,0.8749406709004572,0.47225809773963495,0.527741902260365,0.80831651685461,0.19168348314538994,0.5275537627922551,0.4724462372077449,0.6314755691523044,0.3685244308476956,0.4965114452421249,0.503488554757875,0.14907210747502947,0.8509278925249705,0.4616380653018419,0.5383619346981581,0.7652270774912526,0.23477292250874743,0.5029310614016246,0.4970689385983754,0.5856880856906683,0.4143119143093317,0.4881990628492001,0.5118009371507999,0.13160550154566902,0.8683944984543309,0.4878007102568607,0.5121992897431393,0.7572118406611786,0.24278815933882142,0.5139475303362304,0.4860524696637696,0.5500484490438147,0.4499515509561854,0.49970130115614986,0.5002986988438501,0.09645540866796906,0.9035445913320309,0.5407848886896518,0.45921511131034826,0.22511408514295864,0.7748859148570414,0.4826913521284772,0.5173086478715228,0.4032235230984766,0.5967764769015234,0.5182414844722515,0.4817585155277485,0.8988881084876226,0.10111189151237746,0.5379214108129304,0.46207858918706957,0.23810566595596236,0.7618943340440376,0.4881312672303808,0.5118687327696192,0.42651982915340697,0.573480170846593,0.5238234566842819,0.47617654331571807,0.8926416312342198,0.10735836876578023,0.5057087423630731,0.49429125763692694
Apache County,04001000015,0.7582087667541004,0.24179123324589957,0.5084079205620168,0.4915920794379832,0.6162221474288231,0.3837778525711769,0.48960288165282206,0.5103971183471779,0.029494650765013765,0.9705053492349862,0.4906464741962151,0.5093535258037849,0.7529991055804428,0.24700089441955714,0.5323720108270056,0.4676279891729945,0.5915337352069183,0.4084662647930817,0.4910059224626424,0.5089940775373576,0.06262631590149902,0.937373684098501,0.485324158999588,0.5146758410004121,0.7433712450696587,0.2566287549303413,0.5250951978372791,0.47490480216272096,0.5753017909270228,0.42469820907297723,0.49444378134196504,0.505556218658035,0.07315857307136713,0.9268414269286329,0.4710423134329765,0.5289576865670235,0.8062716510779748,0.19372834892202523,0.5102835423831872,0.4897164576168128,0.621049755809268,0.3789502441907317,0.48590779154775093,0.5140922084522491,0.0833131451596282,0.9166868548403718,0.46121152294991513,0.5387884770500848,0.7792098967413846,0.22079010325861537,0.5101858240824599,0.4898141759175401,0.590088986701306,0.40991101329869395,0.4874551995248044,0.5125448004751957,0.10525844640002507,0.894741553599975,0.4787631198442798,0.5212368801557201,0.7543726364984595,0.24562736350154046,0.5134114035818692,0.4865885964181308,0.5442829678324692,0.4557170321675308,0.49716346215815826,0.5028365378418418,0.05059022488431685,0.9494097751156831,0.5387375993301916,0.4612624006698084,0.2524831560467968,0.7475168439532032,0.4983380147546385,0.5016619852453614,0.42312927588838517,0.5768707241116149,0.53844054878522,0.46155945121478004,0.956157327055928,0.04384267294407196,0.5485125453203245,0.45148745467967555,0.25051659557922695,0.749483404420773,0.49567680261614455,0.5043231973838554,0.43353282628331774,0.566467173716682,0.5270741767760332,0.4729258232239668,0.9505743365750821,0.04942566342491792,0.515030923112774,0.48496907688722596
Apache County,04001000020,0.8927684551575749,0.10723154484242516,0.5096904070037201,0.49030959299627985,0.6064645566287474,0.39353544337125257,0.5043032378610138,0.49569676213898617,0.12496659152547336,0.8750334084745266,0.5012006281082986,0.4987993718917014,0.7896794027864236,0.21032059721357643,0.5281980645555274,0.4718019354444726,0.5750279038277094,0.42497209617229054,0.4941055343710276,0.5058944656289723,0.1539527788580563,0.8460472211419438,0.46554237970793966,0.5344576202920603,0.8255911185724151,0.17440888142758493,0.5212439323715473,0.47875606762845263,0.5579911979355009,0.44200880206449905,0.488886606050628,0.511113393949372,0.15636935745101052,0.8436306425489895,0.4622280858171964,0.5377719141828036,0.9064198002952053,0.09358019970479473,0.5222595886407767,0.4777404113592233,0.5930964897970531,0.4069035102029469,0.49269183231745556,0.5073081676825444,0.19975124916872478,0.8002487508312752,0.43593986533168977,0.5640601346683103,0.8409541805643739,0.15904581943562607,0.5045883936277538,0.49541160637224624,0.5686038412721798,0.4313961587278202,0.48529813573806946,0.5147018642619305,0.16829310627780406,0.831706893722196,0.4608024922643144,0.5391975077356856,0.8245317925017597,0.17546820749824035,0.5182974586355579,0.48170254136444207,0.5389731168301919,0.4610268831698081,0.49348847086933906,0.5065115291306609,0.1437820525238545,0.8562179474761454,0.5258083576126462,0.47419164238735373,0.11802119463823803,0.881978805361762,0.4898354727273941,0.5101645272726059,0.4379047747262669,0.5620952252737331,0.5170487182953698,0.48295128170463014,0.8335151705716087,0.16648482942839127,0.555559001357852,0.44444099864214803,0.15382554870327944,0.8461744512967205,0.490641806547609,0.509358193452391,0.44325085299185035,0.5567491470081496,0.5240080333471374,0.47599196665286253,0.8463587288521051,0.15364127114789497,0.5216030942569537,0.4783969057430463
Apache County,04001000025,0.7740113806781947,0.22598861932180522,0.5210293283856938,0.4789706716143062,0.6244735375312747,0.37552646246872534,0.500999156527828,0.4990008434721718,0.06805824754069112,0.9319417524593089,0.5027797959835912,0.4972202040164087,0.7554613435810504,0.24453865641894962,0.5344936700095262,0.46550632999047387,0.5919574494635361,0.4080425505364639,0.48797713602936477,0.5120228639706352,0.07349452701702985,0.9265054729829701,0.4838295078353616,0.5161704921646384,0.7399310962830667,0.2600689037169333,0.5188363601951521,0.4811636398048479,0.573621891638866,0.42637810836113405,0.49336141642475834,0.5066385835752414,0.11264251741106504,0.887357482588935,0.47237079157064776,0.5276292084293522,0.8082506326067279,0.1917493673932721,0.5221657436681184,0.4778342563318816,0.6280421757267418,0.37195782427325813,0.49212524698555016,0.5078747530144496,0.17114425677093448,0.8288557432290655,0.4642429924257784,0.5357570075742216,0.7732952759349095,0.22670472406509043,0.5108386143513288,0.4891613856486712,0.5942621909220004,0.4057378090779996,0.49407458868662346,0.5059254113133765,0.13420047260231713,0.8657995273976828,0.4832417135862446,0.5167582864137554,0.7503651121367191,0.24963488786328095,0.51366394605919,0.4863360539408101,0.550740382994966,0.449259617005034,0.4984250816225998,0.5015749183774,0.11708390247484869,0.8829160975251513,0.5408744542179207,0.4591255457820793,0.2268986280745238,0.7731013719254762,0.4869692536981416,0.5130307463018584,0.40394668238716364,0.5960533176128364,0.5122072623244927,0.4877927376755071,0.8528077496453832,0.14719225035461683,0.5353165412861066,0.4646834587138931,0.2482853063847443,0.7517146936152557,0.4954079657522655,0.5045920342477346,0.4245131966850144,0.5754868033149856,0.5279479009684178,0.472052099031582,0.8687593770527249,0.13124062294727512,0.5107702809017198,0.48922971909828017
Apache County,04001000030,0.9779195225884418,0.022080477411558407,0.5174161418395599,0.4825838581604401,0.7770034701014771,0.22299652989852295,0.511253550955551,0.488746449044449,0.12933753791901936,0.8706624620809806,0.5346121908819677,0.4653878091180324,0.9486416982482826,0.05135830175171763,0.5372283486802514,0.4627716513197486,0.6686369946755677,0.3313630053244323,0.49033795857947365,0.5096620414205264,0.1588924413993627,0.8411075586006374,0.5015855401584935,0.4984144598415064,0.9439257961216445,0.056074203878355745,0.5226752107139265,0.47732478928607347,0.6257152171016142,0.37428478289838585,0.49663758845777223,0.5033624115422277,0.15967532607173976,0.8403246739282603,0.48382960036844586,0.5161703996315542,0.965489796409234,0.034510203590766196,0.5244663099764171,0.475533690023583,0.6820578756399859,0.3179421243600142,0.4950294130969389,0.5049705869030612,0.2016359351919092,0.7983640648080909,0.4694194429202991,0.530580557079701,0.9580575178777552,0.04194248212224502,0.5063945369883529,0.49360546301164704,0.6626623744345438,0.3373376255654562,0.49647189244194884,0.5035281075580512,0.17183103563846405,0.828168964361536,0.4971484448722906,0.5028515551277094,0.9383226605816649,0.06167733941833532,0.515159494305941,0.484840505694059,0.5901668088912232,0.40983319110877686,0.501580354539368,0.49841964546063194,0.1491587077266048,0.8508412922733952,0.5549661750393902,0.4450338249606099,0.041029445066805614,0.9589705549331946,0.49042407567419205,0.5095759243258079,0.38692726392275234,0.6130727360772477,0.5115790304141189,0.4884209695858811,0.8348461860818217,0.1651538139181783,0.5270286410341026,0.4729713589658974,0.05566283512437247,0.9443371648756278,0.4950274699608497,0.5049725300391503,0.4073900957109645,0.5926099042890355,0.5247458447836302,0.4752541552163698,0.8441720010508669,0.15582799894913313,0.512585276461264,0.487414723538736
Apache County,04001000035,0.7793929490419607,0.22060705095803937,0.5097241194365127,0.4902758805634873,0.6253353934593906,0.3746646065406094,0.5017017855503322,0.4982982144496679,0.06825933680346466,0.9317406631965354,0.5104608339824616,0.4895391660175384,0.7620126158749216,0.23798738412507836,0.5332870463524988,0.46671295364750115,0.5835551062207835,0.4164448937792164,0.4906264586193083,0.5093735413806917,0.11228074343320543,0.8877192565667946,0.4870604003198826,0.5129395996801174,0.745217011460507,0.254782988539493,0.5214157652540982,0.4785842347459018,0.5715709832355202,0.4284290167644798,0.48627081184298,0.5137291881570201,0.11493741923089862,0.8850625807691014,0.4746070297084344,0.5253929702915656,0.8088645226377871,0.1911354773622129,0.519790045909561,0.480209954090439,0.6282115875691645,0.37178841243083544,0.49939957779560895,0.500600422204391,0.20513620321408021,0.7948637967859198,0.45831712994296453,0.5416828700570355,0.7768783125257427,0.2231216874742573,0.5105364491284904,0.48946355087150967,0.5867074688473367,0.41329253115266334,0.48930505533013957,0.5106949446698604,0.1348380928378014,0.8651619071621985,0.47990383537775116,0.5200961646222488,0.7534444617837277,0.24655553821627227,0.515940342587425,0.48405965741257495,0.5502169961598308,0.4497830038401692,0.49679744236402357,0.5032025576359764,0.09838262503806973,0.9016173749619303,0.538142757152728,0.46185724284727203,0.21496631676154007,0.7850336832384599,0.48800524551575686,0.5119947544842431,0.41392664090820885,0.5860733590917911,0.5155804531196939,0.4844195468803061,0.9005279298558586,0.0994720701441414,0.5335948471806907,0.4664051528193092,0.2448008362009649,0.7551991637990351,0.48697662393641755,0.5130233760635825,0.4236525788217469,0.5763474211782531,0.5253743148273134,0.47462568517268655,0.9047820853079183,0.09521791469208171,0.5128155039909119,0.48718449600908803
Apache County,04001000040,0.7877083845076764,0.2122916154923236,0.5117202304051942,0.48827976959480573,0.6234610888769324,0.37653891112306753,0.5065899060726446,0.4934100939273553,0.07479777589989489,0.9252022241001051,0.5028159203547719,0.49718407964522815,0.7535488609143646,0.24645113908563537,0.5319603018007566,0.4680396981992434,0.5880787314675062,0.41192126853249383,0.49119175030685364,0.5088082496931464,0.10673135800719119,0.8932686419928088,0.48299619291851775,0.5170038070814823,0.7427089040909105,0.25729109590908944,0.5173357077873838,0.4826642922126162,0.5739121296704123,0.4260878703295877,0.49535226579594405,0.504647734204056,0.14518371872971692,0.8548162812702831,0.47078821103203566,0.5292117889679644,0.8107818029678333,0.18921819703216666,0.5204582421287035,0.4795417578712965,0.6362265284029452,0.36377347159705475,0.4975606044214908,0.5024393955785091,0.22150523654337917,0.7784947634566208,0.46169930950580307,0.5383006904941967,0.7716973772077202,0.2283026227922798,0.5062485834194742,0.4937514165805258,0.5825196895032503,0.4174803104967497,0.4911171342977648,0.5088828657022352,0.17826230128749893,0.821737698712501,0.4785357990792394,0.5214642009207606,0.749809069708683,0.250190930291317,0.5220968362595243,0.47790316374047564,0.5535104159731745,0.4464895840268254,0.5035111126806854,0.4964888873193147,0.1632489260221962,0.8367510739778038,0.5386786116551372,0.46132138834486286,0.21170963626542752,0.7882903637345725,0.4866887834251164,0.5133112165748835,0.4076753614429938,0.5923246385570062,0.5170265909229198,0.48297340907708025,0.870927345084674,0.12907265491532605,0.537498339681949,0.46250166031805073,0.23962404583101385,0.7603759541689862,0.48495652999210237,0.5150434700078976,0.42674108803311395,0.573258911966886,0.5161088260866167,0.4838911739133833,0.8774791793386829,0.1225208206613171,0.510027827480553,0.48997217251944675
Apache County,04001000045,0.9221220729581187,0.07787792704188132,0.5181877530186798,0.4818122469813202,0.5616947380562342,0.43830526194376584,0.5039130092040482,0.4960869907959517,0.12375521247588074,0.8762447875241195,0.4952157780460614,0.5047842219539387,0.9077813816583726,0.0922186183416274,0.5340449241376435,0.46595507586235657,0.5818222869312917,0.4181777130687083,0.4893959613641803,0.5106040386358197,0.15085062865826937,0.8491493713417309,0.4758993200896207,0.5241006799103793,0.9018796230629379,0.09812037693706205,0.5194257241589454,0.4805742758410546,0.5605125239622208,0.43948747603777916,0.49139030074007384,0.5086096992599262,0.1566026621719261,0.8433973378280741,0.4601057064935816,0.5398942935064184,0.944098509403682,0.05590149059631804,0.5218371187646582,0.47816288123534184,0.5788413571061873,0.4211586428938126,0.4934083445498195,0.5065916554501805,0.19429745310337954,0.8057025468966207,0.44853876058929315,0.5514612394107069,0.9208168236685498,0.07918317633145026,0.5090926861159547,0.49090731388404524,0.5517872113773541,0.4482127886226459,0.4829778050210858,0.5170221949789142,0.16772384693441186,0.8322761530655883,0.47778686107888124,0.5222131389211188,0.9001246258483238,0.0998753741516763,0.5157635264123113,0.48423647358768873,0.5240709748544987,0.4759290251455013,0.4955374499199895,0.5044625500800105,0.14347208231655995,0.8565279176834403,0.5352581915887529,0.4647418084112471,0.07488196002179957,0.9251180399782004,0.4917292951656249,0.5082707048343751,0.4483462289224054,0.5516537710775946,0.5154918987578041,0.4845081012421959,0.8344508161205605,0.1655491838794397,0.550252250798661,0.4497477492013389,0.08646366890917316,0.9135363310908269,0.49733175496811766,0.5026682450318823,0.4647514833253833,0.5352485166746167,0.5232218097971773,0.47677819020282275,0.8482746378762639,0.15172536212373636,0.5230890903913684,0.47691090960863153
Apache County,04001000050,0.956687669756201,0.04331233024379898,0.5167487548815882,0.4832512451184118,0.7251713867734927,0.2748286132265073,0.5105870883394068,0.48941291166059314,0.13141430988504263,0.8685856901149573,0.5080560284543928,0.4919439715456072,0.9087272810852081,0.0912727189147919,0.5331007702884012,0.4668992297115988,0.6495951890827151,0.3504048109172849,0.4842386833763716,0.5157613166236283,0.1530828675697593,0.8469171324302407,0.4868178307772873,0.5131821692227128,0.9126326791357718,0.0873673208642282,0.5206931522390851,0.47930684776091487,0.6270969115307735,0.37290308846922654,0.48961441914243825,0.5103855808575617,0.1590370479754153,0.8409629520245847,0.46863324847343757,0.5313667515265624,0.9676396010599638,0.03236039894003614,0.5336774126118633,0.4663225873881367,0.793035791206159,0.20696420879384103,0.4936430881142297,0.5063569118857704,0.20443354439153769,0.7955664556084623,0.4716623943713842,0.5283376056286159,0.9438948142684407,0.056105185731559336,0.5189692205128216,0.4810307794871785,0.6947076571273259,0.30529234287267415,0.4877700945511067,0.5122299054488934,0.1714271241926526,0.8285728758073474,0.48684707699811364,0.5131529230018864,0.9339374609038432,0.06606253909615681,0.51351278305839,0.48648721694161,0.6719984239661874,0.3280015760338126,0.5005574809152578,0.4994425190847422,0.15275341634153972,0.8472465836584603,0.5379880461323753,0.4620119538676248,0.0470089333847036,0.9529910666152964,0.4847343870971279,0.5152656129028721,0.2827099193025287,0.7172900806974712,0.5238771834018773,0.4761228165981227,0.8269731679045317,0.17302683209546832,0.5313701581460728,0.4686298418539272,0.07163677201274864,0.9283632279872513,0.4841116582946613,0.5158883417053387,0.36170151811831536,0.6382984818816846,0.5203341363734806,0.47966586362651936,0.8440210955285107,0.15597890447148938,0.5095398185632155,0.49046018143678455
