county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_white.uss_16_dem_ben,vap_white.uss_16_rep_gle,vap_black.uss_16_dem_ben,vap_black.uss_16_rep_gle,vap_hisp.uss_16_dem_ben,vap_hisp.uss_16_rep_gle,vap_oth.uss_16_dem_ben,vap_oth.uss_16_rep_gle,vap_white.gov_18_dem_pol,vap_white.gov_18_rep_sta,vap_black.gov_18_dem_pol,vap_black.gov_18_rep_sta,vap_hisp.gov_18_dem_pol,vap_hisp.gov_18_rep_sta,vap_oth.gov_18_dem_pol,vap_oth.gov_18_rep_sta,vap_white.atg_18_dem_wei,vap_white.atg_18_rep_bra,vap_black.atg_18_dem_wei,vap_black.atg_18_rep_bra,vap_hisp.atg_18_dem_wei,vap_hisp.atg_18_rep_bra,vap_oth.atg_18_dem_wei,vap_oth.atg_18_rep_bra,vap_white.sos_18_dem_gri,vap_white.sos_18_rep_wil,vap_black.sos_18_dem_gri,vap_black.sos_18_rep_wil,vap_hisp.sos_18_dem_gri,vap_hisp.sos_18_rep_wil,vap_oth.sos_18_dem_gri,vap_oth.sos_18_rep_wil,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_white.uss_20_dem_hic,vap_white.uss_20_rep_gar,vap_black.uss_20_dem_hic,vap_black.uss_20_rep_gar,vap_hisp.uss_20_dem_hic,vap_hisp.uss_20_rep_gar,vap_oth.uss_20_dem_hic,vap_oth.uss_20_rep_gar
Adams County,08001001001,0.5103724854067678,0.48962751459323217,0.7592579508074949,0.24074204919250505,0.9280001222853996,0.07199987771460031,0.823871411262981,0.17612858873701895,0.4687916707145869,0.5312083292854131,0.7110691010571197,0.28893089894288027,0.9462790017685463,0.05372099823145373,0.7708887337116115,0.22911126628838852,0.6030111215928015,0.3969888784071986,0.7247134572662981,0.2752865427337019,0.9516633968461238,0.04833660315387625,0.8318774571727233,0.16812254282727665,0.5650059550564971,0.43499404494350286,0.7104077447751785,0.2895922552248215,0.9409447713879273,0.059055228612072685,0.8251011675352521,0.17489883246474797,0.5847703670044643,0.4152296329955358,0.7061526268296915,0.29384737317030857,0.9593461806114157,0.04065381938858423,0.8229266451012016,0.17707335489879844,0.5633960474824088,0.4366039525175912,0.8119895816511182,0.18801041834888174,0.9252968897834493,0.07470311021655075,0.8702014508063723,0.1297985491936276,0.5491758452382245,0.4508241547617755,0.8059351449544934,0.19406485504550658,0.938846706275203,0.06115329372479704,0.8477494586113554,0.15225054138864458
Adams County,08001001002,0.40110718449339533,0.5988928155066047,0.7523091911546644,0.2476908088453356,0.9241812364048573,0.0758187635951427,0.804352035475263,0.195647964524737,0.37418655974825166,0.6258134402517483,0.7124712696504328,0.2875287303495671,0.9409826318172726,0.05901736818272737,0.7498441397799618,0.25015586022003816,0.45103020551527107,0.5489697944847289,0.7077778074351982,0.2922221925648018,0.9418201869053268,0.05817981309467327,0.8039046420126605,0.1960953579873395,0.43122041578580994,0.5687795842141901,0.7038907937820074,0.2961092062179927,0.9359695497218126,0.06403045027818749,0.8115871732325244,0.1884128267674756,0.44205093984711497,0.557949060152885,0.694198045742737,0.305801954257263,0.9506468417653835,0.0493531582346165,0.799638749505541,0.20036125049445894,0.4747270958526802,0.5252729041473199,0.8132546204040707,0.18674537959592935,0.9252154480894866,0.07478455191051332,0.8574324291801932,0.1425675708198068,0.42926189713555374,0.5707381028644463,0.8044869248475244,0.1955130751524756,0.9369199201161584,0.06308007988384154,0.8469334005355607,0.15306659946443937
Adams County,08001001003,0.6301602744822394,0.36983972551776056,0.7546876122363693,0.24531238776363073,0.8926127028226215,0.1073872971773785,0.8434318388114745,0.15656816118852548,0.6067419077254401,0.3932580922745599,0.7226177566218646,0.2773822433781355,0.9236035453473663,0.07639645465263364,0.8000173791652665,0.19998262083473348,0.5442677971055244,0.45573220289447564,0.7215997407334035,0.27840025926659656,0.9046040457666226,0.09539595423337739,0.8264078977168478,0.17359210228315225,0.5346284322259566,0.4653715677740435,0.708694636635835,0.291305363364165,0.8965476886934254,0.10345231130657462,0.8301286562584966,0.16987134374150334,0.5712973839491132,0.4287026160508868,0.6935501878627652,0.3064498121372348,0.92204155361808815,0.07795844638191188,0.8205877253662633,0.17941227463373668,0.688325663613215,0.311674336386785,0.8256237224614669,0.17437627753853316,0.8931801997816058,0.10681980021839418,0.8933863139899215,0.10661368601007842,0.6435057834675905,0.3564942165324095,0.8133192660559783,0.18668073394402174,0.9106779544277238,0.08932204557227615,0.8725635518012984,0.12743644819870156
Adams County,08001001004,0.2514781801982624,0.7485218198017376,0.7414562486890783,0.2585437513109217,0.8338855656751851,0.16611443432481485,0.7578272037610702,0.24217279623892987,0.2843571926261316,0.7156428073738683,0.7069621975491611,0.2930378024508389,0.8980113768456238,0.10198862315437622,0.7285612690112855,0.2714387309887145,0.30683035502539413,0.6931696449746059,0.7142833465266502,0.28571665347334985,0.902424036436064,0.0975759635639361,0.766837608727029,0.23316239127297095,0.2755826078023774,0.7244173921976226,0.6969239072890059,0.3030760927109941,0.8982387761517204,0.10176122384827958,0.7784542671351852,0.22154573286481477,0.3100473584094304,0.6899526415905697,0.6858895930985385,0.3141104069014616,0.9265596966527769,0.07344030334722304,0.7602693246192339,0.23973067538076612,0.3261039176973092,0.6738960823026908,0.8036182041585836,0.19638179584141638,0.8777573054746077,0.1222426945253923,0.8433750252158791,0.15662497478412082,0.27601038192569843,0.7239896180743016,0.8051331194131948,0.1948668805868052,0.8872624641404987,0.1127375358595013,0.811444787535347,0.188555212464653
Adams County,08001001005,0.3412254605574936,0.6587745394425062,0.7421536822893899,0.25784631771061006,0.9237356624445043,0.07626433755549562,0.8074711506384472,0.19252884936155273,0.36532152160488485,0.6346784783951149,0.7095034139289301,0.2904965860710699,0.9424472242471529,0.0575527757528471,0.7482648704332366,0.25173512956676336,0.39983421260322505,0.600165787396775,0.7095572733121123,0.29044272668788773,0.9357854481654665,0.06421455183453346,0.8057354845820679,0.19426451541793208,0.40425107626283213,0.5957489237371677,0.707432355878812,0.292567644121188,0.9326454785369256,0.06735452146307441,0.8094885329574733,0.19051146704252675,0.40861849503928205,0.5913815049607177,0.6943329693817571,0.30566703061824285,0.9485245352244491,0.05147546477555091,0.8014035705628051,0.19859642943719485,0.39489124824845673,0.605108751751543,0.8110826354903773,0.18891736450962265,0.9061522118411128,0.09384778815888721,0.8490993456493611,0.15090065435063893,0.35725987159326766,0.6427401284067321,0.8089527152015898,0.19104728479841013,0.9298330566913656,0.07016694330863438,0.8359309174909996,0.1640690825090004
Adams County,08001001006,0.292590301000124,0.707409698999876,0.7449123972543393,0.2550876027456607,0.9124644691955223,0.08753553080447778,0.7921211375059377,0.20787886249406232,0.3079009459104328,0.6920990540895672,0.7027608239529386,0.2972391760470614,0.9347185897657296,0.06528141023427039,0.737501739204041,0.26249826079595895,0.3506842749543699,0.6493157250456301,0.7119160782687485,0.28808392173125147,0.9335762757651203,0.06642372423487976,0.7964050417569682,0.20359495824303178,0.3656234406353802,0.6343765593646198,0.7153562316009092,0.2846437683990907,0.9381784878768633,0.06182151212313673,0.8050183479568795,0.19498165204312048,0.3941960834243471,0.6058039165756529,0.6986822338170069,0.30131776618299316,0.9526021322302844,0.04739786776971551,0.79046252784418225,0.2095374721558177,0.36045614473814575,0.6395438552618543,0.8101821793798313,0.1898178206201687,0.9014224844406299,0.09857751555937012,0.8457426510259587,0.1542573489740413,0.3418266910689799,0.6581733089310201,0.7989588626191594,0.2010411373808406,0.9294695644245435,0.07053043557545648,0.8319130646244821,0.16808693537551786
Adams County,08001001007,0.2572513728231368,0.7427486271768632,0.7416902038861186,0.25830979611388133,0.8540735208465576,0.14592647915344234,0.7762817665851838,0.22371823341481617,0.2680033970629146,0.7319966029370855,0.7001743339559174,0.2998256660440826,0.8799919977435903,0.12000800225640977,0.7236065636272868,0.2763934363727132,0.294523967460707,0.7054760325392929,0.705430870162111,0.2945691298378889,0.8867277499229592,0.11327225007704074,0.771784207932536,0.22821579206746404,0.2689401632153431,0.7310598367846569,0.7001651270354792,0.29983487296452077,0.8886777842517993,0.1113222157482007,0.7872254287994984,0.21277457120050164,0.29138605435513815,0.7086139456448618,0.6766405423884239,0.3233594576115761,0.9037379105033743,0.09626208949662571,0.7603622543981616,0.23963774560183834,0.30640230466754925,0.6935976953324507,0.8042554923153998,0.1957445076846002,0.8566971898873063,0.14330281011269377,0.8465342295652709,0.1534657704347291,0.2747230746477982,0.7252769253522018,0.7967532626981794,0.20324673730182063,0.8864390722057115,0.11356092779428852,0.8242494743390694,0.17575052566093063
Adams County,08001001008,0.43448437254173516,0.5655156274582648,0.7455739939151312,0.2544260060848685,0.8771745783282812,0.12282542167171888,0.8447796122441532,0.1552203877558466,0.425085449537559,0.574914550462441,0.7095697729746443,0.29043022702535554,0.9050565777296905,0.09494342227030948,0.7860296011999122,0.21397039880008764,0.4965608426342609,0.5034391573657391,0.7080079357512955,0.2919920642487043,0.9098782890128181,0.09012171098718194,0.8374759694435789,0.16252403055642087,0.4570092517207882,0.5429907482792118,0.709469550125649,0.29053044987435095,0.8997160241464235,0.10028397585357646,0.8556599446427713,0.1443400553572287,0.503244984004944,0.49675501599505595,0.6956188687895296,0.30438113121047017,0.9282035640575647,0.07179643594243537,0.8414698252161175,0.15853017478388226,0.4982105339342999,0.5017894660657001,0.8166055271305569,0.18339447286944285,0.8766701047941272,0.12332989520587283,0.8909003839311574,0.10909961606884254,0.468953758754661,0.5310462412453391,0.8068209773905545,0.19317902260944547,0.898353599711658,0.10164640028834204,0.8562642167222202,0.1437357832777796
Adams County,08001001009,0.5006083137918689,0.4993916862081313,0.7539214704425923,0.24607852955740775,0.8763582756704126,0.12364172432958745,0.8151734505449382,0.18482654945506186,0.4972060748239498,0.5027939251760504,0.7069781352753237,0.2930218647246763,0.9096716246882072,0.09032837531179277,0.7569320929033304,0.24306790709666964,0.5521131765814232,0.447886823418577,0.7116935854861249,0.288306414513875,0.9098873562394664,0.09011264376053363,0.808518971657509,0.191481028342491,0.5402611008046114,0.45973889919538885,0.7079327604893846,0.2920672395106154,0.9024485057327895,0.0975514942672105,0.8145778066328307,0.1854221933671692,0.5752237523159865,0.4247762476840137,0.6892021020645295,0.31079789793547047,0.9275412611816234,0.07245873881837657,0.7958355793740766,0.20416442062592347,0.5561772551780108,0.4438227448219895,0.8084718943346356,0.19152810566536438,0.8789663159163621,0.12103368408363788,0.8553734635925435,0.14462653640745654,0.5215773719788953,0.4784226280211049,0.8192227649851248,0.18077723501487514,0.8985516579119097,0.10144834208809023,0.8372670005655896,0.16273299943441047
Adams County,08001001010,0.3873735237815337,0.6126264762184662,0.7539400116234652,0.24605998837653473,0.8924425342572003,0.10755746574279963,0.8233893731965346,0.17661062680346537,0.3675268883552321,0.6324731116447679,0.715546253783071,0.284453746216929,0.9146147488287849,0.08538525117121512,0.7650287725669159,0.23497122743308413,0.4236638596830376,0.5763361403169625,0.7138826503600051,0.2861173496399949,0.9138608319980557,0.08613916800194432,0.8205322750615929,0.17946772493840715,0.39806762973602383,0.6019323702639762,0.7204328593273557,0.27956714067264427,0.9083461875465585,0.09165381245344152,0.8300706253118574,0.1699293746881426,0.4038103117307344,0.5961896882692657,0.6973669093756839,0.3026330906243161,0.9270924891419596,0.07290751085804031,0.8068742247870774,0.19312577521292257,0.4487432232296633,0.5512567767703367,0.816833136965381,0.18316686303461907,0.8863454212808217,0.1136545787191783,0.8729510258664958,0.12704897413350424,0.43134314132974166,0.5686568586702584,0.812594108777392,0.18740589122260803,0.9089799176085688,0.09102008239143122,0.8494132849407862,0.15058671505921387
