county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_16_rep_sze,vap_white.uss_16_dem_van,vap_black.uss_16_rep_sze,vap_black.uss_16_dem_van,vap_hisp.uss_16_rep_sze,vap_hisp.uss_16_dem_van,vap_oth.uss_16_rep_sze,vap_oth.uss_16_dem_van,vap_white.uss_18_rep_cam,vap_white.uss_18_dem_car,vap_black.uss_18_rep_cam,vap_black.uss_18_dem_car,vap_hisp.uss_18_rep_cam,vap_hisp.uss_18_dem_car,vap_oth.uss_18_rep_cam,vap_oth.uss_18_dem_car,vap_white.gov_18_rep_hog,vap_white.gov_18_dem_jea,vap_black.gov_18_rep_hog,vap_black.gov_18_dem_jea,vap_hisp.gov_18_rep_hog,vap_hisp.gov_18_dem_jea,vap_oth.gov_18_rep_hog,vap_oth.gov_18_dem_jea,vap_white.atg_18_rep_wol,vap_white.atg_18_dem_fro,vap_black.atg_18_rep_wol,vap_black.atg_18_dem_fro,vap_hisp.atg_18_rep_wol,vap_hisp.atg_18_dem_fro,vap_oth.atg_18_rep_wol,vap_oth.atg_18_dem_fro,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru
Allegany County,2400101-000,0.8856194501921413,0.11438054980785875,0.5437368251327142,0.45626317486728585,0.47480805522992964,0.5251919447700704,0.40751373986346656,0.5924862601365334,0.82509177489807906,0.1749082251019209,0.5303819943272589,0.4696180056727412,0.48462647460334374,0.5153735253966563,0.44188972101649054,0.5581102789835094,0.8083801608267941,0.1916198391732059,0.5242742015128843,0.4757257984871157,0.4420431406029901,0.5579568593970099,0.46730960479027495,0.532690395209725,0.9327988270296319,0.06720117297036807,0.5963254406422127,0.4036745593577873,0.34306492162194835,0.6569350783780517,0.33878291909592234,0.6612170809040777,0.8387973387215782,0.16120266127842178,0.5575251100383817,0.4424748899616184,0.5274225240187299,0.47257747598127003,0.41167558522010883,0.5883244147798912,0.13897737049509015,0.8610226295049098,0.44515097530754627,0.5548490246924538,0.49667221124269173,0.5033277887573083,0.5896311487463611,0.41036885125363887
Allegany County,2400102-000,0.8696424949645082,0.13035750503549176,0.5357474033667892,0.46425259663321083,0.4754465721441229,0.5245534278558771,0.40482875370944266,0.5951712462905573,0.7843857197393006,0.21561428026069937,0.5304909196731336,0.46950908032686645,0.4771297841585402,0.5228702158414599,0.4395802078453535,0.5604197921546465,0.7528955055202657,0.24710449447973426,0.5302737460816906,0.4697262539183094,0.439203901832358,0.560796098167642,0.46717200818320237,0.5328279918167976,0.9347661084039819,0.06523389159601817,0.5990010567427985,0.40099894325720153,0.3608719242141587,0.6391280757858413,0.3387420778322779,0.6612579221677222,0.8300897461827114,0.16991025381728864,0.5540011595246442,0.44599884047535576,0.5232301232408653,0.47676987675913474,0.4084829329648107,0.5915170670351892,0.1444963114735526,0.8555036885264474,0.4414770926044964,0.5585229073955036,0.5071817562708069,0.4928182437291931,0.5896683692860163,0.41033163071398365
Allegany County,2400103-000,0.861816220472415,0.138183779527585,0.5443184787051483,0.4556815212948518,0.4702121884296001,0.5297878115703999,0.39850106125192825,0.6014989387480718,0.797508567730124,0.202491432269876,0.523437245307911,0.47656275469208903,0.4781937424214205,0.5218062575785795,0.44285365587537817,0.5571463441246218,0.8216498786593665,0.17835012134063352,0.5293678836161648,0.4706321163838352,0.4457681777387033,0.5542318222612967,0.4690061676937296,0.5309938323062704,0.9571701232727874,0.04282987672721256,0.6031115896060072,0.3968884103939928,0.3535533801426193,0.6464466198573807,0.3462895636825485,0.6537104363174515,0.8668168999660928,0.13318310003390715,0.5529442014867912,0.44705579851320876,0.528957453039399,0.471042546960601,0.41715035695781466,0.5828496430421853,0.13229704383725804,0.867702956162742,0.4407791177455576,0.5592208822544424,0.5026597904183774,0.4973402095816226,0.5853180225151785,0.4146819774848215
Allegany County,2400104-002,0.641572347906089,0.358427652093911,0.5229221772415062,0.47707782275849375,0.46480884699415004,0.53519115300585,0.3866564127384434,0.6133435872615566,0.4972427120058724,0.5027572879941276,0.5044609409477688,0.49553905905223117,0.477468473310647,0.522531526689353,0.42336428670545656,0.5766357132945434,0.5444182148605664,0.45558178513943354,0.5191607003114708,0.4808392996885292,0.44518652041760287,0.5548134795823971,0.44789879378574576,0.5521012062142543,0.7992343990627687,0.20076560093723128,0.5743626307509058,0.4256373692490943,0.3468124183987527,0.6531875816012472,0.3148891628456401,0.6851108371543599,0.613304848396279,0.38669515160372103,0.5366736564423095,0.46332634355769053,0.5157955466412233,0.4842044533587767,0.3970885316153652,0.6029114683846348,0.36336503959028704,0.636634960409713,0.457724672104401,0.5422753278955991,0.5095755629099986,0.49042443709000133,0.6045635784560147,0.39543642154398534
Allegany County,2400104-003,0.6672390893571498,0.33276091064284996,0.526887342581527,0.4731126574184729,0.46454870825038275,0.5354512917496173,0.3814712581664141,0.618528741833586,0.518080662993901,0.4819193370060988,0.512140575147047,0.48785942485295297,0.4774498404527767,0.5225501595472233,0.4203237965670201,0.5796762034329799,0.5225638189604673,0.4774361810395326,0.5183986053930812,0.48160139460691875,0.4400625297403822,0.5599374702596178,0.44463215690029184,0.5553678430997082,0.8201944018702975,0.17980559812970232,0.5812636105209013,0.41873638947909875,0.3537464540584288,0.6462535459415713,0.31690740258966393,0.683092597410336,0.5751685292397601,0.42483147076023986,0.5431986470791804,0.45680135292081964,0.5189860302549728,0.4810139697450272,0.38319496617608945,0.6168050338239105,0.36411624503644563,0.6358837549635541,0.4515785890471247,0.5484214109528752,0.5056098727695176,0.49439012723048237,0.6061696276597408,0.39383037234025914
Allegany County,2400104-004,0.7180647599339361,0.28193524006606385,0.5378765294749956,0.4621234705250043,0.47393352842247966,0.5260664715775203,0.3980179525376123,0.6019820474623877,0.5884930031466235,0.41150699685337655,0.5166961593599294,0.4833038406400706,0.4723110080392578,0.5276889919607423,0.435082001454038,0.564917998545962,0.5314722723442711,0.4685277276557289,0.5211478105040106,0.47885218949598934,0.4378040996095299,0.5621959003904702,0.44954672904510773,0.5504532709548923,0.8451886370484011,0.15481136295159895,0.5868674703640729,0.41313252963592706,0.3479294773801526,0.6520705226198474,0.3228794248772908,0.6771205751227092,0.6526118327864919,0.3473881672135081,0.5434619275807379,0.45653807241926214,0.523766113264923,0.4762338867350771,0.39333260992233626,0.6066673900776638,0.38503046552511605,0.614969534474884,0.451655757282513,0.5483442427174869,0.5020723523645733,0.4979276476354268,0.6037498782212725,0.39625012177872754
Allegany County,2400104-005,0.6970476079795249,0.3029523920204751,0.5284204043813476,0.4715795956186523,0.4641921589578817,0.5358078410421183,0.3939800337258237,0.6060199662741763,0.57143346094527,0.42856653905472997,0.5196044424583087,0.48039555754169133,0.47716141462682077,0.5228385853731792,0.42955841766924574,0.5704415823307543,0.6038808034195359,0.3961191965804642,0.5262047193906071,0.47379528060939297,0.44677540713647196,0.553224592863528,0.4554677783032317,0.5445322216967683,0.8714619708716695,0.12853802912833046,0.5913980219704499,0.4086019780295501,0.3410003827094618,0.6589996172905382,0.32716503657567264,0.6728349634243274,0.6510124373943313,0.34898756260566866,0.5461680293515093,0.4538319706484906,0.5259026215149283,0.4740973784850718,0.3951446035588936,0.6048553964411064,0.30385565468763653,0.6961443453123635,0.43949296179885605,0.5605070382011439,0.5035208643173994,0.49647913568260066,0.5952399415740371,0.40476005842596285
Allegany County,2400104-008,0.7160249966393296,0.2839750033606704,0.5321222562751335,0.46787774372486646,0.46977327549096864,0.5302267245090313,0.3945536261913212,0.6054463738086786,0.5664604469114927,0.4335395530885074,0.5195553655671473,0.4804446344328525,0.4737121698637024,0.5262878301362977,0.42714993332189205,0.5728500666781077,0.5355246627117769,0.46447533728822316,0.5154658210076212,0.48453417899237883,0.44302970612474024,0.5569702938752598,0.45106637770177604,0.5489336222982237,0.8589423875812741,0.14105761241872597,0.5865544855635566,0.41344551443644334,0.3560244123962323,0.6439755876037677,0.3245636357675658,0.675436364232434,0.6243596943847667,0.37564030561523337,0.5419742554956507,0.4580257445043493,0.5251153136444758,0.4748846863555241,0.39764458372023787,0.6023554162797619,0.3277261035242466,0.6722738964757534,0.45668171371383437,0.5433182862861654,0.5027479363841814,0.49725206361581864,0.601197923760274,0.39880207623972574
Allegany County,2400105-004,0.6808041018432796,0.3191958981567207,0.5346221500808468,0.46537784991915326,0.466451903595882,0.533548096404118,0.39475830397309664,0.6052416960269034,0.5755618408447228,0.42443815915527733,0.5088597050809343,0.49114029491906575,0.473980887839611,0.526019112160389,0.4326699696784398,0.5673300303215603,0.4926902441680528,0.5073097558319474,0.5203046892933455,0.47969531070665444,0.4397972959805345,0.5602027040194655,0.44803267875036396,0.551967321249636,0.7739145293062059,0.2260854706937944,0.5778913602598417,0.4221086397401584,0.34514390797584843,0.6548560920241515,0.31677085363364493,0.6832291463663551,0.586037866939652,0.4139621330603482,0.5344551567474101,0.46554484325258993,0.5186222359104662,0.48137776408953376,0.3919562048018493,0.6080437951981507,0.3817425989587129,0.6182574010412873,0.45135609208889416,0.5486439079111058,0.5058162352558688,0.49418376474413117,0.6056623565022384,0.3943376434977616
Allegany County,2400105-006,0.8281221282877834,0.17187787171221658,0.5390676739172736,0.4609323260827264,0.475734066569749,0.5242659334302511,0.39839558705747724,0.6016044129425228,0.6610502758782717,0.33894972412172836,0.5310269911599794,0.46897300884002063,0.48383323465235833,0.5161667653476417,0.4414203569530018,0.5585796430469981,0.6591449154935151,0.3408550845064849,0.5295780098715843,0.47042199012841573,0.4431799299733184,0.5568200700266817,0.456082198841104,0.543917801158896,0.8485175147657861,0.15148248523421393,0.596005882239727,0.40399411776027305,0.35043317123718576,0.6495668287628142,0.32942388908796694,0.6705761109120331,0.7160428603730049,0.28395713962699515,0.5525337579562819,0.44746624204371815,0.5185444599219585,0.48145554007804153,0.40003493117893324,0.5999650688210668,0.18379706653692443,0.8162029334630756,0.44144990422864855,0.5585500957713515,0.49977819949855756,0.5002218005014424,0.5911948588034551,0.4088051411965449
