county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.uss_16_rep_boo,vap_white.uss_16_dem_eld,vap_black.uss_16_rep_boo,vap_black.uss_16_dem_eld,vap_hisp.uss_16_rep_boo,vap_hisp.uss_16_dem_eld,vap_asian.uss_16_rep_boo,vap_asian.uss_16_dem_eld,vap_aian.uss_16_rep_boo,vap_aian.uss_16_dem_eld,vap_oth_b.uss_16_rep_boo,vap_oth_b.uss_16_dem_eld,vap_white.gov_18_rep_hut,vap_white.gov_18_dem_hen,vap_black.gov_18_rep_hut,vap_black.gov_18_dem_hen,vap_hisp.gov_18_rep_hut,vap_hisp.gov_18_dem_hen,vap_asian.gov_18_rep_hut,vap_asian.gov_18_dem_hen,vap_aian.gov_18_rep_hut,vap_aian.gov_18_dem_hen,vap_oth_b.gov_18_rep_hut,vap_oth_b.gov_18_dem_hen,vap_white.atg_18_rep_rut,vap_white.atg_18_dem_lee,vap_black.atg_18_rep_rut,vap_black.atg_18_dem_lee,vap_hisp.atg_18_rep_rut,vap_hisp.atg_18_dem_lee,vap_asian.atg_18_rep_rut,vap_asian.atg_18_dem_lee,vap_aian.atg_18_rep_rut,vap_aian.atg_18_dem_lee,vap_oth_b.atg_18_rep_rut,vap_oth_b.atg_18_dem_lee,vap_white.sos_18_rep_thu,vap_white.sos_18_dem_inm,vap_black.sos_18_rep_thu,vap_black.sos_18_dem_inm,vap_hisp.sos_18_rep_thu,vap_hisp.sos_18_dem_inm,vap_asian.sos_18_rep_thu,vap_asian.sos_18_dem_inm,vap_aian.sos_18_rep_thu,vap_aian.sos_18_dem_inm,vap_oth_b.sos_18_rep_thu,vap_oth_b.sos_18_dem_inm,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_white.uss_20_rep_cot,vap_white.uss_20_dem_har,vap_black.uss_20_rep_cot,vap_black.uss_20_dem_har,vap_hisp.uss_20_rep_cot,vap_hisp.uss_20_dem_har,vap_asian.uss_20_rep_cot,vap_asian.uss_20_dem_har,vap_aian.uss_20_rep_cot,vap_aian.uss_20_dem_har,vap_oth_b.uss_20_rep_cot,vap_oth_b.uss_20_dem_har
Arkansas County,05001000011,0.7657721993641707,0.2342278006358292,0.18698883734414387,0.8130111626558562,0.45439917880125535,0.5456008211987446,0.4996078916217548,0.5003921083782452,0.4924947287971465,0.5075052712028535,0.4438927065562457,0.5561072934437543,0.6796125372753035,0.3203874627246966,0.21085772977106956,0.7891422702289305,0.4754784277401965,0.5245215722598034,0.48771361098152644,0.5122863890184736,0.5016157948836951,0.4983842051163049,0.4524537761127767,0.5475462238872233,0.7338138454544179,0.26618615454558214,0.2591311534116532,0.7408688465883467,0.39015817973982014,0.6098418202601799,0.5091825187668751,0.4908174812331248,0.5164910864292278,0.4835089135707722,0.4705661156512287,0.5294338843487713,0.7663243604479312,0.23367563955206885,0.19302030975114481,0.8069796902488552,0.4641406273984158,0.5358593726015842,0.537039921761117,0.46296007823888297,0.5007253345996052,0.4992746654003947,0.43878841941437474,0.5612115805856253,0.7356333108299876,0.26436668917001244,0.1570794201114923,0.8429205798885077,0.4639321590350817,0.5360678409649183,0.4920391278286351,0.5079608721713649,0.5167742482610892,0.4832257517389108,0.44700491537299475,0.5529950846270052,0.882453712109927,0.11754628789007308,0.15632066306001074,0.8436793369399892,0.43755569134008454,0.5624443086599155,0.4869797362145767,0.5130202637854233,0.514736284490068,0.48526371550993197,0.4445816338754595,0.5554183661245405,0.8864594324140547,0.11354056758594537,0.29896575756611876,0.7010342424338812,0.4688061906523106,0.5311938093476894,0.5033592433143326,0.49664075668566743,0.49388146124213556,0.5061185387578645,0.42748141620985086,0.5725185837901491
Arkansas County,05001000012,0.8096667066314699,0.1903332933685301,0.18670574234723586,0.8132942576527641,0.45647970619934614,0.5435202938006538,0.5000451517797859,0.4999548482202141,0.4922846299533355,0.5077153700466644,0.446896870360485,0.553103129639515,0.7619476565226632,0.23805234347733684,0.2093120434901314,0.7906879565098686,0.4700884225009241,0.5299115774990759,0.4840620021615803,0.5159379978384196,0.49512144625954363,0.5048785537404564,0.4554693507646784,0.5445306492353216,0.8287910316679674,0.17120896833203256,0.257012540117908,0.742987459882092,0.3898290400306433,0.6101709599693568,0.5084985932973545,0.4915014067026456,0.5140875705713082,0.4859124294286918,0.4746363234874836,0.5253636765125164,0.8095640377502401,0.19043596224975987,0.18823016837418607,0.811769831625814,0.4673075886549209,0.5326924113450792,0.5450978062295067,0.45490219377049335,0.49443269867408135,0.5055673013259186,0.44061022428122865,0.5593897757187714,0.7780761373213647,0.22192386267863531,0.1711125718789386,0.8288874281210614,0.46451354195325495,0.535486458046745,0.49213627571379504,0.507863724286205,0.5138299263296436,0.4861700736703563,0.44919683655179754,0.5508031634482025,0.841864148789157,0.15813585121084292,0.15071595861483217,0.8492840413851679,0.4480022530215816,0.5519977469784184,0.4846971926822331,0.5153028073177669,0.520879540362949,0.47912045963705097,0.44921617213468834,0.5507838278653117,0.9353079314330969,0.0646920685669031,0.2976567837739928,0.7023432162260071,0.4678991964424338,0.5321008035575663,0.5011949790958826,0.49880502090411744,0.4976895630665088,0.5023104369334912,0.43605751696258477,0.5639424830374152
Arkansas County,05001000013,0.7711087444864679,0.22889125551353204,0.1724688205970893,0.8275311794029108,0.44836511666502715,0.5516348833349727,0.4994031252239889,0.5005968747760111,0.48971649850355076,0.5102835014964492,0.44435015335495615,0.5556498466450439,0.6676201145911165,0.3323798854088835,0.207791808306415,0.792208191693585,0.472085931841344,0.5279140681586558,0.48332620793577036,0.5166737920642296,0.4972002057148138,0.5027997942851862,0.44281862036455394,0.5571813796354461,0.8321513531049258,0.16784864689507417,0.24415032223265057,0.7558496777673495,0.3929176760251816,0.6070823239748182,0.5066762976224175,0.49332370237758255,0.517957733319515,0.48204226668048505,0.46370866463891813,0.5362913353610819,0.8099540822300408,0.1900459177699592,0.17344798812507134,0.8265520118749287,0.4588696932974665,0.5411303067025333,0.5404769120071674,0.4595230879928326,0.49778567939221274,0.5022143206077873,0.4398150310039797,0.5601849689960203,0.7626130263778537,0.23738697362214634,0.15380984759849645,0.8461901524015035,0.4569507747545856,0.5430492252454141,0.48851204049111324,0.5114879595088867,0.5200513800010483,0.4799486199989517,0.43868090507394925,0.5613190949260507,0.8423754385269183,0.15762456147308163,0.1569908455423586,0.8430091544576414,0.44023904303871586,0.5597609569612839,0.49376316912077167,0.5062368308792283,0.5156716740640119,0.484328325935988,0.4384993779817831,0.5615006220182168,0.8491000104648722,0.15089998953512782,0.27484726904043794,0.725152730959562,0.45819352761007703,0.541806472389923,0.5066291818937774,0.4933708181062226,0.49591602771343885,0.5040839722865611,0.42969809939456066,0.5703019006054394
Arkansas County,05001000014,0.9066708318853942,0.09332916811460576,0.18813808822383737,0.8118619117761626,0.4547818471442093,0.5452181528557907,0.49797943738176514,0.5020205626182348,0.49000676054473224,0.5099932394552678,0.44941066477976155,0.5505893352202385,0.7380071775854758,0.26199282241452415,0.21801180638179493,0.781988193618205,0.46971495134577784,0.5302850486542221,0.48428370038811186,0.5157162996118881,0.49889570743641914,0.5011042925635808,0.4526249090368338,0.5473750909631662,0.8999394747387849,0.10006052526121506,0.26238400941176715,0.7376159905882328,0.3953038779047854,0.6046961220952146,0.5064876347764617,0.4935123652235383,0.51578764668827,0.48421235331173,0.4645909126350095,0.5354090873649905,0.8546206252986401,0.14537937470135984,0.1842823434115981,0.8157176565884019,0.46043706649729754,0.5395629335027025,0.5347373148652618,0.4652626851347382,0.4977090004930489,0.5022909995069511,0.4380066787589608,0.5619933212410392,0.8724920819360452,0.1275079180639548,0.1669688173370936,0.8330311826629064,0.47035288728937896,0.529647112710621,0.49102153909663415,0.5089784609033658,0.5142122752692939,0.485787724730706,0.4473803728542232,0.5526196271457767,0.8998595222258354,0.10014047777416461,0.16822151352538017,0.8317784864746198,0.4460227027835923,0.5539772972164076,0.4896270892791634,0.5103729107208367,0.5144179493829549,0.4855820506170451,0.4324126090887148,0.5675873909112852,0.883266994055201,0.11673300594479902,0.29391527424215247,0.7060847257578475,0.4711672731577358,0.5288327268422641,0.5030313369542357,0.49696866304576426,0.5025203344554351,0.4974796655445649,0.4236272771777615,0.5763727228222385
Arkansas County,05001000015,0.9320402499419377,0.06795975005806228,0.1899301786971131,0.810069821302887,0.4519986461625534,0.5480013538374465,0.5007108561928071,0.49928914380719297,0.4906883696583861,0.509311630341614,0.44682401166028135,0.5531759883397185,0.7805365281266341,0.21946347187336593,0.21228265507564514,0.7877173449243549,0.4698512773911429,0.530148722608857,0.48883209466558647,0.5111679053344136,0.4986011527738464,0.5013988472261536,0.45731642873951545,0.5426835712604843,0.8324727794720924,0.16752722052790758,0.2644616331455737,0.7355383668544263,0.399230347858019,0.6007696521419811,0.5103720795752843,0.48962792042471576,0.5198197653722562,0.4801802346277438,0.4644400165707737,0.5355599834292263,0.8981929457742063,0.10180705422579371,0.19776520392404714,0.8022347960759528,0.47336462993795964,0.5266353700620404,0.5391524297752962,0.4608475702247038,0.49881033753942283,0.5011896624605772,0.44654669028298793,0.553453309717012,0.8848345796349734,0.11516542036502668,0.17751851538858177,0.8224814846114182,0.4621163567994195,0.5378836432005806,0.4872235688287704,0.5127764311712296,0.5149942496068182,0.4850057503931818,0.4386934665360841,0.5613065334639159,0.9192306563552404,0.08076934364475968,0.17151005628451946,0.8284899437154806,0.44774504892276373,0.5522549510772363,0.49405323398653184,0.5059467660134681,0.5175584053255293,0.4824415946744706,0.4347353002860307,0.5652646997139693,0.9038262531454487,0.09617374685455127,0.29723081440584187,0.7027691855941581,0.46845576178058734,0.5315442382194127,0.5017824862873681,0.4982175137126319,0.4964568076044632,0.5035431923955368,0.43399908481828314,0.5660009151817168
Arkansas County,05001000021,0.8487995383291227,0.1512004616708775,0.1944427261598108,0.8055572738401892,0.45868847969690585,0.5413115203030942,0.5057672669235311,0.49423273307646887,0.49514503396958054,0.5048549660304195,0.4421527370847488,0.5578472629152512,0.7436380292953767,0.2563619707046235,0.2226928669161209,0.7773071330838791,0.47227090027893553,0.5277290997210644,0.485274170772305,0.514725829227695,0.501293564347636,0.498706435652364,0.4511105836992575,0.5488894163007425,0.8753667769738348,0.12463322302616543,0.2616760605055653,0.7383239394944348,0.3983101197172883,0.6016898802827118,0.509342237847814,0.49065776215218604,0.5182230879252125,0.48177691207478746,0.46016021375862726,0.5398397862413727,0.8852740163636778,0.11472598363632244,0.20450044292760197,0.7954995570723981,0.4647219360522224,0.5352780639477777,0.5448448193681594,0.4551551806318405,0.49447395993124305,0.5055260400687569,0.43776718412071713,0.5622328158792829,0.8680456757185122,0.13195432428148807,0.16142768088125825,0.8385723191187417,0.46129394690470316,0.5387060530952968,0.4877409000147507,0.5122590999852493,0.5077116718966284,0.49228832810337164,0.4458091847750357,0.5541908152249643,0.9068801721737965,0.09311982782620379,0.16701701926156565,0.8329829807384344,0.44863162539535006,0.5513683746046499,0.4921411388878486,0.5078588611121514,0.5214658279366648,0.4785341720633351,0.43150937048392374,0.5684906295160763,0.9332259360704919,0.06677406392950841,0.2940570543544569,0.705942945645543,0.4614748450680258,0.5385251549319742,0.5076241721398881,0.4923758278601119,0.49943331708819005,0.50056668291181,0.4120984740022858,0.5879015259977142
Arkansas County,05001000022,0.8462007091665762,0.15379929083342378,0.1976662607155288,0.8023337392844712,0.46195796417440893,0.5380420358255911,0.49998477745118225,0.5000152225488177,0.49831904976423735,0.5016809502357626,0.44669908887900345,0.5533009111209966,0.7895429235097612,0.21045707649023884,0.22305433686768336,0.7769456631323166,0.47758735457034396,0.522412645429656,0.4879969401553457,0.5120030598446542,0.5032497655871842,0.4967502344128159,0.45249618927221974,0.5475038107277803,0.9012027336676467,0.09879726633235333,0.2652222096173693,0.7347777903826307,0.40494502613491345,0.5950549738650865,0.5063672261061593,0.4936327738938407,0.5223750724589576,0.4776249275410424,0.4683882972858613,0.5316117027141387,0.8775911277152401,0.12240887228475994,0.20121514090134446,0.7987848590986556,0.4684585574249493,0.5315414425750508,0.5424669661393904,0.45753303386060956,0.49404320981239586,0.5059567901876042,0.4378316060963117,0.5621683939036883,0.8268132948521401,0.1731867051478599,0.1778385667077774,0.8221614332922226,0.46295149566028887,0.5370485043397112,0.4926112476419245,0.5073887523580756,0.5169644950617985,0.4830355049382014,0.4466211107639882,0.5533788892360118,0.9035030220077965,0.09649697799220348,0.16476999568647846,0.8352300043135216,0.446458914532859,0.553541085467141,0.4917704839095963,0.5082295160904037,0.5198800731843722,0.48011992681562776,0.44441290526588684,0.5555870947341132,0.915701925862885,0.08429807413711501,0.2982531140469482,0.7017468859530518,0.4621938557056113,0.5378061442943887,0.49996207701322576,0.5000379229867742,0.5018097149590482,0.49819028504095175,0.4349553607173623,0.5650446392826377
Arkansas County,05001000023,0.8896668747846891,0.11033312521531087,0.1873428663212669,0.8126571336787332,0.45877711326405696,0.541222886735943,0.49757821072110325,0.5024217892788968,0.49741835667625567,0.5025816433237443,0.43673268740118487,0.5632673125988149,0.8285367423913969,0.17146325760860318,0.2202489879826045,0.7797510120173955,0.4741551622766045,0.5258448377233955,0.4861252523303484,0.5138747476696516,0.4973510493996126,0.5026489506003874,0.4638467710616365,0.5361532289383633,0.9659607058169226,0.03403929418307735,0.27640336907732127,0.7235966309226788,0.40539580310452084,0.5946041968954792,0.5113969614957914,0.48860303850420855,0.5187752084187955,0.48122479158120446,0.5082611335769625,0.4917388664230376,0.941872879712964,0.058127120287036024,0.1996839663150438,0.8003160336849562,0.46828319221340375,0.5317168077865962,0.5496485887548184,0.4503514112451817,0.5008099656392356,0.49919003436076437,0.4562731539414695,0.5437268460585305,0.9371481282755175,0.06285187172448246,0.1773953737274811,0.8226046262725188,0.4629060443668409,0.5370939556331591,0.4912818703622115,0.5087181296377885,0.5172071598268211,0.48279284017317886,0.4574652158539545,0.5425347841460455,0.9241275817798192,0.07587241822018072,0.16493777854375893,0.8350622214562411,0.4482299276285495,0.5517700723714505,0.4892564734183068,0.5107435265816932,0.5172776937443888,0.4827223062556112,0.43720431151516626,0.5627956884848337,0.9485284253435603,0.051471574656439686,0.30040845010947537,0.6995915498905246,0.4703440948703401,0.5296559051296599,0.5036153563400098,0.49638464365999024,0.4979972753069246,0.5020027246930754,0.4250796058438373,0.5749203941561625
Arkansas County,05001000031,0.8320899710807885,0.16791002891921147,0.18952803191602713,0.8104719680839729,0.44934010074245884,0.5506598992575412,0.49767223252431425,0.5023277674756857,0.50167753948562,0.49832246051438023,0.44103984124704904,0.558960158752951,0.7337828275891018,0.26621717241089815,0.2205227153692828,0.7794772846307172,0.46744510287871643,0.5325548971212836,0.48909255370829363,0.5109074462917064,0.49654262731752247,0.5034573726824777,0.4555225504830943,0.5444774495169057,0.9164682176086536,0.08353178239134644,0.2642522182123108,0.7357477817876892,0.39606410507500955,0.6039358949249904,0.5123159938371414,0.48768400616285856,0.5192756807553454,0.48072431924465486,0.4646350494911424,0.5353649505088576,0.8906510621377569,0.10934893786224306,0.2007195669921736,0.7992804330078264,0.4672017383162892,0.5327982616837108,0.5415469773576779,0.45845302264232213,0.4957171723821581,0.5042828276178422,0.4432072718156249,0.5567927281843751,0.8527113809601524,0.14728861903984752,0.17267640703009826,0.8273235929699018,0.464570924285952,0.535429075714048,0.48941593645605985,0.5105840635439401,0.520110875586618,0.4798891244133823,0.4395000958703154,0.5604999041296846,0.8391227511608642,0.16087724883913584,0.1514355585704391,0.8485644414295609,0.4455653467445395,0.5544346532554605,0.48673378434852854,0.5132662156514715,0.517626351585681,0.48237364841431923,0.4452551074933971,0.5547448925066029,0.8873263800189005,0.11267361998109947,0.29864323312065294,0.701356766879347,0.464786469204492,0.535213530795508,0.5113118008383765,0.4886881991616236,0.4937239044289979,0.5062760955710023,0.4290568737879402,0.5709431262120598
Arkansas County,05001000032,0.6491561483420479,0.35084385165795207,0.1856946730454027,0.8143053269545973,0.4458222028781781,0.5541777971218219,0.49479207667486164,0.5052079233251384,0.4935569926886846,0.5064430073113154,0.4352166802059204,0.5647833197940796,0.5185961157339136,0.4814038842660864,0.21614460639820948,0.7838553936017906,0.46508776225517917,0.5349122377448209,0.489588025866803,0.510411974133197,0.5046724175330625,0.4953275824669375,0.4488644054657787,0.5511355945342213,0.6622137823453317,0.3377862176546683,0.2638281616264798,0.7361718383735202,0.3890671932057256,0.6109328067942744,0.5119403992223215,0.48805960077767846,0.5218954299787945,0.47810457002120554,0.46186850027056364,0.5381314997294364,0.6114693478439341,0.38853065215606586,0.19281358144431335,0.8071864185556866,0.46032386051182084,0.5396761394881792,0.5620882958472758,0.4379117041527242,0.5013346339334588,0.49866536606654127,0.4374527693311266,0.5625472306688734,0.6154283141147081,0.3845716858852919,0.17290502905359362,0.8270949709464064,0.453947357920471,0.5460526420795291,0.49510090650882693,0.504899093491173,0.517234496519517,0.48276550348048297,0.43836028184172643,0.5616397181582735,0.776624303062382,0.22337569693761808,0.17518492458784612,0.8248150754121538,0.43900574034962025,0.5609942596503797,0.4876505155651076,0.5123494844348924,0.5216973475215496,0.47830265247845033,0.444981538578673,0.555018461421327,0.8264028790042548,0.17359712099574515,0.296503358548385,0.7034966414516151,0.4617573079950948,0.5382426920049053,0.5055704398291249,0.49442956017087514,0.5036092552510198,0.49639074474898015,0.4278986161829933,0.5721013838170067
