county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.sos_16_rep_esp,vap_white.sos_16_dem_oli,vap_black.sos_16_rep_esp,vap_black.sos_16_dem_oli,vap_hisp.sos_16_rep_esp,vap_hisp.sos_16_dem_oli,vap_asian.sos_16_rep_esp,vap_asian.sos_16_dem_oli,vap_aian.sos_16_rep_esp,vap_aian.sos_16_dem_oli,vap_oth_b.sos_16_rep_esp,vap_oth_b.sos_16_dem_oli,vap_white.uss_18_dem_hei,vap_white.uss_18_rep_ric,vap_black.uss_18_dem_hei,vap_black.uss_18_rep_ric,vap_hisp.uss_18_dem_hei,vap_hisp.uss_18_rep_ric,vap_asian.uss_18_dem_hei,vap_asian.uss_18_rep_ric,vap_aian.uss_18_dem_hei,vap_aian.uss_18_rep_ric,vap_oth_b.uss_18_dem_hei,vap_oth_b.uss_18_rep_ric,vap_white.gov_18_dem_luj,vap_white.gov_18_rep_pea,vap_black.gov_18_dem_luj,vap_black.gov_18_rep_pea,vap_hisp.gov_18_dem_luj,vap_hisp.gov_18_rep_pea,vap_asian.gov_18_dem_luj,vap_asian.gov_18_rep_pea,vap_aian.gov_18_dem_luj,vap_aian.gov_18_rep_pea,vap_oth_b.gov_18_dem_luj,vap_oth_b.gov_18_rep_pea,vap_white.atg_18_dem_bal,vap_white.atg_18_rep_hen,vap_black.atg_18_dem_bal,vap_black.atg_18_rep_hen,vap_hisp.atg_18_dem_bal,vap_hisp.atg_18_rep_hen,vap_asian.atg_18_dem_bal,vap_asian.atg_18_rep_hen,vap_aian.atg_18_dem_bal,vap_aian.atg_18_rep_hen,vap_oth_b.atg_18_dem_bal,vap_oth_b.atg_18_rep_hen,vap_white.sos_18_dem_tou,vap_white.sos_18_rep_cla,vap_black.sos_18_dem_tou,vap_black.sos_18_rep_cla,vap_hisp.sos_18_dem_tou,vap_hisp.sos_18_rep_cla,vap_asian.sos_18_dem_tou,vap_asian.sos_18_rep_cla,vap_aian.sos_18_dem_tou,vap_aian.sos_18_rep_cla,vap_oth_b.sos_18_dem_tou,vap_oth_b.sos_18_rep_cla,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_white.uss_20_dem_luj,vap_white.uss_20_rep_ron,vap_black.uss_20_dem_luj,vap_black.uss_20_rep_ron,vap_hisp.uss_20_dem_luj,vap_hisp.uss_20_rep_ron,vap_asian.uss_20_dem_luj,vap_asian.uss_20_rep_ron,vap_aian.uss_20_dem_luj,vap_aian.uss_20_rep_ron,vap_oth_b.uss_20_dem_luj,vap_oth_b.uss_20_rep_ron
Bernalillo County,35001000001,0.7741853330104902,0.22581466698950986,0.2021294425035857,0.7978705574964143,0.29095067689471343,0.7090493231052866,0.34773742010436925,0.6522625798956307,0.16104161106644552,0.8389583889335545,0.14663589424776552,0.8533641057522345,0.6629099328005352,0.33709006719946477,0.25599952865377945,0.7440004713462206,0.29128900679055236,0.7087109932094476,0.45953568010434764,0.5404643198956524,0.21192726379909402,0.788072736200906,0.15220018271123803,0.847799817288762,0.3612160448990178,0.6387839551009822,0.7946871064040704,0.20531289359592964,0.7924755751121075,0.20752442488789247,0.649236174269619,0.350763825730381,0.8572070647769748,0.14279293522302514,0.8381718275102982,0.16182817248970185,0.2798285333237081,0.720171466676292,0.8117164587130683,0.18828354128693167,0.7280242546180768,0.27197574538192315,0.6111125288352047,0.3888874711647953,0.8319275754133274,0.16807242458667254,0.8425606011934995,0.15743939880650049,0.43338549806969934,0.5666145019303007,0.8095750044171914,0.1904249955828085,0.7862081358319948,0.21379186416800527,0.525841074942892,0.47415892505710805,0.8524958192598242,0.14750418074017585,0.8592684542758986,0.1407315457241014,0.32770041943267236,0.6722995805673276,0.7910960132020544,0.20890398679794564,0.7646349035546357,0.23536509644536435,0.6551398402862758,0.3448601597137242,0.839710976055538,0.16028902394446196,0.8630025419630595,0.1369974580369405,0.36471852422488577,0.6352814757751143,0.7803399806214253,0.21966001937857468,0.6619244495888755,0.3380755504111245,0.6381458802219098,0.3618541197780902,0.8506059960454123,0.14939400395458768,0.8407831542780596,0.15921684572194036,0.26175075759464217,0.7382492424053578,0.8066374707711571,0.19336252922884287,0.6364732102815807,0.3635267897184193,0.5958666324990776,0.4041333675009224,0.8231284295151586,0.17687157048484137,0.8634520432725834,0.13654795672741665
Bernalillo County,35001000002,0.7115359080370999,0.2884640919629001,0.19510599432076453,0.8048940056792355,0.2537704490128299,0.7462295509871701,0.34100493666890214,0.6589950633310979,0.1491724367617082,0.8508275632382918,0.14647808987242059,0.8535219101275794,0.6259819561959884,0.37401804380401155,0.2608564070371898,0.7391435929628102,0.27305588841182743,0.7269441115881725,0.4627705652192919,0.5372294347807082,0.2029718422075518,0.7970281577924482,0.14592190206978292,0.854078097930217,0.38454148324379844,0.6154585167562016,0.8026185627165122,0.19738143728348784,0.8057701633227067,0.1942298366772933,0.6541015282639981,0.3458984717360018,0.8670131950264715,0.13298680497352852,0.8438526111598458,0.15614738884015422,0.321861261788535,0.678138738211465,0.813849224824225,0.18615077517577502,0.7501395294936852,0.2498604705063147,0.6131822868661536,0.3868177131338464,0.8322605145142763,0.16773948548572368,0.8484262541718018,0.15157374582819813,0.46693651214103626,0.5330634878589637,0.8431377662710191,0.15686223372898092,0.8121314879128524,0.18786851208714764,0.526693988181215,0.47330601181878496,0.856990272111182,0.14300972788881802,0.8617806532966824,0.1382193467033176,0.35581402340235124,0.6441859765976488,0.7916097803365002,0.20839021966349977,0.7925740585728037,0.2074259414271963,0.6480272387241298,0.3519727612758702,0.8530032087987333,0.14699679120126674,0.8536607206373378,0.14633927936266225,0.42863202919975824,0.5713679708002417,0.7804068310591694,0.21959316894083059,0.7002903530858826,0.29970964691411744,0.6424859899885994,0.3575140100114006,0.8546320068094905,0.14536799319050955,0.8443537661876304,0.15564623381236964,0.3390641887490234,0.6609358112509766,0.8209717336593688,0.1790282663406312,0.6895117249067984,0.31048827509320165,0.6024614555252772,0.3975385444747228,0.829385472537689,0.17061452746231093,0.8724656430382604,0.1275343569617397
Bernalillo County,35001000003,0.747287687266371,0.2527123127336291,0.18995879474151872,0.8100412052584812,0.2626388940979576,0.7373611059020422,0.3621636303078318,0.6378363696921683,0.15584905794949253,0.8441509420505074,0.1479114946608945,0.8520885053391055,0.6341511133772225,0.3658488866227775,0.25860547258279815,0.7413945274172018,0.27210967225616545,0.7278903277438343,0.49261480757669124,0.5073851924233087,0.204745270598293,0.7952547294017069,0.15895639694439706,0.841043603055603,0.47912033462905423,0.5208796653709458,0.8139164071155799,0.1860835928844201,0.8157805187340305,0.18421948126596954,0.6467232215374805,0.3532767784625195,0.8648748161375837,0.13512518386241631,0.8435605779036699,0.1564394220963301,0.37859399527653637,0.6214060047234636,0.8146085326188373,0.18539146738116277,0.761921502082768,0.23807849791723182,0.597174494806395,0.40282550519360505,0.8338632611041685,0.1661367388958315,0.8367996386227202,0.16320036137727975,0.5300691604504465,0.4699308395495535,0.8253203822028874,0.1746796177971126,0.8142075895961661,0.18579241040383387,0.5033634725818612,0.4966365274181388,0.8574773730313779,0.14252262696862203,0.8605962816036531,0.13940371839634688,0.4040592909795076,0.5959407090204923,0.7986802218391394,0.20131977816086058,0.7921821241587246,0.20781787584127517,0.632239715009084,0.367760284990916,0.8576025747845251,0.1423974252154749,0.8493788198127404,0.1506211801872596,0.33460646038790126,0.6653935396120988,0.7792398110858991,0.22076018891410093,0.6679884629362876,0.33201153706371245,0.6053422358528227,0.3946577641471773,0.8485628337857263,0.15143716621427378,0.8370525920282339,0.16294740797176613,0.228000028728368,0.771999971271632,0.8124581894078696,0.18754181059213032,0.6538041078190037,0.34619589218099633,0.5544177148056882,0.4455822851943118,0.8214485579104407,0.17855144208955934,0.8576651189142246,0.14233488108577544
Bernalillo County,35001000004,0.48343924750325185,0.5165607524967482,0.19080327490446247,0.8091967250955375,0.24129357590192252,0.7587064240980775,0.33808672783189275,0.6619132721681072,0.1558048875413385,0.8441951124586615,0.14967605354980335,0.8503239464501967,0.4474536132576808,0.5525463867423192,0.24392966002555239,0.7560703399744476,0.2520475738415186,0.7479524261584815,0.45313397194924016,0.5468660280507599,0.2023063092239873,0.7976936907760127,0.14219343153193287,0.8578065684680671,0.6305514925569359,0.36944850744306407,0.8141014967306253,0.18589850326937477,0.8307775981275977,0.16922240187240228,0.6586563206976341,0.34134367930236587,0.8643225822243203,0.13567741777567965,0.842733738564511,0.15726626143548902,0.4968265184616846,0.5031734815383154,0.8204802863065227,0.17951971369347736,0.7698635931894835,0.23013640681051648,0.618375239867229,0.38162476013277097,0.8397616646579235,0.1602383353420766,0.8410544438512545,0.15894555614874553,0.6249549385114788,0.3750450614885212,0.8327227694149144,0.16727723058508565,0.8320820956894633,0.16791790431053671,0.5368778247600363,0.4631221752399637,0.8567842647800682,0.14321573521993183,0.8615246167972433,0.13847538320275665,0.5833381887395219,0.4166618112604781,0.8083411868012581,0.19165881319874184,0.8125957126976217,0.1874042873023784,0.6575903710307012,0.34240962896929883,0.8593514718114125,0.14064852818858758,0.8670222284341128,0.1329777715658872,0.6002097658012544,0.3997902341987456,0.7964050078410243,0.20359499215897572,0.7106186648778953,0.28938133512210473,0.6407734112625794,0.35922658873742064,0.8589379219525952,0.14106207804740484,0.8509453234328522,0.14905467656714774,0.5109016806618412,0.4890983193381589,0.8196031730211454,0.18039682697885465,0.7027184835865141,0.29728151641348594,0.6130824392183255,0.3869175607816745,0.830067172632845,0.16993282736715498,0.8785746355808948,0.12142536441910524
Bernalillo County,35001000005,0.5149103892687554,0.4850896107312445,0.1891753566122462,0.8108246433877538,0.24046095756927902,0.759539042430721,0.34089434080683895,0.6591056591931611,0.1583615938041216,0.8416384061958784,0.13994245112932913,0.8600575488706709,0.43715345200750566,0.5628465479924943,0.24336570855514925,0.7566342914448507,0.24743041190903126,0.7525695880909687,0.45190546590150177,0.5480945340984982,0.19839239916289797,0.801607600837102,0.14527213167233038,0.8547278683276696,0.6345938236299683,0.3654061763700317,0.8134155361702459,0.1865844638297541,0.8379059819027317,0.16209401809726826,0.6640522102776503,0.33594778972234973,0.8635771984064371,0.1364228015935629,0.8434276347917482,0.15657236520825157,0.5263188251691766,0.4736811748308234,0.8172834795446956,0.18271652045530437,0.7758103424214059,0.22418965757859405,0.6220378660015478,0.37796213399845224,0.8349541060835127,0.16504589391648725,0.8438965952947884,0.15610340470521156,0.6380722299128059,0.3619277700871942,0.838851572258783,0.161148427741217,0.8323434336539116,0.16765656634608836,0.5416462557270668,0.4583537442729332,0.8619452165761632,0.1380547834238368,0.8567925268737812,0.1432074731262188,0.6013903777991921,0.3986096222008079,0.8021031108280686,0.19789688917193132,0.822866953518983,0.17713304648101708,0.6593516517544435,0.3406483482455563,0.8627126746881527,0.13728732531184726,0.8557517749257102,0.1442482250742896,0.611408981267897,0.388591018732103,0.7896992388989709,0.21030076110102908,0.7288911392920796,0.2711088607079204,0.6468242239223425,0.3531757760776575,0.8590429535396719,0.14095704646032817,0.8521563744010165,0.14784362559898317,0.5292682474875754,0.4707317525124246,0.8136630150686959,0.18633698493130407,0.7110274900677711,0.2889725099322289,0.6022066952352492,0.3977933047647508,0.8282582246444896,0.17174177535551044,0.8730716209710576,0.1269283790289422
Bernalillo County,35001000006,0.6802636740671245,0.3197363259328757,0.1930459804963837,0.8069540195036163,0.2618308240954687,0.7381691759045313,0.3449810191144355,0.6550189808855644,0.14631933524612648,0.8536806647538735,0.1410495040960619,0.8589504959039381,0.5921186140495508,0.4078813859504494,0.2491531524325637,0.7508468475674364,0.276487683731641,0.723512316268359,0.4652862327070594,0.5347137672929406,0.20564129508537776,0.7943587049146222,0.1581347606498432,0.8418652393501568,0.47440937525388904,0.5255906247461112,0.8060074864301423,0.1939925135698577,0.8121913899637289,0.18780861003627108,0.6596312462320317,0.34036875376796827,0.8712924387200176,0.12870756127998242,0.8380422060459445,0.16195779395405557,0.33224689858734313,0.6677531014126571,0.8179412799871483,0.1820587200128517,0.7387841708996483,0.26121582910035174,0.6164952307475532,0.38350476925244675,0.8339030879214197,0.16609691207858032,0.8415499803638928,0.1584500196361072,0.5344741618785321,0.465525838121468,0.8249732728453488,0.17502672715465115,0.816296007643541,0.18370399235645898,0.5314635054836714,0.46853649451632856,0.8566934047709377,0.14330659522906233,0.8547537866966265,0.14524621330337345,0.4069906339433786,0.5930093660566217,0.7930296693637371,0.20697033063626286,0.78781963395171,0.21218036604829002,0.6528372583922537,0.3471627416077463,0.8524021278621372,0.14759787213786282,0.8556005586091814,0.14439944139081862,0.5423805830655521,0.4576194169344481,0.7884968412864932,0.2115031587135068,0.7179238351981024,0.28207616480189757,0.6424225359008279,0.35757746409917207,0.8583565016667688,0.14164349833323114,0.8432812161316524,0.15671878386834753,0.43395276567082786,0.5660472343291724,0.8202768083686495,0.17972319163135048,0.6975952270695468,0.30240477293045326,0.610171081591231,0.38982891840876904,0.8363814022617957,0.16361859773820434,0.8689115954140354,0.1310884045859646
Bernalillo County,35001000007,0.682186879432242,0.317813120567758,0.18937809308077158,0.8106219069192284,0.25896448675744205,0.741035513242558,0.3513910868549283,0.6486089131450717,0.1597926402214211,0.840207359778579,0.14499328692688676,0.8550067130731133,0.5417753035580535,0.4582246964419465,0.2445376337969686,0.7554623662030314,0.26042335766748576,0.7395766423325142,0.45472197855598206,0.5452780214440179,0.20354456001066631,0.7964554399893337,0.14938728853800215,0.8506127114619978,0.5020733716165016,0.49792662838349844,0.8137499511243941,0.18625004887560595,0.8123786099337796,0.18762139006622036,0.6634664770838752,0.3365335229161248,0.8656268932370457,0.13437310676295428,0.8335611089674196,0.1664388910325804,0.3939323973642157,0.6060676026357843,0.8167726311525991,0.18322736884740085,0.7590057313063528,0.2409942686936472,0.6172436106728332,0.3827563893271669,0.8313197401364635,0.16868025986353652,0.8386877512531987,0.16131224874680125,0.5634598798517204,0.43654012014827953,0.8295111781841397,0.17048882181586034,0.8190268090292585,0.1809731909707415,0.531410597973413,0.46858940202658705,0.850295102569504,0.14970489743049595,0.8603311155813202,0.13966888441867972,0.4369708396549809,0.5630291603450192,0.8044649544144897,0.19553504558551027,0.8001487243551652,0.19985127564483482,0.6527235358627871,0.3472764641372129,0.8516258051114649,0.14837419488853504,0.8648707004913153,0.1351292995086847,0.5526544125245569,0.44734558747544306,0.7910439451229762,0.20895605487702387,0.7304854187611779,0.26951458123882205,0.6447221289468418,0.3552778710531582,0.8683932811910249,0.1316067188089751,0.849686264203208,0.150313735796792,0.48039764886795544,0.5196023511320446,0.8202202355088245,0.17977976449117547,0.7166504894061407,0.2833495105938593,0.6110344842909389,0.3889655157090612,0.8339460152718776,0.16605398472812238,0.8716182593694505,0.12838174063054955
Bernalillo County,35001000008,0.5762566619481164,0.4237433380518835,0.19300942031489238,0.8069905796851076,0.2374446944989023,0.7625553055010977,0.3428318627309617,0.6571681372690383,0.15375438932520258,0.8462456106747974,0.13692353754286785,0.8630764624571319,0.44579900483588814,0.5542009951641119,0.2484289393672574,0.7515710606327426,0.24587295348006305,0.7541270465199369,0.45376056330392617,0.5462394366960739,0.20894460306812063,0.7910553969318794,0.14691176982148485,0.8530882301785149,0.5844877869622443,0.4155122130377557,0.8128259766738244,0.18717402332617564,0.8269448839236094,0.17305511607639054,0.6571846161050687,0.3428153838949313,0.8748093663760295,0.1251906336239705,0.842515276453922,0.15748472354607806,0.4719948696931091,0.5280051303068909,0.8164886377397722,0.18351136226022777,0.7781809764624067,0.22181902353759334,0.6279420788736254,0.37205792112637465,0.8379467560572826,0.16205324394271733,0.8422376221392884,0.15776237786071132,0.6639598892227978,0.3360401107772022,0.8220266903492098,0.17797330965079014,0.8413873126712144,0.15861268732878558,0.5402891182804395,0.45971088171956054,0.857683491266058,0.14231650873394194,0.8613941284893335,0.1386058715106663,0.5547973572293026,0.44520264277069743,0.7987468462291268,0.2012531537708731,0.814668956515501,0.185331043484499,0.6557030887293375,0.34429691127066253,0.8511325035789722,0.1488674964210278,0.8580681135051064,0.14193188649489363,0.45798507527483256,0.5420149247251674,0.787083599732154,0.212916400267846,0.6977085039451381,0.30229149605486194,0.6495639089237077,0.3504360910762923,0.8585484493537024,0.1414515506462975,0.8456395703110788,0.15436042968892097,0.4070126009059214,0.5929873990940786,0.8203631349410561,0.179636865058944,0.6954479072569855,0.3045520927430146,0.6045494563755172,0.3954505436244829,0.8328080043217497,0.16719199567825024,0.8629377675441308,0.13706223245586896
Bernalillo County,35001000009,0.7190156462428706,0.2809843537571294,0.19184085255802968,0.8081591474419703,0.33756292268162036,0.6624370773183796,0.34586214797295284,0.6541378520270472,0.16093348432454943,0.8390665156754508,0.13966809690988072,0.8603319030901193,0.5945224674951929,0.40547753250480706,0.25693796442036115,0.7430620355796388,0.32241349290599897,0.677586507094001,0.4566724057433804,0.5433275942566196,0.2187840311310686,0.7812159688689316,0.15484485459135078,0.8451551454086492,0.4106925061606071,0.589307493839393,0.8059105603879603,0.1940894396120397,0.7379031436922365,0.26209685630776347,0.66422161269354,0.33577838730646004,0.8546432271811122,0.14535677281888798,0.838524647117923,0.161475352882077,0.3416502733638159,0.6583497266361841,0.8126014109954587,0.18739858900454134,0.6822851603347525,0.3177148396652475,0.6130529565361216,0.38694704346387837,0.8268960191953624,0.1731039808046378,0.8349888849084165,0.16501111509158353,0.4923895030628503,0.5076104969371498,0.8336856179845159,0.16631438201548412,0.7675517849045351,0.23244821509546487,0.5329727652993632,0.4670272347006368,0.8456885786462317,0.15431142135376855,0.8519167243399184,0.1480832756600816,0.398308268610824,0.601691731389176,0.7919004902893052,0.20809950971069485,0.7476142734607473,0.25238572653925273,0.654605473211252,0.34539452678874805,0.8490768946144724,0.15092310538552775,0.8525572357045628,0.1474427642954372,0.41982102986315345,0.5801789701368466,0.7816140664186385,0.2183859335813615,0.6307310915466783,0.3692689084533218,0.649494662460826,0.35050533753917396,0.8506164917178797,0.14938350828212058,0.8522765492069374,0.14772345079306262,0.31494856420242484,0.6850514357975751,0.8230268238285301,0.1769731761714699,0.5988696709085932,0.4011303290914068,0.604352601234854,0.395647398765146,0.8210692160130624,0.17893078398693787,0.8659522294125159,0.1340477705874841
Bernalillo County,35001000010,0.697322248159912,0.30267775184008805,0.19041855691303045,0.8095814430869696,0.2661317597731883,0.7338682402268117,0.3497253988520461,0.6502746011479539,0.16025583879152383,0.8397441612084762,0.1427481975541847,0.8572518024458153,0.5837443633137963,0.4162556366862037,0.2475841019694291,0.7524158980305709,0.2716001284579159,0.7283998715420841,0.46993017687219457,0.5300698231278054,0.20178651693348523,0.7982134830665147,0.15464678969247883,0.8453532103075212,0.4598626181115581,0.5401373818884418,0.8103138823342511,0.18968611766574894,0.8104891509739065,0.18951084902609347,0.6498640940039992,0.3501359059960007,0.8600742732627484,0.13992572673725154,0.8463444021590402,0.15365559784095978,0.3460600185320508,0.6539399814679492,0.8197310125506581,0.18026898744934194,0.7472445883912773,0.2527554116087227,0.6094761037230455,0.39052389627695444,0.8253739705852312,0.17462602941476876,0.8364985542311056,0.16350144576889442,0.5516982219659938,0.4483017780340061,0.8255615418345126,0.17443845816548742,0.8138635561587677,0.18613644384123232,0.5246847757419368,0.4753152242580632,0.8578124190868622,0.14218758091313782,0.866709168358841,0.133290831641159,0.4615018034206829,0.5384981965793171,0.7990664013283433,0.20093359867165667,0.7999619315782538,0.20003806842174618,0.6569684855638779,0.3430315144361221,0.8435808814323633,0.15641911856763663,0.86412012307782,0.13587987692218,0.4297349929283692,0.5702650070716307,0.7891520525986878,0.21084794740131224,0.6909596077050347,0.3090403922949653,0.6426959653361333,0.35730403466386673,0.8552204686563435,0.14477953134365656,0.8478867863569433,0.15211321364305674,0.32613608256559323,0.6738639174344068,0.818292046935809,0.18170795306419096,0.674681294505022,0.325318705494978,0.5947098113573389,0.4052901886426611,0.8167507009113713,0.18324929908862878,0.8608547846759806,0.13914521532401933
