county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_white.uss_16_dem_dix,vap_white.uss_16_rep_sco,vap_black.uss_16_dem_dix,vap_black.uss_16_rep_sco,vap_hisp.uss_16_dem_dix,vap_hisp.uss_16_rep_sco,vap_asian.uss_16_dem_dix,vap_asian.uss_16_rep_sco,vap_aian.uss_16_dem_dix,vap_aian.uss_16_rep_sco,vap_oth_b.uss_16_dem_dix,vap_oth_b.uss_16_rep_sco,vap_white.gov_18_dem_smi,vap_white.gov_18_rep_mcm,vap_black.gov_18_dem_smi,vap_black.gov_18_rep_mcm,vap_hisp.gov_18_dem_smi,vap_hisp.gov_18_rep_mcm,vap_asian.gov_18_dem_smi,vap_asian.gov_18_rep_mcm,vap_aian.gov_18_dem_smi,vap_aian.gov_18_rep_mcm,vap_oth_b.gov_18_dem_smi,vap_oth_b.gov_18_rep_mcm,vap_white.atg_18_dem_ana,vap_white.atg_18_rep_wil,vap_black.atg_18_dem_ana,vap_black.atg_18_rep_wil,vap_hisp.atg_18_dem_ana,vap_hisp.atg_18_rep_wil,vap_asian.atg_18_dem_ana,vap_asian.atg_18_rep_wil,vap_aian.atg_18_dem_ana,vap_aian.atg_18_rep_wil,vap_oth_b.atg_18_dem_ana,vap_oth_b.atg_18_rep_wil,vap_white.sos_18_dem_whi,vap_white.sos_18_rep_ham,vap_black.sos_18_dem_whi,vap_black.sos_18_rep_ham,vap_hisp.sos_18_dem_whi,vap_hisp.sos_18_rep_ham,vap_asian.sos_18_dem_whi,vap_asian.sos_18_rep_ham,vap_aian.sos_18_dem_whi,vap_aian.sos_18_rep_ham,vap_oth_b.sos_18_dem_whi,vap_oth_b.sos_18_rep_ham,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_white.uss_20_rep_gra,vap_white.uss_20_dem_har,vap_black.uss_20_rep_gra,vap_black.uss_20_dem_har,vap_hisp.uss_20_rep_gra,vap_hisp.uss_20_dem_har,vap_asian.uss_20_rep_gra,vap_asian.uss_20_dem_har,vap_aian.uss_20_rep_gra,vap_aian.uss_20_dem_har,vap_oth_b.uss_20_rep_gra,vap_oth_b.uss_20_dem_har
Abbeville County,45001000001,0.16871547374835155,0.8312845262516485,0.7679063890306979,0.23209361096930214,0.5345951130291691,0.46540488697083093,0.48975846687422653,0.5102415331257735,0.5050444196566637,0.49495558034333637,0.5303006516016959,0.4696993483983041,0.13321426092247232,0.8667857390775277,0.7391333939728822,0.2608666060271177,0.5204375199590079,0.4795624800409921,0.5206167152423625,0.4793832847576374,0.5028343701181534,0.4971656298818466,0.5278581718932606,0.4721418281067395,0.19082635711672116,0.8091736428832789,0.7715958019729451,0.22840419802705497,0.514405547388906,0.48559445261109396,0.49515083846849284,0.5048491615315072,0.50124770749209,0.49875229250791003,0.5170371400268002,0.48296285997319977,0.13109616104295088,0.8689038389570491,0.7757160285419342,0.22428397145806578,0.5220084163982094,0.4779915836017906,0.503961429213964,0.49603857078603597,0.5022014656334202,0.4977985343665799,0.5298682560663107,0.47013174393368923,0.13663636983890748,0.8633636301610925,0.7871643974621907,0.2128356025378093,0.5205587998094243,0.4794412001905757,0.4984680582057452,0.5015319417942549,0.49603860019642426,0.5039613998035757,0.5520511967662877,0.4479488032337123,0.8678969631991261,0.1321030368008739,0.1251494854607096,0.8748505145392904,0.45748291982115086,0.5425170801788491,0.49964472140682215,0.5003552785931779,0.48039165737336204,0.5196083426266379,0.4240120438080488,0.5759879561919512,0.8509956854917999,0.14900431450820006,0.14772034266334785,0.8522796573366521,0.46910737223250376,0.5308926277674962,0.5018328819170551,0.4981671180829449,0.4990042007642356,0.5009957992357644,0.45042017633166664,0.5495798236683334
Abbeville County,45001000002,0.21464360734688454,0.7853563926531154,0.8171864181576122,0.18281358184238783,0.5291660412800518,0.47083395871994815,0.4865514913944956,0.5134485086055044,0.5028747436411131,0.497125256358887,0.5189008146262112,0.48109918537378876,0.21876089071714827,0.7812391092828517,0.7628675976470534,0.23713240235294664,0.5121526057605741,0.4878473942394259,0.5138008537763333,0.4861991462236667,0.49736830521861036,0.5026316947813897,0.5212446741577662,0.47875532584223385,0.22347242798444797,0.776527572015552,0.8707521494975262,0.12924785050247378,0.5130052282690764,0.4869947717309237,0.489570087685201,0.510429912314799,0.5072926173961564,0.49270738260384367,0.5199760774820665,0.4800239225179334,0.19135819272072224,0.8086418072792778,0.8798864993223553,0.1201135006776447,0.5124386884259093,0.4875613115740906,0.49703367131626064,0.5029663286837394,0.5010665170003851,0.498933482999615,0.5194310664226448,0.48056893357735514,0.17997018813043483,0.8200298118695651,0.8719320764111397,0.1280679235888603,0.5119187427823452,0.48808125721765483,0.5021761619398349,0.497823838060165,0.5037819883842903,0.49621801161570966,0.5441438394940944,0.4558561605059056,0.8688575582166105,0.1311424417833895,0.05923629129994239,0.9407637087000577,0.4603052871241766,0.5396947128758234,0.49602542197663246,0.5039745780233675,0.4798140592400797,0.5201859407599203,0.42441281411003956,0.5755871858899604,0.804783735027436,0.19521626497256397,0.06745436925503878,0.9325456307449612,0.46604752214174505,0.533952477858255,0.5054672776909174,0.49453272230908263,0.4968958087653293,0.5031041912346707,0.4441934438474536,0.5558065561525465
Abbeville County,45001000003,0.23657181812745007,0.7634281818725499,0.809512810607903,0.1904871893920969,0.5338170328907859,0.46618296710921414,0.4850258986429768,0.5149741013570233,0.5021066869714175,0.49789331302858253,0.5437215540762077,0.4562784459237923,0.20780034025699212,0.7921996597430079,0.7950902527203717,0.20490974727962832,0.5186212868839997,0.48137871311600033,0.5162067573640061,0.48379324263599394,0.5025517856223075,0.49744821437769254,0.5285652379655423,0.4714347620344577,0.29769517737944906,0.7023048226205509,0.8353352793369385,0.16466472066306143,0.5137460110160917,0.4862539889839082,0.4873724876441248,0.5126275123558752,0.5046245818651747,0.4953754181348253,0.5354943964245659,0.4645056035754341,0.22560424210223987,0.7743957578977602,0.8266434957079567,0.17335650429204336,0.5124846538026344,0.48751534619736553,0.502439151445793,0.497560848554207,0.5063335897475257,0.4936664102524742,0.5367547703939295,0.4632452296060705,0.23868600891639422,0.7613139910836058,0.8420062217145005,0.15799377828549954,0.519376794314515,0.48062320568548506,0.5012533639116382,0.49874663608836184,0.5048513594598585,0.4951486405401415,0.5571385911740797,0.44286140882592023,0.826561955797602,0.17343804420239797,0.09618967276865531,0.9038103272313447,0.46337561757332135,0.5366243824266784,0.4970838750871511,0.502916124912849,0.4784229907660787,0.5215770092339213,0.4150878070467413,0.5849121929532587,0.778107443893512,0.22189255610648798,0.12789329043521386,0.8721067095647862,0.469663498258668,0.5303365017413317,0.5115890894679745,0.48841091053202546,0.49671191855293406,0.5032880814470659,0.4503181943280707,0.5496818056719294
Abbeville County,45001000004,0.15979070101536513,0.8402092989846348,0.7706256503867747,0.22937434961322534,0.5370287172327695,0.4629712827672306,0.48833367911449005,0.5116663208855099,0.5038346139194401,0.49616538608055993,0.5254547210548477,0.4745452789451523,0.16609345020075064,0.8339065497992494,0.7225458738322801,0.27745412616771986,0.51702323405506,0.48297676594493993,0.5093642470546607,0.4906357529453393,0.49646475966480597,0.503535240335194,0.5291163675415755,0.4708836324584245,0.11945851347142476,0.8805414865285752,0.6808625479605919,0.3191374520394081,0.5077721599568142,0.4922278400431857,0.49030647687181217,0.5096935231281878,0.502032786250294,0.497967213749706,0.5112327818069972,0.4887672181930028,0.09493553010882118,0.9050644698911788,0.6692016904395544,0.33079830956044565,0.5073470788009159,0.4926529211990841,0.4951371234673644,0.5048628765326356,0.4995448280838955,0.5004551719161044,0.5125904676287084,0.4874095323712916,0.09453395277998733,0.9054660472200127,0.734713402864201,0.2652865971357991,0.5098032976869692,0.49019670231303075,0.5014604797815784,0.4985395202184216,0.49916752148868265,0.5008324785113173,0.533762078814879,0.46623792118512103,0.9360527982876312,0.06394720171236883,0.144295704719259,0.855704295280741,0.4801483057864496,0.5198516942135504,0.497213943854209,0.502786056145791,0.486672568651677,0.513327431348323,0.44243844399316545,0.5575615560068345,0.906891745321586,0.093108254678414007,0.16901606058314592,0.8309839394168541,0.47315468894243073,0.5268453110575693,0.5106302939786249,0.48936970602137503,0.4981769557628005,0.5018230442371995,0.4602394910611342,0.5397605089388658
Abbeville County,45001000005,0.11882618220910532,0.8811738177908947,0.7360956769141415,0.2639043230858586,0.5371102739806888,0.4628897260193112,0.4815780750750064,0.5184219249249934,0.5043241697359537,0.49567583026404627,0.5392889886733645,0.4607110113266355,0.12233225278158665,0.8776677472184133,0.7152460448131392,0.2847539551868607,0.5164304260138655,0.4835695739861346,0.5121896202648201,0.4878103797351797,0.502447870481268,0.4975521295187319,0.5257279000464661,0.47427209995353387,0.1641768778632316,0.8358231221367685,0.7496981680381705,0.25030183196182954,0.5108443598423961,0.48915564015760393,0.4828123343031484,0.5171876656968514,0.4972511266890565,0.5027488733109434,0.5244388709391736,0.47556112906082615,0.12288719011541689,0.8771128098845831,0.7663551998655479,0.2336448001344521,0.517596419658236,0.482403580341764,0.5051032542679365,0.4948967457320634,0.5024844361268863,0.49751556387311374,0.5266434186106197,0.4733565813893803,0.12431126494232966,0.8756887350576703,0.7585936556603164,0.2414063443396836,0.515094026692026,0.4849059733079741,0.4982027989763591,0.5017972010236407,0.5025691154591708,0.4974308845408291,0.5478672753173205,0.4521327246826793,0.9101036620505376,0.08989633794946242,0.1536254138453599,0.8463745861546401,0.45928337611833137,0.5407166238816686,0.4946234841530441,0.505376515846956,0.4789327671823892,0.5210672328176108,0.420166393126565,0.5798336068734348,0.8934259305651171,0.10657406943488291,0.18710841117582763,0.8128915888241723,0.46732434669774725,0.5326756533022527,0.50359663360261675,0.49640336639738325,0.49341867119066163,0.5065813288093384,0.44794176916239653,0.5520582308376035
Abbeville County,45001000006,0.166758993783495,0.8332410062165052,0.7494965846912087,0.2505034153087913,0.5305666322767643,0.4694333677232357,0.49050334020633224,0.5094966597936678,0.5024261004110054,0.49757389958899456,0.532876566946066,0.46712343305393395,0.20564288904536263,0.7943571109546376,0.7288152930919245,0.27118470690807545,0.5173731043342462,0.48262689566575384,0.5134238827736467,0.48657611722635336,0.5059147245990357,0.4940852754009643,0.533789180141832,0.4662108198581681,0.21008058046783346,0.7899194195321668,0.7506829344365895,0.24931706556341052,0.5137105803309143,0.4862894196690857,0.494403969808056,0.505596030191944,0.5024848021033006,0.49751519789669946,0.528638956751002,0.47136104324899797,0.18676512553599517,0.8132348744640051,0.7620167343991477,0.23798326560085223,0.5219932301481458,0.47800676985185425,0.5045165618130907,0.49548343818690926,0.5007060771302059,0.4992939228697941,0.5349910509787023,0.4650089490212977,0.18709147315156055,0.8129085268484396,0.778678419759339,0.22132158024066098,0.5194158447249151,0.48058415527508486,0.4988087941419487,0.5011912058580513,0.5102117871418338,0.48978821285816615,0.5514680641483258,0.4485319358516741,0.897385437853755,0.10261456214624518,0.15444763742997772,0.8455523625700223,0.46038511552333483,0.5396148844766652,0.4978648517636511,0.502135148236349,0.48498104010630716,0.5150189598936928,0.410986192657574,0.5890138073424259,0.8773728084430753,0.1226271915569249,0.19031466320294235,0.8096853367970577,0.47305468100930825,0.5269453189906917,0.510620176267867,0.48937982373213296,0.5029591021946052,0.49704089780539484,0.45352572778270445,0.5464742722172956
Abbeville County,45001000007,0.33972590995844326,0.6602740900415567,0.8710825548205615,0.12891744517943848,0.541354121495946,0.45864587850405397,0.48860023951192894,0.5113997604880711,0.5019062142496794,0.4980937857503206,0.5405300422409047,0.4594699577590952,0.33491744518295447,0.6650825548170455,0.8612844033914199,0.1387155966085801,0.5205169026567575,0.47948309734324246,0.5112184199566118,0.4887815800433883,0.5089524684932795,0.4910475315067205,0.5477817838391998,0.4522182161608002,0.348678764712049,0.6513212352879509,0.8694617484216348,0.13053825157836516,0.5196852653274225,0.48031473467257746,0.4892420527498847,0.5107579472501154,0.4999023299660441,0.5000976700339559,0.5367922216931573,0.4632077783068427,0.32603291712598437,0.6739670828740156,0.8676953976327308,0.1323046023672692,0.5215220050474817,0.4784779949525183,0.5068623381370905,0.49313766186290947,0.4979189228445669,0.5020810771554332,0.5326326758909675,0.4673673241090325,0.3031436993138265,0.6968563006861734,0.8966873972602462,0.10331260273975386,0.5235529603851196,0.4764470396148805,0.4981781458830708,0.5018218541169293,0.503593966078059,0.49640603392194105,0.5592980615162086,0.4407019384837913,0.8078312629931549,0.19216873700684514,0.07963440197423778,0.9203655980257622,0.457052456214472,0.542947543785528,0.493417185278513,0.506582814721487,0.47709639423720446,0.5229036057627956,0.4101331210624566,0.5898668789375434,0.7558145094390806,0.24418549056091943,0.09277704473715664,0.9072229552628434,0.4605807570681513,0.5394192429318486,0.5101230834461349,0.4898769165538651,0.4992887599518719,0.5007112400481281,0.4394154203393035,0.5605845796606965
Abbeville County,45001000008,0.1318695963623493,0.8681304036376507,0.7438487141644388,0.2561512858355613,0.5352228393152837,0.46477716068471625,0.4873001994546483,0.5126998005453517,0.500331297053945,0.49966870294605503,0.5361830607948525,0.4638169392051474,0.13422327370130988,0.8657767262986901,0.7309935038778733,0.26900649612212674,0.5247160726047253,0.4752839273952747,0.5136113938253695,0.4863886061746305,0.502711940406474,0.4972880595935259,0.5335250796680533,0.46647492033194665,0.15275370292526888,0.8472462970747311,0.751411116198946,0.2485888838010541,0.5105183646110746,0.4894816353889255,0.487329385423855,0.5126706145761449,0.49738498805876,0.50261501194124,0.5223522709450731,0.4776477290549269,0.10222220671131395,0.897777793288686,0.7583490251109741,0.24165097488902582,0.5155253023921159,0.48447469760788403,0.5011102436693989,0.498889756330601,0.4965935698517968,0.5034064301482032,0.5308954985151444,0.4691045014848556,0.10596848862573979,0.8940315113742602,0.7646912139281443,0.2353087860718557,0.5179001502443802,0.4820998497556198,0.5024994293653439,0.4975005706346562,0.49963564384848674,0.5003643561515133,0.5511417264454341,0.4488582735545658,0.9168339278287009,0.08316607217129915,0.1480201716824441,0.8519798283175559,0.45968130607566754,0.5403186939243325,0.4946910019006497,0.5053089980993503,0.4878081325097623,0.5121918674902377,0.4225057548296115,0.5774942451703883,0.8896135696314883,0.11038643036851174,0.18605898416364777,0.8139410158363523,0.46603976208959313,0.5339602379104068,0.511328969651835,0.48867103034816495,0.5031826411951231,0.49681735880487693,0.44920466232002937,0.5507953376799704
Abbeville County,45001000009,0.10689082916287851,0.8931091708371215,0.7361920082659353,0.2638079917340646,0.5276918754476063,0.4723081245523936,0.4854434625055969,0.5145565374944031,0.49585528585087396,0.5041447141491263,0.5240770057653822,0.47592299423461776,0.14638024111639875,0.8536197588836012,0.7248876720443025,0.27511232795569746,0.522169315891563,0.47783068410843704,0.5062912044287828,0.49370879557121716,0.5042906638227527,0.4957093361772476,0.5287177482758361,0.4712822517241639,0.13404190613125277,0.8659580938687472,0.7463630225714387,0.2536369774285613,0.5089073844376426,0.49109261556235745,0.4835381399995767,0.5164618600004233,0.5012661421894726,0.49873385781052754,0.5185723422829207,0.4814276577170793,0.11759589823507799,0.882404101764922,0.7509729705466709,0.2490270294533291,0.5145731262824629,0.4854268737175371,0.501352104609564,0.4986478953904359,0.5005666144168417,0.49943338558315853,0.5316544704757216,0.4683455295242784,0.12250969592182327,0.8774903040781767,0.7691796941604934,0.2308203058395066,0.5237381931681807,0.47626180683181923,0.4947752193628405,0.5052247806371595,0.5059976146346545,0.49400238536534574,0.5463402268641915,0.45365977313580846,0.9060980656606196,0.09390193433938042,0.1569508390024369,0.8430491609975631,0.4575093381607198,0.5424906618392802,0.5002282320014005,0.49977176799859946,0.4833221327407542,0.516677867259246,0.4194267541906944,0.5805732458093056,0.8838611273699687,0.11613887263003131,0.182351716641861,0.817648283358139,0.4613650138528635,0.5386349861471365,0.5087289289024424,0.49127107109755763,0.4995348176379511,0.5004651823620492,0.4511008514444587,0.5488991485555413
Abbeville County,45001000010,0.21081703625129286,0.7891829637487071,0.769415689849529,0.23058431015047093,0.540087611942124,0.459912388057876,0.488128475633001,0.511871524366999,0.5071145515458215,0.4928854484541784,0.5321349245933439,0.4678650754066561,0.20159497691260755,0.7984050230873925,0.7389690618958178,0.2610309381041822,0.5271800859013405,0.4728199140986595,0.5095784426226384,0.49042155737736154,0.4998962298876651,0.500103770112335,0.5277723691816664,0.47222763081833363,0.2525540501489113,0.7474459498510887,0.7762525842918778,0.22374741570812218,0.5113102893400495,0.4886897106599505,0.4845446991647872,0.5154553008352127,0.493661987228892,0.506338012771108,0.5279004122231888,0.4720995877768111,0.23733291515962293,0.762667084840377,0.7747721458677224,0.22522785413227758,0.5209174859946105,0.4790825140053895,0.5058800902110969,0.4941199097889031,0.5058848600374668,0.4941151399625332,0.533385934520281,0.46661406547971895,0.21049831290847457,0.7895016870915255,0.7939668978823575,0.20603310211764245,0.5174907768686303,0.4825092231313696,0.5006430098311628,0.49935699016883717,0.49846124193888264,0.5015387580611174,0.5472209326283747,0.4527790673716253,0.8608247197730593,0.13917528022694076,0.12357999753205377,0.8764200024679463,0.46136742729448815,0.5386325727055119,0.49245578126112416,0.5075442187388758,0.4775225665459866,0.5224774334540134,0.41440146918001336,0.5855985308199867,0.8324153261213018,0.16758467387869821,0.16455788021451465,0.8354421197854853,0.4655994765001084,0.5344005234998915,0.5131913892776354,0.4868086107223646,0.5014491477125009,0.4985508522874991,0.4494340562560077,0.5505659437439923
