county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_white.uss_18_dem_whi,vap_white.uss_18_rep_fla,vap_black.uss_18_dem_whi,vap_black.uss_18_rep_fla,vap_hisp.uss_18_dem_whi,vap_hisp.uss_18_rep_fla,vap_oth.uss_18_dem_whi,vap_oth.uss_18_rep_fla,vap_white.gov_18_dem_rai,vap_white.gov_18_rep_fun,vap_black.gov_18_dem_rai,vap_black.gov_18_rep_fun,vap_hisp.gov_18_dem_rai,vap_hisp.gov_18_rep_fun,vap_oth.gov_18_dem_rai,vap_oth.gov_18_rep_fun,vap_white.sos_18_dem_gor,vap_white.sos_18_rep_cor,vap_black.sos_18_dem_gor,vap_black.sos_18_rep_cor,vap_hisp.sos_18_dem_gor,vap_hisp.sos_18_rep_cor,vap_oth.sos_18_dem_gor,vap_oth.sos_18_rep_cor,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_white.uss_20_dem_ree,vap_white.uss_20_rep_wat,vap_black.uss_20_dem_ree,vap_black.uss_20_rep_wat,vap_hisp.uss_20_dem_ree,vap_hisp.uss_20_rep_wat,vap_oth.uss_20_dem_ree,vap_oth.uss_20_rep_wat
Providence County,44007443106,0.24731189146855886,0.7526881085314411,0.9073988738289872,0.0926011261710128,0.9473886554053683,0.05261134459463167,0.8091854412132456,0.19081455878675432,0.31600525312001676,0.6839947468799832,0.8736888657697972,0.12631113423020274,0.9317500964858727,0.06824990351412734,0.8143140654066225,0.18568593459337743,0.25301286008384377,0.7469871399161562,0.8735028673464039,0.1264971326535961,0.9109267018564782,0.08907329814352184,0.8250489527773696,0.1749510472226304,0.43180053517866884,0.5681994648213311,0.8604432104636107,0.13955678953638925,0.9324051173347323,0.06759488266526774,0.799561641583386,0.2004383584166139,0.2973882548119078,0.7026117451880922,0.8975384743816904,0.10246152561830955,0.8011368501877494,0.19886314981225064,0.8030265158789974,0.19697348412100263,0.40844051616183036,0.5915594838381697,0.8699558028736629,0.1300441971263371,0.8791622063616583,0.1208377936383417,0.8403332921744703,0.15966670782552975
Providence County,44007443901,0.3867291008815112,0.6132708991184888,0.907016481357944,0.09298351864205597,0.9454498923061512,0.05455010769384878,0.8903886074865384,0.10961139251346158,0.5658363771014677,0.4341636228985323,0.8957887229363802,0.10421127706361978,0.945874442002281,0.05412555799771904,0.9043577230263793,0.09564227697362071,0.5587985125356498,0.4412014874643502,0.8740949340157183,0.1259050659842818,0.9233676198797396,0.07663238012026043,0.8927931668999506,0.10720683310004944,0.616385981333229,0.38361401866677103,0.8719741257167788,0.1280258742832212,0.9415696153219603,0.058430384678039786,0.9020572753218414,0.09794272467815852,0.4775872977100384,0.5224127022899616,0.8984557218659761,0.10154427813402392,0.801267308968775,0.19873269103122504,0.898489128454623,0.10151087154537694,0.5322697105092266,0.4677302894907735,0.860355593632265,0.13964440636773506,0.866135245739596,0.13386475426040403,0.8950821444763105,0.10491785552368948
Providence County,44007443902,0.465650208592948,0.5343497914070519,0.9202075450289299,0.07979245497107015,0.9522282987079834,0.04777170129201661,0.8938777797405932,0.10612222025940675,0.627763546162995,0.37223645383700504,0.8905736719014058,0.10942632809859418,0.9454643451931863,0.0545356548068137,0.90135166564943,0.09864833435056995,0.6125429229840448,0.38745707701595494,0.8700734878350755,0.12992651216492446,0.9207255659342449,0.07927443406575509,0.8846959602755552,0.1153040397244448,0.6760295825464249,0.32397041745357497,0.8769555177994511,0.1230444822005489,0.9492792024281977,0.050720797571802284,0.9103813712749642,0.08961862872503581,0.43971530052110697,0.560284699478893,0.9012387019960751,0.09876129800392487,0.7927330566407514,0.20726694335924858,0.8928251104919733,0.1071748895080267,0.6255216120167957,0.3744783879832043,0.8779966136561976,0.12200338634380231,0.8858920034125237,0.11410799658747625,0.9172199469544844,0.08278005304551564
Providence County,44007443903,0.47587911637130365,0.5241208836286964,0.9209159953444924,0.07908400465550756,0.9506410741524357,0.04935892584756429,0.8851400134896225,0.11485998651037757,0.5413719622238351,0.45862803777616495,0.8911093049321975,0.10889069506780248,0.9370760538643579,0.06292394613564214,0.8882189455146879,0.11178105448531202,0.5460655460476088,0.45393445395239124,0.876468430348124,0.12353156965187595,0.9147731047975114,0.0852268952024886,0.8784744042145657,0.12152559578543427,0.5716518810012413,0.4283481189987587,0.8657072662938557,0.13429273370614428,0.9326316616322525,0.06736833836774746,0.8989907940741164,0.10100920592588358,0.4452002066870003,0.5547997933129998,0.9030458710132127,0.09695412898678737,0.7947739443215623,0.20522605567843763,0.8990831388578324,0.10091686114216758,0.5884605415654807,0.4115394584345193,0.8783157943092091,0.12168420569079089,0.8825447817766408,0.11745521822335925,0.9217196960639077,0.07828030393609234
Providence County,44007443904,0.4092540626593493,0.5907459373406506,0.9105387633639216,0.08946123663607845,0.9446833702106485,0.05531662978935147,0.8935071596298617,0.10649284037013826,0.4708014793245584,0.5291985206754416,0.8715018871577579,0.12849811284224216,0.9274934525044497,0.07250654749555027,0.8797350372177832,0.12026496278221674,0.4120880694390995,0.5879119305609005,0.8702442583128436,0.1297557416871564,0.9043196734529008,0.09568032654709924,0.8759047757823473,0.12409522421765279,0.5823850791546383,0.41761492084536167,0.8614913611199501,0.1385086388800499,0.9369030508837018,0.06309694911629819,0.8989580332943392,0.10104196670566085,0.379156369890042,0.620843630109958,0.8898475511800936,0.11015244881990638,0.7624234225776464,0.2375765774223536,0.8771594619473326,0.12284053805266741,0.5093820924664926,0.4906179075335074,0.8553419523312652,0.1446580476687348,0.8653578996666952,0.13464210033330484,0.8939816481238085,0.10601835187619142
Providence County,44007443905,0.3582782510581887,0.6417217489418112,0.9133899246342768,0.08661007536572321,0.9456275183893836,0.05437248161061635,0.8937713919310187,0.10622860806898125,0.43953264661102154,0.5604673533889785,0.8824782914880354,0.1175217085119647,0.9266426798927951,0.07335732010720485,0.8853715525007818,0.11462844749921823,0.42444821880312317,0.5755517811968769,0.8645159062439591,0.13548409375604087,0.9118028576120973,0.08819714238790262,0.888956017273373,0.11104398272662695,0.5159114326958137,0.48408856730418626,0.851669574354033,0.14833042564596705,0.9324810894771641,0.06751891052283589,0.8960359789550749,0.1039640210449251,0.40160275015999053,0.5983972498400095,0.9028259495990388,0.09717405040096112,0.797526519219367,0.20247348078063296,0.8985737485990177,0.10142625140098231,0.5194896026244794,0.48051039737552065,0.8598508715668469,0.14014912843315308,0.8754969853206092,0.12450301467939082,0.8929956148231597,0.1070043851768403
Providence County,44007443906,0.3906627231087695,0.6093372768912305,0.9075351541239082,0.09246484587609181,0.9413794284435004,0.0586205715564996,0.8890490921936314,0.11095090780636863,0.4354827562348966,0.5645172437651035,0.8756394167832549,0.12436058321674515,0.9312312625608282,0.06876873743917175,0.8927179998908477,0.10728200010915237,0.35017399668156163,0.6498260033184383,0.8592441549863383,0.14075584501366162,0.9047393320938028,0.09526066790619721,0.8834786728407314,0.11652132715926851,0.491714936243708,0.508285063756292,0.862113199709857,0.13788680029014297,0.9350642282072198,0.06493577179278025,0.8896655586013155,0.11033444139868454,0.4015198472684814,0.5984801527315187,0.8963316581214541,0.10366834187854594,0.7980914015876772,0.20190859841232284,0.8987752650726415,0.10122473492735855,0.4950496571359952,0.5049503428640049,0.8665673401061962,0.1334326598938038,0.875391770977623,0.12460822902237699,0.9393771624895627,0.06062283751043737
Providence County,44007443907,0.3064410038825908,0.6935589961174091,0.9222332863927982,0.07776671360720178,0.9472521163982173,0.0527478836017825,0.882025891371729,0.117974108628271,0.4429555102448766,0.5570444897551234,0.8864475289910861,0.1135524710089139,0.9312711082567174,0.06872889174328256,0.8896740188665844,0.1103259811334156,0.37868242559611354,0.6213175744038865,0.8762436001489803,0.12375639985101972,0.9136026207636858,0.08639737923631396,0.8845631939333546,0.11543680606664541,0.5137060276669988,0.48629397233300115,0.8541564977976533,0.14584350220234668,0.9414254631399901,0.05857453686000993,0.8991556635567504,0.10084433644324961,0.38142843534665283,0.6185715646533472,0.894291374227395,0.10570862577260501,0.7980505539987752,0.20194944600122477,0.8939120273219674,0.10608797267803256,0.49224981496142645,0.5077501850385736,0.8608869560932327,0.13911304390676726,0.8766280336803731,0.12337196631962692,0.8990277454576202,0.10097225454237979
Providence County,44007443908,0.2769767223527617,0.7230232776472383,0.9156213418621292,0.08437865813787082,0.941108375423975,0.058891624576025085,0.8754605609703408,0.12453943902965925,0.3619308498050737,0.6380691501949263,0.8679069140499983,0.13209308595000166,0.9256588581432587,0.07434114185674133,0.8801291353622288,0.11987086463777115,0.3111526532918252,0.6888473467081748,0.8609976362349206,0.13900236376507938,0.92253827558527,0.07746172441472998,0.8716453501831793,0.12835464981682068,0.4529633659092512,0.5470366340907489,0.8611918137674683,0.13880818623253163,0.9287044030351622,0.07129559696483782,0.8856770345036867,0.1143229654963133,0.3293677768453271,0.670632223154673,0.8886120083653274,0.11138799163467243,0.7945397814556782,0.2054602185443218,0.8937744518785787,0.1062255481214213,0.45429754429424046,0.5457024557057595,0.8638848969654543,0.13611510303454566,0.8731637884597578,0.1268362115402422,0.8954764849590781,0.10452351504092194
Providence County,44007443909,0.2881868423619265,0.7118131576380735,0.9025932748023126,0.09740672519768744,0.9347199262537753,0.06528007374622467,0.8738484656086534,0.12615153439134663,0.3684616661566343,0.6315383338433658,0.8643869102175674,0.1356130897824326,0.9236192371772386,0.07638076282276136,0.8784495308424709,0.12155046915752911,0.345126452022945,0.654873547977055,0.8722143957147185,0.12778560428528155,0.9120319478355838,0.08796805216441614,0.8764525636716598,0.12354743632834018,0.47137146485031506,0.528628535149685,0.8703985789750672,0.1296014210249328,0.9331431674719589,0.06685683252804106,0.8829527676382571,0.11704723236174282,0.36207437417462013,0.6379256258253799,0.9065082081726265,0.09349179182737358,0.7901014583292636,0.20989854167073638,0.8851059751073459,0.11489402489265409,0.46921459547229744,0.5307854045277025,0.8680479853797995,0.13195201462020043,0.8731878277379023,0.12681217226209776,0.9002002246815942,0.09979977531840582
