county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_hag,vap_white.uss_20_dem_bra,vap_black.uss_20_rep_hag,vap_black.uss_20_dem_bra,vap_hisp.uss_20_rep_hag,vap_hisp.uss_20_dem_bra,vap_oth.uss_20_rep_hag,vap_oth.uss_20_dem_bra
Anderson County,47001000001,0.8636412745836357,0.13635872541636435,0.37752270377949004,0.62247729622051,0.4271966469093481,0.5728033530906519,0.3955467346426866,0.6044532653573135,0.8545317714220951,0.14546822857790484,0.3866034277160368,0.6133965722839633,0.430817130934644,0.569182869065356,0.41033352293596675,0.5896664770640333,0.8728614047259176,0.1271385952740825,0.37144197843885374,0.6285580215611463,0.40561617975459313,0.5943838202454068,0.38149207089579157,0.6185079291042084
Anderson County,47001000002,0.8779309698023505,0.12206903019764952,0.3756467859705272,0.6243532140294729,0.4267678401392207,0.5732321598607792,0.4164942164558165,0.5835057835441835,0.8640522066825561,0.1359477933174439,0.38902264998546926,0.6109773500145308,0.44406049751004584,0.5559395024899542,0.42594917932188753,0.5740508206781125,0.8737862811138686,0.1262137188861314,0.3769609724948652,0.6230390275051347,0.4018322720065714,0.5981677279934285,0.38806095840875837,0.6119390415912417
Anderson County,47001000003,0.8045739628927343,0.19542603710726567,0.3725921916689539,0.627407808331046,0.422476620912778,0.577523379087222,0.39865275672201866,0.6013472432779813,0.7821704629906984,0.21782953700930163,0.39058447649166517,0.6094155235083348,0.4440537168709376,0.5559462831290625,0.41725904280685117,0.5827409571931488,0.7999723895667563,0.20002761043324374,0.37360673149513884,0.6263932685048611,0.3990036120669902,0.6009963879330098,0.38229076873873047,0.6177092312612695
Anderson County,47001000004,0.8058081952794732,0.19419180472052675,0.37007690465656673,0.6299230953434333,0.42133794599321145,0.5786620540067885,0.40064104937360223,0.5993589506263978,0.7887317066574024,0.2112682933425976,0.38733572718265546,0.6126642728173445,0.4468964715669717,0.5531035284330282,0.41431229949502046,0.5856877005049795,0.8039038795494835,0.19609612045051653,0.3821189754761192,0.6178810245238807,0.3988914176085115,0.6011085823914886,0.38175001010264203,0.618249989897358
Anderson County,47001000005,0.7317839581030569,0.2682160418969429,0.3723569219864341,0.6276430780135659,0.41710950154675563,0.5828904984532444,0.3904654993109873,0.6095345006890127,0.7296334333000735,0.2703665666999263,0.38776560568570606,0.6122343943142939,0.4414024670446987,0.5585975329553013,0.4102850985363877,0.5897149014636123,0.7452690345724321,0.2547309654275676,0.3747827878480825,0.6252172121519175,0.40236434304543656,0.5976356569545634,0.3806028505314253,0.6193971494685747
Anderson County,47001000006,0.7788553701835095,0.22114462981649055,0.37331193290758363,0.6266880670924164,0.4247145601461068,0.5752854398538932,0.39707799980617625,0.6029220001938238,0.7608683650273624,0.23913163497263762,0.38351692650665037,0.6164830734933496,0.4404060413837348,0.5595939586162652,0.40963853700710556,0.5903614629928944,0.7833838135108715,0.21661618648912848,0.3753146160151736,0.6246853839848264,0.4022096213025876,0.5977903786974124,0.38055336273431833,0.6194466372656816
Anderson County,47001000007,0.8646198158118086,0.1353801841881914,0.373049802253218,0.6269501977467821,0.41969954133197723,0.5803004586680228,0.400417503798318,0.599582496201682,0.835685840994728,0.16431415900527196,0.3845143305380053,0.6154856694619947,0.44245161206169326,0.5575483879383067,0.4209357113646733,0.5790642886353268,0.8637075802900445,0.13629241970995554,0.38122310089334827,0.6187768991066518,0.4088961359804167,0.5911038640195834,0.3914551553417661,0.6085448446582339
Anderson County,47001000008,0.8034234496222908,0.1965765503777091,0.3704240472970339,0.6295759527029658,0.4112920675466655,0.5887079324533345,0.3948539708176972,0.6051460291823029,0.847188896287587,0.15281110371241302,0.3842455892532892,0.6157544107467106,0.4373844260209255,0.5626155739790745,0.41488790677736165,0.5851120932226384,0.8414779876414595,0.15852201235854044,0.37005377666646105,0.629946223333539,0.4093063004177934,0.5906936995822066,0.3738836410812518,0.6261163589187482
Anderson County,47001000009,0.5612251695605563,0.4387748304394439,0.3638473528843819,0.636152647115618,0.41089327856988545,0.5891067214301146,0.3722503301391385,0.6277496698608616,0.4964442504163854,0.5035557495836148,0.3803494109146093,0.6196505890853907,0.43103832700356104,0.568961672996439,0.39995992582191614,0.6000400741780839,0.5518871798652364,0.4481128201347639,0.3708294307028626,0.6291705692971374,0.39116966648929286,0.6088303335107071,0.35317192846279166,0.6468280715372083
Anderson County,47001000010,0.8583506376409334,0.14164936235906656,0.37010364526840184,0.6298963547315981,0.4194109029062068,0.5805890970937931,0.4044497534396855,0.5955502465603145,0.870135997181708,0.12986400281829202,0.3865118935611282,0.6134881064388719,0.4352771799224242,0.5647228200775758,0.4285432297911564,0.5714567702088437,0.8746887245257984,0.12531127547420165,0.3768545140695272,0.6231454859304728,0.4089726951815043,0.5910273048184956,0.3924744466691579,0.6075255533308421
