county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_white.uss_16_dem_dix,vap_white.uss_16_rep_sco,vap_black.uss_16_dem_dix,vap_black.uss_16_rep_sco,vap_hisp.uss_16_dem_dix,vap_hisp.uss_16_rep_sco,vap_oth.uss_16_dem_dix,vap_oth.uss_16_rep_sco,vap_white.gov_18_dem_smi,vap_white.gov_18_rep_mcm,vap_black.gov_18_dem_smi,vap_black.gov_18_rep_mcm,vap_hisp.gov_18_dem_smi,vap_hisp.gov_18_rep_mcm,vap_oth.gov_18_dem_smi,vap_oth.gov_18_rep_mcm,vap_white.atg_18_dem_ana,vap_white.atg_18_rep_wil,vap_black.atg_18_dem_ana,vap_black.atg_18_rep_wil,vap_hisp.atg_18_dem_ana,vap_hisp.atg_18_rep_wil,vap_oth.atg_18_dem_ana,vap_oth.atg_18_rep_wil,vap_white.sos_18_dem_whi,vap_white.sos_18_rep_ham,vap_black.sos_18_dem_whi,vap_black.sos_18_rep_ham,vap_hisp.sos_18_dem_whi,vap_hisp.sos_18_rep_ham,vap_oth.sos_18_dem_whi,vap_oth.sos_18_rep_ham,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_gra,vap_white.uss_20_dem_har,vap_black.uss_20_rep_gra,vap_black.uss_20_dem_har,vap_hisp.uss_20_rep_gra,vap_hisp.uss_20_dem_har,vap_oth.uss_20_rep_gra,vap_oth.uss_20_dem_har
Horry County,45051000185,0.1005637890389857,0.8994362109610143,0.828760748253136,0.17123925174686383,0.6280795358715071,0.37192046412849294,0.7214568254048934,0.2785431745951065,0.07883413772400837,0.9211658622759916,0.8584670371133659,0.14153296288663383,0.6571363824830798,0.3428636175169202,0.7361379120995187,0.26386208790048127,0.0940920494558226,0.9059079505441774,0.7564331190041542,0.24356688099584575,0.6451157350991025,0.35488426490089753,0.7131923213271182,0.2868076786728818,0.07903331626245243,0.9209666837375475,0.7552731056679096,0.24472689433209038,0.6606533752227461,0.33934662477725386,0.7218039566430422,0.2781960433569578,0.08407055042692575,0.9159294495730742,0.7717714690987875,0.22822853090121228,0.6258439548546166,0.37415604514538336,0.6882779013879589,0.3117220986120412,0.9130775306234182,0.0869224693765818,0.2499028519670259,0.7500971480329741,0.3852495250840662,0.6147504749159338,0.3313912444771783,0.6686087555228216,0.8918712470740936,0.10812875292590643,0.20452626633814128,0.7954737336618587,0.36482481617972384,0.6351751838202762,0.30359268476509055,0.6964073152349095
Horry County,45051000186,0.03567209734262446,0.9643279026573756,0.6314041858953287,0.3685958141046713,0.44350135434583876,0.5564986456541613,0.6593959737075001,0.3406040262924998,0.029867724105810466,0.9701322758941895,0.67928683188997,0.32071316811003,0.4542408847964437,0.5457591152035564,0.6807596856559744,0.31924031434402556,0.046488340415802756,0.9535116595841973,0.4995434614483003,0.5004565385516997,0.46689135848817787,0.5331086415118221,0.6576618543897134,0.34233814561028664,0.04287214130586832,0.9571278586941316,0.429676067572046,0.570323932427954,0.4990402082467399,0.5009597917532601,0.668043224159868,0.3319567758401319,0.03978151223451868,0.9602184877654814,0.39319009934127097,0.6068099006587291,0.4458621835331345,0.5541378164668656,0.6227953102917584,0.3772046897082416,0.9469219834936822,0.05307801650631778,0.39287232757445817,0.6071276724255419,0.5256910657118168,0.47430893428818327,0.367968007976007,0.632031992023993,0.9451080909132887,0.054891909086711266,0.3860889162226035,0.6139110837773966,0.5021476240701886,0.4978523759298113,0.34933731725907496,0.650662682740925
Horry County,45051000187,0.030505225958489982,0.96949477404151,0.6816940536176844,0.31830594638231563,0.5786902916290066,0.42130970837099335,0.6731230456108915,0.32687695438910847,0.03321595434053545,0.9667840456594645,0.8136276624165846,0.1863723375834154,0.631985238082331,0.368014761917669,0.7165451068353281,0.2834548931646719,0.04744795101937112,0.9525520489806288,0.6435344069927489,0.3564655930072511,0.6349326430365043,0.3650673569634957,0.6860392863431642,0.31396071365683575,0.04172682415440737,0.9582731758455926,0.5268793539246811,0.4731206460753189,0.6517386712686389,0.348261328731361,0.685495376728574,0.3145046232714261,0.04223497353612898,0.9577650264638711,0.5694301421479082,0.4305698578520918,0.6127944919425189,0.38720550805748116,0.6457822154074662,0.35421778459253384,0.9493231470261241,0.0506768529738759,0.3310171863540759,0.668982813645924,0.389841019815873,0.6101589801841271,0.3492589520495639,0.6507410479504361,0.9468400700173779,0.0531599299826221,0.3013878615112026,0.6986121384887973,0.3772673878262878,0.6227326121737121,0.31887892160300746,0.6811210783969925
Horry County,45051000188,0.4358605597760211,0.5641394402239789,0.9930412279441311,0.006958772055868927,0.6452799416928358,0.35472005830716424,0.7938737340932872,0.20612626590671276,0.25941621569306395,0.740583784306936,0.9920545099862155,0.007945490013784497,0.6612102115053491,0.33878978849465086,0.8006603520495241,0.19933964795047585,0.39021104151529423,0.6097889584847057,0.9907071737714784,0.009292826228521562,0.6847562115775171,0.3152437884224829,0.7945409195841425,0.20545908041585748,0.3651632991156252,0.6348367008843748,0.9946150672233758,0.0053849327766242695,0.6979225688937417,0.3020774311062583,0.801071442338739,0.19892855766126102,0.4238495404236982,0.5761504595763018,0.9939072766245661,0.006092723375433822,0.6633649442796029,0.33663505572039715,0.7770531334131016,0.22294686658689847,0.749042578245693,0.250957421754307,0.017738452568191825,0.9822615474318082,0.3616503031017691,0.6383496968982308,0.2820841988990971,0.7179158011009029,0.7187890550065194,0.28121094499348065,0.01368282851211452,0.9863171714878854,0.345792472425798,0.654207527574202,0.25489008147489056,0.7451099185251094
Horry County,45051000189,0.16586969794353787,0.8341303020564621,0.9126396407930397,0.08736035920696025,0.6384735078152224,0.36152649218477767,0.7229014024093519,0.2770985975906481,0.10895896697213207,0.891041033027868,0.9240377104511267,0.07596228954887332,0.6512358095728012,0.34876419042719875,0.7339721865498743,0.26602781345012577,0.2556860467413929,0.744313953258607,0.9202973484261345,0.07970265157386543,0.6890217474298587,0.3109782525701413,0.7431276094642552,0.2568723905357449,0.2381939822632551,0.761806017736745,0.939456140986415,0.06054385901358509,0.6982617722758933,0.30173822772410674,0.7520463226320045,0.24795367736799542,0.255107552612479,0.7448924473875209,0.923394660706809,0.076605339293191,0.6658936884211146,0.3341063115788854,0.7232755253632195,0.27672447463678046,0.7530616962418825,0.24693830375811754,0.09520999793175383,0.9047900020682461,0.3439885800262275,0.6560114199737724,0.2959181033592339,0.7040818966407661,0.723933934572321,0.2760660654276789,0.08461784072611041,0.9153821592738896,0.3379265517013511,0.6620734482986489,0.2721141008780566,0.7278858991219435
Horry County,45051000190,0.8087175395774439,0.19128246042255617,0.9924819996077079,0.007518000392292108,0.8081171836770584,0.19188281632294155,0.8380279611868171,0.16197203881318292,0.7237056065307413,0.2762943934692586,0.9924483159716871,0.007551684028312842,0.8015586593120835,0.19844134068791652,0.8329403699112786,0.16705963008872135,0.6738097279805373,0.32619027201946277,0.9864336593515266,0.013566340648473452,0.7763798670085459,0.22362013299145414,0.8004947354871881,0.19950526451281195,0.673796144200412,0.32620385579958794,0.9915165388475874,0.008483461152412568,0.7938829691565481,0.20611703084345193,0.8145242762009012,0.18547572379909885,0.66934535125435,0.3306546487456499,0.9889926947157119,0.011007305284288069,0.7667769155267614,0.23322308447323853,0.7799980928207448,0.22000190717925522,0.5263073128101065,0.4736926871898936,0.025019658844333457,0.9749803411556666,0.2862444174306,0.7137555825694,0.2612381852636545,0.7387618147363455,0.5082355308615845,0.4917644691384155,0.021628640896100226,0.9783713591038998,0.2776134229101351,0.722386577089865,0.24171787358216643,0.7582821264178335
Horry County,45051000191,0.2572942494150915,0.7427057505849085,0.8927225454965549,0.10727745450344509,0.6500922382230981,0.34990776177690186,0.740477554042171,0.25952244595782903,0.23949877283566687,0.7605012271643331,0.9159503587645909,0.0840496412354092,0.6795046546383224,0.32049534536167756,0.7570604712231173,0.2429395287768827,0.2614955972878186,0.7385044027121814,0.87532988510657606,0.12467011489342399,0.6896663821253489,0.3103336178746511,0.7517776500896506,0.24822234991034944,0.24755094340220515,0.7524490565977948,0.8828075678655202,0.11719243213447984,0.6988615655663429,0.3011384344336571,0.7580931508644965,0.24190684913550356,0.2537588348698717,0.7462411651301283,0.8565467523587234,0.14345324764127668,0.6668339362324842,0.3331660637675158,0.716528719232729,0.283471280767271,0.7573115262058004,0.24268847379419953,0.17081503736942744,0.8291849626305725,0.3448814866195318,0.6551185133804682,0.29157620558248026,0.7084237944175198,0.7452463359661264,0.2547536640338735,0.1456316215198863,0.8543683784801137,0.33677526307169225,0.6632247369283077,0.28160861168254864,0.7183913883174514
Horry County,45051000192,0.08713292202035947,0.9128670779796403,0.6106536992706416,0.38934630072935833,0.5663719985209982,0.43362800147900177,0.6722913973052383,0.3277086026947617,0.07617361245647813,0.9238263875435219,0.6836775807954385,0.31632241920456144,0.5849853757893182,0.41501462421068175,0.6942259823811604,0.30577401761883954,0.12710915088321026,0.8728908491167897,0.5998888997921084,0.40011110020789165,0.6193967445060057,0.3806032554939943,0.697039846870082,0.302960153129918,0.1268158787819624,0.8731841212180373,0.5202637754976561,0.4797362245023439,0.6312287464913354,0.3687712535086646,0.7035206870122498,0.2964793129877502,0.12074784140595896,0.8792521585940408,0.5387975148097879,0.46120248519021206,0.6066406721663005,0.39335932783369953,0.6648747251412569,0.33512527485874316,0.8702610349297591,0.12973896507024074,0.32001999224924205,0.679980007750758,0.40216700456336024,0.5978329954366398,0.3388353960961906,0.6611646039038094,0.8645236792356806,0.13547632076431929,0.26024481610512495,0.739755183894875,0.3817801501014396,0.6182198498985604,0.3141454842042643,0.6858545157957358
Horry County,45051000193,0.18080544110123284,0.8191945588987671,0.842610943340552,0.157389056659448,0.6614012679014338,0.3385987320985662,0.7384735638015238,0.26152643619847615,0.10259642044817313,0.8974035795518269,0.8729790780141835,0.1270209219858165,0.6702911906311783,0.3297088093688218,0.7449995534449669,0.2550004465550331,0.22788988771342245,0.7721101122865776,0.7954921651564559,0.20450783484354407,0.6906471110041824,0.30935288899581753,0.7424816696609605,0.2575183303390392,0.21296676228240763,0.7870332377175924,0.851417528027047,0.14858247197295302,0.7052378510459512,0.29476214895404884,0.7548138594530467,0.24518614054695315,0.22217883352053244,0.7778211664794675,0.8397658414294973,0.16023415857050277,0.679572536669365,0.32042746333063504,0.7124185489716734,0.28758145102832655,0.8030219652544277,0.1969780347455723,0.19242342098193715,0.8075765790180628,0.3533670884458981,0.646632911554102,0.3159366214738401,0.68406337852616,0.7944146518264502,0.2055853481735498,0.17216460763224634,0.8278353923677537,0.3313490807975438,0.6686509192024562,0.2789580927782973,0.7210419072217025
Horry County,45051000194,0.12947280833870795,0.8705271916612922,0.8486381845224672,0.15136181547753277,0.6364637753500197,0.3635362246499802,0.7296229781322543,0.2703770218677457,0.12516415666740568,0.8748358433325946,0.8631100247606315,0.13688997523936855,0.6698649821272301,0.3301350178727699,0.7418602351884414,0.2581397648115586,0.1835956902274693,0.8164043097725309,0.7970098451524866,0.2029901548475134,0.675558372007634,0.3244416279923659,0.7369199579771993,0.26308004202280066,0.15743521304230865,0.8425647869576915,0.9223207219711613,0.07767927802883869,0.685202887902923,0.31479711209707695,0.7415123133825465,0.25848768661745347,0.16593781246592892,0.8340621875340712,0.7871638321391097,0.21283616786089035,0.6598712650461875,0.3401287349538125,0.7142861917562597,0.28571380824374026,0.8185699313916974,0.18143006860830277,0.20650218125059183,0.7934978187494082,0.3459217471160659,0.6540782528839342,0.3141633583489714,0.6858366416510286,0.8116940025657933,0.18830599743420692,0.18436967871982257,0.8156303212801774,0.34191818454720907,0.658081815452791,0.2974311005931341,0.7025688994068658
