county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_white.uss_18_rep_jam,vap_white.uss_18_dem_sta,vap_black.uss_18_rep_jam,vap_black.uss_18_dem_sta,vap_hisp.uss_18_rep_jam,vap_hisp.uss_18_dem_sta,vap_oth.uss_18_rep_jam,vap_oth.uss_18_dem_sta,vap_white.gov_18_rep_sch,vap_white.gov_18_dem_whi,vap_black.gov_18_rep_sch,vap_black.gov_18_dem_whi,vap_hisp.gov_18_rep_sch,vap_hisp.gov_18_dem_whi,vap_oth.gov_18_rep_sch,vap_oth.gov_18_dem_whi,vap_white.atg_18_rep_leo,vap_white.atg_18_dem_nes,vap_black.atg_18_rep_leo,vap_black.atg_18_dem_nes,vap_hisp.atg_18_rep_leo,vap_hisp.atg_18_dem_nes,vap_oth.atg_18_rep_leo,vap_oth.atg_18_dem_nes,vap_white.sos_18_rep_lan,vap_white.sos_18_dem_ben,vap_black.sos_18_rep_lan,vap_black.sos_18_dem_ben,vap_hisp.sos_18_rep_lan,vap_hisp.sos_18_dem_ben,vap_oth.sos_18_rep_lan,vap_oth.sos_18_dem_ben,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_jam,vap_white.uss_20_dem_pet,vap_black.uss_20_rep_jam,vap_black.uss_20_dem_pet,vap_hisp.uss_20_rep_jam,vap_hisp.uss_20_dem_pet,vap_oth.uss_20_rep_jam,vap_oth.uss_20_dem_pet
Alcona County,26001001001,0.2725687426696384,0.7274312573303616,0.3405963476114491,0.6594036523885509,0.5080713359400963,0.4919286640599036,0.4904122883055204,0.5095877116944796,0.6622417746391153,0.33775822536088473,0.48765403806729146,0.5123459619327085,0.48768878120589143,0.5123112187941086,0.5012772524899386,0.4987227475100614,0.641359390884044,0.35864060911595597,0.505304263228712,0.494695736771288,0.5284214760434159,0.4715785239565841,0.5115246551482744,0.4884753448517256,0.6911516702491968,0.30884832975080323,0.4826872885736997,0.5173127114263003,0.4861418455903445,0.5138581544096554,0.49003615354305363,0.5099638464569464,0.6707271028190984,0.3292728971809016,0.48884733215105747,0.5111526678489425,0.4903494319367114,0.5096505680632887,0.4835383545395531,0.5164616454604469,0.7063296658710148,0.2936703341289853,0.4766820589245719,0.5233179410754281,0.491573367626485,0.5084266323735149,0.49061072572589187,0.5093892742741082,0.6790275750893414,0.3209724249106586,0.5099945866925432,0.4900054133074569,0.501995984988362,0.49800401501163805,0.4844071176079455,0.5155928823920545
Alcona County,26001001002,0.2813273774329538,0.7186726225670462,0.34613499887721844,0.6538650011227816,0.5057994481655643,0.4942005518344357,0.49557392577474974,0.5044260742252502,0.6444845342695805,0.3555154657304194,0.48892947600343284,0.5110705239965672,0.49235356916086903,0.507646430839131,0.5007527500746441,0.4992472499253559,0.6353514961986617,0.3646485038013383,0.5079757204117571,0.4920242795882429,0.5238243030275938,0.4761756969724063,0.49898275955685284,0.5010172404431471,0.680619427724883,0.31938057227511696,0.49137776414630774,0.5086222358536923,0.49509026584147403,0.504909734158526,0.4956970986362347,0.5043029013637653,0.6618317929188248,0.3381682070811753,0.49090747355715536,0.5090925264428446,0.49184680053655155,0.5081531994634485,0.48822501100236393,0.5117749889976361,0.6806929694352872,0.31930703056471277,0.4818600289315533,0.5181399710684467,0.4915678368255716,0.5084321631744284,0.4954473570387372,0.5045526429612628,0.6553312771427442,0.34466872285725575,0.5092868362096779,0.49071316379032215,0.5042275798144856,0.4957724201855143,0.4748770208300433,0.5251229791699568
Alcona County,26001001003,0.33785053268341464,0.6621494673165854,0.2746456207318441,0.7253543792681559,0.5112005177662269,0.4887994822337732,0.4979167184719087,0.5020832815280913,0.5996081353815763,0.40039186461842363,0.4862745918266923,0.5137254081733077,0.4978132025412956,0.5021867974587044,0.5075660564509218,0.49243394354907816,0.5766151101422868,0.4233848898577132,0.5055978043735967,0.49440219562640325,0.5199822106302373,0.48001778936976264,0.4949931375112586,0.5050068624887414,0.6521174128964338,0.3478825871035662,0.49009281611084227,0.5099071838891577,0.4934555907174188,0.5065444092825813,0.4846026474901142,0.5153973525098858,0.6264059844731021,0.3735940155268978,0.49245706499733366,0.5075429350026663,0.4892353792446001,0.5107646207553999,0.4878142615848366,0.5121857384151633,0.6820263859378017,0.31797361406219826,0.4740228850879359,0.5259771149120641,0.4894003747688666,0.5105996252311334,0.49678780729663014,0.5032121927033698,0.666335019600309,0.33366498039969095,0.5105646655694288,0.4894353344305712,0.49630526456998936,0.5036947354300106,0.4777550824480971,0.5222449175519029
Alcona County,26001001004,0.3328389850968904,0.6671610149031096,0.336773047399603,0.663226952600397,0.5113260610449057,0.48867393895509426,0.5012142839114992,0.49878571608850075,0.595712967146457,0.404287032853543,0.4916461692775327,0.5083538307224673,0.49375725956085637,0.5062427404391436,0.502149718617469,0.497850281382531,0.6101226689887355,0.38987733101126454,0.509298289143405,0.4907017108565949,0.5296757548652795,0.4703242451347205,0.4987057322215764,0.5012942677784237,0.6390088315955377,0.3609911684044623,0.4858775248825518,0.5141224751174482,0.4932498580770952,0.5067501419229048,0.4928233406137951,0.5071766593862049,0.618108275091276,0.3818917249087241,0.49258740004782886,0.5074125999521711,0.4935504408100207,0.5064495591899792,0.4823032006327834,0.5176967993672166,0.654456271191632,0.345543728808368,0.47722795551010494,0.522772044489895,0.48580496930497663,0.5141950306950234,0.5017068032895514,0.4982931967104486,0.626953206308096,0.3730467936919039,0.5090662347349781,0.4909337652650219,0.5014346376886222,0.4985653623113779,0.47732564414552514,0.5226743558544749
Alcona County,26001001005,0.22957357780130025,0.7704264221986997,0.34157337641601415,0.6584266235839858,0.5131106862197924,0.48688931378020756,0.49490925436582134,0.5050907456341787,0.6828444953371544,0.3171555046628456,0.4959521675243953,0.5040478324756047,0.4870997654032037,0.5129002345967963,0.5067045587231347,0.49329544127686537,0.6617120079019461,0.33828799209805394,0.5077133827410207,0.4922866172589792,0.5384944137621289,0.461505586237871,0.5022364335852818,0.4977635664147182,0.7338562272144263,0.26614377278557366,0.4860916686876706,0.5139083313123294,0.48849048314845783,0.5115095168515421,0.4970889208201233,0.5029110791798768,0.7092206361538196,0.29077936384618047,0.4819349799466676,0.5180650200533324,0.48929009704133586,0.5107099029586641,0.48605400848646413,0.5139459915135358,0.75190366710392,0.24809633289607996,0.47927072541282595,0.520729274587174,0.4899182654842237,0.5100817345157763,0.49673992297134995,0.50326007702865,0.7267231182722165,0.2732768817277836,0.5097148942111004,0.49028510578889967,0.497055984592961,0.5029440154070389,0.487095730394313,0.512904269605687
Alcona County,26001001006,0.41120959852516653,0.5887904014748334,0.3454778044654191,0.6545221955345809,0.5102072575728701,0.4897927424271299,0.49442989443569263,0.5055701055643074,0.5160146054419068,0.48398539455809314,0.49195622010951007,0.50804377989049,0.4986909828189064,0.5013090171810937,0.5066352809488107,0.4933647190511893,0.4901801992637432,0.5098198007362568,0.5029384731460221,0.49706152685397786,0.5226171699485063,0.4773828300514937,0.4997425008333148,0.5002574991666852,0.5512980225078469,0.4487019774921531,0.49222832084192886,0.5077716791580712,0.4851493113038233,0.5148506886961767,0.49028099901004263,0.5097190009899574,0.4980699914124799,0.5019300085875201,0.4892542435782195,0.5107457564217806,0.4927797779037217,0.5072202220962784,0.48119401299488207,0.5188059870051179,0.5238122976275569,0.4761877023724432,0.46974831640826076,0.5302516835917392,0.48583390564812645,0.5141660943518735,0.4910291591848178,0.5089708408151822,0.5243423429468446,0.4756576570531555,0.5092776336066737,0.49072236639332634,0.49951266216308454,0.5004873378369155,0.48117000630734025,0.5188299936926597
Alcona County,26001001007,0.27073971202594993,0.7292602879740501,0.33642877490881723,0.6635712250911827,0.5092814500753498,0.49071854992465025,0.503132042917558,0.4968679570824421,0.6915174814045204,0.30848251859547965,0.49284063258580946,0.5071593674141905,0.49122215861273705,0.5087778413872629,0.5092991039065472,0.49070089609345285,0.6665989535956264,0.3334010464043737,0.5148594636238988,0.4851405363761012,0.5329150394826235,0.46708496051737647,0.5071622280381181,0.492837771961882,0.7331063218633758,0.26689367813662424,0.4899025802305548,0.5100974197694452,0.48632510212111885,0.5136748978788811,0.49725478695062053,0.5027452130493795,0.7205833171031208,0.27941668289687915,0.49136010316151396,0.508639896838486,0.4875409404699695,0.5124590595300306,0.48150307497909706,0.5184969250209029,0.7217936701920497,0.27820632980795035,0.47946995839206724,0.5205300416079327,0.49402796873620514,0.5059720312637949,0.4942383917538384,0.5057616082461617,0.703724897021237,0.2962751029787631,0.5087060252959107,0.49129397470408925,0.5030627953625291,0.496937204637471,0.480249803993394,0.519750196006606
Alcona County,26001001008,0.26918347922357716,0.7308165207764229,0.3473623768646672,0.6526376231353326,0.5071984767521734,0.49280152324782656,0.5006325215162196,0.4993674784837801,0.7025083549407453,0.2974916450592548,0.4879193547046061,0.5120806452953937,0.4915321884879372,0.5084678115120628,0.508283616692496,0.4917163833075038,0.6672117885264905,0.33278821147350945,0.5074988401413054,0.4925011598586943,0.5203303696246085,0.4796696303753915,0.501973216639026,0.4980267833609739,0.7012299000688733,0.2987700999311267,0.48745581520787934,0.5125441847921204,0.49331019205481025,0.5066898079451897,0.48988495294683976,0.5101150470531602,0.6929370865289096,0.3070629134710904,0.4860612428050886,0.5139387571949111,0.4880912607316079,0.5119087392683921,0.4830384960190295,0.5169615039809705,0.7256479099680105,0.2743520900319895,0.4760044844657967,0.5239955155342031,0.4894618964534039,0.5105381035465961,0.500227624388924,0.4997723756110758,0.702024428848746,0.2979755711512539,0.5061061894333221,0.4938938105666779,0.4997769462909862,0.5002230537090138,0.4866915620188141,0.51330843798118575
Alcona County,26001001009,0.2677177249515878,0.7322822750484124,0.3465365449091839,0.6534634550908162,0.513229619924815,0.48677038007518497,0.4951293592516781,0.5048706407483219,0.6825803254902227,0.3174196745097774,0.49297136419715076,0.5070286358028492,0.4922449115503662,0.5077550884496338,0.5115883126628374,0.4884116873371625,0.6844502468250473,0.3155497531749529,0.49983977572747085,0.5001602242725292,0.5369665299860648,0.4630334700139353,0.494715426371846,0.505284573628154,0.711728095585957,0.28827190441404327,0.4959695859404929,0.5040304140595071,0.4873527179229171,0.5126472820770829,0.48986383656103577,0.5101361634389643,0.6924796613693579,0.3075203386306424,0.4924566333876492,0.5075433666123508,0.484689079946022,0.515310920053978,0.484133895484233,0.515866104515767,0.6937669800465216,0.3062330199534787,0.4740359912136423,0.5259640087863577,0.4847841188929241,0.5152158811070758,0.49370426528131545,0.5062957347186845,0.6856401004519292,0.314359899548071,0.5082904109463391,0.49170958905366086,0.5028059548199099,0.49719404518009014,0.4785615504014468,0.5214384495985532
Alcona County,26001001010,0.19221038023657178,0.8077896197634282,0.341202171464352,0.658797828535648,0.5041253956687725,0.4958746043312275,0.4923482019654262,0.5076517980345737,0.7503766896877652,0.24962331031223478,0.48744882491318353,0.5125511750868165,0.4895830348025328,0.5104169651974673,0.5039533170765437,0.49604668292345633,0.692928832659946,0.3070711673400541,0.5139773242975321,0.48602267570246793,0.5252740875129764,0.47472591248702356,0.5025376988138052,0.4974623011861949,0.7601684072526703,0.23983159274732968,0.4873028963551069,0.5126971036448932,0.4993169878956231,0.5006830121043768,0.4985533820214711,0.501446617978529,0.7551976925110773,0.24480230748892273,0.4872984240389511,0.5127015759610489,0.49564948442062523,0.5043505155793748,0.48506843570382013,0.5149315642961799,0.7821817524879501,0.21781824751204995,0.47704035169797565,0.5229596483020243,0.49224157363770343,0.5077584263622965,0.4950280516977401,0.5049719483022599,0.7276066967762985,0.2723933032237014,0.5113718103366762,0.4886281896633238,0.5024016746494373,0.4975983253505627,0.4861263378081307,0.5138736621918694
