county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_white.uss_16_dem_wyd,vap_white.uss_16_rep_cal,vap_black.uss_16_dem_wyd,vap_black.uss_16_rep_cal,vap_hisp.uss_16_dem_wyd,vap_hisp.uss_16_rep_cal,vap_asian.uss_16_dem_wyd,vap_asian.uss_16_rep_cal,vap_aian.uss_16_dem_wyd,vap_aian.uss_16_rep_cal,vap_oth_b.uss_16_dem_wyd,vap_oth_b.uss_16_rep_cal,vap_white.gov_16_dem_bro,vap_white.gov_16_rep_pie,vap_black.gov_16_dem_bro,vap_black.gov_16_rep_pie,vap_hisp.gov_16_dem_bro,vap_hisp.gov_16_rep_pie,vap_asian.gov_16_dem_bro,vap_asian.gov_16_rep_pie,vap_aian.gov_16_dem_bro,vap_aian.gov_16_rep_pie,vap_oth_b.gov_16_dem_bro,vap_oth_b.gov_16_rep_pie,vap_white.atg_16_dem_ros,vap_white.atg_16_rep_cro,vap_black.atg_16_dem_ros,vap_black.atg_16_rep_cro,vap_hisp.atg_16_dem_ros,vap_hisp.atg_16_rep_cro,vap_asian.atg_16_dem_ros,vap_asian.atg_16_rep_cro,vap_aian.atg_16_dem_ros,vap_aian.atg_16_rep_cro,vap_oth_b.atg_16_dem_ros,vap_oth_b.atg_16_rep_cro,vap_white.sos_16_dem_ava,vap_white.sos_16_rep_ric,vap_black.sos_16_dem_ava,vap_black.sos_16_rep_ric,vap_hisp.sos_16_dem_ava,vap_hisp.sos_16_rep_ric,vap_asian.sos_16_dem_ava,vap_asian.sos_16_rep_ric,vap_aian.sos_16_dem_ava,vap_aian.sos_16_rep_ric,vap_oth_b.sos_16_dem_ava,vap_oth_b.sos_16_rep_ric,vap_white.gov_18_dem_bro,vap_white.gov_18_rep_bue,vap_black.gov_18_dem_bro,vap_black.gov_18_rep_bue,vap_hisp.gov_18_dem_bro,vap_hisp.gov_18_rep_bue,vap_asian.gov_18_dem_bro,vap_asian.gov_18_rep_bue,vap_aian.gov_18_dem_bro,vap_aian.gov_18_rep_bue,vap_oth_b.gov_18_dem_bro,vap_oth_b.gov_18_rep_bue,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_white.uss_20_dem_mer,vap_white.uss_20_rep_per,vap_black.uss_20_dem_mer,vap_black.uss_20_rep_per,vap_hisp.uss_20_dem_mer,vap_hisp.uss_20_rep_per,vap_asian.uss_20_dem_mer,vap_asian.uss_20_rep_per,vap_aian.uss_20_dem_mer,vap_aian.uss_20_rep_per,vap_oth_b.uss_20_dem_mer,vap_oth_b.uss_20_rep_per,vap_white.atg_20_dem_ros,vap_white.atg_20_rep_cro,vap_black.atg_20_dem_ros,vap_black.atg_20_rep_cro,vap_hisp.atg_20_dem_ros,vap_hisp.atg_20_rep_cro,vap_asian.atg_20_dem_ros,vap_asian.atg_20_rep_cro,vap_aian.atg_20_dem_ros,vap_aian.atg_20_rep_cro,vap_oth_b.atg_20_dem_ros,vap_oth_b.atg_20_rep_cro,vap_white.sos_20_dem_fag,vap_white.sos_20_rep_tha,vap_black.sos_20_dem_fag,vap_black.sos_20_rep_tha,vap_hisp.sos_20_dem_fag,vap_hisp.sos_20_rep_tha,vap_asian.sos_20_dem_fag,vap_asian.sos_20_rep_tha,vap_aian.sos_20_dem_fag,vap_aian.sos_20_rep_tha,vap_oth_b.sos_20_dem_fag,vap_oth_b.sos_20_rep_tha
Baker County,41001950100,0.17009706473793398,0.829902935262066,0.481892094260944,0.5181079057390561,0.4983009916138289,0.5016990083861711,0.5078153935032028,0.49218460649679724,0.5009188782648366,0.49908112173516345,0.5108188584715011,0.48918114152849895,0.36544812381296926,0.6345518761870307,0.49593014184320783,0.5040698581567922,0.5014691324178159,0.4985308675821841,0.4973806502909476,0.5026193497090524,0.4949585474202785,0.5050414525797214,0.49560611913714697,0.5043938808628531,0.17903041845915277,0.8209695815408472,0.5066134345802985,0.4933865654197015,0.5095094581471841,0.49049054185281593,0.5086887988108507,0.49131120118914934,0.4925024489744293,0.5074975510255707,0.5053621059600554,0.4946378940399446,0.2063751687591908,0.7936248312408092,0.5117682893601302,0.48823171063986975,0.5126521277726059,0.48734787222739406,0.5012208154467123,0.4987791845532878,0.5109979846309879,0.48900201536901217,0.5009980049005497,0.4990019950994503,0.13242113499045027,0.8675788650095497,0.4995790447651944,0.5004209552348056,0.5076288924810319,0.4923711075189681,0.5056278846582971,0.49437211534170294,0.5092959128005463,0.4907040871994537,0.5277154709207436,0.4722845290792565,0.1380455936593485,0.8619544063406516,0.5124122170967528,0.4875877829032472,0.5055097272788212,0.4944902727211789,0.501747640510023,0.49825235948997704,0.49184624299582363,0.5081537570041764,0.504856680873313,0.495143319126687,0.18791159438309774,0.8120884056169023,0.48894220268080224,0.5110577973191978,0.5097713576799662,0.49022864232003377,0.5011832629879882,0.4988167370120118,0.4920458884623335,0.5079541115376665,0.5032364261045704,0.4967635738954296,0.2127195957626866,0.7872804042373134,0.5034690150483042,0.4965309849516958,0.5096899010508766,0.4903100989491233,0.5010232344824335,0.49897676551756653,0.4963613459563723,0.5036386540436277,0.5140471996997298,0.4859528003002702,0.1894934731520593,0.8105065268479407,0.4956734108513974,0.5043265891486026,0.5073453717719268,0.49265462822807315,0.5194104578924454,0.4805895421075545,0.49964996332400435,0.5003500366759956,0.5127501435255478,0.4872498564744522,0.15837586270831755,0.8416241372916825,0.48443057949964013,0.5155694205003598,0.5121647896649087,0.48783521033509125,0.509533583684775,0.49046641631522503,0.48952562178225245,0.5104743782177475,0.5130724048161575,0.4869275951838425
Baker County,41001950200,0.2110822549787663,0.7889177450212337,0.4873342545939111,0.5126657454060889,0.5029273282825543,0.49707267171744574,0.5068269815813107,0.4931730184186893,0.49628505813630297,0.503714941863697,0.5133014175324854,0.4866985824675147,0.43599103515782656,0.5640089648421734,0.49133801198877036,0.5086619880112296,0.49798291678323275,0.5020170832167673,0.5015955454757645,0.49840445452423554,0.49605192290255357,0.5039480770974464,0.4888583608532073,0.5111416391467928,0.2516187515037716,0.7483812484962283,0.5077582724690846,0.49224172753091544,0.5159625875514955,0.48403741244850457,0.5021554994060814,0.49784450059391855,0.49752371984517985,0.5024762801548202,0.5076174764910459,0.492382523508954,0.30655016561297477,0.6934498343870252,0.5059798381931071,0.4940201618068929,0.5055132479875164,0.49448675201248365,0.4994716728448242,0.5005283271551758,0.5117280135050745,0.4882719864949255,0.508928175171956,0.49107182482804407,0.2125549844226744,0.7874450155773256,0.5018020504872672,0.49819794951273283,0.5121285382702198,0.4878714617297802,0.503944563247059,0.496055436752941,0.5067035723047777,0.4932964276952223,0.5323000331513652,0.46769996684863474,0.18724595601944993,0.8127540439805501,0.5085830735596166,0.4914169264403834,0.5106699665547958,0.4893300334452042,0.507168375135313,0.49283162486468696,0.49595883392055423,0.5040411660794458,0.503089950341115,0.496910049658885,0.22397737187920416,0.7760226281207958,0.49793510666152013,0.5020648933384799,0.5093085134568364,0.49069148654316364,0.49932906514485076,0.5006709348551492,0.494825841162038,0.505174158837962,0.5071101867915075,0.4928898132084924,0.27287402964198826,0.7271259703580117,0.5022983642982964,0.4977016357017036,0.5140662323138029,0.4859337676861971,0.5005001947742128,0.49949980522578713,0.4938978091838008,0.5061021908161992,0.515144045436932,0.484855954563068,0.24590431314147587,0.7540956868585241,0.49792101489738216,0.5020789851026178,0.5187266833929084,0.48127331660709166,0.5072141892466747,0.49278581075332534,0.5015876450068999,0.4984123549931001,0.5203466951758403,0.47965330482415963,0.20016266382387507,0.799837336176125,0.4924452046892769,0.5075547953107231,0.5028969607269317,0.4971030392730683,0.5048509767793509,0.49514902322064913,0.5001695111476593,0.49983048885234066,0.5060514126029805,0.4939485873970195
Baker County,41001950300,0.14923374246035828,0.8507662575396417,0.48923587340866087,0.5107641265913391,0.5101818898474648,0.4898181101525349,0.5066073967581503,0.49339260324184975,0.5023784374135214,0.4976215625864786,0.5136982800745894,0.4863017199254106,0.40535134985203075,0.5946486501479692,0.49822133427443904,0.501778665725561,0.4934154402043105,0.5065845597956895,0.49339952220797617,0.5066004777920238,0.49101632000248907,0.5089836799975109,0.48944416164429977,0.5105558383557002,0.20241332062088743,0.7975866793791125,0.5040619782572692,0.49593802174273083,0.5069914034821619,0.49300859651783796,0.5090368766317337,0.49096312336826625,0.48508198256381874,0.5149180174361813,0.4958313078224329,0.5041686921775671,0.2506177546873058,0.7493822453126943,0.5125960153424205,0.48740398465757956,0.5034293668478089,0.4965706331521911,0.5020151655504418,0.49798483444955816,0.5124502256428454,0.4875497743571547,0.5175417217722825,0.4824582782277175,0.15555803461528117,0.8444419653847188,0.5022785164611175,0.49772148353888246,0.5060807822305149,0.49391921776948494,0.4977273366985318,0.5022726633014681,0.5079298423949749,0.4920701576050252,0.5168935457379141,0.4831064542620859,0.1350180477062087,0.8649819522937913,0.51246429021135,0.4875357097886501,0.5044762365681297,0.4955237634318701,0.5000128142544851,0.49998718574551493,0.4912345360169848,0.5087654639830153,0.4902649788435431,0.509735021156457,0.1771297111636646,0.8228702888363354,0.49349743481087727,0.5065025651891227,0.5087832171684399,0.4912167828315602,0.4957917722707584,0.5042082277292417,0.48532945857695603,0.514670541423044,0.4972932835886293,0.5027067164113707,0.2225788718496201,0.7774211281503799,0.5041909570244183,0.49580904297558176,0.5138570059723966,0.48614299402760325,0.504943065818623,0.495056934181377,0.4909771074709145,0.5090228925290855,0.5113370599088735,0.48866294009112654,0.19321015089676544,0.8067898491032346,0.49535672990342106,0.5046432700965789,0.5039277458645169,0.4960722541354828,0.5078721539746621,0.49212784602533793,0.49760247172431754,0.5023975282756824,0.5170188908919938,0.4829811091080062,0.1580661054564894,0.8419338945435106,0.4898808517492197,0.5101191482507803,0.5158269661112387,0.4841730338887613,0.5070162835903577,0.4929837164096423,0.4914285062313884,0.5085714937686115,0.5166493029957531,0.4833506970042469
Baker County,41001950400,0.1921257016482908,0.8078742983517092,0.4938803594321114,0.5061196405678886,0.5094065686740111,0.4905934313259888,0.49854115107108454,0.5014588489289155,0.4950687835309253,0.5049312164690747,0.5112988519346466,0.48870114806535336,0.42069409590093293,0.5793059040990671,0.4980873882722438,0.5019126117277561,0.48928081070391805,0.510719189296082,0.5034788910768284,0.49652110892317153,0.49174210794533835,0.5082578920546617,0.4791167094899306,0.5208832905100694,0.23720934994135434,0.7627906500586457,0.5035494110215515,0.49645058897844846,0.5145395353791818,0.48546046462081816,0.50675285715305,0.49324714284695004,0.4952631574545553,0.5047368425454447,0.5037983692774082,0.4962016307225918,0.289902662860839,0.710097337139161,0.5087790077210731,0.4912209922789269,0.5123939616990871,0.4876060383009129,0.49386364808567984,0.5061363519143202,0.513649140978146,0.48635085902185404,0.5093398552962901,0.49066014470370994,0.19038489255354363,0.8096151074464564,0.4997362685034089,0.5002637314965911,0.5156351260562303,0.4843648739437697,0.5051151058942949,0.4948848941057051,0.5066520321579054,0.49334796784209456,0.5229487499613505,0.4770512500386494,0.1740167915976726,0.8259832084023274,0.5093363163673983,0.4906636836326017,0.5093483835952489,0.4906516164047511,0.4937591303038718,0.5062408696961282,0.5006847923381287,0.49931520766187126,0.501115956077338,0.4988840439226619,0.2337611816584992,0.7662388183415008,0.4964662565394702,0.5035337434605298,0.49600629350581354,0.5039937064941865,0.49845985160104256,0.5015401483989574,0.4910045421108372,0.5089954578891628,0.5044398541957237,0.4955601458042763,0.2753578570877652,0.7246421429122348,0.5029525907584522,0.49704740924154783,0.5073577183080309,0.4926422816919691,0.5033741684993511,0.4966258315006489,0.495182037219399,0.504817962780601,0.5106454353262776,0.4893545646737224,0.24547041129844857,0.7545295887015514,0.4935837874614632,0.5064162125385367,0.5092198671298871,0.49078013287011285,0.5108699155084102,0.4891300844915898,0.4963388578884148,0.5036611421115852,0.5120734502698548,0.4879265497301452,0.21159239574654876,0.7884076042534512,0.4880857061502263,0.5119142938497737,0.5168368467604194,0.4831631532395806,0.5118784122315599,0.48812158776844006,0.48991978277022663,0.5100802172297734,0.5140164645484874,0.4859835354515127
Baker County,41001950500,0.22700179108012777,0.7729982089198723,0.48278100412383645,0.5172189958761636,0.5083962843330476,0.4916037156669524,0.5065249392562896,0.4934750607437104,0.5001007572556272,0.4998992427443728,0.510422560606117,0.4895774393938828,0.44846347710366435,0.5515365228963356,0.4966608271006744,0.5033391728993256,0.49441985618781975,0.5055801438121802,0.5015034228072437,0.4984965771927563,0.4962842016961153,0.5037157983038847,0.4830116888506805,0.5169883111493195,0.25382159348228855,0.7461784065177115,0.5134661748588328,0.48653382514116716,0.5103419253357628,0.4896580746642371,0.5089032320344176,0.49109676796558244,0.48731766071808735,0.5126823392819126,0.5119296534203033,0.4880703465796968,0.30437163494223596,0.695628365057764,0.5057678460565169,0.4942321539434831,0.5218526311501475,0.4781473688498526,0.4957100216571584,0.5042899783428416,0.514179593861795,0.485820406138205,0.505192859636264,0.49480714036373596,0.2040990152328705,0.7959009847671294,0.5038217238316637,0.4961782761683364,0.5032432398308616,0.49675676016913833,0.5073623215453704,0.49263767845462964,0.5046301684268958,0.4953698315731042,0.5258444746468908,0.47415552535310895,0.19310523424543488,0.8068947657545651,0.5169756256036158,0.48302437439638424,0.5179463952914328,0.4820536047085672,0.4999056134605645,0.5000943865394355,0.4979363249478321,0.502063675052168,0.5030492600883357,0.496950739911664,0.24630532701014418,0.7536946729898558,0.4922250721635961,0.5077749278364039,0.5102672946209182,0.48973270537908176,0.4970902338559162,0.5029097661440838,0.4933818203803174,0.5066181796196826,0.512299734864415,0.4877002651355847,0.27984578048338626,0.7201542195166137,0.505982081478843,0.49401791852115695,0.527515080793305,0.472484919206695,0.5103760715484491,0.48962392845155095,0.4988822206702481,0.5011177793297519,0.5094949138121107,0.49050508618788913,0.25849032118383286,0.7415096788161671,0.4996776695253356,0.5003223304746645,0.519060460880969,0.480939539119031,0.5126221827198069,0.48737781728019314,0.49791538879258834,0.5020846112074117,0.5128892863757346,0.4871107136242651,0.21983460776745817,0.7801653922325419,0.4896140898409753,0.5103859101590247,0.5077267375644036,0.4922732624355965,0.5065706568779841,0.4934293431220159,0.4967493441071154,0.5032506558928846,0.5165079065242286,0.48349209347577116
Baker County,41001950600,0.20261570984847113,0.7973842901515291,0.48801515276659485,0.5119848472334052,0.5040654795659552,0.4959345204340449,0.511568143047519,0.48843185695248104,0.4964012677090721,0.5035987322909279,0.5105304442478168,0.4894695557521832,0.38891177890643297,0.6110882210935673,0.49728771949612477,0.5027122805038753,0.49398379836657247,0.5060162016334275,0.5017221030515471,0.498277896948453,0.4971992303328037,0.5028007696671963,0.49185935723101865,0.5081406427689813,0.22414148102751885,0.7758585189724814,0.5071411627306313,0.4928588372693688,0.5069507984916809,0.4930492015083191,0.5065018695461219,0.49349813045387814,0.49852125197192443,0.5014787480280756,0.5156744056624805,0.4843255943375195,0.28144108555780334,0.7185589144421969,0.5121348752658619,0.4878651247341382,0.5106411132722455,0.4893588867277545,0.49617597541958136,0.5038240245804186,0.5093420530902761,0.4906579469097238,0.5162146297328101,0.48378537026719,0.2146778892022448,0.7853221107977554,0.5115838844351571,0.48841611556484293,0.5074278572513361,0.49257214274866395,0.5069429385218328,0.49305706147816725,0.5065784170252194,0.4934215829747806,0.5240566757370035,0.47594332426299646,0.22044024312638885,0.7795597568736113,0.5091317946758223,0.4908682053241777,0.5130377100808509,0.48696228991914914,0.5010691172894851,0.4989308827105149,0.49930832375578377,0.5006916762442163,0.5101932773893508,0.48980672261064917,0.216524750944547,0.7834752490554532,0.500053899097527,0.499946100902473,0.5087381987397376,0.4912618012602624,0.4970455110465071,0.5029544889534928,0.4888906365418577,0.5111093634581423,0.5022364888542381,0.4977635111457619,0.2542537335495928,0.7457462664504074,0.503078952708909,0.496921047291091,0.5077153087486758,0.49228469125132424,0.5042987655519345,0.49570123444806546,0.4967726024102127,0.5032273975897873,0.5123118378547081,0.4876881621452919,0.2469484577446303,0.7530515422553699,0.49609203470971136,0.5039079652902886,0.5002249557397245,0.4997750442602756,0.5129599963947935,0.4870400036052065,0.5007419510467624,0.4992580489532376,0.51053438556006,0.4894656144399399,0.2009704950405228,0.7990295049594774,0.4917233966051662,0.5082766033948338,0.5134340145738251,0.48656598542617485,0.5087931730438727,0.4912068269561273,0.49845609042807504,0.501543909571925,0.5163241176030442,0.48367588239695586
Benton County,41003000101,0.8582988614491569,0.14170113855084304,0.5103203387886354,0.4896796612113646,0.5281002382569945,0.4718997617430055,0.612148159568016,0.3878518404319839,0.5123274997202497,0.4876725002797503,0.510770044091011,0.48922995590898904,0.8445540490488235,0.15544595095117653,0.5011179924348349,0.4988820075651651,0.5148186584309766,0.48518134156902337,0.6071649205225509,0.39283507947744917,0.4523704855114385,0.5476295144885616,0.5046710484800626,0.49532895151993733,0.7821133144887171,0.21788668551128287,0.499163029334326,0.500836970665674,0.5707912456086238,0.4292087543913761,0.5859605552642586,0.41403944473574145,0.5236396381605836,0.4763603618394164,0.5402223489763346,0.45977765102366536,0.8061217533112109,0.1938782466887891,0.5127922367052448,0.48720776329475524,0.5193014833199385,0.48069851668006147,0.5772315504983759,0.42276844950162407,0.48216273880226623,0.5178372611977338,0.5111582296749838,0.48884177032501624,0.7265446949243713,0.2734553050756287,0.49807411825129694,0.501925881748703,0.5317358202489759,0.46826417975102413,0.5817579857240407,0.41824201427595936,0.5111632371374109,0.48883676286258915,0.5059869817626891,0.494013018237311,0.8300943366710727,0.1699056633289273,0.5148939525213297,0.4851060474786702,0.514815725004988,0.485184274995012,0.6399832098411702,0.3600167901588298,0.4927539405317926,0.5072460594682074,0.5028067075737646,0.4971932924262355,0.8963300642361337,0.10366993576386631,0.5018117228144887,0.49818827718551123,0.46888466009046176,0.5311153399095382,0.6727070018452207,0.3272929981547793,0.5020154824160032,0.4979845175839968,0.5027265153081074,0.4972734846918926,0.8913376918946739,0.10866230810532605,0.5091205791130884,0.49087942088691155,0.4871146420998589,0.5128853579001411,0.6547908962272195,0.34520910377278047,0.5067746329174246,0.49322536708257536,0.45320343866696194,0.546796561333038,0.8707222007599018,0.12927779924009816,0.5062137998083919,0.49378620019160807,0.506230816044191,0.49376918395580904,0.6372995070513692,0.3627004929486308,0.5008162625031388,0.4991837374968612,0.5010748638643995,0.49892513613560047,0.8303477263684181,0.1696522736315819,0.5023168681616882,0.49768313183831175,0.5163115142101299,0.4836884857898701,0.6493752564860937,0.3506247435139063,0.5056081755779561,0.4943918244220439,0.35208464635954195,0.647915353640458
Benton County,41003000102,0.8598979973093951,0.14010200269060494,0.5022300940636272,0.4977699059363728,0.5251973221291455,0.47480267787085456,0.6082041880813263,0.3917958119186737,0.5056634227675212,0.4943365772324788,0.509537097991516,0.4904629020084839,0.8448818118853931,0.15511818811460684,0.49930055541414975,0.5006994445858503,0.5243740270990479,0.47562597290095215,0.6010523884570059,0.3989476115429941,0.458822195833945,0.541177804166055,0.5081485145485932,0.4918514854514067,0.785264252619424,0.21473574738057602,0.5007645661618375,0.49923543383816243,0.5503391833291453,0.4496608166708546,0.5786619632870581,0.4213380367129419,0.5237990314911065,0.4762009685088935,0.5404624486425404,0.4595375513574596,0.8076746733373468,0.19232532666265323,0.5082363409850613,0.4917636590149386,0.5327866418614063,0.4672133581385936,0.5785607116973308,0.42143928830266913,0.47812380949962385,0.5218761905003761,0.508368956753034,0.49163104324696605,0.7173966972573224,0.28260330274267764,0.4943608978451034,0.5056391021548966,0.5483852871904847,0.45161471280951526,0.594087890381551,0.405912109618449,0.5073093855628926,0.4926906144371073,0.5165841716265568,0.48341582837344316,0.8256915659633339,0.1743084340366661,0.5061483740218503,0.4938516259781497,0.5412172202449167,0.4587827797550833,0.6365480938563862,0.3634519061436138,0.49425641277365,0.5057435872263499,0.5075102044660711,0.4924897955339289,0.8924979246882359,0.1075020753117642,0.5038439683857315,0.4961560316142685,0.49183943344309516,0.5081605665569048,0.668943041283691,0.33105695871630897,0.5052190950686818,0.4947809049313182,0.5260116735827731,0.4739883264172268,0.8841334274432123,0.1158665725567877,0.5135519514570046,0.4864480485429954,0.5150329296797844,0.4849670703202155,0.6663649931724569,0.33363500682754305,0.5060562666991042,0.49394373330089586,0.48239618827617903,0.517603811723821,0.8767228374316064,0.1232771625683936,0.5055575850943271,0.49444241490567287,0.48802346804019187,0.5119765319598082,0.6274394489679697,0.37256055103203034,0.5004941851107987,0.4995058148892013,0.4994878859186937,0.5005121140813062,0.8320820912296517,0.16791790877034832,0.5009701579439061,0.49902984205609385,0.501472818287632,0.49852718171236793,0.6441017380546081,0.3558982619453918,0.503703883607706,0.496296116392294,0.3518656888822126,0.6481343111177874
Benton County,41003000202,0.7524402621904301,0.2475597378095698,0.5071032713695042,0.49289672863049583,0.5205256819295303,0.4794743180704694,0.5961128153496068,0.4038871846503932,0.5064194109658251,0.49358058903417484,0.5098739001173871,0.49012609988261296,0.754903255898603,0.24509674410139706,0.4995954137591357,0.5004045862408643,0.5257942762418152,0.4742057237581846,0.6145933712246839,0.38540662877531606,0.45002926178912916,0.5499707382108708,0.5083988326318785,0.4916011673681215,0.6659478743765703,0.33405212562342973,0.4900010447989542,0.5099989552010458,0.5580727674970881,0.44192723250291166,0.5630955941691655,0.43690440583083445,0.5229761745941869,0.4770238254058131,0.54163818672138,0.45836181327862,0.6920617717819665,0.3079382282180335,0.5071460167481487,0.49285398325185126,0.5210226285124985,0.4789773714875013,0.5727110332483444,0.4272889667516556,0.4842907704636641,0.5157092295363359,0.5145704908948554,0.4854295091051446,0.6168282585225895,0.38317174147741045,0.49354618526231775,0.5064538147376823,0.5247270263324358,0.475272973667564,0.5771133163078415,0.42288668369215854,0.5105046570250125,0.48949534297498754,0.4898407681315447,0.5101592318684552,0.6790377242698458,0.32096227573015423,0.5031607537569215,0.4968392462430785,0.5356086405936563,0.46439135940634346,0.6427057153126454,0.3572942846873546,0.4871852227776853,0.5128147772223147,0.512982900657316,0.487017099342684,0.7928172991004471,0.20718270089955296,0.5039526666835448,0.49604733331645523,0.48764814794153233,0.5123518520584674,0.663991990809332,0.33600800919066803,0.5037106464563436,0.49628935354365644,0.525654511785576,0.474345488214424,0.7804990103022991,0.219500989697701,0.5102791917292921,0.4897208082707078,0.5148092286371055,0.48519077136289424,0.6628172380479043,0.33718276195209573,0.501557556782561,0.498442443217439,0.47489977021767565,0.5251002297823243,0.7599112981581944,0.24008870184180564,0.5070858493131855,0.49291415068681455,0.5136555940121189,0.48634440598788087,0.6420311132107807,0.3579688867892194,0.492233165329908,0.507766834670092,0.5066798701909643,0.4933201298090358,0.7129219327730874,0.2870780672269126,0.49964941150359077,0.5003505884964092,0.5129139116125945,0.4870860883874053,0.635855102379343,0.36414489762065705,0.5014967854085758,0.49850321459142416,0.3524522303545204,0.6475477696454796
Benton County,41003000401,0.9076252423817845,0.09237475761821547,0.5064894913831854,0.4935105086168146,0.533601929558902,0.466398070441098,0.6073948389221345,0.3926051610778654,0.5092125053487964,0.4907874946512037,0.5124678508256648,0.4875321491743352,0.8965948551419322,0.1034051448580678,0.5008982791543604,0.49910172084563964,0.5340325773563754,0.4659674226436245,0.6168634065984246,0.3831365934015753,0.4529110753909722,0.5470889246090278,0.518684915007072,0.48131508499292797,0.839330174884622,0.16066982511537795,0.496059132689606,0.503940867310394,0.5677149453599538,0.4322850546400462,0.5931337605119026,0.4068662394880974,0.5146216957555063,0.48537830424449374,0.5413863693106895,0.4586136306893105,0.8482062955476622,0.15179370445233772,0.5076020453014589,0.49239795469854103,0.5288976339114665,0.47110236608853356,0.5815683857250559,0.41843161427494413,0.48535463014159924,0.5146453698584007,0.526600550145514,0.47339944985448607,0.7798733760037563,0.2201266239962437,0.5027410940837076,0.49725890591629235,0.5350347823079218,0.46496521769207816,0.5842613510242343,0.4157386489757658,0.5082389201686782,0.4917610798313218,0.5043751219815528,0.49562487801844723,0.8564532757460017,0.14354672425399825,0.4981375568827148,0.5018624431172851,0.5211533030989073,0.4788466969010927,0.6411388474945752,0.35886115250542483,0.49179619167541694,0.5082038083245831,0.5033631022876592,0.49663689771234076,0.9345862302750664,0.06541376972493362,0.501936207330947,0.498063792669053,0.4813271005236307,0.5186728994763693,0.6651663535515614,0.3348336464484386,0.5032196610989665,0.49678033890103346,0.5162467050251841,0.4837532949748159,0.9315796063954187,0.06842039360458128,0.5140834927350836,0.4859165072649164,0.5200995042924803,0.47990049570751964,0.6553072164646636,0.34469278353533633,0.5049673528729953,0.4950326471270047,0.47910780672699765,0.5208921932730024,0.9147624702060345,0.08523752979396548,0.5053842523419171,0.49461574765808297,0.49468493816634396,0.505315061833656,0.628198370344293,0.3718016296557069,0.4958088213724298,0.5041911786275701,0.5010787286250101,0.4989212713749898,0.8820525196014859,0.1179474803985141,0.5048334593754841,0.4951665406245159,0.5113340869400922,0.4886659130599078,0.6525301180838492,0.3474698819161508,0.5075041105517781,0.49249588944822187,0.3703958818919008,0.6296041181080991
