county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_16_rep_bur,vap_white.uss_16_dem_ros,vap_black.uss_16_rep_bur,vap_black.uss_16_dem_ros,vap_hisp.uss_16_rep_bur,vap_hisp.uss_16_dem_ros,vap_oth.uss_16_rep_bur,vap_oth.uss_16_dem_ros,vap_white.gov_16_rep_mcc,vap_white.gov_16_dem_coo,vap_black.gov_16_rep_mcc,vap_black.gov_16_dem_coo,vap_hisp.gov_16_rep_mcc,vap_hisp.gov_16_dem_coo,vap_oth.gov_16_rep_mcc,vap_oth.gov_16_dem_coo,vap_white.atg_16_rep_new,vap_white.atg_16_dem_ste,vap_black.atg_16_rep_new,vap_black.atg_16_dem_ste,vap_hisp.atg_16_rep_new,vap_hisp.atg_16_dem_ste,vap_oth.atg_16_rep_new,vap_oth.atg_16_dem_ste,vap_white.sos_16_rep_lap,vap_white.sos_16_dem_mar,vap_black.sos_16_rep_lap,vap_black.sos_16_dem_mar,vap_hisp.sos_16_rep_lap,vap_hisp.sos_16_dem_mar,vap_oth.sos_16_rep_lap,vap_oth.sos_16_dem_mar,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_til,vap_white.uss_20_dem_cun,vap_black.uss_20_rep_til,vap_black.uss_20_dem_cun,vap_hisp.uss_20_rep_til,vap_hisp.uss_20_dem_cun,vap_oth.uss_20_rep_til,vap_oth.uss_20_dem_cun,vap_white.gov_20_rep_for,vap_white.gov_20_dem_coo,vap_black.gov_20_rep_for,vap_black.gov_20_dem_coo,vap_hisp.gov_20_rep_for,vap_hisp.gov_20_dem_coo,vap_oth.gov_20_rep_for,vap_oth.gov_20_dem_coo,vap_white.atg_20_rep_one,vap_white.atg_20_dem_ste,vap_black.atg_20_rep_one,vap_black.atg_20_dem_ste,vap_hisp.atg_20_rep_one,vap_hisp.atg_20_dem_ste,vap_oth.atg_20_rep_one,vap_oth.atg_20_dem_ste,vap_white.sos_20_rep_syk,vap_white.sos_20_dem_mar,vap_black.sos_20_rep_syk,vap_black.sos_20_dem_mar,vap_hisp.sos_20_rep_syk,vap_hisp.sos_20_dem_mar,vap_oth.sos_20_rep_syk,vap_oth.sos_20_dem_mar
Wake County,37183012-05,0.6703855611952582,0.3296144388047418,0.12390055281639824,0.8760994471836018,0.1598592999795385,0.8401407000204615,0.1812758267660782,0.8187241732339218,0.7295975798581394,0.2704024201418605,0.09429941505069643,0.9057005849493036,0.13274313356746545,0.8672568664325345,0.22741139171251618,0.7725886082874838,0.6472106352587333,0.3527893647412667,0.10810533118179039,0.8918946688182096,0.17422057324736626,0.8257794267526337,0.21897884826454558,0.7810211517354544,0.6778661376755382,0.32213386232446184,0.09370431778216062,0.9062956822178394,0.18692970265808892,0.813070297341911,0.22071992683517103,0.779280073164829,0.6732388780375415,0.32676112196245855,0.09013084811247414,0.9098691518875258,0.13048647321339193,0.8695135267866081,0.24559572521856007,0.7544042747814399,0.6043363875212802,0.3956636124787198,0.10327641322143952,0.8967235867785605,0.22737864660402402,0.772621353395976,0.16541063424284064,0.8345893657571594,0.6511983927172037,0.3488016072827963,0.10533948788033573,0.8946605121196642,0.18505593732212516,0.8149440626778749,0.17969803015887467,0.8203019698411254,0.5778055955686155,0.4221944044313845,0.09897228849737787,0.9010277115026222,0.17531181280154928,0.8246881871984507,0.1553748203846618,0.8446251796153382,0.6213058375742816,0.37869416242571846,0.09228745525656364,0.9077125447434363,0.21869881650233505,0.781301183497665,0.20160656085548478,0.7983934391445152,0.6067245679411173,0.39327543205888277,0.08516597222452525,0.9148340277754747,0.18120528962551316,0.8187947103744868,0.2187600770740555,0.7812399229259445
Wake County,37183012-06,0.7430778477385025,0.2569221522614975,0.11994072521299626,0.8800592747870037,0.1796102411539806,0.8203897588460194,0.18139327050358597,0.818606729496414,0.7783043282666542,0.2216956717333458,0.10233112683197482,0.8976688731680251,0.12925894686148293,0.8707410531385171,0.22088451220659633,0.7791154877934037,0.7092753109732273,0.29072468902677273,0.13781780702384633,0.8621821929761536,0.18389846744226004,0.81610153255774,0.23219288219689097,0.7678071178031091,0.7301266180658191,0.2698733819341809,0.08506672310270527,0.9149332768972948,0.1616393980727697,0.8383606019272303,0.2143111159320474,0.7856888840679526,0.6945417778772891,0.30545822212271095,0.10147355271932255,0.8985264472806774,0.14361360363623885,0.8563863963637611,0.23933267724540008,0.7606673227545999,0.6557561116284344,0.3442438883715656,0.10971597986291079,0.8902840201370892,0.24599106560980416,0.7540089343901959,0.17276784995872993,0.82723215004127,0.6849071360385197,0.3150928639614803,0.09606761148419596,0.903932388515804,0.18175449671169341,0.8182455032883066,0.18877738148905127,0.8112226185109487,0.6079254086320707,0.3920745913679293,0.10114590480166703,0.8988540951983329,0.1758286412023643,0.8241713587976357,0.15884347887624659,0.8411565211237534,0.646380687179271,0.353619312820729,0.09731092251096234,0.9026890774890377,0.21455425994382843,0.7854457400561716,0.20228497285506608,0.7977150271449339,0.6265229907574632,0.3734770092425368,0.0920338298077795,0.9079661701922205,0.1960766897720848,0.8039233102279152,0.21802273098101221,0.7819772690189878
Wake County,37183012-07,0.8000567808999374,0.1999432191000626,0.14872899917084292,0.8512710008291571,0.23470954900259786,0.7652904509974021,0.2064046575929432,0.7935953424070568,0.821609813301331,0.178390186698669,0.1072513516636535,0.8927486483363465,0.18561315252941027,0.8143868474705898,0.23874507070661458,0.7612549292933855,0.7334382128216472,0.26656178717835277,0.12860768874464681,0.8713923112553532,0.2197537874890636,0.7802462125109364,0.24239879384355115,0.7576012061564489,0.759180731195255,0.240819268804745,0.10909457311593448,0.8909054268840655,0.19605699050435493,0.8039430094956451,0.2348823543878745,0.7651176456121253,0.7144770507734727,0.2855229492265273,0.1031407353486977,0.8968592646513023,0.16439167342593436,0.8356083265740656,0.24634048989979423,0.7536595101002055,0.7178171420038585,0.2821828579961415,0.13182106939562074,0.8681789306043792,0.3262769918694582,0.6737230081305418,0.19695236374536326,0.8030476362546365,0.7362498163958271,0.26375018360417285,0.1176817346967515,0.8823182653032485,0.2279791043836924,0.7720208956163076,0.20352926847672503,0.796470731523275,0.6859948105174871,0.3140051894825128,0.10779198857866766,0.8922080114213323,0.218262086406877,0.7817379135931231,0.1771508130305879,0.8228491869694119,0.7134979129155268,0.2865020870844732,0.09515465583332204,0.904845344166678,0.2628814037983139,0.7371185962016862,0.21536917629668986,0.7846308237033102,0.7005656945656661,0.2994343054343339,0.08876023759441892,0.9112397624055811,0.24217291525882792,0.7578270847411721,0.24597077666216802,0.754029223337832
Wake County,37183012-08,0.6258923294479749,0.3741076705520251,0.12424983188488332,0.8757501681151166,0.1623963985374373,0.8376036014625627,0.18099921218341758,0.8190007878165824,0.6663440548510955,0.3336559451489045,0.10340462252680961,0.8965953774731904,0.12609415271976404,0.873905847280236,0.21841911488497634,0.7815808851150237,0.5990990464032214,0.4009009535967786,0.10791147328195484,0.8920885267180452,0.16551080080267289,0.8344891991973271,0.2197508657397422,0.7802491342602578,0.621343151341942,0.3786568486580581,0.09850307419040948,0.9014969258095905,0.15696690720636572,0.8430330927936343,0.22286216151350524,0.7771378384864948,0.5938891540026229,0.4061108459973771,0.0960777649790654,0.9039222350209346,0.14439345861197145,0.8556065413880286,0.22738993218070486,0.7726100678192951,0.6045598107466944,0.3954401892533056,0.08275925426423031,0.9172407457357697,0.25221191164823875,0.7477880883517612,0.1706171122959506,0.8293828877040494,0.6288687138219327,0.37113128617806734,0.08015584089365267,0.9198441591063473,0.17562284569061506,0.824377154309385,0.19133477206841396,0.808665227931586,0.5593883534648253,0.44061164653517476,0.10006045611595007,0.89993954388405,0.17677173300045437,0.8232282669995457,0.16709682194849293,0.832903178051507,0.6014282280340058,0.39857177196599425,0.08477221331859026,0.9152277866814097,0.205809969433716,0.794190030566284,0.1898633328639379,0.8101366671360621,0.5865608060296629,0.4134391939703372,0.09444654365483993,0.90555345634516,0.1791145039142479,0.8208854960857521,0.21366719036434972,0.7863328096356503
Wake County,37183012-09,0.7034890602901063,0.2965109397098935,0.12935137929728988,0.8706486207027099,0.1819288975565826,0.8180711024434174,0.181925333204584,0.818074666795416,0.7460379948292573,0.2539620051707425,0.0952127028560261,0.9047872971439739,0.15099071707173087,0.8490092829282692,0.22354964820256207,0.7764503517974379,0.6678193725333182,0.3321806274666815,0.09957087375082253,0.9004291262491773,0.17634679617362709,0.823653203826373,0.2221618080792004,0.7778381919207996,0.6784145611941536,0.3215854388058463,0.09296138726370694,0.907038612736293,0.17476163461930203,0.825238365380698,0.2257310912290377,0.7742689087709623,0.6645895555217187,0.33541044447828106,0.08793352228097985,0.9120664777190202,0.1441659072885197,0.8558340927114804,0.24050394391218852,0.7594960560878115,0.6366982382308801,0.3633017617691196,0.1062794778047822,0.8937205221952178,0.236083746370936,0.763916253629064,0.17261302698974687,0.8273869730102531,0.664908869554008,0.33509113044599204,0.09242848237720254,0.9075715176227974,0.17782977996204333,0.8221702200379567,0.19115771841793877,0.8088422815820612,0.5918849717996638,0.4081150282003359,0.09639943322090956,0.9036005667790902,0.19397779523775757,0.8060222047622424,0.16798995481524762,0.8320100451847524,0.636811537837965,0.3631884621620349,0.09809906240477566,0.9019009375952244,0.20698022779017822,0.7930197722098218,0.19875706438980645,0.8012429356101936,0.626904037358674,0.3730959626413261,0.079599394730091,0.9204006052699087,0.18530657883140406,0.8146934211685959,0.2265736360390825,0.7734263639609175
Wake County,37183013-01,0.477991976681961,0.522008023318039,0.048045725838929326,0.9519542741610705,0.08855612808671057,0.9114438719132895,0.15738517751436304,0.8426148224856367,0.5419544442914036,0.4580455557085964,0.03415365893396902,0.9658463410660307,0.0718545097786188,0.9281454902213812,0.19778055586679102,0.8022194441332088,0.48400466915384244,0.5159953308461576,0.036018415878610786,0.9639815841213892,0.0919038581430934,0.9080961418569066,0.20500039673441905,0.794999603265581,0.48449364976771137,0.5155063502322886,0.03257843350080273,0.9674215664991973,0.08338579499293734,0.9166142050070627,0.1890114009142587,0.8109885990857413,0.4764969109548744,0.5235030890451255,0.030590856063316,0.9694091439366838,0.07607039183494761,0.9239296081650524,0.21245523305584554,0.7875447669441542,0.5077533323341455,0.4922466676658544,0.06607224129998372,0.9339277587000161,0.17901731778380864,0.8209826822161914,0.16242849940151427,0.8375715005984857,0.541219995071338,0.45878000492866194,0.05307539106746549,0.9469246089325343,0.13666075087943907,0.8633392491205609,0.17669626475937233,0.8233037352406274,0.4519261647367075,0.5480738352632925,0.060969510956062165,0.9390304890439376,0.13267260230048578,0.8673273976995143,0.15822047653434926,0.8417795234656505,0.510405069944419,0.48959493005558097,0.0558846600354804,0.9441153399645194,0.15777927926748095,0.8422207207325191,0.19211865759505836,0.8078813424049417,0.47977323502704883,0.5202267649729512,0.051063272888303854,0.948936727111696,0.15607929935640474,0.8439207006435953,0.21936788022272924,0.7806321197772708
Wake County,37183013-02,0.5537404836783554,0.4462595163216447,0.10325544178226317,0.8967445582177368,0.15573547757835754,0.8442645224216424,0.17640655631329097,0.8235934436867091,0.6056951211080086,0.39430487889199145,0.08664993352051835,0.9133500664794817,0.12547048349083867,0.8745295165091613,0.21131414169229942,0.7886858583077005,0.5323806553322702,0.4676193446677298,0.09143515099838617,0.9085648490016138,0.15884312344085255,0.8411568765591475,0.2155738556368785,0.7844261443631215,0.553102417514928,0.44689758248507205,0.09771011225985335,0.9022898877401466,0.15936764435329936,0.8406323556467006,0.20729978820224357,0.7927002117977564,0.5380701563690679,0.46192984363093215,0.07633721638496895,0.9236627836150311,0.12312691669038006,0.87687308330962,0.2324898168305782,0.7675101831694218,0.4833854736432866,0.5166145263567133,0.08885198071748016,0.9111480192825199,0.2143908738529422,0.7856091261470578,0.1612915996032465,0.8387084003967535,0.5259551531419954,0.4740448468580047,0.08307691615097992,0.9169230838490201,0.15517142356519883,0.8448285764348011,0.18071024534494248,0.8192897546550575,0.4515372153700807,0.5484627846299194,0.07875630440555961,0.9212436955944404,0.1675804113735696,0.8324195886264304,0.15251544794076638,0.8474845520592336,0.4796718545839733,0.5203281454160267,0.08124643205876779,0.9187535679412322,0.18680309388303193,0.813196906116968,0.17791675695921672,0.8220832430407833,0.48723334645325417,0.5127666535467459,0.0702115197219962,0.9297884802780038,0.15952162819381593,0.8404783718061841,0.2155373225721488,0.7844626774278513
Wake County,37183013-05,0.51152241246649,0.48847758753351006,0.07150379220043647,0.9284962077995635,0.13916983968433175,0.8608301603156683,0.1614883781611793,0.8385116218388207,0.5555878940052009,0.4444121059947991,0.04728079448099977,0.9527192055190002,0.10590266232551253,0.8940973376744875,0.19459851610004117,0.8054014838999588,0.4937378079128552,0.5062621920871448,0.05874660535826698,0.941253394641733,0.13123809195216765,0.8687619080478324,0.20520996258053986,0.7947900374194601,0.5209256144114239,0.4790743855885761,0.06889302346626291,0.9311069765337371,0.14164121514395878,0.8583587848560412,0.20265545253122585,0.7973445474687741,0.507976931216285,0.4920230687837148,0.05491509187938387,0.9450849081206161,0.10688704952401268,0.8931129504759874,0.21659440756889065,0.7834055924311094,0.441675226970578,0.5583247730294217,0.052346102743386934,0.9476538972566131,0.19787542161468225,0.8021245783853177,0.15382874710080094,0.846171252899199,0.4812446169041454,0.5187553830958544,0.04949334807669901,0.950506651923301,0.1452510487944155,0.8547489512055845,0.16549381256772522,0.8345061874322748,0.42662338037232345,0.5733766196276765,0.04768957263688006,0.95231042736312,0.14317886238877564,0.8568211376112244,0.13455383590693074,0.8654461640930693,0.4617321808592255,0.5382678191407743,0.052976732871639814,0.9470232671283602,0.17889777825145675,0.8211022217485433,0.17056670030004942,0.8294332996999506,0.4213640689610579,0.5786359310389422,0.03439676144861735,0.9656032385513826,0.14120370269920138,0.85879629730079865,0.20371227259887145,0.7962877274011285
Wake County,37183013-06,0.5223889400528665,0.4776110599471335,0.09405973901486339,0.9059402609851366,0.15539713870846564,0.8446028612915344,0.17155541210112343,0.8284445878988765,0.5782041322576152,0.42179586774238476,0.07419715009352351,0.9258028499064764,0.117705462739832,0.882294537260168,0.20856401548553805,0.791435984514462,0.4977697240171703,0.5022302759828298,0.0879294155030014,0.9120705844969984,0.15442589546468852,0.8455741045353115,0.22339400573329285,0.7766059942667072,0.5280619344994549,0.47193806550054507,0.07918386681942516,0.9208161331805749,0.14212081820753344,0.8578791817924666,0.20948271308277283,0.7905172869172272,0.5075007416268982,0.4924992583731018,0.08778474438872001,0.9122152556112798,0.1302447924059939,0.8697552075940062,0.2342724511289201,0.76572754887108,0.47523510131950386,0.5247648986804961,0.08763149375066975,0.9123685062493301,0.21153696440054504,0.788463035599455,0.1625210948575119,0.8374789051424881,0.5045617675486987,0.49543823245130125,0.09328793360776763,0.9067120663922321,0.1577102805793738,0.8422897194206261,0.17809637664315764,0.8219036233568423,0.43194957198120904,0.568050428018791,0.08756136048738647,0.9124386395126135,0.16659347376125602,0.833406526238744,0.15107330982379924,0.8489266901762007,0.4668483819730156,0.5331516180269844,0.07602414556270157,0.9239758544372985,0.1887494246307556,0.8112505753692444,0.18713935588467168,0.8128606441153283,0.4706688688084401,0.5293311311915598,0.0643324855339513,0.9356675144660487,0.1559130581406907,0.8440869418593093,0.20879044510169437,0.7912095548983057
Wake County,37183013-07,0.5895798582696683,0.4104201417303317,0.09128146743290687,0.9087185325670931,0.16771518934045268,0.8322848106595473,0.18394810099174735,0.8160518990082527,0.6649074019115693,0.3350925980884307,0.0633621491225473,0.9366378508774527,0.1253728627120567,0.8746271372879433,0.2245900649820542,0.7754099350179459,0.5973454879081393,0.40265451209186065,0.08326795128020517,0.9167320487197949,0.15603392449393802,0.843966075506062,0.23244630902614785,0.7675536909738522,0.599833719174632,0.400166280825368,0.06538110367476427,0.9346188963252358,0.1460800002343173,0.8539199997656827,0.21789112256829313,0.7821088774317069,0.5557627407160547,0.4442372592839453,0.07217229692484012,0.9278277030751599,0.1273374134977775,0.8726625865022225,0.24115396590504556,0.7588460340949544,0.5423952900511149,0.4576047099488851,0.07768676554752564,0.9223132344524744,0.23306720955397275,0.7669327904460272,0.17373453437005854,0.8262654656299414,0.5716284641228755,0.42837153587712457,0.07554031808861844,0.9244596819113815,0.16180729404230573,0.8381927059576942,0.19279667856588048,0.8072033214341195,0.49851411754320807,0.5014858824567919,0.07627222357861409,0.9237277764213859,0.17204618106241543,0.8279538189375846,0.161953106846226,0.838046893153774,0.5175351007825868,0.48246489921741326,0.06854365251790158,0.9314563474820984,0.21276762497281965,0.7872323750271804,0.188928551056743,0.811071448943257,0.5168451878460572,0.4831548121539429,0.056368446848543176,0.9436315531514569,0.17544929451878663,0.8245507054812133,0.21445276541920982,0.7855472345807901
