county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.uss_16_rep_ayo,vap_white.uss_16_dem_has,vap_black.uss_16_rep_ayo,vap_black.uss_16_dem_has,vap_hisp.uss_16_rep_ayo,vap_hisp.uss_16_dem_has,vap_asian.uss_16_rep_ayo,vap_asian.uss_16_dem_has,vap_aian.uss_16_rep_ayo,vap_aian.uss_16_dem_has,vap_oth_b.uss_16_rep_ayo,vap_oth_b.uss_16_dem_has,vap_white.gov_16_rep_sun,vap_white.gov_16_dem_van,vap_black.gov_16_rep_sun,vap_black.gov_16_dem_van,vap_hisp.gov_16_rep_sun,vap_hisp.gov_16_dem_van,vap_asian.gov_16_rep_sun,vap_asian.gov_16_dem_van,vap_aian.gov_16_rep_sun,vap_aian.gov_16_dem_van,vap_oth_b.gov_16_rep_sun,vap_oth_b.gov_16_dem_van,vap_white.gov_18_rep_sun,vap_white.gov_18_dem_kel,vap_black.gov_18_rep_sun,vap_black.gov_18_dem_kel,vap_hisp.gov_18_rep_sun,vap_hisp.gov_18_dem_kel,vap_asian.gov_18_rep_sun,vap_asian.gov_18_dem_kel,vap_aian.gov_18_rep_sun,vap_aian.gov_18_dem_kel,vap_oth_b.gov_18_rep_sun,vap_oth_b.gov_18_dem_kel,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_white.uss_20_dem_sha,vap_white.uss_20_rep_mes,vap_black.uss_20_dem_sha,vap_black.uss_20_rep_mes,vap_hisp.uss_20_dem_sha,vap_hisp.uss_20_rep_mes,vap_asian.uss_20_dem_sha,vap_asian.uss_20_rep_mes,vap_aian.uss_20_dem_sha,vap_aian.uss_20_rep_mes,vap_oth_b.uss_20_dem_sha,vap_oth_b.uss_20_rep_mes,vap_white.gov_20_dem_fel,vap_white.gov_20_rep_sun,vap_black.gov_20_dem_fel,vap_black.gov_20_rep_sun,vap_hisp.gov_20_dem_fel,vap_hisp.gov_20_rep_sun,vap_asian.gov_20_dem_fel,vap_asian.gov_20_rep_sun,vap_aian.gov_20_dem_fel,vap_aian.gov_20_rep_sun,vap_oth_b.gov_20_dem_fel,vap_oth_b.gov_20_rep_sun
Cheshire County,33005NELS01,0.3432644674613898,0.6567355325386103,0.49876206219906777,0.5012379378009323,0.4941986526171085,0.5058013473828915,0.4848274238212024,0.5151725761787975,0.4753688265483146,0.5246311734516854,0.4831715926271678,0.5168284073728322,0.36042837973945474,0.6395716202605453,0.5049541315890905,0.4950458684109095,0.531648976761413,0.46835102323858696,0.49159806043269383,0.5084019395673062,0.515263449716312,0.484736550283688,0.49668462244880646,0.5033153775511935,0.3855075162308251,0.614492483769175,0.5095784169972788,0.4904215830027212,0.47905733789163185,0.5209426621083681,0.5006370344025048,0.4993629655974952,0.506750900149082,0.49324909985091797,0.5044371037685264,0.4955628962314737,0.3257966572343041,0.6742033427656958,0.6483651082902511,0.3516348917097489,0.500698851027144,0.499301148972856,0.5082688913533141,0.49173110864668595,0.5023117141318004,0.4976882858681996,0.4628183295973948,0.5371816704026052,0.6317493556106875,0.3682506443893126,0.48641635433359887,0.5135836456664011,0.49984510413734246,0.5001548958626576,0.515059979791799,0.48494002020820104,0.5058273937273936,0.49417260627260634,0.4974717536469699,0.5025282463530302,0.6631457048537439,0.3368542951462561,0.4948277181089496,0.5051722818910503,0.4803556383520891,0.5196443616479108,0.5021932997914905,0.4978067002085095,0.5135393515788306,0.48646064842116943,0.47731791567013737,0.5226820843298626,0.5157812951682159,0.4842187048317841,0.4924143081696193,0.5075856918303807,0.5219528726017862,0.4780471273982137,0.5092623840515063,0.49073761594849374,0.4950143066720905,0.5049856933279095,0.48565191108485545,0.5143480889151446
Cheshire County,33005RICH01,0.573912651706398,0.426087348293602,0.49413059523076014,0.5058694047692399,0.506408985689493,0.493591014310507,0.48862966319246887,0.5113703368075312,0.4791600240628155,0.5208399759371845,0.48558679648277964,0.5144132035172203,0.5498177944369083,0.4501822055630918,0.5059226146182491,0.49407738538175094,0.5291607358910668,0.4708392641089331,0.4897320585705242,0.5102679414294758,0.5097833900046455,0.49021660999535455,0.5091099551880512,0.4908900448119488,0.5484498588978465,0.45155014110215347,0.5072984454776623,0.4927015545223377,0.4802452115648175,0.5197547884351825,0.5009285384705033,0.4990714615294967,0.5046705956917743,0.4953294043082257,0.5173445261932899,0.4826554738067101,0.578027522440661,0.42197247755933903,0.662151698138748,0.337848301861252,0.5154890207711037,0.4845109792288963,0.5129365831379675,0.48706341686203253,0.511663504367457,0.488336495632543,0.48254225903951375,0.5174577409604862,0.41214391023503577,0.5878560897649643,0.48831080044883823,0.5116891995511618,0.49606008545470015,0.5039399145452998,0.509314109635814,0.49068589036418603,0.5103569207583027,0.48964307924169725,0.4736835267430598,0.5263164732569402,0.453922225374903,0.546077774625097,0.49825405386210414,0.5017459461378959,0.46908678248710756,0.5309132175128924,0.49964286678679837,0.5003571332132016,0.5126671697048103,0.4873328302951897,0.46506601920966145,0.5349339807903385,0.27603050799190787,0.7239694920080921,0.48870969920481266,0.5112903007951873,0.5087451091114558,0.4912548908885442,0.5114743476411419,0.48852565235885814,0.4812738901004575,0.5187261098995425,0.46782867092739006,0.5321713290726099
Cheshire County,33005RIND01,0.6136685936753385,0.3863314063246613,0.5030312040052846,0.49696879599471544,0.5128581231666547,0.4871418768333453,0.4955500746765878,0.5044499253234122,0.48479285690990237,0.5152071430900976,0.49382732980074134,0.5061726701992586,0.6101089292506016,0.3898910707493984,0.5136809851619103,0.48631901483808976,0.5421461017311243,0.45785389826887574,0.4890027302367318,0.5109972697632682,0.5074360683965987,0.49256393160340123,0.5157980569278989,0.4842019430721011,0.6348718192582024,0.3651281807417975,0.5221747080340411,0.47782529196595885,0.48857941935304705,0.511420580646953,0.5101874551330674,0.48981254486693254,0.5075286457970755,0.4924713542029245,0.51065741484401594,0.48934258515598406,0.6362223902138611,0.3637776097861389,0.6984664946646835,0.30153350533531653,0.5248722063876327,0.47512779361236734,0.5118007581242825,0.48819924187571745,0.5077675882276472,0.4922324117723528,0.47825984768799834,0.5217401523120017,0.3928199501549383,0.6071800498450615,0.47602291156488696,0.523977088435113,0.499717977720866,0.500282022279134,0.5114986501077627,0.4885013498922372,0.5048435182501101,0.4951564817498899,0.4789459312960153,0.5210540687039847,0.4263793121768456,0.5736206878231542,0.4826918748661436,0.5173081251338564,0.47215165682459614,0.5278483431754039,0.5046938755753767,0.49530612442462324,0.5178064389148243,0.48219356108517575,0.47712666782134505,0.522873332178655,0.23987872283339173,0.760121277166608,0.4830988243121774,0.5169011756878227,0.5084889464276388,0.49151105357236125,0.5103677100426072,0.4896322899573929,0.481842932995283,0.518157067004717,0.47458012371943803,0.525419876280562
Cheshire County,33005ROXB01,0.43720372458859785,0.5627962754114022,0.5026463564032585,0.4973536435967415,0.5018055548475862,0.49819444515241385,0.4914984239664699,0.5085015760335301,0.4812960071900339,0.5187039928099662,0.4846412173297226,0.5153587826702775,0.4129812474419874,0.5870187525580126,0.5061234720226492,0.4938765279773508,0.5359951740510193,0.46400482594898074,0.49492823366059363,0.5050717663394064,0.5130287777803998,0.48697122221960026,0.5041978658363114,0.49580213416368857,0.41419690168782236,0.5858030983121776,0.5096989641347793,0.49030103586522067,0.48540686069225,0.51459313930775,0.49982895443013314,0.5001710455698669,0.5064076795630525,0.49359232043694745,0.5023676589078735,0.4976323410921265,0.31712292162529077,0.6828770783747092,0.6528813195631165,0.3471186804368835,0.5159348768893418,0.4840651231106582,0.5152972997128895,0.4847027002871105,0.5080872403417066,0.4919127596582934,0.4620280116031187,0.5379719883968813,0.6461474365370219,0.3538525634629781,0.4899204812869925,0.5100795187130075,0.5057479571150367,0.4942520428849633,0.5090412297377376,0.49095877026226237,0.509840204305169,0.490159795694831,0.496238940402656,0.503761059597344,0.6970430948540308,0.3029569051459692,0.5004639000013389,0.4995360999986611,0.48312339263830156,0.5168766073616985,0.5055239413642221,0.4944760586357779,0.5141888745169328,0.4858111254830671,0.4849011002585646,0.5150988997414354,0.5255846958665978,0.47441530413340216,0.4927995276228762,0.5072004723771238,0.5188350298940513,0.48116497010594866,0.5133810925748444,0.48661890742515557,0.468549165309606,0.531450834690394,0.48391827140810156,0.5160817285918984
Cheshire County,33005STOD01,0.5200678538294892,0.4799321461705108,0.4959684852364036,0.5040315147635964,0.5008251278475763,0.49917487215242373,0.49109093785425517,0.5089090621457448,0.48240322388887386,0.517596776111126,0.4829459226779411,0.5170540773220589,0.5092256812536449,0.49077431874635513,0.5090715606960824,0.49092843930391766,0.533966559718533,0.46603344028146704,0.48746610096068965,0.5125338990393103,0.5156272257562325,0.4843727742437675,0.513203535676154,0.486796464323846,0.4926162992488318,0.5073837007511681,0.5057100922850157,0.4942899077149842,0.4822535423453001,0.5177464576546998,0.505749972425864,0.49425002757413605,0.5072592010695521,0.4927407989304479,0.5038622331179914,0.4961377668820086,0.5399406179152748,0.4600593820847252,0.6504031781664729,0.3495968218335272,0.5128032489075693,0.48719675109243066,0.5114025777341121,0.4885974222658879,0.506000853653446,0.49399914634655373,0.46635764825683745,0.5336423517431625,0.49474835623175184,0.5052516437682482,0.4860480230433596,0.5139519769566404,0.5016533830181665,0.4983466169818333,0.5133715893065658,0.48662841069343427,0.4983998571902349,0.501600142809765,0.4829136002339537,0.5170863997660463,0.5428938350624715,0.4571061649375285,0.495983434205918,0.504016565794082,0.4780660191191648,0.5219339808808352,0.5120092825457631,0.487990717454237,0.51102597479297,0.48897402520703,0.4796424570077329,0.5203575429922671,0.3841284349789154,0.6158715650210845,0.48574243297985475,0.5142575670201452,0.5204970916456838,0.4795029083543162,0.5102957301100777,0.4897042698899224,0.4821003664039117,0.517899633596088,0.4751887622853206,0.5248112377146794
Cheshire County,33005SULL01,0.46420712292645666,0.5357928770735433,0.5039160473068266,0.49608395269317335,0.5012658046438453,0.49873419535615465,0.4945266156050151,0.5054733843949849,0.48266538846762697,0.517334611532373,0.49168163365315704,0.5083183663468427,0.45668298817299185,0.5433170118270081,0.504139649434769,0.49586035056523103,0.5366470029842798,0.46335299701572025,0.49048697536408864,0.5095130246359113,0.5140499176137479,0.4859500823862521,0.5064937459746282,0.4935062540253717,0.4604917944772632,0.5395082055227368,0.5053011484219522,0.4946988515780479,0.4881922280864651,0.5118077719135349,0.5064524943930834,0.4935475056069167,0.5039062908495648,0.4960937091504351,0.5022588735747804,0.4977411264252196,0.49391637841386865,0.5060836215861314,0.6508247824078024,0.34917521759219744,0.5144577551843894,0.48554224481561065,0.5100166775440829,0.48998332245591714,0.5046573221069026,0.49534267789309744,0.47774120029200556,0.5222587997079945,0.5419687544347683,0.45803124556523167,0.48557628535669894,0.51442371464330106,0.5008537580828415,0.49914624191715845,0.5122411042158405,0.48775889578415954,0.5038476166465518,0.4961523833534483,0.4922661734326819,0.507733826567318,0.6156135254553636,0.38438647454463637,0.49696789637603833,0.5030321036239614,0.4767934638314815,0.5232065361685184,0.5032824694004568,0.49671753059954316,0.5122102102515141,0.48778978974848586,0.4832033616333932,0.5167966383666067,0.35044957451381753,0.6495504254861825,0.4839105354518008,0.5160894645481993,0.5160242375451101,0.48397576245488994,0.49950417817173515,0.5004958218282648,0.4840346507207441,0.515965349279256,0.4763167413789831,0.523683258621017
Cheshire County,33005SURR01,0.5043251393214337,0.4956748606785663,0.496569606546761,0.5034303934532389,0.5020994768495626,0.4979005231504374,0.4871198871809381,0.5128801128190619,0.47883010926783764,0.5211698907321624,0.4856919675319634,0.5143080324680366,0.4770811989419217,0.5229188010580783,0.5009026535204115,0.49909734647958853,0.5293125450512444,0.4706874549487557,0.48976532073369866,0.5102346792663013,0.5124339335912818,0.4875660664087182,0.5069299839189487,0.4930700160810513,0.48353328184868316,0.5164667181513168,0.5113237672095372,0.4886762327904628,0.4780545850337591,0.5219454149662409,0.5097681082714914,0.49023189172850856,0.49764366362689033,0.5023563363731096,0.509063288016696,0.490936711983304,0.4933167021270542,0.5066832978729457,0.6507590240693756,0.34924097593062436,0.5127678628451613,0.4872321371548387,0.5113298819124998,0.48867011808750016,0.5092539136654067,0.49074608633459327,0.4664660820841088,0.5335339179158912,0.5538834718669438,0.44611652813305624,0.48938860051368793,0.5106113994863121,0.5038942031922599,0.49610579680774014,0.5168173787915369,0.48318262120846317,0.5082976586123348,0.49170234138766516,0.4913599273490805,0.5086400726509195,0.6201641132562228,0.3798358867437773,0.4969900739071091,0.503009926092891,0.47649641796321707,0.5235035820367829,0.5006824688350231,0.49931753116497696,0.516895737642051,0.48310426235794895,0.4776096528891696,0.5223903471108304,0.37526197775487286,0.6247380222451272,0.49003781193985974,0.5099621880601403,0.5192867023936761,0.4807132976063238,0.5157461044547166,0.4842538955452835,0.4880374177191637,0.5119625822808362,0.48338285074942167,0.5166171492505783
Cheshire County,33005SWAN01,0.504800787969608,0.49519921203039197,0.4922618451227595,0.5077381548772405,0.49747881478605566,0.5025211852139444,0.48780777667185465,0.5121922233281453,0.4809618185296142,0.5190381814703858,0.4737071624442039,0.5262928375557961,0.475392732349449,0.524607267650551,0.5050127043829649,0.4949872956170352,0.5434487336146767,0.45655126638532334,0.49064202321325634,0.5093579767867437,0.515600433715427,0.484399566284573,0.497299403680607,0.502700596319393,0.5058543302408203,0.49414566975917973,0.5118340135281501,0.4881659864718499,0.48579095036053205,0.514209049639468,0.5042879651879855,0.49571203481201453,0.5016799929736203,0.4983200070263797,0.504185603433983,0.49581439656601695,0.5175016151969821,0.48249838480301793,0.6527154451553011,0.34728455484469883,0.5142225349407452,0.4857774650592548,0.5059516591654314,0.4940483408345686,0.5067802194989427,0.4932197805010573,0.46712095757650546,0.5328790424234946,0.536203526244344,0.4637964737556561,0.48283903113266435,0.5171609688673356,0.494669734723452,0.505330265276548,0.5083596469547765,0.4916403530452234,0.5104703101646512,0.48952968983534884,0.4852424751159869,0.5147575248840132,0.5982069686448511,0.4017930313551489,0.49187257926769057,0.5081274207323094,0.4801726398677148,0.5198273601322853,0.5034104164624982,0.4965895835375018,0.5152375816983888,0.4847624183016112,0.47153586571144884,0.5284641342885512,0.3376148958844607,0.6623851041155393,0.4932838443684657,0.5067161556315343,0.5155455498732847,0.48445445012671534,0.5047108284021201,0.49528917159787983,0.4823046289456265,0.5176953710543736,0.47381398027795246,0.5261860197220475
Cheshire County,33005TROY01,0.5474019854647321,0.45259801453526793,0.5004939554197261,0.499506044580274,0.5085058759291909,0.4914941240708091,0.48985992698981806,0.5101400730101819,0.4798416998062562,0.5201583001937439,0.49260620969400754,0.5073937903059925,0.4811828056945396,0.5188171943054605,0.5058395595758196,0.4941604404241804,0.5360085052334077,0.4639914947665923,0.4907576883255545,0.5092423116744454,0.5150716633365741,0.484928336663426,0.5048682675300596,0.4951317324699404,0.5110279496816426,0.48897205031835744,0.5097958994071565,0.4902041005928434,0.4841749046590375,0.5158250953409624,0.5013261728370334,0.49867382716296654,0.5081999621392644,0.49180003786073556,0.5101708759787429,0.4898291240212571,0.5409278377206668,0.4590721622793332,0.6594946571803665,0.34050534281963346,0.5004392001819281,0.49956079981807194,0.5112499123615353,0.48875008763846467,0.5091682010515465,0.4908317989484536,0.46504795582863206,0.5349520441713679,0.46668279295309634,0.5333172070469037,0.48225374387219444,0.5177462561278056,0.4985379630666091,0.501462036933391,0.5103750425471955,0.48962495745280454,0.5072174642407842,0.49278253575921577,0.4878929152001246,0.5121070847998754,0.5324354171470213,0.46756458285297875,0.49665603179793016,0.5033439682020698,0.4738448463990099,0.5261551536009901,0.5044214193773049,0.4955785806226951,0.5137791552983441,0.48622084470165594,0.47742230596143403,0.5225776940385659,0.28761908580389184,0.7123809141961082,0.48387271436470974,0.5161272856352903,0.5127311594889089,0.4872688405110911,0.504887593343117,0.495112406656883,0.48520955715957653,0.5147904428404235,0.47765495873728253,0.5223450412627174
Cheshire County,33005WALP01,0.38580499822800335,0.6141950017719967,0.49532941027639976,0.5046705897236002,0.5022718823968698,0.49772811760313024,0.4940608756895579,0.5059391243104421,0.4794597271709797,0.5205402728290203,0.4797752503979432,0.5202247496020568,0.38714883057602223,0.6128511694239778,0.49890513840278794,0.5010948615972121,0.5292929970154666,0.47070700298453344,0.4898816044143281,0.510118395585672,0.5176064038498495,0.4823935961501506,0.5020077711273258,0.49799222887267425,0.4218990367469922,0.5781009632530077,0.5183432425300786,0.4816567574699214,0.48284881557506026,0.5171511844249398,0.5044702970537626,0.4955297029462374,0.5045495018879707,0.4954504981120294,0.4982437179232529,0.501756282076747,0.4187118316559765,0.5812881683440235,0.6476750476578942,0.3523249523421058,0.5137230652404622,0.48627693475953776,0.5080546531728175,0.49194534682718244,0.5018171841813827,0.4981828158186174,0.4722491147360111,0.527750885263989,0.6482894543445373,0.3517105456554627,0.49130656453428173,0.5086934354657183,0.5031561218329333,0.4968438781670666,0.5104571089882667,0.4895428910117333,0.5010602566606859,0.4989397433393141,0.49671775516723754,0.5032822448327625,0.6851701149523598,0.31482988504764015,0.49481897974928396,0.5051810202507161,0.4792405243343101,0.5207594756656899,0.5063773335197609,0.4936226664802391,0.517493130033521,0.4825068699664789,0.48362619025494,0.51637380974506,0.432695155534506,0.567304844465494,0.4901290437676032,0.5098709562323969,0.5268418578493897,0.47315814215061025,0.5134788784513838,0.4865211215486162,0.48691188480280945,0.5130881151971906,0.4772332242294832,0.5227667757705168
