county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_18_rep_wic,vap_white.uss_18_dem_bar,vap_black.uss_18_rep_wic,vap_black.uss_18_dem_bar,vap_hisp.uss_18_rep_wic,vap_hisp.uss_18_dem_bar,vap_oth.uss_18_rep_wic,vap_oth.uss_18_dem_bar,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_hyd,vap_white.uss_20_dem_esp,vap_black.uss_20_rep_hyd,vap_black.uss_20_dem_esp,vap_hisp.uss_20_rep_hyd,vap_hisp.uss_20_dem_esp,vap_oth.uss_20_rep_hyd,vap_oth.uss_20_dem_esp
Adams County,28001000101,0.8639927778588546,0.13600722214114538,0.09982816108679485,0.9001718389132052,0.6135171155715056,0.3864828844284945,0.41236514998188123,0.5876348500181188,0.8754243915311138,0.12457560846888614,0.0655703251584293,0.9344296748415707,0.5792279122294874,0.4207720877705125,0.4352218133357473,0.5647781866642527,0.8502120016441894,0.14978799835581055,0.04974243777151405,0.950257562228486,0.6270229897231614,0.3729770102768386,0.4883865596133056,0.5116134403866943,0.8203239676198151,0.17967603238018487,0.06625292672848956,0.9337470732715104,0.5456059226977111,0.4543940773022888,0.35760139903405364,0.6423986009659464
Adams County,28001000102,0.8988576587177065,0.10114234128229352,0.04244935031304359,0.9575506496869565,0.622066263760668,0.37793373623933196,0.4169449339346717,0.5830550660653283,0.9263297141527639,0.07367028584723607,0.02166636306046479,0.9783336369395352,0.5885847612033873,0.4114152387966126,0.4419492259581028,0.5580507740418972,0.9579525211157252,0.04204747888427482,0.019367627551475298,0.9806323724485247,0.649427384114668,0.35057261588533195,0.5229051647085354,0.4770948352914646,0.920781835884334,0.07921816411566597,0.023114935808632667,0.9768850641913673,0.5537229394233166,0.44627706057668337,0.3581797251663067,0.6418202748336933
Adams County,28001000103,0.9505444167629012,0.04945558323709873,0.2660979762695638,0.7339020237304362,0.6370448415992004,0.3629551584007996,0.45265574441631745,0.5473442555836826,0.9657152721924855,0.034284727807514445,0.16381792938302625,0.8361820706169737,0.6181176698012826,0.38188233019871737,0.4997763202086925,0.5002236797913076,0.9755157581328908,0.024484241867109176,0.03757655008210489,0.9624234499178951,0.6485096574727759,0.3514903425272241,0.5202008784293285,0.47979912157067156,0.9438807962290298,0.056119203770970266,0.05880030356837547,0.9411996964316245,0.5477646590096485,0.4522353409903515,0.3355773710912368,0.6644226289087631
Adams County,28001000201,0.9632300974802016,0.03676990251979836,0.35110961799715373,0.6488903820028463,0.6480741588308384,0.35192584116916154,0.449240208433621,0.550759791566379,0.9695052510477866,0.030494748952213328,0.21296176995089236,0.7870382300491077,0.618794559459969,0.381205440540031,0.48715791241539547,0.5128420875846046,0.9876729577799315,0.012327042220068512,0.02411544242170269,0.9758845575782972,0.6756927215752603,0.32430727842473966,0.5586308850432784,0.44136911495672154,0.965041120389318,0.03495887961068203,0.05540662703559341,0.9445933729644066,0.5655503873154643,0.43444961268453575,0.37374563949636563,0.6262543605036344
Adams County,28001000202,0.9336928241247903,0.06630717587520947,0.1570698816144589,0.8429301183855411,0.6411390182837041,0.35886098171629593,0.442063388612279,0.557936611387721,0.9509903643483574,0.04900963565164244,0.1255589074294143,0.8744410925705857,0.6116441348158344,0.3883558651841656,0.4761553096383636,0.5238446903616364,0.9721399693248876,0.02786003067511222,0.03991544938738669,0.9600845506126133,0.6525013020630842,0.34749869793691585,0.5277976947160732,0.4722023052839268,0.9319861189362822,0.06801388106371747,0.041894695911994864,0.9581053040880051,0.5521712326845409,0.4478287673154591,0.3553117930354777,0.6446882069645223
Adams County,28001000203,0.940168794997553,0.05983120500244703,0.14580300404707341,0.8541969959529265,0.6326123783670712,0.36738762163292876,0.459975806689547,0.540024193310453,0.9609074787088685,0.03909252129113151,0.12019241061646933,0.8798075893835307,0.598209598948767,0.401790401051233,0.4982627530605038,0.5017372469394962,0.9743819574978939,0.025618042502106052,0.049426784828479675,0.9505732151715204,0.6453115321483364,0.35468846785166364,0.5516531636068116,0.44834683639318834,0.9597144513459168,0.04028554865408316,0.0418074590514272,0.9581925409485728,0.5656117085780491,0.4343882914219509,0.3713298045592609,0.6286701954407391
Adams County,28001000204,0.9768000797313995,0.023199920268600474,0.12663673807620035,0.8733632619237996,0.6300281810815094,0.3699718189184907,0.4318985479224416,0.5681014520775584,0.97883664716398,0.02116335283601999,0.06885060232246894,0.931149397677531,0.5928488636479223,0.4071511363520776,0.4437390380318753,0.5562609619681247,0.9857609691231805,0.014239030876819596,0.05071871226784664,0.9492812877321534,0.6410361146823139,0.3589638853176861,0.5114930480133889,0.48850695198661115,0.9740639343465176,0.025936065653482342,0.05620882138829571,0.9437911786117044,0.5508718938498571,0.44912810615014287,0.3570370334540756,0.6429629665459244
Adams County,28001000301,0.7219879155125032,0.2780120844874968,0.006135012429089173,0.9938649875709106,0.6133420937623575,0.38665790623764257,0.33647597001531454,0.6635240299846853,0.8692692777716169,0.1307307222283831,0.00656978390304443,0.9934302160969556,0.588437790282866,0.4115622097171339,0.42341057454756453,0.5765894254524352,0.9053907921399507,0.09460920786004935,0.0043488472449920955,0.9956511527550076,0.6323084609958309,0.367691539004169,0.5028223871039568,0.49717761289604306,0.7901809451533225,0.2098190548466775,0.004151431414018669,0.9958485685859811,0.5464671173477469,0.45353288265225317,0.2940717446648624,0.7059282553351376
Adams County,28001000302,0.892427682855132,0.10757231714486831,0.10562330768058671,0.8943766923194133,0.6330063622058926,0.36699363779410743,0.4448321161496492,0.5551678838503509,0.9342919258700789,0.0657080741299213,0.037933452037689275,0.9620665479623107,0.5981718671503817,0.4018281328496183,0.46727207029903955,0.5327279297009605,0.956602251488557,0.043397748511443145,0.022961832672423382,0.9770381673275765,0.6489097680603081,0.35109023193969197,0.5341305593174754,0.4658694406825246,0.9213894907057474,0.07861050929425283,0.04060807742916142,0.9593919225708386,0.5646786427120595,0.4353213572879405,0.37421353480497016,0.6257864651950298
Adams County,28001000303,0.5462031911526697,0.45379680884733026,0.006415085097654633,0.9935849149023454,0.5893721783964482,0.41062782160355177,0.3678718431337953,0.6321281568662047,0.7634067543727266,0.23659324562727332,0.0049519594597191045,0.995048040540281,0.564341417125565,0.43565858287443504,0.3960518163385702,0.6039481836614298,0.7533034535365721,0.24669654646342787,0.0028451371174059437,0.997154862882594,0.6049603609905877,0.3950396390094123,0.44116184563548033,0.5588381543645197,0.45334270932063947,0.5466572906793605,0.003181724066254295,0.9968182759337457,0.5234169314070758,0.4765830685929242,0.29016502199636784,0.7098349780036322
