county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.uss_16_rep_lan,vap_white.uss_16_dem_wor,vap_black.uss_16_rep_lan,vap_black.uss_16_dem_wor,vap_hisp.uss_16_rep_lan,vap_hisp.uss_16_dem_wor,vap_asian.uss_16_rep_lan,vap_asian.uss_16_dem_wor,vap_aian.uss_16_rep_lan,vap_aian.uss_16_dem_wor,vap_oth_b.uss_16_rep_lan,vap_oth_b.uss_16_dem_wor,vap_white.gov_18_rep_sti,vap_white.gov_18_dem_edm,vap_black.gov_18_rep_sti,vap_black.gov_18_dem_edm,vap_hisp.gov_18_rep_sti,vap_hisp.gov_18_dem_edm,vap_asian.gov_18_rep_sti,vap_asian.gov_18_dem_edm,vap_aian.gov_18_rep_sti,vap_aian.gov_18_dem_edm,vap_oth_b.gov_18_rep_sti,vap_oth_b.gov_18_dem_edm,vap_white.atg_18_rep_hun,vap_white.atg_18_dem_myl,vap_black.atg_18_rep_hun,vap_black.atg_18_dem_myl,vap_hisp.atg_18_rep_hun,vap_hisp.atg_18_dem_myl,vap_asian.atg_18_rep_hun,vap_asian.atg_18_dem_myl,vap_aian.atg_18_rep_hun,vap_aian.atg_18_dem_myl,vap_oth_b.atg_18_rep_hun,vap_oth_b.atg_18_dem_myl,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_white.uss_20_rep_inh,vap_white.uss_20_dem_bro,vap_black.uss_20_rep_inh,vap_black.uss_20_dem_bro,vap_hisp.uss_20_rep_inh,vap_hisp.uss_20_dem_bro,vap_asian.uss_20_rep_inh,vap_asian.uss_20_dem_bro,vap_aian.uss_20_rep_inh,vap_aian.uss_20_dem_bro,vap_oth_b.uss_20_rep_inh,vap_oth_b.uss_20_dem_bro
McCurtain County,40089000005,0.3868909484414212,0.6131090515585789,0.05216084964513705,0.947839150354863,0.36012613087581874,0.6398738691241812,0.48493293810890686,0.5150670618910932,0.7170361478925115,0.28296385210748853,0.47574843524482474,0.5242515647551752,0.35864186387948904,0.641358136120511,0.04654356265073756,0.9534564373492624,0.35717487637347983,0.6428251236265201,0.5087882591110865,0.49121174088891345,0.5613650762691265,0.43863492373087354,0.3901926375950242,0.6098073624049758,0.3602039112440911,0.6397960887559089,0.043227574485064486,0.9567724255149355,0.28424538819714945,0.7157546118028506,0.4924031545221873,0.5075968454778127,0.4717433365373767,0.5282566634626232,0.3316462836848403,0.6683537163151597,0.3519901396745537,0.6480098603254463,0.04495328375380736,0.9550467162461926,0.2892980639509236,0.7107019360490764,0.5042921294722958,0.49570787052770415,0.5144367434369277,0.4855632565630723,0.31826191054190595,0.681738089458094,0.4326861679801419,0.5673138320198581,0.05507286642804667,0.9449271335719533,0.26485036230612796,0.7351496376938721,0.49222709379165375,0.5077729062083463,0.789445988050946,0.21055401194905396,0.5481198234886101,0.4518801765113899,0.46456183305782023,0.5354381669421798,0.05585072982473178,0.9441492701752683,0.31013388834776234,0.6898661116522374,0.4958119491657714,0.5041880508342286,0.7330147485731769,0.2669852514268231,0.4431009186952432,0.5568990813047568
McCurtain County,40089000006,0.9604520454472223,0.03954795455277769,0.20339177366074068,0.7966082263392593,0.40127718994622497,0.598722810053775,0.48294471354086077,0.5170552864591392,0.7657145727490156,0.23428542725098442,0.5013623608320533,0.4986376391679467,0.8923063057199233,0.10769369428007665,0.209603693585266,0.790396306414734,0.4189283181494075,0.5810716818505925,0.50263997255034,0.49736002744966,0.5804562598218789,0.41954374017812107,0.412885125902294,0.587114874097706,0.8082231369512164,0.1917768630487836,0.2305535317303194,0.7694464682696806,0.36146707540716455,0.6385329245928354,0.48898489022540453,0.5110151097745955,0.5317350802008133,0.4682649197991868,0.35670173705304326,0.6432982629469567,0.885643863065904,0.11435613693409602,0.2060359939926351,0.7939640060073649,0.3371545859515871,0.6628454140484129,0.4976919551351241,0.5023080448648759,0.525622284387216,0.4743777156127839,0.33382625939606464,0.6661737406039354,0.9572420726368001,0.042757927363199916,0.20622020269729452,0.7937797973027055,0.2896806125914045,0.7103193874085956,0.49415895207940846,0.5058410479205915,0.8055151984459612,0.19448480155403874,0.5606018139024789,0.43939818609752107,0.9621780353174844,0.03782196468251565,0.19551563403401992,0.80448436596598,0.3360405313208186,0.6639594686791814,0.4972347140991414,0.5027652859008587,0.7578092187528148,0.24219078124718518,0.45181834395325077,0.5481816560467492
McCurtain County,40089000008,0.9760757698619228,0.023924230138077172,0.2193454942679955,0.7806545057320046,0.41568790886258805,0.5843120911374119,0.48139590979685204,0.5186040902031479,0.7676781996215082,0.2323218003784918,0.49796097539163414,0.5020390246083656,0.9408224073956686,0.05917759260433146,0.2358010287707437,0.7641989712292563,0.4476024451694042,0.5523975548305958,0.5093793535725859,0.49062064642741415,0.5967891028426234,0.40321089715737657,0.43418466380138954,0.5658153361986102,0.8441862597679693,0.15581374023203062,0.2522859065205,0.7477140934795,0.3904950079665179,0.6095049920334821,0.49657613410010837,0.5034238658998914,0.5426212650528786,0.4573787349471215,0.37957233820912434,0.6204276617908757,0.9308416083131101,0.06915839168688982,0.22072196641441505,0.7792780335855849,0.3759569713592658,0.6240430286407342,0.5000635194095676,0.4999364805904324,0.5314529630990902,0.4685470369009098,0.35852751580200337,0.6414724841979966,0.9769429813262666,0.023057018673733425,0.20361805870436853,0.7963819412956314,0.3191326620919314,0.6808673379080685,0.49401439001031666,0.5059856099896833,0.8164026262966025,0.18359737370339746,0.5635136667795408,0.436486333220459,0.9826651618510013,0.01733483814899869,0.22182567643579773,0.7781743235642022,0.38349801710718273,0.6165019828928173,0.49872379894243357,0.5012762010575664,0.8002059593974878,0.19979404060251213,0.4795670027687808,0.5204329972312193
McCurtain County,40089000009,0.9124641544499972,0.08753584555000302,0.1786262036672972,0.8213737963327028,0.4099610526363645,0.5900389473636355,0.4800507763893946,0.5199492236106054,0.6995050840648371,0.3004949159351628,0.46290466338395964,0.5370953366160404,0.8657464807552894,0.13425351924471085,0.19055335231637302,0.809446647683627,0.4386011624886496,0.5613988375113503,0.5044985634223532,0.4955014365776468,0.556863361705261,0.4431366382947391,0.40052797609756946,0.5994720239024306,0.7302266639235666,0.2697733360764336,0.22014887374240402,0.779851126257596,0.38040831965960353,0.6195916803403965,0.49356207832890425,0.5064379216710958,0.5157569353296908,0.4842430646703092,0.3652475034714407,0.6347524965285593,0.8498752042599325,0.15012479574006773,0.1928690329060096,0.8071309670939903,0.3665554201967578,0.6334445798032422,0.5037874256628687,0.4962125743371313,0.5191736346057545,0.48082636539424545,0.33080417318870514,0.6691958268112949,0.9227916275301705,0.0772083724698297,0.1761209997753,0.8238790002247,0.3038957663438146,0.6961042336561855,0.48230411331658807,0.5176958866834119,0.7760424010781252,0.22395759892187486,0.5356445446692586,0.46435545533074135,0.9311442596401303,0.06885574035987,0.16218329752992952,0.8378167024700705,0.3505953856336911,0.6494046143663089,0.4945683550328959,0.505431644967104,0.7009763069652075,0.2990236930347924,0.4166451596650362,0.5833548403349638
McCurtain County,40089000011,0.9558614907350707,0.044138509264929314,0.20760873738828475,0.7923912626117152,0.423269564676878,0.5767304353231221,0.477174677823064,0.522825322176936,0.7598824865845455,0.2401175134154545,0.4851541488002032,0.5148458511997969,0.8653714034094683,0.1346285965905317,0.20240022120351206,0.7975997787964879,0.4460594052131072,0.5539405947868928,0.5052348701509466,0.49476512984905335,0.569760750822624,0.430239249177376,0.3963991683906149,0.6036008316093852,0.8857655513404499,0.11423444865955008,0.2662467927958616,0.7337532072041384,0.395338359669454,0.604661640330546,0.49650276443657526,0.5034972355634247,0.5782947013791806,0.4217052986208194,0.4040250443283126,0.5959749556716875,0.9401215218265898,0.059878478173410236,0.23698241581803856,0.7630175841819614,0.3887471742564811,0.6112528257435189,0.5034891080773035,0.49651089192269643,0.5909670703865988,0.40903292961340126,0.3802728463239105,0.6197271536760894,0.9725114464634417,0.027488553536558366,0.24390164732891192,0.756098352671088,0.33935186277636614,0.6606481372236339,0.4913770666813755,0.5086229333186245,0.8561085600373387,0.14389143996266124,0.6430848360063605,0.3569151639936395,0.9807116185378031,0.019288381462196896,0.2710320503525976,0.7289679496474024,0.3897925536310104,0.6102074463689896,0.5010698362639806,0.49893016373601945,0.8185299160117938,0.1814700839882062,0.5616689169560904,0.43833108304390955
McCurtain County,40089000012,0.8444800040468948,0.15551999595310514,0.14572875267269725,0.8542712473273028,0.3994068758729943,0.6005931241270057,0.4789051631969703,0.5210948368030297,0.7308932833207247,0.2691067166792754,0.4882834678915512,0.5117165321084486,0.6988388924175322,0.3011611075824679,0.1523501810159428,0.8476498189840572,0.4274783156700406,0.5725216843299594,0.5155545637270701,0.48444543627292985,0.5741140230040231,0.42588597699597686,0.41528752733201096,0.584712472667989,0.5766458543992672,0.42335414560073287,0.15119041696552202,0.848809583034478,0.36305759818291905,0.636942401817081,0.4990906940495928,0.5009093059504073,0.5139435798858325,0.48605642011416744,0.35592233293904596,0.644077667060954,0.6072605311482407,0.3927394688517592,0.14948277473849672,0.8505172252615033,0.3636179146882632,0.6363820853117368,0.4987272896427285,0.5012727103572715,0.5427708964607189,0.4572291035392811,0.3525119111140552,0.6474880888859448,0.8135829152382841,0.18641708476171592,0.14707422762372827,0.8529257723762718,0.2976843863490405,0.7023156136509595,0.49159935823794826,0.5084006417620517,0.7782395324261329,0.2217604675738671,0.558171740981148,0.44182825901885187,0.8625508251710283,0.13744917482897168,0.12923612653851962,0.8707638734614804,0.3358474990897581,0.6641525009102419,0.4974529185919119,0.5025470814080881,0.7325607556187197,0.26743924438128025,0.44406061133695507,0.5559393886630449
McCurtain County,40089000013,0.9794706153862799,0.020529384613720156,0.23567156795933064,0.7643284320406694,0.4423918323944473,0.5576081676055527,0.4810608747392638,0.5189391252607363,0.7937299242980962,0.20627007570190403,0.5323470663975485,0.4676529336024516,0.8462303691496446,0.1537696308503554,0.231821656880961,0.768178343119039,0.4422113043485502,0.5577886956514498,0.5152045583089712,0.48479544169102884,0.575459286379732,0.4245407136202683,0.4049551327171566,0.5950448672828433,0.8155625198784715,0.18443748012152855,0.2486970035034932,0.7513029964965068,0.38831502221788455,0.6116849777821155,0.49538572554598714,0.5046142744540129,0.5365980269178975,0.4634019730821028,0.37044286952588257,0.6295571304741174,0.9097019831880303,0.09029801681196974,0.2233401437121383,0.7766598562878617,0.36941284653385226,0.6305871534661478,0.49616105362788465,0.5038389463721153,0.5375610756891457,0.46243892431085454,0.3319613354479825,0.6680386645520174,0.9843539214380218,0.015646078561978225,0.24684396804799028,0.7531560319520098,0.3429886319933737,0.6570113680066263,0.48830511014897166,0.5116948898510283,0.8390841988550675,0.1609158011449327,0.6466652784280521,0.3533347215719479,0.9847003694005194,0.015299630599480621,0.23173917453437515,0.7682608254656249,0.3942166032298341,0.6057833967701659,0.4945073788654159,0.5054926211345842,0.7998251999046738,0.20017480009532646,0.5057071195308412,0.49429288046915876
McCurtain County,40089000014,0.95551700222153,0.044482997778469986,0.24222427758300077,0.7577757224169992,0.4065371293593073,0.5934628706406927,0.4635960973380216,0.5364039026619783,0.6955092902461191,0.30449070975388093,0.48550391993687964,0.5144960800631204,0.8472694751371475,0.15273052486285255,0.245136697742178,0.75486330225782206,0.44312159684943153,0.5568784031505685,0.5074864854644422,0.4925135145355578,0.5693263864141211,0.43067361358587886,0.4294071653714255,0.5705928346285746,0.8217892385545469,0.17821076144545314,0.2548667805182203,0.7451332194817797,0.3883712485241305,0.6116287514758695,0.4990914374298049,0.5009085625701951,0.5348266071275334,0.4651733928724667,0.3798874627596836,0.6201125372403165,0.9017998722056564,0.09820012779434367,0.2359156667431876,0.7640843332568124,0.3676680005998851,0.632331999400115,0.49171984233069876,0.5082801576693012,0.5226537911809073,0.47734620881909273,0.3622299476649565,0.6377700523350436,0.9797816051730308,0.02021839482696921,0.24212311511366566,0.7578768848863343,0.3172511434573075,0.6827488565426925,0.4829848821577871,0.5170151178422129,0.8398210058221742,0.1601789941778258,0.5886571772903654,0.41134282270963457,0.9686470472412386,0.031352952758761425,0.23712921245691865,0.7628707875430814,0.3633485148840594,0.6366514851159406,0.4844857751890303,0.5155142248109698,0.7333541885711816,0.26664581142881844,0.456930091708337,0.543069908291663
McCurtain County,40089000015,0.9785962147715025,0.02140378522849749,0.2531408842703979,0.7468591157296022,0.43240317236332815,0.5675968276366719,0.4824433726006978,0.5175566273993022,0.7710078251124479,0.22899217488755205,0.5024658200526737,0.4975341799473263,0.9070237579200395,0.09297624207996046,0.2422171680138564,0.7577828319861436,0.4451609529119968,0.5548390470880032,0.5127126700561601,0.48728732994384,0.5752435914398378,0.424756408560162,0.40406632568224016,0.5959336743177599,0.8805448791445758,0.11945512085542423,0.2646811612722527,0.7353188387277473,0.3950199077476202,0.6049800922523798,0.4986123584865766,0.5013876415134234,0.54437892346297,0.4556210765370297,0.3769921510782699,0.6230078489217301,0.9599733217041758,0.04002667829582415,0.23853007848544885,0.7614699215145512,0.38170197338286294,0.6182980266171371,0.5003662804461695,0.4996337195538305,0.5752925702596793,0.4247074297403205,0.3663157063589573,0.6336842936410427,0.9545633907653954,0.0454366092346046,0.2359421174756552,0.7640578825243448,0.31506407960502214,0.6849359203949779,0.48960352424911513,0.5103964757508849,0.7670994377959317,0.23290056220406805,0.5365603348918124,0.4634396651081875,0.9586661590754356,0.04133384092456439,0.24225564297810706,0.7577443570218929,0.3737117013552296,0.6262882986447704,0.49669207017576406,0.503307929824236,0.7294908938401266,0.2705091061598734,0.4122362177842016,0.5877637822157984
McCurtain County,40089000017,0.9666127213358519,0.03338727866414813,0.22724381554589013,0.7727561844541099,0.42057287459153453,0.5794271254084654,0.480985968894104,0.519014031105896,0.7891187217490984,0.2108812782509016,0.5286700840562721,0.47132991594372786,0.9290497579417188,0.07095024205828118,0.2641328467442341,0.7358671532557659,0.4870404943472169,0.512959505652783,0.5169555456654277,0.4830444543345724,0.6981320646069114,0.30186793539308865,0.48918441919690003,0.5108155808031,0.8644202264273243,0.13557977357267573,0.25929457067023365,0.7407054293297664,0.40767030262125364,0.5923296973787464,0.49636622559498234,0.5036337744050177,0.5788408539530856,0.42115914604691446,0.389409626833852,0.6105903731661481,0.9263887158815672,0.07361128411843279,0.24386030173000225,0.7561396982699977,0.39403906877784417,0.6059609312221558,0.5016547784749033,0.49834522152509675,0.6058776170565848,0.3941223829434152,0.3830416393585539,0.6169583606414462,0.9576492313691333,0.042350768630866745,0.22541290577135414,0.7745870942286459,0.31119417506109576,0.6888058249389042,0.48623541615966626,0.5137645838403337,0.8272964422471139,0.17270355775288615,0.5865198467113408,0.4134801532886592,0.9621150834456301,0.037884916554369895,0.21484862360926474,0.7851513763907353,0.37130275925104766,0.6286972407489523,0.4911627157090684,0.5088372842909313,0.7930587528838591,0.2069412471161409,0.4736315623355794,0.5263684376644205
