county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_16_rep_you,vap_white.uss_16_dem_bay,vap_black.uss_16_rep_you,vap_black.uss_16_dem_bay,vap_hisp.uss_16_rep_you,vap_hisp.uss_16_dem_bay,vap_oth.uss_16_rep_you,vap_oth.uss_16_dem_bay,vap_white.gov_16_rep_hol,vap_white.gov_16_dem_gre,vap_black.gov_16_rep_hol,vap_black.gov_16_dem_gre,vap_hisp.gov_16_rep_hol,vap_hisp.gov_16_dem_gre,vap_oth.gov_16_rep_hol,vap_oth.gov_16_dem_gre,vap_white.atg_16_rep_hil,vap_white.atg_16_dem_arr,vap_black.atg_16_rep_hil,vap_black.atg_16_dem_arr,vap_hisp.atg_16_rep_hil,vap_hisp.atg_16_dem_arr,vap_oth.atg_16_rep_hil,vap_oth.atg_16_dem_arr,vap_white.uss_18_rep_bra,vap_white.uss_18_dem_don,vap_black.uss_18_rep_bra,vap_black.uss_18_dem_don,vap_hisp.uss_18_rep_bra,vap_hisp.uss_18_dem_don,vap_oth.uss_18_rep_bra,vap_oth.uss_18_dem_don,vap_white.sos_18_rep_law,vap_white.sos_18_dem_har,vap_black.sos_18_rep_law,vap_black.sos_18_dem_har,vap_hisp.sos_18_rep_law,vap_hisp.sos_18_dem_har,vap_oth.sos_18_rep_law,vap_oth.sos_18_dem_har,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.gov_20_rep_hol,vap_white.gov_20_dem_mye,vap_black.gov_20_rep_hol,vap_black.gov_20_dem_mye,vap_hisp.gov_20_rep_hol,vap_hisp.gov_20_dem_mye,vap_oth.gov_20_rep_hol,vap_oth.gov_20_dem_mye,vap_white.atg_20_rep_rok,vap_white.atg_20_dem_wei,vap_black.atg_20_rep_rok,vap_black.atg_20_dem_wei,vap_hisp.atg_20_rep_rok,vap_hisp.atg_20_dem_wei,vap_oth.atg_20_rep_rok,vap_oth.atg_20_dem_wei
Adams County,18001000010,0.8624835796247782,0.13751642037522183,0.4972517282451816,0.5027482717548184,0.4079728423213918,0.5920271576786081,0.42467000733923627,0.5753299926607637,0.7855187717427932,0.21448122825720684,0.5013636486761115,0.49863635132388856,0.4538747166022954,0.5461252833977046,0.44683406844488466,0.5531659315551153,0.7727741052524116,0.22722589474758836,0.4717634696277162,0.5282365303722838,0.4479709441492458,0.5520290558507541,0.49635733371543767,0.5036426662845623,0.8742248669890539,0.12577513301094617,0.49035982010924334,0.5096401798907567,0.42406536860144717,0.5759346313985528,0.4654168903480713,0.5345831096519287,0.7668566831340953,0.23314331686590473,0.4843068353585895,0.5156931646414106,0.4375091281338876,0.5624908718661124,0.4840689188923722,0.5159310811076279,0.8277424573955512,0.17225754260444887,0.4791802229591819,0.520819777040818,0.41869985817956584,0.5813001418204341,0.44271449620595216,0.5572855037940478,0.8473949275210706,0.15260507247892946,0.4948725338642411,0.5051274661357589,0.41898446489612245,0.5810155351038775,0.45501139484581177,0.5449886051541882,0.8649915718756018,0.13500842812439814,0.48943843282355237,0.5105615671764476,0.40955359954624465,0.5904464004537553,0.4426685233520464,0.5573314766479536,0.826708506201619,0.1732914937983811,0.4961615265560115,0.5038384734439886,0.42454110517914084,0.5754588948208592,0.4464597418374012,0.5535402581625988
Adams County,18001000020,0.8837093302199773,0.11629066978002263,0.497213447010279,0.502786552989721,0.4145160189740518,0.5854839810259481,0.4368475209883169,0.5631524790116831,0.8059379166493794,0.1940620833506206,0.49429461292750926,0.5057053870724908,0.45759164602850366,0.5424083539714963,0.45705977560379285,0.5429402243962071,0.8101949600715345,0.18980503992846554,0.48536920040123827,0.5146307995987617,0.45956603493971165,0.5404339650602884,0.4936148368869993,0.5063851631130006,0.9016792800599868,0.09832071994001328,0.49222609946218115,0.5077739005378189,0.4264295174337235,0.5735704825662765,0.4744145758712396,0.5255854241287604,0.8371995927747987,0.16280040722520128,0.4889319679011007,0.5110680320988993,0.4520924525960625,0.5479075474039375,0.4876404982525406,0.5123595017474594,0.8848782451809831,0.11512175481901689,0.4822581646218478,0.5177418353781522,0.4215452559540373,0.5784547440459628,0.44957392172343297,0.550426078276567,0.860161143087323,0.1398388569126769,0.49475948339539344,0.5052405166046066,0.41689931752727377,0.5831006824727262,0.47035326203281197,0.529646737967188,0.8847266664444873,0.11527333355551272,0.4933331099894626,0.5066668900105373,0.40071076379087744,0.5992892362091226,0.4421859553198383,0.5578140446801617,0.8433760382969137,0.15662396170308632,0.4957898970648992,0.5042101029351008,0.419022510269213,0.580977489730787,0.4542129369847511,0.5457870630152489
Adams County,18001000030,0.8478131806942836,0.15218681930571645,0.5023384795327094,0.4976615204672907,0.41420870181325414,0.5857912981867459,0.4323565889696248,0.5676434110303752,0.7985526725867931,0.2014473274132069,0.49410185350244945,0.5058981464975506,0.45097137035094154,0.5490286296490585,0.45213436500705356,0.5478656349929465,0.7755170976356608,0.22448290236433918,0.4883592372488912,0.5116407627511088,0.4471367207884014,0.5528632792115986,0.4888484559374303,0.5111515440625697,0.8859066046322766,0.11409339536772342,0.49487170788113616,0.5051282921188639,0.4169895485725212,0.5830104514274789,0.4654596729723175,0.5345403270276825,0.8135890566511033,0.1864109433488968,0.48574200094603215,0.5142579990539679,0.44678570400657797,0.5532142959934221,0.48499799997196263,0.5150020000280373,0.8658876471685726,0.1341123528314274,0.4821927338271358,0.5178072661728642,0.42643692363567354,0.5735630763643265,0.44952438493756214,0.5504756150624379,0.8311452237231208,0.16885477627687917,0.4814419331921635,0.5185580668078366,0.4129334060012762,0.5870665939987239,0.4663247680243252,0.5336752319756748,0.8913980885116634,0.10860191148833662,0.49283827526284674,0.5071617247371533,0.40951532128114676,0.5904846787188532,0.44331031471977417,0.5566896852802259,0.8200929322758103,0.17990706772418974,0.4931312874901477,0.5068687125098523,0.4223879775318309,0.5776120224681691,0.4533312519369648,0.5466687480630352
Adams County,18001000040,0.8760337697084751,0.12396623029152483,0.4938124896456239,0.506187510354376,0.40895691689871744,0.5910430831012825,0.43544720959340455,0.5645527904065955,0.8075257335924351,0.19247426640756496,0.5001903821451074,0.49980961785489264,0.4402765931222302,0.5597234068777698,0.4555007109779373,0.5444992890220627,0.7611968450845351,0.2388031549154649,0.47919180697264524,0.5208081930273548,0.44408823298035727,0.5559117670196427,0.4941650786789651,0.5058349213210349,0.8903437669071246,0.1096562330928754,0.4903077443762274,0.5096922556237726,0.4152984328745965,0.5847015671254036,0.4717355407608829,0.528264459239117,0.8601349822667764,0.13986501773322363,0.4853545974772857,0.5146454025227143,0.4469295844718268,0.5530704155281733,0.4891159197399203,0.5108840802600797,0.9230589486796276,0.07694105132037247,0.47861187540557976,0.5213881245944202,0.42591066335744254,0.5740893366425575,0.4549003787020355,0.5450996212979645,0.9032714134500393,0.09672858654996076,0.4904805063645805,0.5095194936354195,0.42120160336714185,0.5787983966328581,0.4702962069402936,0.5297037930597064,0.9203343251565257,0.07966567484347431,0.48790200913015724,0.5120979908698428,0.4084286086144052,0.5915713913855948,0.4500077784288132,0.5499922215711868,0.854938493982017,0.14506150601798298,0.4977065657531434,0.5022934342468566,0.42925394280431906,0.570746057195681,0.4546838733904863,0.5453161266095137
Adams County,18001000050,0.7090615263063019,0.2909384736936979,0.5000039152183917,0.4999960847816083,0.39076878239925444,0.6092312176007455,0.4246817035339716,0.5753182964660284,0.5896272592943099,0.41037274070569,0.4939800472530469,0.5060199527469531,0.43726388951120854,0.5627361104887915,0.44906540558136693,0.550934594418633,0.5837823376164837,0.4162176623835163,0.47516661549331873,0.5248333845066813,0.4153231940663982,0.5846768059336017,0.4805540006582095,0.5194459993417905,0.7558068123358179,0.24419318766418202,0.4925023892678172,0.5074976107321828,0.40425001076667605,0.5957499892333239,0.4685689178017357,0.5314310821982643,0.6115862441643077,0.3884137558356921,0.4856627019389747,0.5143372980610252,0.4218977950271552,0.5781022049728448,0.47688617416343343,0.5231138258365665,0.6979426692586245,0.3020573307413755,0.48404736141489285,0.5159526385851072,0.41211854652475516,0.5878814534752448,0.4398737927705881,0.5601262072294119,0.7024087267294808,0.2975912732705192,0.48764382327944256,0.5123561767205574,0.3912824079150698,0.6087175920849303,0.47000862372628016,0.5299913762737198,0.7950706329895179,0.20492936701048214,0.492103940161971,0.507896059838029,0.39558819571465076,0.6044118042853492,0.43606650080698006,0.5639334991930199,0.6890851329827394,0.3109148670172606,0.4958490304269338,0.5041509695730662,0.41056979557846673,0.5894302044215333,0.4519307242996564,0.5480692757003436
Adams County,18001000060,0.6667965466316542,0.3332034533683458,0.4989753987527379,0.5010246012472621,0.38381248977763244,0.6161875102223676,0.4199025886364204,0.5800974113635796,0.6076844642182797,0.39231553578172035,0.49731208435061586,0.5026879156493842,0.4407600705085364,0.5592399294914636,0.4432660051398022,0.5567339948601978,0.5652620553183291,0.434737944681671,0.4778435185419862,0.5221564814580139,0.4191767589619193,0.5808232410380807,0.48917854690803475,0.5108214530919652,0.68788643284202,0.31211356715798,0.49222004850969875,0.5077799514903013,0.4002503875041338,0.5997496124958662,0.4626018476960311,0.5373981523039689,0.5884512044903483,0.4115487955096518,0.4871312292765897,0.5128687707234103,0.4289659941653156,0.5710340058346844,0.4775702928797266,0.5224297071202734,0.6723312531512855,0.32766874684871444,0.48079205330239444,0.5192079466976056,0.400595005819371,0.599404994180629,0.4389715089052382,0.5610284910947618,0.6726061020339081,0.3273938979660918,0.48364444717460037,0.5163555528253997,0.3964794601286886,0.6035205398713114,0.45996943458008804,0.540030565419912,0.7600596172478085,0.2399403827521915,0.48842246163470376,0.5115775383652962,0.38230462592538295,0.617695374074617,0.430769666112758,0.569230333887242,0.6565644524318209,0.343435547568179,0.48929135965405285,0.5107086403459472,0.4012902644376176,0.5987097355623824,0.4437864913546038,0.5562135086453962
Adams County,18001000070,0.6868266178323053,0.31317338216769475,0.4966264548485715,0.5033735451514285,0.3855581466655498,0.6144418533344502,0.4285181386552788,0.5714818613447212,0.5775642426752319,0.42243575732476807,0.4915092268062917,0.5084907731937083,0.4273765145270007,0.5726234854729992,0.4443685350263757,0.5556314649736244,0.5548968860233527,0.44510311397664726,0.4765554991269908,0.5234445008730092,0.4150330735029113,0.5849669264970887,0.4870778970962365,0.5129221029037635,0.7368559570968272,0.2631440429031728,0.4808248047892042,0.5191751952107958,0.387340731754307,0.612659268245693,0.46229116081747196,0.537708839182528,0.5976255061995389,0.4023744938004611,0.4957737843913851,0.5042262156086149,0.4201304677538343,0.5798695322461658,0.48493534987253945,0.5150646501274605,0.6853115215483073,0.3146884784516926,0.47679875043796704,0.523201249562033,0.3954638729262039,0.6045361270737961,0.44156824361965646,0.5584317563803436,0.6813748293869051,0.31862517061309487,0.48403055464267114,0.5159694453573288,0.3871571903173031,0.6128428096826969,0.4618440636926186,0.5381559363073813,0.711514564243733,0.2884854357562669,0.4855664512850102,0.5144335487149898,0.38720772186818664,0.6127922781318134,0.440282796027167,0.559717203972833,0.6401018303450303,0.3598981696549697,0.4935386145861748,0.5064613854138251,0.4001604453211647,0.5998395546788353,0.4565298718980837,0.5434701281019163
Adams County,18001000080,0.7444083721264023,0.2555916278735976,0.49190432774732745,0.5080956722526724,0.4117629183336258,0.5882370816663741,0.43063307957591124,0.5693669204240885,0.6201834806462972,0.37981651935370275,0.49936761265665924,0.5006323873433405,0.43980562674899976,0.5601943732510002,0.4472895025752183,0.5527104974247815,0.6215690693067639,0.3784309306932361,0.4781895253126936,0.5218104746873061,0.43569326039769435,0.5643067396023056,0.48832144619043477,0.5116785538095651,0.7804128333760144,0.21958716662398556,0.4915426988538172,0.5084573011461826,0.42155957581247294,0.5784404241875271,0.4582749251820288,0.5417250748179713,0.6508542840740843,0.34914571592591565,0.4869091826355546,0.5130908173644452,0.4391277081908908,0.5608722918091092,0.48186413873227785,0.5181358612677222,0.7338064167580288,0.2661935832419711,0.48162927765203745,0.5183707223479623,0.4128477725452733,0.5871522274547267,0.44421649311750644,0.5557835068824933,0.7405068324869998,0.2594931675130003,0.4888545902401244,0.5111454097598754,0.41502858432736445,0.5849714156726356,0.45649803952088086,0.5435019604791189,0.8110193081168892,0.18898069188311079,0.48701439762717946,0.5129856023728203,0.41219218437998756,0.5878078156200124,0.4474818726292535,0.5525181273707463,0.7421530075408727,0.25784699245912734,0.49470084474082443,0.5052991552591753,0.4214176545164381,0.5785823454835619,0.4495101019984206,0.5504898980015794
Adams County,18001000090,0.7263426665761865,0.2736573334238137,0.4998310442652773,0.5001689557347226,0.38574450469716665,0.6142554953028334,0.418490126462951,0.581509873537049,0.5954598999911138,0.40454010000888646,0.49637400328889725,0.5036259967111028,0.4161153842862494,0.5838846157137506,0.4374501185606249,0.5625498814393751,0.5528051847854454,0.44719481521455484,0.47616455444721056,0.5238354455527895,0.4197996385759571,0.580200361424043,0.4785475102690283,0.5214524897309717,0.7333494396791573,0.2666505603208429,0.492371959871993,0.507628040128007,0.39475565977326754,0.6052443402267325,0.4564773653234091,0.5435226346765909,0.5877788659324766,0.41222113406752364,0.49052395254368664,0.5094760474563134,0.4171461730773792,0.5828538269226208,0.472818423014267,0.527181576985733,0.6644301937150984,0.33556980628490185,0.48262885574917946,0.5173711442508205,0.39976202576107106,0.6002379742389289,0.43211741582353275,0.5678825841764672,0.7170857194349283,0.2829142805650719,0.4890188836545626,0.5109811163454374,0.4003102869304856,0.5996897130695145,0.4564915536131098,0.5435084463868902,0.781380589332729,0.21861941066727114,0.48614695129952656,0.5138530487004734,0.3910526467539697,0.6089473532460302,0.4347343573773108,0.5652656426226892,0.6886474678853463,0.31135253211465397,0.4867170329247455,0.5132829670752546,0.388648762383056,0.611351237616944,0.45173481375145424,0.5482651862485457
Adams County,18001000100,0.7578589180719743,0.24214108192802578,0.49620031815643206,0.5037996818435679,0.41104358174458305,0.5889564182554169,0.4267522196458094,0.5732477803541906,0.6605323443409946,0.33946765565900533,0.49873867101466024,0.5012613289853398,0.44868771953309305,0.551312280466907,0.44808361603921204,0.5519163839607879,0.6113250399874962,0.38867496001250385,0.4769272759013485,0.5230727240986516,0.43464155546458016,0.5653584445354198,0.4908731057223945,0.5091268942776055,0.76459970799069,0.23540029200931,0.4924566562940847,0.5075433437059154,0.4165939197605477,0.5834060802394523,0.45901796054388316,0.5409820394561169,0.6630662417090264,0.33693375829097355,0.4902659857077503,0.5097340142922496,0.4439552536607711,0.5560447463392288,0.48674877764106383,0.5132512223589362,0.7118387380891306,0.28816126191086944,0.48300901883419595,0.5169909811658041,0.42071544670123134,0.5792845532987687,0.44196593948846363,0.5580340605115364,0.7471121912680804,0.25288780873191963,0.48854941674650715,0.5114505832534929,0.4174393172868193,0.5825606827131806,0.46295542742693174,0.5370445725730683,0.8214191002586284,0.17858089974137165,0.483269715898587,0.516730284101413,0.4088439780484245,0.5911560219515755,0.44121460191525824,0.5587853980847418,0.7475575531128889,0.2524424468871112,0.5009408131799232,0.49905918682007677,0.4233796249895771,0.576620375010423,0.4466825901200955,0.5533174098799045
